0.0083875-1.38778e-17j -0.0391682+0.000215534j 0.10513+0.00576655j 0.0329145+0.00361362j -0.0205753+0.0103397j -0.0401397-0.000131108j 0.0153119+0.0056384j -0.187782+0.00360127j -0.010887+0.00309583j 0.0563664-0.00259144j 0.0580652-0.0221414j -0.0370199+0.00203024j -0.0180549-0.010821j -0.034972-0.00542173j -0.0194958+0.013007j 0.0209085+0.00729524j -0.0109163-0.0229457j -0.00276502+0.0348275j -0.0473926+0.000210642j -0.0208906-0.041726j 0.00458721+0.00911489j -0.0254358-0.00711742j 0.0256187+0.00651512j 0.00204182-0.0241054j -0.00694097-0.00557494j 0.0185233+0.0279626j -0.0181063+0.0598821j 0.0405952-0.052865j -0.0529066+0.150612j -0.210568+0.305364j 0.167691+0.135146j 0.0136731-0.19181j 0.0273571+0.0523267j 0.36258+0.177128j 
-0.0370199-0.00203024j 0.0614115+0.00955958j -0.193395-0.0208441j -0.113639-0.00680512j 0.069461-0.0112953j 0.0590529+0.00495583j -0.0927464-0.0046034j 0.328678+0.0122423j 0.0976931-0.00306803j -0.111681+0.00258932j -0.0514109+0.00634262j 0.0645415-2.74086e-16j 0.0469248+0.0148805j 0.0169039-0.0125883j -0.0197011-0.00060237j -0.0299053+0.0104381j 0.0110087+0.00599169j 0.0297743-0.0201869j 0.0719997-0.0133596j 0.0518996+0.0249067j -0.0184098-0.00737233j 0.054397-0.00480108j -0.024983+0.0173279j -0.0168705+0.0192854j 0.075998-0.0488668j -0.019758+0.0442393j 0.0134048+0.0223933j 0.0815271+0.0051089j 0.0142349+0.0170258j -0.131655-0.111503j 0.171839+0.0415397j -0.0448387-0.010266j -0.0470302+0.336398j -0.186094+0.047651j 
-0.0180549+0.010821j -0.0688764-0.000365249j 0.096917-0.0208622j 0.0774516-0.0147651j 0.0815965+0.0210909j 0.00405593+0.00984422j 0.181923+0.00403074j -0.140716+0.0139909j -0.0618185-0.0103209j 0.0764137+0.0064669j 0.0592104-0.00263871j 0.0469248-0.0148805j -0.0777273+1.11022e-16j 0.00730754+0.0117386j -0.0342057-0.0107928j 0.0214822-0.0366555j 0.0015871+0.00357579j 0.0167394-0.0140343j -0.0518823-0.0087785j -0.0683183+0.0137244j 0.0250301+0.00813862j -0.0290833-0.00206749j 0.0422821-0.0770574j -0.00888436-0.0307552j -0.0208796-0.0149666j -0.0322273-0.0108505j -0.0333544+0.030281j 0.0144764-0.0679606j 0.043468+0.0422506j 0.207624+0.0832046j 0.171855-0.0825066j -0.170337-0.16104j -0.0520222+0.034423j 0.0848985-0.305472j 
-0.034972+0.00542173j 0.00969423+0.0089475j 0.0133145-0.00684343j -0.0643342+0.00360742j 0.0170184-0.0131005j -0.0944836-0.0113477j 0.00459962-0.016767j -0.0468512+0.00082952j 0.0455591+0.0107591j -0.0199274+0.00187555j 0.0434651-0.0162862j 0.0169039+0.0125883j 0.00730754-0.0117386j 0.00478627+2.70617e-16j -0.0282844+0.0290415j 0.0535379+0.00701523j -0.00493406-0.0147728j -0.00747058-0.000491057j 0.0146774-0.0436458j 0.0557823-0.0038879j 0.0102823+0.0374818j -0.0194113-0.0732949j -0.00697695-0.037248j -0.0368097+0.00877386j -0.0137123-0.0187777j -0.0529289-0.0494273j 0.0257297-0.00865804j -0.0707637+0.0902472j 0.0171889+0.0149204j -0.128766+0.0880905j 0.122599+0.0740641j 0.0961116+0.0268696j 0.0175187+0.131858j 0.0214258+0.102647j 
-0.0194958-0.013007j -0.00821781+0.028699j 0.0764345-0.0105808j -0.107804+0.0227866j 0.0211302+0.0108033j -0.0277984-0.00531606j 0.00825364+0.0193443j -0.0537458+0.00719703j 0.0897336+0.0153747j -0.0200711-0.0240272j -0.0239128-0.0145443j -0.0197011+0.00060237j -0.0342057+0.0107928j -0.0282844-0.0290415j -0.00250567+8.67362e-18j 0.00644247-0.0163147j -0.0447776-0.0134746j 0.00359887+0.0146808j 0.0119851-0.0279128j 0.0511206-0.000378927j 0.0267106+0.0209711j -0.0219481-0.0667602j -0.0467424+0.0606804j -0.104566+0.0778764j -0.0296135+0.0255466j 0.0549768+0.0980169j 0.110315+0.177052j 0.0522159-0.033995j -0.0299534+0.0438414j 0.0351757-0.0515131j -0.148303-0.0348016j -0.131811+0.102388j -0.0224942-0.109147j 0.0119928-0.0672064j 
0.0209085-0.00729524j -0.00942585+0.0160399j 0.00879189-0.0483156j 0.000371294-0.000181139j -0.0429263+0.0128771j 0.0255114+0.0251292j -0.0353464-0.00181537j 0.0513623-0.0158227j 0.035643-0.0137688j -0.000887762+0.00495714j 0.00879302+0.0140442j -0.0299053-0.0104381j 0.0214822+0.0366555j 0.0535379-0.00701523j 0.00644247+0.0163147j 0.0393551+8.67362e-16j -0.0618153-0.0546083j -0.0271111-0.0189738j -0.0223826-0.0452113j 0.0385613-0.0246477j 0.00317764-0.00090659j -0.050836-0.00195617j 0.0457337+0.016596j 0.0994964-0.129575j 0.139607-0.0618544j -0.0207311-0.0157681j -0.0822352-0.185484j -0.0594555+0.0928181j 0.135465+0.0558291j 0.0655036-0.0123933j -0.00468412-0.0559113j 0.0496879+0.0310939j 0.036078-0.00700246j -0.0427453-0.0376071j 
-0.0109163+0.0229457j -0.011355-0.0212062j -0.00984204-0.00765204j -0.0108101-0.0297579j 0.00567545-0.0165694j 0.0534473-0.0124956j -0.0998868-0.00923053j -0.00359482+0.00331217j -0.0514951-0.0423241j -0.0349302+0.0134419j 0.00381664-0.0290563j 0.0110087-0.00599169j 0.0015871-0.00357579j -0.00493406+0.0147728j -0.0447776+0.0134746j -0.0618153+0.0546083j -0.0100462+4.23273e-16j -0.0212738-0.00192858j -0.0400576-0.00175915j -0.0226285-0.011782j -0.0224316-0.0190335j 0.0221381+0.0755374j 0.0540778-0.0607655j -0.0838468+0.0867764j -0.0881885-0.083593j 0.129163-0.0419307j 0.229083+0.1049j -0.139721-0.158118j 0.162195+0.0658106j -0.0930858+0.117844j -0.021754+0.0503246j -0.104948+0.319758j -0.00523544+0.0406366j 0.0255377-0.0780794j 
-0.00276502-0.0348275j -0.00108858-0.0191764j 0.0104122-0.00881782j 0.0328412-0.00328797j 0.0826834-0.01438j 0.0409953-0.0122702j 0.0233765+0.0256629j -0.0376845+0.00859477j -0.0190127-0.0454421j -0.0225595-0.0101172j -0.0134074+0.00806023j 0.0297743+0.0201869j 0.0167394+0.0140343j -0.00747058+0.000491057j 0.00359887-0.0146808j -0.0271111+0.0189738j -0.0212738+0.00192858j -0.0239453+1.80411e-16j 0.0339551+0.0121482j 0.0121668-0.00258752j -0.0280582+0.0193937j -0.035571+0.051536j 0.0529012-0.00321592j -0.0639342+0.182676j 0.0484206-0.0945547j -0.143561+0.0866921j 0.142637+0.0910821j 0.169921+0.0530402j 0.00107674+0.180585j -0.10657-0.0582092j -0.0228831+0.0193793j -0.0832283-0.0477607j -0.0325991+0.0146451j 0.0327217+0.0355482j 
-0.0473926-0.000210642j -0.00423236+0.0148319j 0.0157092+0.00180688j -0.048001-0.0083768j 0.14969-0.000660974j 0.104444+0.0288074j -0.0125639-0.0266963j -0.0722855+0.003912j 0.0470353+0.0193371j -0.00309662-2.95174e-06j -0.0168837-0.0120348j 0.0719997+0.0133596j -0.0518823+0.0087785j 0.0146774+0.0436458j 0.0119851+0.0279128j -0.0223826+0.0452113j -0.0400576+0.00175915j 0.0339551-0.0121482j 0.0342031+3.60822e-16j 0.0403304+0.0352361j 0.0218891-0.027197j 0.0367507-0.0313457j -0.0111631+0.0723198j 0.208554-0.255441j 0.202393+0.013811j 0.117975+0.0754597j -0.0902647-0.163636j -0.153253-0.13185j 0.126649+0.229111j -0.119009+0.0076566j -0.0211662+0.034054j -0.143993+0.127188j -0.0383216+0.026977j 0.0413539-0.0206927j 
-0.0208906+0.041726j -0.0100371+0.0231594j -0.0162835+0.0130837j -0.00864125-0.0115426j 0.00954709+0.0276911j -0.0225438-0.00518308j -0.0071973+0.015974j -0.00017224+0.0390935j 0.0192585+0.00138282j 0.0570186+0.0101314j -0.00542864+0.00925072j 0.0518996-0.0249067j -0.0683183-0.0137244j 0.0557823+0.0038879j 0.0511206+0.000378927j 0.0385613+0.0246477j -0.0226285+0.011782j 0.0121668+0.00258752j 0.0403304-0.0352361j 0.116014-2.08167e-16j -0.0318289-0.00370519j -0.0513533-0.0841055j 0.0439365-0.0238305j -0.116109+0.0841112j 0.0763291-0.165512j -0.15742+0.0565188j 0.095874+0.0124925j 0.0517379+0.215443j 0.170365+0.119965j -0.0228224+0.0416172j 0.0113376-0.0346245j 0.0264643+0.0681791j 0.0406602+0.0330767j 0.0114785-0.0166823j 
0.00458721-0.00911489j 0.00954713-0.0124193j -0.0134876+0.00368491j 0.00485886+0.000656083j -0.0284076-0.0203315j -0.15466+0.0102764j -0.00601159-0.0181699j 0.0248756+0.00719704j -0.0217631+0.00466247j -0.0187647-0.00680791j -0.000423886-0.0376096j -0.0184098+0.00737233j 0.0250301-0.00813862j 0.0102823-0.0374818j 0.0267106-0.0209711j 0.00317764+0.00090659j -0.0224316+0.0190335j -0.0280582-0.0193937j 0.0218891+0.027197j -0.0318289+0.00370519j -0.05253+6.38378e-16j 0.000979409+0.012092j -0.0178654+0.0411405j -0.328423-0.319334j 0.0477659-0.131276j 0.0679634-0.0601978j -0.282608+0.285467j -0.085099+0.116256j 0.0562171-0.102273j -0.044886+0.0226184j -0.0119662+0.0116413j -0.0373213+0.0422545j -0.0158639+0.0141632j 0.013488+0.00424736j 
-0.0254358+0.00711742j -0.020052+0.000419007j -0.0390759+0.00938918j 0.00100455-0.0377599j 0.11823+0.00941283j -0.0377958+0.000748383j -0.0168095-0.0394228j -0.00193375-0.0480618j -0.00914446-0.0439576j -0.0271821+0.00791402j 0.0032959+0.0048703j 0.054397+0.00480108j -0.0290833+0.00206749j -0.0194113+0.0732949j -0.0219481+0.0667602j -0.050836+0.00195617j 0.0221381-0.0755374j -0.035571-0.051536j 0.0367507+0.0313457j -0.0513533+0.0841055j 0.000979409-0.012092j -0.0507985-1.66533e-16j 0.0444508+0.0946564j -0.0803122+0.0126865j 0.223236+0.179052j -0.125435-0.276984j 0.0964397+0.0951805j -0.219836+0.129647j -0.257814+0.235569j 0.0525292-0.0809578j 0.00499942-0.0422864j -0.0134769-0.0351559j 0.00684633-0.0214068j 0.00917685-0.00523898j 
0.0256187-0.00651512j 0.0179877+0.0565401j -0.041315-0.0603766j 0.0166352+0.0113433j 0.0466104+0.0312906j 0.0036354+0.0261868j 0.0551633+0.0177573j -0.0405391-0.0061179j 0.0472416-0.00982547j 0.0491508-0.0131311j 0.10401+0.11759j -0.024983-0.0173279j 0.0422821+0.0770574j -0.00697695+0.037248j -0.0467424-0.0606804j 0.0457337-0.016596j 0.0540778+0.0607655j 0.0529012+0.00321592j -0.0111631-0.0723198j 0.0439365+0.0238305j -0.0178654-0.0411405j 0.0444508-0.0946564j 0.37594+3.13638e-15j -0.0607651+0.0488498j -0.0194427-0.253263j 0.0765705-0.280298j 0.0210904-0.0195429j -0.0387452-0.135242j 0.0147309+0.00622663j 0.035437-0.0240946j 0.0145002+0.0178364j 0.0179708-0.0298843j -0.00554474-0.0208109j -0.0376688-0.0181466j 
0.00204182+0.0241054j -0.0010234+0.0343603j -0.027007-0.0667171j 0.0308535+0.0202823j 0.0565163+0.0126091j 0.0414833-0.0165566j 0.0202832+0.0170183j -0.0232653-0.0350102j -0.0125667+0.0183336j 0.0354879+0.0168893j 0.0663379+0.0148529j -0.0168705-0.0192854j -0.00888436+0.0307552j -0.0368097-0.00877386j -0.104566-0.0778764j 0.0994964+0.129575j -0.0838468-0.0867764j -0.0639342-0.182676j 0.208554+0.255441j -0.116109-0.0841112j -0.328423+0.319334j -0.0803122-0.0126865j -0.0607651-0.0488498j 0.0387938+4.2466e-15j -0.0404292-0.0329235j -0.00439633-0.0122917j 0.0154035-0.0193245j -0.0265822-0.0146008j 0.031172+0.010639j 0.0102734-0.00639051j 0.00610093-0.00362678j -0.00288026+0.00983156j 0.00141462-0.00108193j -0.0124959-0.0139228j 
-0.00694097+0.00557494j -0.00332557-0.0231913j 0.0381284-0.101101j -0.013205+0.0254303j -0.0468785+0.00988963j -0.0387933-0.0405534j 0.0399075+0.0476861j -0.0689565-0.0107711j 0.113499+0.179071j -0.00127339+0.0691719j -0.0703647+0.0723681j 0.075998+0.0488668j -0.0208796+0.0149666j -0.0137123+0.0187777j -0.0296135-0.0255466j 0.139607+0.0618544j -0.0881885+0.083593j 0.0484206+0.0945547j 0.202393-0.013811j 0.0763291+0.165512j 0.0477659+0.131276j 0.223236-0.179052j -0.0194427+0.253263j -0.0404292+0.0329235j 0.0792806+4.59702e-17j 0.161859+0.0303003j 0.0580645+0.00956511j 0.0667821-0.0368072j -0.0742378-0.0421091j 0.0461203+0.0292921j 0.00132465+0.0178199j 0.0539664-0.020263j 0.0109246-0.0123527j 0.00369336+0.00586723j 
0.0185233-0.0279626j -0.0220783-0.0183511j 0.029463+0.0779695j 0.034648-0.01418j -0.0442427+0.030119j 0.0411375-0.00148662j -0.0323307-0.0256056j 0.0249529+0.0802957j -0.124302-0.110356j -0.0137225-0.0298332j -0.0647461+0.124956j -0.019758-0.0442393j -0.0322273+0.0108505j -0.0529289+0.0494273j 0.0549768-0.0980169j -0.0207311+0.0157681j 0.129163+0.0419307j -0.143561-0.0866921j 0.117975-0.0754597j -0.15742-0.0565188j 0.0679634+0.0601978j -0.125435+0.276984j 0.0765705+0.280298j -0.00439633+0.0122917j 0.161859-0.0303003j 0.192174-6.93889e-16j 0.0196132-0.0148991j 0.151507-0.0318901j 0.0119706-0.0252017j -0.0130159+0.0194868j 0.00233289+0.0144018j 0.0667486-0.0198953j 0.0270287+0.00853106j -0.00170182+0.0214469j 
-0.0181063-0.0598821j -0.0378001-0.0403418j 0.151177+0.112146j -0.00293785+0.0138447j -0.0397983-0.0330198j 0.000139473+0.0695726j -0.0296174+0.0145065j 0.00851306+0.0640961j -0.0438587+0.0965617j -0.0256217+0.00173915j -0.0590638+0.104034j 0.0134048-0.0223933j -0.0333544-0.030281j 0.0257297+0.00865804j 0.110315-0.177052j -0.0822352+0.185484j 0.229083-0.1049j 0.142637-0.0910821j -0.0902647+0.163636j 0.095874-0.0124925j -0.282608-0.285467j 0.0964397-0.0951805j 0.0210904+0.0195429j 0.0154035+0.0193245j 0.0580645-0.00956511j 0.0196132+0.0148991j -0.00323715+1.52656e-16j 0.0293444-0.00715261j -0.027659-0.00791153j 0.0153073+0.00555616j -0.0143829+0.00731054j 0.0121165-0.0249434j -0.00159181-0.0145834j 0.00392737+0.0109239j 
0.0405952+0.052865j 0.00184377+0.0250977j -0.137581-0.164541j 0.06885-0.0892737j 0.0130455+0.00170072j 0.00134822+0.11772j 0.0440431+0.039391j -0.0418412-0.09708j 0.130058-0.170715j 0.0116131-0.0039639j -0.0744845+0.0122712j 0.0815271-0.0051089j 0.0144764+0.0679606j -0.0707637-0.0902472j 0.0522159+0.033995j -0.0594555-0.0928181j -0.139721+0.158118j 0.169921-0.0530402j -0.153253+0.13185j 0.0517379-0.215443j -0.085099-0.116256j -0.219836-0.129647j -0.0387452+0.135242j -0.0265822+0.0146008j 0.0667821+0.0368072j 0.151507+0.0318901j 0.0293444+0.00715261j 0.0711146-1.59595e-16j -0.0399005-0.00496284j 0.00951401+0.0101588j 0.0145232+0.0111619j 0.0534462+0.00139158j 0.0198627+0.00776909j -0.000316631+0.00535755j 
-0.0529066-0.150612j -0.0553167-0.0396444j 0.081139+0.0366398j 0.0595458+0.000405084j -0.0133513-0.020033j -0.0210042+0.00872923j 0.000135013-0.0934993j 0.0285929+0.139432j 0.199109-0.0608184j -0.0150262-0.0676372j 8.55787e-05+0.0476201j 0.0142349-0.0170258j 0.043468-0.0422506j 0.0171889-0.0149204j -0.0299534-0.0438414j 0.135465-0.0558291j 0.162195-0.0658106j 0.00107674-0.180585j 0.126649-0.229111j 0.170365-0.119965j 0.0562171+0.102273j -0.257814-0.235569j 0.0147309-0.00622663j 0.031172-0.010639j -0.0742378+0.0421091j 0.0119706+0.0252017j -0.027659+0.00791153j -0.0399005+0.00496284j 0.00421055+1.04083e-17j 0.0131696-0.00401347j -0.00826664-0.00116745j -0.0528187+0.0153652j -0.0304485-0.00318995j 0.0173175-0.00784839j 
-0.210568-0.305364j -0.131966+0.189613j 0.0813193-0.146362j 0.0701073+0.0947419j 0.0914761-0.148383j -0.00378077+0.0049429j 0.0223994+0.025358j 0.0423223-0.0913881j 0.0267527-0.00403493j -0.0621556+0.0438922j -0.0822315+0.0435057j -0.131655+0.111503j 0.207624-0.0832046j -0.128766-0.0880905j 0.0351757+0.0515131j 0.0655036+0.0123933j -0.0930858-0.117844j -0.10657+0.0582092j -0.119009-0.0076566j -0.0228224-0.0416172j -0.044886-0.0226184j 0.0525292+0.0809578j 0.035437+0.0240946j 0.0102734+0.00639051j 0.0461203-0.0292921j -0.0130159-0.0194868j 0.0153073-0.00555616j 0.00951401-0.0101588j 0.0131696+0.00401347j 0.0111357-6.93889e-18j 0.00659012+0.0054755j 0.00574177-0.00235777j 0.00206426+0.00277561j -0.00887236-0.0106517j 
0.167691-0.135146j -0.195301-0.377382j 0.041104-0.152975j 0.0647407-0.115528j -0.0416882-0.0450848j -0.00228481-0.00388988j -0.0143022-0.000183369j -0.0167842-0.00156958j -0.0821454-0.0112025j -0.177475+0.157222j -0.0274486-0.0407135j 0.171839-0.0415397j 0.171855+0.0825066j 0.122599-0.0740641j -0.148303+0.0348016j -0.00468412+0.0559113j -0.021754-0.0503246j -0.0228831-0.0193793j -0.0211662-0.034054j 0.0113376+0.0346245j -0.0119662-0.0116413j 0.00499942+0.0422864j 0.0145002-0.0178364j 0.00610093+0.00362678j 0.00132465-0.0178199j 0.00233289-0.0144018j -0.0143829-0.00731054j 0.0145232-0.0111619j -0.00826664+0.00116745j 0.00659012-0.0054755j -0.0132133+1.249e-16j -0.00644871-0.0171732j -0.00703437-0.0116721j 0.0071231+0.000659629j 
