0.00290856+3.29597e-17j -0.00829299+1.20893e-05j -0.00680931-0.000339896j -0.00430634-0.000118816j 0.00331342+0.00051833j -0.00808869-0.000428401j -0.00173956+0.000212741j 0.000108935-0.000118818j -0.00194282-1.91289e-05j 0.00505719+0.000162905j 0.00471453+0.00122772j -0.00103456-0.000284952j -0.00677526-0.00058871j -0.00376979-0.00129704j 0.00201089+0.00116709j 0.00156528+0.000559874j -0.0162032-0.00029906j -7.3088e-05-0.00107363j 0.00218737-0.00323315j 0.0301699+0.00235346j 0.00723829-0.000190465j 0.925006-0.00428138j 
-0.00103456+0.000284952j -0.00598814+0.000431632j -0.00535167+0.000473126j -0.00180306+0.000349861j 0.00403073+1.78671e-05j -0.0115994-0.000143233j -0.0234902+7.51265e-05j 0.0158255-0.000494089j -0.00388044+0.00041115j 0.00396421+0.000588517j -0.00588238+7.19014e-06j -0.951935-9.6174e-12j -0.00266355-0.000582708j 0.00185063-0.000406826j -0.0118291-0.000511767j -0.0115465-8.42175e-05j 0.0106327-0.000134395j -0.00113226+1.54195e-05j 0.0026927+0.000346949j -0.00432408-0.000486079j -0.00516429-0.000432076j 0.000937314+0.000292452j 
-0.00677526+0.00058871j -0.00083802+0.000152249j -0.00472938+0.000903401j 0.00252431+0.000631082j 0.0013434-0.000361765j 0.0017406-0.000945016j 0.000150729+0.000183752j -0.00873161+0.000252896j 0.0182581-0.000971411j -0.959957-0.000692822j -0.00739149+0.000802254j -0.00266355+0.000582708j -0.0138492+2.43149e-15j -0.00301318+0.000169438j 0.00172093-0.000236917j -0.00556392+0.000755151j -0.00673001+0.000497141j 0.00629343-0.000753495j 0.00363921-0.000393958j 0.00317865+0.000124285j 0.00219574+0.00014452j -0.00426746-0.000171624j 
-0.00376979+0.00129704j 0.00278403-0.000478523j -0.0137065+0.000576661j -0.0104359-0.000743634j 0.0151885-5.36081e-05j -0.00841544+0.000524425j -0.00564442+0.000438769j -0.0104964+0.000809572j -0.961009-0.00181949j 0.00426083-0.000996626j -0.00438224+0.00139379j 0.00185063+0.000406826j -0.00301318-0.000169438j 0.00554028-8.66169e-16j -0.00521032+0.000694736j -0.00653714+0.00042279j 0.00272658+0.00158076j 0.00106602-0.000811812j 0.00233004-0.000856517j 0.00129376+5.71563e-05j -0.00203909-0.000545291j 0.00137864+3.93379e-05j 
0.00201089-0.00116709j 0.00618057-0.000102368j 0.0168328-0.00102298j 0.0189053+0.000732387j -0.00353694-0.000162657j 0.0164545-0.0013918j 0.0162429-0.000463875j 0.956224+0.00109352j -0.0324638-0.000864326j 0.000298308-0.000281208j 0.00189906-0.00120278j -0.0118291+0.000511767j 0.00172093+0.000236917j -0.00521032-0.000694736j 0.0121479-9.07152e-16j 0.0101321+9.84759e-05j -0.00317921-0.00124872j -0.000679713+0.000323861j -0.00842277+0.00033531j 0.00396887+9.85495e-05j 0.00711553+0.000711651j -7.82717e-05-0.00014639j 
0.00156528-0.000559874j 0.00884049-0.000408667j 0.0121318-0.00129715j 0.0183377+4.97293e-05j 0.0159892+0.000416195j 0.0183601-0.000968492j -0.954562-0.000729552j -0.0149591+0.000470846j 0.000346898+0.00043868j 0.00378049+0.000194149j 0.00172906+0.000293812j -0.0115465+8.42175e-05j -0.00556392-0.000755151j -0.00653714-0.00042279j 0.0101321-9.84759e-05j 0.00431513+2.16163e-15j 0.00150164+4.45295e-05j 0.00173753-0.000168423j -0.00870082-0.000337696j 0.00563845+0.000332548j 0.00636721+0.000444362j 0.00110381-0.000233071j 
-0.0162032+0.00029906j -0.00261463+6.17964e-05j -0.0079143-0.0016259j 0.0206561+0.000142748j -0.0143574+0.00136921j 0.942506+0.00250658j 0.00326497+0.00101491j 0.00301063-0.0014009j 0.00176045-0.000473926j 0.00459426+0.000950373j 0.0123209-9.77261e-05j 0.0106327+0.000134395j -0.00673001-0.000497141j 0.00272658-0.00158076j -0.00317921+0.00124872j 0.00150164-4.45295e-05j -0.00148116+3.1637e-16j -0.00600237+6.71844e-05j 0.000200303-0.000701118j 0.00246617+0.00056178j 0.00276446+0.000474242j -0.00706908-0.00044627j 
-7.3088e-05+0.00107363j 0.00738057+0.000471789j -0.0087395+0.00274078j -0.0259646+0.000105348j 0.95125+0.000807733j 0.00946679+0.00140945j -0.00720593-0.000375903j 0.00254747-0.000206432j -0.000143583+4.55965e-05j 0.000549964+0.000396248j -0.0133327-0.000882671j -0.00113226-1.54195e-05j 0.00629343+0.000753495j 0.00106602+0.000811812j -0.000679713-0.000323861j 0.00173753+0.000168423j -0.00600237-6.71844e-05j 0.007405+2.52619e-16j 0.00636666+0.000435205j -0.000608221-0.000616494j -0.000177396-0.000458506j 0.00251073+0.000530369j 
0.00218737+0.00323315j -0.0277597+0.000804706j -0.0261237+0.000453093j 0.940662+0.00124618j -0.0104971+7.70003e-05j 0.0138276+0.000187873j -0.0154701-6.11779e-05j 0.0132495+0.000753944j 0.00320647+0.00071955j -0.000912446-0.000631692j -0.00676045+0.00135372j 0.0026927-0.000346949j 0.00363921+0.000393958j 0.00233004+0.000856517j -0.00842277-0.00033531j -0.00870082+0.000337696j 0.000200303+0.000701118j 0.00636666-0.000435205j 0.00811023+2.19226e-16j -0.00243785-0.000268041j -0.00793542-0.000630269j -0.00318686-0.000101389j 
0.0301699-0.00235346j -0.00047498+0.00408888j -0.919751-0.00830874j 0.00615038-0.000499015j 0.00625458-0.00278228j 0.0100249+0.00160515j 0.00939376-0.00129317j -0.0142206+0.00101371j -0.0117045+0.000531877j -0.00426433+0.000932227j 0.00253977-0.00233481j -0.00432408+0.000486079j 0.00317865-0.000124285j 0.00129376-5.71563e-05j 0.00396887-9.85495e-05j 0.00563845-0.000332548j 0.00246617-0.00056178j -0.000608221+0.000616494j -0.00243785+0.000268041j -0.00280516+5.10876e-16j -0.0016257-8.07052e-05j 0.00625387+0.000342753j 
0.00723829+0.000190465j -0.925934-0.00408147j 0.00112855+0.00413285j 0.0228373-0.00074809j -0.00489977-0.000446199j 0.00170613-6.93792e-05j 0.00744349-0.000403057j -0.00591057+6.88647e-05j 0.00128701-0.000508715j -0.000600987+0.000142248j -0.00429613-0.000140548j -0.00516429+0.000432076j 0.00219574-0.00014452j -0.00203909+0.000545291j 0.00711553-0.000711651j 0.00636721-0.000444362j 0.00276446-0.000474242j -0.000177396+0.000458506j -0.00793542+0.000630269j -0.0016257+8.07052e-05j -0.00206636+1.37477e-16j 0.00803486-1.24178e-05j 
0.925006+0.00428138j 0.00671941-0.000140448j -0.0258193+0.00231352j 0.00175058+0.00324985j 0.000363741+0.00112275j -0.0129232+0.00029652j -0.00162328+0.000577685j 0.00206608-0.00121088j 0.00321054-0.00127716j 0.00543961-0.000603556j -0.00321517+0.00123513j 0.000937314-0.000292452j -0.00426746+0.000171624j 0.00137864-3.93379e-05j -7.82717e-05+0.00014639j 0.00110381+0.000233071j -0.00706908+0.00044627j 0.00251073-0.000530369j -0.00318686+0.000101389j 0.00625387-0.000342753j 0.00803486+1.24178e-05j 0.00199636+2.56739e-16j 
