0.0693611-0.159221j 0.188689-0.16883j 0.437684+0.0794393j -0.0478034-0.344632j -0.119174+0.0983837j -0.717476-0.189368j 0.130477+0.189548j -0.0744165+0.607245j -0.490061-0.496174j -0.0337661-0.28551j -0.320343-0.519868j 0.754874-0.37206j 0.706569-0.277262j 0.146295-0.515346j -0.19992-0.210688j -0.761288-1.16777j -0.719358-0.111397j 0.854117+0.189177j -0.424299+0.482615j 0.381533-0.211802j -0.111132+1.18298j -0.0497298-0.260691j 0.404323+1.10229j -0.0388346-0.492187j 0.466491-1.60061j -1.34536-1.02659j 1.52882+0.339386j -2.12505+1.34037j -0.406689+0.142325j -1.5068-1.5214j 0.0699933-0.33464j -0.12719-0.587098j -0.220227+0.219222j 0.0923137+0.67211j -0.164174-0.590617j 0.0877764+0.864744j -0.0573374+0.0571985j 0.940525-0.0272841j -0.536129+0.88951j -0.0508043-0.165325j 1.12692-0.0440455j 0.694258+1.28724j 0.486484+1.21987j 0.399752+0.136096j 0.840181-1.46066j 0.417119-0.725309j 0.566483-0.453433j 0.893762-1.19297j -0.0606408+0.734774j -1.24015-1.55819j -0.209568-0.346237j 1.67341-0.860828j -0.641864-0.476149j 0.925622-0.66559j 0.331065-1.45374j 0.692459-0.745937j -0.236942+1.00189j 0.514397-0.0715348j 0.0184827-1.04541j -0.221599+0.564955j 1.85083+0.348583j -0.610079+0.948778j 0.977253+2.17183j -0.804076-0.514549j 0.924262+0.450198j 0.780988-0.628639j -1.37478+1.04274j -0.0698961-2.80152j 2.71173-0.674295j 
0.0874622+0.285015j 0.210055-0.296212j 0.219473-0.446344j -0.59681+1.25643j 0.0899354-0.277413j 0.744423-0.74139j 0.185195+0.226322j -0.602419-0.292242j -0.246444-0.348371j -0.128653+0.132276j 0.212951-0.636046j 0.223526-1.04205j 2.1905-0.38427j -2.28928+0.705731j 1.01747+1.21707j 0.884311-0.873937j 0.998605-1.72215j -1.13588+0.336159j 0.162234+0.802141j 0.124348+1.54723j 2.96049-0.805206j 0.76965+0.374065j 0.101166+2.19082j -1.72103+3.07127j -0.204694+0.153706j -0.507279-0.853003j 0.279422-0.757847j -0.31064-0.361189j -0.101612+0.161819j 0.135712+0.326126j -0.519769-0.107768j -0.348598-0.105551j 0.601486+0.204296j -1.05438+0.00936873j 0.230457+0.472616j -0.419765-0.0383806j -0.0182106+0.04529j -0.0696759+0.796008j 0.180286-0.186361j 0.420809+0.179919j 0.67421+0.138975j 1.04333+0.981554j -0.936428-0.962589j 0.955286-0.216938j -0.800354-0.693861j 0.165533+1.22293j -0.654433+0.232032j 0.354324-0.933647j -1.24637+0.81347j 0.935222+0.0745371j 0.938465-0.16949j -0.347346-0.527834j -0.050028-1.27364j -0.0581199-0.487562j -1.36126+0.808822j 0.364651-0.0822841j -0.361807-0.0345073j 0.0241262+0.0248318j 0.571588-1.87885j 0.712557-0.592723j -0.301051+0.693196j 1.50943-0.90052j 1.07343+0.76071j 1.12969+1.43463j 0.370134+0.276288j 0.519451+0.0286351j 0.314616+0.104729j 0.405393-0.286734j -0.26513-0.0466352j 
0.348712+0.952903j 0.934493-0.616801j 0.492138-0.21505j -0.974813+1.85476j 0.255567+0.803994j -0.473113+0.160513j -0.661733-0.169126j 1.34139-0.393748j 0.0314238+1.3493j 1.04529+0.564075j 1.29921+0.0762683j 1.78919-0.73065j 0.0133832-0.505582j 0.400451-0.434546j -0.346553-1.95945j -0.381968-0.323034j -0.357867-0.565424j -1.52303-1.36679j 1.28401+0.677858j 0.922616-1.82283j -1.53678-0.213435j 0.986572+0.344577j -0.520633-0.0672806j -0.685263-0.503686j -0.642426+1.73759j -1.28427-1.74291j -0.51853-0.45673j -0.479674-0.821621j -0.600052+0.483193j -0.430403+0.895223j -0.727585-0.786978j -0.0233836-0.398579j 1.27667-0.360396j -0.457827-0.0291822j -0.492255-0.507239j -0.242776+0.185054j -0.52843+0.171016j -1.23844-0.184656j 1.15847-0.359895j -0.579329+0.0763078j 0.27781+1.12388j 0.504733-0.559944j 0.32627-0.578705j 0.0775318-0.991269j -0.125426-0.655117j 0.0745608-1.575j 1.34906-0.818473j 0.156033+0.85351j -0.242094+1.81047j 0.0318734+0.645778j -0.349043-0.697133j 1.03431+0.238612j 0.434947+1.22277j 0.661051-0.728252j 0.391983+1.20892j 0.087793+0.330247j 0.0349601-0.454703j -0.575877+1.21151j 0.0430301+0.219435j -1.14528-0.261032j -0.900287+0.138945j 0.451903+0.379153j -0.0462726-0.145314j -0.569384+0.213091j 0.514577-0.333037j 1.64973+0.160603j 0.274768-0.296548j 0.60879-0.748404j -0.501262-0.590368j 
0.440874+0.562342j 1.18964+0.427623j 0.0824532+1.86386j 1.56038+0.132875j 0.223808+0.514741j -0.30593+1.1149j 0.920967+1.13823j -0.792162+0.0990995j -2.1296+0.105512j -0.0623607-0.249767j 0.550654+2.21108j -0.0945413+0.361605j 0.862766+1.8893j -0.631023+1.6172j 0.602367+1.26424j -0.427447+0.321367j 0.0467837-0.688166j 0.608487+0.604714j -0.744196+0.0463211j 0.507409-0.304689j -1.05978+0.00982495j -0.623428-1.33779j 1.20658+0.744942j -1.54207-0.957383j -1.18768+1.0122j -0.384469+1.53735j -0.641494+0.327758j -0.0414917+0.00678077j -0.308563-0.0378068j -0.281547-0.383478j 0.214522-0.635038j 1.48506-0.294096j -0.220473-0.782647j 1.23247+0.377683j 0.163772+0.609044j -0.562033+1.2276j 1.24907+0.428565j 0.450518+0.132245j 0.619632+0.914374j 0.0896447-0.419821j -0.83784+0.810783j 0.960998+1.23153j -1.19313-1.02134j -0.841203+0.689471j -0.292222+1.46977j -0.368744-0.679192j -0.481657-1.4572j 0.556695-0.660343j -1.30708-0.536193j -0.631732+0.103253j 0.0788808-0.310039j 0.122355-0.167906j -0.739411-0.268449j 0.625503+0.502243j -0.256082+0.830055j 0.376933-0.262313j 0.159605+0.0309428j 0.488453-0.542415j -0.444992+0.28103j -0.0148003+0.00761552j 0.519208+0.204511j -0.26765+0.252903j 0.618109-0.858841j -1.13059+0.788784j -0.969332-0.525245j -0.137554+0.252422j 0.297048-0.431302j -0.0698652-0.244139j 0.0390302-0.238841j 
-0.150717+0.518252j 0.729057-0.0625325j 0.0711057+0.0893424j 0.167329+0.555953j 0.264062-0.232882j -1.71164-0.883786j -0.407826-2.92874j 0.403177+0.186685j 1.47591-0.664403j -2.38719-1.73515j 0.233267+0.489314j 0.434799+0.810747j -0.453494-1.17865j -1.16111+0.0273389j -0.414655+2.53153j 2.19929+0.716363j -2.80876-0.286945j 0.20479-0.664317j -0.472084+0.483649j -0.478314+0.0521925j -0.0680912+0.378843j -1.40258+0.230824j -0.105512-0.490506j 0.463031-0.263605j -0.475816+0.0570023j -0.726534-0.681472j -0.621794-0.591069j -0.0990919-0.33136j -0.398253-0.0800453j -0.247757+0.0636089j -0.269664-0.493355j 0.366954-0.0382407j 0.464782-0.62798j -0.0313902+0.655171j 1.17809-1.72375j 0.756494-0.382236j -0.744998-1.49253j -0.0260859-0.868755j -0.750801-0.478335j 0.83179+1.81907j -0.526106+0.170944j 0.680309+0.260704j 0.0093688-0.103318j -1.45103-0.749968j -0.206003+0.0576839j -0.449924+1.19343j -0.569434+0.301203j 1.59764-0.0929748j 0.664146+0.183683j -1.0539+0.303271j 0.391753+1.10922j -0.516551-0.301876j -0.0882397-1.35584j 1.40836-0.26393j 0.371303+0.547523j -0.794584+1.27265j -0.408976+1.01574j -0.471661-0.253947j 0.450168+0.286765j -0.225975+0.0672632j 0.41148-0.87485j -0.0618775+0.00994612j -0.103055-0.485459j 0.026901-0.224544j 0.52185-0.244233j 0.453044-0.0301335j 0.43381-0.206985j 0.37837-0.198341j -0.00509523-0.245942j 
0.927943-0.980192j -0.991527+0.194756j -1.397+0.345513j 1.27643+0.619955j -0.437173+2.09443j 1.445+1.33916j 0.00233922-1.61467j 1.04475+0.660107j -1.37955-0.546153j -1.68544-2.08448j 1.45749-0.276008j 0.871841-1.42871j 0.308239+0.693255j 0.569444-0.549235j 0.414194+0.308568j 0.205892-0.195278j -0.236701-1.34544j 0.254824-0.544805j 0.696059+1.12511j 0.0470311+1.46518j -0.856614-0.540386j 1.96618-1.12151j -0.486148-0.830998j -0.360949-0.213968j 1.02665-0.866626j -0.242821+1.32647j -0.13741+0.72458j 0.072976+0.0545801j 1.09473+0.355678j 0.397096+0.258372j 0.279251+0.916456j 0.0776105+0.67286j 0.568536-1.41379j 1.36722+0.17381j 0.345386+0.981923j 0.00916768-0.516721j -0.883765-1.26633j -0.758071-1.11695j 0.49517+1.41726j -0.555456+0.753293j 1.42131-0.190142j -0.0444187+1.07161j 0.457273-0.849448j 0.0581027-0.902452j 1.00649-0.0442299j 1.06431-0.117494j 0.0407061+0.471316j 0.949913+0.281596j 0.0656273+0.178416j 0.520982+1.29226j 0.72746+0.561107j 0.135993-0.0532906j -0.298405+0.218184j -0.0477394-0.149923j -0.121901+0.30138j -0.212022-0.322263j -0.845399-0.101894j -0.847253-0.515698j -1.21415+0.162311j 0.646397+0.147615j 0.0225189+1.32384j -0.257097+0.176724j -0.505458+0.285214j -0.388477-0.342698j 0.346744+0.216759j -0.5152-0.910102j -0.296867-0.11335j -0.537446+0.0865014j -0.321005+0.247141j 
-1.89447+1.05998j -0.748471+0.255908j -0.953747+1.45081j -0.50534+1.60435j 2.63599+1.79422j -0.486222+0.288307j -0.509658+0.505805j 0.738561+0.551473j -0.362481+0.413266j 1.32515-1.3175j 0.399376-1.4428j 0.97217+0.107309j 0.455642-0.597733j -0.417471+1.26384j 0.683267+0.0873797j 0.584243-0.676237j -0.217036+0.0828778j 1.59615-1.32566j -0.47887-2.26991j 0.0394724-1.10449j 0.00911716+0.162753j -0.11712+0.247746j -0.541483+1.41022j -0.000920734-0.595713j -0.265036-0.117237j 0.0391826+0.0208442j -0.13395-0.748721j 0.493941-0.102384j -1.06903-0.790651j 0.336291+0.162459j 0.971496-0.0387303j 0.802478+0.933329j 0.903221-2.35283j -0.932208-0.661935j -1.40174+0.732564j 0.697092+0.871198j -0.168592-1.21366j -1.30663-0.536009j -0.434044+0.267513j 0.0680536-1.17367j 0.947322-1.11634j -0.139631-0.115204j -0.280383+0.624343j 0.954236+0.0918067j 0.45061-0.435527j -0.379258+0.566197j -0.664912-0.66642j 0.0761279-0.0872768j -0.153041+0.876722j 0.164755+0.309062j -0.26624-0.305585j -0.126411+0.306624j -0.922781-0.22778j 0.349724+0.501491j 0.257134+0.112193j 0.385589+1.33176j -0.276835-0.428704j 0.93995-0.419172j 0.000265101+0.291096j -0.55443-0.442727j 0.29517-0.022349j 0.0361859+0.131069j 0.101235+0.457595j -0.360319-0.191235j -0.362421-0.453343j -0.171906+0.082098j 0.300435+0.205798j 0.397854+0.24261j 0.190061+0.048089j 
2.22215+1.85835j -2.50174+3.19738j 0.257778-1.15688j -1.0396-0.505884j 0.914632+1.16926j 0.431494+0.122818j -0.810572-1.12287j -1.28942+1.44275j -0.385155-0.678121j 0.552338+0.908118j -1.20583-0.115999j 0.487871+1.17892j 1.40135-0.320969j 0.750696-1.38941j 0.0460813-0.222341j -0.234342-0.600745j -0.819542-0.16369j -1.37639-0.117423j 0.0232557+0.333018j -0.575084+0.467496j -0.303234+0.28943j -0.0610046-0.854663j 1.03584-0.200359j -0.657648-0.0529759j 0.0291689+0.318739j -0.504268+0.5608j -0.464089-0.234436j 0.455292-0.533997j 0.202418+2.59294j 0.25378-0.0102712j 2.72186-0.596783j -1.79536+1.69973j -1.02969-0.40147j -0.858085-1.01185j -0.426438-0.688473j 0.229469+0.974769j 0.481513-0.31447j 0.0403511-0.814274j 0.209828-0.330778j 1.19933+0.476008j 0.62243-0.176214j -0.036911+0.453069j 0.722376+0.625918j 0.383858+0.706501j -0.529417+1.00607j -0.101319+0.0716599j 0.672521+0.368543j 0.35061-0.0211386j -0.761738+0.16603j 0.233243-0.845829j 0.111194+0.626262j -0.0979773+0.146369j 0.231359+0.70214j -0.388143-0.527799j 0.101315+0.132878j 0.169127-0.0918136j -0.597234+0.223106j -0.383588+0.092097j -0.145663+0.0786107j -0.0577649+0.543253j 0.299374+0.241581j -0.0260989+0.0479625j 0.235821-0.200779j -0.273135+0.165989j -0.144581+0.221821j 0.108266-0.127857j 0.267304-0.0632393j 0.00504881-0.124171j -0.103969-0.142429j 
0.175039-0.129475j 0.434311+0.0917674j -0.10207+0.504873j 0.546765+0.0171116j -0.161275-0.412735j 0.703914-0.476252j -0.272981+0.0243448j -0.253186-0.468693j 0.579314-0.0406441j 0.0794433-0.0294468j -0.0550588+0.222628j -0.723978+0.335665j -0.372214+0.361504j 0.0723264+0.405708j 0.114973+0.0231616j 0.669162+0.117168j 0.586454-0.160857j 0.0623374-1.05485j -0.129132-0.383659j -0.460975+0.155591j -0.21876-0.712061j 1.86152+0.2495j 0.622877+0.469764j 0.219732-1.53861j 1.69755-1.80929j -0.346194-1.48075j 1.15215+1.45068j -2.38+0.467288j -0.385227+0.0449785j -1.03398-3.52992j 0.209237-0.039029j 0.126997+0.0336058j -0.10824+0.0149758j -0.152798+0.152754j 0.134194-0.0482269j -0.160503-0.0321363j -0.00161982+0.0155309j 0.0476591+0.168093j -0.250746-0.0300649j 0.0170008+0.0124426j -0.186285+0.177719j -0.177293+0.131786j -0.254574-0.0340218j -0.0749586+0.0607116j 0.101085+0.435025j 0.0463315+0.0685097j 0.109714+0.0942202j 0.187358+0.0593904j -0.414839+0.111475j -0.00919758+0.15548j -0.116933-0.0109903j -0.0516229+0.107118j 0.064448-0.0281272j -0.463699-0.390591j 0.134827+0.256261j 0.0750576-0.113879j -0.259542+0.183118j 0.236543-0.0578464j -0.199448+0.629035j 0.215511+0.186359j 0.439153-0.218964j 0.307247+0.102798j 0.537391+0.369073j -0.299404+0.177163j 0.357931-0.162052j 0.0179729-0.21646j 0.129638+0.404938j -0.913151-0.29343j 0.525717-1.32374j 
-0.122229-0.0787567j -0.0527174-0.292524j 0.321567-0.14995j -0.0450992-0.356064j -0.216921+0.183025j -0.404858-0.225539j 0.00548815+0.160474j -0.328006+0.311114j -0.106166-0.281697j -0.00116466+0.0228299j 0.256049+0.113122j 0.0982096+0.266312j 0.32013+0.140003j 0.166252-0.0978141j -0.0803187+0.00626419j -0.171724-0.277499j -0.258109-0.246399j -0.393232+0.156444j -0.0600491+0.735667j 0.359598+0.27625j -0.339512+0.372764j -0.367455-1.28437j 0.586522-0.450123j -1.36797-0.0533333j -1.51755-0.904526j -1.3104+0.675294j 1.16648-1.02451j 1.35648+1.49107j -0.0618966+0.188292j -2.13111+1.56641j -0.0590143-0.129308j -0.249432-0.438328j -0.044276+0.329651j 0.112241+0.348402j -0.0508058-0.451515j -0.113606+0.622201j -0.0360311+0.0189139j 0.513031+0.114932j -0.507052+0.413278j 0.119587-0.0778546j 0.138523+0.603111j -0.0603415+0.67504j -0.433006+0.549236j 0.0838495+0.181982j 0.993072+0.296107j 0.259736+0.0638437j 0.375179-0.0751341j 0.496983-0.237119j -0.396721+1.09159j 0.133691+0.0431777j -0.159707+0.152202j 0.304625+0.334707j -0.048047-0.229394j -1.32072+0.116201j 0.830721-0.00311906j 0.2577-0.245143j -0.323564+0.97278j 0.910061-0.526497j 0.743254+1.53816j 0.616791+0.122785j 0.673409-1.10944j 0.701154-0.276135j 1.60394+0.753171j -0.153529+0.201038j 0.187536-1.13747j 0.803471-0.575347j 0.943447+0.314144j -3.59944-0.534196j 1.06059-3.1425j 
-0.202126+0.163925j -0.420316-0.0260706j -0.170037-0.501432j 0.172718-0.101863j -0.0130905-0.00551692j 0.530937+0.468232j -0.466741-0.178568j -0.628388-0.146892j 0.64911+0.423153j 0.306354+0.591697j 0.548101+0.874887j -1.67564-0.254781j 0.0678471+0.400656j -0.0594387+0.275851j -0.0872251+0.571169j 0.638606+1.20068j 0.14731-0.187659j 0.631239-0.0838278j 1.54773+2.33908j 1.09776+0.507039j -0.465858-0.36745j -0.128906-0.656208j 0.480848-1.10733j -1.79881-1.05937j -0.358766+1.04176j -0.760626-0.365978j 1.7722-0.836817j -0.648589-0.938132j -0.0812449-0.315238j 3.17974-1.27496j 0.208697+0.426705j -0.140771+0.280096j 0.0595981+0.0143363j -0.248457-0.453002j -0.101254+0.120701j 0.205301-0.0544125j 0.00263408+0.00645819j -0.126242-0.209437j -0.145545-0.30935j -0.0797411-0.209064j -0.257824-0.141768j 0.0488527-0.0700085j 0.0191945+0.0224081j 0.146633-0.0549602j -0.017786-0.125909j 0.05526+0.544328j 0.0120475-0.0270159j 0.148897+0.453955j -0.046556+0.402813j 0.147899+0.42209j -0.322908+0.0373846j -0.198738+0.296922j -0.698887+0.0465723j -0.506781-0.266536j 0.193554-0.155767j -0.438201+0.401752j 0.275751-0.596906j -0.1222+0.259883j 0.559591+0.0255442j 0.0405054-0.207189j -0.01911+0.250058j -0.0744497-0.581229j -0.612116-0.212401j 0.140675+0.419346j -0.236787+0.23865j -0.366323-0.515745j 0.703359-0.0157034j 0.808354-0.24481j 0.996893+0.821869j 
0.232515+0.107218j 0.086791+0.335753j -0.276747+0.233075j -0.176592+0.0403129j 0.10927+0.092849j 0.00790753-0.27585j 0.0480269+0.296235j 0.0835576+0.421588j 0.0187249-0.504968j 0.32214-0.346878j 0.00614749-0.706263j 0.305246+0.943471j 0.34934-0.169952j 0.493416-0.172316j 0.479414-0.0673941j 0.77592-0.586808j -0.0560314-0.172826j -0.0890922-0.585492j 1.54278-1.60345j 0.236937-0.950711j 0.0968268+0.231928j -0.613558+0.285839j -1.01005-0.417116j -0.59944+1.64214j 0.604148-0.145645j 0.108842+0.573095j -1.27793-1.08277j -0.686537+0.829256j -0.301688+0.0761896j -1.40135-1.88876j 0.86404-0.0388378j 0.449204+0.378829j 0.110446+0.0377068j -0.983259-0.137904j -0.00556128+0.335311j 0.00262879-0.182039j 0.0636328+0.0561019j -0.348709-0.303436j -0.754086-0.126722j -0.770923-0.242226j -0.467216+0.255919j 0.0767825+0.139581j -0.150421+0.526528j 0.0464779-0.273061j 0.380082-0.237835j 0.930753+0.892793j 0.12312+0.101309j 0.964644+0.562648j 0.238109+0.801969j 0.785834+1.19636j -0.717954+0.223902j 0.145608+0.655722j -1.38806+0.871072j -1.77084+0.31038j -0.0137877-0.912091j -0.492072+0.691118j 0.452867-0.938966j 0.340883-0.377613j 1.80567-0.219133j 0.527441-0.294122j 0.373923-0.130849j -0.650215-1.30655j -0.982672+0.150212j 0.170761+0.376145j -0.783934+1.21108j -1.35775-1.7592j 2.08492-0.0239465j 0.881622-0.567193j 1.8467-0.111314j 
0.340506-0.376873j 0.272761-0.108134j -0.148206-0.320941j 0.392725+0.77664j 0.781259+0.234393j -0.182166+0.633459j -0.158817-0.643784j -1.02388-0.351063j -0.119954+0.468558j 0.413355+0.771714j -1.40781+1.05661j -0.111691+0.136193j 1.13732+0.275991j 1.39097-0.961522j 0.823367+0.193864j 1.64866+0.609359j -0.174192-1.37443j 0.260025+0.221847j -0.319551+0.115024j 0.680179-1.52458j -0.0362694-0.123452j -0.421877+0.985099j -1.07028-0.519476j -0.332429+1.10067j -1.59907+0.164317j -1.05339-0.251485j -0.436086+2.7626j -0.549514+1.30657j 0.207039-0.0909888j 0.969192+0.0612922j -0.342694+0.25526j 0.0375161-0.00931643j -0.356342-0.293225j 0.138377-0.2339j -0.0243019-0.189563j -0.0152957-0.177194j -0.0147839-0.0713008j 0.637142+0.478173j 0.0788511-0.32393j 0.0377073+0.107578j -0.498077+0.325765j 0.406502-0.247654j 0.370186-0.894395j 0.146259-0.618543j 0.513358-0.363533j 0.454872+0.200019j 0.122695-0.523605j 0.145403+0.302777j 0.30146+0.90708j -0.367893-0.715167j 0.29289+0.383104j 0.286043+0.663114j 0.0826186+0.472255j -0.0312502-0.561276j -0.332886+0.0601263j 0.0435986+0.312215j -0.594458-0.0527335j -0.559409-0.0654923j 0.0832866-0.688073j -0.480572+0.0937229j -0.207348+0.268034j -0.599982+0.481889j 0.231721+0.59137j 0.566496-0.160034j -0.725257-0.992986j 0.764377+0.282666j -0.771975+0.864557j -0.63937+0.567808j 0.315958+0.185577j 
0.364953-0.151732j 0.0866133+0.166715j 0.197799-0.164596j -0.731875+0.193056j 0.44083+0.212706j -0.592724+0.906362j 0.458481+0.159485j 0.378852+0.0113541j -0.205549+0.244755j 0.0305489+0.0866919j -2.03077-0.620355j -0.334994-0.718034j 0.0129871+0.320298j 0.482057+0.827888j 0.0260976+0.994924j 0.26886+1.14655j 0.353799+0.708794j 0.032681-0.7886j -0.0511217-1.13057j 0.829156+0.0814304j 0.204137-0.510858j -0.3686+0.464541j 0.521764-1.98342j -1.24715+0.11181j -0.206522-0.344762j -0.522542-0.684657j -0.127476-0.145084j -0.708418+1.03347j 0.159389+0.545393j 0.0975276+0.758801j -0.18016-0.717099j -0.0928252-0.0617361j 0.794762+0.376712j 0.111038+0.419453j 0.0422227+0.375015j 0.0759318+0.171465j 0.097607-0.134435j -0.936356+0.119662j 0.134928+0.0720514j 0.131893+0.967717j -0.000653889-0.952584j -0.741922-0.587507j -0.0795398+0.230627j -0.285834+0.223864j -1.03852+0.712237j -0.789305-0.0207544j -0.191225+0.359309j -0.901262-1.07129j -0.664235-0.598407j 0.0497913+0.219079j 0.0670818-0.477451j -0.478445-0.155419j 0.383461-0.206743j 0.235757+0.0823549j 0.618286+0.358642j 0.256427+0.00402291j 0.160142-1.05661j 1.26735-0.246183j -0.143131+1.09204j 0.29504-1.14072j -0.46226-1.12471j 0.606335-1.36578j -0.637254-1.12784j -0.722147+0.806158j 1.66443+1.15133j -1.15023-1.27451j 1.28215-0.474561j 0.630776-0.414036j -1.29514+0.0693687j 
0.120392+0.173379j -0.0329204+0.0364118j -0.124061-0.06842j 0.380415+0.457658j -0.300359+0.411734j -0.148184-0.862004j 0.0436673-0.524408j -0.816836-0.682075j 0.249851-0.415213j -0.630841+0.775353j 0.887189-0.530066j 0.0463838+0.868573j -0.23053+1.41388j 1.22331+0.629602j -0.224434-0.358675j -0.500348+0.771548j 1.29111-1.50939j 0.00250323+1.1118j -0.7013+1.28216j 0.752318+0.378391j -0.232059+0.694682j -0.722455-0.453168j -1.15116+0.749714j 0.0460479+0.00513743j -0.879914-1.96411j 0.836196-0.195109j -3.47907+0.833683j -0.672201-1.54172j -0.291236+0.217233j 0.332625-0.229756j 0.478654-0.350008j -0.0864326+0.0363649j 0.636445+0.0284829j -0.142333+0.356216j -0.0858254-0.335832j 0.337073+0.49884j -0.158136-0.0367319j -0.692542+0.363888j 0.0343231+0.344838j 0.604407+0.0937669j 0.97959-0.256048j -0.829442+0.372539j -0.199005+1.49114j 0.319483+0.572886j -0.096601+0.0290889j -0.750355+0.00307821j 0.086958+0.0594488j -0.588385-0.384521j -0.579838+0.197784j 0.178284-0.0384743j -0.331072+0.00664637j -0.711812-0.824501j -0.368659-1.04093j 0.276052+0.116809j 1.23687-0.234632j -0.54195-0.136111j 0.570469-0.433728j 0.822695+0.159321j -0.358735+0.283886j 0.349223+0.123851j 0.169011-0.696729j 0.848612-0.82311j 0.255621-1.13969j -0.921335+0.144557j 0.65059+0.987078j -0.83933+0.294255j -0.560123-1.1815j 1.05871-1.25953j -0.547663+0.154088j 
-0.31395-0.353479j -0.144642+0.293911j -0.333469+0.714139j 0.26017-0.915694j -0.36176-0.267221j -0.51573+0.79764j 0.275054+0.424727j 1.20905+1.36172j 0.526887-0.311017j 0.192875-0.395265j 0.122309+0.0857668j -0.174741+0.157917j -1.28949+0.77584j 1.16308-0.30561j -1.20108-0.765495j 0.595428+0.756103j 0.726196+0.574717j -0.918697-0.831178j -0.273785+0.561958j -0.970375+1.44111j -0.406788-0.0981264j -1.94744+0.684926j -1.76485+2.53888j -0.162041-0.663575j 0.403451-0.539147j -0.275906+1.1632j 1.88412+1.27403j 0.642955-0.679559j -0.136832-0.248727j -0.686031+0.0485661j 0.205013-0.290188j 0.223099-0.305328j -0.301879+0.373045j 0.436978-0.152975j -0.0449787+0.48507j 0.0105169-0.424704j 0.0794636+0.0158963j -0.557533-0.993356j -0.130881+0.282646j -0.589528-0.171141j -0.270165+0.0151791j -0.517006+0.37763j 0.566294-0.307689j 0.209692+0.591941j 0.566007+0.0481315j -0.657183-0.182813j 0.0828906+0.00272104j 0.828037+0.354588j -0.156857+0.00583313j 0.578978+0.346602j 0.240804-0.273201j -0.173205+0.495213j 0.158004-0.824196j 0.574107-0.331606j 0.178012-0.304356j 0.0900698-0.308622j -0.166851-0.413781j -0.602338+0.720208j 0.11043-0.683099j 1.1879+0.462539j -0.668399-0.286922j -1.07614+0.200357j 1.33419+0.727147j 0.206271+0.861134j -0.885389+0.322623j -0.0146478+0.315377j -0.000905731+0.94359j 0.503407+0.0947201j -0.192799-0.28596j 
0.250469-0.0208862j -0.0788355+0.187657j 0.0812599+0.0900896j -0.277174-0.541349j 0.469141+0.190721j -0.924366+0.460051j -0.275979+0.281382j -0.0938941+0.910849j -0.376223-0.231041j 0.495779+0.131949j -0.537113-1.63028j 0.780402-0.39385j 0.720213-0.152113j 0.0697891-0.40421j -0.490169+0.639956j 0.0487643+0.50477j -1.23303-0.266328j 1.09794-0.210106j 1.27319+0.000112909j 0.49324+0.307891j 0.630925+0.126311j -0.306815+0.461111j 1.81426+0.552783j -0.144489-0.737711j -0.979813+0.63545j 0.227741-1.25102j 1.34214+2.07161j -1.51357+0.555196j -0.335457+0.399945j -0.476619-0.0805134j 0.659424-0.433756j 0.2695-0.0728851j -0.161562-0.21937j -0.0865472+0.253804j -0.450756-0.868191j 0.331193+0.266659j -0.332516+0.311653j 0.211228+0.47632j 0.068751+0.46639j 0.335489-0.893433j 1.45154+0.248227j -0.263664+0.731876j 0.13111+1.42975j 0.925179-0.128276j 0.604594-0.92187j -0.365296+0.00439894j -0.0299824-0.55835j 0.173192+0.322595j 0.540615+0.646217j -0.257783-0.820706j -0.19781+0.763541j -0.962958-0.812295j -1.1177-1.25188j 0.559778+0.178192j 0.919547-0.792208j -0.669734+0.25725j 0.962841+0.221816j 0.0438241+0.971333j -1.00713-1.27675j 0.173625+2.16237j 1.06131+0.367119j 0.696796+0.29342j 0.900136-0.334963j -0.51908-0.494214j -1.23132+0.152944j -0.031448+2.00433j -1.75715-0.914039j 0.451504-0.918042j -0.119467+0.032385j 
