-0.0116582-0.153794j 0.0478003-0.0625544j -0.0257232+0.011931j 0.119151+0.314593j 0.106175+0.101679j 0.0885817-0.158916j 0.0657517-0.366162j 0.143949-0.0659685j -0.233391+0.210504j -0.11642-0.383171j -0.0390649-0.100054j 0.032376+0.0633204j -0.0128176-0.12189j -0.0860753-0.261273j 0.400089-0.441418j -0.237568+0.0884231j 0.228804+0.0189438j 0.0888551-0.0227325j 0.135571+0.362871j 0.0924763+0.122496j 0.0774793-0.0307065j 0.202264+0.564678j 0.0728019+0.409994j 0.313831+0.120764j 0.36379-0.0913344j -0.536873+0.0637451j 0.220165-0.401343j -0.0637749+0.0352318j -0.414884+0.450579j 0.00206157-0.145527j -0.259181-0.671153j 0.19063-0.0192783j -0.101766-0.28048j 0.833382-0.299304j 0.394201-0.201499j 0.201598+0.281734j -0.607767+0.674923j 0.996721+0.602428j 0.113525+0.262109j 0.186674+0.797048j -0.0642233-0.294702j 0.929668-0.373301j -0.534738-0.233449j 0.468763+0.974996j -0.380746+0.136466j 0.330958-0.257564j -0.758917+0.285175j -0.482466-0.293392j -0.824572+0.328085j 0.246298+1.5431j -1.27126-2.30243j 2.12048-1.07919j 
0.425368+0.0940598j -0.405266-0.922073j 0.875593-1.17004j -0.0986374-0.697974j 1.55976+0.386097j -0.712555-0.117169j -0.16891-1.05877j -0.200261-0.518784j 0.0832586+0.469711j -0.0696349-1.06119j 0.243783+0.0737366j -1.05324+0.225773j -0.645303+0.123952j -1.87499-1.4669j 1.18473+0.472415j -0.506425-1.33329j -0.0623201+0.84047j 0.339177-0.0516166j -0.723137+0.666965j -0.960669-0.33849j -0.981052+1.06022j -1.50622-0.901942j -0.00333617+0.110612j -1.45876+0.152001j -0.554181-0.455001j 0.42645+0.819766j -1.09475+0.622863j -1.1386+0.0987461j 0.43466-0.440472j 0.0193603-0.373323j -0.999763-1.05249j -0.108875-0.361351j 0.954804-0.464712j 0.117144+0.147825j -0.683498+0.154252j 1.2239+0.293771j -1.7175-1.15094j 0.812818-1.07632j -0.360227+0.20805j -0.816986-0.462253j -0.0533857+0.242039j -0.958449-0.4025j -0.948684+0.0608456j -0.146791+0.0238878j -0.499137+0.0671532j 0.122881+0.0921408j -0.14581-0.19023j 0.289081-0.240791j -0.162417-0.468836j -0.317644-0.153461j -0.190997-0.697271j -0.0134154-0.382578j 
-1.22454+0.307034j 0.825526+0.553555j 0.302746+0.17021j 0.643888-1.29452j 0.846195-0.326277j 0.467472+1.48726j 0.517406-0.148879j -0.0997155+0.329659j 0.341272+0.38619j -1.31355-0.00885923j -2.12084-1.28686j 0.64763-0.435947j -0.16464+1.67564j 0.325036-0.170116j 1.44008+0.174376j 2.16963+1.2192j -0.970164-0.874157j 0.111706+0.285617j 0.537045+0.000977903j 0.334909+1.52649j 0.75981+0.173988j 1.8581+1.05326j 0.882768+0.255099j 1.34717+0.521093j 0.0626004+0.107452j -1.36689-1.87148j -0.0658884-0.962576j 0.686488-0.387476j -1.90456-1.01554j -1.15476+0.19013j 3.41719+0.999165j -0.230125+0.116256j -0.214263+0.19804j -0.658097-0.91846j -0.668647+0.0619692j -1.62978+0.51028j 2.21765-0.0521414j -0.942164+0.190221j 0.56782+0.360747j 0.863107+0.0514064j 0.0718259-0.225479j 0.494804+1.20046j 0.240396+0.26566j 1.24965+0.466942j 0.890568+0.628261j -0.463791+0.366825j -0.845141+0.149816j -0.114771+0.286745j -0.205424+0.302495j 0.283849+0.450963j 0.0222727+0.412717j 0.0378787+0.036975j 
1.29678+0.150907j 0.992176-0.363342j 1.69342-0.366325j -0.71454-2.38354j -0.149382+0.868947j 0.690493-0.577622j -1.08873+0.346942j -0.460139+0.261308j 0.571356+0.945413j -0.155213+0.420905j 0.98705-0.224961j -0.193327-1.22398j -1.42579-0.160971j -0.0799846+0.412396j -0.343012-0.359699j -0.91414+0.287051j -0.0782163+0.370276j 0.874176+0.183896j 0.970325+0.70238j -0.830802+0.287652j 0.143961+0.285862j -0.538343+0.162451j -0.455778-0.303143j -0.109478-0.333398j -0.411885+0.401371j 0.532886+1.2393j -0.456457-0.813504j -0.994744+0.37848j 0.154604+0.360782j 0.652518-0.340313j -0.418079-0.497794j -0.0893717+0.0831296j -0.200965-0.888168j 0.67825+0.10219j 0.259652+0.0550486j 0.114083+0.129496j -0.738362-0.149606j 0.583661-0.0219394j -0.489851+0.0811771j -0.425205-0.103342j 0.223339-0.0352873j 0.0334798+0.36979j -0.523777-0.480431j -0.0672113-0.156708j 0.0050341+0.0299883j 0.440936-0.350233j 0.345751+0.0420615j 0.296528+0.337193j 0.651603-0.138686j 0.509474-0.204429j 0.461012+0.089683j 0.0959164+0.0653102j 
-1.66461-2.13093j 2.13698-1.94399j -0.501754+1.817j -1.08642-0.505472j -0.312267+0.0985073j 0.737719+0.312766j -0.853814-0.435962j -0.473504+0.222176j -0.552917+0.862344j -0.499002+0.550974j -1.15612-0.409608j 0.112478+0.216022j 0.0897067-0.93854j 0.0718351-0.29217j -0.942985+0.612916j -0.967773-0.861516j 0.359259-0.11319j -0.469311-0.220045j -1.06004-0.168591j 0.143458-0.262153j 0.202792+0.0221742j -0.518965+0.933457j -0.0580214-0.0816678j 0.386784+0.589228j -0.0379754-0.0230089j -0.317464-0.783165j 0.217146+0.302461j 0.476422+0.169678j -0.315715+0.140886j -0.19982+0.547632j 0.285477-0.681522j 0.0528737+0.0224668j -0.127238+0.204732j -0.153613+0.409731j -0.109953-0.0305563j 0.334665+0.137813j -0.376612-0.199303j -0.39762-0.562947j -0.272937+0.271169j -0.0365015+0.151243j -0.0288904-0.157344j 0.021049-0.0674019j -0.236814+0.420727j 0.120575+0.31836j 0.0885548+0.130268j -0.131126-0.342038j -0.0237946-0.193335j 0.171059-0.0803352j 0.0841445-0.360113j -0.133515-0.0622754j 0.0183784-0.193189j 0.152104-0.127031j 
0.207611+0.125997j -0.00953764+0.179037j -0.123645+0.0223855j -0.397565-0.194937j -0.19794+0.0840333j 0.127912+0.0780201j 0.349731+0.328524j 0.0615009-0.0151081j -0.155686-0.27556j 0.537256+0.196124j 0.047657+0.448231j -0.13652-0.222888j 0.207454-0.0283732j 0.409805-0.139817j 0.0709421+0.665811j 0.414595-0.860871j -0.415649+0.562487j -0.0254294+0.0775696j -0.259277-0.578252j -0.134336-0.296379j -0.0664718-0.111345j -0.320399-1.2082j -0.424999-0.384722j -0.30872-0.588181j -0.197765+0.262612j 0.404181-0.105599j -0.543832+0.443872j -0.0456384+0.0312851j 0.18073-0.0506066j -0.478424-0.30092j 0.473174+0.135834j -0.137424-0.0869857j 0.249206+0.424529j -0.760451-0.232073j -0.294643+0.184167j -0.0100592+1.01073j 0.703713-1.59425j -0.0936989-0.00940265j -0.454825-0.331651j 0.0905915-0.907422j -0.997607-0.379822j -0.833127+0.0952624j -0.0257749+1.18792j -0.746747-0.216541j 0.399552+0.868321j -1.97068+1.07081j 0.66503+0.455108j -0.72293+0.0106284j 1.1043+0.0522999j -0.574956-1.4769j 2.65587-1.38527j 1.58214+3.87304j 
0.0691704+0.127709j 0.128831-0.289457j 0.640968-0.470594j -0.781161+0.549937j 0.0328903+0.321563j 0.0980138+0.0392271j 0.853623+0.0686185j -0.136124+0.281467j 0.394507-0.210583j 0.364516-0.633642j -0.098001-0.654344j -0.453645+0.457442j 0.266513+0.0187734j 0.362277+0.244178j 0.541987+0.139053j 0.355603+0.477131j -0.209963-0.423352j 0.212934-0.05261j 0.147567+0.204343j 0.172945+1.38057j 0.0676787+0.252219j 0.197563+0.296811j -0.228171+0.269968j -0.0257598+0.0861759j 0.919794+0.172347j -0.318386+0.306526j 0.194278-0.667071j 0.237068+0.319072j 0.0430811-0.0113122j 0.293961-0.627852j 0.208851+0.147706j -0.161985+0.188201j -0.246045+0.790172j 1.79663-0.609516j 0.943172-0.0222906j 0.162636+0.266665j 0.427553+0.936566j -0.180349+1.43407j -0.929586+0.400137j 0.950267+0.467601j 0.241904-2.11568j 1.11487+0.0953524j -0.558897-0.515468j 0.149428-0.870817j -1.04905+0.0846057j -0.775879-0.529702j 0.607441+0.945692j -0.0678344+0.160594j -1.50422-1.19283j 1.87008-1.97731j 0.320252-1.23331j 1.8084-1.5835j 
0.0763735+0.00187679j -0.387756-0.519109j 0.125251-1.03914j 0.354912+0.877839j 0.245249+0.0183492j -0.595822+0.883705j -0.364358-0.150555j -0.548429+1.84225j 0.938323-1.7894j -0.495367+0.262424j -0.00362952-2.90898j 0.180051+1.12729j -0.622608+1.22309j -0.3095+1.81286j -0.763202+1.14928j -1.2797+4.08184j 0.735525-2.55846j -0.57941-0.358588j -0.739905+1.17179j -0.170968+0.61019j 0.454376+0.781751j -2.05591+5.82676j -0.646047-1.08007j -0.406926+4.254j -1.09437-0.0113664j 3.57539-2.62598j 1.3707+0.206478j 0.315382+0.368639j 0.34875-3.9546j 1.89737+0.589457j 0.615848+5.00673j -0.68059+0.973575j -0.238687-2.19111j -0.642281-0.189039j -0.28372-0.0110853j -0.574398-3.60581j -0.529139+5.2652j 0.805039-0.934666j -0.0782363+1.19452j 0.0439222+2.28329j -0.206119+1.56956j -0.456273+3.16668j 0.474141-0.765292j 0.160942+1.15382j -0.506957+0.866829j -0.222277-0.738667j -1.40899-0.83837j -1.838+0.0543112j -1.97133+0.569863j -0.423208-1.65994j 0.0445952-2.11778j -0.62368+0.896479j 
-0.223978-0.200488j -0.428299-0.710666j 0.281305-0.468364j 0.00359514+0.747333j 0.280358+0.0984744j 0.164063-0.239532j 0.464041+0.242008j -0.243069+0.134621j 0.00789037-0.175924j -0.891342-0.0710294j 0.411679-0.418959j -0.344628+0.544546j -0.20235+0.678627j -0.174853-0.0257849j -0.50213+0.0692908j -0.27202+1.91151j 0.323111-1.25778j 0.885553-0.200763j 0.399816-0.394557j 0.262264-7.01458e-05j 0.177778+0.160211j 0.408219+1.90757j 0.422703-0.911872j 0.317838-0.187452j -0.76829+0.0137494j 1.08923-0.0172382j -0.575226-1.76887j -0.728032+0.246301j 0.457667-0.492967j 0.570001-0.0922544j -1.10302+1.11283j -0.44929-1.06946j -0.495516+0.374886j 0.0336362+0.367053j -1.35857+0.0448841j -0.850639+0.117438j 0.4122+2.07658j -0.607837-0.368164j -0.926609+0.612238j -0.613124-0.538429j 0.755868+0.0134157j -1.39113+1.22097j 1.66683+0.316463j 0.616373-0.85904j 0.678005-0.0128137j -0.487446-1.17812j 0.399625-0.880063j 0.729576-1.79884j 1.43625+0.472279j -3.14083+0.940827j -0.890098-1.56075j 0.608069+0.326516j 
-0.378241+0.00551479j -0.298992-0.508981j 0.0704248+0.915671j 0.0459631-1.46775j 0.0868201+1.71895j 0.577112-2.19635j 0.27921+0.802221j 1.27505-3.32169j -1.77487+3.28316j -0.128599-1.24244j -1.20331+5.26392j 0.0135659-2.05983j 1.17743-2.77603j 0.331357-4.13658j 0.641604-1.509j 2.84855-9.2297j -0.732284+5.56517j -0.75936+1.18726j 1.2445-4.06573j -0.0736101-2.20482j -0.0510552-2.34722j 2.67146-11.5027j 0.300123+0.872775j 1.42566-7.80937j 0.615609-1.56117j -5.63809+4.08871j -3.43666-0.271319j 0.5702-0.492661j -0.660475+7.5575j 0.395758-0.209325j 2.10346-10.8751j 1.05011-1.78152j -0.930494+2.80487j -1.04859+2.24357j 0.153333+0.426557j -1.63838+5.5297j 2.51254-9.51j -1.23431+2.57822j 2.35109-3.7983j 0.378628-2.51162j -0.462791-1.34666j 2.58228-5.16767j -1.82563-1.27344j 2.29105-3.04903j 1.18476-2.77811j -1.17165-0.0825316j -2.56621+2.40107j -0.604318+3.53475j 0.694033-0.932362j -0.398081-1.9637j -0.644028+1.26613j 0.944004-0.613853j 
0.578618-0.186068j 0.805421+0.340413j 0.379852-0.866298j -0.456869+1.86362j 0.150288-0.696811j -0.454861+2.76421j -0.00989217-0.954946j -1.10021+2.55252j 1.67004-2.74866j -1.1065+0.401459j 1.81378-4.84047j -0.0571869+2.48523j -1.14551+3.06567j -1.46691+5.30848j -0.130007+1.09058j -1.89656+10.0895j 0.218397-5.68323j -0.390047+0.0406377j -0.19449+2.6974j 0.0354166+1.97605j -0.165755+0.957135j -2.6825+9.80839j -1.1011-0.664883j -1.32708+6.63558j -0.345892-0.529378j 7.15871-3.95142j 3.81773+0.334168j 0.769794+0.0351033j 2.65296-7.45288j 0.390525-0.130487j -2.67518+9.51535j -0.944698+2.9311j 1.65574-0.80501j 1.28214-1.17089j -1.07699+1.21835j 1.13293-6.1574j -2.00191+9.17141j 0.127274-2.0188j -1.38752+4.32157j -1.38008+3.80123j -2.7705+1.03466j -0.295637+4.21193j -1.5404+2.69113j -0.394018+3.5503j 0.318669+3.19216j 1.48532+0.467412j -0.630101-3.94057j -0.494622-0.312238j 2.50738+0.861278j -0.516334+1.35316j 0.546252-1.06695j -0.959084+0.132j 
-0.0208279-0.113434j -0.0852761-0.0614997j -0.145081+0.378984j -0.258474-0.333028j -0.618071+0.707565j 0.433659-0.939837j 0.233151+0.289929j 0.526295-1.15632j -0.833531+0.948951j -0.694014-0.243622j -0.589019+2.01496j 0.0822528-1.29944j 0.636653-0.971929j -0.658529-1.65948j -0.197556-0.694674j 1.70089-3.35619j -1.55969+2.72707j -0.973383-0.0537662j 0.414536-0.947247j -0.153743-0.540758j 0.301967-0.694454j 0.846865-4.58782j -0.381926+0.556181j 0.788824-3.03734j 0.287814+0.292337j -3.00536+1.49723j -0.842414-0.540895j 0.271762-0.591737j -2.91728+2.18648j 1.32641+0.110796j -0.0228075-4.8122j 0.64051-2.37148j 0.510756+0.430379j -1.80382-0.60303j -0.743294+0.326012j -0.668048+2.31927j 2.18279-5.01245j -0.426994+0.483257j -0.0703781-0.294722j 3.61808-0.0908917j 1.88408-1.63679j 1.00978-2.73155j 0.273525-0.876412j -1.50332+0.165034j 4.03068-2.76779j 0.169853-0.370271j 0.0283416+0.688987j -0.341989+0.111814j 0.26534+0.0788772j 0.177868-0.548906j -0.300751+0.545633j 0.271062+0.0400612j 
