-0.41867-0.113169j -0.178873-0.000221008j -0.810115+0.0592459j 0.0242459-0.0472712j -0.131345-0.0334116j 0.238267+0.206635j -0.171588+0.153908j 0.0123484+0.352977j -0.363177+0.0700728j -0.0124727-0.0255486j 0.0586086-0.0923462j 0.0468548-0.0483557j -0.037473-0.0589722j -0.208065-0.0825209j 0.062136+0.0593407j -0.0643086+0.092178j 0.0135821-0.21341j -0.111733+0.107432j -0.00751808-0.162842j -0.0617849-0.0176933j -0.17777-0.0216275j 0.155039-0.0584278j -0.135522-0.055289j -0.00443631-0.15204j 
0.0341055-0.102153j 0.0494885+0.0204815j 0.0575841+0.104137j 0.0178256+0.0014595j -0.00377337-0.00483706j 0.0377254-0.0172477j 0.0239829+0.0634807j -0.0335741-0.00556185j 0.0533193-0.0336j -0.0128069+0.00234797j -0.00572678+0.0208479j 0.00512051+0.0284156j -0.0178472-0.00230997j 0.030302+0.0151185j 0.00539341-0.00198556j -0.119689-0.00225745j -0.0311745-0.0180046j -0.0157384+0.0136536j -0.0267269-0.214777j -0.0188174-0.188905j 0.0784038+0.0425528j -0.167853+0.0169443j -0.0011827-0.0810471j 0.0403879+0.0953742j 
-0.0233679-0.0475773j 0.0555554+0.0816199j 0.000781723+0.0503737j 0.0318834-0.0906199j -0.0780243-0.0182805j 0.0474896+0.0397646j -0.0574796+0.0370734j 0.0942849+0.0938026j -0.0771429+0.051626j 0.0429747-0.00139275j 0.0440523+0.00931191j 0.0573639-0.0372616j -0.0807892-0.0645693j -0.0509832-0.0914705j -0.00770069+0.0302594j -0.0655385+0.0227161j -0.138712-0.0490623j 0.146569-0.236534j 0.0369977+0.0971206j -0.0252133-0.107349j -0.00868815-0.0301991j -0.0214671-0.00309084j -0.0321424+0.125964j 0.0767665-0.0018365j 
-0.0495139+0.0618118j -0.0620819+0.00900879j -0.0298286+0.0465407j -0.0101433-0.0534045j -0.00198764+0.00666142j -0.0249609-0.0680809j 0.0835249-0.0551353j -0.0458791+0.0204284j -0.0578671-0.0637082j -0.0218984-0.0152795j -0.0329537+0.0562406j -0.0244046-0.00600868j 0.0491135-0.06572j -0.150248+0.0289852j 0.0232622-0.00640154j 0.0550256+0.0266102j 0.087294-0.024668j 0.0820449-0.0916505j -0.104843-0.0502619j 0.105742-0.139988j -0.118416+0.0077898j 0.100181+0.0718268j 0.192174-0.00608514j 0.0897282+0.0544582j 
-0.0278792+0.0220403j 0.0808016+0.0647705j 0.00697658-0.059093j -0.0171659+0.0253751j 0.00894226+0.0198371j 0.0483303+0.0247307j -0.0212274+0.0217729j -0.0464399+0.0657172j -0.0855445-0.0375315j -0.000606345-0.0253675j -0.0829107-0.0185078j -0.0900042+0.0066166j 0.0547153-0.0414557j -0.0468198+0.0356645j -0.00274849+0.0279421j -0.00236405-0.231078j 0.0197518+0.0326088j -0.0311454+0.0459333j 0.102628+0.187314j 0.17094+0.0485664j -0.0979835-0.0393133j 0.0796377-0.140503j -0.0383164+0.0508375j -0.102943-0.0417728j 
0.0914014-0.0637117j -0.0257469+0.025332j -0.13054+0.0327893j -0.103029-0.0833969j -0.0511289+0.0535668j -0.0463621+0.0467802j -0.0203834-0.0434436j 0.0413865-0.0506518j 0.0296122+0.0306782j -0.0142784+0.0195412j -0.09892+0.0479243j -0.0440111-0.0140058j 0.0718873+0.0566413j -0.000180363+0.0399678j -0.100355-0.00217261j -0.0841767+0.000281627j -0.117509-0.00741411j -0.0454019+0.212426j -0.0293446+0.060604j 0.00170389-0.235066j 0.000373596-0.181103j 6.17328e-05-0.027595j -0.00401378-0.0199852j -0.0137729-0.0294865j 
-0.0130837+6.52592e-05j 0.0155566-0.0149508j -0.013607-0.0152813j 0.102366-0.0291417j -0.0957082-0.111266j -0.0133859+0.0341647j 0.0175524+0.0350231j -0.0974587+0.11133j -0.101412-0.0324697j 0.0550223+0.0734814j 0.0610108-0.0210965j 0.0489875+0.015744j 0.152055+0.0885721j -0.0423772+0.0113707j -0.0114334-0.0280108j -0.0684649+0.0872091j 0.113851-0.000331303j 0.0677456+0.0889599j 0.0129992-0.0295687j 0.0449742+0.0139872j 0.153817-0.0862521j -0.0499885+0.0139415j -0.0626719-0.0220242j -0.0585534+0.0747044j 
-0.0933847-0.0629625j -0.129841-0.0330907j -0.0258315-0.025295j 0.032214-0.0312481j -0.0427281-0.0529724j -0.0206188+0.041936j -0.0444366-0.0477331j 0.0496267+0.0563374j -0.104762+0.0820947j -0.0128084+0.0306696j -0.00489545+0.0159947j -0.00212638+0.0222729j 0.000836554-0.180714j -0.00103174+0.231622j -0.0319954-0.0669648j -0.0456554-0.212103j 0.12077-0.00730902j -0.084041-0.000710608j -0.0975291+0.00645454j 0.00746364-0.0367616j -0.0704562+0.0582195j -0.0378923+0.0132084j -0.0988229-0.0464808j -0.0167182-0.0193574j 
-0.0270327-0.0188846j -0.00865886-0.0576744j -0.0805648+0.0657615j 0.0861067-0.0382518j -0.0472123-0.0655965j 0.021913+0.023355j -0.0491325+0.0262701j 0.00787364-0.0188314j 0.0165248+0.0253497j 0.10509-0.0391548j 0.0436943+0.0494856j -0.0719312-0.139087j -0.0970374+0.0398792j -0.174411+0.0475477j -0.0955072+0.181556j 0.0351793+0.0489442j 0.0198629-0.0313288j 0.010028-0.237398j 0.00329015+0.0298107j 0.0433999+0.0371906j 0.0544063+0.0428885j 0.0891162+0.0112526j 0.0863923-0.0163107j 0.00345067-0.0254787j 
0.0518097+0.0571456j -0.0319035-0.0499723j -0.0571215-0.015376j -0.0640096+0.0577532j 0.0365719+0.0283803j 0.0792601+0.0538987j -0.0229513+0.062088j 0.0087624+0.00667242j -0.00965981+0.0609656j 0.0898743-0.0528603j 0.190068-0.00109221j 0.101861-0.0683981j 0.11678+0.00418164j 0.103369+0.149697j -0.102164+0.0372604j 0.0908475+0.108765j -0.0762979-0.0312321j 0.0506695-0.0270528j 0.017129+0.00337324j -0.156372-0.0232913j -0.0415415-0.0703088j -0.0231893+0.010312j -0.0334331-0.0572711j -0.0194575+0.0162913j 
-0.0208677+0.0508772j -0.00274161+0.0457245j -0.0591195+0.0799112j 0.0704473+0.0562861j 0.0975808-0.0895802j 0.0656075+0.0422536j -0.0499+0.046557j -0.0764709+0.019593j -0.0315985-0.0866511j -0.0706931-0.00839647j 0.0442047+0.125316j 0.0235559-0.00774158j -0.00289066+0.0291416j 0.0305209-0.0890921j -0.0467804+0.103583j -0.140872-0.232165j -0.144488+0.0508981j 0.0662366+0.0195094j 0.0133777+0.0302761j 0.0380381-0.0938076j -0.0856736+0.0620743j -0.0579371-0.0397588j -0.0473156+0.00443364j -0.0454313-0.00275333j 
-0.035258-0.101944j 0.0578728-0.106336j 0.0469009-0.0189382j 0.0545275+0.0342226j 0.0351024-0.00733171j 0.0237562-0.0632992j 0.03772+0.0182065j 0.00564115-0.0056315j 0.0193037+0.000483942j 0.0470051-0.0967106j 0.0017421+0.0750879j -0.168632-0.0237471j -0.0776661+0.0446638j -0.0231524+0.194507j -0.0302403+0.212211j -0.0115251-0.014011j 0.0316081-0.0193286j -0.11989-0.00461713j 0.00804066+0.001599j 0.0307347-0.0113786j 0.0197364-0.00193085j 0.00930115-0.0286341j -0.00256003-0.0222464j -0.0127263-0.00300594j 
0.0224086-0.0136619j -0.0376374+0.0227287j 0.114756-0.0883176j -0.0697146-0.0283166j -0.0622199+0.092295j 0.0284385+0.0346482j -0.0326746+0.00206759j -0.017601-0.00245018j -0.00310503-0.00938512j -0.0420167-0.0573295j -0.0546192+0.168599j -0.00939103+0.262921j -0.158176-0.139541j -0.00125714+0.159857j 0.121897-0.0567611j 0.0104824-0.0366643j 0.137148-0.0504345j -0.0103382-0.0476709j 0.0198755+0.0110786j 0.00170504-0.000450792j -0.0777017+0.0581168j -0.0227191-0.029484j -0.0191906-0.00582871j -0.0155869-0.0169342j 
0.0287077+0.0268685j 0.0033366-0.0190237j 0.100221-0.0476972j 0.0303324+0.110321j 0.0632678-0.0608843j -0.0254185+0.0918058j -0.123435-0.0049201j -0.0248285+0.0139828j -0.0245268-0.00514666j 0.239317+0.113502j 0.00842083+0.0715553j 0.111037+0.143364j 0.0475605-0.0733687j 0.0152516+0.0364989j -0.0598724-0.0545745j -0.0131009-0.0124434j 0.085512+0.00456435j 0.134856+0.095381j -0.00923249-0.0114751j -0.00986748+0.000183541j -0.112444-0.0231051j -0.0574447+0.0134962j -0.0421525+0.0560298j 0.0115107+0.00355357j 
0.114986-0.069686j -0.0167663-0.00183409j 0.00488521+0.0372891j 0.0408883-0.0628954j -0.041777-0.00779558j -0.0537599+0.0155817j -0.0127928-0.0663712j -0.0150694-0.0084978j -0.0145735-0.0284334j -0.212308+0.0406483j 0.140363+0.258104j -0.0197553+0.168257j -0.0906119+0.077005j 0.0189968+0.0577849j 0.116488+0.0840009j -0.0287595+0.0343454j 0.0223328-0.0216051j 0.0317634+0.026565j -0.00348727+0.00617632j -0.0180762-0.0218591j -0.0111481+0.0107002j -0.0242197-0.0036061j -0.0204888-0.00376946j -0.00575863+0.00833763j 
-0.0256919+0.00283055j -0.0665501-0.0294941j -0.0230061+0.0752138j -0.028566+0.0857346j 0.0966805+0.0449779j 0.0153405+0.0104329j -0.0174542-0.0700841j -0.00707825-0.022192j -0.00603421-0.0183325j 0.00447722+0.299397j 0.0816389+0.23274j 0.0106284+0.0590385j -0.236175+0.0214889j -0.126331-0.0616244j -0.0438254-0.0641671j -0.0157313+0.0461383j 0.0252678-0.0291184j 0.0767421-0.0701008j -0.00572086+0.0184704j -0.0367287+0.0142196j 0.0158703+0.0606149j 0.00205406+0.0183972j 0.0127219-0.00270476j -0.00096096-0.00456537j 
0.0426504+0.0652313j 0.0429817-0.156829j -0.00106045+0.0346955j -0.0160187-0.014471j -0.0239992+0.0993094j -0.00948129+0.0183161j -0.00838497-0.0179146j -0.00248051-0.000683474j -0.00344742+0.00568398j -0.0870542+0.300254j 0.260151-0.0292947j -0.140252-0.147004j 0.0332477+0.0654758j -0.0074633+0.059095j -0.0715729+0.0736769j 0.0111786-0.0180188j -0.0285465-0.00513189j -0.0240828-0.018618j 0.00362904+0.00303295j 0.00448211+0.00714733j 0.0165616-0.0121936j 0.0107755-0.00529185j -0.00534201-0.00943022j 0.000264508+0.00437888j 
