-0.0303417+0.0672991j -0.391149-0.131855j 0.0274977-0.000137652j -0.206571-0.0305746j 0.786555-0.0966584j 0.013276-0.0022082j -0.0130265+0.0397782j 0.043229-0.0269914j 0.0492736+0.0545002j 0.0670844-0.0490882j 0.0811148+0.16058j 0.18138+0.178848j -0.162995-0.0371709j 0.127814-0.350627j 0.359658+0.00147283j -9.86269e-05+0.0124402j -0.0179315-0.017438j -0.0178136+0.0265391j -0.0375395+0.0336194j -0.0196831-0.00270722j 0.0174696+0.00356078j 0.103085-0.0470539j 0.0606557-0.0634482j 0.037155+0.00231789j 0.0899468+0.0932959j 0.116822+0.178774j -0.0307311+0.0154635j 0.0503959-0.0484619j 0.174894-0.170004j -0.0401706-0.0240189j 0.0219417-0.140695j 0.03553+0.0508799j 0.165452+0.0929832j -0.161385+0.00791853j 0.0626656+0.103826j -0.0548807+0.122107j 
0.0308938+0.0796311j 0.057925+0.0255248j 0.00966362-0.0138955j -0.0786692-0.184043j -0.0124089-0.106457j -0.0177681-0.0080875j -0.00664693+0.0369483j -0.0150918-0.0164322j 0.000411357+0.0106564j -0.0610439+0.0209387j 0.0606288+0.0984371j 0.0356764+0.0982166j -0.000251409-0.201873j -0.121453-0.0393786j -0.138054+0.193389j 0.00145269+0.00818772j -0.000368007-0.0021033j 0.0132898+0.0056367j 0.0171288+0.0374039j 0.0217303-0.0138347j -0.0114515+0.00479181j -0.0214915+0.0506283j 0.03873-0.0311045j -0.0489614-0.0183589j -0.0684618-0.0308005j 0.0230924+0.0696021j -0.0417375+0.0554658j -0.0713685-0.227442j 0.00166044-0.0251898j 0.0816159-0.0163122j 0.0961827+0.0809268j 0.189866-0.0490458j -0.12711-0.152777j -0.0703135+0.0496427j -0.0681674+0.149096j 0.0324187-0.00274035j 
0.181113-0.0674365j -0.0226906+0.0128989j -0.0271432+0.0252053j 0.00486805-0.0404609j -0.123676+0.102189j -0.00312171-0.0343637j -0.0790255-0.0112518j 0.0620831+0.0187089j 0.0890674-0.0527628j -0.164359+0.0141797j 0.0904275+0.123564j 0.119612-0.218756j -0.117546-0.167531j 0.159085+0.119197j -0.00911699-0.0742386j 0.00201926+0.00560493j -0.0222451-0.0202472j 0.0281866+0.0101843j 0.0166197-0.0296169j -0.0119554+0.0349386j -0.00802926+0.0399022j 0.019212+0.0183389j 0.026008-0.0310156j 0.0284091+0.0201128j -0.212628-0.0541427j -0.0381832-0.0482013j -0.0388424+0.122654j -0.166911+0.0984112j 0.0649702-0.215465j -0.0019777-0.0955575j 0.0280039-0.118068j -0.0801228-0.137959j -0.000434519+0.108304j 0.0540757+0.0160737j 0.0249138-0.0773767j -0.0164206+0.00977547j 
0.015352+0.122948j -0.0309331-0.0130833j -0.0314136+0.00185882j -0.0926671+0.0397884j 0.140055+0.0574006j -0.0280221-0.0266128j -0.0432602+0.0137157j 0.0235944+0.0123603j 0.0417265-0.140791j 0.0356718+0.15928j 0.100644-0.158098j -0.0178951-0.184421j -0.20412+0.0398256j 0.111326-0.0361492j 0.0588063+0.0287108j -0.00310185-0.00209274j 0.00487644-0.00459513j 0.000508649+0.0245922j 0.00762518+0.0130561j -0.0308983-0.00188289j -0.032634+0.00744868j 0.0641825-0.0124812j 0.0769221+0.113978j 0.0075531+0.0564538j 0.040147-0.160314j 0.0516025-0.172728j -0.158383-0.0128403j -0.0384854-0.13492j 0.15112+0.187244j 0.00264326+0.0817353j 0.0723107-0.00523912j 0.119404-0.0880642j 0.0543731-0.0720567j -0.0101861+0.0119495j -0.00779431-0.0172666j -0.0243851-0.00656066j 
-0.0781418-0.108568j -0.0422863-0.0649058j -0.184266-0.00482221j -0.004214-0.0859738j 0.0242058-0.212121j 0.0161179-0.0699207j -0.109513-0.055509j 0.0551493+0.0626744j -0.00527537-0.126131j 0.142567-0.11827j -0.0592589-0.120246j 0.107255+0.0575944j 0.0107196-0.0636578j 0.043666+0.113897j 0.0679671-0.0343128j 0.00685141+0.00736165j -0.0130319-0.0364336j 0.0162647-0.000786162j 0.0153905-0.0382638j -0.0287366-0.00467812j -9.66076e-05+0.0382983j 0.188057+0.108018j 0.110788-0.012505j -0.026185+0.0549904j 0.0795544+0.121079j 0.160954-0.232043j 0.0820145+0.0100561j -0.0710971+0.0601655j -0.0783562+0.0691464j -0.0287865-0.174951j 0.0129702-0.013606j -0.0709996-0.0119289j -0.0164383+0.103476j 0.0137361+0.0240115j 0.0220753-0.0153257j 0.00061116+0.00724668j 
0.0421198-0.0664657j 0.0752383-0.110288j 0.0215401+0.209677j -0.00105305+0.0879537j -0.183539+0.00420244j -0.0676997-0.0382497j -0.0474746+0.112545j -0.00880984-0.0590858j -0.101501+0.0467981j 0.0649075-0.121367j -0.141605-0.124547j 0.0113525-0.125429j -0.0581232+0.0652538j 0.113203-0.0546745j -0.0135589-0.0727078j -0.000970136-0.00906599j 0.0220716+0.0200642j -0.0158992+0.0280954j 0.0153443+0.106832j 0.0737654-0.0146637j -0.0169168-0.0203376j -0.0193383+0.183316j 0.0832191+0.0564809j -0.0746668-0.0617541j -0.0797531+0.013583j 0.165119+0.226218j -0.0763207+0.122212j -0.0247094-0.0515644j -0.123343+0.000422239j 0.17693-0.111276j -0.00432734+0.0342087j 0.0251282-0.00288471j -0.0131657-0.0359359j -0.0117496-0.00150716j -0.0114451+0.0326375j 0.00579563-0.00475265j 
0.030593-0.0143075j -0.0155178+0.123704j 0.140398-0.0554381j -0.0911707-0.0410652j -0.0332345-0.00333j -0.0546826+0.0305678j -0.112646-0.0429745j 0.203865+0.039218j 0.0168476-0.18919j -0.10162-0.153114j -0.0378786+0.155211j -0.0355898-0.146213j -0.0221605+0.00802766j 0.0434939+0.0176447j 0.028886-0.0272037j -0.0242101+0.00566263j -0.0113458+0.0144764j 0.011981+0.0143798j -0.052712-0.0737723j -0.121195-0.0860755j -0.0758665-0.00542642j -0.00809032-0.0658926j -0.150311+0.193878j -0.0410236+0.137987j 0.15467-0.0105361j 0.0521661+0.17337j -0.0413712-0.157185j 0.00528062-0.0512884j -0.081767+0.109113j 0.0578251+0.0176519j 0.0289976+0.00564135j 0.0297798-0.00314914j -0.00729124+0.0161976j 0.00164468+0.0231489j 0.00687051+0.00483844j -0.0029396+0.00204253j 
0.0210698+0.0100883j -0.181917-0.0686878j -0.123004-0.106621j 0.00606949+0.0353153j -0.0247782-0.0247226j 0.0118414-0.080953j -0.166393+0.111979j 0.117483-0.159428j -0.116705-0.219878j -0.0833476+0.129903j 0.159762+0.0103914j -0.0929098-0.0574901j -0.0656028+0.0171589j 0.0805319-0.0100085j 0.00436482-0.0351277j -0.0184666-0.0150601j 0.0229102+0.0830537j -0.0594858+0.0170682j -0.00377552+0.112647j 0.0821564-0.13851j -0.0281932-0.127912j -0.006874+0.0762047j -0.0659151-0.218914j -0.169332-0.102179j 0.0387045+0.116818j -0.0420115+0.0458922j 0.208585-0.0574414j 0.026225-0.0200194j -0.0231033-0.0254515j 0.0161148-0.0180588j 0.00832524+0.0350089j 0.0147032+0.0341057j -0.0138422-0.027916j -0.0236482+0.0110799j -0.0206648+0.0181693j 0.000403873-0.00370262j 
-0.0555827+0.0290272j -0.0352939+0.0766986j -0.0119565+0.101658j -0.0781293+0.188525j 0.00773734+0.0158966j 0.134733+0.187619j 0.11891-0.0278948j -0.000488043-0.208225j -0.0448646+0.102527j -0.0617977+0.0991258j 0.0650288+0.0196497j -0.00584457+0.00918677j 0.012518-0.0138624j 0.00809074+0.0342225j 0.0173536-0.00770973j 0.0347481+0.0120107j -0.0630235-0.147751j 0.0785584+0.049792j 0.127845-0.147823j -0.185348-0.055925j -0.102312+0.0869341j 0.0782576+0.0154697j -0.00906498-0.0350298j -0.0751736+0.222096j 0.0397096+0.0584566j 0.0190393-0.0634545j 0.0727289-0.0308893j -0.0452565+0.015053j -0.0361344-0.0290388j -0.0230572-0.0501636j 0.00916872+0.00886419j -0.0183253-0.0105756j -0.0169537+0.0328385j -0.0141188+0.00366711j -0.000863587+0.00438362j 0.00174277-0.00841588j 
0.119043+0.0990346j 0.00952517-0.0214118j 0.0429086-0.132647j -0.0955102+0.000395651j -0.020302+0.0217835j -0.237197-0.101655j -0.0314974+0.293333j -0.0162621-0.0163756j -0.13987-0.00299241j -0.0267376+0.00354017j 0.0142674-0.0128526j -0.0392004+0.0252917j -0.00306804+0.0230089j -0.0100958-0.0248434j -0.0101436+0.0068499j 0.0592431+0.250747j 0.0873516-0.116619j 0.257567-0.163641j -0.0443219-0.0980176j -0.0485192-0.00550568j 0.0645449+0.303306j 0.0445479-0.0632982j -0.0226707+0.00596935j 0.106573-0.00910362j -0.0049374+0.0132899j -0.0190988-0.0354442j 0.0239041-0.00414967j 0.00676758+0.0206027j -0.00763146-0.0189652j -0.010273-0.00118533j -0.00579709+0.0120439j -0.0042074+0.0144151j -0.000733961+0.00361479j -0.00912449-0.00271437j -0.000887459+0.00366955j 0.00199583-0.00675278j 
-0.00706884+0.0193968j 0.0865004-0.0617904j -0.112855+0.12256j -0.111562-0.00978198j -0.0210496+0.0121495j -0.123271+0.181649j 0.0188243+0.192991j 0.12007-0.105961j -0.189834-0.0974321j -0.0314494-0.0422833j 0.000715197+0.00584673j -0.0782193+0.0190508j -0.0112017+0.0406589j -0.0109294-0.0426769j -0.0119015+0.00328858j -0.0164523-0.117531j -0.0791929+0.0752795j -0.137144-0.078278j -0.0165395-0.136897j 0.0385209+0.199916j 0.152627-0.0758825j -0.0364144-0.0600483j -0.004386-0.00371307j 0.237252-0.0380034j 0.000510934-0.00461982j -0.0348681-0.0151193j 0.0186199+0.0320946j 0.0407639+0.0297032j -0.00595281+0.00744126j -0.0223708+0.0355401j -0.00149919+0.00625011j -0.0127426+0.0403416j 0.0104368+0.0179668j -0.00306912+0.0082883j 0.00249615-0.00836898j 1.23637e-06-0.0035018j 
0.0842754-0.13206j -0.00363878+0.0296062j 0.142592+0.0396254j 0.00548842-0.0237513j -0.0113185-0.00459141j 0.184567-0.220974j -0.221914-0.130618j -0.034303-0.139322j 0.0073816-0.0680291j -0.00747567-0.00786636j 0.00470968+0.0175155j -0.0210471-0.0161982j -0.00838472-0.00326742j 0.0153894-0.00617813j -0.00400941-0.00814134j 0.0347752-0.0602788j -0.0349827-0.156044j -0.0758068-0.291763j 0.0239588+0.0324045j -0.102293+0.058959j 0.348284-0.0227031j -0.0422661-0.0372845j -0.00758114+0.0183761j -0.0223501-0.0203652j 0.0157099+0.00576895j -0.0123805+0.0063841j -0.0193032-0.0260275j 0.00538657+0.00369477j -0.0118717-0.00366103j -0.00634662-0.00201424j 0.00814147+0.00506869j -0.00521383-0.00233205j -0.00506651+0.00409085j -0.00578872+0.00794447j -0.000326626+0.00335489j -0.000177162-0.00253745j 
