0.0044565+0.00592306j 0.00945803-0.00271275j 0.00525543+0.0014411j 0.00204054-0.00305146j 0.0013209-0.000681059j -0.00503993+1.85515e-05j -0.000939176+0.0031084j 0.00470574+0.00197629j -0.00236065+0.0010662j -0.00150904-0.000514078j 0.00312294-0.000831316j -0.00324129-0.00331512j 0.00279331+0.000545352j 0.00160443-0.000663187j -0.00142113-0.000766221j 0.00114705+0.00025693j 0.00271933+0.000559341j 0.00230218+0.00258939j 0.00193388+6.31721e-06j -0.00171391-0.000884442j 0.00106844-0.00195367j -0.00140903-1.53901e-05j 0.00298355+0.000377202j -0.00148351-0.000631833j 0.00017972-0.000248936j 4.58489e-05-0.000836232j -0.000472965-0.0015388j 0.000278178+3.92274e-06j -0.00239069+0.000923344j -0.00265944-0.000311476j 0.00119956+0.00107025j 0.000237556+0.00251381j 0.000449985+0.000746818j 0.00209635+0.000342621j -0.000420757+0.0010261j 0.0033039+0.000457068j 0.00149095-1.01311e-05j 0.00221719-0.00143069j 0.00132671+0.00186969j -0.00220814+0.000172863j 0.00352883-0.00198916j 0.00280439+0.00197697j -0.00352681+0.00150766j 0.00442313+0.00307651j 0.00521858-0.00204621j 0.00124843+0.0043232j -0.00850857-0.00180684j -0.00452713-0.00333946j -0.00732421-0.0085172j 0.0198468-0.000213607j 0.0190102-0.0325337j 0.318068+0.0103801j 
-0.00588717-0.00263305j -0.00352617+0.00319268j -0.00157346-0.000154791j 0.00133675+0.000669289j -0.00291901-0.00121542j 0.00154887+0.000895366j 0.00413296+0.000781238j -0.00141124-0.0040378j 0.00631305+0.00384806j -0.00287379+0.00246111j -0.0023909+0.000882544j -0.00314646-0.000283829j -0.00694454-0.00197665j -0.000911992+0.00223775j -0.000866168-0.000501696j -0.00152126-0.000676998j -0.00641278-0.000562627j 0.00712903+0.00364553j -0.0020669-0.00381955j -0.00777296-0.000739439j 0.000324731+0.00420303j 0.00296218+0.000578575j 0.00806335+0.000700553j 0.0044967+0.00291406j -0.00118029-0.00101001j -0.0112742-0.0106287j -0.0131548-0.00177531j -0.000271287+0.00234493j 0.00394323+0.000881739j 0.014616+0.00471015j 0.00464051+0.00195137j -0.00133574-0.00535381j -0.00629263+0.00518422j -0.0115721+0.00200131j 0.0103821+0.00299525j 0.00563165-0.00196995j 0.00453426+0.00207273j -0.00193166-0.00203053j 0.040072-0.00153556j -0.0106373+0.000508495j -0.211615-0.0129733j 0.0409808-0.00852088j 0.0126964-0.0076717j -0.00449327-0.00328483j 0.0044401+0.00339578j 0.0471493-0.0163538j -0.0403456-0.00275572j -0.0182838-0.00153999j -0.00142495-0.00508139j 0.0104304-0.0105769j -0.00393305+0.000373962j -0.00178549-0.00367311j 
-0.00261237+0.00219203j 0.00449429+0.0018054j -0.00484112-0.00108392j -0.0054669+0.00127125j -4.81879e-06+0.000183585j 0.00119584+3.4629e-05j 0.00748852-0.000473746j -0.00127273-0.00331481j 0.00626121-0.00148013j 0.00717747+0.000325982j 0.00347515+0.00173717j -0.000931185-0.000424372j -0.000924646+0.00163771j 0.00797866-0.000750392j 0.00231316-0.000995332j 0.00167316-0.000833804j 0.00148814+0.00152476j 0.0111862-0.0025179j -0.00751844+0.000477429j -0.00546851+0.0032482j 0.00468907+0.000770383j 0.000349309-0.00111296j 0.000634413-0.00207047j 0.00732623-0.00162875j -0.00073471+0.000859128j 0.00111678+0.00514094j 0.00115819+0.00343567j -0.00323287-0.000398898j 0.00750546-0.000387156j 0.00243401-0.000982463j -0.00598942+0.00165756j -0.0122498+0.000187697j 0.0204398+0.0029475j 0.00414421+0.0036515j 0.00872218-0.00502818j -0.00277458-0.0011412j -0.00580427-0.00348755j -0.00915482-0.00267617j 0.0415003-0.00169794j 0.133682+0.000251929j -0.0329982+0.0107979j -0.0931038-0.0108634j 0.0216237+0.00826777j 0.0164373+0.00685011j -0.107837+0.00729599j 0.0314094+0.0134524j -0.00717741-0.00782619j -0.0183472+0.00426417j -0.00985046+0.00683291j -0.000816021-0.00441113j -0.000853679+0.000194993j 5.06378e-05-7.79443e-05j 
-0.00319997+0.00217013j 0.00446648+0.00213624j -0.00683619-0.00191391j -0.00575202+0.00189511j 0.00350232+0.00255364j 0.0017806-0.00283203j -0.0019737-0.000349622j 0.00192042+0.00243079j 0.0027912+0.000179754j 0.00407711-0.000625186j -0.000124965+0.000177162j -0.00359585+0.00133449j 0.00878214+0.00149116j 0.00737597+0.000205832j 0.000685141+0.0018709j 0.00945954+0.00393818j -0.0017009+0.000517039j 0.00664417-0.000399252j -0.0146702+0.000205893j -0.00132259-0.000636254j 0.00579826+0.00204746j -0.0107877-0.00181695j -0.00653187+8.6051e-05j 0.00686105-0.0011233j 0.00774822-0.000497591j 0.0112045+0.00986954j 0.00799649+0.000613688j -0.00926029+0.00233497j 0.002511+0.00107323j 0.0052008-0.00228805j -0.0125006-0.0035135j -0.00670769+3.41836e-05j -0.0021237+0.000495711j 0.00345623-0.00361152j 0.0191675-0.00251712j -0.00392752+0.00415617j -0.0105178+0.00443778j -0.0263422+0.0110156j -0.166524+0.000249743j 0.0882372+0.00242311j -0.0904106-0.000173747j 0.00740182+0.00525567j -0.0520638-0.00790488j 0.0264926-0.0121439j -0.0214484+0.00851484j 0.0295253+0.00121542j 0.014141-0.00873748j 0.0481318-0.00506015j -0.012035+0.00277226j -0.000952281+0.00341768j -0.00124805+0.00333918j -0.00507587+0.000952656j 
-0.00142882-0.000500694j -0.000565349+0.000666793j -0.00366359-0.00224391j -0.00373637+0.000707328j -0.000774961+0.00035713j 0.00057397-0.00232676j 0.000127186-0.00193757j -0.0107319-0.00216562j 0.00676674-0.000910536j 0.000815999+0.000301274j 0.00241774+0.000529432j 0.000193797+0.00200878j -0.00521724+0.000950235j 0.00262154-0.0020219j -0.0077896-0.000176892j -0.00114297+0.00254778j 0.00408766-0.000748272j -0.000771352-0.00341439j -0.00779762-0.00439507j 0.00213032+0.00334365j -0.00150189-0.00198762j 0.00210683-0.00258595j 0.00298793-0.00259639j 0.00488624+0.00247302j -0.00557614-0.00178112j 0.00385693+0.00574787j 0.00143305+0.0019743j -0.000768726-0.0048872j 0.0117186+0.00437367j 0.00417406+0.000892005j -0.00115563+0.00292749j -0.000207918+0.00305078j 0.0207942-0.00229597j 0.0265689-0.0049792j -0.0013655+0.00361943j -0.0585775-0.00431725j 0.0625702+0.00582932j -0.17744-0.0115563j 0.0510477-0.00539477j 0.0165015-0.000851929j -0.0435641-0.000551731j 0.032395+0.00920414j 0.0430602-0.00161605j -0.00285516+0.00606121j -0.00667605+0.00480531j 0.00771201-0.00777092j 0.0215755-0.00480827j 0.00368079-0.0077078j -0.00743319+0.00497904j -0.000975266-0.00613871j -0.00454701-0.00088819j 0.00258993-0.0024063j 
-0.00368548-0.000597963j 0.000166576+0.00236796j -0.00283398-0.000370901j 0.000878571+0.000244677j -0.0046053+0.00460117j 0.00766932+0.00325037j -0.00245711-0.00219488j 0.000167326+0.00486164j -0.00555357-0.000688518j 0.00394639-0.000307137j -0.00767412-0.00162995j -0.00109777+0.00394404j -0.000296922+0.00313522j -0.00226468+0.00416553j 0.00632526+0.000687899j -0.000333937+0.00164844j 0.0013574-0.00242967j 0.00914036+0.000469229j -0.00632147-0.00199235j 0.00537286-0.00161443j -0.0106327-0.000650187j 0.00187346-0.0058599j -0.0129294-0.00144608j 0.00184642+9.72759e-05j 0.00654051+0.00122886j -0.00389535+0.00634058j 0.00369694+0.00367216j -0.00345633+9.33191e-05j 0.00016507-0.000102697j -0.00381445+0.00160233j 0.03151-0.00789271j 0.0121894-0.00302012j 0.00156038-0.00281703j -0.00205767-0.00523115j 0.0403677-0.00137888j -0.106741-0.00238576j -0.120093-0.010298j -0.0100187+0.00305845j -0.00124368-0.00555979j -0.057192+0.00427352j -0.0145084-0.00432839j -0.0839316-0.00047613j 0.0290983+0.00144014j 0.0296462-0.00813405j 0.003957+0.00857409j 0.0423395-0.00442058j 0.00594803+0.0109024j 0.0028738+0.0038349j -0.00201496+0.00210597j 0.00363178+0.00385733j -0.00481236+0.00212674j -0.00154544-0.00244658j 
0.0015343-0.000672836j -0.00180606-0.000830649j 0.000905541-0.0028864j -0.00548177-0.00204479j -0.000420517+0.00200784j 0.00545516+0.00084416j 0.00183702+0.000191334j 0.00152428-0.000681264j 0.00160749+0.00249732j 0.000965082+0.000526511j -0.00426203-0.00164905j -0.012967+0.00310949j -0.000991316-0.00190898j 0.00442592+0.00116264j 0.000414735-4.2743e-05j -0.00030996+0.00104617j 0.0042614+0.00183163j 0.0108555-0.000725593j 0.00178128+0.000342187j -0.00583068-0.00146361j 0.00618299-0.00197282j 0.00415664-0.00117637j 0.00502032+0.000397197j -0.00253627+0.000333481j 0.00904816-0.00266079j -0.00558892+0.000995372j -0.00899896+0.00131035j 0.00483994+0.000222805j -0.0117678+0.00430951j 0.00608939-0.00260207j 0.00752423-0.00380591j 0.00350552+0.00242202j 0.0186473+0.00188424j 0.0209796-0.00325548j 0.0189552-0.0016092j 0.0957243+0.0002504j -0.0727453+0.00339497j -0.0582108-0.00709827j 0.0487797+0.0104999j -0.00298668+0.0102658j 0.000662058+0.00443221j 0.00859035+0.00531183j 0.00199339-0.00824866j 0.0810388-0.00463739j 0.00248218+0.0024479j 0.0230252-0.00249497j 0.00461797+0.00147371j -0.00858958+0.00191629j -0.00619294-0.00124629j 0.00496147-0.00183615j 0.000133779-0.00296004j 0.00516978-0.00031622j 
-0.00137605-0.000842036j -0.00102725+0.000365648j -0.00184927-0.00211711j 8.81488e-05+0.000253826j -0.00828866-0.00220202j -0.00918691+0.00332768j 0.00447385+0.00314959j -0.00359146+0.00162319j 0.00214524-0.00262469j 0.00700926+0.00325601j -0.000610355-0.00090201j -0.00451992-0.000106246j -0.0071501-0.00104834j -0.00694089+0.000265571j 0.00610648+0.00477364j 0.00342607-0.000300829j 0.00103645+0.000687634j 0.00573196+0.00555825j -0.00745037-0.000430892j 0.00265029-0.00277613j 0.00465433-0.00259744j 0.00992839+0.00033536j -0.00170569-0.00105701j 0.0092667+0.00106713j -0.00108362-0.00335963j -0.0231777-0.0224015j -0.00706074-0.00459032j -0.00898008+0.00129239j 0.0110288+0.00046963j 0.00390937-0.00459575j 0.0463741+0.00132908j 0.00934432+0.00328182j 0.0482847-0.00119589j -0.0186316+0.000937483j 0.106365+0.00765939j -0.0147436-0.00222754j 0.141753+0.00297137j -0.00547242+0.00585639j 0.00119316+0.00740477j -0.0621708+0.000480212j -0.0475547+0.000292166j -0.0138647+0.00354128j -0.0128302+0.00622059j -0.00223975-0.00307985j 0.0328061+0.000406892j 0.00619432+0.0022408j -0.0171785+0.00739806j 0.0080114-0.0136319j -0.00258367+0.00414242j 0.000265495-0.00373162j 0.000887523-0.000939299j 0.00130473-0.000211807j 
0.0028738-0.000462394j -0.00141045-0.00177165j 0.00399807-0.00181484j -0.000897283-0.00350665j -0.0050412+0.00242254j 0.00198165+0.00206122j -0.00266468+8.63938e-05j -0.00352943+0.00285693j -0.000487105+0.00190297j -0.00155405+0.00242202j 0.000786008-0.000942953j -0.0107647-0.00107738j 0.000811023+0.00576907j 0.0103697+0.00428138j -0.00478519-0.00393166j -0.00187611+0.00359559j 0.00819029+0.00607735j 0.00972264+0.00522423j 0.000442994-0.00440069j 0.00326303+0.00264443j 0.0107298-0.000321501j 0.00880406+0.00222087j 0.0109338-0.00448228j -0.00941937-0.00175769j 0.0132617+0.0049823j -0.00488413+0.002074j -0.00306519+0.00390545j 0.0138209+0.000572216j -0.0198557-0.00262957j 0.00084227-0.00410702j -0.00235591+0.00041703j -0.0308495+0.0014125j 0.0538208+0.00462959j 0.155463+0.0105813j -0.0146449+0.00230164j 0.0410134-0.00441325j -0.0270798-0.000623504j 0.0743659+0.00385067j 0.00500522-0.00611117j -0.045251-0.000893995j 0.00242244-0.000703292j -0.0110171-0.00485563j -0.0243876+0.00146982j -0.0097692-0.0119254j 0.0306775+0.000197227j 0.0275026-0.00588843j 0.00988956-0.00462842j 0.00661426-7.39631e-05j 0.00866349-0.00100726j 0.00719512+0.00185746j 0.0016507-0.000538101j 0.00238038-8.17378e-05j 
-0.0014401+0.000599074j 0.00140243+0.000891094j -0.00159354+0.00147685j 0.00151758+0.00131999j -0.001841-0.000764595j 0.00484856+0.00106244j 0.00581887-0.0017771j -0.0044091-0.00363298j 0.00174005-0.00100072j 0.00453881+0.000805072j 0.000823037+0.00326701j 0.00506393-0.000725596j -0.00431546-0.00158043j -0.000650195+0.00102461j 0.00332026-0.00432642j -0.00176624-0.0022508j 0.00157849+0.000690141j 0.00142177-0.000757919j 0.000221605-0.00114101j -0.00219991+0.00710877j 0.0061597+0.00220516j 0.000726003+0.00376022j -0.00414109+0.00413976j 0.00314002-0.00249358j -0.0130713-0.000964203j 0.000770989+0.00346861j -0.0136262-0.00130261j 0.0115019+0.00196544j 0.010428-0.00227305j 0.0140288+0.00309491j -0.0545837+0.00420044j -0.0053684-0.00700651j 0.0726881+0.00301301j -0.0272728+0.00831839j 0.0051769-0.00304147j -0.0281202-0.0053152j -0.0337441-0.00716148j 0.0359878-0.000292393j 0.035199+0.00281296j 0.0867596-0.00333872j -0.0332718-0.00415497j -0.00756046+0.00679013j 0.0245373-0.00865561j -0.0267577-0.00182065j -0.0113517-0.00205121j 0.00714657-0.00580565j -0.00227789+0.00349781j -0.0017036+0.0033817j 0.00376942-0.000150331j -0.002171-0.00105419j -0.00247537+0.000763717j -0.000751235-0.00147602j 
-0.000604028-0.00273436j -0.00533399-0.000340274j -0.0030504+0.000720617j -0.000208053+0.00103142j 0.00257104+0.00187871j 0.00621792+0.00366091j 0.00348718-0.00106182j 0.00872417+0.00211472j 0.00113029-0.000159774j 0.000244396-0.000674882j -0.000530073-0.00299135j -0.00170862+0.00214336j 0.0119032+0.000453995j 0.00300267-0.00452096j -0.0078815+0.000223596j 0.00714068-0.002391j 0.0159755-0.000142751j 0.00784884-0.000837799j -0.000289588+0.000760074j 0.00152501+0.000816309j -0.015409-0.00528271j 0.00704826+0.001238j -0.0214604-0.00575376j -0.00933114+0.000226178j 0.0193396+0.00192603j 0.0141953+0.0105867j 0.00715575-0.00171362j -0.00650661+0.0006298j -0.01337-0.00237412j -0.0382212+0.00143828j 0.00288829+0.00691057j 0.140079+0.00550807j -0.013609-0.00995011j 0.0763717+0.000358126j 0.0367346+0.000623829j -0.0121362-0.00615761j 0.0114931-0.00291647j 0.0214341+0.0024613j 0.0154415+5.658e-05j 0.0200116-0.00309027j 0.016957+0.0016671j 0.0330809-0.00949182j -0.0178315-0.00248634j 0.0156627-0.00230637j -0.0122401-0.00214726j 0.00243497+0.00665393j -0.00445453+0.00229436j 0.0073277-0.000127813j -0.00190671-0.00299913j 0.00780954+0.0025552j -0.00264921-0.000725892j 0.0020995-0.00129291j 
0.00530497-0.00022693j -0.00175522-0.00319093j 0.00368651+0.000293604j 0.00146614-0.00155832j 0.00214753-0.000115105j -0.00940122-0.00220916j -0.00861808+0.00133566j 0.000627035+0.00424176j -0.00321922+0.000202397j -0.0031042-0.00155086j 0.000915121+0.00173041j 0.0105196+0.00325613j -0.00441236+0.00018313j 0.00193681+0.00141345j -0.00678046-0.000141768j 0.000777222+0.000508281j 0.00104205+5.2295e-05j -0.0198088-0.00262361j -0.000105191-1.50892e-05j 0.0165877+0.000191854j -0.00409048-0.00253684j 0.00431526-0.00106396j -4.73514e-06-0.0015933j -0.0117426-0.00211071j 0.0119442-0.00221441j 0.00222998+0.00703519j 0.0198886+0.00171038j -0.0245258-0.000410985j 0.00368804+0.00686631j -0.033133+0.000152193j 0.0221768-0.00566433j -0.00489964+0.00281983j 0.0722398+0.0027164j -0.00274388+0.00299489j -0.162526-0.00638322j -0.0199749-0.00220785j 0.0269289-0.00201377j -0.0615441+0.00018058j -0.0024901+0.00749213j -0.0515261+0.00410004j 0.0668231-0.00441533j -0.0416429-0.000699621j 0.0482172-0.000747303j -0.002996+0.000108822j -0.0063718+0.00460765j -0.0100734+0.00102147j 0.00970235+0.000137677j -0.00382426-0.00183587j -0.00117051+0.00157743j -0.00243886+6.46883e-05j 0.000201329-0.00208741j 0.00343778-0.000288252j 
0.00348342-0.000859324j -0.00282731-0.00220196j 0.0039819+0.000596656j 0.000583526-0.00143419j 0.000926651-0.00134347j -0.00296012+0.00052165j 0.000971904+0.00105944j 0.00279414-0.000105355j 0.00206137+0.000304636j -0.000484947+0.00114553j -0.00254766+0.00113761j 0.00291545+0.00268585j -0.00225683-0.00399066j 0.000300032-0.00156967j -0.00608445-0.000125306j -0.000162754-0.00173364j 0.00794128+0.00147928j -0.00735558-0.00141788j 0.00814883-0.000136998j -0.000640563+0.00279346j 0.0037465-0.00160754j 0.00832017+0.0053989j -0.000704941+3.93956e-05j -0.00841521-0.00214854j 0.0115579-0.00364623j -0.00650773-0.00570053j 0.015586-0.00485308j 0.000153417+0.00398182j -0.0140688-0.000463264j -0.00645783-0.00553517j -0.00472143+0.00398873j 0.0557661+0.00222161j 0.107558+0.0141254j -0.0354554-0.00445722j -0.0808254-0.00444803j 0.0910676+0.00493269j -0.000753821-0.00314627j -0.000958478+0.00868682j 0.0099191-0.00544816j 0.0127409+0.00197372j 0.0112843-0.00506899j -0.000197665+0.00019973j 0.0288199-0.00317692j 0.00747091-0.00229653j -0.00482018-0.00265422j -0.00495154+0.00186183j 0.00312531+0.00238656j -0.00678574-1.88575e-06j -0.00102436-0.00166879j 0.000742512-0.00134855j 0.000178919-0.0027677j 0.00431177-0.000472152j 
-0.00241918-0.000889337j -0.00098257+0.00205492j 0.00829107+0.000845066j 0.00261386-0.00197393j -0.00096294-0.00241425j -0.000193771-0.00150471j -0.00449088-0.000368798j -0.00172566-0.00310617j 0.000734474+0.000349019j -0.00975936+0.00366057j -0.0142874-2.20266e-06j 0.00727263+0.00131443j -0.00641415-0.00266367j -0.0133795-0.000722486j 0.00248712+0.00304872j -0.0188035-0.000630179j -0.00916762-0.00113168j -0.0142666+0.00142091j 0.0222271-0.0032222j -0.00716574-0.000348647j -0.0105014+0.00508063j 0.00099107+0.000880018j -0.0107752-0.000510769j -0.0088557+0.00727747j -0.0028008-0.00371426j -0.0226759-0.0255641j -0.0107794+0.00105145j 0.0318762-0.000997196j 0.00920419+0.00211577j 0.0847252+0.00507958j 0.0250848+0.00474057j 0.0575736-0.0040655j -0.0560547-0.00322287j -0.0337007-0.00308519j -0.105367-0.00133188j 4.97682e-05-0.0033327j -0.00252599+0.0023341j 0.0119041-0.000133406j 0.0385755-0.0031637j -0.0499029+0.00560456j -0.0231+0.0123786j 0.0253708-0.00115163j 0.0217644+0.00170909j -0.00203291-0.00259207j 0.0101096-0.00853415j -0.00751888+0.000339274j 0.00444493+0.000674522j -0.014854+0.0056956j -0.00148883-0.00249475j -0.00319445-0.00260776j -0.00102406-0.000527442j -0.000197561-0.000768181j 
0.00319987+0.000568104j 0.000239395-0.00196863j 0.00439226-0.00046496j -0.000157861-0.00347914j 0.000738128+0.00170235j -0.00265014+0.000457357j -0.00269465+0.00202815j 0.00190943+0.00243615j 0.000746669+0.000741235j 0.00236571+3.06623e-05j 0.0137017+0.00166911j 0.00202308-0.00431329j -0.00356403+0.00306854j 0.0063286+0.00193528j -0.00401514-0.00182066j 0.00128264+0.00127376j 0.00119598+0.000130366j -0.00163334+0.0011732j -0.0227477-0.00277318j 0.0190419+0.00111884j 0.00476477+0.00375096j 0.0151705-0.00184682j -0.000479117+0.000403865j 0.00434382-0.000888188j 0.00286596+0.00667757j 0.00131221+0.00557959j 0.0106271+0.0015421j -0.000598357+0.000692478j -0.00749162-0.00723533j -0.0187823+0.00322974j 0.0993749+0.00921551j -0.0365493-0.00334672j 0.0792123+0.000689232j 0.00927518-0.00178874j -0.0893185-0.00594806j -0.0471694+0.00363871j 0.0341114-0.00301161j 0.0134118-0.00484937j 0.0275551-0.00051002j -0.00997281-0.00125399j 0.0178094-0.00206219j -0.0248748+0.00222307j -0.00584242-0.00167316j -0.00930174-0.00166532j -0.00140148+0.00461448j 0.0017737-0.00301216j 0.0019858+0.00069034j 0.000998389-0.00439624j -0.00234982+0.000641798j 0.00289833-0.00254728j 0.00193414-0.0011119j 0.00223126+0.000597085j 
-0.000537763-0.00166394j -0.00317403+0.000169208j 0.00215159-0.000417565j -0.00163166-0.00123524j -0.000409217-0.000532007j 0.00673073+0.00254196j 0.00519989-0.000666568j 0.00105154-0.00434627j 0.00119243+0.000500658j -0.00255505+0.00128742j -0.000694468-0.00118655j 0.000904814-0.00358371j 0.000964858+0.000160156j -0.00681377-0.002176j 0.00629687-0.000202134j -0.00660678-0.00333714j -0.00207677-0.000745505j 0.00734866+0.000631685j -0.000773261+0.000219742j -0.00516631+0.00301683j -0.0213993+0.00473117j 0.0004715+0.00237295j 0.000774856-0.000842915j -0.0145165-0.00222794j -0.0203399+0.00348842j 0.00245542-0.000995708j -0.0564377-0.0107808j 0.0399148+0.00260557j 0.0268727-0.00131808j -0.0389482+0.00485862j 0.0422704-0.00207673j 0.067562+0.00173452j 0.0637472+0.0027605j -0.0224121+0.00219017j 0.0201155-0.000574957j -0.00367503+0.00729207j 0.00670659+0.00299565j -0.00109229-0.00108958j 0.0341102-0.00721547j -0.0157612+0.00118488j -0.0107771+0.00452962j 0.0278518-0.00633243j -0.00662623+0.0038149j -0.0101962+0.00172598j -0.00550915-0.00267343j -5.61834e-05-0.000882744j -0.00699758+0.00300888j -0.000823136+0.000806325j -0.00424428-0.00228425j 0.00308806-0.00287829j -0.00176994-0.00197727j 0.00318308-0.00133221j 
0.00209357+0.000727011j 0.000593616-0.0010784j 8.0053e-05-0.00286112j -0.00740641-0.00169868j 0.00561352+0.00210026j 0.00421883-0.00211953j -0.00135204+0.00112892j 0.00367319+0.000214252j -0.00213153-0.000712101j 0.00745238+0.000144918j -0.000668317+0.0018596j 0.00563759-0.000572484j 0.00567911+0.00125972j -0.00327891-7.06247e-05j 0.00693821+0.00184339j 0.00603305+0.00312548j 0.0044889-0.00173399j 0.0063122+3.63444e-05j 0.00101754+0.00295643j -0.000256664+2.94197e-05j 0.00143799-0.00166612j 0.00542078-0.00223915j -0.0076738+0.00789501j 0.0106204+0.00177966j -0.051336-0.00589053j 0.0531314+0.0502788j -0.0287733+0.00221226j 0.0411581+0.00376512j 0.004981+0.00122382j 0.0292273-0.00671756j 0.108322-0.00140405j 0.0332577-0.00273949j 0.0850297+0.00233327j 0.0207646+0.00166725j -0.0273282+0.0023102j -0.00508846+0.00254284j -0.020517+0.00383706j -0.0373045+0.00519176j -0.0172669+0.00388044j 0.00836997-0.00540378j -0.0174648+0.00892855j 0.002933-0.00149434j 0.00123378-0.000510782j 0.00376961+0.00117443j -0.00763987+0.000102678j 0.000781318-0.00373454j 0.00163228-0.00199623j 0.00989954+0.000373562j -0.00805821-1.97936e-05j 0.00329164-0.00320039j -0.00103516-0.00139537j 0.00278217-0.000418235j 
0.000535478+0.000556266j 0.000887799-0.000193354j 0.00499099+0.000919725j -0.000319119-0.00213069j 0.00308383-0.000131338j 0.000244782-1.6808e-05j -0.000696803-0.000222222j 0.00376513-0.00128153j -0.00196876-0.00116431j -0.00514525+4.60238e-05j 0.00345351-0.000447743j 0.010704-0.00378399j 0.00571048+0.00312038j 0.00131589-0.00331307j 0.00185636+0.000781905j -0.010596-0.00216555j 0.00406476-0.00127629j 0.00370165+0.00182777j 0.0178744+0.00311895j -0.0168508-0.00107674j -0.0100891-1.87555e-05j -0.00284907-0.00311903j 0.0040568+0.00706287j -0.0116574-0.00359628j -0.0293603-0.00984202j -0.000566384+0.00761057j 0.0305154-0.00468597j 0.0580974+0.00696555j -0.118668-0.00350306j -0.0456793+0.000904j -0.0284724-0.00107023j -0.0439949-0.00504789j -0.00701069-8.31171e-05j 0.00180585-0.00261099j 0.0305908-0.00241139j -0.00241572+0.0022141j 0.00872371-0.000122151j 0.0505764-0.00353917j -0.0190008-0.00299301j -0.0301279+0.00776293j 0.00883477+0.00457211j 0.0114801-0.0059947j -0.00987097-0.00461645j -0.0160183+0.00796196j 0.00445283+0.00114171j -0.00958173+0.00245312j -0.00133872+0.000142784j 0.00583395+0.000596742j 0.00271751-0.001824j 0.00124311+0.00209246j 0.00287665+0.00124394j -0.00239975+0.00190629j 
0.00115079-0.000947926j -0.00206565-0.000917986j 0.00154822+0.00110904j 0.00270917+0.000783266j -0.00378936-0.00395383j -0.00537932+0.00305765j 0.00440549+0.00100609j 0.00103931-0.00211634j -0.000889984+0.000434958j -0.00723075+0.000187025j -0.00190931-0.00126327j 0.00074839-0.00146239j -0.00574709-0.00280706j -0.0017317+0.00033238j 0.010035-0.000868204j 0.00440294-0.00735312j -0.000313441+0.00307729j -0.00296081+0.00540005j 0.0145616+0.0028859j -0.00802638+0.000588985j -0.0100082-0.00418269j -0.00702778+0.00175699j 0.0158125+0.002784j 0.00057835-0.00456182j 0.000774785+0.00147304j -0.025188-0.0341764j -0.0189173+0.00352447j 0.0116502+0.00441485j 0.0508364+0.0017832j -0.0705945-7.42469e-05j 0.0223067-0.000323212j 0.0136254+0.000983755j -0.00920552+0.00105469j -0.0359023-0.00113412j -0.00441094+0.000227274j 0.0253875-0.00347985j 0.0720823-0.00796337j 0.0405588-0.00610704j -0.0181108+0.0070972j -0.00298356+0.00106269j 0.0119605-0.00235216j 0.00944642-0.00188102j 0.00582667+0.00232626j -0.00821473-0.00167362j -0.00035343-0.00390042j -0.00637674+0.00420296j -0.0102408+0.00159586j -0.00449702-0.00171853j 0.000652567-0.000184929j -0.00234812+0.000159245j 0.00153091-0.00182515j 0.00186856+0.000392346j 
0.00174345+0.000484782j 0.000642068-0.000867082j 0.00249998-0.00055571j -0.00183382-0.00141151j 0.000777908+0.00133092j 0.00533128+0.00175876j 0.00207737-3.111e-05j 0.00608838-0.000260467j -0.00323413+0.0020309j -0.00317148-0.0003774j -0.00355182-0.00219216j 0.000787504-0.00124065j 0.00579387+0.00268187j 0.00344929+0.000763921j 0.0115912-0.000654214j -0.000631935+0.000931301j -0.00540226-4.99747e-05j 0.00137556-0.000153766j 0.00884675+0.00403508j -0.0194409-0.00618826j 0.000877541+0.0046767j -0.0179316-0.00535286j 0.00249578+0.000444842j 0.0116767-0.000662366j -0.00983974-0.00111855j -0.00271335-0.00503269j 0.00898777+0.000648959j -0.000948934-0.00382122j 0.0219173-0.0020278j -0.0181324+0.00301743j 0.148053+0.00126075j -0.0182753-0.00188962j -0.00964679-0.00172851j 0.00154632+0.000966667j 0.00148873-0.00470679j -0.00080609-0.00422897j -0.0154051+0.000747726j 0.0105377-0.00217704j 0.00119567-0.00103869j -0.00204219-0.00477133j 0.00543473+0.000580093j 0.0120246-0.00151933j -0.00364868+0.0010317j 0.00244868+0.00157125j -0.00524847-1.68755e-05j 0.00108886-0.000560313j -0.00111369+0.000784938j 0.00260545+0.000917323j -0.00189718-0.00140296j 0.00228934-0.000499116j 0.000983336-0.00135899j 0.00222181+0.000485199j 
