0.0122886+0.012306j -0.0844347+0.0763621j -0.37813-0.137282j -0.010461-5.79705e-05j 0.0503253-0.000123931j -0.017662-0.0370889j 0.200392+0.0450781j 0.769078-0.121578j -0.00584212-0.00969993j -0.0189275+0.00724936j 0.00215939-0.00661977j 0.00552977-0.0283545j 0.041157-0.00748563j 0.0194042-0.046151j 0.0807857-0.0141543j 0.00130217-0.0842686j -0.0844404-0.0148446j 0.0308018+0.185779j -0.131745-0.186559j 0.0496671+0.230409j 0.233755-0.229837j -0.353266-0.0500343j 
-0.215144-0.142685j 0.0244523-0.0474155j 0.0165783+0.0155886j -0.0832286+0.030772j -0.0270685-0.0174964j -0.00755846-0.0019992j 0.00199762-0.00497193j 0.00203912+0.00211442j -0.420159+0.0609017j -0.0650889-0.15098j -0.0282403+0.580097j 0.0949203+0.0426572j 0.00551375-0.0310092j -0.0301297+0.00855819j 0.0219267-0.0533713j 0.013491+0.0179838j 0.0121978-0.0234507j 0.0135779+0.00551959j 0.00489234+0.0112671j 0.00163241+0.0161715j 0.0112173+0.000576596j 0.00902694+0.00216334j 
-0.0138008-0.0128622j 0.0144607-0.0152801j 0.0564369+0.13241j -0.00145943-0.0051382j 0.0161055-0.00170309j 0.0108738-0.00910024j -0.026009+0.0205972j -0.12028+0.0515642j -0.000438314-0.006862j 0.00993631-0.0133722j -0.00654342-0.00673273j -0.012228-0.0111019j -0.00187559-0.00458004j 0.0145492-1.90737e-05j -0.0136785-0.00749357j 0.0316673-0.00277547j -0.0187468+0.0290253j -0.0125231+0.0270164j 0.0128753-0.103585j 0.100091-0.223262j -0.19337+0.0389414j -0.211712-0.17793j 
0.00449829+0.0260272j -0.0737289-0.104631j -0.0107303+0.0545995j -0.0103761+0.00243497j -0.00757958-0.0250292j -0.0119135-0.00441394j 0.102185-0.0277981j -0.117097-0.0686578j -0.00910765+0.00930624j -0.0090945-0.0178403j 0.00191209+0.00454647j -0.0361501+0.0201316j -0.00215991+0.0347903j -0.0253411+0.000778741j 0.00716447+0.0565755j -0.0569628-0.0310967j -0.00845122+0.0251385j 0.00625376-0.0920212j -0.187091+0.144758j 0.103705-0.08507j 0.103351+0.223649j -0.193022-0.119457j 
-0.0188771+0.00356172j 0.00330605+0.00891482j 0.116786-0.080225j 0.00891821-0.00187564j 0.0133329+0.0280952j 0.0269946+0.0150172j -0.0943046-0.0462371j -0.0437902-0.131326j 0.00748793-0.00100697j 0.0114982+0.00787808j 0.0034402-0.00378748j 0.00899519-0.00916813j 0.00804186-0.00655429j 0.00960585+0.0125421j -0.0011807-0.0120936j 0.0166521+0.0222824j -0.0249459-0.0156229j -0.0377296-0.0153739j 0.125535-0.00482113j 0.0603959+0.0846599j -0.0460538-0.256992j 0.198529-0.149981j 
-0.0348823+0.000247035j -0.0081942-0.0284953j -0.0783557-0.0501822j -0.0105051+0.00856554j 0.00491909-0.00411692j 0.0420098+0.00272201j -0.097662-0.162971j 0.068415+0.100209j -0.00631017+0.00156706j -0.00612187-0.0350169j -0.00954136-0.00561302j -0.0334446+0.00823642j 0.0103974-0.00320045j 0.0260026+0.0209404j -0.0232501+0.0237452j 0.0313675-0.0289572j -0.093523+0.0809307j -0.107783-0.079717j 0.0553459-0.0394568j -0.115375-0.167882j 0.0157355-0.123414j -0.0919469+0.202003j 
0.000786479+0.000890823j -0.132212+0.0763231j 0.0292545-0.0105763j -0.0188026-0.0152588j 0.0675689-0.0122908j 0.0649097-0.0155096j -0.0197063+0.0231596j 0.0852861-0.121346j -0.0121342-0.0129192j 0.0233856-0.0321562j -0.00708412-0.00818969j -0.0444861-0.0379628j -0.0267823-0.0307672j 0.0235636-0.0121627j -0.0775205-0.00973411j 0.0792975-0.0586084j -0.148125+0.041521j -0.0654312-0.0795206j 0.0209539-0.288248j -0.0155437-0.0183743j -0.260963-0.048275j 0.00478189-0.149714j 
-0.0734761-0.0336978j 0.014846-0.0431128j 0.0710262+0.00491694j -0.012065+0.0083306j -0.00325708-0.0569487j -0.0429113-0.135842j -0.0366282+0.0969864j -0.0752404-0.0821531j -0.017628-0.00902284j -0.0112239-0.0358694j -0.0191788+0.00572005j -0.0174668-0.00321399j 0.00931688-0.0241558j 0.0238484+0.00473185j -0.0475041+0.0431033j -0.0505941-0.0854282j 0.0858032+0.0592579j 0.0145967+0.235909j -0.0644407-0.118061j -0.0927764+0.0692821j -0.175358+0.148568j 0.0491074+0.00879165j 
0.109013+0.041585j -0.0401741-0.07949j -0.0224283-0.0809132j 0.0231816+0.0341416j -0.122986-0.00906061j 0.0577067-0.0399957j 0.00121242+0.0651629j 0.000597529-0.205553j 0.00938335+0.0234398j -0.045205+0.041233j 0.00822914+0.00892542j 0.0388132+0.0274048j -0.0368446-0.0163725j 0.0678265-0.0168216j 0.150811+0.0192701j 0.0619382+0.144885j -0.0902887+0.189215j -0.112682-0.105284j -0.0826653+0.0021469j -0.0287914-0.0400476j 0.0622321+0.0852157j -0.0873876+0.0432484j 
0.0144193-0.0539847j -0.143109-0.0118768j -0.0831524+0.0237985j -0.00241025+0.00905964j -0.00933571-0.00271451j -0.146431+0.116171j -0.160511+0.111152j -0.0283122+0.0198639j -0.00445574+0.0128394j -0.0292598-0.0154793j -0.0056654-0.00596246j -0.0382824+0.0263193j -0.0350235+0.0307075j -0.0516251-0.0287187j -0.0279561-0.0314634j 0.104047-0.0948257j -0.0992386+0.101262j -0.112366-0.141282j -0.120627-0.0857427j 0.000258096+0.032842j -0.0102619+0.0588654j 0.0225482-0.0148643j 
0.0058436-0.0851042j -0.0644695-0.0113006j -0.104701+0.00972684j -0.0201552+0.0238053j -0.0570027-0.123716j 0.0963355+0.105112j 0.0653671+0.113229j 0.213583-0.0298576j -0.0237775-0.00322448j -0.0235371-0.0282161j -0.0179444+0.0141016j 0.00924749+0.0225449j 0.0556971-0.00512122j -0.00869578+0.0966744j -0.0375356+0.0997941j -0.104338+0.0638744j -0.0379921-0.0620779j 0.0856616+0.00483336j -0.019718-0.0353938j 0.0569483+0.0164864j -0.0334548+0.0577226j -0.0411581-0.0871395j 
0.00887509+0.0525025j 0.00497135-0.145998j -0.0154566-0.11601j 0.0159198-0.00771527j 0.0199801+0.0588131j 0.168899+0.0611774j 0.125596+0.105774j -0.0306364-0.0116177j 0.0217298-0.00346999j 0.0114434+0.0231565j 0.00360183-0.00576451j 0.026905+0.0100647j 0.0403112+0.0260374j -0.00382126+0.00161083j -0.0428941-0.0670512j 0.0399671-0.142159j 0.0469842+0.195431j -0.193544+0.0903111j -0.0259674+0.103682j -0.0227638-0.0309896j 0.0053936-0.0550609j -0.0014131+0.039047j 
-0.113506+0.125516j -0.0236629+0.0232274j -0.114172+0.0952269j 0.0231502-0.0211995j -0.0560064-0.0804452j -0.0894444-0.0753302j 0.0271798+0.0848635j -0.0183805+0.0176922j 0.00736568-0.0415715j 0.0486271+0.0376902j -0.00352489+0.0248203j 0.0959968+0.0163005j 0.115212+0.0563055j 0.0231871+0.119103j 0.165521-0.105473j 0.0498484+0.189369j 0.0841333+0.0409768j 0.0361315+0.100744j 0.0708514+0.102469j 0.00971631-0.0262029j 0.0444264-0.0123469j -0.0324512+0.016954j 
-0.113552-0.0956748j -0.0227851-0.0242293j -0.114061-0.125921j 0.0212903+0.0208972j -0.0259105+0.0791147j -0.0917489+0.0757234j 0.0537552-0.0803779j -0.023622-0.0201131j -0.0314128-0.0157878j 0.0426073+0.0194006j 0.0106182+0.0292841j 0.0751512-0.0975264j 0.0373315-0.101234j 0.0824516-0.0394361j 0.0539474-0.187948j 0.164999+0.10968j 0.0228211-0.119313j 0.112274-0.0590865j 0.0994829-0.0118322j -0.00178493-0.023812j 0.0549827-0.0404405j 0.00778521+0.04237j 
0.0134048-0.116406j -0.00609959-0.1425j -0.00871572+0.0563507j -0.0293295+0.00856326j 0.12825-0.104346j -0.171462+0.0595381j 0.0196997-0.0576718j 0.0132162+0.010289j 0.00183091+0.0376582j -0.00621175-0.0579694j 0.0207794-0.0324126j 0.0197816+0.103796j 0.193303+0.0908595j -0.0468926+0.193491j -0.0411803-0.143404j 0.0432542-0.0687974j 0.00680624+0.000956377j -0.0395089+0.0287813j -0.0278227+0.0107849j -0.00418195-0.00532005j -0.0127557+0.0236596j -0.0208484-0.00330453j 
0.109011+0.00878582j 0.062507-0.0134001j -0.00590526-0.0816871j 0.213505+0.0299312j 0.0605884-0.114078j -0.0969468+0.104344j -0.0613233+0.126805j -0.0191531-0.0256567j 0.0424638-0.0847736j 0.0303562+0.0560828j -0.0557328+0.016357j 0.0209738-0.0319372j -0.0847911+0.0064819j 0.0361685-0.0595956j 0.104781+0.0674433j 0.0339944+0.10024j 0.00682773+0.0997024j -0.0574753-0.00666991j -0.0139242+0.0230414j 0.017387+0.0156345j 0.0233279-0.0243224j 0.0229062-0.00296567j 
-0.08502-0.021707j -0.139894+0.0166417j 0.0180729+0.0530577j 0.0318077+0.0185521j 0.159534+0.114427j -0.145429-0.116144j 0.00878991-0.00462028j -7.48415e-05+0.00831227j 0.0217858+0.0115235j -0.00706765-0.0631748j -0.00174955-0.0341811j -0.12214+0.0785854j -0.116447+0.140586j -0.0975703-0.105979j 0.104141+0.0925656j -0.0249234+0.0301546j -0.0506579+0.0310347j -0.0342692-0.0305444j -0.038668-0.0305928j -0.00680036+0.0051029j -0.0316601+0.0153468j -0.00420311-0.0128728j 
0.0204456-0.0815769j 0.0339921-0.0794645j -0.107519+0.0443215j -0.00352234+0.204764j 0.000755993-0.0691858j -0.0586467-0.0443342j -0.123234+0.00927292j 0.0267366-0.0348235j 0.0858861+0.0465899j -0.0651576+0.0831676j 0.0283961-0.0398942j 0.0761787+0.00966151j 0.113106-0.097933j 0.0862944+0.188898j -0.0592393+0.148161j -0.153244+0.0221561j -0.0691658-0.0172766j 0.0390389-0.015736j -0.040841+0.0261234j -0.00850946+0.00896094j 0.0425374+0.0438957j -0.010583+0.0226389j 
-0.0705653+0.00557463j -0.0150969-0.0446332j 0.0762826-0.031358j -0.0744871+0.0759118j -0.0354072-0.0956562j 0.0424209-0.137983j -0.000814694+0.0592274j -0.0121443-0.00908768j -0.046008+0.0149561j 0.173109+0.144448j 0.0966654+0.0646847j 0.0625591-0.118826j -0.0102367+0.237302j -0.088569+0.0610057j 0.0552001-0.0880776j 0.0468314+0.0453617j -0.021755+0.00812805j -0.0139884-0.0202566j 0.017843-0.000689627j 0.0184965+0.00537186j 0.0111846-0.0363662j 0.0167511-0.00833495j 
-0.0257127-0.00554121j 0.133481+0.0762562j -0.00557064-0.00134163j 0.0842312+0.12384j -0.0184717-0.031392j -0.0638607-0.0163308j 0.0656892+0.0128626j -0.0202369+0.0149165j 0.00374219-0.151234j 0.260387-0.0294902j 0.0162511-0.0196782j -0.0105753-0.287145j 0.0630992-0.0862188j 0.147063+0.0430016j -0.0770598-0.0619363j 0.0778941-0.00533884j -0.0228819-0.0154036j 0.0283567-0.0282902j 0.0482886-0.037131j 0.00759457-0.0079113j -0.0211096-0.0343228j 0.012928-0.0123862j 
0.0779148-0.0515232j 0.011485-0.0264674j 0.0338195+0.00208082j 0.0667663-0.0953589j -0.0982749+0.166999j -0.0442699+0.00431073j 0.00804734+0.00139377j -0.0112805-0.00876632j 0.0931387+0.194183j -0.0158573-0.125509j 0.111072-0.170708j -0.0589201-0.0377034j 0.109407-0.0896199j 0.0994772+0.0791484j -0.0335811-0.0302446j 0.025371+0.0236798j -0.0252619+0.0184889j -0.0087244-0.00372696j 0.0357764+0.00768963j 0.00863947-0.00568038j 0.00648902-0.0345461j 0.00639497+0.00229439j 
0.117757+0.0807584j -0.00176575-0.0123313j -0.019277-0.00370683j 0.0426035-0.135585j 0.0931585-0.0441508j 0.0276248-0.0146j -0.0162745+0.029645j -0.00849786-0.0023571j 0.198786+0.157931j -0.0560635+0.255774j 0.0624004-0.0845599j 0.12444+0.0149225j -0.0347988+0.0166798j -0.0278318+0.0156312j 0.0206345-0.0186183j -0.00490828+0.0140481j 0.0102628-0.0108179j 0.00579287+0.00776202j 0.00800849+0.0122782j 0.00338411+0.00414691j 0.0125129-0.00778283j 0.00709156+0.00159409j 
-0.0113752-0.0511834j -0.0742203+0.103791j 0.00688408-0.0279502j 0.115396-0.0715992j -0.106307-0.0249528j -0.0131539+0.00476966j 0.00934449-0.0248258j 0.0105899+0.00299539j -0.185439+0.114314j 0.110532-0.225859j 0.102003+0.0722515j -0.189149-0.152296j 0.0052231+0.0855511j -0.00422999-0.0222128j -0.0595536+0.0282741j 0.0104604-0.0551038j -0.0261865+0.00014544j -0.000738412-0.0333003j -0.0337179-0.0230372j 0.00263693-0.00543767j -0.010942+0.016178j -0.00883946-0.00992502j 
0.0574675-0.132425j 0.0124548+0.0198531j -0.0146127+0.0125162j 0.123267+0.0504936j 0.0237512+0.0186927j 0.0106938+0.00875424j -0.0172896-0.00227784j 0.00176801-0.00531851j -0.214631+0.179384j -0.188828-0.0471183j 0.101263+0.221718j 0.0050115+0.0970593j -0.0120739-0.0196245j -0.0191841-0.0283102j 0.0295265+0.0068768j -0.0152257+0.00415669j 0.0133743+0.00100033j -0.00245409+0.00259931j -0.0147898+0.011326j -0.00654883+0.00661617j 0.00992434+0.0141149j -0.000838949+0.00657167j 
