-0.198301+0.42171j 0.220709+0.0404726j -0.0153385+0.0367071j 0.0663103+0.018818j 0.00318747+0.105842j -0.0749362-0.073887j 0.000347434+0.000265107j 0.00628869-0.00720097j 0.0118713-0.00970134j 0.015937+0.00533299j 0.0469231-0.00556515j -0.0253205+0.0487411j 0.0392864+0.0437709j 0.0437136+0.0166514j -0.0121479-0.0431836j -0.00191592+0.00423448j 0.00631626-0.00464306j -0.00204738-0.00151223j 0.00630315-0.00275087j -0.0112867-0.00710313j 0.00545532+0.00592845j 0.00962985+0.000950081j -0.00655443-0.00332046j 0.00553907-0.00652996j -0.00212973+0.00938765j 0.0286917-0.00399333j 0.0216355-0.000399222j 0.00980334+0.0134128j -0.00141488+0.00217087j 0.00190448+0.00294379j 0.00509229-0.000252066j 0.00698787-0.00527369j -0.0219492-0.0135108j -0.00928964-0.0152005j 0.0123322+0.00882744j -0.0180398-0.0166193j -0.002613+0.014952j 0.00547076+0.0267635j -8.5121e-05+0.0127711j 0.00959501-0.0099137j 
-0.0683307+0.00212406j 0.0429947-0.000737138j -0.0442484-0.0549882j 0.0114204+0.00052505j -0.0927468-0.0193516j 0.0431457-0.0565718j -0.0273673-0.0280403j 0.000556393+0.0222475j 0.00242156-0.0709709j -0.0600147-0.000800843j -0.0550231+1.98015e-05j 0.043138+0.0300364j -0.00201312-0.0715392j -0.00219689-0.0213572j -0.0268244+0.027838j -8.97056e-05-0.0112372j -0.0088683+0.0211125j -0.00576233+0.00594473j -0.0261051+0.00757564j 0.0124536-0.0356147j -0.0254923+0.0316763j -0.0268687+0.0201077j 0.0536475-0.0271789j -0.00437599-0.016288j -0.0215412+0.0173991j 0.0553976+0.00119064j 0.00327194-0.0335051j -0.0878883+3.84163e-05j -0.000104042-0.0169569j -0.0259542+2.2201e-05j -0.0217352-0.0175869j 0.0062712-0.0153665j -0.0510608-0.0268026j 0.0277573+0.0197717j 0.0229206+0.0308985j 0.0151388+0.0345555j -0.0258084-0.00762904j 0.00419478+0.00408864j -0.00898945-0.0207289j -0.000158713+0.0115278j 
0.012775+0.108992j 0.0167588-0.0214905j -0.00056785-0.00123419j -0.0409424+0.0620204j -0.0525761-0.0264141j 0.0764817-0.0188044j 0.00495505+0.00237046j -0.0176249+9.42048e-05j -0.0289096+0.00727345j 0.0331934-0.0255384j -0.0171053-0.0603164j 0.0750347+0.0151091j 0.0567814-0.0515709j -0.00178154-0.0679216j -0.0479319+0.0290688j -0.0118328-0.0039127j 0.0155273+0.0262715j -0.00553491+0.0262947j -0.0109213+0.0423069j -0.0400026+0.0105337j 0.0231327+0.014269j 0.0236203-0.0135149j -0.0236364+0.000103427j -0.0301047+0.00369224j 0.0228062+0.0158671j 0.0287261+0.0138559j 0.0230414+0.0361066j 0.0440224+0.0357093j 0.0264627-0.0312219j 0.0108047+0.0116083j -0.000878538-0.00881093j -0.0239553-0.00306708j -0.00820813-0.0143593j 0.00815276-0.0554179j -0.0158051+0.0252702j -0.00809955-0.0442013j 0.0468422+0.0234851j -0.0426363+0.0298698j 0.0255192+0.0481824j 0.0143885-0.025332j 
-0.0998421-0.271604j -0.0548401-0.168283j -0.0289941+0.00614051j -0.00452495+0.00749957j -0.0344029+0.0269054j 0.000587524-0.0308181j -0.0173646-0.00385787j 0.00447922+0.0239398j -0.03508-0.0107041j 0.0685678+0.0172837j 0.0533236+0.0155221j 0.00319391+0.0775534j 0.0687351+0.0620345j 0.0324762+0.00678034j -0.0102016-0.0454663j -0.0300213-0.0154704j 0.0146307+0.0420569j -0.0118792-0.0356182j 0.0105427+0.0529537j 0.016857-0.0219253j 0.0160584-0.0431586j -0.0231448+0.0424831j -0.00276371+0.0392751j -0.020735+0.0285373j 0.0220655-0.0146485j -0.0665519+0.0144724j 0.0305647-0.0221425j -0.020536+0.0163387j -0.0214335-0.0252222j -0.00360753+0.00743014j -0.0290885+0.00761794j -0.0232783+0.0138326j 0.00308366+0.0344803j 0.0132515-0.0110504j 0.010444+0.000479928j 0.0357355+0.0103128j 0.00890315-0.0265739j -0.0104008-0.01312j 0.00775215-0.0189537j -0.0119032+0.00891507j 
0.0626139+0.00876988j -0.093222-0.0138494j 0.0378646-0.0402773j 0.0497991-0.0167605j 0.0289466-0.0390506j -0.00703679+0.0120514j -0.00593764+0.0286293j 0.0348113-0.0312924j -0.00104843+0.0103343j -0.00807782-0.00333007j 0.0582378-0.0122842j 0.00604377+0.00485796j 0.0113667+0.00598761j 0.0456109+0.0145427j -0.0176196-0.0272295j 0.00052624-0.023839j -0.0248745+0.0144813j 0.0274959-0.0387532j -0.0160029+0.0113549j 0.0592585+0.00370104j 0.0130729-0.021136j -0.0323936-0.0179871j -0.0424422+0.0538472j 0.0149949+0.00910603j -0.0179214-0.015602j -0.0316367+0.00438425j 0.072902+0.0357844j -0.000498398-0.052927j 0.0265373-0.0105473j 0.0011703-0.0166354j 0.0188426-0.00291177j 0.0118003+0.0194995j -0.0051245-0.0451172j -0.00905166+0.015041j -0.0116328+0.0151481j -0.0245294-0.00556293j 0.019008-0.019845j -0.00690444+0.021361j 0.0254523-0.00158605j -0.00702031-0.00741866j 
0.0293715+0.0664486j -0.0538931-0.00414934j 0.0346835-0.0771088j 0.0764596-0.0544154j 0.0277004-0.0617146j -0.0178228+0.015957j -0.00212404-0.0202312j -0.0172621-0.0100199j 0.0242953-0.0701632j -0.0444255+0.0582581j -0.00541567+0.0150835j -0.0529895+0.0455983j -0.024334+0.0381954j 0.0361419+0.0131427j 0.00087778-0.0192043j -0.00956072-0.000254884j 0.0201881+0.0239565j -0.0026928+0.0364042j -0.00852704+0.0351348j -0.0292839-0.0177255j -0.000124149+0.0588025j 0.00215275-0.038921j 0.0259796+0.00375071j -0.00218682-0.0244558j -0.0188994+0.0503335j 0.0292527+0.00860845j -0.0286533-0.00208478j -0.00673476+0.0160773j 0.0419066-0.0701955j -0.00619079+0.00187182j 0.0293127-0.0333998j 0.0194854-0.00942718j -0.0272226+0.00629768j 0.0485469-0.0133511j -0.0417342+0.00903377j -0.00954183-0.00605082j 0.0228576-0.0194394j -0.0229734+0.000898941j 0.0211936+0.0020444j -0.00620687-0.00362719j 
0.0034469-0.255957j -0.0806466+0.038237j 0.0418855+0.0154275j 0.0107715+0.0402544j 0.0301185-0.00324917j 0.0082773+0.00436813j -0.00635432-0.00981156j 0.0126597-0.0268511j 0.0435103-0.0608641j -0.0594668-0.0370454j 0.0146448-0.078685j 0.0401497+0.0759549j 0.074928-0.0661409j 0.078524-0.0313867j -0.0845409-0.0183632j 0.0186158-0.00503605j -0.0159966-0.0230636j 0.0384507-0.00442151j -0.0124591-0.0269788j 0.0122959-0.00712894j 0.0132358+0.0478185j 0.00523821+0.000740139j -0.039752-0.0678776j 0.0244495-0.0134053j -0.0281207+0.0154398j 0.0517549-0.0657582j -0.00323981+0.0297645j -0.0241986+0.0346609j 0.00105881+0.0344663j -0.00656881+0.00683403j 0.00855043+0.0217156j 0.0215163-0.00434143j -0.0446625-0.0275266j 0.000680848+0.00883414j 0.0380059-0.00569279j -0.00187906-0.0160855j -0.0361937+0.0342896j 0.0192392+0.0261718j -0.0300905+0.00678117j 0.0211701-0.000386119j 
0.17852+0.0788461j 0.0522732+0.123002j -0.0156882-0.0154478j -0.0822847-0.0430286j -0.00474823-0.0719251j 0.0463408+0.0745496j 0.0190667+0.0212378j -0.0127498-0.0445135j -0.00630932-0.00120031j 0.0173276+0.0399099j 0.0443403-0.0351067j -0.018045+0.0204153j 0.0117839+0.0457849j 0.0502504-0.0187724j -0.0205293-0.0208563j 0.00916607+0.00350682j -0.0221449-0.0158546j -0.0250603-0.0196917j -0.0133355-0.0324612j -0.0308552-0.00053496j 0.0329714-0.032401j -0.0315155+0.0249597j 0.0260556+0.00329822j -0.0414382-0.040927j 0.0587408+0.0255602j -0.00806807+0.0152442j 0.0126657+0.0045307j 0.00121005-0.00539463j -0.0470072+0.00590586j -0.00540492+0.00388472j -0.0354455-0.0528774j -0.0192277-0.0647679j 0.0153682+0.0159581j -0.00684512-0.0274364j -0.00334818+0.0352456j -0.00701652+0.0351327j -0.0239526+0.0366652j 0.010646-0.0162978j -0.0257547+0.013983j 0.0119098+0.00150711j 
0.252805+0.190348j 0.128337-0.0310968j 0.0624567+0.00529578j -0.0380856+0.137415j -0.0327217-0.0591796j 0.126099-0.0149979j -0.0284003-0.00375055j 0.0423055-0.000688679j 0.0274804-0.0440263j -0.0676117+0.00422372j 0.0206614+0.0373101j -0.0224929+0.0198816j -0.023537-0.00628302j 0.0328716+0.0523268j 0.00409048-0.0284302j -0.00823-0.0087683j 0.0168225+0.00983986j 0.0413583-0.0076371j 0.0216108+0.0295054j 0.0423871+0.0050182j 0.00394076+0.00619821j -0.0185384+0.00885254j -0.0159369-0.0179892j 0.0161338+0.0417571j -0.0167607-0.0251641j -0.0148146-0.0137935j -0.00230167+0.0206382j -0.0277258+0.0033958j -0.0190759-0.013083j -0.0030903+0.000246542j -0.0105146+0.0316527j 0.0032248+0.0420817j 0.00661082-0.00630756j 0.00653434+0.00505054j 0.0147833+0.00257878j 0.0315248-0.0102079j -0.0149321-0.0447873j -0.0169101+0.0112343j 0.00202666-0.0357979j -0.00850173+0.0183719j 
0.297505-0.0507146j 0.000971647-0.0583702j -0.0117068-0.0608401j 0.10017+0.0515699j -0.0910564+0.0207983j 0.0200543-0.126751j 0.0317722+0.0347734j -0.0472146-0.0537616j -0.059558+0.0138923j 0.047094+0.0944757j 0.00936532-0.0314509j -0.001303-0.0273319j -0.0395453+0.055467j 0.011239-0.0622622j -0.00187303+0.0263264j 0.0248193+0.010389j -0.0264838-0.0225437j -0.0216615+0.0310379j -0.023594-0.0475499j -0.00472002+0.0248289j -0.0452924-0.00362332j 0.012018-0.0239509j 0.0398811-0.000263673j -0.00107078-0.0152536j -0.00569068-0.0163857j 0.0148947+0.0366222j -0.0382405-0.00606832j 0.00524931-0.0543751j 0.020946+0.0306426j 0.000972794-0.0148872j 0.00699273-0.0133303j -0.00339965-0.0102551j 0.0414902-0.0205477j -0.0112096+0.0336334j -0.0290335-0.0037585j -0.0100181+0.0241124j 0.00591929+0.00823364j -0.000527316-0.0320915j -0.000720086+0.00731638j -0.00423893+0.001602j 
-0.41875+0.277555j -0.0676432-0.206995j -0.0665679-0.0578188j -0.0412005-0.0551561j -0.0829469-0.0505483j 0.0450405+0.00112997j 0.0280653+0.0160021j 0.00161918-0.0475987j 0.0473517+0.0192806j -0.0348027-0.0160864j 0.0186105-0.0417394j -0.0304658-0.02694j -0.0120654-0.00433383j 0.0277136+0.00444515j -0.0109849-0.0084859j 0.0107665+0.00363529j -0.00763431-0.0216365j 0.013842-0.00587711j 0.0039929-0.0228824j 0.00241515+0.011155j 0.0121011+0.000265923j -0.00337458-0.00294858j -0.0136707-0.0156889j 0.0053458-0.00563617j 0.00452723+0.000527556j 0.00178531-0.0251492j -0.00482945+0.00980871j 0.00815919-0.00265004j -0.0146127+0.0173889j 0.00200047-0.00064302j -0.000157257+0.0018984j 0.004568-0.00680954j 0.00113621+0.00391422j -0.0139218+0.00334839j 0.0101932-0.00484626j -0.00803306+0.00384648j -0.0139584+0.00931475j 0.0168276+0.00166077j -0.0102454-0.00186126j 0.00279824+0.000600259j 
0.226724+0.404689j -0.217888+0.0531434j -0.0713629+0.0774238j -0.0635403+0.0219111j -0.0435406+0.0977389j -0.0179835-0.0369902j 0.0105867-0.0437798j -0.0421607+0.0230443j 0.0366891-0.0448229j -0.0135641+0.00631568j -0.0472042-0.00425208j -0.0359339+0.0412824j 0.012861+0.0100361j -0.00787504-0.00731238j 7.90193e-05+0.000678469j -0.0100829-0.00982902j 0.000341355+0.0134046j 0.00454647-0.026171j 0.00199689+0.0155912j 0.0170024-0.0176601j 0.0118045-0.00867655j -0.0087344+0.0153398j -0.0208468+0.0134177j 0.00583658+0.00624012j -0.00527187-0.000240111j -0.0278923-0.00312537j 0.0204591+0.00562504j -0.010496+0.0134616j -0.000849883-0.00255519j -0.00203621+0.0029996j 0.00194609+0.00910836j 0.00417655+0.00734149j -0.00653904+0.00303432j 0.0100379-0.0010932j 0.00496371-0.0054508j 0.0110904-0.00740498j -0.00581563-0.0030022j -0.00296882+0.00136547j -0.0058138-0.00451809j 0.00194308+0.00410735j 
