0.10298+0.0433661j 0.0363956-0.101177j 0.0758282+0.110199j -0.127693+0.0801116j -0.00188204+0.0397308j -0.00615076-0.041468j -0.0680393-0.0530098j 0.0380561-0.129599j -0.0953984+0.00415435j -0.0391358-0.00539714j 0.0983566-0.0438642j 0.0417303-0.0316009j 0.0599922+0.046194j 0.0443763+0.0514034j 0.00289754+0.0222434j 0.00255005-0.0368336j 0.016364+0.035501j 0.063638+0.0807927j -0.0131805+0.0632735j 0.0257919+0.0333871j 0.00897302+0.0856861j -0.00735734+0.0485482j -0.00443471-0.0776928j -0.00993481-0.0191785j 0.00651727+0.0401429j -0.0132563+0.0199006j -0.0431614+0.00650078j 0.0164768+0.00789641j 0.038144-0.0214362j -0.0757695-0.00945895j -0.0211637+0.00419563j -0.0236263+0.00119016j 0.0193606+0.0311882j 0.0419482-0.00251912j -0.0398747-0.00886586j 0.0223033+0.0322849j 0.0200451+0.0017865j -0.0302131-0.0134921j 0.0654461-0.0203522j 0.0340841-0.0219346j 0.0623607-0.0040079j 0.0269084-0.0259748j -0.0270903+0.0094813j 0.0545399-0.0259485j 0.00578803-0.0214371j 0.0230092+0.0163089j -0.0114247-0.0417815j -0.0250281-0.00656379j -0.0133873+0.056187j -0.00728384-0.018772j -0.0659865+0.0211111j -0.0100043-0.0288153j -0.0387445+0.00581728j 0.0300535+0.00402677j 0.0162466+0.0270915j 0.0199195+0.0141376j -0.0709768-0.0542364j -0.0381002+0.0350569j -0.0287935+0.00259207j -0.0184382+0.0433215j -0.0427162+0.0361081j -0.00678626+0.00177417j 0.000488461-0.0347j -0.005267+0.050911j 0.00604329+0.0117043j 0.0448808-0.010521j -0.0273589+0.00484308j 0.0261323+0.0118164j 0.037032-0.0424492j 0.0279361+0.104122j 0.019432+0.000687105j 0.0241589+0.0692486j 0.0887459-0.0232672j 0.077192+0.0902731j 0.0944084-0.0783893j 0.130301+0.037065j -0.0364029+0.131867j 
0.00338266+0.00379305j 0.00214295-0.00381196j 0.00113695-0.00205121j -0.00173712+0.00126242j -0.00321325+0.00111235j 0.0015047-0.000110533j 0.0034531-0.0013968j 0.00581539+0.00323272j -0.0069752+0.0113251j -0.000279426-0.00413519j -0.0032168-0.00174661j 0.00192051-0.0040706j -0.0105495+0.00173722j 0.000849841-0.00973189j -0.007438+0.00642226j -0.000655095-0.00704762j -0.00520104-0.0056484j 0.00140501-0.00237001j -0.00272333-0.00689539j 0.00560392+0.00677849j -0.00704634+0.00251881j 0.00236513+0.0034229j 0.00786157-0.0106803j -0.00351853+0.00038736j -0.00501002-0.000215724j -0.00794278+0.00572806j -0.00775467-0.0141114j 0.000159508-0.000469033j 0.00332904-0.0126565j 0.0081508+0.0068746j 0.00181105+0.00897701j -0.00499864-0.000439736j -6.89152e-05+0.00418355j -0.00321637+0.00129475j -0.00943541-0.00759732j 0.0100112-0.00568983j 0.002332-0.00495465j 0.00375106-0.00351881j 0.0134098-0.00284592j -0.00214921-0.0120907j 0.00607319+0.00804246j -0.00293955+0.00293653j -0.00805199+0.00313759j -0.00280709+0.0051297j 0.0063064+0.000343334j -0.000199846-0.00093878j 0.0114791+0.00165585j -0.0073343+0.000728454j 0.00252584-0.00270175j 0.00175104+0.0124763j 0.00830699-0.00483813j -0.0180148+0.00297094j -0.000690025+0.00666475j -0.0135798-0.00145942j 0.00521039-0.0171436j 0.00543053-0.0105392j 0.00886626+0.00773608j 0.0102932-0.000477233j 0.011109+0.0171741j 0.00279481+0.0139743j 0.00331828-0.00441802j -0.00743702-0.0018577j -0.00609744-0.00528663j -0.01331-0.00358135j 0.0122092-0.0178031j -0.0117676-0.000161793j -0.00128525-0.000131177j -0.00779179-0.00948284j -0.0152266-0.00963971j -0.000751425-0.000229715j 0.00107618+0.00482954j 0.00441614-0.00187328j 0.0138386+0.00692631j 0.00381132+0.00152989j 0.00544453+0.0012213j 0.00217017+0.00176629j -0.00350002+0.00155181j 
0.00109546+0.00194743j 0.00192459-0.000853967j -0.00249092-0.000923609j 0.000599374-0.00154778j -0.000693968+0.000547898j 0.0016955-0.000834883j 0.000328212-0.00278822j 0.00082376+0.00150224j -0.000414909+0.00342178j 0.00342072+0.00441559j -0.00356522-0.00223357j 0.00188101-0.00397435j -0.00175866+0.000375697j -0.00139491-0.00306525j -0.00448385-0.00303939j 0.000372883-0.000376871j 0.00333597+0.00406516j -0.0046055-0.0018238j -0.00261175-0.000852023j 0.00110008+0.00499843j -0.00624703-0.00452284j 0.00156695+0.00370185j 0.0030165+0.00183234j 0.00270545+0.00373514j -0.000693356+0.00100606j 0.00500494+0.00260559j 0.00191519+0.00150161j -0.00952039-0.000329217j 0.00822969-0.00252881j -0.00407831-0.00587745j -0.00365283+0.00256057j 0.00806062+0.00159288j 0.00419192-0.00219138j -0.000539884+0.00047804j -0.00541035-0.000269115j 0.00200025+0.0065295j 0.00315124-0.00988327j 0.00122932-0.00143436j 0.00119082-0.00334266j -0.00471897-0.000518567j -0.000362711+0.00783766j 0.000429956+0.00233217j 0.00459042-0.00084689j -0.00126241-0.00472983j 0.00187871-0.00420744j 0.004442+0.000918903j 0.00260422-0.0071825j -0.00349066-0.00334888j 0.00283501+0.00107751j -0.0023214+0.00362209j 0.00644858-0.00522007j -0.00536008+0.00689303j 0.00679189-0.00488349j 0.00137099-0.00219947j -0.00268385+0.00167706j -0.00429474-0.0079537j -0.00193254+0.00517475j -0.0056222+0.00234261j -0.00155256+0.00481059j -0.00135845+0.00380067j 0.000639348+0.00169612j -0.00511744+0.00376033j -0.00113099-0.00671299j 0.00399338-0.00084929j 0.00519874-0.0028735j -0.00340007-0.00151059j 0.000549776+0.00325454j -0.00171114-0.00691488j 0.00253797-0.00148745j 0.00146837-0.000438579j -0.00115028+0.00157098j 0.00182251-0.00268001j -0.00255082+0.000166991j 2.86097e-05-0.00189057j -0.00134355+0.0016268j 0.00176269+0.0016668j -0.00191966+0.00171975j 
0.00159974+0.0014684j 0.000889951-0.00181975j 0.000140466+0.000923157j -0.00278812-0.00118078j -0.00162483+0.00243649j -0.00458433-0.000537804j 0.00434466+0.00717872j -0.0036509+0.0022707j 0.0004797+0.00202836j -0.000798328-0.00582122j 0.00042348+0.00383531j 0.000281165+6.19588e-05j 0.00528175+0.0012425j 0.00206941+0.00367134j 0.00619834+0.00292522j -0.0019863-0.00443282j -0.00644893-0.0147964j 0.0102232+0.00295083j 0.00010377+0.000752754j -0.0040108-0.00717061j -0.00253588+0.00880895j 0.00310028-0.0110015j 0.00103755-0.0100555j 0.00399571-0.00210336j 0.0122655-0.00531103j -0.00684125+0.00058866j -0.00229433-0.0110699j 0.00324612+0.00432675j -0.0140425-0.00848884j 0.0089881+0.00584399j 0.00689907+0.0103511j -0.0140516-0.00584992j -0.0114835-0.00157015j 0.0166862+0.00707358j 0.00152269+0.009107j -0.00860915-0.00967599j -0.0119835+0.00752919j -0.0109563-0.0029373j -0.00716426+0.00602833j 0.00753049+0.00404532j -0.00299419+0.012647j 0.00486234-0.00200476j -0.0113666+0.00352068j -0.00354805-0.00646092j 0.000246601-0.00924778j -0.00906309-0.00690002j -0.00308503+0.0098219j -0.0132588+0.0110996j 0.00582274-0.0076413j 0.00571218-0.00763415j -0.00970078+0.00284953j 0.00537094-0.0129792j 0.0049119+0.0111494j -0.00498458-0.00307245j 0.00792683+0.000750106j 0.00209835+0.0157075j 0.00620081+0.00748738j 0.00160356+0.00206833j 0.0109773-0.000387414j -0.00165495-0.0131572j 0.00625815-0.00407851j -0.00317547-0.00474363j 0.00733394+0.0121768j -0.0110295+0.0112965j -0.00413246-0.0067025j 0.00561087-3.14321e-05j -0.00484444-0.00227392j 0.00406959-0.00428906j -0.00403909+0.00676748j 0.0036315+0.00133629j -0.000326553-0.00190085j 0.00199725+0.00579956j 0.00639168-7.10442e-05j 0.00240843+0.00253155j 0.00307464+0.000974495j 0.000302042-0.000757769j 7.65808e-05-0.000300571j 
6.26466e-05+0.000659071j 0.000979884+6.38975e-06j -0.00137194+0.00103115j -0.000265593-0.00116683j -0.0018125-2.24456e-05j -0.000589879-0.00384243j 0.000322005-0.00119711j 0.00313027+0.00361298j 0.00203104-0.00332371j 0.0011216+0.00275877j -0.00321398-0.000580348j 0.00481609-0.00202545j -0.0011684+0.00400538j -0.00382807-0.00152874j 0.00136857-0.00377954j 0.00700457+0.0118988j -5.85284e-05-0.00290213j 0.00209168-8.14554e-05j -0.0027689+0.00525813j -0.00933636-0.000105448j -0.00654087-0.00395364j 0.000916197+0.0135772j -0.0041023+0.00260471j 0.00215644+0.00226832j 0.0100026-0.00415944j 0.00373557-0.00245868j -0.0102151-0.00384446j -0.0132507-0.00163394j 0.00423514+0.000204156j 0.00478375+0.00302171j -0.0126425+0.019856j 0.00139969+0.00865391j -0.00417365-0.00189404j 0.0136115+0.000932187j -0.00334892-0.0045509j 0.00206583+0.010578j 0.00128947-8.34586e-05j -0.0162927-0.00919712j -0.00339718-0.00528934j -0.00316594-0.00638591j -0.00705703+0.00079633j -0.0031487-0.00342094j 0.00164571+0.0137172j -0.0107955-0.00381702j 0.00232132-0.00612656j -0.0120365+0.0018772j 0.00340632+0.0025399j -0.015692-0.000275221j 0.00796983-0.0066324j -0.0112753-0.0131213j 0.00895012-0.00503651j -0.00595946+0.00387807j 0.00543773+0.00123225j -0.00641601-0.00848151j -0.000952275+0.00320267j 0.0032643-0.00264599j -0.0083414+0.000565814j 0.00317569-0.00168962j 0.00519334+0.000703015j -0.00461166-0.0140275j 0.0127722-0.00163983j -0.00242307+0.00489058j 0.00274975-0.00442178j -0.00326595+0.00131785j 0.00354069+0.000456328j -0.00743308+0.00109997j -0.00279827+0.0101131j 0.0084453-0.000470828j -0.00103108+0.00585481j -0.00172909+0.00280472j -0.00445874+0.00164273j 0.0021124+0.00651278j 0.00416873-0.00277382j -0.00176106-0.000431799j 0.000251697+0.000595929j 0.000205224+0.00244141j -0.00238086+0.000407352j 
-0.00119783-0.000937188j -0.000212607+0.00160277j 0.000827551+0.000425572j 0.000521929+0.000721482j 0.00137214-0.00121249j -0.000336736-0.0021037j -0.00366545+0.00283906j -0.00262308+0.000181727j 0.00147943-0.00471258j 0.000904175-0.00136856j 0.0020958-0.00340914j -0.00326842+0.00858702j -0.000877783+0.00179376j 0.000761608+0.00203974j 0.00352198+0.00229088j -0.00480755+0.0145241j -0.00721566-0.00694944j 0.000848398-0.000436332j 0.005597-0.00655784j -0.00556583+0.000439717j 0.00336716+0.00355702j 0.00383924+0.00579198j 0.000262532-0.00918368j -0.00569404+0.00611848j -0.00522284-0.00252776j -0.0116753+0.00337555j 0.00188743+0.00490625j 0.0049398+0.000791919j 0.00167179+0.0042733j 0.000351029+0.0130676j 0.0122585+0.00453569j -0.00437738+0.00582023j -0.0022012-0.0101477j -0.00732218+0.00192246j 0.0133866-0.0150424j 0.0026376-0.00120814j -0.00128212-0.00304317j -0.00753832+0.00286403j -0.00178956+0.00535436j -0.000587599-0.0027093j 0.000326078-0.0023913j 0.00318665+0.00198244j 0.00150972-0.0023891j 0.00229312+0.0102837j 0.00198424+0.00769105j -0.00546789+0.00974906j -0.00455687+0.00736441j 0.00116109+0.00754149j -0.000899415+0.000715978j 0.00491676-0.010963j -0.00774968+0.00452878j -0.00232394-0.00673768j -0.00598596+0.00181008j -0.0128292+0.000587856j 0.00772051-0.000398451j -0.010592+0.00303881j 0.00259718-0.0139795j 0.00253149-0.00019243j 0.00271079-0.00173221j -0.0077725+0.0055964j -0.000928061+0.00327457j 0.000459582+0.00485172j -0.0021494+0.0171061j -0.00761542+0.000874936j -0.00243146+0.00083321j 0.000905828-0.000224156j 0.00196457-0.000401692j -0.00835934-0.00142101j -0.000739317-0.00593594j 0.00024425-0.00380209j -0.000279706+0.00176441j -0.00110061-0.00383518j -0.00470215+0.00176996j -0.000227347-0.00340543j -0.00226853+0.000303959j 0.000228402+0.000591319j -0.000519552+0.000465107j 
-0.00131277+0.000362048j 0.000397513+0.000791064j -0.000756119-0.002233j 0.000640306-0.00182081j -0.000638226-0.000818495j -0.00197376+0.00224298j 0.00274927+0.00404074j -0.000256726+0.00671468j -0.00356638-0.00710966j 0.00195578-0.0052997j -0.000238098+0.000224245j -0.00579059-0.00784066j 0.000840762-0.00323525j 0.00189028+0.00731404j -0.004239+0.00380988j 0.00750424-0.0122486j 0.00274685+0.00523812j -0.0027543-0.00104087j -0.00304725-0.0156627j 0.0100798+0.00280081j 0.0058058-0.00267654j -0.00132168-0.00621164j 0.00213591-0.00350166j 0.0104028-0.0030624j -0.000159558-0.00177418j -0.00903403-0.00544365j -0.00635349-0.00489873j 0.00916046-0.00442598j -0.00642854+0.000104922j -0.000966785-0.00921539j 0.00247758-0.00588708j 0.0020557+0.00635417j 0.00945975-0.000815632j -0.00662226-0.000523844j -0.00919633+0.00474482j -0.0129851-0.00622901j -0.00448441+0.00160467j 0.0126538+0.00788257j -0.000759727+0.00195491j -0.00208339+0.0131665j -0.00550413+0.00991892j 0.00115431+0.00486257j -0.00400561-0.00198836j 0.00860051-0.0115237j -0.00684233-0.00828036j 0.0181988+0.00685565j -0.00839808-0.0130345j 0.00101876-0.000316338j 0.000354201+0.00311645j 0.00826357+0.0147584j 0.00392625+0.00965523j 0.00537418-0.00472149j 0.00864222+0.00769431j 0.00386636+0.0159539j 0.00282218-0.00201655j 0.0022216+0.00827869j 0.00573075+0.0114575j -0.00451955+0.00455604j -0.0028382+0.00139441j 3.94993e-05+0.00174962j -0.00658738-0.0117972j 0.00727647+0.00709878j -0.00472241-0.00511015j 0.00430525+0.0102602j -0.00253003-0.0076808j 0.00228283-0.00630196j 0.00114641+0.00741775j -0.002855-0.0115373j 0.00132085-0.00214359j 0.00541858-0.0051615j 0.0022642-0.00419272j -0.00182595-0.00511534j -0.00600114+0.00782118j 0.00243791-0.00198156j -0.00133736+0.00148896j -0.00166974-0.00137989j 0.000850445-0.00234236j 
0.00148406+0.000935346j 0.000479845-0.00189564j -0.000305389-0.00343715j 0.0012109+0.00027278j -0.00356806-0.000140292j 0.00263772+0.00105814j -7.29867e-05-0.00157312j -0.00203431-0.00224033j -0.00519346+0.0105276j 0.00466571-0.000607021j -0.000127863+0.00253022j 0.00296873-0.00484874j 0.00712608-0.00417765j -0.00342521-0.00842287j 0.00153096-0.00993514j -0.00277225-0.0105635j 0.000331464+0.00088046j 0.00458078-0.00556498j 0.0012939+0.000263659j -0.000792213+0.00659933j -0.01329+0.0016398j 0.00429975-0.0119671j -7.11407e-05-0.00475006j 0.00402071+0.00724798j -0.00396328-0.0067355j 0.00670529+0.00925631j 0.0165455+0.00116589j -0.00561589-0.00162992j 0.00462371-0.000539724j 0.000312306-0.00765661j 0.00980894-0.00552572j 0.00423069-0.000447786j -0.00467404-0.0069461j 0.00437776+0.00525336j -0.00044842+0.0117025j 0.00284815+0.0029116j 0.00676428-0.0132725j 0.00325497+0.00254879j -0.000720174+0.00479842j -0.00117049+0.00548514j -0.00222113+0.0158228j 0.0107887+0.00294191j 0.00826897-0.00530169j 0.0057322-0.00687313j 0.00741936-0.0051365j 0.00313377-0.0029007j 0.0120844+0.000288627j -0.00517663+0.00179839j -0.000260605+0.0016692j 0.00168232-0.00381936j -0.00511483-0.00148404j 0.000446842+0.00113792j 0.0154804-0.0110954j 0.00656331-0.00321287j -0.007121+0.00407628j -0.00974151-0.00480922j -0.00172163+0.00420454j -0.0122248+0.00376346j -0.000669411-0.000154029j 0.000325145+0.00706421j -0.00705938+0.00576267j -0.0184042-0.000437046j 0.0134706-0.00219708j 0.0015634+0.00425975j 0.0105572+0.00276744j 0.00651484+0.00027325j 0.0046389-0.00318117j 0.00436325-0.00978411j 0.00858956+0.00036012j 0.00253972-0.0010072j 0.000105282-0.0039106j 0.00219872-0.00159458j -0.00164943+0.00312204j 0.00124901-0.00328203j -0.0026071+0.00246329j 0.00264358-0.00223161j 0.00156182+0.00201446j 
8.02118e-06-0.00301157j -0.00241609+9.08982e-05j 0.000952933+0.000246739j 0.000563705+0.00181651j -0.00464711+0.00105123j 0.000547184-0.00420595j -0.00187095-0.00152316j -0.00252673+0.002962j 0.00278715-0.00594869j 0.00481271-0.000476302j 0.00399086-0.00319727j -0.000314603-0.000348268j -0.00228971-0.00312494j -0.00529142-0.00634911j -0.00488252-0.00190183j -0.00587972+0.00998071j 0.00182559-0.00210345j -0.00140135-0.0044565j 0.00168513-0.00705165j -0.00624365+0.000231977j -0.00133553-0.00526989j -1.75191e-05+0.00991627j 0.0110317-0.00554226j -0.00884412+0.0142648j -0.00172352-0.011559j -0.0107085+0.00725653j 0.00118081-0.00534069j -0.00714822-9.23246e-05j 0.00327236+0.000710563j -0.00643694+0.0083783j 0.00260507+0.0107543j -0.0004897+0.00863004j 0.00313563-0.0136396j 0.00106787+0.00576899j 0.00369453-0.00973331j -0.00699457+0.00874752j 0.00527694-0.000932062j -0.00787615-0.00374104j -0.00568622+0.000797584j 0.00116137+0.00409429j 0.00257106+0.00647862j 0.00312863+0.00127452j -0.00422134+0.00209422j 0.00178571+0.000364462j -0.00645528+0.00190945j -0.00641147+0.00788681j -0.00134539-2.88112e-05j -0.00644957-0.00282615j 0.00488151+0.00282644j 0.00551445-0.0159432j 0.00359048+0.010478j -0.00194424+0.00434463j 0.00769904+0.000548318j -0.00529511-0.000819758j -0.00363013+0.00385123j -0.00942541+0.000943221j 0.00276534-0.00981188j -0.00668526+0.00951929j 0.00524627+0.00510723j -0.00880661-0.0032179j 0.00433616-0.00545414j -0.000914547+0.0079295j 0.000229107+0.0104446j -0.00651831+0.00318957j 0.00357285+0.00431409j -0.00159625-0.0030426j -0.000221413+0.0101501j 0.000263921-0.00532762j 0.00481006-0.00463903j 0.000489996-0.00521492j -0.00325235+0.000626044j 0.000417328-0.00278899j -0.00647417+0.00321522j -0.000896097-0.00349771j -0.00238281+0.00192755j -8.88542e-05-0.00100555j 0.00106946+2.39014e-06j 
-8.60536e-05+6.09808e-05j 0.000242032-5.93121e-05j -0.00050984-0.000745694j 0.000857929-0.000700171j -0.00126934+0.00211564j -0.00324874-0.00182025j -0.000930124+0.00626636j -0.00409224+0.000503859j -0.0020292-0.000592867j -0.000438633-0.00173146j -0.00204772-0.00123447j -0.00498805+0.00536642j -0.0018992+0.00382951j 0.00421671+0.00419324j 0.00344862+0.0067694j -0.00591806+0.000979j -0.00287775-0.0116293j -0.00474198+0.00278385j 0.00866991+0.00335025j -0.000628231-0.000725323j -2.48668e-05+0.0120865j 0.000588667-0.00751946j 0.00240619-0.00903986j -0.00170735-0.00205705j -0.00490963+0.00485404j -0.00879667+0.000513864j 0.00376191+0.00813669j 0.00710645+0.00338022j -0.0048214+0.0031183j -0.00239119+0.0117129j 0.0158885-0.00184332j -0.00298213-0.0085154j -0.000873413+0.00217745j -0.0108841-0.0030174j 0.0135055-0.00189728j 0.0107372-0.0103819j 0.00421056-0.00467588j -0.00252824+0.00514338j 0.000596078+0.00378003j 0.00416023-0.00404768j 0.00489368+0.000699754j 0.00580911-0.00314545j 0.000772774-0.00715582j 0.00109843+0.00827266j 0.00117278+0.00739529j -0.000361406+0.000684542j -0.00795868+0.0140669j 0.0125435+0.00985334j -0.001348-0.00232423j 0.00854373+0.00256983j -0.0186096-0.00624305j 0.00142494-0.00308449j -0.0128531-0.00351699j -0.00890075-0.000753037j 0.00755431+0.00257363j -0.00876375-0.0041507j 0.00305871-0.0068863j 0.0062107-0.00336858j 0.00252519-0.00188952j -0.00028973+0.012452j -0.0107596+0.00292764j 0.00227344-0.00366287j -0.00891663+0.00909032j -0.00161978-0.00748982j -0.000914211-0.00190212j 0.00694146+0.00347267j 0.00606688-0.0111813j -0.0100425+0.00071081j 2.79902e-05-0.00786521j -0.00245723-0.00376805j 0.00193543+0.00701991j 0.00437058-0.003816j -0.00456454+0.00075099j 9.13977e-05-0.00113872j -0.00236554+0.000846335j -0.000668893-2.51181e-05j 0.000278412-0.000972385j 
0.0013028+5.01786e-05j 0.000424716-0.00146312j 0.00248513+0.00199036j -0.000971405+0.00152807j 0.00472507+0.000861072j -0.000768444+0.00237357j 0.000489733-0.00254102j -0.00252748+0.00223933j 0.00483423-0.00347007j 0.00725131-0.000158865j 0.00245562-0.00278121j 0.000757-0.00130536j -0.00749449-0.00724397j -0.00218501-0.00258226j -0.00992236+0.0112236j 0.000986665-0.000494425j 0.00314588+0.00557465j 0.00130714+0.000962384j 0.00162061-0.00534012j 0.00499447-0.00465743j 0.0112912+0.000507476j -0.00428253+0.00711107j 0.0114242+0.000331052j -0.0115405+0.00234265j -0.00647555-0.00528093j -0.0152441-0.00159321j -0.00324406-0.0115903j -0.00132308+0.00939822j -0.00264483-0.00598552j -0.00163196+0.00295725j 0.00258179+0.00513794j 0.00157695-0.00537957j 0.000951291+0.00517495j -0.00622089-0.00287735j -0.00775694-0.0060231j -0.00442183-0.00351169j -0.008998+0.0130131j 0.00305343+0.00374742j -0.000256958-0.00188121j 0.00509812+0.010092j 0.0138602-0.00284372j -0.00912957+0.00155275j -0.0145359-0.0115498j 0.00450998+0.00768175j -0.0128509+0.00679964j 0.000795346+0.00449811j 0.00121351-0.0067038j -0.00303771-0.00433887j -0.00541131+0.00187175j -0.00369528+0.00958535j 0.0032033+0.0134004j 0.00275719+0.00491951j -0.0108427-0.000911072j 0.00167722+0.0139785j -0.000895982-0.00319012j 0.00604052+0.00554223j 0.00794291-0.00370211j 0.00463998+0.0127423j 0.00399213+0.00949256j -0.00394159+0.0013344j 0.00822558-0.0135162j 0.0123694-0.00131613j -0.00722292+0.00140395j -0.00331147-0.00193084j -0.0038865-0.00312676j 0.00450072-0.00634776j -0.00741771-0.00113138j 0.00217144+0.00259809j -0.000305851-0.00498787j 0.00250293-0.00305304j -0.00249841+0.000849378j 0.00229566+0.00185832j -0.00449621-0.00395219j 0.000705222+0.0017555j -0.0011196-0.00174658j 0.000821776+0.001274j -0.000584486+0.000582756j 
-0.00050604+0.000410729j 0.000212311+0.0015971j -0.00163937+0.0019721j 0.000328814-0.00132203j 0.00600113+0.00169902j -0.000387068-0.000224419j -0.00153129+0.000648255j 0.00223701-0.000984704j 0.00608145-0.00438282j -0.00471015+0.000775308j -0.00235628-0.000654428j -0.00474154+0.00205558j 0.00018436+0.00635889j -0.000913313+0.0159357j -0.00212764+0.00112251j 0.00393373+0.00557726j -0.00604086+0.00119806j -0.00201108+0.00331743j -0.00222327-0.00455688j 0.0013523-0.00189279j 0.00874629+0.000752093j -0.00310268+0.00543725j -0.0112609+0.00268237j 0.0150327-0.00721894j 0.00197069+0.0099916j 0.00484147-0.0118646j -0.0141992+0.00418143j 0.00759508-0.00248941j -0.000172789+0.00198055j 0.00152111-0.0024691j -0.00548263-0.00142493j -0.0078738+0.00488647j 0.00257096+0.00252864j -0.00143236-0.00546169j 0.000629939-0.0031421j -0.00158199-0.00280121j -0.0114316-0.00344375j 0.00478387+0.00205706j 0.00507307-0.00193706j -0.00359625-0.00633104j -0.00896469-0.00642947j -0.00485271-0.00117236j 0.00263067+0.00478418j -0.00643635-0.00186931j 0.00176276-0.0039496j 0.00418157+0.00557195j -0.00439914-0.0121379j -0.0015577+0.00367438j -0.000208514+0.00184805j -0.00299432+0.0125908j 0.00864631-0.0022449j -0.00354756-0.0079471j -0.0040049+0.00500726j -0.00399218+0.0015586j 0.0119903+0.000566586j 0.00324312+0.00605811j 0.00159924+0.00248141j 0.00465386-0.00942083j -0.00414614-0.00469015j -0.000224834-0.00421521j 0.00442368+0.00617751j 0.00493245+0.00946372j -0.00483982-0.00113912j 0.00428958+0.00393248j -0.0074203-0.00672078j -0.00542831+0.00392882j 0.000774881+0.00286656j -0.010743-0.00192569j -0.00596353+0.000510643j 0.0013668+0.00382828j 0.00277556+0.000986254j -0.00407986-0.00296368j 0.00524342+6.32855e-05j 0.000139847+0.00136816j 0.0050635-0.00104219j -0.00197616+0.00149333j -0.00188779-0.00105878j 
-0.000175092+0.00115153j -0.000119301+0.000741751j -0.00147486-0.0013573j -0.000489568-3.81348e-05j -0.00463891+0.0035324j -0.000412725-9.33789e-05j 0.0038073+0.00039715j -0.00140285-0.00252806j -0.000285987+0.00653528j -0.0128068+0.00703127j 0.00413583-0.00705339j 0.00609643-3.54647e-05j -0.00743025+0.00408169j 0.00572676-0.00302316j 0.000179719-0.00605647j -0.00821521-0.00328794j 0.000728124-0.000929682j -0.017452-0.00820096j -0.00574363+0.00947065j -0.000552035+0.00568729j 0.00513594-0.0062354j 0.00931985-0.00795965j 0.0194263+0.0111524j -0.00543887+0.00799869j 0.00444637+0.00947763j 0.0102484+0.0104243j 0.00306946-0.00471964j -0.0023936+0.00819667j -0.0029927-0.00945076j -0.00351188-0.00207564j 0.00677566-0.00595899j 0.00174657-0.0118194j 0.00714199+0.00812239j 0.0087541+0.00376499j -0.00214144-0.0105595j -0.00814433-0.000447448j 0.0097775+0.00313857j -0.00165582+0.00461178j -0.00442676+0.00281586j -0.00247054-0.00519685j 0.00454385+0.00489977j -0.000164668-0.00328915j -0.00829751+0.0047601j 0.00408699-0.000908387j -0.00263382-0.00662085j -0.0024546-0.000207156j -0.0110017+0.00881642j 0.025051+0.00219026j 0.00278295-0.00608062j 0.00346027-0.00699134j 0.0028708-0.00666427j 0.00753527+0.0128439j -0.00782132+0.00783863j -0.008267-0.00654231j -0.00515638+0.00783774j 0.000312483+0.00235902j -0.00528092+0.0145056j -0.00360629-0.00339371j -0.00258183-0.00221848j -0.00125422+0.00489084j 0.00186544-0.00674218j 0.00930032-0.0106128j 0.00284152-0.00927286j 0.0115756+0.0025623j -0.00604152+0.00547972j -0.00836837-0.00323383j -0.00479215-0.00258968j -0.00915519-0.00246712j 0.000447622+0.00423774j 0.00376987+0.00645513j 0.00586585-0.00338287j 0.000798959-0.00286711j 0.00651547-0.00481343j -0.00113256+0.00156145j 0.00417258+0.00258816j 0.000998131-0.00107454j -4.06525e-05+0.00124545j 
