0.000442275-0.0125284j 0.00687528-0.0222963j -0.0590384-0.020629j -0.0147952-0.0099149j 0.00770378+0.013694j 0.00250303-0.0202111j 0.0437353+0.00787499j -0.00727121+0.000711566j -0.0250183-0.0251306j -0.0313611-0.00522487j -0.000914935+0.0245737j 0.0186039-0.0047702j -0.0471617-0.0159409j -0.0158919+0.00863951j -0.0339832+0.0449491j 0.0239739+0.0196309j 0.035922-0.0295956j 0.00595441+0.0220599j 0.0224508+0.0181002j 0.0196043+0.0189184j -0.00441642-0.00813856j -0.00950636+0.00259024j 0.0101001+0.00424403j 0.0103048+6.47816e-05j -0.0227789-0.002316j -0.0228873+0.00401134j -0.00671186+0.00858312j 0.0232405+0.0481213j -0.00244016-0.0201284j 0.00463319-0.0106946j 0.0164918-0.00363986j 0.00668157-0.0178442j -0.00993651-0.00710621j -0.00280838-0.00765851j -0.00853047+0.00106403j -0.00918353-0.00888268j -0.00491745+0.0144479j -0.00233863+0.00283644j 0.010475-0.00709019j -0.00166692+0.00226804j -0.0013055-0.000905583j 0.000256502-0.00045103j -0.000761283-0.0013652j -0.00522186+0.00102944j 0.00243471+0.00177629j 0.00437052-0.00162853j 0.00142315+0.00297197j 0.00382494+0.00231763j 0.0052307+0.0059444j -0.00422601+0.000583314j -0.000543891+0.00196819j 0.00202598+0.00123652j 0.00417767+0.0022036j -0.000367886+0.000837106j 0.000310577+0.00344689j 0.0014402-0.000602981j -0.0104733-0.00608171j 0.0147668+0.0021566j 0.00116773-0.0060323j -0.0137512-0.00439238j 0.00165337-0.00272306j 0.00173338-0.00225124j -0.00324874-0.00353573j 0.00181089-0.00249236j -0.000106292+0.000168609j 0.000992272-0.000119044j -0.00535428-0.00426051j 0.000943744-0.000591924j 0.00225798-0.00105464j -0.00175915+0.000178112j 0.00169372+0.00247027j 0.0010471+0.00261246j -0.000372963+0.00093723j 0.00204602+0.00114738j -0.00518099+0.000897611j -0.00573905+0.00402542j 0.00350868-0.00419434j -0.00447616+0.00283249j 0.00353605-0.000568154j 0.00137783+0.00594366j -0.00188787+0.000976435j -0.0028106-0.00399811j 0.00189429+0.00814129j 0.00182228+0.00297246j -0.000255405+0.000162769j 0.0112092+0.00836896j 0.00387791+0.000919364j 0.000426626+0.0023323j 0.0231089+0.00582507j -0.00469396-0.00219884j -0.00148358-0.00410193j 0.00179038+0.00686482j 0.00462707+0.000686535j -0.00341043+0.00618998j -0.00867178-0.00260119j 
0.0107584-0.0892287j 0.0375345+0.0703711j -0.0217155+0.00790416j 0.0157816-0.153831j -0.00370259-0.0260437j -0.108858+0.004516j -0.0241935-0.0415385j 0.0257483+0.0200563j 0.0120844-0.0835326j -0.0141016-0.00688936j 0.0226539-0.00028253j -0.0504975-0.0181906j -0.00503314-0.0452736j -0.0585709+0.00185834j 0.0918673+0.0426046j 0.111814+0.0695712j 0.0235032-0.01671j -0.0753584+0.0214478j -0.0209188-0.0717149j 0.0640621+0.00440136j -0.0241433+0.0378246j 0.00992561+0.0232921j -0.0298773-0.00359918j 0.010832-0.00813352j 0.00319037-0.00793871j 0.00331495+0.0156022j 0.00127433-0.0281119j -0.071295-0.081719j 0.0222857+0.0194865j 0.000528645-0.00539544j 0.00489948-0.00529555j 0.0330516+0.022696j -0.00693559-0.00647827j 0.0109613+0.0281024j 0.00426119+0.00890509j -0.0249098+0.00978019j 0.00760075-0.00425577j 0.00857006+0.0034674j 0.0114832+0.0144131j 0.00140513-0.00104121j 0.0129675-0.00407807j 0.00138537+0.00682675j -0.00384928-0.00440441j 0.00580306+0.000911477j 0.00506392-0.00769686j 0.00498716-0.00331062j 0.00744027+0.00869904j 0.0092236-0.0051612j -0.0121314+0.00417025j -0.0115343-0.0028839j 0.00169887+0.00410325j 0.00463547+0.00660511j -0.00263456-0.0019544j -0.00242015+0.00376762j -0.00040467-0.00182319j 0.00660343+0.00619883j -0.00946208-0.00590307j -0.00527147-0.0021882j 0.00848161+0.0120361j 0.000453336+0.0051824j 0.00286781-0.00129529j 0.0160558-0.00280123j 0.0109057-0.00271098j 4.87051e-05+0.0036338j -0.00215453-0.00219262j -0.00371083-0.0029778j 0.00594228-0.00156086j -0.00553019-8.19844e-05j 0.00798226+0.00183755j -0.000623792+0.00173669j -0.00672773+0.00036472j 0.00558081-0.00106929j 0.00046765-0.00181084j 0.00431662-0.00105046j 0.00626224+0.00187237j -0.00815586+0.00286522j -0.00124958+0.00601829j 0.0138126+0.00370001j 0.0025751-0.0080117j 0.00349016+0.00403995j -0.00870716+0.00573458j 0.0108736-0.00214454j -0.00853926+0.00183535j -0.00694015-0.00196884j -0.00178434+0.0015692j 0.00257972-0.000456166j -0.0047654-0.00111493j -0.0126771-0.000302697j 0.00898795+0.0100167j -0.000439689+0.00291629j 0.00347211-0.00309617j -0.00530917+0.0011102j 8.74712e-05-0.0127695j -0.0193424-0.00999501j -0.00720269+0.00517559j 
0.0103163-0.0387835j 0.0947491-0.0606766j -0.104513+0.024514j 0.0103003-0.007931j 0.00618342+0.0768245j -0.0640937-0.0385602j -0.0263961-0.0345709j -0.0399698+0.0930807j 0.0795591+0.00822709j 0.0187669-0.0732427j -0.0382885+0.0889935j 0.00964753+0.0659621j -0.0471391-0.0802096j 0.0777428+0.0349528j -0.00639189+0.1043j 0.0216626-0.148804j -0.0374607+0.0330354j 0.0750863-0.025967j -0.0133834+0.117591j 0.0512486+0.00012897j 0.0157817-0.000692557j -0.00953378+0.00773903j 0.0104958-0.00728703j -0.000290649+0.00143092j -0.0411951-0.0130507j -0.03614+0.000184153j -0.0348422-0.017857j 0.0018543-0.0248611j 0.0228923+0.0177292j -0.00708214+0.00204655j 0.0253272-0.0164523j 0.0149549-0.00510482j -0.00396197+0.0122642j 0.00702838-0.0104215j -0.0088243+0.000777415j 0.0131517+0.0138669j -0.0221069+0.00814255j 0.00673174+0.0103024j 0.0134746-0.00580559j -0.0048473+0.00270911j -0.00968871-0.0039367j -0.00711861-0.000663706j -0.00870835-0.0132434j -0.00863045-0.000321278j -0.00887074+0.00187021j -0.00915324-0.00159648j 0.00182201+0.00259434j -0.0167355-0.00295377j -0.00402042-0.00122618j -0.00313853-0.0179043j -0.00959715-0.0047951j -0.00407114-0.011629j -0.0111644-0.00461661j 0.00522613-0.00133446j -0.000390573-0.00113024j 0.00650794-0.00119984j 0.00630447+0.0194762j -0.0232197-0.0140534j 0.0187615+0.000646084j -0.0126616-0.0010437j 0.00160428-0.000966429j 0.00182705-0.00702048j -0.00542708-0.0101529j -0.000969066-0.000788185j 0.000324459-0.00139208j -0.00328817-0.00684877j 0.00075037+0.000958529j -0.00561629-0.00304126j -0.00107536-0.00578446j 0.00332579-0.000495301j -0.000868602+0.0103771j -0.00793411+0.00579206j -0.00322042-0.00303726j -0.00321367-0.00153809j 0.000801128+0.00163088j 0.00448776-0.00106686j -0.00610701-0.00207893j 2.76414e-05+0.00404843j 0.00215742-0.00205825j -0.00264913+0.000952875j -0.00412474-0.0028263j -0.0142997+0.0229564j -0.0169027-0.00416189j -0.00290816-0.00101648j 0.00528004-0.00828959j 0.00856051+0.00723049j -0.00413135-0.00424477j -0.00384714+0.00674163j 0.0072366+0.00184901j 0.00284813+0.0021998j 0.00086794-0.00586984j -0.00180342+0.00644463j -0.0120694-0.00661318j -0.00562777+0.00411228j 0.00635082+0.000189849j 
0.00839822+0.124875j 0.017998-0.0117274j 0.0014544-0.0287994j 0.017257+0.104617j -0.000616182-0.098641j -0.0915922-0.0203253j -8.60566e-05+0.1567j 0.0486752-0.0269205j 0.0355132-0.0213333j -0.083338+0.0394888j -0.022635+0.0268499j 0.0435803-0.0375947j 0.00566532-0.0218419j -0.112847+0.0611118j 0.000933272+0.0345345j -0.179644-0.100955j -0.0621394+0.028476j -0.0532875-0.0833484j 0.0924134-0.0715037j -0.0594495-0.0432873j 0.0190472-0.0256668j 0.0247398-0.000838684j 0.0166595+0.0138549j 0.0200979+0.00554667j -0.0420401-0.00642497j -0.021061-0.014962j -0.0597107+0.0166263j -0.12549+0.0788059j 0.0236085-0.0354743j 0.0124727-0.00722524j 0.00882854+0.0110886j 0.0310322-0.0350029j 0.0181198-0.0215186j -0.029687-0.0178602j -0.017925-0.017999j 0.0101604-0.0162362j -0.00256482+0.00824667j -0.00774728-0.0155565j 0.0269707-0.00343978j 0.00527226+0.00417566j -0.0127585-0.00174914j 0.00207485-0.00124864j 0.00218483+0.0200362j -0.00671768+0.000988843j 0.0126311+0.00242738j 0.00878511-0.000226948j -0.00524948+0.00225844j 0.00946249+0.00450561j -0.000667123+0.00846952j -0.00634067+0.0137493j -0.00112182+0.00113689j -0.00639353-0.00441562j 0.00364368-0.00393223j -0.00498248+0.006313j -0.00421506-0.00445862j -0.00445918-0.00658707j 0.00811644+0.00859321j -6.79797e-05+0.0113965j -0.000943493-0.0127489j -0.00918159-0.00897735j -0.00201624-0.00233339j 0.00104535+0.00700549j 0.00262108+0.00778553j 0.00200658-0.00171276j -0.000922736+0.00593501j 0.0068777+0.00229396j -0.00199668-0.00391223j 0.00533762+0.000789383j 0.00444655+0.00352303j 0.00440019+0.0040694j -0.00354015+0.0043069j -0.00221157+0.00308899j 0.00603779-0.00281138j 0.00660788+0.000183186j 0.0110863+0.00455606j 0.00398543+0.0102846j 0.00632452-0.00870063j 0.00679674+0.00425075j -0.00592661-0.00258235j -0.00149375+0.00512934j -0.00965021+0.00515843j 0.0199519+0.00287851j -0.0118867+0.017589j -0.00371057+0.00768333j -0.00531859+0.000851143j 0.0063791+0.015482j 0.00223273+0.000873691j 0.0140628-0.00784805j 0.0176304+0.0215569j 0.000653354-0.00358391j -0.0034491-0.00641874j 0.00242865+0.00626762j 0.00115113+0.0141386j 0.00532673+0.00673205j -0.00618611-0.0170052j 
-0.0575249-0.0284368j 0.0231656-0.11124j 0.0207889+0.122377j -0.0802395+0.113102j 0.0333979+0.0319866j 0.0674955+0.00343j -0.0271393+0.0319417j 0.0321684-0.0302056j 0.0255756+0.078953j 0.0642316+0.039037j 0.0768749+0.0488828j -0.0520381-0.00570217j 0.00925718-0.0168761j -0.107516+0.046972j -0.0709216-0.0093839j 0.128329-0.103055j 0.0146112-0.0111666j 0.0247035-0.00148828j -0.019284+0.0359902j 0.02969+0.00362689j 0.00953602+0.0209859j -0.00926684+0.0083272j -0.0312651+0.00231166j -0.00984404-0.000505528j 0.0203077-0.00643981j -0.00279259+0.00104114j 7.40891e-05+0.00084091j -0.107275+0.095782j 0.0156201-0.0162745j 0.021975-0.0132042j -0.00868838-0.00172292j 0.0140968-0.0175182j 0.017783+0.00385258j 0.0140997-0.0216291j 0.00444102-0.00696788j 0.0193068+0.00655718j 0.00616001+0.00688517j 0.0124764+0.00280522j -0.0138417-0.015925j -0.00130421-0.00217335j -0.000379022-0.00520916j 0.00125459-0.00705479j -0.00179155-0.00937401j -0.00275955-0.0121344j 0.0018297+0.0047412j 0.00577043-0.00926138j -0.00960324-0.00966276j 0.0145651-0.019388j -0.0134039+0.0045058j -0.0036237+0.0100814j -0.00233446-0.00829044j -0.00656864+0.000797171j -0.00782691-6.55089e-05j 0.00131983-9.14414e-05j -0.0113281+0.00544086j -0.00422122+0.00270689j 0.000104278+0.0113093j -0.00044006+0.00729616j 0.000236341-0.00976145j 0.0159744-0.00697035j 0.00331339-0.00431313j -0.0017288-0.00156288j 0.000460462-0.00225858j -0.0015506-0.00340302j 0.00391207+0.00541214j -0.00141878+0.000999256j 0.0109934-0.00201982j -0.00714957-0.00749106j 0.0130566-0.00315772j -0.000136593+0.00877183j 0.00111017+0.00219584j 0.00860863+0.00610435j -0.000927139+0.0110328j 0.00243722+0.00597326j -0.000243408-0.00839046j -0.0120632+0.00707108j 0.00287291+0.0052464j 0.0153497-0.007355j -0.000382476+0.00108528j 0.0064382+0.00449858j 0.00279127-0.00357108j 0.0276976+0.000188312j 0.000843741+0.0011248j -0.00353115-4.7569e-05j -0.000346107+0.00159283j -0.00420076-0.00260949j -0.00876553-0.00225371j -0.00462882+0.010477j -0.0114992-0.0051302j 0.00126729+0.00424094j -5.1316e-05-0.000681518j 0.00175911+0.000280408j -0.00974467+0.00206031j -0.000433008+0.0110395j 0.00591147+0.00164116j 
0.0577089-0.0161451j -0.0794833+0.0443048j 0.0519732-0.0464336j 0.10841-0.0494045j 0.0283905+0.00440367j 0.0598542+0.00437857j -0.035685+0.118555j -0.0353463+0.0708168j 0.00368197-0.00334508j -0.0271264+0.0501778j -0.0482878+0.106169j 0.0635564-0.0447918j 0.073448+0.0241908j 0.0411948+0.0457358j -0.0458363-0.0404373j 0.0214335+0.154591j 0.0952688-0.0609978j -0.00938495+0.0492701j -0.0229779-0.0330721j 0.0199514+0.0324849j -0.0316347-0.00539794j -0.0360608+0.0091179j 0.0104641+0.0185825j -0.00392325+0.0090241j 0.0199785-0.0187128j 0.0261352-0.0222841j 0.0524782-0.0266012j 0.141636+0.092249j -0.0248735-0.00845231j 0.00142045+0.00823332j -0.0165223+0.0255403j -0.0415454-0.00607289j -0.027489+0.00164042j 0.0270093-0.00883741j -0.000360667-0.0121554j -0.0322171+0.00982151j 0.00318115+0.00822341j -0.00943625+0.00446582j 0.00719401+0.00925345j -0.0042177+0.000686718j 0.0124015-0.0129758j 0.00859196+0.000271592j -0.00447746+0.00136726j 0.00013786-0.000324344j 0.0103774+0.00346208j -0.00647705+0.000488211j 0.010953-0.00563196j -0.00518635+0.0104766j 0.00217764-0.00416185j 0.00199971+0.00155657j -0.00212659-0.00410944j 0.00392837+0.00801523j 0.00422447+0.00280686j 0.0154026-0.00901291j -0.000110724-0.00261268j 0.000241513-0.000267768j -0.00487906-0.00164635j 0.0047664-0.00729711j -0.000546743+0.00915147j 0.00429806-0.00392647j 0.00950867-0.00286908j -0.000656473+0.0131035j 0.00402616+0.0137044j 0.00176009+0.00216349j -0.00036009+0.00223989j -0.00380223-0.00628973j -0.00044919+0.0104007j -0.000786518+0.00120045j -0.00113108-0.00209529j -0.00774059-0.00284135j -0.00207657+0.00348625j 0.00492+0.00125079j 0.000524347-1.12451e-05j 0.00272264+0.000141073j 0.00100402+0.000333525j -0.000998146-0.00820879j 0.00824982-0.00350734j 0.0114608+0.00123711j -0.000840595+0.00134754j -0.0195341-0.00301642j 0.00392598-0.000739529j -0.0140656+0.0106137j 0.0141873-0.011342j 0.00746729+0.000623231j 0.00793569+0.000172666j -0.00282533+0.00326899j 0.0139156-0.00685304j -0.0043195-0.00819628j 0.000130331-0.0071505j 0.000114085+0.00133544j -0.00138677+0.00297219j 0.00171292-0.00429632j 0.00752881-0.00909955j -0.0102066-0.00223609j -0.003666+0.0101244j 
0.0767331-0.0839589j -0.0824485+0.0999298j 0.000215711-0.0445813j 0.133043-0.111455j 0.0257108+0.00183812j -0.0818712+0.0349556j -0.00915641+0.00721833j -0.0294961-0.0369644j 0.0866745+0.0574352j -0.0769749+0.0837194j -0.0187542-0.0747574j -0.0152325+0.0204634j 0.059811-0.0757493j 0.0284795+0.0420289j -0.0479873-0.0474036j 0.0693675-0.122835j -0.153817+0.0156011j 0.0901086+0.0577408j 0.0431539-0.00978802j 0.0794869-0.0454488j -0.0222186+0.028341j -0.0139061+0.0283024j -0.000876634-0.000255767j 0.00935796-0.0153745j 0.0100688+0.0087527j 0.00622405-0.0125237j 0.0287856+0.000302329j 0.0522955-0.114845j 0.0119189+0.022968j -0.0193107+0.0247972j -0.0195305-0.00911434j -0.0286037+0.0233888j -0.0129725+0.0253875j 0.00974604-0.0129825j 0.00392907-0.000394697j 0.000985743+0.0178247j 0.00621215-0.00874792j -0.00560646+0.0200344j -0.00785546+0.00254546j 0.00180112-0.00505928j 0.00214048-0.0136189j 0.00359877-0.00269539j -0.00341057+0.00494147j -0.00228802-0.0120689j 0.00326309-0.00591405j -0.0069353-0.00264656j 0.000154505-0.0181203j -0.0031186-0.00465951j -0.00571082-0.00445097j -0.00774547-0.00138117j 0.000535665+0.000572139j -0.00706266-0.00288202j -0.000833215+0.000589212j 0.00226405-0.00405126j 0.0019791-0.00234802j -0.000368526-0.000570143j -0.00181062+0.00412661j 0.00111434+0.00487222j -0.00728359-0.00255196j -0.00146602+0.00707727j 0.00615126-0.00516886j -0.00585047-0.000527926j -0.00208377+0.0108221j -0.00213779-0.000942085j 0.00625226+0.0031363j -0.00204848+0.00233271j -0.00514271+0.00653643j -0.00858491+0.00227418j -0.00220406+0.00364407j -0.000788529+0.0013456j 7.48402e-05-0.000141032j 0.00136461-0.00137082j -0.00686929-0.00491735j -0.00238541-0.00612892j 0.000649351+0.00688998j 0.00149805-0.00423528j -0.00724881+0.000650716j -0.000921343-0.0109994j 0.00430545-0.00290896j 0.0048608-0.00176384j -0.000383938-0.00259626j -0.00239711+0.00618703j -0.00422859-0.00912177j -0.0007756-0.00396438j 0.00486108+0.00489637j -0.00454211+0.00223316j 0.00616207-0.00353119j 0.00613976+0.000424409j -0.0139549+0.00139073j 0.00754465-0.00713258j -0.00500079+0.0034195j 0.00335075-0.00189433j -0.00610956-0.00124176j 0.00010805+0.00557748j 0.00714685+0.00514889j 
-0.00398605-0.0745199j 0.078711+0.0284722j -0.0220727+0.0517317j -0.0515096-0.0660967j -0.0736351-0.015614j -0.00256436-0.0783408j 0.0338717+0.0319632j 0.0222525+0.11414j -0.0371794+0.00537746j -0.0102028+0.116855j 0.00102871-0.155765j 0.0163586+0.0217859j 0.0260199-0.0505423j 0.114493+0.0456255j 0.115306-0.0587957j 0.0231931+0.103435j 0.145271-0.108443j -0.119256+0.0262184j -0.0936638-0.0379248j -0.0212991+0.00303801j -0.0282124+0.00578425j -0.00622114+0.0138682j -0.000691328+0.0178116j 0.00614567-0.0087071j 0.0164148-0.0276064j -0.00394835+0.0077523j 0.00409894-0.014636j -0.057099+0.0131448j 0.0313865+0.0170098j 0.00662987+0.00932458j 0.015296+0.0222911j 0.00366675+0.0311052j -0.00335338+0.000257577j 0.00920472-0.0107215j 0.000342375-0.0084513j -0.00460946+0.00414678j -0.00124756-0.0104218j -0.00821218-0.00776001j 0.00857921-0.00324202j -0.00366253+0.00942868j 0.00369004-0.0063913j 0.00725037+0.00137018j 0.0108217+0.00795664j -0.00457357-0.00255934j -0.0104558+0.00979195j 0.0087495+0.00615615j 0.000832568+0.00209467j 0.000314889-0.00487832j 0.0154819+0.00472633j -0.0122298+0.00501382j 0.0203005+0.00472204j 0.0120917-0.00960091j 0.0131231-0.00638964j -0.0109169-0.00485503j 0.00892955-0.00115591j -0.002299+0.000100397j -0.0231668+0.0112941j 0.00228932-0.00724451j 0.000775976+0.00286681j 0.00309646-0.00831423j 0.000796975-0.00456409j 0.0112085+0.00584214j 0.0146147-0.00274159j 0.0013942+0.000675247j -0.00142757+0.00144798j 0.000312265-0.00280761j 0.00564999-0.00144634j 0.00699132-0.00112303j 0.00279435-0.0078367j -0.00113394+0.0070446j 0.00364906+0.00211689j 0.00358518-0.00595512j -0.00557481-0.000755181j -0.00336738-0.00620327j -0.0102149-0.000612369j -0.0161173+0.00532724j -0.00519359-0.00899582j 0.00476208-0.00127924j 0.00559372+0.000160321j 0.00538647+0.00801911j -0.00610453+0.00476478j -0.00847912+0.00230796j 0.00761943-0.00610721j 0.00483294-0.00417264j 0.00134025-0.00596805j 0.0116647+0.000780357j 0.00269372-0.00516856j -0.0225005+0.00717471j 0.0103409+0.00475992j -0.00453659-0.00141034j 0.002888-0.000217142j -0.00406243-0.00012317j 0.00807551-0.00206286j -0.0132208+0.0080012j -0.00853979-0.000383258j 
0.0141079+0.0119214j -0.0755676-0.0198825j 0.11641-0.0461999j 0.100116-0.0220791j -0.00966908-0.0131708j -0.0407874+0.121345j 0.00845937+0.134895j -0.00332874-0.0511945j 0.120541-0.0508368j -0.0429603-0.0418479j 0.123631+0.0118851j -0.0856721+0.0610726j 0.113541+0.00500958j -0.058915+0.0989073j 0.0174775-0.142217j -0.0730562-0.0637859j -0.153737-0.0113161j 0.00575238+0.0919752j 0.0231881+0.0218661j -0.00522769-0.0417885j -0.00719386+6.96185e-05j -0.000375415+0.00205483j 0.0226012+0.0313241j -0.000452617-0.0144906j 0.00212164-0.00982457j 0.010382+0.0184984j 0.00572623+0.00264505j 0.112348+0.0720668j -0.0353289-0.022661j -0.00289313-0.0150432j -0.019481-0.00324909j -0.0210839-0.011805j -0.0101499+0.00358104j -0.0147652-0.00688611j -0.0036207-0.00107385j 0.00314896-0.00238849j -0.00488961+0.00666106j 0.00027813+0.00830743j -0.00575231+0.00365372j 0.00278372-0.00349519j -0.00534021-0.00729757j 0.00505609+0.00276445j 0.00472759+0.0150484j -0.0072115-0.0163443j 0.00368617+0.0103152j -0.00420567+0.00470402j -0.0127227-0.00731286j -0.00910163+0.00566627j -0.00872243+0.000323953j -0.0192195+0.00945385j 0.00605322-0.000491192j -0.0111335-0.0102904j 0.00124673+0.000443529j -0.00545758+0.00589738j 0.00368457-0.00456357j -0.00403031-0.00421671j 0.0147063-0.00432026j 0.000176065-0.00526744j -0.0132802+0.000450289j 0.00352892+0.0100167j -0.00631452-0.0029274j -0.00136885-0.00483279j 0.00708811+0.00161272j -0.00419188+0.00284205j -0.00495376-0.000445926j -0.000339819+0.00433988j 0.00547167+0.00131071j 0.00737681+0.0164947j -0.00814469-0.00390017j -0.00600016-0.00568288j 0.00343812+0.00685945j -0.000465625-0.00329096j 0.00321523-0.00884622j 0.00333781-0.00636135j -0.00522815+0.0044292j -0.00799925+0.00359104j -0.00162451+0.00772922j -0.00832429-0.015391j 0.00648606-0.000753286j 0.00448632-0.0109047j -0.0090413+0.00393309j -0.00866455-0.0221886j -0.00764539+0.00676162j -0.00205682+0.00475678j 0.0026981+0.00704237j 0.00257578+0.0041666j 0.00262856+0.00898048j 0.000989521+0.00194566j -0.00275161+0.00819232j 0.00321806+0.0125597j -0.000913291-0.00837816j 0.0027971-0.000995562j -0.000106091+0.00817455j 0.00334818+0.00753458j 0.00185438-0.000382595j 
0.0745969+0.0910094j 0.00947103-0.0121938j -0.0881316+0.00746442j 0.0734029+0.099179j 0.0320842-0.0356861j 0.0634697-0.0492733j 0.0881882-0.0176149j 0.0421682-0.0224305j 0.0705008+0.059891j 0.0161715+0.00303354j 0.0528698-0.193885j 0.0499686-0.00342737j 0.0997373-0.036169j 0.092829-0.0463196j -0.10959-0.120831j 0.0122428+0.00775199j -0.002436-0.108466j 0.0716306+0.0378474j 0.0231227-0.024246j 0.0150941+0.00465014j -0.00915277-0.0143708j -0.0155601+0.00215738j 0.027071-0.0296077j -0.0173665-0.00550414j -0.0124048+0.0182329j -0.0234205-0.0202165j 0.00794601-0.0201508j 0.0076145-0.201854j -0.00508647+0.00987902j 0.0274025+0.00272362j -0.0139375-0.0257893j 0.021663+0.0674444j 0.00492863+0.0310723j 0.000574316-0.0146872j 0.00398308+0.0297473j 0.00739459+0.0220654j -0.00271346-0.00482119j -0.00907129+0.000957024j 0.00153239-0.0037155j -0.00878494-0.00655822j -0.00161192-0.0042214j 0.00972416-0.000450929j 0.00672385+0.00114672j -0.0129768-0.0049925j 0.0126587+0.0013386j 0.00798672+0.00482674j -1.35992e-05-0.0109475j 0.00102604-0.00663415j 0.0186709+0.00255244j -0.00532615+0.00797856j 0.00633272+0.00527494j -0.00802028-0.0165068j 0.00695732-0.00112826j 0.00654215-0.00244913j -0.000598903-0.00123204j -0.00984563+0.000706893j -0.0104578+0.013992j 0.00146378-0.00375515j -0.00483826+0.00133125j 0.00338021+0.0085192j 0.00261532-0.00410518j -0.00507484+5.37384e-05j -5.26703e-05-0.00130715j 0.00488463-0.000346896j -0.00188046+3.52986e-06j 0.00257399+0.00412244j -0.00461168-0.0037263j 0.0101885+0.00286005j 0.000867538-0.00211444j -0.0064402+0.00232393j -0.00847572-0.000499521j -0.00186818-0.00444064j 0.00510156-0.00586141j 0.00675498+0.000544894j 0.00787475-0.00670585j -0.000248719-0.00426937j -0.00314698-0.000520651j 0.00244549+0.00218012j -0.00288346+0.00169137j -0.0190642-0.000482778j -0.00563262+0.00638609j -0.00645252+0.00276806j -0.0158375+0.00278633j -0.003631+0.000155766j 0.00714132+0.00234628j -0.0053215-0.00306461j 0.00322499-0.00176848j -0.000702535+0.00714914j 0.000335424+0.00170908j 0.00603407+0.00129069j -0.0043585+0.000659911j -0.000456646-0.00399608j -0.00289283+0.000362882j 0.0018466+0.00599177j 0.000875172+0.00370401j 
0.0389635+0.00583365j -0.00312824-0.0552454j -0.0752959+0.0238384j 0.0155206+0.108757j -0.0165308+0.0584462j -0.0434475-0.00706352j 0.00391164+0.0398496j -0.0397506-0.0626588j 0.00645981+0.0685262j -0.0710704+0.0208596j 0.0146699-0.0725578j -0.0418703-0.000862271j 0.00645245+0.0496347j -0.1056-0.174393j 0.0297159-0.141772j -0.067152+0.0586513j -0.0179195-0.0309363j -0.0363124+0.0163174j 0.0602859+0.0509379j 0.048968+0.022485j -0.0414924+0.0361905j 0.0141061-0.00893933j -0.0295053+0.00625004j 0.00439049+0.0131906j 0.0339623-0.0465413j 0.0535242-0.0441723j 0.0319476-0.0636671j -0.0540123-0.125612j -0.00172546+0.0166989j -0.0205797+0.0144804j -0.0574711+0.0227855j 0.0164106+0.0175638j 0.00444252+0.00490415j 0.0199659-0.030121j 0.0319892-0.0327946j -0.0104568-0.00251489j -5.58865e-05-0.0057999j 0.0084672+0.00241107j -0.0130639+0.024331j -0.00525001-0.00409698j 0.0154612-0.0065205j 0.0045468+0.00149121j -0.00670518+0.006418j 0.00885545-0.00148993j -0.00427545-0.013876j -0.00623741-0.000613143j -0.00688756-0.00795541j -0.0235407-0.0127582j -0.00309681+0.00671088j -0.00429897+0.0026933j 0.00331545+0.00271943j -0.00198497-0.00749213j 0.00629941+0.00257413j 0.00648726+0.00150766j 0.00254178-0.00307676j 0.00464796-0.00635958j 0.00688518-0.0132792j -0.00147662+0.012803j 0.00494649+0.00120826j 0.006307-0.0230214j -0.00109566+0.0046604j 0.00237992-0.000825588j 0.00532628-0.00115687j 0.00190523+0.000699958j -0.000968281+0.00259057j 0.000795265+0.00735066j -0.00678135+0.000409053j 0.00288653+0.00300318j -0.00843993-0.00715551j 0.00210431+0.00525063j -0.00818719+0.00236188j -0.0176567-0.0139238j -0.00641465+0.00195065j -0.00480223-0.00580859j -0.00491102+0.00314282j -0.0111419+0.0112901j 0.0144407-0.0112132j -0.0101097+0.0098102j -0.00100074-0.000683083j -0.00555661+0.00112655j 0.00386472-0.00528646j 0.0190927+0.0099683j 0.0116715-0.00419525j -0.00318573-0.000265195j -0.0105722-0.00132126j -0.0119127+0.00764749j 0.00208243-0.00409661j 0.00810347-0.00545095j -0.0184107-0.0126726j 0.00683734+0.000356926j 0.00176314-0.00148128j -0.00370977+0.00371221j 0.000851038-0.00281264j -0.00438072-0.0029177j 0.00858501-0.00342136j 
