0.00108-0.000794548j 0.0143885+0.00844176j -0.000503721-0.000171603j -0.0587811-0.00297574j -0.00303726+8.14322e-05j 0.0220139-0.0100759j -0.00169935-0.00265791j 0.000529098+0.00197359j -0.00666085+0.00182882j 0.00214196-0.00573301j 0.00568641-0.0267665j 0.00561723-0.0327073j -0.000120363-0.000614127j -0.00317554-0.0245043j -0.00567094-0.0328071j -0.001697-0.00531302j 0.00423087+0.00196025j -2.43847e-05-0.00133462j 
-0.012809-1.76734e-05j 0.0184538-0.00546064j 0.0125436-0.0126926j 0.00163409-0.0112388j 0.0248887+0.0311911j -0.00613794-0.0157677j -0.0414362+0.000335285j -0.000800785-0.000255725j 0.0132982+0.00558144j -0.0119867-0.00928034j -0.0109588+0.00418783j 0.00942587-0.000198053j 0.00224041+0.00316928j 0.0284371+0.00358389j -0.0130069-0.00355123j -0.0147748+0.00578059j 0.0290294-0.0101254j 0.0207114-0.0152515j 
0.00824013-0.0189176j 0.0133082+0.044188j 0.0263896+0.0537479j 0.0025003+0.0174034j 0.00151031-0.0143678j -0.00802305+0.0151935j 0.0070154-0.00751665j -0.00498856+0.00852605j -0.00664691-0.0125549j 0.017857+0.00888706j 0.0182077-0.00148926j -0.00949408-0.00209483j 0.00109985-0.00101015j 0.00779829-0.00155671j -0.0135511+0.00174862j -0.0117179+0.00325007j -0.00270591-0.00402606j -0.009057+0.00576223j 
-0.00399061+0.0188369j 0.00639203-0.013887j 0.020851-0.0266414j -0.0112341-0.00520351j 0.0132559+0.00828694j -0.0289517+0.00196451j 0.0224313-0.00465099j -0.00316619-0.0129756j -0.00143331+0.00186809j 0.0337457+0.00280172j 0.0388807+0.00455457j -0.0161031-0.00267954j -0.000618781-0.00293681j 0.0159709-0.00398385j -0.0288928+0.00599817j -0.0254975+0.00271367j -0.00373673+0.000523121j -0.01613+0.010815j 
-0.0120748-0.0162482j 0.0218121-0.0151791j 0.0324062-0.0131436j 0.0136128-0.00978805j -0.0183938+0.00616115j 0.0150763-0.0119896j -0.00927467+0.0112564j 0.0246933+0.0169961j -0.0375745-0.00273903j -8.39531e-05-0.00228113j 0.0256787-0.00221651j -0.0303203+0.00444796j 0.0120072-0.000997208j 0.00400911-0.000531809j -0.00401007+0.00298744j 0.0231522-0.011633j -0.00800837+0.0063022j 0.015693-0.00767009j 
-0.00531065-0.0159713j -0.00965424-0.018913j 0.00377777-0.0015677j -0.00788281-0.0158476j -0.00598592+0.00453249j -0.0123129-0.025524j 0.0393334+0.0636572j -0.00118405-0.00246615j 0.00608859-0.00691087j 0.00346803+0.0111006j -0.00321186-0.0113127j 0.00377187-0.00563902j -0.00465873-0.0123347j 0.0047057+0.000284191j -0.00335515+0.0174435j -0.0131363-0.0250689j 0.00823438+0.0162839j 0.0457904+0.0151817j 
0.0216291+0.0278238j 0.0312347+0.0291499j 0.000813363+0.00264947j 0.0237294+0.0181631j -0.00910442+0.0165663j 0.0396473+0.0301648j -0.0469913+0.0416114j -0.0037324+0.00822546j -0.00317468+0.0123062j -0.0111538-0.0120108j -0.000720741-0.000546091j 0.00173006+0.0144387j 0.0116009+0.0106904j 0.00577485-0.00833346j -0.00279553+0.00220629j -0.00938012-0.0324818j 0.025665+0.018321j 0.00225489+0.00607434j 
-0.000827951+0.0166399j -0.0102248+0.0220984j -0.00998168-0.00323292j -0.0146661+0.0168797j 0.0206942+0.0170912j -0.0244862+0.0285435j 0.112512-0.0366904j 0.0046652-0.00151137j 0.00191799-0.000848731j 0.00538022-0.0059217j -0.00571832+0.000435177j 0.000606053+0.00346082j -0.00535808+0.00659566j -0.00683794-0.00370941j 0.0147107+0.0013389j -0.0302435-0.004513j 0.024883-0.000193149j -0.00147273-0.0228537j 
0.00316038+0.000734342j 0.00423109-0.000291874j 0.00274308+0.00214924j 0.0035135-0.000793346j -0.00231254-0.00167619j 0.00527246-0.00240617j -0.00916681-0.00179581j -0.00171353+0.00323821j -0.00326588+0.00556892j -0.00234355-0.00666195j 0.00056912+0.0103863j -0.00310849+0.00049402j 6.74356e-05+0.0065736j -0.00123027-0.0021091j 0.00450547-0.00840903j -0.00159689+0.0168017j 0.000514926-0.0108358j -0.0141389-0.023692j 
0.00395761-0.00189559j 0.00394541-0.00175087j 0.0255353+0.0388294j 0.0038605+0.000831553j -0.0238096-0.0331128j 0.00511051-0.00026122j 0.00179481+0.008134j -0.0010654+0.000645676j -0.000950585-0.00052997j -0.017251-0.0257253j 0.0275269+0.0359995j -0.0180588-0.0238677j 0.00273938+0.000675979j -0.0322117-0.0278171j 0.0269535+0.0236395j -0.0295086-0.0226929j 0.00205575+0.000861932j 0.00228451+0.00249698j 
0.0426764+0.0019332j 0.0598794-0.0135139j 0.00287135-0.00986453j 0.0401753-0.0246698j 0.0296175+0.00139585j 0.06281-0.0561827j 0.0272448+0.0498213j -0.00691955+0.015399j -0.00123633+0.0146666j -0.0128834+0.00371199j -0.00188608-0.000412146j 0.00318268-0.00421639j -0.00144404-0.0202561j -0.000228472+0.00733774j 0.00227779-0.00121602j -0.0101364+0.0129914j -0.000803958-0.0116202j -0.0113801-0.00262065j 
0.0238269+0.0338215j 0.0210118+0.0380142j -0.0160692-0.0145538j -0.00793689+0.0101902j -0.0309631-0.00552337j -0.0433403+0.00321782j 0.00249806+0.00646342j 0.00111143+0.00752237j -0.00174252+0.00803683j -0.00375837-0.00658035j -0.00564947+0.00169435j -0.0175309-0.0113867j -0.0334967-0.019175j 0.0162651+0.00472084j 0.0141723+0.00728605j 0.00123636-0.00468204j 0.00139924+0.00460687j 0.00227724-0.00505914j 
-0.0139258+0.00104815j -0.0194513+0.00227862j -0.00211418-0.00484614j -0.0123738-0.000427779j -0.00513496+0.0400035j -0.0164061+0.00422899j 0.034515+0.111975j 0.00275537-0.00270674j 0.00240295+0.00185733j 0.00853892+0.00108121j 0.00277094+0.00913883j 0.00264703+0.00278315j 0.00245627+0.00687452j -0.00340698-0.00334585j -0.00783821-0.012249j 0.0225597+0.014159j -0.0189099-0.00871296j -0.0306123-0.0228603j 
-0.00135186+0.00172597j -0.00303251+0.00116694j 0.0262817-0.02099j -0.000135975-0.000258069j -0.0216687+0.0209447j -0.000698681-0.000526662j 0.00322055+0.000122354j 0.00194851-0.00316956j 0.00248384-0.0068056j -0.00740271+0.00852554j 0.0101557-0.00643766j -0.00449848-0.00625806j -0.000684352-0.0140187j -0.00866977+0.0124389j 0.00607329-0.00393953j -0.00601112+0.0165952j -0.00632016-0.0136865j 0.00258267+0.00589912j 
0.0035786+0.00517058j -0.000508827-0.000568783j 0.0520552-0.0414509j 0.00202166-0.00145535j -0.0439046+0.0437846j 0.00089341+0.00138044j 0.00704864+0.00290627j -0.00193714+0.00444314j -0.00395021+0.00218766j -0.0104142+0.00244944j 0.0210224-0.00812959j -0.0166323+0.0120894j 0.000749226+0.00756857j -0.0185842+0.010361j 0.015847-0.0134952j -0.0114182+0.00582525j 0.0018213+0.00647126j -0.00290624-0.0049444j 
-0.00576609+0.0032504j -0.00592409+0.00804149j 0.000464252-0.00610451j -0.00364316-0.00246559j -0.00199776-0.00970158j -0.00685001-0.0132982j 0.00403332+0.00571724j 0.0010314-0.000384404j 0.000213158+0.00150783j 0.00329156-0.0197503j -0.00194386+0.0244729j 0.00435323-0.0144164j 0.00527078+0.000435713j -0.00466314-0.0219076j 0.00108674+0.0184849j -0.00374997-0.0196466j 0.00273945+0.00188866j -0.0031776-0.00190138j 
0.0202808-0.0210722j 0.0380217-0.0467708j -0.00833986+0.03611j 0.0165243+0.00119428j 0.0106083+0.0293916j 0.0230576+0.0420838j 0.00543087-0.022512j -0.0036964+0.00398605j 0.00239608+0.00123629j -0.00486902+0.00333504j -0.000526916+0.00195741j -0.0124187-0.00731206j -0.023998+0.00117864j 0.0128642-0.00356862j 0.00120517+0.00502226j 0.0082949-0.0021856j -0.0144185-0.000108491j 0.0025615+0.0135842j 
0.075666-0.00761835j 0.0204072-0.0749098j -0.0158273+0.00133923j -0.0101105-0.0408159j -0.0122068-0.00089495j -0.0429933-0.0490578j 0.0206513+0.0180174j -0.00496978+0.0303282j -0.00429652+0.00518644j 0.0151695+0.0122891j -0.000491694+0.00272502j 0.00479521+0.00994026j 0.00474772+0.0137284j -0.00830224-0.00814942j 0.00130007-0.00386573j -0.00821491+0.00477674j 0.0106115+0.00270874j -0.0137033-0.00460467j 
-0.0117198-0.00664402j 0.00719406-0.011976j -0.00384433+0.00620885j 0.00421443+0.00187734j -0.0236377+0.0201227j 0.00554019+0.0174724j -0.0654661+0.0180091j 0.000396105-0.00591761j 0.0044575+0.000905963j -0.0137937+0.00241276j -0.00337904+0.00120251j 0.00123922-0.00552813j -0.00199721-0.00898383j -0.011732+0.0036922j 0.0226942-0.0035434j -0.041372+0.0225431j 0.0192627-0.0267308j 0.0267227-0.0271356j 
0.080335+0.0212226j -0.0274246+0.0263496j 0.0205837-0.00440999j 0.00121894+0.0230581j 0.0153471+0.00782233j 0.0217925+0.0345951j -0.0244741-0.0108582j -0.00816261+0.0195367j -0.0284413-0.0212258j 0.0351685+0.0115078j -0.0184414-0.00330331j -0.00403862-0.0102904j -0.00646041-0.00957369j 0.000106066+0.00290806j 0.0101864+0.00589748j 0.00147715+0.00149267j -0.00541193-0.0064593j 0.0171077-0.00112797j 
0.00464782-0.0052225j -0.00179457-0.00440978j -0.0371987-0.0374599j -0.00220737-0.00339835j 0.0418233+0.0308068j 0.000211971-0.00315523j 0.0073723-0.0041248j 0.00245145-0.00171783j 0.00596048-0.00834204j -0.0148428-0.00578252j 0.0190792+0.0142759j -0.0112847-0.00444648j -0.000721131+0.0112791j -0.0175935-0.0156477j 0.012498+0.0043753j -0.010766-0.005641j -0.00473804-0.00159027j -0.00304859+0.00714372j 
-0.011075+0.000608031j -0.00268666+0.0111899j -0.0311569-0.0302461j 0.000775192+0.00416689j 0.0356329+0.0264497j 0.00768002+0.00621695j -0.00322157-0.00360093j -0.00146968-0.00069238j -0.00364765+0.0120185j -0.0148006-0.0235574j 0.0166603+0.0127725j -0.0123947-0.0133515j -0.000166579-0.0124776j -0.0123112+0.000762645j 0.0134393+0.0106649j -0.0140518-0.0136378j -0.000548344+0.00640677j -0.000937473-0.00168595j 
0.0155717-0.060549j 0.0527071+0.0308979j -0.0368108-0.0121967j 0.0155435+0.0196409j -0.010419+0.00859974j -0.00209299+0.0339704j 0.00517926-0.0219609j 0.00161197+0.0100265j -0.0196838-0.0123815j 0.0086105-0.00353708j 0.00127954-0.00361879j 0.0143591-0.00658131j 0.0240647-0.00804997j -0.0160131+0.00984465j -0.00953298+0.000181288j 0.0055554+0.0022395j -0.00747465-0.00953992j 0.000173082+0.018328j 
-0.00393234+0.121089j 0.00411695+0.00877923j -0.000766328+0.0171096j -0.0056642+0.0109444j -0.00571723+0.0136373j -0.0148465+0.0221902j 0.0149485-0.0176624j -0.0148121-0.0363321j -0.000682595-0.0101743j -0.00716254+0.00511218j 0.00420129-0.00476001j 0.0153413-0.0126256j 0.0248319-0.0237398j -0.0044599+0.00544576j -0.0157572+0.0141705j 0.0138596-0.0123737j -0.00149164-0.00525102j -0.00546507+0.0197705j 
-0.00126492-0.065353j -0.0629528-0.032341j 0.00974338+0.0108522j -0.0351278-0.0078791j 0.00395988-0.00384639j -0.0416198+0.00278527j 0.0287055-0.00636139j 0.00447589+0.0349863j 0.0257817+0.0195146j -0.0221834-0.00137904j 0.0129664-0.0109193j 0.00400363-0.00393372j 0.00731044-0.0201584j -0.00342689+0.0191134j 0.0020649+0.00196721j -0.00729715+0.00077949j 0.017168+0.00377162j -0.0208212+0.0115941j 
0.000805159+0.0431271j 0.0164356+0.0136777j -0.0248151+0.0309827j 0.00738661+0.00548149j 0.0192773-0.0316812j 0.00897585+7.75294e-07j -0.00438733+0.000984479j -0.00735851-0.0139676j -0.00515792-0.0102686j -0.0268265+0.0296306j 0.0362535-0.0312625j -0.0253328+0.0216042j 0.000494309+0.00257851j -0.0246759+0.0291955j 0.0190916-0.0289607j -0.0166658+0.0297039j -0.00531207-0.000211965j 0.00389793+7.94547e-05j 
0.00564762-0.0306812j -0.032046-0.0164171j 0.00380173+0.0100439j -0.0183624-0.0038441j 0.00246155-0.00272973j -0.023008+0.00288868j 0.01625-0.00659663j 0.0206889-0.00770369j 0.00982053+0.0198122j -0.0106293-0.0203558j 0.0110992+0.00500104j 0.00193891+0.000846339j 0.00816186-0.00449138j -0.00353918+0.00959211j -0.00191344-0.00716303j 0.000729723+0.00337035j 0.00633419-0.00364186j -0.00998285+0.0101999j 
0.0792282+0.000488513j 0.006444+0.0408145j 0.0160757-0.0201025j 8.83979e-05+0.020857j -0.00818963+0.00145748j -0.00529024+0.0227065j 0.00521562-0.0152627j -0.0441288-0.0276661j 0.0349441-0.0195751j -0.0341067+0.0119276j 0.014654-0.00486853j 0.00791018+0.00410121j 0.000617977+0.00943631j 0.00112193-0.0104255j -0.0115472-0.00357806j 0.000401062+0.00741424j -0.00311537-0.0166219j -0.0028933+0.0190662j 
-0.0979649+0.00741677j -0.0408692+0.0271789j -0.00899261-0.00933638j -0.0196859+0.0163657j 0.00189764+0.00302562j -0.0195065+0.0201096j 0.0133751-0.0144173j 0.059331+0.0261749j 0.0189278-0.0278352j -0.00033609+0.0295789j -0.00270231-0.0105865j -0.00455435+0.000391705j -0.0054255+0.000634165j 0.00388314-0.00767144j 0.00830028+0.00204935j -0.00126433+0.00515904j 0.0153628-0.0153741j -0.011059+0.0214676j 
-0.00296015-0.0571277j 0.00863149-0.0287764j -0.0025865-0.0081163j 0.00369052-0.0129923j 0.000185285+0.0048126j 0.00440667-0.0124464j -0.00296119+0.00867398j -0.0523709+0.0545021j -0.00232804-0.0109698j -0.0101863+0.0305798j 0.00375605-0.0201225j -0.000486753-0.00709489j 0.00499943-0.013282j -0.000273606+0.00445619j -0.00384906+0.0188195j 0.00324598-0.0100072j -0.00472968+0.0190401j 0.00340339-0.0136233j 
