-0.00389975+0.00221668j 0.00931986-0.0438828j 0.000138337-0.00227072j 0.00659355+0.0578176j 0.00777002+0.0060473j -0.00100694+0.00191678j 0.0005056+0.00189074j -0.000480598+0.000158298j 0.001083-0.00116872j -0.000278384+6.8525e-05j 0.000478459+0.0014162j 0.00101441+0.00103673j 0.000660418+0.000680674j 0.00116693-0.000424574j 0.00371039-0.00365459j 0.00243199+0.00405549j 0.00119884-0.00440482j 0.00614139+0.0210775j 0.00710531+0.0130074j 0.00348302+0.0140436j -0.0181198+0.00348756j -0.0198581+0.00809286j 0.0104094-0.00679414j 0.00594085+0.00390663j -0.0164318-0.00451031j -0.023872-0.00202002j 0.00303608+0.00592015j 0.00337825-0.00624221j 0.00371877-0.0252308j -0.00121753-0.00365231j -0.00158013+0.00506749j -0.00317514-0.000784616j -0.0031085-0.000582219j -6.65898e-05+0.00125026j 
-0.0133811+0.022908j -0.028413+0.0261296j 0.0233208+0.00476781j -0.0326197+0.0249034j 0.101221-0.0552511j -0.00751774+0.00368362j -0.00423961-0.00401455j 0.0153491-0.00365093j 0.00808612+0.00254093j -0.0272164+0.00166767j -0.0105954-0.00275356j -0.0118013+0.0176785j -0.00710404-0.000357278j 0.00288779-0.00138742j 0.00786018-0.00138291j -0.00412087-0.000641932j 0.0131785-0.00206238j 0.00455688-0.00165431j 0.000755208-0.00524292j 8.24134e-05+0.00435671j -0.00295001-0.0026408j -0.00327599+0.00191167j -0.00612811-0.000462476j 0.000732474+0.00516252j -0.0117858+0.00175123j 0.0108281-0.00168529j -0.0029475-0.00582005j -0.000354901+0.0157354j -0.00168446-0.00300119j -0.00499772-0.00167718j 0.010988+0.00244378j 0.0122658-0.0154293j -0.00305554-0.00442859j 0.000693128-0.0152396j 
-0.0126548-0.00593568j -0.00364529+0.00639602j 0.000850793+0.00130725j -0.0017312+0.0056179j 0.00105412-0.00235256j -0.00434844+0.00765939j 0.00871605-0.00256032j -0.00688588+0.00668181j -0.00386294+0.00466926j 0.000988543-0.0196629j 0.00253066-0.00440725j -0.00742939-0.0289215j -0.00302845-0.00298326j -0.00645567+0.00372441j 0.0025265+0.00436012j -0.00452901+0.0062649j 0.0147986+0.00217199j 0.00292485-0.00445275j -0.00598006+0.0192348j 0.00296699-0.00852286j -0.00737512+0.00867709j -0.000627506+0.00193986j -0.00851429+0.00862668j 0.00146822-0.0181509j -0.0142491+0.0348056j 0.00890228-0.0275561j 0.0141277+0.0161238j -0.0123932-0.0164367j 0.00528774-0.00220443j 0.00159346-0.00535952j -0.0076423-0.0346409j 0.00930928-0.0102445j 0.024455+0.0205492j 0.0141785-0.00585817j 
0.0732323+0.0382557j 0.0077932-0.0271362j -0.00856983-0.00997815j -0.00224923-0.0240461j 0.0113111+0.0106407j 0.00420719-0.0223268j -0.0241887-0.0236402j 0.0384989+0.0321377j 0.00697785+0.00215229j -0.00117269+0.00556166j 0.00263698+0.00392827j -0.00311099-0.00459497j 0.00805238+0.00319471j 0.00749003+0.00525918j -0.00249081-0.0104892j -0.0118455+0.00250597j -0.0043612-0.0065017j 0.0192465+0.0177843j -0.0124121-0.00539596j -0.00364339-0.015902j 0.0269166+0.00174623j -0.0191299-0.00270364j 0.0019179-0.00181408j -0.0057553-0.00189968j -0.00419683+0.00153736j 0.00185267+0.00322832j 0.00960029+0.00443389j -0.0181103-0.00294653j 0.013149+0.000761911j 0.00402238-0.00267616j -0.000813458-0.00881941j -0.00145379-0.0030845j 0.00284032+0.00139861j 0.00150246-0.000170998j 
-0.033182+0.0449891j -0.058846+0.0501044j -0.0341094+0.0112728j -0.0420937+0.0431738j -0.0192315-0.0164076j -0.00713413+0.0105064j -0.0113306-0.0101101j 0.0159273+0.00198807j -0.00121109+0.00492334j 0.0149543-0.0106649j 0.00818211-0.00810892j -0.00715911+0.000809916j -0.0106211+0.000914631j -8.36041e-05-0.00316087j 0.00207391-0.000692037j -0.00374201+0.00313554j 0.011274-0.0094014j -0.00949315+0.0091344j -0.00399149-0.00980649j 0.00929176-0.000798086j 0.00778642+0.00775608j -0.00616896-0.00131723j 0.00189222-0.00107504j -0.00220071+0.00239558j 0.00936978-0.00418767j -0.0118383+0.00300243j 0.00854859+0.00527032j 0.00946446-0.00754712j -0.00492552+0.00866923j -0.00912767+0.0152827j 0.00205415+0.000603074j 0.00177482+0.000651554j -0.00252193+0.00111813j 0.00180689-0.00457528j 
0.00479494-0.00255602j 0.00319952-0.0010911j -0.0112109-0.037849j 0.00715616+0.0104883j -0.0584444-0.090292j 0.00237985+0.00151709j -0.00660438-0.00850125j 0.0024415+0.00675108j 0.00976251+0.00857878j -0.0257311-0.0167605j -0.0137876-0.00578769j -0.0316227-0.0126478j 0.00127811-0.000218107j -0.0012747-0.00164728j -0.00140807-0.00233227j -0.00338846-0.000331648j 0.00244082-0.00101938j -0.000842507-0.00575884j -0.00175028-0.00229202j -0.000251692+0.00419394j -0.00681773-0.00321178j 0.00200915+0.0018016j 2.65717e-05+0.00122922j 0.00442269+0.000837065j -0.00835851+0.00510558j 0.00495818-0.00647953j -0.0140147-0.00478235j 0.0112696+0.0131509j -0.00794767-0.00629403j -0.00286248-0.00263893j 0.00981732-0.000320687j -0.00673878-0.00456728j -0.00630145+0.00197326j 0.000739205+0.00420438j 
-0.00236437+0.000754127j -3.11743e-05+8.22811e-06j 0.000333913-0.00139268j -0.000269533-2.31696e-05j -0.00026986-0.000242864j 0.00613803-0.00423076j -0.00381792+0.00762647j 0.00272721-0.0132843j 0.000466406+0.00581417j 0.00332456-0.0157134j -0.00227228-0.0172077j -0.000239134+0.00686591j 0.0029044+0.00392773j 0.00663171-0.00999765j 0.000423864-0.00349482j 0.00753837-0.00131984j -0.022886+0.00536045j 0.0214128-0.00729957j -0.00549156-0.0279038j -0.0134715+0.0350964j 0.00414468+0.043808j -0.00119751-0.0170837j 0.00143662-0.000104321j 0.00115086-0.00297849j -0.00202414+0.0295117j 0.00325301-0.035317j 0.0141505+0.0426265j -0.0176801+0.0126219j 0.014462+0.0103013j 0.0220343+0.00682907j -0.00886739-0.00208457j 0.00386977+0.00124912j -0.00553712-0.0109418j -0.00688759+0.00129526j 
0.0642335-0.101169j 0.0103821+0.0073544j 0.002635+0.025719j 0.0076214+0.01702j -0.00252669-0.0166285j 0.00618576-0.0245197j -0.0119171+0.000486124j 0.0220198-0.0114611j 0.00127338-0.000916203j -0.00197465+0.00555142j 0.00517783-0.00010242j -0.00265031-0.00441426j 0.017433-0.000745973j 0.00115873+0.0029869j 0.011952-0.00612944j -0.00475623-0.00887375j 0.00591155-0.00596403j -0.0104245+0.00898595j 0.00415966-0.00751446j 0.014416-0.00652303j 0.00878721+0.00568627j -0.000966431-0.00792977j 0.00485171-0.000531401j -0.000249135-0.00270899j 0.00394922-0.00271023j -0.00645508+0.00312236j -0.000573446+0.00308821j 0.000102887-0.00462799j 0.000156068+0.00373903j 0.0050972-0.00252783j 0.00102117+6.06599e-05j -0.00161273-0.00206095j -0.000681274-3.77822e-05j -0.00128269+0.0036324j 
0.0185402-0.0515655j -0.0534905-0.0506087j -0.0305745-0.00291697j -0.0501043-0.038155j 0.0274762+0.03497j -0.00418719-0.0224193j 0.0202434+0.0210365j -0.0143553-0.0159522j 0.00402156-0.00263413j -0.0179413+0.00388142j -0.0175538-0.00258654j 0.0165065+0.0125608j 0.00703228+0.00088633j 0.00489675+0.0015983j 0.00861677+0.00187233j 0.00140561-0.00227069j 0.00180199+0.0120555j -0.00129419-0.00838001j 0.015834+0.00793156j -0.00344616+0.00359338j -0.0152514-0.0069662j 0.0088343+0.00196582j -0.00171064-0.00208076j -0.00208774-0.00263074j -0.00443392+0.00552741j 0.00911993-0.00313106j -0.0112861+0.000813666j -0.000917708+0.0085564j -0.00400914-0.00410862j -0.00607871-0.0115451j 9.59615e-05+7.25353e-06j 0.0076454-0.000491212j 0.00559883-0.00357848j 5.49539e-05-0.00406581j 
-0.00489733+0.00447742j 0.00163216-0.00104335j 0.00551426-0.00276575j -2.00643e-05-0.00044265j 0.0086154-0.00757695j 0.0157748-0.010094j 0.00658102-0.0122197j -0.00352432+0.0225286j -0.00264238+0.0106085j 0.00443014-0.014814j 0.00359109-0.0101769j 0.00360252-0.00282277j 0.00569641+0.0128605j 0.0169636-0.023812j 0.0176699+0.00427607j -0.00543044+0.0374326j 0.0021152+0.00811502j -0.0181194+0.0140147j 0.00601551-0.00631259j 0.0179672-0.0186182j -0.01147-0.0322318j 0.0125946+0.0231899j 0.000295291-0.0199081j 0.0073465+0.00836749j 0.00686106-0.000991503j -0.00109529+0.00942972j 0.00362599+0.01728j 0.0131792+0.0100013j -0.00581538+0.00550626j 0.00955586+0.0043902j -0.00874035-0.00751819j 0.00364204+0.00478509j -0.00154264-0.0040877j -0.00489446+0.00347624j 
-0.003214+0.00660109j 0.0142725+0.020984j -0.0148188+0.0197075j 0.0194916+0.0139463j -0.052343+0.0279022j 0.0062898+0.00260439j -0.00409241-0.0112784j 0.0149158+0.0123637j 0.0110073-0.00649496j -0.0336455+0.0272698j -0.00752266+0.0173942j -0.0234676+0.0258216j 0.00194743+0.000608524j 0.00197959-0.00312926j 0.00508651-0.001162j -0.00439634+0.0070034j -0.00295182+0.00281466j 0.0184608-0.00035577j -0.00629664-0.00253975j -0.00976268-0.00232136j -0.000486963-0.0147469j -0.00265556+0.00909249j -0.00594411-0.0020572j 0.00712866+0.00535891j -0.0256379+0.000358216j 0.021525+0.00176351j 0.0038896-0.0102779j -0.0231088+0.0235791j 0.00976297-0.00789231j 0.0210445-0.0144362j 0.0116333-0.00338863j 0.0100014-0.0184952j -0.00168275-0.00712092j 0.00358966-0.0137193j 
0.102892+0.0477094j 0.0256347+0.0288916j -0.014362+0.00441353j 0.0120685+0.0230109j -0.00564425-0.020456j 0.0492809+0.0452392j 0.0199916+3.79738e-05j -0.0328194+0.000280066j -0.0135044-0.00357141j 0.0117916+0.00161663j 0.00891332+0.00933429j -0.00532062-0.0119472j -0.0066904-0.00273997j -0.00756718-0.0042421j -0.0123333+0.00645409j 0.0164859+0.00480672j -0.0105132+0.00293936j 0.000204235-0.0121862j -0.00352119+0.00644135j -0.00279319+0.00756516j -0.0107792-0.00184384j 0.0123087+0.00315886j -0.00345331+0.00193377j 0.00603424+0.00255679j -0.00162387+0.000449265j 0.00299113-0.00365338j -0.00052878-0.00627647j 0.00140488-0.00108876j 0.00333323-0.00322908j 0.0129459+0.000591606j -0.00604323+0.0024774j -0.00519157+0.00220313j -0.00307549+0.00221242j -0.00252904+0.00784758j 
0.0446876+0.0193963j 0.0351248-0.0244863j -0.00307731-0.0119519j 0.02715-0.0267668j -0.0272479+0.0310535j 0.0216973+0.0186932j -0.0196401+0.0251253j 0.0234759-0.0379462j -0.00167422-0.00496114j -0.0036204+0.00624863j 0.0143314-0.0116194j -0.0143731+0.0262586j -0.00164626-0.00349701j -0.00324975+0.000646912j 0.016658+0.000415739j -0.00234504-0.00177099j 0.0331517-0.00972806j -0.0282978+0.00906052j 0.00793447-0.00961757j 0.0230505+0.00446769j -0.00244545+0.0118725j 0.004042-0.00621611j -0.00460098+0.00236171j 0.0045417+0.000102728j 0.000710823-0.00191882j -0.00974701+0.0049412j 0.00847498+7.70955e-05j 0.00796402-0.00605696j -0.00629209+0.0102024j 0.00086039+0.00388206j 0.0117054-0.00355894j 0.00995466-0.0108232j -0.00340176-0.000913588j 0.00671105-0.0197151j 
-0.0244796+0.0599412j -0.0133903+0.0301732j 5.36255e-05-0.00584892j -0.00935613+0.0209426j 0.00853597-0.0188742j -0.0393224+0.042206j 0.000664016+0.010612j 0.0116999-0.0256007j 0.00603264-0.0147678j -0.00462907+0.0169021j -0.006941+0.0173472j 0.00618937-0.0181822j 0.042981-0.0016265j -0.000712038+0.00686964j 0.0242046-0.0135224j -0.00297307-0.00557568j -0.0084695+0.00174255j -0.00899222+0.00326356j 0.0142317-0.00603136j 0.0178443-0.0119721j 0.00281706+0.00385777j 0.00352267-0.00677178j 0.0107211-0.0027155j 0.00282207-0.00510621j 0.00304001-0.00179797j 0.00138957-0.00112761j -0.0155088+0.00602159j -0.00776652+0.00244275j -0.000241873+0.00140026j 0.011682-0.0184633j -0.00484938+0.00389357j -0.00155663-0.00246183j 0.0061663-0.00615943j -0.00609068+0.0180094j 
