-0.283468-0.0503186j -0.824407+0.00868822j 0.0285712-0.0226373j -0.0540057-0.0499546j -0.00851563-0.0194565j -0.140304-0.0191045j 0.0874648+0.0286047j 0.0184999+0.0132141j -0.0039024-0.0211928j -0.0627438-0.039375j -0.0250407+0.0312398j 0.0764175-0.000134786j 0.0918831-0.0206762j -0.0412454-0.00394394j 0.020351+0.00183306j 0.00124911+0.0259573j -0.0531662+0.0222192j 0.0339653-0.0191899j 0.0615404-0.00301305j 0.0287669-0.00646041j 0.043561-0.0571118j -0.00146274+0.0191501j 0.0254796-0.0163436j 0.0287166+0.0165449j 0.0107759-0.0316954j -0.0285632+0.00107545j -0.00240926-0.00122254j 0.0175075+0.0057489j -0.014126-0.0329608j -0.00412765+0.0103941j -0.000126027+0.0105135j -0.0225189+0.00633617j -0.00858055+0.0154036j 0.0105792+0.00382111j -0.0155902+0.00490456j 0.0458439-0.0380048j 0.0457992-0.0330091j -0.0247484-0.0444601j -0.0611796+0.0346357j 0.00506243-0.0246198j 
-0.0212328-0.0199568j -0.035919-0.0196088j 0.040278-0.000879592j -0.105559-0.0160761j 0.0705929-0.0876933j 0.0574108+0.0847346j 0.0233816+0.211176j 0.122075+0.154555j 0.0828528-0.0627858j 0.034471-0.228171j 0.113506-0.169498j 0.0466044-0.105236j -0.0412144-0.0727947j 0.123709+0.110233j -0.0111302+0.0582431j 0.0409471+0.0900536j 0.019872+0.030055j -0.0192417-0.118614j 0.00352985-0.0187289j 0.0111024-0.0746476j -0.0766906+0.0598086j 0.0336482-0.026746j -0.0403338+0.0550944j 0.0362329-0.0219013j 0.00395928-0.0029272j -0.00485915+0.00329498j 0.0180385+0.00777053j 0.000541419+0.0290125j 0.0228992+0.00721123j 0.0904752+0.0195548j -0.025054+0.0304769j 0.0323747-0.00229577j -0.0269496-0.062456j 0.0304888+0.0164318j 0.0382713-0.00467888j -0.0640836+0.0274554j 0.0134855+0.00287804j 0.0145513+0.0071719j 0.00905215+0.007522j -0.0238937-0.0171834j 
-0.160983+0.125701j 0.0419732-0.0511047j -0.0746485+0.0768514j 0.00174678-0.0103991j -0.0948714+0.0820483j 0.050704+0.124469j 0.142435-0.029364j -0.115211-0.0155226j 0.069491+0.0689611j -0.128177+0.108912j 0.000912974-0.13042j -0.0808073+0.0335269j -0.191866+0.117561j -0.0361871+0.123792j 0.140201+0.148354j 0.0857095-0.00144224j 0.0937005-0.170132j -0.0671918+0.176271j -0.140772+0.0624057j 0.00249473+0.0191255j -0.0130808+0.153326j 0.00167781-0.0201195j 0.0310167-0.0588547j -0.0032124+0.0321763j -0.0178338+0.0452285j -0.000170776-0.00404157j 0.000496647+0.00748168j -0.0254274+0.00728191j 0.0285055+0.0189546j -0.0224303+0.0201928j 0.034105+0.00328984j -0.0325039+0.0211006j -0.0285319-0.0216176j 0.00117968+0.0012135j 0.0120347-0.0479584j -0.0446935+0.0487741j -0.0418368+0.0343189j -0.0555485+0.0624753j 0.00476086-0.113976j 0.0373756+0.0269771j 
0.0434433-0.0310498j -0.0439182+0.0212009j 0.0208928+0.0278052j -0.0184365+0.100467j 0.025307-0.0537977j -0.0452+0.0218918j -0.0400061-0.0619479j 0.0837051+0.0240791j 0.0526431-0.0927024j -0.0158973+0.141383j -0.0177706+0.0411199j 0.0831781+0.120417j -0.178353-0.0543749j 0.301262-0.266754j 0.0425657-0.0743012j 0.0933224-0.125755j 0.0903797-0.00822179j -0.201024+0.21144j -0.0231391+0.0279242j -0.0748247+0.106364j -0.0103781+0.0205524j -0.0408034+0.0279158j -0.0282871-0.119254j 0.0131397+0.0510698j -0.0389774+0.0300245j 0.0208902-0.0260546j -0.000143047-0.00987603j 0.000341604+0.0285432j 0.0435162+0.0717892j 0.0675461-0.0692744j -0.00757375-0.0181553j 0.074321-0.0427652j 0.00416489-0.032319j 0.0438298-0.0476993j 0.042057-0.0372966j 0.0129071+0.0118917j -0.0209688+0.0961755j 0.0374808-0.0477557j 0.0269816+0.00187611j -0.00258842+0.0255838j 
0.0599743+0.00155373j 0.0243283+0.00315015j -0.0497254-0.0544217j -0.0743516+0.0389797j -0.0042452-0.100449j 0.065917-0.0371511j -0.0526152+0.00347559j 0.0677005+0.0155958j -0.0439635+0.0212023j 0.170014-0.0163454j 0.200326+0.189908j -0.159507+0.077166j 0.00910483+0.0521901j 0.123337-0.236154j 0.0410789+0.0466298j 0.109272-0.110291j 0.0813648-0.149355j 0.0309228+0.0708828j -0.0253418-0.0424673j 0.0211675+0.061615j -0.111638-0.0650964j 0.0414985+0.0969512j 0.0317833-0.0385139j 0.0385869+0.0535646j -0.0717005-0.00496116j -0.00996586+0.0216533j -0.0209223+0.0479241j 0.00390768+0.00587494j 0.00900681-0.0312104j 0.125533-0.0517538j -0.0176911+0.00452967j -0.0130908+0.0156769j -0.00455426-0.0295493j -0.0236954+0.000302833j 0.00143907-0.0104224j -0.0307672-0.0127296j -0.0070769+0.0643855j 0.028645-0.0417291j 0.0431318+0.020466j 0.00723147+0.0310368j 
-0.0217698+0.0194013j -0.0125404+0.0201746j -0.0154086+0.0432087j 0.0209382-0.0136685j -0.00282865+0.0247474j 0.0043136+0.098329j -0.0365226-0.0125676j -0.0613134+0.0337839j 0.0432899+0.0401403j 0.0839515+0.112826j 0.410309+0.0788906j 0.26937+0.273084j -0.0866903-0.0999805j 0.184034+0.170787j 0.160926-0.0558655j 0.0298664+0.0146931j -0.0333832-0.0652334j 0.115482+0.153678j -0.0237448-0.00075023j -0.0137148+0.00761713j -0.210943+0.00314339j 0.0671328+0.0307804j -0.161715-0.128624j 0.0560651+0.0857139j 0.0311505+0.0573408j -0.0168255-0.0048406j 0.0219434-0.0153577j 0.00318511+0.00641531j -0.0396359+0.0695696j 0.0313887+0.0491762j -0.0187296-0.0349994j 0.0662076+0.0614647j 0.0704387-0.0354221j -0.0073076+0.0080297j -0.0145793+0.0060537j -0.0562539-0.0547157j 0.00333277+0.0771026j 0.0282548+0.0129016j 0.104363+0.0104937j 0.0741038+0.0784482j 
-0.0812076+0.0500137j 0.0344209-0.0280872j 0.00852002+0.150753j 0.00212899-0.0610206j -0.179634-0.120096j 0.0321957+0.0160963j -0.049125-0.00826452j 0.062287+0.0392457j 0.0451803-0.0360454j 0.155581+0.0996544j -0.0684815-0.0611014j -0.135656-0.127903j -0.120552+0.000166339j -0.272213+0.157092j 0.12242+0.00753238j 0.0380349+0.153186j 0.100477-0.0325704j -0.0344355+0.0724535j -0.056451+0.116861j 0.144657-0.041638j 0.0601596+0.115131j -0.0255174-0.0330255j -0.0622298-0.00753695j 0.173021+0.0769937j -0.177277-0.0387943j 0.0122169+0.000949752j -0.00434655-0.00241965j 0.0263956+0.00369726j 0.0241797+0.0333059j 0.0603226+0.108892j -0.0132469-0.00549292j -0.0211332+0.0361783j -0.011611-0.0258817j 0.0101981-0.026762j -0.0161442+0.0242687j 0.00168449+0.0565721j -0.0352471+0.0377066j -0.0790451+0.0349833j 0.0203199-0.0688284j 0.0713425+0.0418565j 
0.121095-0.11417j -0.0427317+0.0788763j -0.179071+0.0182009j -0.0693799+0.0490483j -0.101732+0.0830321j -0.0123426+0.0354016j -0.0331799-0.00973145j 0.0331444-0.0221825j 0.0107752-0.113052j 0.0373031+0.0558782j 0.0725939-0.37326j -0.33009+0.289088j 0.26871-0.080114j -0.134669+0.0396251j -0.0293041-0.0238068j 0.0316002-0.0634663j -0.17423+0.18058j -0.0525301+0.0731744j -0.0136136-0.0242784j 0.00386375+0.0557189j -0.0309094+0.0953134j 0.123773-0.0842332j 0.10007-0.0917324j 0.0460298-0.0485328j -0.0844659+0.0743247j 0.00735861+0.000642964j 0.0231976+0.00341025j 0.00784453-0.0191612j -0.03808-0.0448095j 0.0459399-0.049993j 0.0144074-0.0160893j -0.0266165+0.0550681j -0.023024+0.0095595j -0.0250686+0.0447205j -0.00142237-0.00762906j -0.0337586+0.0446223j -0.00315901+0.0248334j 0.0146583-0.0354257j 0.00590234+0.0121025j -0.0102597+0.0098042j 
0.0279978-0.0620608j -0.0333062-0.00749984j -0.0693656-0.00536518j -0.00804097-0.0220839j 0.00301353+0.0461039j 0.0410357+0.0948107j -0.0211684-0.00879387j -0.0155425+0.0158901j -0.0201213-0.0658865j 0.0734394+0.116732j -0.00885269-0.255494j -0.0266404-0.0747347j -0.029676-0.0606968j 0.272884+0.0347909j -0.109338-0.0394331j 0.123148+0.0494308j 0.0712742+0.196276j 9.76539e-05+0.0128969j -0.0463503-0.0527527j -0.0545034+0.0473796j -0.00754806+0.13888j -0.00500155-0.101915j 0.0373342+0.0646897j 0.0181462+0.0029005j -0.0142577-0.0192414j 0.0197034+0.03591j -0.0423851-0.0274143j -0.0170215-0.0238024j -0.0053697-0.00248131j 0.056599+0.0227906j 0.0132903-0.0149528j 0.0193647+0.0192355j -0.00939749-0.0190733j 0.0122966+0.0305257j 0.00791905+0.0104762j -0.0136966+0.00766044j -0.0199174-0.03409j 0.0411145-0.0293545j 0.0402042-0.0206503j 0.00601937-0.012208j 
-0.0108959-0.0903108j -0.0267718-0.0215023j -0.0508589-0.0975951j -0.0754217-0.0532496j 0.0535616+0.0659112j 0.119719+0.195914j 0.032259+0.0355685j 0.00688885+0.0244427j -0.108659-0.107756j 0.155017+0.19293j -0.0124905-0.0193066j -0.217461-0.0690473j 0.175906+0.0912378j -0.00667097-0.0118051j -0.156984+0.0781957j 0.0762239+0.0629839j 0.0664832+0.178165j 0.244867+0.198945j 0.00627012-0.0612938j 0.0423357+0.088783j -0.0221035-0.0309555j 0.0477031+0.000929401j 0.0410946-0.0678446j -0.0198313+0.0358524j 0.041137+0.0129397j -0.0116906-0.0169859j 0.00645068+0.00460713j -0.00714095+0.0199244j -0.0172422-0.0569463j 0.0479999+0.0231831j -0.00712719-0.023751j 0.00664497-0.00356964j 0.00502169+0.0295794j -0.0252303+0.00326351j -0.0195633-0.0359388j -0.017333-0.0226611j 0.0196788+0.0147442j -0.00236509-0.0175142j -0.000418638+0.0261287j 0.00681685+0.0400791j 
0.00612033-0.00202587j -0.0141769-0.0293339j -0.00603489+0.186573j -0.0174793-0.0616172j -0.071133-0.15433j 0.0787908+0.0848775j 0.00360118-0.00236527j 0.0113712+0.0796023j 0.0637667-0.00214933j 0.155765+0.182591j -0.110773-0.0309301j -0.113189-0.121503j 0.0573442-0.0216851j 0.0201463+0.0466301j 0.152855-0.0713136j 0.0888454+0.127533j -0.0409539+0.0112769j 0.0527817-0.0275422j 0.0233894+0.13979j 0.0386644+0.051679j 0.0868713+0.00618375j -0.0333269-0.0422084j -0.0447854-0.0367259j 0.0962606+0.147001j -0.0273833-0.126219j -0.0132268-0.000993422j 0.000692982+0.00619499j -0.0196259+0.0191811j -0.0154401+0.0103678j 0.0609114+0.140089j 0.0388511-0.00308718j -0.00095448+0.0147762j 0.0204739+0.00117673j 0.0101686+0.0464717j -0.0226905-0.010791j 0.0428599+0.0452359j -0.0350283-0.0268635j -0.0625533-0.014654j -0.0202255-0.0507396j 0.085143+0.0888904j 
0.0635986-0.0992883j 0.00111258+0.0175651j 0.0527037+0.00589919j 0.032271-0.0268739j 0.0885479+0.0598819j -0.0713273+0.0907542j -0.0732971+0.0829808j -0.0197165+0.0112454j -0.0511746-0.0837369j -0.0911355+0.0911574j -0.212501-0.0281664j 0.177225+0.0379092j 0.030422-0.00986749j -6.2794e-05+0.0531715j 0.00593772-0.0456637j -0.116644+0.0614867j -0.0454665+0.140323j 0.0169578+0.20354j 0.0510463-0.0114276j -0.00130047+0.0586764j 0.0515093-0.0231994j -0.0317849-0.00947695j -0.0217965-0.0512946j -0.0783096+0.00651773j 0.040472+0.0409232j -0.0225192-0.00556689j -0.0110904+0.0115247j -0.0136555-0.0157918j 0.0139573-0.0132829j -0.0255263+0.0400589j -0.0110734-0.0060799j -0.00117437+0.0370723j -0.0370877-0.00965435j -0.000311749-0.00464711j -0.00478142-0.022641j 0.0138126+0.0227824j 0.022031+0.0387701j 0.00862661-0.0094567j -0.0285175+0.00913122j -0.0229144+0.038606j 
0.110612+0.139592j -0.00231678-0.0137982j -0.0212619+0.0988246j 0.0800489+0.047026j 0.126099-0.115424j -0.0955799-0.1237j -0.0505451-0.0310152j 0.0210309+0.0326865j 0.0254206+0.13102j -0.0870817-0.100557j -0.0170788+0.00946711j 0.00869531-0.0234782j 0.140442+0.0763688j 0.0980275+0.0251967j 0.197009+0.0583836j -0.00726736+0.0318867j -0.142453-0.139307j 0.00330415-0.101686j 0.00182654+0.15071j -0.0888849-0.0660863j 0.0180117+0.0248838j -0.0221949-0.0287727j 0.0445818-0.0531494j -0.0645237+0.085459j 0.0583736-0.0488773j 0.00706429-0.00268066j -0.000876331-0.000103687j -0.00392833-0.000167902j -0.028809+0.0129712j -0.0209378+0.0106459j 0.0124679+0.0258537j 0.0225429-0.0171617j 0.00813388+0.000996493j 0.0136054-0.0110371j 0.0053911+0.00944839j 0.039935+0.0378259j 0.00960742-0.0341796j 0.0247791+0.0206878j -0.0508326-0.0615735j -0.022704+0.0402548j 
-0.0391032+0.075196j 0.0433815-0.0209992j 0.179225+0.207444j 0.0566555-0.0587083j -0.186923-0.12731j -0.0654402+0.0159797j 0.00839846-0.0193387j 0.0268403-0.034615j 0.160301+0.0500931j -0.0244138-0.0426675j -0.0841981+0.0284348j 0.0645685+0.0366299j -0.0765596-0.114523j -0.0836743-0.0288115j 0.0981346-0.105913j -0.017775-0.0318619j -0.0309375+0.0291525j -0.0728066-0.067943j 0.0862763+0.0481438j 0.00466763+0.0159064j 0.0486254+0.00438897j -0.0544636-0.0158633j -0.0524498-0.0416897j 0.0699738+0.0369119j -0.0454769-0.061411j -0.0108921+0.000639038j 0.00350638+0.00262096j -0.000899092+0.0183808j -0.0345455+0.0245393j -0.000596002-0.00518261j 0.00912236-0.00928914j -0.0138273-0.00590407j 0.030739+0.0131927j 0.012175+0.0322798j 0.002533+0.00382797j 0.0374054+0.023945j -0.0319791-0.0229792j -0.0653154-0.0326813j -0.011715-0.00487774j 0.0598641+0.0332908j 
