-0.112337+0.0845617j 0.0122263-0.0755737j -0.0540049+0.0647877j 0.0452995-0.0881918j -0.0387487-0.0333907j 0.0572491-0.0493814j -0.0354765-0.0599558j -0.0206877+0.0480676j -0.0794239-0.0516413j 0.245195-0.0955326j 0.0154848-0.0356769j -0.0894938-0.00456854j 0.121444+0.0336145j -0.173554+0.000754174j -0.157878-0.142696j 0.0877483+0.105418j -0.059878-0.0186112j 0.217908-0.0814894j -0.362196+0.0374529j 0.0704602+0.00138558j -0.0203411-0.00574844j 0.079167-0.0148425j 
-0.0661429+0.0258873j -0.0195787+0.0432417j 0.0434146-0.0289668j 0.0240142+0.0209109j -0.0149129-0.0109283j -0.0603866+0.132951j -0.00735742+0.0353543j 0.141289-0.14665j 0.0109913+0.062186j 0.077632-0.0911263j -0.043249-0.198581j -0.22008-0.0741059j 0.0828346-0.0393883j -0.275269-0.15401j 0.0596573-0.152876j 0.18217+0.022162j 0.125334-0.329093j -0.0411512+0.0284724j 0.259144+0.0889866j 0.119658-0.214852j 0.122494-0.105963j 0.161617+0.128052j 
-0.0220702-0.00140403j 0.0473411+0.0590021j 0.00418742+0.00313116j -0.0584007+0.0227968j 0.0113234-0.067895j -0.0618316+0.0901604j -0.0255905+0.0498106j 0.156077-0.0465035j 0.0450391-0.0242889j 0.1974+0.144124j 0.0786523-0.159697j 0.0424201-0.217608j -0.0176368-0.193673j 0.0937652+0.289431j -0.193528+0.0988459j -0.00924076-0.0561092j -0.346094+0.0976477j -0.0952601+0.0132528j -0.0187759+0.0206202j 0.0193777-0.0164627j 0.0291131-0.0507849j 0.053725+0.0419658j 
-0.0537908+0.0470564j 0.00365795+0.0494721j -0.0398558+0.0573437j 0.0753154-0.0587252j 0.109538+0.0433486j 0.0103456+0.038949j -0.00667787-0.0352918j -0.201177+0.105395j 0.0413733+0.0259437j -0.127476-0.121639j 0.104496-0.0273489j 0.199184-0.118186j 0.155567+0.176414j 0.00186451+0.189057j 0.146845-0.200952j 0.239653+0.0266114j 0.0955082-0.000680532j -0.12789+0.0477873j 0.169669+0.0574724j -0.15951-0.0500413j 0.0474321+0.160318j 0.0152943+0.0173561j 
-0.159212-0.0112433j 0.0891359+0.248033j 0.0265881+0.008772j 0.0491565-0.0423633j 0.0437966+0.0695246j 0.142097+0.00873689j 0.0333033-0.0947975j 0.00940915-0.0225017j -0.00172121-0.0559599j 0.255215-0.117759j 0.0470161-0.151786j -0.136506-0.132248j 0.0490203+0.133912j 0.0264921+0.0074683j 0.0219129-0.0790192j 0.191049-0.0862498j -0.0640413+0.108082j -0.14783+0.18895j -0.0011808-0.00157437j -0.183413-0.115623j -0.0562746+0.0886725j -0.192874-0.0614622j 
-0.0113835-0.116158j -0.212346+0.0555488j -0.047713-0.102962j 0.0171159+0.0251863j -0.0693618+0.0873438j 0.00737275-0.205297j -0.0970844+0.0386333j -0.0200622-0.0418667j -0.00157818+0.134149j 0.0896954-0.136551j -0.0133994+0.0747853j 0.166732-0.15922j 0.0943895-0.298764j -0.0570353+0.0482081j -0.145658-0.0240112j -0.170108+0.0733623j 0.100373+0.0186991j 0.079164+0.0534495j 0.168019+0.0659861j -0.0844389+0.0148876j -0.00858273+0.077852j -0.0124778-0.020325j 
-0.25066-0.178065j -0.123231+0.113265j -0.193138-0.00984811j 0.0898805-0.00975886j -0.0132551+0.160787j 0.013784-0.0464833j -0.0557895+0.0214161j -0.199631+0.0546083j 0.0640047+0.0551418j 0.101638-0.0637372j -0.066056+0.104597j -0.204481-0.0943441j 0.0300603+0.0193858j 0.00716306-0.109863j -0.193248+0.0409933j -0.0731506-0.107035j 0.0839281-0.0685241j -0.0778503+0.0525706j 0.0212933-0.121136j 0.113048-0.157314j 0.0662319+0.0595678j 0.0105694+0.0168755j 
-0.187454+0.0198816j -0.0262774-0.0686102j -0.101502-0.0287038j 0.0274711+0.0580177j 0.13837-0.0781818j -0.137155+0.128886j -0.0411603+0.0791664j -0.103451+0.00312556j 0.0834821-0.03726j -0.0464788-0.0176084j 0.0922204+0.0130569j 0.09126-0.0799768j 0.0201457+0.00457324j -0.00871678+0.208807j -0.0045839+0.0355759j -0.140497+0.174823j 0.0175598+0.0247951j 0.0971932+0.11591j -0.0573424-0.00885703j 0.0336793+0.170359j -0.103127+0.0568187j 0.202497+0.0770802j 
0.127758-0.0644112j 0.0975372-0.0374514j -0.0224673-0.00923013j 0.0335781-0.0436996j 0.0239687-0.0341699j -0.0505375-0.0154894j -0.00341474-0.0182562j -0.085066+0.0192616j 0.0599197-0.0099156j -0.276497+0.242662j -0.0675186+0.0197771j 0.0129508+0.00510457j -0.0969703-0.00259654j 0.0709673+0.175611j -0.00377887-0.104008j 0.0896457+0.0596101j 0.137432-0.108584j -0.165152+0.287698j 0.104471+0.0383877j 0.0952515+0.0568236j 0.0277976-0.000734485j -0.0407724-0.0479476j 
0.00132586+0.0574016j 0.0464463+0.0320422j 0.116379-0.0795013j -0.0377736+0.0267582j 0.0234412-0.0701967j 0.022905-0.0421515j 0.0113056-0.0242604j 0.1723-0.172271j -0.0162037-0.0200038j 0.123784-0.17243j 0.0651724-0.221516j 0.033616-0.249376j 0.0723836-0.167948j -0.213205+0.00497515j 0.0883561-0.135013j -0.031004+0.144555j -0.00589737+0.0473565j -0.0744999+0.0192359j 0.0481647-0.0141309j -0.10793+0.122027j -0.0753764+0.0645291j -0.00985211+0.00471096j 
-0.18378-0.0991628j 0.104135-0.0265661j -0.0360435-0.02052j -0.00689406+0.022534j 0.0967933+0.0763869j -0.0519944+0.0599626j -0.0469115-0.0309896j -0.0373821+0.00473982j 0.0698653-0.0447293j 0.0763825-0.0900638j -0.00995584+0.0243338j -0.0957903-0.0124598j 0.0272299+0.189332j 0.00556335-0.0852367j -0.0721189+0.0197966j 0.0424983-0.210248j 0.0361692-0.00629973j -0.0944504+0.0260923j 0.0384178+0.00425751j 0.0139898-0.0364287j -0.189254+0.091209j -0.0911939+0.0314676j 
0.0222736+0.0770296j 0.144088-0.277082j 0.0944475-0.0652249j -0.126383+0.0725488j 0.0667363-0.186211j -0.209366+0.143985j -0.0277934+0.0272797j 0.182971-0.134119j 0.0837044-0.123969j -0.0249577+0.0819583j 0.0277285-0.109105j -0.0372188+0.0345762j -0.142882+0.0846709j -0.0876572-0.0480645j -0.0449225+0.103568j -0.00380114-0.133539j 0.0425155-0.0783554j -0.0629457+0.0547155j -0.0206228+0.0128999j -0.0324952+0.0208066j -0.156497+0.197108j 0.019933+0.0054666j 
0.212285-0.0741051j 0.176971-0.177477j 0.105099-0.0469537j -0.0633402-0.0570173j -0.00999258-0.0339559j -0.031984-0.250601j 0.0476719-0.0896847j 0.0458797+0.0833524j 0.0244561+0.072233j -0.0586881+0.0454187j -0.0266716+0.0537717j 0.0473907+0.0544875j -0.0848565-0.146069j 0.0476535-0.0753236j 0.0602362-0.110162j 0.086499+0.00912743j -0.0505038+0.155166j -0.0601289-0.0472724j 0.0351368-0.173631j 0.00778-0.198196j -0.0545246-0.0150533j -0.10254+0.124138j 
