0.07963-0.00834707j -0.106213-0.0267469j 0.0752568-0.0185367j 0.309511+0.00129521j -0.0530881-0.0982302j -0.0198944+0.0343449j -0.0505096-0.00572699j 0.0597192+0.0857134j -0.0640022-0.00354407j 0.0371332+0.00408939j 0.0247799+0.0416353j -0.0516714+0.0205513j -0.0105731-0.0130662j -0.039732-0.0218894j 0.0548174+0.00165021j 0.0480182+0.0336594j -0.00107577+0.0415185j 0.0218903-0.0317911j 0.0138564-0.0736423j -0.072454-0.0157586j 0.0119404+0.0195012j 0.0151133+0.00359127j -0.0497848+0.00841968j 0.0129542+0.0409119j -0.0189247+0.0252741j 0.0257988+0.0261014j -0.00704692-0.0376423j 0.0170103-0.00617346j -0.00695523+0.00416425j 0.0325254+0.0217462j 0.0142754-0.0125894j 0.0381441-0.0311229j -0.0386241-0.0139881j -0.0154816+0.0530534j -0.0519905+0.0135685j -0.0103966-0.0214223j 
-0.108743-0.0664876j 0.0222436-0.0163637j 0.0393428-0.0546493j 0.150695-0.056443j -0.072877-0.109972j -0.129846-0.0365432j -0.153807-0.275348j 0.0299604+0.0159304j 0.179421+0.214818j 0.0149076+0.0290149j 0.0286493-0.0363367j -0.0164931-0.112096j -0.112157-0.0533712j 0.0596083+0.0229848j -0.115276-0.0185385j -0.138825-0.0336337j 0.0549102-0.00962227j 0.127572-0.0671864j -0.0109235+0.208594j 0.0783232+0.0447655j -0.0284822-0.130638j -0.0242349+0.0504019j -0.0113135-0.0907298j 0.0550778+0.0197409j 0.0259825-0.024061j 0.0144076+0.0389565j 0.00296196+0.0258383j -0.0238165+0.0420794j 0.0140333+0.00714696j -0.024024+0.0183061j 0.0985594-0.031793j -0.0124917+0.0397379j 0.0201781+0.0248632j -0.0700655+0.0545146j 0.0240959-0.0106537j 0.0423457+0.00790084j 
-0.0629207+0.0128484j -0.00177424-0.0532676j -0.0802679-0.0031229j -0.00210729+0.00619449j -0.0905573-0.0381763j 0.0236439+0.0768937j -0.213134+0.047937j -0.105808+0.0313498j 0.247747-0.0868803j -0.0194688-0.0604176j -0.0175393+0.03714j -0.0716703+0.199305j -0.0335915+0.0870268j -0.145716+0.0122332j -0.0207767+0.0153909j -0.0434507+0.0238493j 0.0664821-0.119881j -0.182822-0.0167001j 0.0498485+0.0343591j 0.0276215-0.0587674j -0.0687334+0.0261917j 0.00313764-0.0361278j 0.00806785+0.066055j 0.017106-0.0227185j 0.020876+0.00785437j 0.0728638-0.0278704j -0.0311961-0.0410196j -0.0332931-0.00990488j 0.0360557+0.0231472j -0.0110505+0.00710196j 0.0235594+0.0146524j 0.0323148-0.0132386j 0.0120169-0.0156446j 0.0275656+0.0837023j 0.0399653+0.0406482j -0.0144553+0.00581434j 
-0.0420297+0.0432281j 0.0199471-0.0239302j 0.161759-0.025621j -0.0178227-0.00897066j -0.0518535-0.0329059j 0.0667719-0.0128373j -0.138231+0.0560469j -0.0312943+0.0367897j 0.0179535-0.109887j 0.00741653+0.0902749j -0.166469+0.141509j 0.222848-0.0104071j 0.0387806-0.0294825j 0.0748597+0.258817j 0.0343732-0.0636103j 0.177012-0.00239932j 0.0469474-0.00253658j -0.0523488+0.0439612j -0.0336459-0.10079j -0.0318042+0.157927j 0.0248635+0.00576158j 0.0312997-0.0456784j 0.0657959+0.0203875j 0.135935+0.0645405j 0.0312616+0.0324644j 0.0384997+0.00685927j -0.0148114+0.0433421j -0.0642985-0.00491836j 0.0233102+0.0193396j 0.00967474-0.0714522j 0.0811266-0.0708849j -0.0439414-0.0496617j 0.00770256-0.018681j 0.0417837+0.00888094j 0.0717009+0.032133j -0.0348438+0.00933995j 
0.00468067+0.0224101j -0.00231369-0.0242504j 0.0228242-0.0216677j -0.0112725+0.0132112j -0.0282212-0.0161918j 0.0417399+0.043113j -0.117382+0.0160603j 0.0213567-0.0043795j 0.0669803-0.0551999j -0.0415498+0.0120531j -0.10127+0.0221257j 0.0885882-0.00750338j -0.0178915+0.025917j 0.0154125+0.14676j 0.00912725+0.17814j -0.09867+0.297095j -0.173954-0.0852422j -0.0459855-0.0585048j 0.287204+0.0379607j -0.0253198-0.0945222j -0.123811+0.0484428j 0.0356683+0.0265187j 0.00876104-0.0644247j 0.0332164-0.032198j -0.0429316-0.0414482j -0.0113929-0.0256231j 0.00490441+0.010231j 0.0290255+0.0655957j -0.030928-0.0645167j 0.0536374+0.0362634j 0.00607966-0.0337548j 0.0598757+0.00346774j 0.0371636-0.00708592j 0.0323744+0.0336704j -0.0764545-0.0167499j 0.0188826+0.0217091j 
0.149354-0.0560749j 0.0331291+0.000382705j -0.0181536+0.0409619j -0.0290429+0.048787j 0.0595554-0.00795354j 0.0362366+0.14759j 0.0284147+0.0312103j 0.00436636-0.0668771j -0.0315906+0.0324047j -0.198577+0.00222045j -0.103305-0.174094j -0.00389163-0.123271j -0.0397134+0.0456019j 0.110042+0.0717457j -0.0815898+0.0563591j -0.131743-0.142997j 0.130422-0.212789j -0.0788367-0.0106872j -0.0120348-0.0666288j -0.0745918-0.0336031j 0.0605255+0.0411481j -0.0439464+0.0800522j 0.0135241-0.0025124j -0.0069518+0.00865811j 0.0465101+0.0143076j -0.05484+0.0102947j 0.0978011-0.0464002j 0.0301444-0.0260388j 0.0401666-0.00205492j -0.00592532+0.00270625j -0.0555477+0.0266716j 0.0138323+0.00877202j -0.0193778+0.00715154j -0.0251807+0.0127333j -0.00308964+0.00778288j 0.00419752-0.00785406j 
0.0228063+0.0241643j -0.0281592-0.0116053j -0.0265554+0.0554455j -0.0186517-0.0546138j -0.0551778-0.0570894j 0.0511187+0.0471285j -0.045858+0.0468634j -0.0307468-0.0727086j 0.0243956-0.061747j 0.16743+0.0274814j -0.0522583+0.259684j -0.272778-0.106604j -0.0231715+0.0548953j 0.137372-0.302783j 0.0458372+0.0470746j 0.000739691-0.00673669j -0.0629717-0.0649024j -0.108628-0.0869246j -0.0843715-0.0337511j 0.143909+0.0239555j -0.062334-0.0348993j 0.0797483-0.0346199j -0.112987+0.034992j 0.092582-0.0593186j -0.00532955+0.0192296j 0.0363223+0.0101398j 0.0339051-0.0479046j 0.0148556-0.0224775j 0.0172498-0.0195183j 0.00562427-0.0483409j -0.0535718-0.0480749j -0.00438+0.0340935j 0.00395484-0.000275998j 0.0133321+0.0393681j -0.00938657+0.00823936j -0.0310552-0.00377654j 
0.00625112+0.0377723j -0.0162964+0.00231208j 0.062788+0.00658841j -0.00357177+0.0123317j 0.020505+0.0311826j -0.045201-0.0765843j -0.0557534+0.0592304j -0.0142803-0.0197139j -0.0252088-0.0821179j -0.00465969-0.0501085j 0.11442+0.0472422j 0.040388-0.250221j 0.0527195-0.0500378j 0.306294+0.000761273j -0.0379623-0.0610298j 0.125927+0.0104568j -0.0520187+0.0379428j -0.00795233+0.0695506j 0.0558324-0.0899247j 0.0922785+0.00510011j -0.0317329+0.026137j -0.0329568+0.00793512j -0.00402152-0.156439j -0.0360402-0.125104j -0.0112858+0.00909925j -0.0299331-0.065343j 0.0293216+0.0274513j 0.0552845+0.074323j -0.0260678-0.00747311j -0.0298592-0.00319705j -0.00822291-0.0501452j -0.0344181+0.00734633j -0.00439572-0.0187703j -0.0260165-0.0244732j -0.0026891-0.000580729j 0.0844344+0.049193j 
0.0442457-0.0107373j 0.173592-0.055061j -0.0030267+0.0917144j 0.0264835-0.00833579j -0.0244225+0.0672425j 0.134193+0.00306776j 0.0612257+0.0245418j -0.0168404+0.0187714j 0.0693035+0.164811j 0.0672349+0.076992j -0.0127769+0.123201j 0.0787271-0.0602589j -0.124866+0.275285j 0.129286+0.0804583j 0.235081+0.0862429j -0.0897389-0.0292979j -0.0172311+0.038787j 0.0344583+0.0191572j -0.045172-0.0300666j -0.0313562+0.0569196j 0.000741228-0.0229753j -0.0630689+0.046047j -0.0026037-0.0444071j 0.0242914-0.00599054j -0.0214774-0.0212097j 5.75606e-05-0.00515003j 0.00314349-0.00769962j 0.0109258+0.0132187j 0.00477169+0.0114262j -0.00047174+0.00820043j -0.000760233+0.00142441j -0.00540207-0.00119485j -0.0121324+0.00350582j -0.0173009-0.0139546j 0.00302301-0.0069874j 0.0185178-0.00114516j 
-0.0372657-0.0501178j -0.0944379+0.0480265j -0.00998121-0.0102149j 0.0280373-0.0288115j -0.0507808-0.0674185j -0.015488+0.0610483j 0.0468913-0.0562168j 0.0431633-0.0170267j -0.0283879-0.0246575j -0.00848996+0.237324j -0.293335-0.0290318j -0.0442863-0.0783549j -0.0346963-0.0829422j 0.124774-0.010473j -0.0698153+0.108978j -0.0430245+0.0579265j -0.0898509-0.140249j 0.0486973-0.054144j -0.0338958-0.0673002j -0.048579+0.160096j 0.073121-0.0808452j 0.0753515+0.00968608j -0.00237612-0.0250547j 0.00218171+0.0660457j -0.0208957-0.0494023j 0.0558752+0.04491j -0.0289896-0.033468j -0.0161455-0.0145913j 0.0331375+0.0136261j 0.0395749+0.0167502j 0.00655965+0.0244227j 0.00379859-0.0379609j 0.00256983+0.010494j 0.00976965-0.00194707j -0.00531029-0.00331821j -0.0454336-0.0221028j 
-0.101333-0.157472j 0.0195211+0.0580564j 0.0394841+0.0306347j 0.00884098-0.0245963j -0.0225915+0.0980474j 0.155909-0.0913651j 0.0342332-0.11238j -0.125255+0.0842225j 0.0571327+0.0343864j -0.0482881+0.159902j -3.62799e-05+0.0273219j -0.031862+0.0946333j 0.108057+0.0947631j -0.0423152-0.0874713j 0.108204-0.00764011j -0.0463964+0.115961j -0.243607+0.0115442j 0.0607969+0.207589j -0.100153+0.0287113j -0.028053+0.0330113j 0.094267-0.0100878j -0.0347843+0.00594624j 0.0411797-0.0103271j -0.0877577+0.00938217j 0.00524828+0.00607797j -0.0362059+0.00575392j -0.0354364-0.0511443j -0.0120345-0.00452378j 0.00168492-0.045944j 0.00531543-0.0196877j 0.0836168+0.0839379j 0.0205277-0.0315087j -0.00748789+0.0209246j 0.0194183-0.0265572j 0.0475607+0.0108929j 0.0484647+0.0255079j 
-0.0765274+0.0517334j 0.0725375+0.187871j -0.0855514+0.0496628j -0.0170407+0.0416845j -0.119052+0.0106211j -0.000504436+0.150774j -0.0426879+0.0745937j -0.0927562-0.0608921j -0.195881+0.131377j -0.0842257+0.0554056j -0.00162422+0.0557852j -0.0267503+0.0788468j -0.327409-0.141347j -0.0600886-0.000795974j -0.0399628+0.23435j 0.0537902-0.104509j -0.0864995+0.0453926j -0.0380626+0.140896j -0.00830745-0.0434131j 0.0200776-0.0434983j 0.0395472+0.0345043j -0.0253457-0.0730162j 0.00875636-0.0127728j -0.0266862-0.0270791j 0.0120157-0.00659673j -0.0298273-0.0144298j -0.00203005+0.0209368j 0.00249717+0.0219856j -0.0308307-0.00586331j -0.0251897-0.0129664j 0.0236345+0.014779j -0.0209647+0.0221122j -0.0129663-0.00995046j 0.00602986-0.0120137j 0.0294492+0.025009j 0.0510503+0.0464341j 
0.0193323+0.166267j 0.134572+0.0214066j 0.00672577+0.0320066j -0.0460728+0.00433592j 0.0961319+0.0741937j 0.0351419+0.0125849j -0.0758362+0.077827j 0.0446036+0.0682906j -0.00747309+0.161329j 0.173518+0.0210663j -0.0581743+0.0658788j 0.0569966+0.0218372j -0.145086+0.0413523j -0.0645429+0.0645707j 0.103064+0.0366083j 0.0251311-0.0370031j 0.0958864+0.144122j 0.0745157-0.147586j 0.047818+0.0299016j 0.0729026-0.0107062j -0.00732331-0.0815666j -0.0144329-0.0104264j 0.011621-0.00262913j 0.00993964+0.0538671j -0.0188595+0.0148446j 0.013375-0.0101606j 0.0302747+0.0118291j 0.0179482+0.00606218j -0.023697+0.00695122j -0.0129855-0.00221513j -0.018954-0.0475661j -0.0152049-0.00050097j 0.00651486-0.00726105j -0.0372901-0.0297793j -0.0200935-0.04338j -0.0094432-0.0376545j 
-0.100001-0.0044367j 0.0233318+0.107277j -0.0653896-0.0247577j -0.0445066-0.0103927j 0.000981114+0.0565542j -0.112776-0.0264961j -0.147474-0.0683593j 0.0402494+0.0522577j -0.107762-0.143308j 0.0712121+0.0800852j -0.0709613+0.00342763j -0.0218943+0.0209814j 0.046753-0.180256j -0.0649958-0.0268674j -0.0654795+0.0575855j 0.0707185+0.000920995j -0.0754009+0.120894j 0.0640341-0.0556972j -0.00381256+0.0576653j 0.010796+0.0247113j 0.00980492-0.0212196j -0.0310448+0.0292965j -0.00167732+0.00443557j 0.0117163+0.0281964j -0.00663827+0.00725795j 0.00938922+0.00472837j 0.00773746+0.00368585j 0.013542+0.00723537j -0.0104914-0.0462776j -0.00429943-0.0377133j 0.0143563-0.0276816j -0.00354668-0.0433215j 0.00832208-0.00332444j -0.00528306-0.0481699j 3.46937e-05-0.0285067j -0.00275626-0.000910941j 
