-0.0509698-0.0137719j 0.0664391-0.00247453j 0.239116+0.0163982j 0.0116284+0.0142348j 0.0156674-0.00773561j -0.10225+0.000990886j 0.0942821+0.0247424j -0.403245-0.00988492j 0.135464+0.0668019j 0.0213168-0.0352494j -0.0971564-0.0563875j -0.0644199-0.00405504j -0.112744-0.0477114j -0.0483105-0.0395894j -0.114701-0.10829j -0.0999518+0.059187j 0.137111+0.0869796j -0.0113334-0.063863j -0.0444184+0.0376563j 0.0360263-0.0566553j 0.00603478+0.0082351j 0.0918609+0.0380677j -0.130502-0.0430472j -0.0374245-0.0203863j -0.123724-0.0676114j 0.0261151+0.0168507j -0.0300572+0.00917062j -0.0431062-0.0480616j -0.0831205-0.0271702j 0.0607443-0.056244j -0.0942554-0.0496021j -0.034321-0.0136523j 0.0115101+0.0731483j 0.137779+0.0342245j 
0.0460521+0.0566789j 0.0782775-0.0439332j 0.109186-0.0952984j -0.0944527-0.0428032j -0.270482-0.00888593j -0.033066+0.0234053j -0.127624-0.090575j -0.169401-0.00212588j 0.0977895-0.080215j 0.0875652+0.0862079j -0.0325218+0.229104j 0.133159-0.0192906j -0.140028+0.108237j 0.0206981+0.110036j 0.0159298+0.275191j -0.0277073+0.225562j 0.00142876-0.152057j -0.029969-0.120784j -0.0358395-0.0202427j 0.015973-0.138602j -0.0109793+0.00123521j 0.0449112-0.0794709j 0.00301488+0.15167j 0.0142761+0.0494274j -0.0192879+0.126628j -0.00619906+0.0439684j 0.0247876+0.0205125j -0.0475849+0.0740805j 0.0393451+0.0793789j -0.0302016-0.0792602j -0.0224672+0.0594839j -0.0310263+0.0559169j -0.0108953-0.0234956j -0.0101271-0.158326j 
-0.0726131+0.0386405j -0.0109127+0.0577796j -0.0802229+0.082971j -0.141152-0.0116489j 0.262514+0.0254893j -0.248997+0.000132022j 0.136485-0.00412783j 0.268129+0.0420886j 0.167541+0.0623661j -0.0271688-0.0611732j -0.0913062-0.0727457j -0.233979-0.0549835j 0.0185843-0.0792797j 0.148909+0.200255j 0.119627+0.180471j 0.0915803+0.193159j 0.0618658+0.0255615j 0.164889+0.0567962j 0.137686+0.0988689j -0.0624677-0.0650682j 0.012245-0.045672j 0.0285556+0.0251724j -0.0724908-0.0106882j -0.0283009+0.0399845j 0.0259233-0.0705922j -0.0691875-0.0140508j -0.0201916-0.0260224j -0.0165017-0.0190774j -0.00991565+0.0421647j -0.046009-0.00396801j -0.0129478-0.0230394j 0.0363005+0.0501037j -0.00888698-0.0247843j 0.0147214-0.00970758j 
0.0246997+0.0179035j 0.00984881+0.0391856j 0.0251663+0.0885773j -0.0147511+0.024426j -0.155331+0.0297365j 0.125713-0.0297772j -0.0938862+0.00203014j -0.112559+0.0166104j -0.0359931+0.0893133j 0.0607707-0.0312492j 0.174117-0.268902j 0.124954-0.0825449j 0.0427606-0.143583j -0.138257+0.20176j -0.16435+0.241825j -0.106961+0.154337j -0.0359853+0.0852306j -0.0861316+0.134121j -0.0807649+0.104502j 0.0301041-0.059493j 0.00635404-0.0314562j -0.027146+0.051593j 0.0316036-0.118855j -0.0183254-0.0417026j 0.0646584-0.0303641j 0.017771-0.0958884j 0.0286532-0.0662301j 0.0410458-0.0182822j -0.0566437-0.0217346j 0.00505805-0.016122j 0.0182904-0.0189813j -0.00962513+0.0934654j 0.00736696-0.0414857j -0.0100489+0.0559538j 
-0.0595419+0.0328729j 0.0306712+0.074853j 0.0677146+0.0620557j -0.189179-0.0394557j 0.25185+0.0246319j 0.0520676-0.128967j -0.0414279-0.0174766j 0.00503873-0.0247398j -0.171129-0.332473j 0.192428+0.0877582j -0.0488707-0.113997j -0.0809855+0.0781502j 0.0696651-0.0121537j -0.100147-0.121861j -0.00536929-0.019862j 0.173956+0.268551j -0.0159416-0.00716573j -0.0881825-0.118063j -0.0129483+0.0494177j 0.109006+0.146641j 0.0124667+0.0287645j -6.49626e-05-0.0694246j -0.0682207-0.0207241j -0.0230701-0.0342574j -0.0166918-0.037196j 0.0257997-0.0418175j 0.0103423+0.00133323j 0.0516666+0.0189508j 0.0471403+0.0576771j -0.000775006+0.02829j 0.00300739+0.00020073j 0.0251665+0.0384862j -0.0141896-0.0243283j 0.00788968+0.0187074j 
0.021581+0.0986595j 0.00894882+0.0802897j 0.0452871+0.224587j 0.0336928+0.0189578j -0.0538381-0.0326608j 0.080522+0.00936133j -0.0217686+0.056411j 0.065901+0.0979653j 0.163339-0.0315944j -0.031483+0.0954987j 0.263532+0.233864j 0.00762159+0.0869336j 0.0782109+0.165356j 0.0258383-0.0915252j -0.107053-0.177803j -0.0685883+0.230965j 0.0965188+0.0766398j 0.121094+0.0974817j 0.025311+0.122003j -0.0498021+0.0849396j -0.00377331-0.0529689j -0.00117617+0.0449187j 0.0188561-0.0033442j 0.0337251+0.0134009j 0.0414578-0.013975j 0.0633543+0.0637029j 0.0214197+0.00932184j 0.0109471+0.0496214j -0.0529339-0.0112233j -0.0208772-0.00611333j 0.00243854-0.00149454j 0.0166916+0.0695147j -0.00190966-0.043169j -0.00091028+0.0254132j 
0.0213138-0.0746346j -0.0413876-0.0506064j -0.113203-0.0749255j 0.0529534-0.00378576j -0.167188+0.029323j 0.0636658-0.109964j 0.0344729-0.0380783j 0.0691536-0.0522183j 0.259435-0.24559j -0.172434+0.111442j 0.0326977-0.24726j -0.0128974+0.088239j -0.051425-0.0480503j 0.117358-0.0476785j 0.0199117+0.0543724j -0.212611+0.0302719j -0.0487501-0.0521255j 0.082146-0.197574j -0.0185354-0.078403j -0.119288+0.112039j -0.0363116+0.065899j 0.0543414-0.0115862j 0.0192367-0.100412j 0.0160767-0.0596233j -0.0022769-0.0431102j 0.0149031+0.000971589j -0.0166688-0.00699363j -0.0115109+0.034489j -0.0437513+0.0581065j -0.00226517+0.0159868j 0.00257657+0.00369685j -0.0219638-0.0210275j 0.0237617+0.0078887j -0.0105938+0.00853616j 
-0.0343304-0.236768j -0.0370607+0.0398914j -0.09306+0.182993j -0.0489624+0.0241122j -0.114771+0.0311911j -0.0440721+0.00884337j -0.0241129+0.046081j -0.0380059+0.11364j -0.0530636-0.0510056j 0.00389606+0.0858272j -0.198348+0.138796j 0.0559228+0.230507j -0.0464962+0.0212647j 0.0798655+0.364039j 0.0740857-0.159411j -0.10347+0.0335555j -0.0930021+0.101416j -0.116337+0.00523394j -0.0552876+0.0283042j -0.0136274+0.0559882j 0.0621195+0.00114526j -0.0530682-0.0589014j -0.0207567-0.0512165j -0.0268155-0.00506109j -0.00785587-0.0157108j -0.0464233-0.0639055j -0.0199761-0.00970025j -0.008923-0.0397287j 0.0150183+0.024072j 0.0168289+0.019649j 0.0128806-0.00714797j -0.0268214-0.000689371j 0.019825-0.00195888j -0.00757269+0.0500388j 
-0.0445152-0.169561j 0.0360781+0.199294j 0.202157-0.157625j 0.147652-0.0834426j -0.0112616+0.0490861j 0.00897639+0.0196343j 0.00631571-0.0279438j 0.0323854-0.046213j -0.043026-0.138441j -0.00271939-0.254374j 0.179814+0.126478j 0.0822139-0.0455276j 0.0750349-0.234664j 0.20711+0.154142j -0.16264-0.0970439j 0.061411+0.00199357j 0.0382954-0.0618802j 0.0330999-0.0761653j 0.0468872-0.0355808j 0.0229168+0.0321267j -0.0411113-0.0117583j -0.0287372-0.0642084j 0.0195058+0.0160895j 0.0113055-0.00640134j -0.0265711-0.0175155j -0.0214866-0.0597061j -0.00625971-0.0121175j -0.0252465-0.0186949j 0.0149309+0.0671389j 0.00487456+0.0172057j -0.00421671+0.00256028j 0.0042031-0.0112215j -0.0081883+0.00176258j 0.0208193+0.0077542j 
0.00363832+0.121802j -0.0230021+0.236112j -0.265922-0.0734294j 0.0434036-0.0869859j -0.105418-0.00951307j -0.0051193+0.014348j -0.0302138-0.0221311j -0.0286458-0.0516591j -0.0699142-0.0837154j -0.148264-0.221055j -0.110939+0.1368j -0.0864966-0.18217j -0.185561-0.121267j -0.00568714-0.175287j 0.0668446-0.0478146j -0.143801+0.136761j -0.0477602+0.0856901j -0.0817266+0.0969586j -0.0717524+0.104155j -0.0239077+0.0427076j 0.0472853+0.00336772j -0.0516105-0.0256323j -0.0152815-0.0198336j -0.0203702+0.0104195j 0.00626754-0.00406573j -0.0166194+0.0381378j -0.0132545+0.00676373j 0.0159658+0.0497774j 0.000402269-0.00167898j -0.00269946-0.0121225j 0.0140126-0.00387342j -0.0160321+0.0740505j 0.0187661-0.0529485j -0.0134656+0.0168392j 
-0.258704+0.126472j -0.189438-0.0589773j 0.0719884-0.00753158j 0.106172+0.0310211j 0.1218-0.0166172j -0.0300294-0.00831252j 0.0782599+0.00206298j 0.11106+0.00260137j -0.0191509+0.0293381j 0.176108+0.0863511j -0.0979419-0.0149203j 0.23946-0.0667065j 0.0942785-0.00735708j 0.311792-0.145503j -0.00912943+0.0654522j -0.113877+0.0385505j 0.00151485+0.0674125j -0.0908269+0.0682256j -0.0929442+0.00131307j 0.00805963+0.0161236j 0.021869+0.000940456j -0.0106912+0.0342128j -0.0530628-0.0174675j -0.0306889+0.00390924j -0.00198543+0.00975636j -0.0540914+0.0464237j -0.0155873+0.0120717j -0.0405532+0.0262925j 0.0140911-0.0384341j 0.0139504-0.0198703j 0.00580482-0.00197362j -0.0622835+0.0292815j 0.0457208-0.0171474j 0.0182369-0.0101358j 
0.192262+0.0128429j -0.265335+0.0920666j 0.0595096-0.0270965j 0.13947-0.0187511j -0.0778664-0.0267296j -0.0148487+0.00555503j 0.0156606-0.0179538j 0.0440462-0.0168233j 0.165445-0.0679948j 0.248813-0.079607j -0.17594+0.0317625j 0.0408167-0.10979j 0.221077-0.049125j -0.210108+0.049447j 0.156183-0.090816j -0.0592697-0.00584909j 0.0217865-0.0218692j 0.0520836-0.00289241j -0.0129265+0.0279575j -0.0643649-0.00476296j 0.00267911+0.00191818j 0.0763566-0.0471918j 0.0164948+0.0101729j 0.00774339-0.0022573j 0.0273699-0.020358j 0.0692455-0.0200467j 0.0138607-0.0116357j 0.0167892+0.00160132j -0.0749539+0.0220475j -0.0200697+0.00667356j 0.002011+0.00138368j -0.00502138+0.00591892j 0.0148507-0.0081106j -0.0311847+0.00988069j 
