0.061153+0.114662j 0.0594232-0.070627j 0.0657317+0.0264654j -0.0138885+0.0150739j -0.0115271-0.0604058j -0.008399+0.000259571j -0.0324645-0.00915311j 0.00936761+0.0471322j -0.0298782+0.0213677j 0.0471055-0.0617866j 0.0211956+0.0146315j 0.0202877-0.00417018j 0.0243315+0.0373045j -0.00367767+0.0162534j -0.0442265+0.0809527j 0.0971027-0.0720274j 0.0802624-0.181494j 0.0733623-0.00322934j -0.131326+0.150294j -0.0612205-0.000681411j -0.0565121+0.0345075j 0.0240179-0.00879567j 0.0183387+0.0322138j -0.0163415+0.0281246j -0.00884327+0.0178505j 0.0643785-0.0600759j 0.00393631-0.0246221j -0.0465173+0.0221904j 0.122728-0.104593j -0.0387949+0.072221j -0.0746903+0.0718759j -0.115967+0.0789684j 0.0699756-0.110481j -0.191656+0.0696047j 0.107309+0.0644236j -0.0312325+0.154539j 0.0210866-0.0406722j -0.0246614-0.0269785j 0.0823065-0.0652674j -0.0306542+0.00389402j -0.03339+0.0958399j -0.0283248-0.0029184j -0.0347932-0.00746255j -0.0129358-0.00768091j -0.00223827-0.0135894j 0.0168948-0.0530895j -0.0339794+0.029989j 0.00161908+0.00138421j 0.0219864-0.0278792j -0.0336747+0.0154425j -0.046593-0.00383237j 0.0139056-0.0247099j 0.00129509-0.0303749j 0.00473767+0.0126042j -0.00935796-0.0092802j 0.061259-0.00854539j 0.0257497-0.0357377j 0.0229415-0.0292127j 0.0570759-0.0263993j 0.0166485-0.0059028j 0.0453292-0.0521716j -0.0284775+0.0376781j 0.00739837+0.023799j -0.0248615+0.0299161j 0.0318895-0.01321j 0.0218307-0.0125492j -0.00206619-0.00808648j 0.00296242+0.0130371j 0.0118341-0.00882023j 0.00549797-0.00367533j -0.00286252-0.00432435j 0.00546642+0.00145941j -0.00132983-0.000444059j -0.00745654+0.020364j -0.0253993+0.000935813j 0.0108743-0.0193313j 0.0127065-0.00620155j 0.013164+0.00191626j 0.000607849-0.00722142j -0.00760941+0.00627142j -0.00891268+0.0166153j 0.00429326+0.00732993j 0.0188588+0.00476181j -0.0213656-0.00730524j 0.00732657+0.00492024j 0.0146632-0.0267056j 0.0285134+0.00452487j -0.0744492+0.110513j -0.0299306+0.0702226j -0.000759968+0.0137014j -0.0256133-0.00941685j 0.0508152-0.0105544j 0.0541867+0.0145278j -0.098279+0.0784715j -0.00302155-0.0566448j 
-0.122243+0.00160789j -0.11903-0.0131833j -0.0566647+0.113909j 0.156453-0.0765619j 0.040836+0.00134675j -0.031091-0.0322119j -0.0781789+0.156041j -0.0652932+0.0619845j 0.010222+0.154633j 0.226274+0.104736j 0.108194-0.0692086j 0.0360342-0.0552339j -0.0211918-0.0168173j -0.0619628+0.0521384j 0.0447552-0.173071j -0.0383546+0.139719j -0.10775+0.0125066j -0.0378681-0.015016j -0.00108605+0.0374002j -0.0648874+0.012801j -0.0767735+0.0399009j 0.0372898+0.0438753j 0.00637502+0.0245992j 0.00583913-0.0626278j -0.00734798+0.0694994j 0.0138295+0.0770472j 0.00953969+0.00556998j -0.00667962+0.0912885j 0.0239657+0.0263466j 0.00712599-0.0637943j 0.0261091-0.077624j -0.0481469+0.00059535j 0.026812-0.020762j -0.121573+0.118305j 0.0884261-0.103292j 0.0334519+0.00692643j -0.0288633-0.0108821j -0.00214826-0.00528104j 0.00539769+0.0293516j -0.00435694+0.0225872j 0.0158779+0.0512323j -0.017204+0.00059719j 0.00139389+0.00274479j 0.00322872-0.0104535j 0.0398474-0.00967579j -0.0114373+0.00495674j -0.00640941+0.0209946j -0.0110152+0.000777631j 0.043043-0.0205632j 0.00867091-0.0132886j 0.0180329+0.00265467j 0.00457207-0.00433998j 0.0108235-0.00127583j 0.00670069-0.02765j 0.00618793+0.00667194j 0.0359608-0.0205467j -0.011415-0.00887057j -0.00208647-0.0244816j 0.025715-0.00556473j 0.0053417-0.0113249j -0.00692141-0.0458482j -0.00899982+0.0209049j 0.00135754-0.0138051j -0.00376125+0.0149264j 0.0107341-0.0219677j 0.00488053-0.0184338j -0.00837431-0.00175989j -0.00620566-0.00782522j 5.76114e-05+0.00332667j 0.00475514-0.0082158j 0.00201099-0.00339244j -0.0098789-0.00218752j -0.0120715+0.0169636j -0.000391448-0.005745j -0.00277414+0.0179484j -0.00817127+0.0143584j 0.00600386-0.0104349j -0.00686749+0.00614514j 0.00473056+0.00328784j -0.0073774+0.0100527j -0.00463416+0.0174626j -0.0056164-0.00117669j 0.0120522-0.0167509j -0.0109324+0.0088155j -0.0091063-0.0123095j -0.00305753-0.0248285j 0.0084568-0.00279775j 0.00371043+0.0234203j -0.0100389+0.00482451j -0.0106438-0.00402868j -0.0220622+0.016206j 0.0105266-0.0221331j 0.0386884-0.010134j -0.0239127+0.0398027j -0.00866072+0.0263937j 
-0.0852162+0.0384914j 0.0518844+0.0368822j 0.0765416-0.0408354j 0.102236+0.0422963j -0.027044+0.0135934j 0.0647235-0.192855j -0.0461013+0.0950855j -0.0200571-0.102504j -0.0581201-0.132463j -0.151465-0.0457282j -0.0297551-0.0763814j 0.0826532-0.0522679j -0.0487207-0.0142226j 0.0653181+0.0595189j 0.0604551-0.00512316j -0.120713+0.0658343j 0.0394537-0.0632778j -0.0448131-0.09888j -0.0289061-0.0232688j 0.0525503-0.0829607j 0.0439265+0.0441414j -0.00129602+0.0274447j 0.0555414+0.0458458j 0.019942-0.0378026j 0.036041+0.0590351j 0.0985179+0.0383121j 0.0359876+0.0196241j -0.0425057-0.0572666j -0.0103561+0.0363641j -0.0105909-0.0338417j -0.015059-0.0465691j 0.0244426+0.00976649j 0.0165431+0.0472748j -0.0277991+0.0504443j -0.00369804-0.078267j 0.0446429-0.0045119j -0.0114907+0.0184612j 0.0172212+0.0225129j 0.0240893+0.00930473j -0.00546175+0.0331689j 0.0298475+0.0260084j -0.00378062-0.00396384j -0.0051543+0.00259335j -0.0242764+0.000707333j 0.00785849-0.00497333j -0.0112558-0.0206192j 0.00934977-0.0138599j -0.0411194+0.0156782j 0.0253909+0.00124116j -0.000638744+0.000367221j 0.00383745-0.00654873j 0.0174611-0.00742596j -0.00199096-0.00515361j -0.0088473-0.0351834j 0.0115662-0.00282817j 0.0093473-0.00318053j -0.00111371+0.0010492j 0.00256516-0.0103233j 0.0100614-0.0111078j 0.00535334-0.0213137j -0.0025165-0.0188913j 0.0130152+0.00745585j -0.00459692-0.0126669j -0.00293171+0.00295735j -0.00329741-0.00566912j 0.0106698-0.00130625j 0.0217683+0.0067832j 0.00390889-0.000175267j 0.00859184+0.0021177j -0.0114751+0.00320116j 0.0174415+0.0122295j -0.00480836+0.012678j 0.00270191+0.00337668j 1.42691e-05-0.0143235j 0.00260453-0.00488499j -0.0042239-0.00625326j 0.0136845-0.00493922j -0.00297547-0.0042322j -0.012306+0.00325281j -0.00549894-0.000561195j -0.0135489+0.0145666j 0.0133906-0.00337973j 0.00740958+0.0192498j -0.00477041-0.00229694j 0.0200705-0.00532295j 0.00303499-0.023826j 0.00605478-0.00497636j -0.00502369+0.0131785j -0.00293837-0.000820624j -0.0012104-0.0108446j -0.00409552+0.00324692j -0.00163994-0.0118436j 0.0239469-0.00513951j -0.0101657+0.00396374j -0.00858961+0.00556254j 
-0.0296343-0.152313j -0.0193003+0.000765843j -0.0160772+0.0439174j 0.0349933+0.159836j -0.0244084+0.0617833j -0.0386436-0.0732134j 0.0387099+0.039763j -0.0766629-0.151174j 0.0257028-0.116305j -0.0211354-0.107376j -0.088947+0.0858332j 0.0964913-0.0711204j -0.0408095-0.0529366j 0.000925823-0.0468829j -0.0786064-0.0151737j -0.100087+0.138254j -0.0518439-0.0423161j 0.0151029-0.098702j 0.0356276-0.0526166j 0.0666863-0.0106729j 0.00755565-0.0258222j -0.0409259-0.0138086j 0.021505-0.0173829j 0.0079882-0.00111775j 0.0170032+0.0579084j 0.022465+0.0302169j 0.00847967+0.0176478j -0.141341+0.0667059j -0.00198901-0.0390089j 0.0174239+0.0110898j -0.0204832-0.0591079j 0.0183892+0.00125408j 0.0207325-0.00565481j -0.0204049+0.0796654j 0.0140887-0.0516254j 0.0203173+0.0166798j 0.00448771+0.00041297j -0.00774705+0.0375512j 0.0425359+0.00357425j -0.00782043-0.00931673j -0.00342755+0.0281304j -0.0127938+0.0026057j 0.0114634-0.00626472j 0.00580176-0.00580929j -0.000416464+0.000156141j -0.00899003-0.00858052j -0.0107443+0.000298501j 0.0182728-0.00256296j -0.0146753-0.0235317j -0.0187129+0.014127j -0.00922526+0.0089747j -0.0141995-0.0111908j 0.00687642+0.00423299j 0.0049451-0.00516033j -0.011038+0.000734424j 0.00824048+0.00296585j -0.00506625+0.000187121j -0.00169002-0.00291838j 0.0069336-0.00395661j -0.00656568-0.00373298j 0.00366543-0.0175736j -0.00880404+0.00156354j -0.00558419-0.0205679j -0.0083275+0.0115933j 0.000694411-0.00961493j 0.00546639+0.00308235j -0.0145426+0.0164473j 0.00671524+0.00570382j -0.000585966-0.013291j 0.000381808-0.00433039j -0.00464957+0.000186527j 0.00890131-0.00237347j 0.017429-0.00218182j 0.00843817+0.000181778j -0.00557649+0.00572017j 0.00821703+0.0179179j 0.00357829-0.0132884j -0.00948289+0.00517664j 0.00273279+0.0061094j -0.00337777+0.00324184j 0.00298113+0.00843207j -0.00207025-0.000625257j 0.00211105-0.000266223j -0.00382881-0.00136353j -0.00597754+0.00274836j -0.00176605-0.0189487j 0.00200821-0.00254854j -2.71106e-05+0.0048581j -0.00968501+0.00394991j 0.011487-0.00324916j 0.000748559+0.00472414j 0.00819894-0.013518j 0.0173602-0.0126632j -0.012055+0.014534j 0.00108628+0.0179385j 
0.00551619-0.070618j 0.0648802-0.00424373j -0.00628751-0.0317315j -0.010922+0.114875j 0.0072316-0.00638474j -0.0478729+0.0561756j 0.0248717-0.0207188j 0.0261516+0.0131588j -0.0577444-0.00454271j -0.0223488-0.0238965j 0.0390189-0.0352853j -0.0563674+0.00952487j -0.081861-0.121459j -0.0175048+0.008116j 0.0215918+0.0330136j 0.0404692-0.0168908j -0.100371+0.0630914j 0.0968567-0.0698427j 0.0465494-0.0095709j -0.0430895+0.0629486j -0.0116876-0.0476151j -0.0399679-0.042052j -0.00781689-0.03032j -0.0283267+0.0280627j -0.00955597+0.0478693j -0.0969858-0.036865j 0.060715+0.0832454j 0.0119149-0.0318341j 0.0160443-0.152953j 0.0141411+0.102309j 0.119755+0.0352253j 0.0655609-0.0633697j -0.0391729+0.040397j 0.000683747-0.0102134j -0.0154216+0.0772484j -0.0176457-0.0892348j 0.0076196+0.00817844j 0.0162859+0.00964329j 0.0636334+0.0826904j -0.00178288-0.0373796j -0.0223521-0.0224617j -0.017273-0.00900916j -0.0110053-0.00946384j -0.0118099+0.0044131j -0.01925+0.00483867j 0.0079441+0.0175066j -0.00499672-0.00444724j 0.0255269-0.0158646j -0.024308+0.0228002j -0.0109597-0.00203601j -0.0249256+0.0057016j -0.0258994+0.00881086j -0.00739651-0.0170857j -0.000376914+0.0255704j -0.0158892+0.000755173j -0.0187417+0.0126123j -0.00185562+0.0178128j 0.00579654+0.0314291j -0.00246804+0.0469586j 0.00663811+0.0163913j 0.0253782+0.000399565j 0.0372841-0.0180345j -0.0308986-0.00369845j -0.000175275+0.00500719j -0.028218+0.038873j -0.00743046+0.00321598j -0.00278153+0.00336615j 0.00658099+0.00288584j -0.00953761+0.00101862j -0.000170125-0.0123834j -0.00550405+0.0105199j 0.00537595+0.0100603j 0.00214555-0.0116641j 0.00786756-0.00231018j 0.00285413-0.0169633j 0.00309884+0.0099348j -0.00365359+0.00210887j 0.00345022-0.012086j 0.00513905-0.00821846j 0.00626321+0.0112056j 0.0154817-0.0148026j 0.00278921-5.68586e-05j 0.000181514-0.0127486j 0.0260683-0.0524108j -0.00839193+0.0122574j 0.00910765-0.00766279j -0.0577731-0.00235027j -0.00640725-0.0131731j 0.0161136-0.0156062j -0.00585915-0.00655909j -0.00462011+0.0101943j -0.00148834+0.0175067j -0.00371872-0.0111442j -0.0242989-0.0595928j 0.000922522+0.0192476j 
-0.000610204+0.0273092j -0.00364832-0.000227753j -0.038655+0.00739913j -0.0214748-0.0813672j 0.0482127-0.0796194j -0.0126631-0.0243734j 0.0112022+0.0229492j -0.0291979+0.0793849j -0.0103078-0.163373j -0.0785788-0.108142j 0.0787182+0.0146169j -0.0765944-0.070327j 0.0684718+0.00534827j -0.0890457+0.023783j 0.0274502-0.0353987j 0.0784148-0.0385535j -0.00392083+0.0123699j -0.0880601+0.103974j 0.0168182+0.0634516j 0.00117844-0.00479714j -0.0101882-0.0385482j -0.0169088+0.0659722j -0.0340672-0.0911722j -0.04828+0.00776555j 0.0459201-0.0223672j -0.120597-0.0392229j 0.0416163-0.0556677j -0.0427948-0.0204545j -0.0250349+0.0125112j -0.0212901+0.0279905j 0.000103396-0.0369145j -0.08121-0.0417221j -0.0379212-0.0203513j 0.0117187+0.0071805j -0.0317252-0.0308608j 0.00705997-0.0290341j 0.00394254+0.00614363j 0.0119587-0.0098901j -0.0173221-0.0289408j -0.0146409-4.48626e-05j 0.00681476-0.012979j -0.00531247+0.0162373j -0.0024163+0.00532398j -0.00652687+0.0120063j 0.00186051-0.0042013j -0.0030564+0.0367218j -0.0214109+0.025756j 0.0648411-0.00080023j -0.0616631-0.00235893j 0.00952947-0.00372063j 0.0213236+0.0157776j -0.0324722+0.0137671j -0.018386+0.0353431j 0.0132851-0.00142836j -0.0164146-0.000548708j 0.00691958-0.00775397j 0.00428689-0.00621143j 0.0274166-0.00768334j 0.00767138-0.00452692j 0.00764378+0.00230977j -0.0175517+0.0121297j 0.00442322+0.010273j 0.00229986+0.00320891j 0.00389217+0.0147073j 0.0107744-0.0342388j -0.00470007+0.00383052j 0.00186022+0.0167065j 0.00496842-0.00955617j -0.0166641+0.0081132j -0.000494127-0.0151835j -0.00392285-0.00128921j 0.00744027+0.00666124j 0.00629296+0.00935351j -0.00373453-0.00740738j 0.00393198+0.021842j -0.000253503+0.00435152j 0.000756738-0.0104265j 0.00359945-0.00236524j 0.0285013-0.00296353j 0.000448336-0.01148j 0.00372411+0.00656674j -0.000701581+0.00547601j -0.0090576-0.0159974j -0.0161398+0.0300537j -0.020767-0.00528767j -0.0290099+0.0439516j 0.007921-0.00202789j 0.0222736-0.0267443j 0.0144357-0.0125389j -0.0017434-0.00390206j 0.00860454-0.00957304j -0.000952851+0.0039808j 0.00309461-0.00721879j 0.0243739+0.01325j 0.00659098+0.0206858j 
0.0193508+0.00802586j -0.0167733-0.0824066j -0.00653745+0.0207833j -0.0606487+0.0188943j 0.0323613+0.0198777j -0.0152757-0.0102279j 0.0365485-0.0339733j 0.0790937-0.0167223j 0.0231263+0.0985878j 0.0353113-0.00406522j 0.090567-0.00298176j -0.0112082+0.00117041j -0.0104132-0.0259471j -0.0115001+0.0361482j 0.108307-0.155699j -0.0354753-0.0314111j -0.0380188-0.0492137j 0.0467325+0.106725j 0.0206468+0.0841005j -0.070346+0.000130344j 0.0136844+0.0388914j 0.0272449+0.0310975j -0.0517474+0.226252j -0.034241+0.162224j -0.0567465+0.000236748j 0.0133753-0.0018611j 0.0782226+0.062416j 0.10192-0.0189965j 0.0199618+0.113448j 0.0443656-0.00994082j 0.141776+0.0460493j 0.108949+0.0369667j 0.0985893+0.121364j -0.0732411-0.0776444j 0.0411309+0.000276521j 0.0107315-0.0210551j -0.0146814-0.0234901j -0.0187796-0.000701388j 0.0176268-0.0120836j -0.00567557+0.062535j 0.0121812-0.00114282j -0.00968429+0.0145769j -0.00289763-0.00909625j -0.00505803+0.018477j -0.0162552+0.013733j 0.0031618+0.0147126j 0.0430067-0.0586718j -0.0439106+0.0426364j 0.0389685-0.0286585j -0.0171397-0.0277066j -0.0156177-0.0524875j 0.00727382+0.0232284j -0.00736113+0.0490923j 0.00321652-0.050028j 0.0148448-0.0281043j -0.0245546-0.000367357j -0.00491095+0.00708706j 0.0022828-0.0372365j 0.00154792-0.0206638j 0.0200032-0.0263077j -0.00564841-0.00393764j 0.0203067-0.0356204j -0.00871805+0.0352636j -0.00343679+0.0194094j -0.0108776+0.0479045j 0.00323179+0.00306059j -0.00377579-0.0107334j -0.00454815+0.0104311j 0.00989573+0.00637734j 0.00594122+0.0212624j 0.00846932+0.00472778j -0.00502506-0.0156553j -0.028748-0.00554899j 0.0255889-0.0114537j -0.0143323-0.0164953j -0.00690514-0.015621j -0.00556188+0.0199481j 0.0158353-0.0295626j 0.00417842-0.0156318j 0.00565764-0.0232884j 0.001096+0.00201557j -0.00534185+0.0148237j 0.00338707+0.0196672j 0.0123597+0.0353141j 0.0270213-0.0506646j -0.00866279+0.00306802j -0.00129811+0.0127917j -0.0172952+0.0101567j 0.0271696-0.0311382j 0.00583245-0.0147601j -0.004071-0.000504573j -0.0106639+0.0140133j -0.00255611+0.0353054j 0.0285675+0.0162958j -0.00992566-0.0206909j 
-0.038088-0.0193843j 0.028539-0.0885385j -0.00344094-0.0533672j -0.0316423+0.0310337j 0.0402456+0.0642191j 0.020067-0.104895j -0.0452506-0.0581513j -0.0368079-0.0965953j -0.0346985-0.00458079j -0.0442533-0.0499727j -0.043558-0.0109172j 0.070242-0.0578612j 0.0888461+0.0154331j 0.00845347+0.0484064j -0.0946048+0.0101445j 0.0300229-0.0498698j 0.0479701-0.0361083j 0.0218863+0.0820364j 0.0475348+0.0262402j -0.0154903+0.0708191j 0.0208745-0.0520862j 0.0238661+0.051306j 0.0022386+0.0357888j 0.0385701-0.0102222j -0.0126554+0.00730034j 0.073128-0.100522j 0.13952-0.0502217j -0.0206048-0.0103449j 0.050563-0.0143253j 0.159126-0.0897311j -0.0155742-0.00810828j 0.19283-0.0672665j 0.101528-0.0808023j -0.017885+0.00891968j -0.0326368-0.0339627j -0.0169695-0.0110057j -0.0010206+0.00112409j 0.00198153+0.0137825j 0.021237-0.0128827j -0.000206963+0.0260588j -0.0330859-0.0142595j 0.0196409+0.00898063j -0.00142258+0.0264025j 0.0144527+0.0120947j -0.0128465+0.0204101j 0.0532285+0.0279613j -0.00956958-0.0187999j 0.0291557+0.0150162j -0.0741386+0.0240701j -0.0526051+0.0334827j -0.0635269+0.0595211j -0.0102105+0.00510135j 0.0465367-0.00188505j -0.0076098-0.013998j -0.0619688+0.0153316j -0.0301287-0.0276463j -0.00541544+0.00548026j -0.0324824-0.000491684j -0.0311506-0.0282976j -0.0326361-0.00359774j 0.0317956-0.0179951j -0.0121303-0.0119235j -0.00965932+0.00639586j 0.00567294+0.00321943j -0.00757606+0.019859j 0.00992393-0.00551883j 0.00248503+0.00450751j -0.0121618+0.000995892j 0.0074133-0.0167169j 0.0078645-0.0227464j -0.00591319-0.00464823j -0.00899945+0.0128075j -0.00707609+0.0122527j 0.0140721+0.00465638j -0.013359+0.0299509j -0.0225371+0.0145016j 0.0169789-0.0101753j 0.00135182-0.00256563j 0.0151778+0.0300025j -0.00308798+0.00316308j 0.0484216-0.0256863j -0.0113163+0.0148794j -0.015438+0.0148674j 0.0493452-0.00906588j -0.0196526+0.00649278j 0.0154243-0.00853301j 0.00620892+0.00311955j -0.0232577+0.0304416j 0.00236408+0.0134607j 0.00448304-0.0150721j -0.00928446+0.032157j -0.021976-0.00873466j -0.0242246-0.0141301j 0.00731077+0.0493957j 0.0668334+0.0299452j 
-0.107386-0.0269112j 0.0694627-0.0227503j 0.00285692-0.0379466j 0.0205685+0.000703493j -0.0761066+0.0635952j 0.116886+0.0281892j -0.033141-0.0618699j 0.0976237-0.0297659j -0.0329462+0.0637976j 0.0587484+0.0450297j 0.00226686-0.072992j -0.0345-0.0711305j -0.0116768-0.0323615j -0.00111262+0.091868j 0.07188-0.0206476j -0.0274521-0.0305855j 0.0650913-0.186348j -0.119717+0.058576j 0.0462956-0.00087948j 0.00511371+0.0558905j 0.00976765-0.0194859j 0.0955562-0.0749251j -0.0631716+0.0142759j -0.0454904+0.0976893j 0.00117633-0.0393835j 0.0205336-0.0820214j 0.132569+0.154661j 0.0575495-0.033191j -0.118926-0.0984788j 0.0704598+0.182312j 0.0130289-0.0959677j -0.0991281+0.171653j -0.0154921+0.0112366j 0.0537965+0.127153j -0.038868-0.0531691j -0.0384363-0.0104569j 0.0218061-0.0121245j 0.013059+0.00561062j -0.0197088-0.0510719j -0.0154426+0.007068j -0.0138897+0.00164513j -0.00400702+0.0221652j 0.0165673+0.0171468j 0.00201966+0.0245911j -0.0200717-0.010886j 0.0220948+0.0603457j 0.00409598+0.0293808j 0.00320759-0.0258665j -0.0397213-0.000920369j -0.00279053-0.0307305j 0.0203171-0.0563564j -0.00350467+0.0283082j 0.00860098+0.0223637j 0.014039-0.0290051j -0.0022445-0.000565436j -0.0277048-0.00164419j 0.00506792-0.0102918j 0.0119249+0.0116767j 0.00746304+0.00997862j -0.000861726+0.0160524j -0.019414+0.0274906j -0.00752694+0.00255306j 0.00633078-0.00576097j -0.00878465-0.0030364j -0.00379615-0.0289044j 0.00934257+0.00882706j 0.00765593-0.00360633j -0.0170491-0.0310531j 0.00523206-0.000552663j -0.00329064+0.00496511j -0.00445647-0.00556281j -0.00396088-0.00665377j -0.0166767+0.00738914j 0.00954574+0.0128846j 0.00513426+0.0103089j -0.00681608-0.00190657j -0.000776889+0.0047653j 0.00484527+0.000132587j 0.00766146-0.00903355j -0.014934-0.00422538j 0.00164913-0.00849851j 0.000876473+0.0136912j -0.00311874+0.00131391j -0.00883575+0.0258081j 0.00742576-0.00727929j -0.0284963+0.0239692j 0.0099335+0.010435j -0.00953901+0.00655559j 0.005123-0.0318846j -0.00412431-0.00146379j 0.0107789-0.00959981j -0.0128898+4.24241e-05j -0.0185041+0.0223364j 0.0303104+0.035611j 0.027393-0.00981384j 
-0.00749098+0.0543404j 0.0887483-0.0193453j 0.0268695-0.0686424j 0.0114787-0.0165889j 0.0141052-0.0808425j -0.00159737+0.0520208j 0.0423703+0.0375144j -0.0621455-0.0503733j 0.0790426+0.0821258j -0.0338857+0.0614159j 0.018701-0.115186j -0.0683588+0.00790986j 0.0474023+0.0258453j -0.00589944+0.020503j -0.0174493-0.0241709j 0.292265-0.101669j -0.0692415+0.154024j -0.0241379-0.0411102j -0.0603295-0.0116334j -0.170276-0.051249j 0.0419002+0.0758322j 0.0616676-0.0558462j 0.0258519-0.00963351j 0.0407096+0.0407697j -0.0137504-0.113807j 0.0432324-0.0873214j -0.0182071+0.0458457j -0.057298-0.0637016j 0.0782479+0.0354641j 0.0129114+0.0205712j 0.00960782+0.0641875j 0.117751-0.0284887j -0.013003+0.118687j -0.0674312+0.0527704j 0.0170405-0.0349367j 0.0895793-0.166608j -0.00908377+0.00599799j 0.00107783+0.0140811j 0.027347+0.045008j 0.0400261+0.0138577j 0.0296752-0.0714602j 0.00593831-0.0109418j -0.00784861-0.00298356j 0.0145878-0.00035699j 0.0250163+0.00918733j 0.022061+0.00527542j 0.0305175-0.066283j -0.0782136+0.0100097j 0.108512-0.00208744j 0.0133984-0.0181928j 0.00478229-0.0269753j 0.0555164+0.0142596j 0.0276968+0.0251226j -0.0472239-0.00610906j 0.0159656+0.0304364j 0.0118073+0.00590334j -0.00264092+0.0217943j -0.00872444+0.011505j 0.00711124+0.0126946j -0.00277481+0.0149109j -0.0188942-0.0110013j 0.022756-0.00338223j -0.0140864-0.00552801j 0.0248653-0.00402497j -0.0096666+0.0205739j 0.0184717+0.00738162j 0.000181136-0.0082565j 4.41239e-05+0.00414974j 0.0111451-0.00665217j 0.00156219-0.00206306j 0.00531357+0.00125082j -0.000817911+0.0144122j 0.00249444-0.00355641j 0.00783611-0.00230391j 0.00154401-0.00587915j 0.03117+0.00269293j 0.00689257-0.00720255j 0.00198113+0.00301011j 0.0145381-0.0170387j 0.0173252+0.00753029j -0.041571-0.00153429j 0.00636868+0.00353993j 0.0380304-0.0129834j 0.000913474+0.0197091j 0.0111951-0.0256863j 0.00618095+0.0230652j 0.00464432-0.0172357j 0.00135114-0.0464367j 0.0067036-0.00179056j 0.00219995-3.9905e-05j -0.0189878+0.0154584j 0.0074954+0.00871992j 0.0256122-0.00744906j -0.00739143-0.0422049j -0.0178397+0.0170728j 
-0.00812479+0.00662448j 0.0364643-0.0295144j -0.0557801+0.0483594j -0.0602631-0.0333216j -0.0371966+0.00665699j 0.104552-0.00442198j -0.0793687-0.0438772j 0.0392987+0.0402333j 0.00305175+0.0349998j -0.0268401+0.00960829j 0.0340399-0.0116232j 0.0315363+0.130993j 0.0993552-0.0091911j 0.0242252-0.0855993j -0.0206986+0.0621741j 0.0270666+0.0732765j -0.0427331+0.0154925j -0.0164101-0.0898217j -0.0728657+0.0223106j 0.0198175+0.00619811j 0.0219838+0.061276j -0.128442+0.0619223j -0.0820971-0.0654107j -0.016521-0.0227863j 0.0171188+0.0666179j -0.00698078-0.142466j 0.0888365-0.0842788j -0.10397-0.0323346j -0.113253-0.00607844j -0.0655712+0.0215736j -0.10149-0.0349061j 0.158482+0.195458j 0.0427904+0.0116124j -0.0789939+0.0352768j -0.0862999-0.0912184j -0.0528951-0.0114512j 0.0190226-0.00558192j 0.00212214+0.0182444j -0.0536288-0.0169717j 0.0150512+0.013411j -0.0734397+0.0142112j -0.0102594-0.014695j 0.00136143+0.0137775j -0.00319163-0.0171702j -0.00882495+0.0426848j 0.010732-0.0698358j 0.0448146-0.0502564j -0.0456728+0.0362046j -0.00283364+0.00903318j -0.0139167+0.0861914j -0.0298543+0.123488j -0.00368944+0.0173871j -0.0318431+0.00263039j 0.00215378+0.00254981j 0.0330382-0.0146127j -0.0188332+0.0193032j 0.00162407+0.0113049j 0.0054381-0.000720713j -0.0100585-0.0231258j 0.0073833-0.0173928j 0.0570992-0.0145074j -0.0179796+0.0103008j -0.000868535+0.00378081j -0.0129386+0.00677221j -0.00351544-0.0147439j 0.0231368-0.00249123j 0.0106774-0.00602812j -0.0151351-0.0205804j 0.0204234-0.014549j 0.00115295-0.00588853j 0.0263021-0.0149882j -0.02099+0.0173562j 0.0180076+0.00929699j 0.0111148-0.0143089j 0.0297463-0.00145986j 0.0125269+0.00329383j 0.000409397+0.00567126j -0.00164397+0.00332973j 0.010373+0.0334537j 0.00720913+0.00484189j 0.0188326+0.000678771j 0.0118041+0.00797263j 0.000235501-0.00267702j 0.0136778+0.000169649j -0.00917766+0.00687653j 0.0143715-0.0353114j -0.0150192-0.00796781j -0.0224851+0.0311999j -0.0136855+0.0186241j 0.00155056+0.00216317j 0.00203602-0.00497711j -0.00631626-0.0236745j -0.0152612-0.0173226j 0.00299438+0.0136425j 0.0118869+0.00604034j 
