-0.0774636-0.0769725j -0.0702403-0.14942j -0.0428703+0.00734733j -0.0915752-0.20521j -0.175949+0.0564307j 0.0114659-0.0517785j -0.0805845-0.0149129j -0.022515-0.00245458j 0.0650116+0.0710125j 0.0560073-0.0232711j -0.138531-0.170371j -0.103162-0.0511734j -0.0320206-0.00713696j 0.00210608+0.00296285j 0.0413928+0.0446326j -0.000228167-0.00613372j -0.00539572-0.00854647j 0.00506861+0.0141536j 0.00746081+0.017373j 0.00180754+0.0136111j -0.00902095-0.00525907j -0.000585123-0.00313984j -0.00108991-0.000339328j -0.00549046+0.000564067j 0.00734189-0.000133498j 0.0102374+0.0146702j 0.0347127-0.0035149j 0.0103978-0.00748242j -0.0119926-0.0123954j -0.00735164+0.032379j 0.0159069+0.0113937j 0.0467381+0.0413776j 0.0734038+0.0312894j 0.0135784+0.0674405j 
0.191645+0.119587j -0.185503+0.290286j -0.0358562+0.00867265j -0.115118+0.0796118j 0.0860974-0.0019243j 0.0710114+0.134724j 0.0195524-0.0851141j -0.0184569-0.0241188j -0.0372108-0.00255983j -0.000112795+0.0145169j 0.0486752+0.0498334j -0.00994757-0.0618224j -0.01182-0.0558275j -0.0507064+0.0102352j -0.00196546-0.0116635j 0.0241428+0.0280164j -0.0100097+0.00133224j -0.0107247-0.00682145j 0.0262162-0.0153768j -0.0354592-0.00444265j 0.00534634-0.0112063j 0.0117438-0.00280193j -0.00618834-0.00241305j -0.00158427+0.0061847j 0.000285466+0.000459555j -0.00452075+0.00244197j 0.0057048+0.00270687j -0.00293011-0.00142447j -0.00434816-0.00786054j -0.00475827-3.69783e-05j -0.0043412-0.00484944j 5.63304e-05-0.00764981j -0.000889047-0.0102321j -0.00341259+0.0167733j 
-0.105975+0.0823683j -0.0860364-0.00325743j 0.0282669+0.00997556j -0.104298-0.0970827j 0.0611555+0.195146j -0.00150129+0.132809j -0.00295357-0.193134j -0.0468435+0.000186342j -0.00063281+0.164364j 0.0353317+0.039034j 0.205927+0.0484142j -0.159197-0.265897j 0.00971591-0.0700919j -0.0119495+0.00384074j -0.0520362+0.053647j -0.014354+0.00242311j 0.0205026-0.000868367j -0.0356425-0.0197982j -0.0221581+0.00800549j -0.0315516-0.00664544j -0.0100089-0.00896744j -0.0251711-0.00300099j -0.00257016+0.0193482j -0.00307309+0.00902826j -0.0310488-0.00302617j -0.0234283-0.00629725j 0.0382782+0.00556318j -0.0198113-0.0237834j -0.085755-0.0722228j -0.0376322-0.0188752j -0.00329472+0.00992643j -0.0156588+0.0116013j -0.00862685-0.00366565j 0.0244823+0.0743908j 
-0.0572691+0.0265974j -0.0200736-0.00273716j 0.0421697+0.00858346j 0.0786742-0.012458j 0.0525922-0.044824j 0.0775282+0.0412104j -0.0246114-0.107757j -0.0481106+0.0684141j -0.0426833+0.064433j 0.103837-0.0381156j -0.303856-0.0439634j -0.138145+0.00893498j -0.0717354-0.0447477j 0.00506229+0.014428j 0.0434017+0.0636856j 0.00345735+0.0152446j -0.027673-0.00175688j 0.00821036+0.010043j 0.00549052+0.00763509j 0.0100932+0.0179141j 0.00546345+0.00531156j 0.00917308+0.0131319j 0.0165148+5.56252e-05j 0.0138042+0.0161282j 0.00242514+0.00488523j 0.00259769-0.000713923j 0.00287812+0.00284811j -0.00395454+0.000791604j -0.00169155-0.00207336j 0.0144027+0.0112752j 0.0190264+0.00484738j 0.0808535+0.0516707j 0.04851+0.0282631j 0.0113614+0.0643951j 
-0.072897-0.0432139j 0.0243845-0.064714j 0.0342497+0.0766763j -0.001378-0.0575079j 0.0481663+0.0120174j -0.0113322+0.140994j -0.00746425-0.00393169j -0.256462+0.115725j -0.00919149-0.197736j 0.0400126+0.127762j -0.0763286+0.358381j -0.208539-0.0903921j 0.0300933-0.0615327j -0.0182408-0.00634399j -0.040924-0.0697917j -0.00181607-0.0211655j -0.0239642-0.00432203j -0.0206128-0.0706597j -0.0326467-0.044595j -0.0342885-0.0470594j -0.0041797-0.0222158j -0.0194067-0.0346303j 0.014937+0.0387055j -0.0026711+0.0310571j -0.00841685-0.0157809j 0.00831915-0.0176139j 0.000845049+0.0272818j -0.0170347-0.0137518j 0.0134426-0.0521732j 0.0455981-0.00271742j 0.00479433-0.000353628j 0.0192747-0.0330004j 0.00979308-0.0295573j -0.00486188+0.0838042j 
-0.0139409+0.00647548j -0.0459783-0.0371449j -0.0186117-0.0898015j 0.0518962-0.00306257j -0.0327741+0.0239744j -0.0217196+0.0463502j 0.109812-0.150471j 0.265871-0.177988j -0.203657-0.0121502j -0.00656898-0.156445j -0.0715287-0.15429j 0.414722-0.00983872j -0.00446447-0.034828j 0.0247649+0.0101329j -0.0403146+0.0584968j -0.0127319+0.00563744j 0.0459981+0.00236387j -0.019621+0.00402795j 0.0097497+0.0129274j -0.00338622-0.00271097j -0.00997558-0.0095488j -0.0122394-0.0154757j -0.00695307-0.0275996j -0.0188479-0.0429725j 0.0327712-0.00779218j 0.0212026-0.00330182j -0.0104964-0.0101313j 0.0394652-0.00991937j 0.0753983-0.00023371j -0.0778386+0.00771707j -0.00934405-0.00607159j -0.0165106-0.00996168j -0.00553428+0.000627241j -0.0540055+0.0356507j 
0.00641456+0.0424468j -0.0759815+0.0340688j 0.0225781+0.0183261j -0.0105815-0.0425716j -0.0112672-0.0375951j 0.0249999-0.0904026j -0.327275+0.0883683j -0.0582443-0.0565477j -0.289048+0.0402424j -0.0246739-0.00649858j 0.0676822+0.160811j 0.205499+0.0169187j -0.0158306+0.096263j 0.0211123-0.0195502j 0.105269-0.0562255j 0.0270154+0.00163209j -0.00777828-0.035114j -0.0167723+0.0111282j -0.0109297-0.0130598j -0.0174439-0.000980132j -0.0074833+0.00388722j -0.00664144-0.0101302j 0.0447376-0.0188802j 0.0156679-0.0110604j 0.0299262-0.0145429j 0.0257646+0.0036669j -0.0300733+0.010942j 0.0140622-0.011608j 0.0820472+0.0313393j 0.0354787+0.0207943j -0.0129217-0.00543253j 0.0169071+0.0219836j 0.0145739+0.00907007j -0.0290989+0.0146473j 
-0.0377623-0.104196j -0.022095+0.0156252j 0.0385207-0.0352524j -0.0111575-0.0209066j 0.0322876-0.00634219j 0.0306975+0.145565j -0.205412+0.118444j -0.151822-0.373987j -0.0405169-0.35185j -0.221424+0.00713467j 0.122826-0.294193j 0.0170516-0.198304j -0.0224975-0.073966j 0.00638366-0.00310784j 0.0600963-0.0525988j 0.0185354+0.012849j -0.0182937-0.128627j 0.0112209-0.048645j 0.00528719-0.0631869j 0.00259097-0.0235322j 0.00509038-0.018974j 0.0220991-0.0378288j 0.0241931-0.00795954j 0.0459534-0.0165368j -0.0045608-0.0184196j -0.0111138+0.00732178j 0.0213684+0.019504j -0.00854396-0.0337995j -0.0472958-0.0127582j -0.0416764-0.015101j 0.0052116+0.0122637j 0.0117539-0.0151557j 0.0104746-0.0106935j -0.0114428+0.0299208j 
0.00793113+0.023354j -0.0224084-0.0218327j -0.0149032+0.000896696j -0.0144194-0.0215429j -0.00216313+0.0318823j -0.0786891+0.0132036j -0.0093407+0.0446686j -0.020589+0.0310807j 0.206514+0.000241902j 0.0288753+0.0521061j 0.0643427-0.0836134j -0.0996275+0.00349463j 0.0773976-0.00199219j -0.0157389-0.00252992j -0.0334652-0.0494635j -0.00339923-0.0179584j 0.00226853+0.0175384j 0.0260858-0.0211492j 0.0106729-0.00368848j 0.00978027-0.0182521j 0.00743869-0.00578971j -0.000913314-0.0115059j -0.030442+0.0113608j -0.0253704-0.0103528j -0.00479586+0.00928773j 0.00910208+0.00608226j 0.00301734-0.015155j -0.00292529+0.00456689j 0.0269151+0.0250877j 0.000580011+0.0192106j 0.00429783-0.0126248j 0.0241903-0.0394188j 0.0127303-0.0239527j -0.00808343+0.0105811j 
-0.0362338-0.0720657j 0.0195472+0.0407413j 0.0440827+0.0261153j -0.0169227-0.0234444j 0.00604869+0.0140306j 0.0148057+0.141898j 0.0560781+0.202079j 0.194471+0.0562521j 0.0538446+0.40334j 0.152956-0.370493j -0.24825-0.0194739j 0.0263411-0.268131j -0.0394242-0.123117j 0.00983691+0.00498293j 0.00335607-0.0812463j -0.0109796-0.0324987j 0.0562812+0.000239724j -0.0253375+0.0136514j 0.0098806+0.0165307j -0.00959453+0.015294j -0.00697204-0.00292784j 0.00826493+0.0105497j 0.0498027-0.000915617j 0.0295109+0.0135347j 0.0310462+0.0184498j 0.0100284+0.00362627j -0.0175993+0.00149794j 0.0235754+0.0245837j 0.0160969+0.0231214j 0.0056457-0.0644703j -0.00174064+0.0200631j 0.0107266+0.00330263j 0.00955043+0.00485122j -0.0103101+0.0369848j 
0.069501+0.0192052j 0.00247774-0.00594199j -0.0199137+0.0102954j 0.0214513+0.03115j 0.00564073-0.0183855j -0.150309-0.0192615j -0.0702778+0.16308j -0.00686142+0.00357412j 0.196677+0.0488j -0.0388701+0.0704489j 0.410061+0.0772089j 0.0310968-0.0968329j 0.137093+0.0187808j -0.0229394-0.0169664j 0.0137226-0.118285j 0.00772183-0.0178765j 0.0577999-0.0202388j -0.0568852+0.0158862j -0.0326869-0.0045085j -0.0560735-0.00669787j -0.0225409+0.00310006j -0.0439452-0.011194j -0.00700646-0.0125867j -0.025503-0.0149157j -0.0111412-0.0124014j -0.00478437-0.000420649j 0.00588961+0.00173922j -0.00238001-0.0116268j 0.00631647+0.00910595j -0.00128176+0.0366987j -0.00692384-0.00547474j -0.0220026-0.00719296j -0.0173542-0.0090551j 0.00837853+0.0124098j 
0.17131-0.0227924j -0.0147153-0.00111255j -0.00188794-0.0460838j 0.00786956-0.0274113j 0.00969758+0.00582627j -0.291523+0.0316971j -0.104851-0.229352j 0.0116338+0.153528j 0.27141-0.0321548j 0.321464+0.215997j -0.0922531-0.0797113j 0.0101772-0.0369916j 0.226152-0.084542j -0.0336727+0.014036j 0.05117+0.11493j 0.031694+0.0166375j -0.0821456-0.000954959j -0.0141227-0.00619625j -0.0110494+0.0111477j 0.0167593+0.0192704j -0.00369815-0.00756111j 0.00479206-0.00932833j 0.0191238-0.0275126j 0.0133748-0.0317606j 0.00338268-0.00522692j 0.0197502-0.00650849j 0.000556096+0.00067823j -0.0156947+0.0147796j 0.0335305-0.0123521j 0.0110711-0.0347061j -0.00774508+0.0182279j -0.0116306+0.027593j -0.0104553+0.0204899j 0.00013874-0.00510174j 
0.00719388+0.100806j -0.00655861+0.0866078j -0.00251441+0.0181145j -0.00571749+0.0483688j 0.00912252-0.0258631j 0.0877031-0.142849j 0.0978312+0.275211j 0.0430949-0.0803754j 0.0702766-0.040467j -0.199877-0.10348j -0.00627132-0.194888j -0.0327143+0.214533j -0.105661+0.0396357j 0.00854894+0.0120395j 0.003706-0.0453427j -0.0107245+0.0108251j 0.0349321-0.0118551j -0.0261038+0.0117609j -0.00552265-0.0132524j -0.0219744-0.00497878j -0.00592873+0.00843908j -0.0104594+0.003453j 0.00600779+0.00161456j -0.0108794+0.00720057j 0.0131309-0.00343725j -0.00374154-0.00283053j -0.023028+0.000507906j 0.0200244-0.0105359j 0.0195868-0.0150375j 0.0115828+0.0169689j -0.00669521-0.0102166j -0.0284133+0.0154597j -0.0143824+0.00845228j 0.0197597-0.0374096j 
-0.0214545+0.0291288j 0.0278473-0.0300678j 0.00250721+0.0207729j 0.0307317-0.0288477j -0.0259815+0.00890936j 0.0786029-0.0110938j 0.341839-0.105683j 0.103854+0.0392597j 0.0912103+0.0717251j -0.0337984-0.0697895j 0.00651618-0.0751074j -0.106242-0.00464671j -0.0454095-0.0934581j -0.0168294+0.022684j -0.0492203+0.00704744j -0.0158699+0.00796803j 0.0243651-0.00625817j -0.00614935+0.00817977j 0.00362186+0.00270098j -0.000468879+0.000615177j -0.00094193+0.00333473j -0.00056768+0.00199715j -0.0210353+0.0120842j -0.0124677+0.00751237j -0.00549674+0.0110574j -0.0086106+0.00242187j 0.000865075-0.0125985j 0.010866+0.006746j -0.0136216+0.00444106j -0.00418364+0.0109988j 0.0072846-0.00399768j 0.00533405-0.00269648j 0.00013897+0.00153458j 0.0193135+0.000456803j 
0.0795753-0.121783j 0.0435254-0.00191266j -0.00670788+0.00234099j 0.0131889+0.0111635j -0.0110308-0.0283968j -0.144907+0.218917j 0.183765+0.0933562j -0.0273782+0.0258423j 0.113845-0.294954j 0.0514304+0.00388839j -0.107743+0.215752j 0.0916014-0.0846171j 0.122588-0.0852219j -0.00837359-0.00480402j -0.0261754-0.102152j -0.00521649-0.0264499j 0.0347541-0.0135543j -0.0280146-0.00574815j -0.0153533-0.0143801j -0.0240559-0.00620421j -0.0111906-0.00288317j -0.0192538-0.00962407j -0.00555018-0.0106842j -0.0155524-0.0038101j -0.00732029-0.0070136j -0.00266327-0.000548703j 0.0115371+0.00851658j -0.00654574+0.00136179j -0.00948141+0.00894153j -0.0200902+0.00259656j 0.00359823+0.000322654j 0.0197567-0.0295187j 0.00831916-0.0218557j -0.0199038+0.0275962j 
0.0229942-0.00756113j -0.0603506+0.0535175j -0.0110262-0.00472488j -0.0243261+0.0244739j 0.0227095-0.0208066j -0.0828668+0.0652407j -0.274226+0.28722j -0.0901555-0.0205028j 0.0750919-0.0428013j 0.0274577-0.0127865j -0.0788508-0.00850732j 0.0382431+0.0353123j 0.035801+0.102524j 0.00302691-0.0221074j 0.0144391-0.0645658j 0.003152-0.0179617j 0.0128193+0.0425911j 0.0139651+0.00255485j 0.01802+0.00918644j -0.00797447+0.00396934j 0.00381773-0.000636525j 0.000932065+0.00838446j -0.00271797-0.0100962j -0.00852697+0.000195918j -0.00134633+0.00112487j 0.00172065+0.00470141j 0.00463148+0.00227882j -0.00905446+0.00069656j 0.00143848+0.0143515j -0.00888512-0.000780225j 0.00215369-0.00512246j 0.0175238-0.0109753j 0.0123827-0.0111243j -0.0148475+5.97574e-05j 
