-0.0167993-0.0311509j 0.00788252+0.0281376j -0.0052999-0.085575j -3.09945e-05-0.00402447j -0.0193374+0.0749572j -0.0150708+0.0106403j -0.0161627-0.0100077j -0.0389908-0.00473142j 0.0529102-0.012241j -0.00654502-0.00437993j -0.02464-0.00881612j 0.0150117+0.0134593j -0.033064-0.0203988j -0.00173243+0.00626898j -0.00417607+0.00490267j 0.0103511-0.00135365j 0.0157484+0.0188996j -0.00308291+0.00945955j -0.0184175+0.0174959j 0.00966663+0.00397128j 0.0123625-0.00562382j -0.00982146-0.0134695j -0.00889742+0.00310982j -0.0251885-0.0147036j -0.0112587+0.0156631j 0.00381192+0.0009566j -0.00918957+0.0239875j -0.00602917+0.00270842j -0.00383029+0.0131841j -0.000301447+0.0111976j 0.0244771+0.00748909j -0.00223201-0.00587183j 0.0170531-0.017697j -0.00505277+0.000210727j 
-0.00834085+0.0191454j -0.0208017+0.0105376j 0.481123-0.507046j 0.0347692-0.0296892j -0.00646296-0.00142919j 0.00531086-0.00467233j -0.00137037-0.000692657j 0.0174179+0.00853896j -0.0640187-0.0550471j -0.00768088-0.068664j 0.0027618-0.000821762j 0.00186906-0.00331452j 0.00281544+0.00294623j 0.000982913+0.000649384j 0.00349075-0.00210775j -0.00131854+0.00327681j 0.0355183-0.0199484j -0.044519+0.00532188j -0.00253013-0.0303375j 0.0125129-0.00303715j -0.0101978-0.0237715j -0.00108308-0.00599006j -0.0083559-0.0368715j 0.039378+0.0128349j 0.00151216+6.85472e-05j 0.0174616+0.00475659j -0.00639582+0.0467748j -0.0352354-0.0118547j 0.00428244-0.00717526j 0.0284842-0.0224304j -0.00200565+0.00380169j -0.000355432-0.00189903j 4.21821e-05+0.000684739j 0.000385754+0.000699064j 
-0.0923595+0.0406854j 0.308599-0.48951j 0.0204096-0.0277176j -0.25954+0.205278j -0.0157809+0.00706686j -0.0749487+0.00757881j -0.0408287+0.105114j -0.105842+0.0376282j -0.0457784-0.0311917j 0.0121361+0.0220788j -0.0762096+0.000416433j -0.012416-0.0213791j 0.039751-0.0119357j 0.0104088-0.00289974j -0.0114458+0.00460796j 0.0308657+0.00513108j -0.015099-0.00151195j -0.00543948+0.000447103j -0.00465729+0.0214105j -0.0285856-0.00683051j 0.0233217-0.00942562j 0.0310707-0.0057335j -0.00667205+0.0210864j 0.0247372+0.0131391j -0.0013311+0.0259613j -0.0176631-0.00987282j -0.0198445+0.0119609j -0.0017812+0.0109387j -0.051904+0.0120595j -0.0162381+0.00421243j 0.0206048-0.00207538j 0.00176698-0.00292185j -0.0317429-0.0101223j 0.00711327-0.0131546j 
0.185841+0.605443j 0.156323+0.117649j -0.00608011+0.00761006j -0.00740467-0.00824677j 0.0104354+0.0491555j 0.0793616-0.136654j 0.0724418+0.0500215j -0.00737935+0.0182576j -0.0156531+0.0344417j -0.00412562+0.00737664j -0.0183421+0.00747509j -0.0362486-0.0482777j 0.0151193-0.0229378j 0.00393894+0.0234335j 0.0103919-0.015741j -0.00450874-0.0435469j 0.0194299+0.0277533j 0.0107932-0.0174235j 0.0303246-0.0187784j 0.00218017-0.011572j 0.00323794-0.00366512j 0.00261143+0.00624487j 0.00627056+0.00534665j 0.00145809-7.33507e-05j -0.015039+0.00233774j 0.00139341-0.0124719j 0.000826874-0.00110902j -0.00271313-0.00288207j -0.0019947-0.0118977j -0.00428027-9.11589e-05j 0.00321107+0.00882515j 0.00258746-0.000777082j -0.00824223-0.0182764j -0.00323648-0.00995514j 
-0.489802+0.232576j -0.279233+0.0458857j -0.0200288+0.013544j -0.0197778-0.0152502j -0.049687+0.00653541j -0.109818-0.0666967j -0.243656+0.0375407j -0.0492136+0.00409387j -0.0218022+0.0202968j 0.0105177+0.000573505j -0.0300974+0.00530084j -0.00808121+0.0213346j 0.102401+0.00152622j 0.0384112-0.00469647j -0.112685+0.0208385j 0.0179482-0.00480209j 0.0415635-0.027985j -0.040597-0.00448683j -0.0245845-0.0282625j -0.0436403+0.00874808j 0.0386375-0.00839109j 0.0166444+0.000584371j -0.0177931-0.00161754j 0.00399799-0.000163225j 0.000502874+0.0136686j -0.0248776+0.00652816j -0.0128298-0.00319301j -0.00800047+0.00865846j -0.0564527+0.00428629j -0.015483+0.00101432j 0.0227626-0.00853719j -0.0129818-0.0136537j -0.0217199-0.00464246j 0.0214726+0.000287942j 
-0.178344+0.044264j 0.111077-0.001192j 0.000143873+0.0130877j 0.142584-0.00490192j -0.0635283+0.11487j -0.13822+0.00999723j 0.032973+0.00218019j 0.0254298+0.00246367j 0.00278089+0.00227548j 0.0337559+1.72625e-05j 0.0254395+0.0073152j 0.01925+0.0292385j -0.636008-0.00721001j 0.000858293-0.00613623j 0.119404-0.0194693j -0.0187337-0.00763064j 0.0269941+0.00064433j 0.0327612-0.00660817j -0.00696307-0.00127077j 0.0261624-0.0114528j -0.0500687+0.00285806j 0.00850445+0.00247939j 0.00994865-0.0018616j -0.00869553+0.00562897j 0.00705885-0.00261767j -0.000734956-0.0107605j 0.0253594-0.00472797j 0.0246337+0.00615641j 0.0687432-0.0130871j 0.0549422-0.00917858j -0.0120061+0.0117877j 0.0848686+0.0627163j 0.0707543-0.0174946j -0.0340968-0.0416095j 
-0.00287136-0.0188759j -0.0129277+0.019321j 0.00033221+0.00260012j -0.0361401+0.0074773j -0.00988467+0.0890897j 0.0103764+0.0196532j 0.0362825-0.0270089j 0.0771291-0.0173992j 0.0128267-0.00169419j -0.00412836-0.00072097j 0.16722-0.0152501j -0.0504236+0.0140603j 0.0928362+0.0142349j -0.00687337+0.00339944j 0.0174897-0.0145452j -0.0159849+0.0109345j 0.000121242-0.00531656j 0.000630534-0.00295248j -0.00295404-0.00148611j 0.00157596-0.000454198j -0.0166424+0.0137116j 0.00112382-0.00326525j 0.00988265-0.00396315j 0.00408682-0.00178824j 0.0037445+6.45533e-05j -0.00780008+0.00817457j -0.00578465-0.000897952j 0.00893647-0.017811j 0.0125677-0.017098j -0.0156778-0.00883402j 0.0262229-0.0111184j 0.0950365-0.0810568j -0.0415182-0.0188334j -0.0807916-0.103898j 
0.127722-0.0170088j -0.0959184+0.0342835j -0.00352643-0.00469122j -0.00943039+0.0817059j -0.131676-0.0292487j 0.122015-0.0230073j -0.114644-0.00907455j -0.141457-0.0140901j -0.0415717-0.00372108j 0.0348232-0.00251127j -0.527214-0.0174441j 0.230236-0.0301269j -0.162729+0.0308853j 0.0199404+0.00155832j -0.117338+0.0158308j 0.0283272+0.00337509j -0.00188765-0.00110067j -0.0257808+0.000134081j 0.0117293-0.00197562j -0.0324975+0.011487j 0.049762-0.00237946j 0.000830721-0.00248252j -0.0285359+0.00339567j 0.00827623+0.00233488j -0.0230175-0.000677009j -0.010454+0.0103909j -0.00676094-0.00618j 0.00745638+0.0126015j -0.0670107+0.0115208j -0.00391009-0.0270111j -0.0527803-0.0379082j 0.00688532-0.0238637j 0.0433856+0.0468919j 0.0431276-0.0195344j 
0.000993753-0.00335921j -0.0373501+0.0244742j 0.00806561-0.000271437j -0.059208+0.0389123j 0.182424+0.0176366j 0.0133852-0.00234322j -0.0080357-0.0112262j -0.00487519-0.0121116j 0.00499568-0.00235926j 0.0329725-0.00222002j 0.0346734-0.0138793j -0.0889017+0.00326673j 0.521765+0.0263224j -0.00188077-0.00177547j -0.0704357-0.00988694j 0.0167913-0.00227002j -0.0144174+0.00065705j -0.0258293-0.00574607j -0.000981164-0.00250915j -0.0162783-0.00551766j 0.0358794-0.00225742j 0.000296813+0.00488816j -0.0107986+0.00284812j 0.011604+0.00533021j 0.00157816+0.00243639j -0.00191944-0.0108308j -0.0240313-0.00579821j 0.0123352+0.00692114j -0.0532946+0.000517995j -0.034415-0.0129407j 0.0268294+0.0278917j 0.0353809+0.08066j -0.0690182+0.00403046j 0.148333-0.0438676j 
-0.0038263+0.00775751j 0.0139882+0.0051597j 0.00137276+0.060709j 0.0118804+0.0442028j 0.0450356+0.00252622j 0.0208423-0.00735544j -0.0365979+0.00516201j -0.0680568+0.00214079j 0.102822-0.00263843j 0.660944-0.00603989j 0.0795002-0.00109864j 0.0266337-0.0030679j -0.012594-0.000588243j 0.00413279-0.00244752j -0.0106244+0.00322821j 0.00231496-0.00603841j -0.02929+0.0228544j -0.00908795-0.0129419j -0.0298303+0.00956609j 0.00532054+0.00302112j -0.0196863-0.00668505j 0.00126311+0.0288999j -0.0210277+0.0112203j 0.0162257+0.0118215j 0.0376228-0.0164496j 0.00708869-0.00275042j -0.000528741-0.0157369j 0.0613644+0.0150549j 0.0203115+0.0168046j -0.00699223-0.0347025j -0.0135851+0.0222911j -0.00536715-0.00590202j 0.0349542+0.0141808j -0.00905359+0.00682117j 
0.0311255-0.0132576j -0.0170855-0.0105775j -2.11998e-05+0.0212643j 0.0332898-0.0338505j -0.00413646+0.0529635j 0.0179754+0.0263879j 0.0774002-0.0208725j 0.120559-0.00629131j 0.0671314-0.00284975j 0.20746-0.004414j -0.140235-0.000705361j -0.0135863+0.00993552j 0.147621-0.0180488j -0.00934159+0.00973121j -0.0122275-0.00577159j -0.0108747+0.0173475j -0.017633+0.00327591j -0.0130076-0.00730719j -0.0114076+0.00681223j -0.0129003+0.00687622j -0.00139073+0.0200215j 0.000600115+0.000542305j -0.00577527-0.0104832j 0.00709005+0.004761j 0.00089524-0.0157236j -0.0146121+0.0171654j -0.0052785-0.0089492j -0.00188489+0.0294764j -0.0394805-0.0267267j 0.011689-0.0132699j 0.0567915-0.074099j 0.00926777+0.00140103j -0.113509-0.0552863j 0.0210583-0.0193342j 
0.0755995-0.0237763j -0.0129264+0.0407771j -0.0107164-0.0229933j 0.0761509+0.0472728j -0.0817635-0.0218931j 0.102579-0.0195263j -0.140886-0.0132209j -0.378751-0.0128665j -0.241753-0.00136213j 0.00831416+0.000268241j 0.383964-0.0295899j 0.0800965-0.0164804j -0.0140296+0.0181865j 0.0235015-0.00552473j -0.0630701+0.00438537j 0.0216584-0.00568009j 0.00231167-0.0136747j 0.0111346+0.000894905j 0.0266694-0.0092128j 0.00575349+0.0129698j 0.0250917-0.0217359j 0.0236877+0.00870554j -0.0188114+0.0117934j -0.00312204+0.000358377j 0.00835131-0.0213283j 0.0379348+0.00462649j 0.017875-0.00011241j -0.0200366+0.00419042j 0.0377546+0.0336076j 0.0131399+0.0158803j -0.0174829-0.0269934j 0.00205578+0.000720444j 0.0431804+0.0023896j 0.0105314-0.00064076j 
0.050642-0.0229682j -0.084943+0.0423833j -0.00550785+0.0338448j -0.0985217-0.0141549j -0.0203208+0.0283428j 0.0224119+0.0122148j -0.0391947-0.0223296j -0.166355-0.0119323j 0.238131-0.00540279j -0.0734978+0.00239594j -0.437675-0.0151378j 0.114397+0.0116493j -0.036785-0.00488455j 0.00178865+0.000501077j -0.0905635-0.00265563j 0.0186504-0.00232571j 0.008759+0.0131448j -0.0384966+0.020567j -0.0118642+0.0104168j -0.0314336-0.0102962j 0.0423715-0.00184183j 0.0441921+0.00639779j -0.00121007+0.00520219j 0.0051863-0.0174026j -0.0120353-0.0315978j -0.0294735-0.0129536j -0.0239731+0.0103558j -0.00381698-0.0361141j -0.0515822+0.0030238j -0.0435777-0.00774743j 0.0645996+0.0345669j 0.00633395+0.00789431j 0.0624884-0.0439068j 0.0773777-0.0119653j 
0.0334572-0.0137041j -0.0344678-0.0252252j 0.0167702-0.0546708j -0.0285123-0.0122688j 0.0216017+0.0158847j -0.0120442+0.0156672j 0.0363427-0.0115194j 0.0996042-0.00302817j -0.420633+0.0038107j 0.0618418-0.00363312j -0.368123-0.000969795j 0.0498084+0.0093147j -0.00973249-0.00964821j 0.00151063+0.00247566j -0.0360376-0.00898284j 0.00534065+0.00512458j -0.0146161-0.0232316j -0.00514786-0.0330689j 0.0334658-0.0203043j -0.0264169+0.00494981j 0.0167215-0.00177054j -0.0372885+0.00818765j -0.0278384+0.00106994j 0.020799+0.0209402j 0.0153109+0.025223j -0.0149358+0.0018703j 0.0112711-0.0121179j -0.033099+0.0164357j -0.0518218-0.00406531j 0.031274+0.0319262j 0.0423131+0.0256051j 0.00599965+0.00660859j 0.0278278-0.0305723j 0.0420226-0.00659064j 
-0.0176071-0.00230911j 0.0210802-0.0274942j -0.0600687-0.0226214j -0.030114+0.0225026j -0.00105715+0.0158164j -0.0197317+1.00656e-05j 0.0363038+0.00253724j 0.143123+0.00198608j -0.35317+0.00331361j 0.115504-0.00626683j 0.013284+0.00439154j -0.0309899-0.000142196j 0.0135149-0.00767111j 0.000290439-0.00135504j 0.0261421+0.000219541j -0.0082035+0.00181456j 0.0120895-0.0301204j -0.0173677+0.00217907j 0.03979-0.00110066j 0.0106843+0.00161581j -0.014738+0.0207142j -0.00178275-0.0281297j 0.000394419+0.0226837j 0.0349351-0.0147931j -0.019013-0.0080596j 0.00794406+0.000909314j -0.018586-0.0209387j 0.0211396-0.0552146j 0.0167708+0.00518544j -0.0366186-0.0313873j -0.00349799+0.00443752j -0.000923259-0.000161847j -0.0147191+0.00463514j -0.0145485+0.000650096j 
0.0153909-0.00360166j 0.0387189-0.000830001j -0.0237787-0.00119872j 0.0854182+0.00525118j -0.0654429-0.0029349j 0.0407266-0.00201501j 0.0452427-0.00594916j 0.00964055-0.000633921j 0.0356024-0.00109915j 0.0188291+0.000990261j -0.00476783-0.00667078j 0.0147784-0.0123297j -0.0275215-0.00124394j 0.00232553+0.00472817j 0.0189025-0.00133611j -0.00657584+0.0147747j 0.0105965-0.0127171j 0.000967418+0.0191422j 0.0122649+0.0172959j -0.00387197+0.0360904j 0.0302302+0.0231065j -0.0136738+0.0371661j -0.0147653-0.0131033j -0.000845744-0.00524769j 0.0254824+0.0126529j 0.00898298+0.0558611j -0.00495136+0.00959683j 0.00358072-0.00657503j -0.0488655-0.00065264j -0.0238636-0.00838345j -0.000760074-0.0264832j -0.00183737-0.00538322j -0.0296779-0.00088897j -0.0128997-0.00118048j 
0.0163289+0.00452049j 0.0401758+0.00986413j 0.0567256-0.00704243j -0.0204169-0.0201j -0.0129959-0.0105782j 0.00193662+0.00274359j -0.0207502+0.00185499j -0.00762137+0.000164852j -0.0694993-0.00187121j 0.357932+0.00827392j -0.00981185-0.000731476j 0.0248759+0.00272194j -0.0124751+0.00280101j 0.00129198+0.00135452j -0.0144923-0.00127273j 0.00197438+0.00255897j -0.0628457+0.0309904j -0.01767+0.0168483j -0.0292456-0.0555326j 0.00419287-0.00261758j 0.0150684+0.00940652j -0.0370526+0.0178989j 0.0166004+0.0126461j 0.00348326-0.0294905j 0.0277463+0.0298844j 0.00416877-0.0036483j -0.03104-0.00419738j -0.0281589+0.00189435j 0.00993627-0.00552652j -0.0122246+0.0283127j 0.0025976-0.00394801j -9.89899e-05-0.00176025j 0.00730314-0.00103618j 0.000356895+0.00123271j 
-0.00406526-0.00306224j -0.0243724-0.0224532j -0.0903302-0.0320413j -0.0124732-0.0365372j 0.0047972-0.00462776j -0.0179985+0.00930275j 0.0380521+0.00167894j -0.117436+0.00494271j -0.0676471+0.00483737j 0.548196+0.00896297j -0.00513952+0.00781302j 0.013713+0.000950863j -0.00856848-0.00649643j -0.00480019+0.00459775j -0.0255489-0.0069106j -0.00759976+0.0144728j -0.000164398-0.0316007j 0.0283997+0.0109702j 0.0110619+0.0268172j -0.0272435-0.00951971j 0.00742801-0.000778249j -0.00916292-0.0389529j -0.0106671-0.0236796j -0.0192689+0.00127848j -0.0231976-0.00187239j -0.018899-0.0027386j 0.00252564+0.0284822j -0.0225142-0.0260947j -0.00319336-0.0168462j -0.0541875+0.0300935j 0.0132522+0.00446873j -0.000853019+9.97941e-05j 0.0080084-0.00558252j 0.00709804+0.000405737j 
0.0485872-0.03191j 0.00737732+0.0857476j -0.0198868-0.0120978j 0.0292949+0.0129932j -0.0176444-0.0174274j 0.142572-0.0210556j -0.344296-0.0204059j 0.47586-0.0244069j 0.0651837-3.8284e-06j 0.116745+0.00322561j -0.00539055-0.0222967j 0.112067-0.000521244j 0.0474412+0.0203441j 0.0288414-0.0141951j 0.0238756+0.0214328j 0.031559-0.0669314j 0.0263496-0.000455028j 0.0398935+0.0104658j -0.0032371+0.0188307j 0.0407068-0.00224661j -0.0402771-0.0237905j -0.0241956-0.0113172j 0.0156606+0.00255103j -0.0149487+0.00150502j -0.0039627+0.00955705j 0.0280038-0.00669031j 0.0133091+0.011599j -0.00554875-0.00434303j 0.0787437+0.0174702j -0.00353342+0.0173692j -0.0202505+0.0029823j 0.00340785+0.0042335j 0.0465198+0.00694935j -0.00277196+0.00305689j 
-0.118607+0.0432679j 0.0331126-0.0222169j -0.00474784-0.00432821j -0.0580472+0.0334743j 0.0812237-0.0280079j -0.0793771-0.024712j 0.167477+0.0312932j 0.522317+0.0165383j 0.112013+0.00395983j 0.0509859+0.00219311j -0.220152-0.0030404j -0.128867-0.0049104j -0.00459891+0.0117631j -0.0171258-0.00200895j 0.113264-0.0157922j -0.0319959+0.0114698j -0.013757-0.0135441j 0.0328905+0.00163711j -0.00251661-0.0109626j 0.0610279+0.00523846j -0.0274244-0.019524j 0.0193477+0.00625645j 0.0141459+0.0100067j -0.00534474-0.00289929j 0.0170785-0.0179813j 0.0464528-0.00282545j -0.000719461+0.00473325j 0.0130607+0.000104856j 0.00317771+0.0324305j -0.00820395+0.0126217j -0.0259327-0.00806386j -0.0063635-0.00297267j -0.0729447+0.0284575j -0.0572485+0.00741221j 
-0.0315508+0.0105734j 0.00847458-0.0158044j 0.022906-0.059904j 0.00426791+0.0098888j -0.0107586-0.00373402j -0.000698833-0.00656145j -0.00400483+0.00337695j -0.142756-0.00144633j 0.686501+0.0107828j 0.046785-0.00211211j 0.0244791+0.000750766j -0.00549766+0.00403717j -0.0170295+0.000376803j -0.00955742+0.00515125j -0.00447862+0.00268649j 0.0047861+0.0048481j -0.0685951-0.0406058j -0.00720401-0.0190528j 0.0223392-0.0270028j 0.00379009+0.0106837j -0.00457817+0.00514089j -0.0100525-0.0179491j -0.0128158+0.0122518j -0.00096138+0.00458165j -0.0319393+0.0249728j -0.000692663+0.00663822j 0.0169297-0.0163521j -0.00341426-0.00737996j -0.00345908+0.00624606j -0.0379941+0.0194447j 0.00313557-0.00311647j -0.000271602+8.46501e-05j -0.0035613+0.00290215j 0.000100497+0.000702143j 
