-0.0100768-0.0126464j 0.0106464-0.0324446j -0.00886987-0.0495604j 0.00919501-0.0423143j 0.0311598+0.0104647j -0.0425066+0.0303256j 0.00731074-0.00929641j -0.0189504-0.00329432j -0.000341528-0.0084875j -0.00778353-0.0193167j 0.00238014+0.0390214j -0.00561154-0.0182773j -0.000473902-0.00498511j -0.016963-0.00216911j -0.00580113-0.0173492j -0.0143896+0.0196613j -0.0148539-0.00382188j 0.0342578+0.00682318j 0.0156355-0.00120183j 0.0111081-0.0160293j -0.0150329+0.0154352j -0.00716867+0.00583504j 0.0038136+0.00576903j -0.00113051-0.00241492j 9.89863e-05+0.000559337j 0.00292355-0.0012104j 0.00266424+0.00864767j 0.0216387-0.0235984j -0.00120001+0.00727281j 0.0164237-0.0190323j 0.00507207+0.0109374j 0.0120631-0.0124297j -0.0123289+0.00862796j -0.0167049-0.00991038j 0.0100032-0.00405874j -0.0165165+0.00799257j -0.0141307-0.00496098j 0.00813093+0.0223351j 0.0285924+0.00762032j -0.0387612-0.0147124j -0.00893527+0.0220932j -0.0109041-0.0271747j 0.0129641-0.00335421j 0.026436+0.0101898j -0.0399377+0.00810558j 0.028834-0.000274746j -0.00471994+0.0112729j -0.045976-0.0173749j -0.02803+0.0172398j -0.0270567-0.0376569j -0.0308349+0.0281932j 0.03386+0.0214296j 0.0415148-0.0335842j -0.0312323+0.0110805j 0.0158794+0.0422189j 0.00662394-0.027717j 0.0252359-0.0167382j 0.0296539+0.031109j -0.0198098-0.0470107j 0.0043436+0.0161917j 0.0346928+0.0255024j 0.0152592+0.0192978j 0.0413313+0.0267193j 0.0628162-0.0593857j 0.00827246+0.0701795j -0.0432568-0.0225544j -0.0116751-0.0577608j -0.0530899-0.0103387j 0.0157969-0.114654j -0.137932+0.00594566j 0.0262794-0.053482j 0.00739455-0.021396j 
0.00806119-0.00334865j -0.000344436-0.0154591j -0.020374-0.0596987j 0.0856809-0.0269295j 0.0372136+0.0672512j 0.00133018+0.00503457j -0.0106797+0.0201937j 0.0800672-0.0270791j 0.0262858-0.0326593j -0.0250258-0.0187891j 0.027556+0.057887j -0.0863517-0.0536215j 0.0213688+0.0326529j 0.0242162+0.0340208j 0.00533287-0.0311319j -0.0571207+0.0325287j 0.00873234-0.0337474j -0.0150508+0.0550477j 0.0558211+8.73733e-05j -0.0438455-0.0296794j -0.0376824+0.0719295j -0.0683727+0.0116972j -0.0304763+0.021324j 0.00447742+0.0229202j 0.0204861-0.0408311j -0.0551519+0.00453587j 0.020818+0.00358733j -0.0157396-0.0921103j 0.0526424+0.00598524j -0.0109908+0.00524805j -0.01103-0.0194874j -0.0493864+0.0261246j -0.0449716+0.0477956j -0.0817208+0.00452222j -0.05135+0.093328j 0.0608203+0.0305597j -0.104733-0.0157771j -0.0132739+0.0207208j 0.0585448+0.0771457j -0.0293896-0.0473353j 0.0665718+0.0231126j -0.0392782-0.0773877j -0.0245904+0.0244696j -0.0504067+0.0228176j -0.119861+0.0229234j 0.0440142+0.00112502j 0.0407636-0.0499397j 0.0348934+0.0220816j 0.0754195-0.0460448j 0.0588789-0.132238j -0.0397143-0.0175588j 0.0174962-0.0588832j 0.0351813-0.015396j 0.00759518-0.0749404j -0.0548281+0.0134819j 0.0535098+0.0235549j 0.0646976-0.0473595j 0.031305-0.0375695j 0.0837508-0.061205j 0.00881812-0.058642j 0.0434096+0.000538108j 0.0944747-0.0773469j -0.0120865+0.0339744j -0.0611441-0.054721j -0.0150516-0.00832774j 0.00808484+0.0176126j -0.00609136+0.0182652j -0.0573793-0.0594079j -0.0392019-0.022966j -0.0671171+0.020804j 0.0111076-0.0012898j 0.00775405+0.0109421j 
0.00802555-0.00316955j 0.00407475-0.0204088j -0.0037193-0.0262567j -0.0156354-0.0394109j -0.00104985+0.0498535j -0.0802303+0.0811204j 0.0337571+0.0683244j -0.082373-0.0646593j -0.0333911+0.0195532j 0.0546261-0.0120862j -0.0108611-0.00529195j 0.0587698-0.0386017j -0.0394392-0.015919j 0.0154124+0.0178622j 0.0121865+0.00720589j -0.0206701+0.022667j 0.0154945-0.0161732j 0.0105057+0.0213588j 0.043148-0.0158407j 0.035755-0.0342264j -0.0590599+0.00108173j 0.0226183-0.0138991j 0.0264479-0.00917143j 0.0418302-0.0246295j -0.0414541+0.0240418j 0.00382538-0.0152758j -0.0352456+0.00342854j -0.00298833+0.0155903j -0.0537457+0.0314924j 0.070536-0.0166569j 0.0270184+0.0370007j 0.107414-0.0510429j 0.0222373+0.105331j -0.00816626-0.00274542j -0.0264699-0.00414987j -0.0292686+0.0492958j 0.100315+0.0156507j 0.0295779-0.0405109j 0.00777374-0.0655061j -0.0291717+0.0551434j 0.025084+0.0335336j -0.0309033-0.0622322j 0.00353021-0.037978j 0.0830738-0.00819327j 0.0234351+0.0680086j 0.0348515-0.0634028j -0.0556116+0.0395079j -0.0455052-0.0373175j 0.0353818+0.118089j -0.0737457+0.0661273j -0.0168971+0.0129093j -0.0207212+0.0291339j -0.0149381-0.000605062j -0.0641125-0.00052504j 0.0178442+0.0848717j 0.00637081+0.0241064j 0.0126135-0.0121124j 0.0401333-0.00965168j -0.039886+0.0932621j -0.014196+0.0683765j 0.0139994+0.00261531j 0.0226977-0.0118977j 0.000856481+0.039203j 0.102013+0.027757j -0.0199597+0.0430185j -0.0677985-0.0232886j 0.000998628-0.0430562j -0.0292008-0.0520088j 0.0310377-0.0289295j -0.0643595-0.00355619j 0.00470813+0.00441534j -0.0137793+0.00452916j 
-0.00614193-0.00751299j 0.0136954-0.00720396j 0.0424993-0.0079289j -0.00792891+0.0202046j -0.0152407-0.0145578j 0.00735237-0.0370239j -0.000999491-0.0414934j 0.00178183+0.0496124j 0.0132094+0.0167247j -0.0231872-0.00734906j 0.0121824-0.00832151j -0.0383659-0.0171224j -0.0346079-0.0201998j -0.0467376-0.00104285j 0.00200048-0.0216526j -0.019544+0.00730259j -0.0118768+0.0243517j 0.0215091+0.00120652j -0.0218066+0.0260822j -0.0145383-0.00845277j -0.00913128-0.00985096j -0.0306932+0.00555185j 0.00202257+0.00782313j 0.0162985+0.0446147j 0.0406911-0.0342567j -0.00667193+0.00190862j -0.0267979+0.036873j 0.035677+0.0091981j 0.00533586+0.0430297j 0.00031088-0.0190921j -0.00152212+0.0297634j -0.00466089+0.0245622j -0.0199598-0.0100225j -0.0349209-0.00879632j -0.017265-0.0123124j -0.024985-0.0456359j -0.0278917+0.0198493j -0.00808488-0.00516645j -0.0233305-0.000116033j -0.0391618+0.0162766j -0.0316189-0.0396458j 0.0286721-0.0108634j 0.0100099+0.0299886j -0.0401166+0.018946j 0.0277004-0.00326738j 0.00114201-0.0142635j -0.0168905-0.00584949j -0.00535541-0.0100028j -0.0529843+0.0769465j -0.0193749-0.032796j -0.0348884+0.0100809j -0.0859185+0.00201331j 0.0991196+0.0766585j 0.00395399+0.0242298j 0.0393366+0.0789792j 0.0498395+0.0551962j -0.0697347+0.011998j -0.014339+0.0267796j -0.000828107+0.01587j -0.056116+0.133788j -0.053553+0.00665994j -0.00203732+0.0337291j -0.100461+0.0286045j 0.0775949+0.0242508j 0.0138452+0.0901859j -0.00425233-0.0377968j -0.0193245-0.0690049j -0.0163291+0.013395j 0.0248844-0.015186j -0.0232827-0.00751319j 0.00282981+0.00281449j -0.00883618-0.00255121j 
0.000489307+0.00192226j -0.00576389-0.00813761j -0.0129468-0.0181173j 0.018267-0.000481693j 0.0160262-0.00792216j -0.0082747-0.01655j -0.0173942+0.00645972j 0.0324633-0.00321042j -0.02101-0.0147813j 0.00549866-0.00238459j 0.0184752+0.0029873j 0.032675+0.0423989j 0.0639061+0.0428711j -0.0103781-0.0336546j -0.0090174+0.0233051j 0.00629383-0.0197377j -0.0243672-0.031298j -0.00339868+0.00980476j -0.00863754+0.010928j 0.0436916+0.0177226j -0.0239837+0.0178933j 0.0170823-0.0308551j 0.0312054+0.0314945j -0.0115667-0.00517262j -0.0179839-0.00179566j -0.00886056+0.0531447j 0.0082021+0.000652985j 0.0234503+0.00791973j 0.0398996-0.00736622j 0.00401014+0.0509488j -0.0445582+0.0510547j -0.0516869-0.0307787j 0.0590811+0.0145007j 0.0214077-0.0149345j 0.014631-0.0539912j 0.0132677+0.0140389j -0.0362117-0.0341855j 0.0372536-0.00867958j 0.0233262+0.037531j -0.00278694-0.0070285j -0.0208373-0.0413883j -0.070933+0.068386j 0.00912659-0.00514788j 0.0149628+0.00993541j -0.0100382-0.00746865j 0.011337+0.0333405j 0.0300141-0.00304645j -0.0120819+0.0849405j -0.0311428-0.0267424j -0.000173725-0.0449916j 0.0151622+0.028023j 0.0833436+0.0766126j 0.0167322-0.0516122j -0.00414037+0.0162719j -0.00197147-0.0458594j -0.00869917+0.00129878j -0.000831565-0.0027717j 0.00882877+0.0657116j -0.0176675-0.0533688j -0.0311365-0.0139402j 0.0169162-0.0181354j -0.0409538+0.0696693j 0.0528606-0.0478596j 0.0343286-0.0114198j 0.0440764-0.0173618j 0.0185795-0.0166365j 0.0201296+0.000682326j 0.0126447+0.0437864j -0.0272087-0.0318057j 0.00657507+0.0274376j -0.00240612-0.0061886j 0.00355533+0.0170948j 
-0.00154926-0.0141261j -0.00328647-0.00201236j -0.0577931+0.0270094j -0.0273365-0.0608321j 0.0191082-0.0180435j 0.00270354+0.072604j 0.0281823+0.057069j -0.0650108-0.0615175j -0.0436977-0.000759196j 0.029386+0.00557319j 0.0466988-0.00923579j 0.0488494-0.0179551j -0.026818-0.0631638j 0.0478881+0.0411627j 0.0208907+0.0613867j -0.0590259-0.00121121j -0.0278941+0.0170574j -0.0266757-0.00167395j -0.0315452+0.0287235j 0.00255372-0.0164521j 0.0407142-0.0183344j -0.00326271-0.0432842j 0.00316865-0.0141999j 0.0196497+0.00633659j -0.0356151+0.0331223j 0.038337-0.0203357j -0.0380129-0.0299566j 0.00924952+0.0222664j -0.0252268+0.0126684j -0.00540639+0.0194859j -0.0105267+0.0338358j 0.0287527-0.0347527j 0.0198384+0.110184j 0.0129317+0.0109923j 0.00339679+0.0109341j -0.0638205+0.0645398j 0.100894-0.0216435j 0.055549-0.0876621j -0.0647832-0.0428135j 0.0638309+0.028396j -0.0196492-0.011486j -0.0139417-0.124463j -0.0414135+0.0312726j -0.00602231+0.00118888j -0.036093-0.00527821j -0.0527214-0.0738124j 0.0594319+0.0551225j -0.0148307+0.0144782j 0.0777887+0.047324j -0.0882664+0.00279821j 0.011285+0.0223306j 0.00309035+0.0126182j 0.0586765+0.0229653j -0.0616968-0.0302963j -0.0165266+0.0982125j -0.032778+0.0237888j -0.0142605+0.0165688j -0.024536-0.0219571j 0.00723793+0.0457112j -0.00434284+0.0151515j 0.00271461-0.0680323j 0.038889-0.0107947j -0.0183528-0.0384929j 0.0602254+0.0316331j 0.000702689-0.00102146j -0.0213624-0.030265j -0.0399425-0.00617644j 0.0146912+0.00560216j -0.0194393+0.0141446j 0.0245788+0.0536951j -0.00391085-0.0275191j -0.00566948-0.0028721j 
-0.00582739+0.00128576j 0.00851412+0.00187776j 0.0695268+0.036068j -0.0326986+0.0313971j -0.0813493-0.0115346j 0.0327128-0.0408152j 0.039737-0.0431624j -0.0343955+0.0889958j 0.0196373+0.0453193j 0.00141851-0.0143393j -0.0233847-0.0263919j -0.0147166-0.0560507j -0.0185145-0.0144649j -0.0132197-0.0201977j -0.000548465-0.042773j 0.0121364-0.0102096j -0.0099035+0.0302716j 0.0177649-0.00811315j -0.0156094+0.0213139j -0.0375109-0.00300884j -0.0118509-0.0184661j -0.00477156-0.00961046j -0.0497702-0.0354554j -0.0330264+0.0263605j 0.0210657-0.000711359j 0.0165519+0.0285374j 0.0133904-0.00223968j -0.0202224+0.0205669j 0.00436114+0.0191089j -0.010231-0.020895j -0.0141491+0.0271343j -0.00220213+0.0834496j -0.0166024-0.0296121j -0.00233291+0.0294231j 0.00325082-0.0313589j -0.0143953-0.0335402j -0.0354311-0.00998202j -0.0357896+0.039016j 0.00869142+0.0267636j 0.000650123-0.0166279j 0.00309447-0.0107344j 0.0736493+0.0200139j -0.0241978-0.00783314j -0.00439993+0.0198613j 0.0332521-0.00183197j 0.0158846+0.0152561j -0.0344058+0.0181757j -0.0350837-0.0111503j -0.0777759-0.0124018j 0.0113856-0.0402949j -0.0438791-0.046001j 0.0159206+0.00280769j -0.0186701+0.0551106j -0.0242058+0.027333j -0.0101104+0.00336991j 0.00542959+0.0290633j -0.0138121-0.0133029j -0.0273778+0.00551526j 0.0251828+0.0379284j -0.0785052+0.0314159j -0.0444237+0.00560967j -0.000295462+0.00562736j -0.0226365+0.00839343j 0.0419673-0.0166218j 0.0444041+0.0234795j -0.0545983-0.0279901j 0.00255525+0.0669255j 0.0404879+0.0201642j 0.0234893+0.0245121j 0.009681-0.0345808j 0.0120602+0.0104692j -0.00132428-0.00291687j 
0.000760969+0.0205868j -0.0076617-0.00574898j -0.0109033-0.0166718j 0.0137868-0.0044038j -0.0039491+0.0677708j -0.0301076+0.0116607j -0.0539903+0.0498614j 0.0324883-0.0558936j -0.0408308-0.00386601j 0.0201408+0.0190612j 0.0308274+0.00638345j 0.0263637-0.0195589j 0.0105211+0.0111117j 0.0482482-0.0158431j -0.00816673+0.0516599j -0.0248233-0.0237568j 0.0219314+0.0032906j -0.0514263+0.0200704j -0.00627475-0.0192246j 0.0347114-0.0175574j -0.0144952-0.00804508j -0.0347075-0.0213042j 0.0037007+0.011384j 0.0132031-0.00126218j -0.0314539+0.00079544j -0.0158137+0.0256051j -0.0713017-0.0388328j -0.00433606+0.0404784j -0.015003+0.000449689j -0.0366183+0.00647935j -0.0159383+0.00445094j 0.00209637-0.0578142j 0.000975878+0.0526205j -0.0177563-0.0381402j -0.0137924-0.0177485j 0.0287132+0.0182713j 0.00466696-0.0180007j -0.000264038-0.0568752j -0.0312064-0.0810916j 0.0149267+0.0153917j 0.072135+0.0239698j -0.0429341+0.00986115j 0.0114211+0.0485207j -0.055072-0.0241134j -0.00354104+0.0561978j -0.102123-0.0604631j 0.0363682+0.0143933j 0.0699992-0.0259872j 0.0791169+0.0277195j 0.00364818+0.0523981j -0.0728873+0.0581148j -0.024181-0.0338086j -0.0478773-0.0621631j 0.079846+0.0504878j 0.0554002-0.0221512j 0.0239217+0.00247016j -0.02488+0.0174407j 0.0531852+0.0244655j -0.0401054+0.0611608j 0.116331+0.0159258j -0.0271985-0.0143949j -0.0158091+0.0178242j -0.0587232-0.0253027j 0.000734905+0.0916598j -0.135706-0.028015j 0.0598045+0.0042873j 0.0173746-0.0242042j 0.0388275-0.0780265j 0.0558802-0.0201202j 0.00912539-0.0279166j -0.0151126-0.00108261j 0.0106678+0.00377318j 
0.00117116+0.00519625j -0.0101767+0.00360616j -0.0260445+0.0607324j -0.0583284+0.00361337j -0.00747038-0.0626331j 0.0218633+0.0169463j 0.0136846+0.0033245j -0.0619326-0.00628374j -0.0102381+0.0156104j 0.000722204+0.0246826j 0.00181371-0.0267095j 0.0583047+0.0164037j -0.0478628-0.0387076j -0.0112992-0.00700062j -0.00461631-0.0160269j 0.00655414+0.00514698j 0.00205948-0.0103515j -0.00786849-0.00891024j -0.00361488-0.00668341j -0.0227275+0.0407315j 0.000833654-0.0326867j 0.0495375+0.0101377j 0.0302923-0.00159737j -0.0321327-0.00700611j -0.0120033+0.0314304j -0.00606342-0.0169474j -0.00245321-0.004265j 0.0153109-0.0191792j -0.0363031-0.00424075j 0.0102647-0.0302864j 0.0186434+0.00167138j 0.0284985-0.0135599j 0.0333361-0.0507503j 0.0435975-0.0496776j 0.0081997-0.0490727j 0.0211423-0.0482757j 0.0443928+0.0462416j 0.0374604-0.00561367j -0.0314264-0.0472611j -0.00296533-0.0098552j 0.0319368+0.0161043j 0.0641974+0.00667417j -0.0183589-0.0678445j 0.0319544+0.0283309j 0.0442517-0.055669j 0.0277261-0.0118265j -0.0501431+0.0538928j -0.0188918-0.0484278j 0.0111151-0.0131615j -0.0329951+0.0970423j -0.022581-0.0280494j -0.0188314+0.00212373j 0.0219927-0.0185389j 0.0168536+0.0306418j 0.0376587-0.0591155j -0.0537164-0.0342223j -0.0908731+0.0238011j -0.0321802+0.0165321j -0.0248206+0.0561901j 0.0450653-0.00969305j 0.0178832+0.00687626j -0.0424123+0.0508158j -0.0544836-0.00691142j -0.0147337-0.00240496j -0.0258012+0.00642612j -0.000371146-0.0105454j -0.015834-0.00186157j 0.0162577+0.0196619j 0.0258028+0.0320722j 0.0368504-0.00226158j -0.00201125+0.00379869j -0.00390277-0.014229j 
-0.00190037-0.0149049j -0.00595908-0.000110769j -0.0693607+0.00737328j -0.00812397-0.057585j 0.0311652-0.0170351j 0.0389331+0.0761541j -0.0333879+0.014809j -0.00135225-0.057501j -0.0389732+0.00910818j -0.0319081-0.00151446j 0.0626724-0.0232149j -0.036682-0.0048989j 0.00168956-0.0481408j 0.0296253+0.0300087j 0.0131901+0.0413285j 0.0104169+0.0175902j 0.0139364+0.0261397j -0.0143071+0.00426938j -0.020035+0.0053124j -0.01777-0.0015876j 0.0307386-0.00578901j -0.0399499+0.00129176j -0.0403341-0.000102808j 0.0209085-0.0141714j -0.054589-0.0322931j -0.0618046-0.0138082j -0.0326927+0.0203895j -0.0429569+0.01979j -0.0187969+0.0246094j -0.00556043+0.0158069j -0.00124303+0.0157532j 0.0331386-0.0203373j -0.0466025+0.0598089j 0.0105958+0.00977202j 0.013436+0.0328782j 0.0161778+0.0278722j 0.0531002-0.0195425j 0.0327372-0.0232896j 0.00961502-0.0267037j 0.0485993-0.000411906j 0.0285791+0.0294924j 0.0134537-0.0198189j -0.022313-0.018947j -0.0114544+0.00134186j -0.0399868-0.0410169j -0.0162694-0.020314j 0.00933868+0.00370988j -0.00933462+0.0312442j 0.074471+0.0217057j 0.0191796+0.0163619j -0.0109917+0.0153348j -0.0156619+0.0625838j 0.0303901+0.0177962j -0.0240057-0.000872861j -0.0903524+0.0320971j -0.0017234-0.0168891j 0.0939711+0.0101875j 0.0266501-0.0390501j 0.00899093-0.0139119j -0.0116562+0.012393j 0.0523721-0.0251222j 0.00857032-0.0343005j -0.0480481-0.0221947j 0.00428194-0.0288687j -0.0216812-0.00798511j -0.000380199-0.0187802j -0.0765498+0.0121769j -0.00760683+0.0279774j -0.0164369+0.00989487j 0.0227821+0.0382888j 0.0103539-0.0226429j 0.00177477+0.00416899j 
0.00420896+0.000681149j -0.00857036-0.0137351j -0.0336559-0.00454515j -0.00656279-0.0176441j 0.0361106-0.0333186j -0.0311263+0.0435268j 0.026742+0.0227799j -0.0442737-0.00954959j 0.00960293-0.00380149j 0.0188604+0.00196352j 0.00526101+0.0321556j 0.0478875+0.00959014j -0.00962498-0.0282815j -0.008539+0.0145151j -0.00228025+0.0240782j -0.0231192+0.0068114j -0.0215684-0.00563269j 0.0360595-0.00615955j -0.0296719+0.0104759j 0.000301306-0.00279056j -0.00140921-0.0130374j 0.0376884-0.00195479j 0.0152957+3.45156e-05j -0.0161071-0.00601453j 0.0100606+0.00914016j 0.0557252-0.00213543j -0.00485122+0.00340287j 0.0455257+0.0169378j -0.0184947-0.00484628j 0.0176425+0.00750376j -0.0120634-0.0234255j -0.000215945-0.00369274j 0.0161231-0.0141249j 0.00644509-0.0166889j 0.026715+0.0114086j -0.00799662-0.00352845j 0.055138-0.0102872j 0.0182161-0.00146909j 0.0102347+0.00607925j -0.017316+0.0139527j -0.00773278+0.00413003j -0.0427505-0.0162266j -0.0070107+0.0122341j 0.0528086+0.0252077j -0.00554596-0.0495202j -0.00674826-0.0327587j -0.0123339+0.0238453j -0.0263266-0.0539813j -0.0419511+0.0126479j -0.0374431-0.0151541j 0.0249019-0.00547207j 0.0783271-0.00240628j 0.106193-0.0605656j 0.003664+0.0311348j 0.0375516-0.0252474j -0.0201095-0.0371799j -0.0448828+0.0435047j -0.0198613+0.0182915j -0.026968-0.0350024j 0.0155257-0.00619083j -0.00611547+0.0166096j -0.00719402+0.0380865j 0.057778-0.020029j 0.0365246-0.0288631j -0.00436913+0.0228551j -0.0247834-0.0606756j -0.0155929-0.0358921j -0.0262178+0.0113071j -0.00975837-0.0337911j -0.0475359+0.0172792j 0.000605058-0.0139264j 0.00884668+0.00460382j 
-0.00110337+0.00139037j 0.0135079+0.0087245j 0.028109-0.0148954j 0.0225856+0.0110721j -0.0293158+0.0432799j -0.00460845-0.042333j -0.023776-0.0064632j 0.0481339+0.00220837j -0.00241732-0.0162263j -0.00184731+0.0113555j 0.0101292-0.00556293j -0.0161234-0.0185446j -0.00852463-0.0037418j 0.0130208+0.0217347j -0.00601283+0.00623695j -0.0152692-0.0121768j -0.000230469+0.033156j -0.0351703+0.0281104j 0.0156368+0.0113401j -0.00643739-0.00660567j 0.00528147-0.00770427j -0.00858063-0.0143539j 0.00466628-0.00188757j -0.00896009+0.0138921j 0.00693869-0.0352841j -0.00842731+0.00290014j -0.0220333-0.016023j 0.0136782-0.0126974j 0.0398911+0.015567j -0.00708951+0.0113126j 0.0113658+0.01938j -0.042419-0.00942593j 0.0282863+0.0311277j -0.00210634+0.00351363j -0.00855223-0.0213659j 0.0462698+0.00938981j -0.0297065-0.0236408j 0.0110706-0.0530998j -0.0379925-0.0469823j 0.0306218-0.0252754j 0.00550853-0.00143571j -0.0225639-0.0230511j 0.00495473+0.0418888j -0.0145538-0.0223353j 0.00151525+0.0204803j -0.0259092-0.0142159j 0.0485521+0.0192311j 0.0210004+0.0644747j 0.0426729+0.0167136j -0.0131142-0.0232173j -0.021286+0.0303787j -0.0177314-0.0146795j -0.0143507+0.0546854j 0.0106391-0.0493151j -0.0298273+0.0102405j -0.0103793+0.0646105j -0.0160263+0.0408373j -0.0429009-0.0418647j 0.0551417+0.043024j -0.00813606-0.036714j 0.0161116-0.00164838j 0.025838-0.0221343j -0.0733504-0.0132854j 0.00491255+0.0470165j -0.0140711-0.0304868j 0.0250062+0.00709531j -0.0109578+0.00836989j 0.0572437+0.00488401j 0.0487196-0.0055721j 0.0171577-0.0208583j 0.0157188-0.00991077j 0.00199339+0.0126516j 
0.00473902+0.00397307j 0.00459037-0.00264765j 0.0061998-0.0266933j 0.0204339-0.00483251j -0.00833246+0.0227436j -0.0187746+0.000480993j -0.0108592+0.0254192j 0.0146453-0.0131415j -0.0122248-0.013379j 0.011398+0.00236224j 0.0113976+0.0126481j 0.0356145-0.00993331j 0.00826801-0.0177281j 0.0137063+0.000256502j 0.00990179+0.00839868j -0.00701405-0.00350755j -0.00779692+0.0234129j 0.0146373+0.000360181j 0.0135022-0.0111894j -0.0247243-0.0103364j -0.0080894+0.00251511j 0.0190283-0.0119472j 0.0018967-0.0136729j -0.032669-0.0155118j -0.0174431+0.00866637j -0.0326448+0.0253569j 0.000903012-0.000367617j 0.0358177-0.0310138j -0.0145527+0.0304617j 0.00142719+0.0110871j -0.00496769-0.0112356j -0.00257752-0.00410888j 0.0359085+0.0242652j 0.0481976-0.0102195j -0.0219865-0.00266622j 0.0266737+0.0248523j -0.0224295-0.0218004j 0.00565511-0.0183971j 0.00144026-0.020166j -0.0110615+0.0123757j 0.05047+0.0048339j -0.0308223+0.00163113j -0.00110749+0.015721j 0.0450021-0.0304627j -0.00362276+0.00716191j -0.00542809+0.00840359j 0.0118641+0.00861012j -0.0292727-0.00557887j 0.00757683-0.000861145j -0.0329739-0.0407805j 0.00823199+0.0185767j -0.0102562-0.0111662j 0.0226862-0.0223581j -0.0059784-0.0100923j 0.0206427+0.033006j 0.0304379+0.00466372j -0.00739588-0.0255081j 0.0228312+0.0140814j -0.0133053+0.000511586j -0.0256345+0.0115011j 0.0015469-0.00909148j 0.0244375+0.0278088j 0.0116902-0.000251536j 0.0196012-0.00283909j -0.00820515-0.0110984j 0.0129087-0.00457757j 0.00765337+0.00477743j -0.0132828-0.023119j -0.00292349-0.00238788j -0.00149307-0.00170044j -0.0111546+0.00469683j -0.00461062-0.00422215j 
-0.000974384-0.00133135j 0.0113172+0.0106486j 0.0126814+0.00736613j -0.00696516+0.0100565j -0.00707473-0.0203624j 0.00373029-0.0308027j -0.00488642-0.0157769j 0.00377418+0.0114623j 0.000401481-0.00520453j -0.0133416-0.000285836j -0.00694029-0.0214715j -0.0156836+0.0191419j -0.00509362-0.0224819j -0.00665205-0.00341649j 0.00500157-0.0195325j -0.0102172-0.0245218j -0.00452897-0.00900608j -0.00649802-0.00283879j 0.0104057-0.00473023j -0.0126126+0.00870719j 0.00875225+0.0027485j 0.0287955+0.000379313j 0.0435337+0.0233059j 0.0164598+0.00378269j 0.0168158+0.0189201j -0.00308605-0.0067978j 0.0196375+0.00544914j -0.00259739-0.012535j -0.0261805-0.000282971j -0.013477+0.0115756j 0.00280836-0.0203438j -0.00916814-0.00312035j -0.0105332-0.0490942j -0.00556974-0.022383j 0.00186629-0.0510345j 0.00682817+0.00456105j 0.00791174+0.0184618j 0.0307272-0.0373478j -0.00687299-0.0318031j -0.0221947+0.000930973j 0.00142836-0.0268804j 0.0144453+0.0091449j 0.0291449-0.00322811j -0.0354011+0.00795888j 0.0262595-0.0296178j -0.0146891+0.00243745j 0.00158875+0.00455253j -0.016489+0.0476544j 0.0439859+0.00323529j -0.0247378+0.0164175j -0.0130488+0.0276548j -0.0518469-0.00183972j -0.0174206+0.0643974j 0.00620324+0.02385j -0.0199321+0.00470786j -0.0363012-0.00427842j -0.0338021+0.0225104j -0.0472392+0.0159515j 0.0303572+0.00661368j 0.00451005+0.0288955j -0.0128051-0.00017561j -0.0268023+0.0115527j -0.0438822-0.0134329j 0.0106074-0.00169967j -0.0176889-0.00345722j -0.00652259-0.0323748j -0.0303182+0.0208371j 0.0477198+0.0324141j 0.0135684-0.00579993j 0.00862162+0.00449283j 0.000502084-0.00840285j 0.00984779-0.00252278j 
-0.00662798-0.00388444j -0.00568015-0.00311372j 0.0108234+0.0379002j -0.0352081-0.0164426j -0.0194029-0.00157411j -0.00683308+0.0256843j 0.0398745+0.00524448j -0.0427468+0.00473057j -0.00986282+0.0316533j 0.0139608+0.016946j 0.00815787-0.0145903j 0.0436152-0.0143391j -0.0188592-0.0342335j 0.00161548+0.0131241j 0.0373652-0.00198148j -0.00778489+0.00187125j -0.00953856+0.0308966j 0.00734321-0.000745522j 0.00217771+0.0322893j -0.0109194-0.029802j -0.00073435-0.0184873j 0.0226621-0.0119266j -0.00458111-0.0190849j 0.0198437+0.0198672j -0.00181872+0.0101502j -0.00659152-0.015898j 0.00665598-0.00546687j 0.00672816+0.00496241j -0.000949225+0.00327614j 0.0187908-0.0102218j 0.0172448+0.0272538j 0.0108685-0.00418668j 0.0017788+0.0123399j 0.0378833-0.00540507j -0.0194043-0.0103657j -0.0164921+0.00681004j 0.057266+0.0234585j 0.0578574-0.0136361j -0.0286876-0.00599923j 0.0014828+0.0218258j -0.00207349+0.0081615j 0.00933704-0.0043668j -0.0258624-0.00605038j -5.43848e-05+0.0363281j -0.0355221+0.000249449j -0.00336952+0.000847091j -0.0257493-0.00904119j 0.0143846-0.0130305j 0.0163714-0.00414557j -0.00279729-0.0100488j -0.0150328-0.00980564j -0.00550424+0.028182j 0.00374382+0.0427677j -0.0228918+0.0304411j -0.0135401+0.029711j -0.0193015-0.00950494j -0.0160051+0.00321205j -0.0658401+0.0206072j 0.0232171+0.0197361j -0.0420659+0.0186975j 0.000816697-0.0102127j 0.0287165+0.000466885j -0.0234924-0.00596908j 0.012135+0.00124014j 0.0197074+0.00550558j -0.0290035-0.0083048j -0.00565409+0.0306988j 0.011717-0.00332123j 0.00635805+0.0211817j 0.0165725+0.0191327j -0.00959262-0.00452718j -0.00276209-0.00910482j 
