0.969224-0j 0.00120469-0j -0.0025539-0j -0.00825826-0j 0.20074-0j 0.0010475-0j -0.0206795-0j -0.000247169-0j -0.00843259-0j -0.00507754-0j 0.100239-0j -0.00120944-0j 0.0178768-0j -0.0083461-0j -0.00502546-0j 0.0992109-0j -0.00119703-0j 0.0176934-0j 0.00065835-0j 0.000665172-0j -1.41737e-05-0j -1.40284e-05-0j 
0.00120944-0j 0.0104293-0j -0.014453-0j 0.140386-0j 0.00563475-0j 6.04525e-05-0j 6.1699e-06-0j 0.00204917-0j -0.00075845-0j -0.000609361-0j -6.21927e-05-0j -0.489788-0j 0.00105106-0j 0.000750975-0j 0.000603355-0j 6.15797e-05-0j 0.484961-0j -0.00104071-0j -3.91073e-05-0j 3.94966e-05-0j 0.000161596-0j -0.000160004-0j 
0.0178768-0j 7.30368e-06-0j -0.0682804-0j 0.000147983-0j 0.169556-0j -6.1699e-06-0j 0.000121804-0j 0.0198544-0j 5.11035e-05-0j 9.36142e-05-0j -0.0018481-0j -0.00105106-0j -0.477755-0j -5.05999e-05-0j -9.26916e-05-0j 0.00182989-0j 0.00104071-0j 0.473046-0j 3.99137e-06-0j -4.0311e-06-0j 0.00236515-0j -0.00234184-0j 
0.0083461-0j 0.0715154-0j -7.22877e-06-0j 0.010364-0j 0.000855257-0j -0.000426678-0j 0.00842332-0j -5.23796e-07-0j -0.500593-0j -4.37233e-05-0j 0.00086317-0j 0.000750975-0j 5.05999e-05-0j 0.487511-0j 4.25807e-05-0j -0.000840613-0j -0.00073135-0j -4.92775e-05-0j 0.000263863-0j -0.000270943-0j -2.40044e-08-0j 2.33771e-08-0j 
0.00502546-0j -0.000600989-0j 0.00127407-0j 0.00411982-0j 0.00104084-0j 0.102365-0j -5.33347e-05-0j 0.000123306-0j -4.37233e-05-0j -0.49619-0j 0.000258528-0j 0.000603355-0j 9.26916e-05-0j 4.25807e-05-0j 0.483223-0j -0.000251772-0j -0.000587588-0j -9.02693e-05-0j 0.000323165-0j -0.000331836-0j 7.07089e-06-0j -6.8861e-06-0j 
0.0992109-0j 6.13381e-05-0j -0.000130034-0j -0.000420478-0j 0.020548-0j 5.33347e-05-0j 0.100776-0j -1.25849e-05-0j -0.00086317-0j -0.000258528-0j -0.488489-0j -6.15797e-05-0j 0.00182989-0j 0.000840613-0j 0.000251772-0j 0.475723-0j 5.99704e-05-0j -0.00178207-0j -3.29828e-05-0j 3.38679e-05-0j -7.2167e-07-0j 7.0281e-07-0j 
-0.00119703-0j -0.0103224-0j 0.0143048-0j 0.143017-0j 0.00574037-0j 6.15856e-05-0j 6.28555e-06-0j 0.00208758-0j -0.000750975-0j -0.000603355-0j -6.15797e-05-0j -0.484961-0j 0.00104071-0j 0.00073135-0j 0.000587588-0j 5.99704e-05-0j 0.472288-0j -0.00101351-0j -3.80853e-05-0j 3.91073e-05-0j 0.000160004-0j -0.000155822-0j 
-0.0176934-0j -7.22877e-06-0j 0.0675801-0j 0.000150757-0j 0.172734-0j -6.28555e-06-0j 0.000124087-0j 0.0202266-0j 5.05999e-05-0j 9.26916e-05-0j -0.00182989-0j -0.00104071-0j -0.473046-0j -4.92775e-05-0j -9.02693e-05-0j 0.00178207-0j 0.00101351-0j 0.460684-0j 3.88706e-06-0j -3.99137e-06-0j 0.00234184-0j -0.00228064-0j 
0.00065835-0j 0.00372419-0j 5.48625e-05-0j 0.000539709-0j 6.74637e-05-0j 0.00323826-0j 0.000330503-0j 3.97533e-06-0j 0.000270943-0j 0.000331836-0j 3.38679e-05-0j 3.91073e-05-0j 3.99137e-06-0j -0.000263863-0j -0.000323165-0j -3.29828e-05-0j -3.80853e-05-0j -3.88706e-06-0j 0.493955-0j -0.50721-0j 1.8218e-07-0j -1.77419e-07-0j 
-0.000665172-0j -0.00376278-0j -5.5431e-05-0j 0.000529779-0j 6.62223e-05-0j 0.00317867-0j 0.000324422-0j 3.90219e-06-0j 0.00027364-0j 0.000335139-0j 3.4205e-05-0j 3.94966e-05-0j 4.0311e-06-0j -0.000270943-0j -0.000331836-0j -3.38679e-05-0j -3.91073e-05-0j -3.99137e-06-0j 0.50721-0j -0.512258-0j 1.83994e-07-0j -1.8218e-07-0j 
1.41737e-05-0j -3.33366e-07-0j 0.0325228-0j -1.12887e-05-0j 0.000270942-0j 2.81616e-07-0j 2.87423e-08-0j 0.216576-0j 2.42433e-08-0j -7.14127e-06-0j -7.28853e-07-0j 0.000161596-0j -0.00236515-0j -2.40044e-08-0j 7.07089e-06-0j 7.2167e-07-0j -0.000160004-0j 0.00234184-0j -1.8218e-07-0j 1.83994e-07-0j -0.462189-0j 0.457634-0j 
-1.40284e-05-0j 3.29947e-07-0j -0.0321892-0j -1.15003e-05-0j 0.000276021-0j 2.86895e-07-0j 2.92811e-08-0j 0.220635-0j 2.40044e-08-0j -7.07089e-06-0j -7.2167e-07-0j 0.000160004-0j -0.00234184-0j -2.33771e-08-0j 6.8861e-06-0j 7.0281e-07-0j -0.000155822-0j 0.00228064-0j -1.77419e-07-0j 1.8218e-07-0j -0.457634-0j 0.445674-0j 
