-0.184388+0.0713621j 0.128743-0.115915j 0.224163-0.227854j -0.0599242+0.120247j 0.199494-0.195417j 0.255252-0.251308j -0.0603457+0.0644085j 0.444744-0.373871j -0.180955+0.0294345j 0.0247925+0.0926925j -0.488134+0.262936j -0.239042+0.230925j 0.04858-0.14947j -0.132983-0.0769077j 0.0324378+0.0707188j 0.142321+0.200076j -0.14476+0.177291j -0.475895+0.106113j -0.408388+0.0902295j -0.0340202+0.0989415j 0.0623329-0.384842j 0.259826-0.905877j 0.295166+0.079613j -0.21276-0.57349j -0.00596253-0.222904j 0.338211+0.932023j 0.116534-0.937084j -0.700942-1.57224j -0.129976+0.423664j -3.13408-0.187004j 0.0443441-0.753125j -0.256745-0.50092j -0.0632171+3.4172j -0.0518741+1.5151j -0.378584+6.71846j -0.585047-1.3712j 0.316515-2.93303j 0.900171-8.27381j 0.564129-4.9186j 1.23061-11.6661j 0.112415-0.712281j -1.54772+13.5636j -0.727357+6.38641j -1.32549+10.458j -1.02315+8.7671j -0.14995+0.453765j 1.09554-8.83869j 0.77463-6.63108j 2.50623-17.7636j 1.45947-11.2331j 1.05195-7.60716j -1.18497+7.3869j 0.501402-3.2189j -1.37191+8.30051j 1.39463-9.98504j 1.02738-5.39881j -2.2113+15.6903j -0.231966-0.627906j 1.04674-11.1725j 0.380568-3.32166j -0.281413+9.21281j 0.219862-3.46441j -0.09451+0.146215j 0.105848-5.36j 0.245784+2.03935j 0.350015-3.10527j 1.4092+0.823817j 1.76245-1.70163j 1.56854-3.13631j 
-1.39709+0.90612j -3.6158-0.58344j -4.62548+4.5702j -17.3052+8.58765j 5.17461+2.06122j 17.4199-7.44565j -14.7266+2.01267j 39.5851-8.99429j -22.8223+3.91973j -12.1304+0.753412j -7.4174+4.11201j -13.6479+3.09298j 40.2681-3.03935j 32.5504-2.09898j -5.78291+0.737096j -34.7743+1.12418j 33.4128+1.59867j 9.45285+1.83229j 3.43468+1.73282j 7.70635+2.10829j -19.64-2.48183j -27.8714-6.71775j 0.697446+2.47224j -13.0736-3.95157j -3.11309+1.05087j 8.43247+6.22561j -0.99966-2.57606j 2.2828-0.130511j -6.59758-2.71538j 0.605294+1.82589j 21.888+9.21892j 11.5396+5.8172j -89.8256-31.2436j -37.6262-13.0467j -187.496-65.6503j 18.256+8.01184j 86.8011+30.1636j 248.388+86.5357j 140.875+49.2297j 347.541+121.881j 26.8763+8.91332j -403.925-141.747j -195.903-73.6311j -312.376-110.627j -255.375-90.3343j -8.71982-2.27252j 263.175+95.2155j 204.687+72.7455j 522.838+188.349j 331.648+120.16j 218.716+80.8928j -212.738-75.9086j 84.2038+34.1065j -240.497-87.2597j 288.981+103.362j 128.998+52.2847j -430.352-162.912j 15.1722+5.37845j 314.284+116.2j 82.0591+33.4079j -259.964-102.052j 98.1289+38.052j -16.0752+2.2549j 161.534+65.5043j -45.3385-22.0232j 92.5836+42.2232j 15.2527+0.407616j 26.2709+8.5942j 5.12831+2.29573j 
0.261336-0.332183j 1.16865-0.241715j 1.67604-2.02098j 6.15969-4.27911j -1.67245-0.352484j -5.98628+3.45757j 5.11962-1.33515j -13.9185+4.53162j 7.72173-1.60527j 4.22473-0.154257j 2.84714-0.948151j 5.46786-1.09299j -13.9368+1.20448j -11.5728+0.0359479j 2.33245-0.0638475j 12.3444-0.154493j -12.0584-1.07913j -2.54395-0.563856j -0.994644-1.24572j -3.73464-0.861651j 6.81572+1.54826j 9.93368+5.1519j 1.09937-1.17145j 5.19103+2.2778j 0.630938+0.503125j -2.49501-4.13867j -0.387876+1.17703j 0.779215-0.664458j 2.19868-0.510985j 0.37782-0.0959803j -7.56331+2.41984j -4.41082+0.150009j 30.3105-13.4976j 12.6651-6.26453j 64.3063-27.1774j -5.37939+4.06042j -29.9938+11.7295j -85.4691+34.9059j -48.6291+19.9824j -120.552+46.9554j -8.93582+3.27275j 139.769-55.8783j 67.0892-28.2852j 108.182-41.8617j 89.0939-33.9089j 3.52497+0.105437j -90.5853+35.4452j -70.523+28.7503j -181.369+68.1474j -115.179+43.4244j -75.4075+29.1345j 75.8937-26.976j -28.5091+12.0369j 83.5084-31.3308j -101.244+35.6015j -45.6474+18.5369j 151.043-55.0631j -6.64335+1.78554j -108.753+39.4365j -29.917+10.8674j 92.5351-31.3158j -34.3584+13.9145j 5.23232-1.46169j -56.1787+19.1347j 16.0467-5.12966j -34.064+11.2563j -4.8256+1.71495j -9.36601+4.22601j -2.19042+0.984645j 
0.30259+0.00910225j 0.0701279-0.241533j 0.0938253-0.0890653j 0.747564+0.194938j 0.101821-0.41581j -0.515491-0.0407182j -0.00479772-0.227363j -1.31954+0.229622j 0.366871-0.165306j 0.0987278-0.199924j -0.175374-0.323461j 0.61579-0.438981j -1.128+0.0748931j -1.20485+0.489774j -0.170551+0.161946j 0.764263+0.346486j -0.647999+1.08582j -1.11108+0.573208j 0.76539-0.35488j 0.615381-0.210125j 0.290081-0.0633837j 0.345865+0.907787j -1.01942+0.837067j 0.337857-0.270258j 0.0222492+0.393817j -0.428558-0.88023j -0.230834+0.436707j -0.0191516+0.0896476j 0.125591+0.0189856j 0.7393-0.0173009j -0.346136-1.6387j -0.353108-0.66094j 3.18236+3.96451j 0.779277+2.13054j 6.38401+9.6457j -0.103929-1.06588j -3.28774-3.77632j -8.02466-12.0733j -4.57462-6.79464j -11.9448-16.9075j -0.289952-1.28387j 13.3824+19.6948j 5.7133+10.3395j 10.7886+15.2777j 7.98209+12.3819j 0.0432302+0.316446j -9.5242-12.9232j -6.53567-10.0511j -16.604-26.0374j -11.0046-15.8553j -7.4328-12.4061j 7.12149+10.3778j -2.80392-4.47138j 6.80186+11.2779j -9.27396-14.8678j -3.61775-6.62j 15.945+21.1144j -3.23997-3.14196j -10.9895-14.7447j -2.69403-4.49252j 7.22697+12.5524j -3.57132-4.33572j 0.392292-0.348624j -4.48762-8.35901j 1.67784+0.172637j -2.26488-4.62014j -0.498212+0.196936j -0.936319-1.11361j -1.1444-0.692664j 
-0.453187+0.194204j -1.31728-0.49131j -1.25575+1.5349j -5.67371+2.49935j 1.6893+0.56977j 5.84692-2.57252j -4.75357+0.286956j 12.8848-2.70001j -7.50713+1.53944j -4.35034+0.480845j -2.73673+1.40835j -4.72114+1.06003j 12.8977-1.46136j 11.4539-1.3524j -2.23986+0.00922649j -11.0818+0.0789641j 10.502-0.00605729j 3.69284+0.791899j 1.74131-0.630987j 2.60953+0.498334j -6.14277-0.0542819j -10.3537-1.67928j -0.427267-0.795328j -4.49666-1.09035j -0.413865+0.00869822j 2.43093+1.77108j -0.171243-0.706296j 1.20694+0.837106j -2.37683-1.35712j -0.13377+0.667283j 7.46321+4.81717j 3.80025+2.16778j -30.2078-18.5647j -13.133-7.6367j -62.7604-38.5346j 6.38561+5.13274j 28.9227+17.4629j 82.9555+50.5378j 47.3719+28.2534j 115.547+69.9949j 8.78471+5.34458j -134.898-81.8552j -64.7473-41.8333j -104.349-63.4021j -85.0782-51.0436j -3.02936-0.98336j 87.3938+55.0039j 68.6764+41.6934j 174.305+106.302j 111.047+68.1339j 73.9838+46.0635j -71.9886-44.3501j 27.5525+19.7263j -78.9683-47.41j 96.2839+59.0808j 41.8705+29.9588j -141.068-90.25j 3.85409+2.13376j 103.828+65.5378j 26.7295+20.0983j -86.9326-55.4855j 32.8755+17.689j -4.36091+1.37039j 51.6809+36.79j -15.3433-11.0704j 31.2924+21.5893j 4.97353-0.157112j 8.95205+4.5997j 1.9442+1.35232j 
-1.59605+1.24697j -4.07246-0.811373j -5.18217+5.70524j -20.637+10.325j 6.44268+2.39964j 21.6152-8.90162j -17.4575+2.56989j 47.8075-11.547j -27.2883+5.28934j -15.1818+0.793304j -9.15689+4.69845j -16.4565+3.97356j 47.5665-5.20669j 40.1577-1.67384j -7.43156-0.120308j -40.5189+0.796067j 39.8647+2.0665j 11.2069+1.59298j 4.067+2.84254j 10.5007+1.83286j -24.2455-2.5635j -34.0083-6.99848j -1.02276+3.29198j -16.3051-7.56188j -4.53674+0.625108j 10.6554+7.93624j -1.29202-4.43807j 1.0471-0.863082j -7.89302-2.77842j 0.0589165+0.894421j 26.8404+9.40726j 13.8427+5.96602j -108.551-29.4232j -46.0649-12.8137j -226.219-62.4371j 21.5504+6.88327j 104.769+29.2264j 299.538+83.6993j 170.485+47.8176j 419.815+118.675j 32.4517+9.07593j -488.287-138.254j -235.539-71.1216j -378.609-108.711j -309.764-87.6407j -11.1187-3.1273j 317.075+93.1676j 249.25+70.4294j 633.716+183.497j 401.564+116.295j 264.597+80.3516j -256.281-74.7701j 99.6783+35.4644j -289.426-86.3454j 348.667+101.727j 156.901+50.4781j -520.345-161.635j 20.0717+3.98547j 380.747+115.757j 100.842+34.6358j -316.114-99.8363j 118.209+36.1692j -17.6901+1.43601j 192.605+66.7217j -55.0503-21.6263j 112.448+43.5495j 20.5495+0.821026j 32.5579+8.96082j 6.99916+2.95757j 
1.16086-0.930669j 4.16941+0.820405j 4.45717-5.56479j 18.9675-10.2094j -5.66003-1.36114j -19.4741+8.56542j 15.9321-2.75616j -44.0125+11.4353j 25.1483-4.8924j 13.9183-0.931185j 8.78393-4.47353j 14.9115-2.9864j -44.5332+4.97768j -36.2682+1.73204j 6.35839+0.657566j 37.9081+0.691217j -36.018-2.4979j -10.3446-1.47289j -4.51982-2.10122j -10.4915-2.02706j 22.1992+3.31378j 32.8141+9.07628j 0.243469-3.0765j 14.961+4.42483j 4.27195-1.85934j -8.47509-8.44072j 1.39378+3.75559j -1.39853+0.878368j 7.78346+1.83427j -0.197449+0.0973509j -24.5022-6.14295j -12.6039-4.27747j 99.9293+19.1688j 42.5145+7.36325j 209.19+40.2436j -19.431-3.28536j -96.527-19.2063j -275.921-54.0069j -157.05-30.3353j -387.215-77.8506j -30.8606-5.65383j 449.848+90.323j 217.638+46.2782j 348.243+72.3444j 286.51+57.3514j 9.44435+3.65481j -293.038-61.2863j -228.986-45.9254j -585.006-121.391j -370.641-77.4488j -244.3-53.6238j 237.875+48.9505j -92.2661-23.2463j 266.721+56.702j -321.003-67.8406j -143.173-34.1226j 479.925+108.26j -16.7121-2.59889j -351.376-75.7789j -92.9912-23.0225j 289.14+69.5082j -109.648-26.0203j 16.067-1.17048j -179.665-47.4574j 53.3554+15.5768j -104.403-30.323j -17.8839+0.676488j -29.797-5.67994j -6.36031-2.96604j 
-1.58709+1.18829j -4.63844-0.993752j -5.40135+6.03649j -22.6017+11.3263j 7.44981+2.19224j 23.1321-9.60405j -18.5057+2.81028j 52.3356-12.3462j -29.2802+5.97054j -15.1616+0.679581j -9.59169+5.03703j -18.4093+3.84265j 51.7899-4.83871j 41.8418-1.85229j -7.46875+0.191266j -44.1284-0.233658j 43.3902+2.52941j 11.8915+2.511j 6.1666+3.03717j 10.8803+3.39141j -26.1927-2.76088j -36.5447-9.26899j -1.29741+2.932j -16.0446-6.60598j -4.76151+2.05424j 10.5194+9.54972j -0.762077-3.65788j 1.87853-0.436196j -8.85193-2.42598j -0.0072488+0.914424j 29.0701+7.96256j 14.6269+5.61171j -116.39-24.2206j -50.3501-10.1782j -245.226-52.5436j 23.6662+5.13061j 113.351+24.458j 323.244+70.4374j 183.643+40.3954j 453.834+100.932j 35.2161+7.1749j -527.841-117.948j -255.268-61.9357j -409.142-92.4228j -335.7-75.8946j -11.0558-2.59068j 344.632+78.1972j 269.217+59.248j 685.055+158.929j 434+100.402j 285.619+69.4398j -278.62-64.8689j 109.441+29.9512j -312.847-71.6944j 375.552+88.3947j 167.444+44.0516j -565.075-141.38j 20.5304+3.5871j 412.572+101.842j 108.024+29.2184j -341.013-87.7375j 128.855+30.7134j -17.901+2.93453j 210.869+60.705j -58.8643-20.0799j 122.371+37.902j 20.6857-1.07595j 35.73+7.51662j 7.2732+2.7393j 
-1.30941+0.85697j -3.59571-0.368662j -4.09663+5.23691j -17.034+8.92513j 5.19171+1.12477j 17.3906-7.45083j -14.7622+2.83775j 39.1389-9.88068j -23.2219+5.02888j -12.3731+0.256123j -7.28019+3.85145j -13.1684+2.54028j 39.6683-3.21831j 31.7259-1.01608j -5.80191+0.607561j -33.6908+0.31453j 32.9385+3.29014j 8.92557+1.82875j 2.56857+1.93434j 8.43492+1.88633j -19.9377-2.4045j -28.6432-8.81673j -0.555695+2.02569j -12.5813-5.76977j -2.53446+1.10193j 7.6806+6.70921j -1.41951-3.63509j 0.877454-2.00163j -6.64204-1.12944j 0.947987-0.079546j 21.4607+5.62391j 11.5846+3.72249j -88.9495-14.4882j -37.6405-5.7261j -185.548-31.1572j 17.6722+2.12243j 85.6929+15.255j 246.25+41.4307j 138.889+23.6204j 345.027+60.448j 27.1378+3.78064j -400.817-69.9989j -194.831-35.9609j -309.607-55.5041j -255.533-44.6167j -8.45087-1.10265j 261.874+47.8502j 204.198+35.8702j 520.153+94.3775j 329.695+61.2217j 218.244+42.2765j -211.475-40.6307j 83.1072+19.5978j -237.824-44.2597j 285.845+52.4637j 128.731+26.551j -429.113-85.4198j 16.4572+2.12934j 311.782+61.6463j 82.3063+19.1949j -258.909-54.6227j 97.1798+17.1191j -15.2107+1.72423j 160.247+38.0229j -46.0406-12.6154j 92.9052+24.8269j 16.4659+0.503858j 26.4968+5.42618j 5.1097+2.62434j 
0.302949+0.177511j -0.030896-0.298868j 0.0709388+0.687596j -0.87924+0.75634j 0.382793+0.380397j 0.943423-1.13016j -1.25295-0.0622949j 2.09765-0.469283j -0.900237+0.813496j -1.14601-0.105032j 0.00782172+0.294282j -0.671233-0.341587j 2.129+0.572819j 1.30041+0.812277j -0.165346-0.64288j -1.44233-0.287243j 2.32715+0.707894j 1.77506+0.482335j 0.032375-0.721464j 1.0673-0.192061j -0.9062+0.29474j -0.254775-2.02894j 0.0545812+1.20293j 0.0846574-1.16699j -0.957223-0.273333j 0.123964+1.13383j -0.642252-0.490115j -0.433975+0.164939j -0.398294+0.257958j 0.169445+0.0544747j 1.72294-2.51065j 0.527346-1.58626j -4.17153+9.72567j -2.11356+4.31483j -7.87705+19.7452j 1.36102-2.09056j 4.04389-8.76148j 10.8616-25.1571j 6.21762-13.6308j 15.3515-35.0234j 1.15832-2.65543j -19.3365+40.9205j -9.3926+20.7782j -14.2097+31.0433j -12.4611+25.7871j 0.189125-0.61393j 12.8725-26.0976j 9.89719-20.7025j 23.7367-52.2781j 16.2511-33.4517j 11.0913-22.1562j -10.8075+20.4484j 1.91348-8.8984j -12.1916+24.0267j 13.584-27.7671j 6.30297-14.1848j -20.3241+41.8653j 0.663794-1.54141j 16.1827-31.4089j 4.69861-9.22229j -12.8582+26.3082j 5.37374-9.83525j -0.0539611-0.444966j 9.73859-15.9j -2.03481+4.4847j 3.82266-9.50014j 1.13463-1.62837j 2.39083-2.91952j 0.184308-0.528033j 
-0.160739+0.3325j -1.47429-0.516025j -1.39794+2.27201j -7.03968+4.52822j 2.43356+0.651797j 6.85189-3.16784j -5.39768+1.60035j 15.5708-4.69598j -9.27709+1.71503j -4.74146+0.351513j -2.68799+1.37375j -5.70631+0.48568j 15.9746-1.92028j 12.7539-0.278413j -2.39518+0.21884j -14.7164-0.759088j 13.113+0.588562j 4.93119+0.975066j 0.524924+0.600517j 2.30389+0.674429j -8.37133-1.91303j -11.7481-2.70964j -0.397046+0.795389j -5.6273-2.95719j -1.99606-0.176609j 3.71429+3.65101j -1.10829-2.40909j -0.0259908-0.390112j -2.98505-0.455134j 0.704808-0.0291718j 9.2747+0.765404j 4.3446+0.485196j -35.2909-1.98142j -15.053-1.31585j -75.0615-4.9032j 7.32252-0.411675j 35.1759+2.33097j 98.303+7.25215j 56.1907+3.18805j 139.531+9.73707j 10.7113+0.64156j -161.668-10.9796j -78.7435-4.9135j -125.082-9.39497j -103.397-7.11945j -3.90583-0.790779j 105.162+8.53393j 81.6078+4.53994j 209.541+16.7433j 134.676+10.2906j 87.1269+7.18192j -83.8093-6.42828j 34.5879+2.22253j -95.6892-8.36807j 115.754+8.60133j 49.7265+6.00319j -174.211-16.3548j 5.86099-0.314098j 125.551+11.5491j 33.7883+4.75896j -103.808-12.015j 38.7885+3.5451j -5.82558+0.602415j 63.3809+7.37212j -19.1538-3.35766j 37.2666+5.0111j 7.26681-0.465016j 11.457+0.400682j 1.85997+0.820417j 
-1.95677+1.37301j -5.77012-0.896426j -6.63793+8.35601j -27.98+14.8479j 8.71982+2.37597j 28.5189-12.5369j -23.7015+4.35755j 64.5965-16.6115j -37.6663+8.27036j -19.308+0.954532j -12.7826+6.42563j -22.3199+4.66509j 64.3162-5.96065j 53.2439-2.15991j -9.82751+0.842942j -54.5325+0.0257035j 55.5165+3.97923j 16.2072+2.88078j 6.72758+4.34133j 14.0541+4.21156j -31.5628-4.65909j -46.6534-13.3627j -1.33473+4.41777j -22.3562-9.10007j -5.31046+2.70586j 12.5698+13.6946j -1.2452-6.49442j 2.53728-1.83729j -11.2037-2.15299j 0.75653+0.527116j 36.0909+8.31955j 18.8137+5.7697j -146.301-21.6087j -62.3436-8.66019j -306.103-47.5166j 29.2689+3.52189j 141.666+22.9457j 405.093+64.2957j 229.219+36.0402j 568.29+93.0784j 45.1262+6.63631j -660.515-108.58j -318.525-55.5486j -511.534-85.04j -420.655-69.4603j -13.3543-2.70051j 431.218+74.0255j 337.783+54.891j 855.452+147.707j 542.962+93.3305j 356.718+64.9188j -348.084-58.1613j 136.054+28.3058j -392.451-68.7407j 473.997+84.4965j 210.808+41.9787j -705.289-132.11j 26.1245+3.46434j 514.134+94.6121j 135.603+27.9178j -427.605-85.5239j 161.02+30.9261j -22.8327+2.22317j 261.91+58.9089j -75.0129-19.0769j 153.225+37.2654j 25.9925+0.0554655j 43.9164+7.73141j 8.71462+3.40746j 
-1.58027+1.09456j -4.58612-0.605871j -5.44088+6.52257j -22.5271+11.7753j 7.06337+1.99489j 22.3783-10.1616j -18.8352+3.46186j 50.72-12.7203j -29.2884+6.29879j -15.8467+0.525093j -10.4153+5.10243j -18.4004+4.15985j 51.64-4.3529j 41.5766-2.02037j -8.34502+1.02857j -43.0142+0.0552877j 42.3307+2.91656j 12.1556+1.85724j 5.74923+3.17085j 11.8275+2.95521j -26.308-3.59598j -36.2497-9.27885j -1.19064+2.57561j -17.0236-6.94977j -3.00371+1.81964j 11.3795+9.60306j -1.00387-4.9468j 1.43238-1.51614j -8.78112-1.77848j 0.838561+0.911043j 28.2502+7.11249j 14.9913+4.88825j -114.983-18.8851j -48.7158-7.73397j -241.125-41.7959j 23.0604+3.79546j 111.566+19.9562j 319.939+55.8193j 181.417+32.2237j 447.963+80.1394j 34.9589+6.17289j -520.762-92.248j -251.441-48.2533j -402.468-73.874j -331.554-60.7587j -12.7588-0.517992j 339.465+63.6741j 265.936+47.7597j 675.336+128.141j 428.342+80.7303j 280.988+55.267j -274.177-52.2332j 107.851+24.4482j -308.292-59.3817j 371.24+70.1161j 166.026+35.7367j -557.036-114.403j 21.2992+3.00645j 407.411+81.0037j 107.055+23.8963j -336.712-73.54j 125.412+26.4011j -18.9686+3.06722j 207.525+50.5288j -58.2357-17.1351j 121.136+32.1718j 20.9195-0.370202j 34.9436+6.42212j 6.55343+2.60099j 
-0.932424+0.46671j -2.68301-0.113705j -2.88245+3.53186j -12.0719+6.49597j 3.49731+1.00754j 11.9799-5.09327j -10.7628+2.15474j 27.9886-7.20012j -15.6879+2.69165j -9.58393+0.604556j -6.02699+2.56264j -9.60398+1.52127j 27.9789-2.77328j 22.4035-1.58044j -4.47748+0.0176864j -23.2774-0.223095j 23.3019+1.64477j 7.04948+2.15979j 2.65619+2.26526j 6.55331+3.35763j -14.8199-1.56627j -20.7385-5.99063j -0.490505+1.54031j -8.65127-5.08168j -2.40122-0.00862612j 5.96133+5.79815j -0.954582-1.98211j 0.416107-0.247692j -4.57586-0.433147j 0.594415-0.040329j 15.2484+2.54957j 8.23309+2.40689j -63.5242-4.18845j -26.2746-1.39044j -133.172-10.2265j 12.3336-0.180344j 61.138+5.58517j 176.646+14.166j 100.154+7.78872j 246.539+22.0918j 19.623+0.885522j -287.361-24.1738j -138.494-13.7289j -221.863-20.6661j -184.133-17.7527j -6.33539-1.87842j 186.9+19.2982j 146.777+11.2876j 373.388+36.7299j 237.276+24.872j 156.347+15.7369j -151.352-14.9232j 59.2705+6.42279j -171.353-15.9895j 205.66+21.7481j 91.538+10.8303j -307.105-34.2826j 12.2435+2.07892j 224.114+25.9129j 59.7028+7.78862j -186.178-23.4142j 70.162+7.79339j -10.6686+3.04447j 115.299+17.015j -32.8573-6.43753j 65.4388+11.7911j 12.0062-0.861708j 19.6278+1.86868j 3.41685+1.84127j 
-1.41537+0.825825j -3.92994-0.361275j -4.567+5.43108j -18.688+10.0308j 5.36979+1.69521j 19.0394-8.38641j -16.0494+2.70863j 43.581-11.1403j -24.849+5.44493j -13.4529+0.684378j -8.98481+3.94679j -15.4605+2.63073j 43.1143-4.42911j 35.4998-1.32945j -5.74145-0.245781j -36.5438+0.431638j 35.7945+2.99635j 10.3163+2.55892j 4.68451+2.6814j 9.45508+1.72479j -21.5814-4.73017j -30.1337-7.65428j 0.228729+1.98579j -14.7009-6.48885j -3.10894+1.59042j 8.15139+8.44318j -1.2606-3.53756j 1.35648-0.537447j -7.4916-1.43935j 0.195707+0.432437j 24.032+5.76614j 12.6533+4.3437j -98.768-14.3898j -41.5228-5.71292j -206.145-31.7231j 19.3624+2.42572j 95.062+15.3673j 273.188+43.0744j 154.929+24.1146j 381.757+62.1995j 30.1453+4.21826j -444.773-72.3925j -213.898-36.3089j -344.208-57.0027j -282.809-47.7408j -8.50337-2.52463j 289.878+49.2846j 226.262+37.3896j 575.912+98.2286j 366.399+63.4245j 241.924+44.4773j -233.953-39.3369j 91.3276+19.282j -263.58-45.3182j 318.582+53.9398j 141.984+27.2248j -475.279-89.4412j 17.8213+1.63926j 348.615+62.1743j 90.9653+19.077j -288.497-58.5879j 106.285+20.622j -16.1524+3.29884j 176.629+39.5864j -50.8018-13.1954j 102.785+25.5887j 17.6343-0.381623j 29.5177+4.89779j 5.82474+2.14277j 
2.73203-2.04954j 8.87016+1.21087j 10.8149-12.7273j 42.5539-22.8483j -14.1751-3.78552j -43.0308+19.1743j 36.434-6.76437j -97.7787+25.8365j 57.142-10.8504j 29.7549-2.56237j 19.0402-9.6036j 34.224-7.24464j -98.0184+8.63823j -80.8145+2.69642j 12.6293+0.592561j 83.6631-0.0449381j -83.0923-5.8992j -23.7826-4.17621j -9.16872-6.34418j -22.6071-5.41059j 49.8842+7.42443j 71.1071+21.0014j 1.34572-6.30494j 32.4693+14.8766j 7.52452-2.54245j -19.575-20.8772j 1.39767+9.98861j -3.56135+1.94638j 17.1274+2.84992j -1.9472-2.10728j -54.2492-10.0605j -29.1753-8.36093j 221.232+23.4304j 94.3731+9.73154j 464.218+52.9864j -44.9091-3.19797j -214.885-26.4318j -614.516-73.2261j -348.652-40.2256j -863.185-108.583j -68.0701-8.4528j 1003.22+122.547j 484.939+64.9085j 777.259+99.8672j 637.716+81.9212j 20.7358+3.83018j -653.562-88.2867j -509.814-64.1214j -1299.26-173.96j -824.302-109.697j -544.375-80.6365j 529.231+70.0154j -206.994-33.8779j 594.693+81.2907j -715.505-97.1946j -320.766-48.1463j 1071.38+160.326j -39.5447-4.93894j -783.202-115.461j -205.608-37.4113j 648.482+103.627j -243.647-37.393j 35.2719-5.68946j -399.427-73.7258j 114.447+25.0429j -233.971-46.6104j -39.1555+1.4989j -66.5509-8.42231j -12.1055-3.90866j 
0.104446-0.0282581j 1.39718+0.682617j 1.91364-1.69466j 6.10359-3.60396j -2.2067-0.329326j -6.06465+3.03763j 5.19663-0.972935j -14.6033+3.57869j 8.08377-1.81653j 4.48698-0.688912j 2.98988-0.258789j 5.67832-1.37704j -13.8259+1.66112j -11.836-0.385232j 2.13455-0.677404j 11.7117+0.298731j -13.3431-0.80752j -4.14293-0.713699j -1.38163-0.757338j -2.63851-0.146304j 8.17646+1.4607j 10.4464+1.7785j -0.121344-1.50924j 4.6288+2.09951j 0.501932-0.167977j -3.21279-2.16675j -0.185522+1.22329j -0.335489-0.547099j 3.06129+0.988921j -0.561091-0.623432j -8.35394-1.4383j -4.55567-1.61701j 33.4412+7.23871j 14.4428+2.42877j 70.3865+14.955j -6.63632-1.45657j -32.7783-6.28871j -93.8803-20.1336j -53.424-11.0309j -131.078-27.9538j -10.2953-2.47121j 152.459+33.2621j 73.5071+15.9476j 118.337+25.7607j 97.2813+21.5222j 3.69618+0.632325j -100.521-21.856j -77.8415-16.3273j -200.544-43.036j -123.392-27.3453j -82.0009-18.9278j 80.2278+17.1481j -30.6752-8.80639j 89.1214+19.4951j -108.096-24.7777j -48.4356-11.5139j 162.44+40.2574j -7.99017-2.37823j -118.378-28.3214j -32.0041-9.1138j 98.8373+25.3532j -36.9486-9.24459j 5.8569-0.971987j -60.2874-16.9038j 17.4657+5.57916j -36.1448-10.4627j -5.35707-0.497089j -10.008-1.55834j -1.37506-0.556076j 
0.63202-0.438092j 1.81954+0.424725j 2.37191-2.76547j 9.3883-4.93817j -2.84459-1.05412j -9.4074+4.17151j 8.03435-1.53419j -21.1703+5.53084j 11.7434-2.42912j 6.81111-0.791768j 4.19072-2.84281j 7.72396-1.42587j -20.7135+1.69738j -17.9685-0.309084j 2.87074-1.11396j 17.6245-0.945901j -16.763+0.254075j -4.13665-0.893576j -2.00059-1.0655j -4.59995-2.0011j 12.1893+2.49725j 15.7384+2.91274j 0.282343-1.33775j 5.81058+3.27919j 2.46783-0.941464j -3.62593-3.7982j 0.0489653+1.84079j -1.00603+0.261771j 3.94782+1.24243j -0.161003-0.243377j -12.0192-3.82625j -6.06528-2.39488j 49.0485+12.4936j 20.6449+5.33009j 102.054+26.014j -10.3859-2.54128j -47.1067-12.5989j -135.039-34.9677j -77.3786-20.3081j -189.126-49.5147j -14.8535-3.47079j 220.663+56.9755j 107.226+29.2263j 171.045+44.4073j 139.818+35.5364j 3.94303-1.06713j -143.566-38.6371j -112.165-29.4343j -285.204-77.8194j -181.568-49.423j -121.035-33.3928j 114.747+30.5874j -44.1371-14.9948j 130.457+34.8286j -157.006-43.7247j -71.3543-21.0799j 235.553+67.6997j -8.27293-1.15407j -170.022-48.2847j -45.215-13.812j 141.17+42.827j -53.4251-14.788j 7.59025-1.67856j -88.4396-27.3812j 25.4041+9.19123j -51.5538-17.8182j -8.45249-0.0971815j -14.203-3.52222j -2.85989-1.23654j 
