0.00483882+0.0634774j -0.0954564-0.0281838j 0.0128874-0.14213j 0.0886769-0.0728462j -0.0331905+0.0574561j 0.0539902+0.0133286j 0.1246-0.0473546j 0.00789359+0.00300934j -0.013373+0.0534129j 0.0264454-0.0448682j -0.0148872+0.0135478j 0.0360351-0.105703j 0.0304009+0.0718177j 0.00308963-0.0467322j -0.0335673-0.0522522j 0.0551892-0.0638014j 0.0055492-0.0194139j -0.0350555-0.0376265j -0.00938135+0.0673746j -0.0363344-0.134608j 0.00537139+0.11629j 0.021609+0.0120919j -0.0112987-0.0245691j -0.0193262-0.0755763j -0.0344139-0.029261j 0.032978-0.0372372j -0.0755813+0.0927675j -0.00997977+0.0462594j 0.0213826-0.048178j -0.00543749+0.0747749j -0.0190815+0.0209552j 0.0237894+0.0970426j -0.0932107-0.104525j -0.0567077+0.00492423j -0.100979-0.103682j 0.0290463+0.0575926j 0.0261996-0.0629674j 0.153706+0.131676j -0.155402-0.000365898j -0.0321906+0.122179j -0.111557+0.176386j -0.0298945+0.102505j 0.00927093+0.0224026j 0.238984-0.101937j -0.296323+0.24495j -0.0224379+0.0311486j 0.132804+0.188876j 0.0590711-0.0939544j 0.0800502+0.0700663j 0.0854459+0.152424j -0.0307533+0.0636942j 0.180182+0.289721j 0.0398554+0.277179j 0.233669-0.0244194j -0.0660792+0.15021j 0.233269+0.14304j 0.112585-0.218714j -0.0888138+0.165126j -0.490322-0.0760036j -0.185591-0.105702j 0.119023-0.336906j -0.182187+0.217324j -0.130741-0.184664j -0.28742+0.0147781j -0.0710272+0.133504j 0.156551-0.294832j 0.306214+0.303353j 0.300981+0.24043j -0.0359536-0.776155j 0.657856+0.743747j 
0.034416-0.0172885j 0.203434-0.0361863j 0.0263908+0.0618751j 0.178968-0.146365j -0.201937-0.0459181j 0.0824997-0.0208285j -0.200911-0.00315382j -0.0608451+0.0519019j 0.145257-0.243626j 0.112742-0.136127j 0.136883-0.0342685j -0.0220587+0.228219j -0.100884+0.292198j -0.212521+0.10684j -0.185926+0.0372975j -0.091012+0.237694j -0.0843622-0.121992j -0.196389+0.189618j -0.17035-0.258464j -0.00172087+0.0929763j -0.0159313+0.16033j 0.087712-0.200522j -0.326569+0.413433j 0.091704+0.283007j 0.0151091+0.382254j 0.197334-0.499462j -0.0102502+0.124645j -0.0938995-0.0124198j 0.25995-0.127689j -0.0700159-0.0302501j -0.240242-0.192003j 0.0480243+0.400922j -0.219441-0.300065j -0.299758-0.0672248j 0.77985+0.477967j -0.043865+0.197326j 0.0819499-0.475691j 0.201727+0.271417j 0.313341-0.569231j 0.426922+0.123393j 0.0711598-0.380229j 0.176273-0.234108j -0.0231526-0.276748j -0.0782641+0.0164904j -0.00581876-0.581228j -0.492733+0.293369j 0.325505-0.182027j -0.124409+0.096343j -0.0274131-0.721343j 0.0727241-0.761844j -0.0293017+0.663563j 0.181921-0.159349j -0.203373+0.0264055j 0.029127-0.0629535j -0.0617421+0.303506j -0.042748+0.313048j -0.147663-0.204766j -0.203958-0.07619j 0.204616-0.265782j -0.253007-0.177715j -0.310147+0.468843j 0.139328+0.281251j -0.145782+0.205495j -0.203226+0.210258j -0.0616034+0.115638j 0.0443898-0.0407876j 0.0299182-0.0787034j 0.153251-0.0656464j -0.109275-0.159634j -0.0422359-0.137603j 
-0.050475+0.10099j 0.0774963+0.00357912j 0.0713632+0.02267j -0.063587-0.101265j 0.0354692-0.0046244j -0.235498-0.321305j 0.0568483+0.097686j 0.159123-0.0826787j 0.119402-0.305544j 0.00995431-0.445783j -0.0316834+0.00811216j -0.163699+0.961327j 0.157326+0.182272j -0.000385573-0.0522616j -0.137412+0.160399j -0.238064+0.555183j 0.457688-0.561255j -0.106695+0.776537j 0.0615675-0.710609j -0.177967-0.185578j -0.0180858+0.0745451j 0.232606-0.962088j -0.012817+0.821514j 0.203399+0.303438j -0.214996+0.661055j -0.0353335-1.29882j -0.122127-0.0132046j 0.310351+0.0848682j 0.0417707-0.164274j 0.1819+0.713427j -0.116212-0.356319j 0.0287933+0.976232j 0.034667-0.853433j 0.303758-0.2234j 0.597858+0.344787j -0.426153+0.55923j 0.0998589-0.631731j 0.291832+0.834577j 0.231216-0.432863j -0.0306647-0.15416j -0.107808-0.548612j -0.308185+0.353103j 0.613849-0.483533j -0.0794734+0.239531j 0.00398674-1.37732j -0.202357+0.636152j -0.0549152-0.138761j -0.154351+0.404869j 0.103357-1.20167j 0.0205352+0.000779914j -0.144572+0.114173j 0.405904-0.51157j -0.204929+0.632114j 0.123871+0.0298515j -0.276846+0.212321j 0.155675-0.171536j -0.277545-0.0291489j 0.18788+0.142895j -0.198596-0.645855j 0.140302+0.0808912j 0.194001+0.662434j -0.0053717+0.264231j -0.0672672+0.271768j 0.0359488-0.283154j -0.152956+0.389555j 0.15632-0.0139701j 0.0201424+0.161628j 0.00104386-0.0234396j 0.150498-0.213334j -0.0946922-0.0650641j 
-0.0838048+0.100122j 0.0774477+0.0610319j 0.198497+0.112577j 0.119371+0.0432685j 0.19688+0.0742998j -0.0507584-0.172906j -0.0413228+0.0637507j -0.060743-0.258557j 0.0228891-0.497463j 0.0791985-0.263889j -0.0154583+0.0908614j -0.201838+0.566737j 0.115069+0.186618j -0.0737409-0.0285402j -0.279339+0.20265j -0.151628+0.800398j -0.0241016-0.424696j -0.0524389+0.541286j -0.266263-0.0779536j -0.294468+0.0120774j 0.13832+0.0312357j 0.0204203-0.878087j 0.0954522+0.396939j -0.286353+0.0505531j 0.0204213+0.606213j -0.186672-1.15464j 0.263844+0.0185021j 0.204436+0.382872j 0.193182+0.374717j 0.163091+0.461513j -0.362654-0.655414j 0.0300561+0.814913j -0.225134-0.406417j 0.0159783-0.194186j 0.272497+0.0885092j -0.101561+1.11149j -0.106137-0.241609j -0.0482691+0.825005j 0.263229-1.03983j 0.0986261-0.197887j -0.094663-0.276527j -0.060615-0.262577j 0.383512+0.186685j -0.0108631-0.234452j 0.0738334-1.24179j 0.333331+0.507779j 0.201701-0.130707j 0.120329+0.67078j 0.192625-0.260762j 0.0769181-0.432124j -0.232131-0.122825j -0.117023-0.412475j -0.241948+0.508251j 0.0933196-0.693321j -0.197342+0.745812j 0.168584+0.177886j 0.191156-0.158685j -0.0746625+0.246743j -0.354815-0.759538j 0.043139+0.232895j 0.163323+0.353415j 0.237926+0.392113j -0.200536+0.254033j -0.0701716-0.12542j -0.239375+0.350908j -0.216137+0.105018j 0.062114+0.162156j 0.0469542-0.0295225j 0.0935724-0.120077j 0.0304216-0.144458j 
-0.0136574+0.0324724j -0.0114961+0.0124639j 0.0348669+0.0634589j 0.0110332+0.0522245j -0.0927547+0.0387109j -0.0836432-0.00311356j -3.15311e-05-0.059233j 0.0498838-0.100901j 0.124216-0.287659j 0.0578345+0.0549949j -0.0478038+0.0632298j -0.0166219-0.0319342j -0.00781927+0.0752101j 0.146105-0.0218402j -0.140026+0.0852713j 0.0495098+0.412512j -0.312043-0.135327j 0.0731779+0.139701j 0.176556+0.0709195j -0.247687-0.060864j -0.0701658+0.0469399j 0.17102-0.0582143j -0.394912+0.361152j -0.0951427+0.296468j 0.190739-0.0119725j -0.567014+0.107381j -0.194876-0.0762165j -0.629262-0.0119707j -0.381881-0.0432839j -0.0132305+0.300578j -0.120793-0.517913j 0.170146+0.221044j 0.151453-0.48318j 0.0531506-0.0286634j -0.050542-0.0589465j 0.0267629+0.0396031j -0.0010017-0.0492518j 0.0401423+0.436777j 0.0749493-0.156509j 0.137491-0.607145j 0.147784-0.406855j -0.335291+0.0573051j 0.506931-0.109889j 0.156687-0.128851j 0.513927+0.129566j -0.26926-0.0523772j -0.22859-0.284678j 0.385455+0.427857j -0.167233-0.142944j -0.0974795-0.0196171j -0.28619-0.0879342j -0.0392978+0.140986j -0.0468107+0.134938j 0.392729-0.109251j -0.0563209+0.452743j 0.163146+0.0779503j 0.107173+0.106356j 0.00904371+0.0782529j 0.0692389+0.0414191j 0.0756733+0.0508554j 0.0670197-0.0585748j 0.0787538+0.366277j 0.0588863+0.0982853j -0.00318075+0.0796322j -0.090248-0.0292994j -0.00699797-0.0861466j 0.0583112-0.0898976j 0.0988071-0.0479484j 0.0114295-0.00689787j 0.00111524-0.0375972j 
-0.0629919+0.104197j 0.012744+0.131802j 0.0474718+0.0356621j 0.0662916-0.167327j -0.170713-0.127278j -0.167161-0.323538j -0.0900514+0.129394j -0.12334-0.285358j 0.198933-0.216627j 0.143585-0.382896j -0.00621622+0.224299j -0.388714+0.664422j 0.0455437+0.15625j 0.0815978+0.18872j -0.179356+0.0966504j 0.15635+0.563713j -0.0321457-0.663564j 0.195224+0.611199j 0.127971-0.42883j -0.205291+0.0155721j 0.0227996+0.497926j -0.115915-0.43285j 0.012622+0.578641j 0.323758+0.0880908j -0.16644+0.575929j -0.027694-1.2773j 0.0528407-0.00948325j -0.360817+0.0609382j -0.0228722+0.30201j -0.0873931+0.289689j -0.160122-0.0299442j 0.277595+0.836553j 0.110689-0.884756j 0.0422451-0.29262j 0.498638-0.0499347j 0.203223+1.01526j -0.021206-0.205209j -0.33813+0.38393j -0.046512-0.912112j 0.345982-0.753322j 0.31043-0.377822j 0.312712-0.419189j -0.567106+0.341236j -0.300618-0.0568463j 0.141055-1.12443j -0.00736455+0.731006j -0.358323-0.074165j -0.146028+0.331451j 0.0471051-0.833994j 0.0796527+0.0326359j -0.208875-0.104942j 0.389278-0.122476j 0.10703+0.514155j -0.0784828-0.380181j 0.162564+0.729798j 0.277123+0.204946j -0.0447714+0.0615789j -0.14655+0.195689j -0.145419-0.668418j 0.0751214+0.0469719j 0.0723746+0.317073j 0.0323151+0.531068j -0.0749748+0.222056j -0.0362067-0.0377429j -0.045494+0.133248j 0.22692-0.0361536j 0.201947-0.00325884j 0.240017-0.00250253j 0.154077-0.00754616j -0.0352287-0.132882j 
-0.110295-0.00741385j 0.0243182+0.222051j 0.0262824+4.61458e-05j -0.0118623-0.156318j 0.139073+0.0828435j -0.126449-0.344244j -0.0246692+0.27755j 0.0100904-0.226826j -0.0261276-0.127471j 0.213147-0.547405j -0.145714+0.0903822j -0.0382327+0.518898j -0.182264+0.0757745j -0.277934-0.140596j -0.135121-0.081804j 0.152279+0.157794j -0.15356-0.0218514j 0.0778014+0.464103j -0.328375-0.410711j -0.05839-0.14217j 0.0811166-0.185485j -0.0388026-1.14735j 0.258907+0.264886j 0.0280091+0.150285j 0.317562+0.420062j 0.0188435-1.13835j -0.148438+0.350138j -0.573411-0.434719j -0.372468-0.297228j -0.0172426+0.416879j -0.0137811-0.109851j 0.111952+0.151152j 0.28395-0.565526j -0.0550278-0.483727j 0.565036-0.0297182j 0.463573+0.313012j -0.267667-0.217649j 0.0391673+0.642209j -0.104789-0.734186j 0.0223424-0.27243j 0.227817-0.618623j 0.118509+0.289147j -0.316392-0.0124457j 0.194886+0.0986004j 0.0512927-0.87629j 0.26154+0.496206j 0.294981-0.35112j 0.0203095+0.650305j -0.319674-0.741347j -0.0463284+0.00190162j -0.10629+0.17828j -0.201691-0.678915j 0.158031+0.641323j -0.572781-0.43688j 0.315817+0.399829j 0.0868376+0.122089j 0.0598241+0.083963j -0.268921+0.140797j -0.147909-0.910989j 0.0593638-0.0555834j 0.0655551+0.429348j 0.131134+0.252665j 0.219793+0.0240155j 0.0652462-0.0284085j -0.250588+0.215686j -0.00360929-0.000223434j -0.097551+0.114888j 0.00512233+0.0525831j 0.111808+0.0377572j 0.00752156-0.110982j 
-0.118468+0.150735j -0.173206+0.103387j 0.115437+0.0470501j 0.00992435+0.0459689j 0.0575356+0.0492888j -0.0237063-0.0151859j -0.152639-0.206284j -0.104894-0.102049j 0.129785-0.217103j -0.230317-0.36728j 0.25374-0.261941j 0.0839368+0.148493j 0.175262-0.10239j -0.132243+0.0247384j 0.018356+0.263056j -0.0420569+0.189982j -0.0850319-0.0336262j 0.123747+0.0281184j -0.211734-0.0777646j -0.00829402-0.565866j 0.0440496+0.525508j -0.0297095-0.594526j 0.124115-0.0621349j 0.260658+0.10708j 0.449108+0.134798j 0.032998-0.385389j 0.0405192+0.0167231j 0.087972-0.270515j 0.243488+0.217295j 0.132682+0.381915j -0.356693+0.203985j 0.245532+0.488453j 0.305739-0.196078j -0.162863-0.32155j 0.997278-0.127337j 0.0303524+0.0659768j 0.334279-0.00361528j -0.11914+0.221455j 0.0493294-0.28357j 0.273022-0.190102j -0.0560419+0.168417j 0.225246+0.179618j 0.109615-0.0911778j 0.0292452+0.196416j -0.266793-0.347088j -0.00107475+0.314491j 0.127723-0.182496j 0.401708+0.3831j -0.0567674-0.10545j 0.0285155-0.102902j 0.00147213-0.187399j 0.19784-0.25343j 0.219983+0.0380674j 0.171067-0.0364148j 0.130361+0.201761j 0.126-0.000726825j -0.176514-0.20111j 0.0921245+0.390594j -0.0130324-0.169956j -0.119071-0.0465459j 0.136963+0.12429j 0.136866+0.197908j -0.00180141-0.107222j -0.248276-0.00820169j 0.125957-0.00530033j -0.21465-0.00358213j 0.12596+0.242112j 0.0239138-0.00337993j 0.197032+0.0587843j 0.0607459-0.0329631j 
-0.208852+0.129698j -0.0877914-6.68718e-05j 0.186661+0.189294j 0.00361046+0.16842j -0.3083-0.111276j -0.0553684+0.18901j -0.162367-0.0112749j -0.0509931+0.132299j -0.146176+0.00699469j -0.123197-0.439963j -0.133275+0.0378427j 0.14452+0.0266421j -0.087612+0.127343j 0.120732-0.00977414j -0.235899-0.152962j 0.121362+0.0538041j -0.0578503-0.109894j -4.02127e-05+0.355836j 0.152756+0.22296j 0.186623+0.009644j 0.118071-0.288904j -0.235115-0.530065j 0.28145+0.20463j 0.118959+0.264592j 0.0165868+0.171642j -0.60608-0.0993328j 0.152422+0.489493j -0.00415537-0.0777383j 0.287708-0.215542j -0.0235441-0.0689135j 0.167953+0.181774j -0.40435+0.304059j -0.128509-0.230889j -0.122248-0.271232j 0.144734-0.176805j 0.103015+0.508101j -0.180034-0.305087j 0.14316-0.0206006j 0.105481+0.125807j -0.0861104-0.224133j -0.00665268-0.111807j 0.0539712-0.133531j 0.0303772-0.138635j -0.0300468+0.237445j -0.141168-0.107651j -0.158348+0.279844j -0.154097-0.127527j 0.100567+0.28707j -0.236103-0.28053j 0.213461+0.150157j -0.0805961-0.2766j -0.310484+0.103261j 0.227238-0.120917j -0.197189-0.0752534j 0.0318059+0.201514j 0.100697-0.127599j 0.210131-0.0602173j -0.165075+0.0957188j -0.0839924+0.190591j 0.0730162+0.0600727j -0.13354+0.343584j 0.29739-0.273483j 0.0340271+0.00616524j -0.146099+0.217702j 0.128945+0.0581049j 0.0499907-0.220068j 0.111194+0.168441j -0.0574605+0.00623243j 0.269785-0.00739902j 0.180474+0.0812529j 
0.0047133-0.0510408j -0.0620471+0.107683j -0.0978422-0.0534077j -0.0419683+0.0103917j 0.00449094+0.270279j -0.179693+0.0746048j -0.1052+0.0551632j -0.160654+0.094966j -0.0622294-0.284031j 0.0395754-0.0242958j 0.175148+0.104016j 0.320101-0.155701j -0.0250356+0.322049j 0.225815-0.39041j 0.153148-0.103093j -0.192566+0.0651254j 0.0817745-0.178079j 0.438676+0.113417j 0.0124433+0.0721581j 0.232149-0.23586j 0.0488458-0.519544j -0.594172-0.214609j 0.302803+0.278989j 0.619487+0.317132j -0.226683-0.0106598j 0.248418-0.498804j -0.182365-0.263875j 0.286306+0.066567j 0.174462+0.28208j 0.118497+0.324154j 0.123097-0.0505826j 0.249251+0.247378j 0.247456-0.0237307j 0.0522584+0.726839j 0.0108389+0.0173595j 0.28053+0.0949095j -0.185417-0.237437j 0.0766324-0.0333064j -0.292894-0.155849j 0.287057-0.404355j -0.112501-0.2422j -0.136898+0.00108399j 0.122258-0.12157j 0.00493808+0.0766461j -0.096614-0.673541j 0.118098-0.103779j 0.201774-0.0960803j 0.274724-0.111323j -0.440762-0.266317j -0.129386-0.170747j 0.054793-0.137851j -0.255137-0.087161j 0.307929+0.165662j 0.151763-0.167549j 0.0544915-0.0317191j -0.177733-0.0630918j 0.0820094-0.0592525j -0.174921+0.0025301j -0.148718-0.332554j 0.0862455+0.0255405j -0.0692907+0.0899362j 0.00289321+0.0477929j 0.174572+0.232185j -0.0665828+0.015377j 0.0447987-0.140662j -0.109103-0.0998315j -0.0190353+0.0183331j 0.0174028-0.0438j 0.0316309+0.00425603j -0.0265306-0.031255j 
-0.120299-0.0708939j -0.091401+0.111831j 0.0305043-0.0113458j -0.0955693-0.0394071j 0.0411758-0.0591574j -0.101526-0.260956j -0.0905537+0.241361j 0.37084-0.329044j 0.1091-0.119587j -0.0810581-0.221014j -0.296623-0.0378319j 0.289924+0.181348j -0.0727303-0.293435j -0.0345335-0.0119441j -0.407337-0.204479j -0.147732+0.23453j -0.29092-0.244858j -0.201324+0.262747j 0.392855-0.0553528j 0.109901+0.0136824j 0.114057+0.0608576j 0.0367675-0.109152j 0.0843964+0.478688j -0.19437+0.349957j 0.509605+0.140936j -0.00925195-0.502656j 0.109644+0.391214j 0.404925+0.893041j 0.267602+0.12917j 0.137199+0.0931601j 0.0927965-0.426863j 0.163948+0.400543j 0.305494-0.483084j -0.0763744-0.0871251j 0.17538+0.38007j -0.0890238+0.26249j 0.624864-0.0737688j 0.257001+0.564436j 0.241747-0.242838j -0.456249-0.408189j -0.12402-0.206986j 0.186882+0.0749124j 0.255921+0.047748j -0.00650316+0.177758j -0.400881-0.368091j 0.188891+0.435423j 0.0139355-0.507135j 0.192607+0.36854j -0.157234-0.447064j 0.111093-0.0527943j -0.0440674+0.078916j -0.220756-0.385077j -0.0190462+0.44366j -0.22317-0.272842j 0.326007+0.274476j 0.170957-0.0631489j 0.239162+0.0956032j -0.132857+0.0349319j -0.0139532-0.300087j 0.0962391+0.097798j 0.280407+0.378279j -0.176842+0.195602j 0.0872163+0.104068j -0.106061+0.0598014j -0.0636927+0.0807011j 0.1232+0.0970112j -0.0563574+0.0100294j -0.012296-0.0102829j 0.0829808+0.0481349j 0.0207286-0.0413965j 
0.199827+0.180324j 0.122969-0.206423j -0.286767+0.067924j -0.0377889-0.120668j -0.00280229+0.0413255j 0.195151+0.412268j 0.141629-0.11112j 0.140759+0.231442j 0.257754+0.0135595j -0.0865471+0.0420343j -0.281653-0.17736j -0.100538-0.15403j -0.568438-0.157847j -0.206284-0.0084631j 0.00265944-0.467345j 0.236627-0.170373j 0.229641+0.678627j -0.0483587-0.281003j 0.392566+0.569293j 0.58563-0.22117j 0.328326-0.186127j 0.190389+0.540386j 0.110595-0.0941339j 0.054009-0.13997j 0.173413-0.0528059j 0.61274+0.964334j 0.322959-0.0843375j 0.440687-0.516347j -0.071446-0.181804j 0.234797-0.472506j -0.147229+0.341515j 0.14365-0.62317j 0.383905+0.452253j 0.174235+0.18682j -0.489024+0.135706j -0.39343-0.365947j 0.348603+0.207689j -0.359799-0.408793j 0.365243+0.941664j 0.617355+0.480008j 0.21378+0.575983j -0.169713+0.231886j -0.162991-0.196211j -0.15052-0.166427j 0.674279+0.622479j -0.561398-0.368399j 0.0274783+0.176881j -0.0987184-0.254476j 0.604427+0.582129j 0.276603+0.0408151j 0.0657494-0.206072j 0.0868026+0.302381j -0.360416-0.694759j 0.273449+0.442108j -0.495691-0.717555j -0.306851-0.0167368j 0.0954254+0.0850603j 0.142561-0.0657808j 0.237686+0.466524j -0.07421-0.0563895j -0.203978-0.174346j -0.00940261-0.286004j -0.0836875-0.271108j 0.283193+0.0206295j -0.16005-0.135196j 0.0880434-0.0104504j 0.151325-0.342725j 0.18619-0.0264431j -0.214614-0.083635j -0.12525+0.0157513j 
-0.0042481-0.216496j 0.0594606-0.0973252j 0.0172399-0.0134258j 0.372196+0.207951j -0.252957+0.170478j -0.287688+0.0226578j 0.403955-0.291967j -0.611131-0.365185j -0.214092-0.263663j -0.122074+0.170833j -0.0990302-0.845241j 0.0887294+0.449308j 0.20046-0.197759j -0.396248+0.0189586j -0.478362-0.293623j 0.515462+0.136916j -0.170181-0.296479j 0.273509-0.244722j -0.033694+0.131719j -0.453866+0.033978j 0.0310036+0.21225j -0.434536+0.0929245j -0.0999389-0.194559j -0.171447-0.0281575j -0.0738266+0.17046j -0.328066-0.167672j -0.0323188-0.0411618j -0.0151636-0.0585979j -0.069744-0.181335j -0.123494-0.180636j 0.207073+0.0374448j 0.2939+0.133137j 0.312516-0.17445j -0.0110175+0.438343j -0.0820467-0.228901j 0.05014+0.0633235j -0.245724+0.0506821j 0.144675+0.282801j -0.0948007-0.155311j -0.0469095-0.0335814j -0.535171+0.278261j -0.0295427-0.00115185j -0.0913752-0.219902j 0.292393-0.0549096j 0.0788087+0.200262j 0.103936-0.148219j 0.19656+0.0136429j 0.135338-0.181946j -0.0773929-0.0393224j 0.173435-0.24215j 0.0878956-0.158835j 0.165602-0.0203744j 0.336583+0.113979j -0.0854824-0.109097j 0.170512-0.0557798j 0.173187-0.110908j 0.0387195-0.222637j 0.177128-0.0580431j -0.194859+0.222353j -0.0951539+0.0495442j -0.13356-0.115877j 0.0822467-0.0582965j 0.0255226-0.0438511j -0.029763-0.030519j -0.0483688-0.0359279j 0.0792197-0.145085j -0.0139345-0.0522919j -0.00728428+0.0187825j 0.0158941+0.0821676j 0.049335+0.125168j 
-0.0497256+0.247236j 0.089186-0.0817175j -0.19028+0.171875j -0.00794782-0.0060527j -0.0107813-0.0655318j 0.215412-0.122415j -0.056307+0.200552j -0.567387-0.141308j -0.18677+0.283035j -0.235875-0.108198j 0.232846-0.248337j 0.0814141-0.18732j 0.239204-0.170855j 0.316616+0.00582399j 0.27155-0.255113j -0.374921-0.392729j -0.379625+0.0514381j 0.0206488+0.0694518j 0.00446454+0.0361113j 0.200133-0.502705j -0.00428947-0.330721j 0.00165558+0.657021j -0.0215343+0.210998j -0.321038+0.196177j 0.00160113-0.341068j 0.12773+0.327725j 0.106936-0.0906212j -0.472822+0.308386j -0.124969-0.119446j 0.0704307-0.283192j 0.460804+0.342408j -0.550412-0.358373j 0.526572+0.55688j 0.0930273-0.00690463j 0.0417629-0.0199137j -0.390038-0.0633823j -0.123634-0.0227609j -0.189983-0.167865j 0.255642-0.158066j 0.188857+0.233454j 0.0835494+0.257651j -0.257887+0.146061j -0.132221+0.0403646j -0.145198-0.128392j 0.298761+0.408309j -0.31753-0.145386j 0.0929373+0.126048j -0.387209-0.0774143j 0.381673+0.327081j -0.0481004-0.0892491j -0.00755299-0.287384j 0.297685+0.258448j -0.10148-0.211519j 0.0678932+0.0424109j -0.227279-0.464488j -0.248406-0.0644696j 0.0133142-0.118059j 0.0403404+0.0841523j 0.311656+0.209365j 0.00971002-0.0691025j -0.145345-0.116033j -0.013891+0.11631j -0.0531317-0.11617j 0.0341159-0.0098338j -0.0605161-0.0367789j 0.0329595+0.0839285j 0.106019-0.083654j 0.114971-0.0299495j -0.0542591-0.0670076j -0.0654903-0.0382524j 
-0.060488+0.0910521j 0.153452+0.0517339j 0.305274+0.0923986j -0.264336-0.2779j 0.219879+0.186733j 0.393468+0.0574615j 0.227685+0.0329357j -0.0592424-0.315641j 0.292781+0.312131j 0.389292+0.110363j 0.333589-0.393316j -0.0831882+0.037987j 0.368319-0.176487j -0.367152+0.00393839j 0.167285-0.200401j -0.219318+0.0121012j 0.407711-0.543209j 0.189846+0.328339j 0.0487064+0.188529j 0.0571719-0.31643j 0.176944+0.101817j 0.430884-0.0561756j 0.0224956-0.411043j 0.00597151+0.293149j -0.126264+0.0744068j -0.16648+0.00918435j -0.134224-0.100468j 0.138919+0.168914j 0.0183124+0.0174896j 0.12413+0.198327j -0.0613166-0.0390227j 0.00702426-0.430717j 0.161585-0.199704j 0.12627-0.114648j 0.0804719-0.221143j -0.301172-0.119793j 0.00920318-0.0455594j -0.437152-0.165585j 0.00655504-0.127323j 0.053105-0.0452137j 0.160122+0.0625302j 0.196928-0.0300074j 0.0597522+0.0976537j 0.17837-0.232145j 0.00904666-0.407811j -0.21032-0.0962374j 0.121724+0.168937j -0.0898603+0.164873j 0.0806441-0.150091j -0.146284-0.163113j -0.0110785+0.192237j -0.0148822+0.0724592j 0.0182324+0.525209j -0.0887779+0.141082j -0.0952004+0.154145j -0.0327285+0.0739528j 0.218873+0.0154815j -0.0436966-0.0218645j 0.0629806-0.0498277j 0.10206+0.0370507j 0.201055+0.174651j -0.0315991-0.205472j 0.0249069+0.00654199j -0.0514769+0.140508j -0.0416059-0.0063994j -0.0692706-0.0316342j 0.0770623-0.0110064j 0.0142958-0.0514002j 0.205321-0.0976266j 0.102685-0.029597j 
-0.259981+0.317922j 0.3503-0.180768j -0.173981+0.0462368j -0.115847+0.269972j -0.0741027+0.371803j -0.190628-0.231825j -0.0047484-0.433218j 0.449105+0.348447j -0.605119+0.222416j -0.134591+0.432026j -0.206653+0.310392j -0.000766661-0.201234j -0.319793+0.163842j -0.422438-0.291952j 0.00638005-0.0873633j 0.269269-0.168694j 0.196911-0.539884j -0.0947831-0.115282j 0.0128759-0.177039j -0.10721+0.0229415j -0.159097-0.168047j 0.528069+0.145843j 0.0463445-0.314416j 0.265244-0.104752j 0.0754124-0.193422j 0.764512-0.0777745j -0.146075-0.0708493j -0.0402827+0.129772j -0.283472-0.410347j -0.54488-0.477172j -0.0175966-0.0748827j -0.470349-0.291195j 0.41588+0.132243j 0.320432+0.0402871j -0.116626+0.0550393j -0.279639-0.0707757j -0.0300169-0.059711j -0.000720686+0.236289j 0.283624+0.236847j 0.378764-0.0965318j -0.0376706+0.111047j -0.279501+0.229608j -0.238848+0.133712j -0.297837-0.138311j 0.588883+0.124165j -0.325604-0.0196717j 0.161209+0.296602j -0.341856-0.157639j 0.393246+0.0709493j 0.323189+0.0148209j 0.174671-0.0432119j 0.182533+0.0502997j -0.276028-0.170227j 0.277613-0.0434257j -0.228073-0.0887446j -0.182052-0.0100799j -0.0176505+0.137981j -0.120684+0.0257448j 0.347671+0.15784j 0.0827764+0.0337797j 0.0109861+0.124156j -0.0924412+0.107662j -0.0411783-0.0759216j 0.0915753+0.135065j -0.0914886+0.120296j -0.0477126+0.0925658j 0.157232+0.104716j 0.183784-0.043591j 0.182164-0.147534j -8.74396e-06-0.0942083j 
0.179087+0.0482837j -0.143818+0.174128j 0.129047+0.370914j -0.506494+0.0967886j 0.519142+0.454494j -0.404928-0.396156j 0.0365686+0.344392j 0.213584+0.150986j -0.206168+0.115741j 0.148744-0.381165j -0.714765-0.0684678j -0.0622909-0.290545j 0.24767-0.226943j -0.230234-0.168143j -0.0682098-0.354827j 0.10568+0.0946407j -0.0112852+0.0067593j -0.247132-0.154277j -0.0634993-0.184797j 0.17574-0.0619935j 0.274203-0.0104876j -0.457022+0.0903301j 0.0243645-0.17443j 0.0376547+0.413332j 0.232279+0.199946j -0.484599+0.240298j 0.267071-0.326454j -0.0391053-0.175256j -0.00644159+0.141105j -0.128942-0.00450958j -0.0935568-0.0150122j 0.0926045-0.11852j -0.125215-0.365118j -0.0418512+0.0774423j 0.172246+0.135834j 0.0693301-0.0930557j -0.162225+0.0905385j -0.242764-0.0164587j -0.0299707+0.0234852j -0.355733-0.0296069j -0.492356+0.108401j -0.0673491-0.155425j 0.0863709-0.159431j 0.0550593+0.1502j -0.315006-0.114338j 0.0129975-0.0762383j 0.0131302+0.0128151j 0.142344-0.0121362j -0.269183+0.179j -0.138879+0.230925j 0.140994-0.227475j -0.221371+0.0175659j -0.0388482-0.0365367j -0.156266+0.169315j -0.0489265-0.0145303j 0.126675-0.0215929j 0.0513741+0.00428949j 0.0157593-0.0467475j 0.0430054-0.118935j 0.0170646-0.0613753j 0.00366102-0.145351j 0.142264+0.00714161j -0.042759+0.0305336j -0.0139347-0.00868616j 0.125045-0.028591j 0.0759368+0.00241416j -0.055559-0.115379j -0.0784702+0.0214747j -0.147709-0.000616481j -0.0480531-0.0555317j 
