0.00075932-0.0360147j 0.0676793+0.0122881j 0.0307732+0.0689649j -0.0353609+0.04353j -0.0027176+0.0368634j 0.0353809-0.0217303j 0.0258061-0.0421054j 0.0253875-0.0325784j -0.0837067+0.074575j 0.0743406-0.127228j 0.0458644-0.0256797j -0.0367505+0.0251639j 0.0325719-0.023961j 0.00914626-0.0598955j 0.139538-0.0294364j -0.081669-0.027894j 0.0725161+0.0399332j -0.00579057+0.0210424j -0.0862128+0.0897842j -0.14585+0.0828479j -0.0236317+0.0279839j -0.116364+0.119035j -0.0658064+0.163896j -0.00749183+0.0982152j 0.0619207+0.0785199j -0.154128-0.221448j 0.152227+0.121591j 0.0402647+0.0342528j -0.127339-0.0409712j -0.153213+0.213396j 0.201296-0.0923415j 0.00838286+0.0257979j -0.0730253-0.0476016j -0.155795+0.25812j 0.0181759+0.12309j 0.136556-0.0372363j -0.278378-0.177731j -0.207825-0.144051j -0.0695608+0.111182j -0.115925-0.0221282j -0.0593396+0.26407j 0.125432+0.310002j 0.398823+0.144854j -0.0250551-0.11603j 0.340057-0.244349j 0.0177582+0.29653j 0.38386-0.0634631j -0.0211642+0.510006j 0.371374+0.119593j 0.257369-0.308402j -1.04337+0.115391j 0.350793-0.87643j 
0.0363833-0.0364468j -0.194936-0.0395887j 0.0102389+0.0243815j -0.131137+0.00923544j -0.0580238+0.132805j 0.27186+0.247311j -0.0558815-0.136244j -0.0556197-0.125971j 0.0909196-0.0378517j 0.0388907+0.3498j 0.0242408-0.410938j 0.0185247+0.169392j 0.102825-0.0779023j -0.138487-0.105142j 0.158542+0.00358146j -0.582991-0.235209j -0.37408-0.251931j 0.398886+0.526931j 0.283779-0.0219414j 0.00935267+0.0192346j -0.0662713+0.0872708j -0.098738-0.0204586j -0.00892799-0.192971j -0.483402+0.340817j 0.156889+0.285648j 0.195538+0.0814276j 0.0196143+0.264693j 0.334489-0.21855j 0.497414+0.271106j 0.0305046-0.0614394j -0.176674+0.100196j -0.0486199-0.258294j -0.0454903-0.0445079j -0.145631-0.0545979j -0.272677+0.510982j -0.515307+0.113141j -0.592262+0.361692j 0.0204951-0.0591257j -0.221535+0.255694j 0.172147+0.158874j -0.0213835-0.229916j -0.0278038-0.476839j 0.0471206-0.348704j -0.0693155-0.108524j -0.0331126+0.213699j 0.0888612-0.0727733j -0.290387+0.220202j 0.0125195-0.185825j -0.102155-0.0121732j -0.00830342-0.0120312j 0.194352+0.0548328j 0.0223638-0.0421064j 
0.0825686-0.0586823j -0.169186-0.100997j 0.0262044+0.0597546j -0.21722-0.0621884j -0.262211-0.0834614j 0.0798953-0.113667j 0.0524852-0.189223j 0.0322202+0.218815j -0.129791+6.584e-05j -0.173308+0.0314335j 0.082769+0.0429175j -0.257785-0.492193j -0.10102+0.356937j -0.480527+0.1139j 0.197166+0.185573j -0.13644-0.112994j -0.0962678+0.228183j 0.426684+0.159356j -0.273798-0.250645j -0.0548887+0.259548j 0.612445-0.524367j -0.05306+0.080458j 0.337723-0.156698j 0.103054+0.311177j -0.68252-0.186609j 0.214604+0.190269j 0.166445+0.694202j -0.0692733-0.0910235j 0.164977+0.118047j -0.178567-0.14176j -0.0637725+0.114867j 0.2839+0.174345j -0.103816+0.293933j 0.49064+0.00758582j 0.415367-0.0224897j 0.2388-0.289677j 0.216832+0.0459412j 0.255325+0.0775769j -0.0867852+0.125796j 0.256304-0.0243327j -0.0566603-0.231751j 0.00165331-0.244382j -0.0250071-0.0156829j 0.196441-0.280798j -0.234481-0.0717176j -0.148077-0.0926972j -0.336993-0.167j 0.130172+0.045739j 0.072974+0.227908j -0.00132773+0.0701521j 0.167395+0.097727j 0.126204+0.00542837j 
-0.150434-0.15722j 0.297558-0.092881j 0.0596671-0.0709212j 0.00742092+0.0507967j 0.220857-0.0446004j -0.258944-0.216767j -0.0528111+0.0684343j 0.110027-0.281595j -0.279869+0.0957686j 0.294127+0.129577j -0.392316-0.126213j -0.0494978-0.269367j 0.424734+0.444549j -0.0277616+0.0391814j -0.255097-0.000318654j 0.0298125-0.331756j -0.606976-0.143708j -0.051598+0.263694j 0.0557022-0.304111j 0.375851-0.265108j 0.232723+0.297989j 0.548682-0.162811j 0.182551+0.127288j -0.187934-0.214016j 0.119016-0.189455j -0.502523+0.351007j -0.141887+0.0111568j 0.43458-0.20903j -0.361719-0.203189j 0.0611817+0.0536824j -0.304621-0.148751j -0.0114992+0.0999356j -0.0552406+0.207652j -0.149567+0.187332j -0.00619988+0.0385493j -0.2211-0.199959j 0.346563-0.0998052j -0.13746+0.0325616j 0.253864+0.181396j -0.0296442-0.396821j -0.0371663+0.010924j -0.139314+0.0301638j 0.346531-0.188313j -0.244772+0.10736j -0.109849+0.130403j -0.082241-0.0870085j 0.144034+0.0416419j 0.155375+0.330835j 0.181566-0.0531793j 0.202907-0.171267j 0.108217+0.10788j -0.0694362+0.0730044j 
-0.167996+0.174295j 0.0309673+0.314225j -0.0130047-0.149894j -0.158316+0.012106j -0.167815-0.117111j -0.227499-0.300004j -0.00168183+0.127207j 0.0546513-0.206632j 0.0247966-0.176325j -0.127314-0.374406j -0.132941-0.22595j 0.183179-0.255183j 0.101447-0.0612556j 0.272842-0.131056j 0.221824-0.227727j 0.147391-0.0251622j -0.258227+0.52646j -0.13046+0.524342j -0.126194-0.349036j -0.461063+0.0251198j -0.074902-0.0855823j 0.115397-0.112139j 0.308058-0.173423j 0.0979275+0.315277j -0.198745+0.529291j -0.276152+0.222883j -0.123041-0.104625j 0.0769875-0.0693215j 0.145826+0.597916j -0.136052-0.468872j 0.314006-0.47628j -0.295489+0.524503j -0.14823+0.104583j -0.0758645+0.0774456j -0.034156-0.291355j 0.274025-0.0309572j 0.235391-0.0811919j 0.0327667-0.179058j 0.00154477+0.385131j 0.0701714+0.0629517j 0.14534+0.219231j -0.231553+0.0166044j 0.0211767-0.0635061j -0.138639+0.119442j 0.0134551-0.0477163j 0.0519039+0.169405j -0.0745455+0.0367304j 0.0623762+0.181354j -0.0671689-0.0897101j -0.0581041-0.100747j -0.135789-0.241974j -0.0840045-0.0352724j 
-0.270989-0.0790126j -0.0199327+0.201145j -0.118979-0.182163j -0.280077+0.306675j -0.00361914+0.123488j 0.0834709+0.333592j -0.116741-0.159007j -0.186475+0.224899j -0.287887+0.147715j 0.462841+0.0738476j 0.433361-0.110688j -0.0820251-0.460127j -0.039415-0.165297j 0.0319113-0.215781j 0.225154+0.0655126j 0.108931+0.259876j 0.0725615+0.0249724j 0.142241+0.127563j -0.415966-0.149772j 0.0955878-0.58538j 0.624962-0.220428j -0.0694696-0.127118j 0.0456465-0.143834j 0.0333497-0.0316401j 0.0229465-0.228815j -0.451007+0.0363503j -0.536135+0.115313j -0.0676362+0.209222j 0.287863-0.0919455j 0.371137+0.0702769j 0.000496019-0.0645094j -0.266688-0.0689433j 0.149858-0.0913469j 0.114797-0.156652j -0.018584+0.117856j -0.24491-0.448862j 0.208834+0.12347j -0.17344-0.0297591j 0.104735-0.0562647j 0.0209849-0.0532977j 0.181454+0.00894456j -0.265175-0.162706j -0.220148-0.0451059j -0.147766+0.0172814j -0.199877+0.0655361j 0.192586+0.0516992j -0.0889375-0.15016j -0.135419-0.141592j 0.316042-0.240735j -0.0208116+0.00318196j -0.0461763-0.251478j -0.0167551-0.08234j 
0.0400137+0.0368876j -0.075588-0.112833j -0.0215244+0.0938983j 0.0160332+0.041669j 0.00832202+0.0541597j 0.0772913+0.0122922j 0.0111966-0.0492804j -0.862392+0.455755j -0.354047+0.0939605j 0.0347489-0.000365196j 0.0208344+0.0531832j -0.1253+0.355239j -0.146979+0.751579j 0.123306+0.0229373j 0.025836-0.0933636j -0.262016+0.222001j -0.11359-0.0749717j -0.250362+0.190634j 0.332834+0.310172j 0.18383-0.161138j -0.668007+0.0925147j -0.338819-0.304065j -0.105609-0.344716j 0.258777+0.65177j -0.112684+0.170386j -0.128839-0.279535j -0.221544-0.101385j 0.214155+0.298091j -0.0396711+0.151667j -0.195353+0.231507j -0.536645-0.0591281j 0.107927+0.0256316j -0.0550551+0.103328j 0.0454569-0.00360161j 0.215757+0.127486j -0.163865-0.208491j 0.192824+0.0475172j 0.157025+0.276764j -0.265302-0.281476j 0.0473199-0.0367926j -0.110291+0.122153j -0.0766743-0.000725687j -0.0897755-0.184433j 0.182044+0.103296j 0.0781425+0.0516661j -0.0853123-0.150176j 0.00730349-0.00847682j -0.00154443-0.166812j -0.00912294-0.0877629j -0.0249052+0.0177905j -0.00246655+0.049526j 0.0217928+0.0166941j 
0.0990268+0.20747j -0.0708668-0.335958j -0.0599904+0.242061j -0.366707+0.0944419j 0.229951+0.23693j -0.200854+0.476221j -0.209492-0.126167j -0.0512243+0.239686j 0.318791-0.463204j 0.238842-0.0410567j 0.147343-0.244962j 0.455179-0.0860303j 0.243484+0.0367086j -0.319938+0.704802j -0.215123+0.0399843j -0.326168+0.359164j -0.368877-0.279352j 0.0809355+0.110038j -0.264425-0.106365j -0.160071+0.0568706j -0.168451+0.0531712j -0.150729+0.308156j 0.279781+0.430058j -0.0834128-0.259281j -0.141955+0.0098869j -0.355717-0.0133594j -0.166255-0.274019j -0.202421+0.35528j 0.105177+0.151473j -0.0912062+0.0415772j -0.511134+0.138119j -0.193981-0.00986361j 0.108691-0.096604j 0.171576-0.471762j -0.236523+0.187411j 0.0518848+0.261658j 0.102174+0.134859j 0.0622447-0.194147j 0.197175-0.3403j 0.0750059+0.10871j -0.0675361-0.199103j -0.00776523+0.0784361j -0.276336-0.0638848j 0.138218+0.0614469j 0.0191261+0.110054j -0.0876785-0.163527j -0.150505+0.100843j 0.201218+0.047726j -0.137745-0.0208824j 0.0306071-0.090635j 0.0587047+0.115414j 0.0272165+0.0746512j 
0.129807+0.270306j 0.0962528+0.0431574j 0.216454-0.135136j 0.468409-0.144769j 0.277591+0.302919j -0.128838-0.0118461j 0.153774-0.415242j 0.316422-0.229056j -0.326345-0.145621j 0.086291-0.539126j 0.284803-0.358361j 0.215674-0.335017j 0.177705+0.205076j 0.408116-0.225637j -0.117854+0.430671j -0.535982-0.226025j -0.341931+0.114816j -0.0447004-0.533592j 0.0120472-0.27025j -0.228744-0.0401642j 0.270481+0.133312j 0.0379717+0.386423j -0.340259+0.101945j 0.00593583+0.129264j -0.0420922+0.255233j -0.243946+0.0178019j 0.0847103+0.0683562j -0.0682083+0.254582j -0.393661+0.104993j 0.0311312+0.128821j -0.185205-0.0338458j 0.0261717-0.0653887j -0.0446454+0.135318j -0.0866626+0.276033j -0.00993685+0.373545j 0.0958235+0.0435051j -0.179039-0.0916823j 0.16721+0.155895j 0.141251-0.0621694j -0.109701-0.0774147j -0.209868-0.00276111j -0.0135086+0.163888j 0.213614+0.0812849j -0.0683992-0.0167186j -0.0263574+0.0760966j 0.0301962+0.292694j -0.0746427+0.0560937j -0.156871-0.0263968j -0.260584+0.0233106j -0.133119+0.0451744j -0.14995-0.0888913j -0.0657064+0.00183725j 
0.0539896+0.375505j -0.0127006-0.28737j -0.399169-0.0246366j -0.105657+0.318689j -0.33583+0.0946027j 0.58839-0.322164j -0.238347-0.450631j 0.403439+0.542441j 0.0226802-0.390938j 0.294925+0.352178j 0.298458+0.253408j -0.583746+0.138781j -0.101112-0.317364j 0.125177+0.164777j 0.126317-0.000559678j -0.392977+0.25837j -0.154501+0.0990157j 0.09411-0.16149j 0.070013-0.464262j -0.0977904-0.122668j -0.0613095+0.258789j 0.152958-0.213215j 0.519612+0.0124001j 0.11008-0.0543488j -0.091873-0.232068j 0.213406+0.0239548j 0.0764034-0.182962j 0.00853005+0.0915755j 0.0548621+0.0840688j -0.39681+0.167097j -0.171824+0.263005j -0.0304609-0.198133j 0.245966+0.1989j -0.156879-0.100365j -0.131278-0.237871j 0.0288455+0.1981j 0.0990919-0.0946744j 0.201777-0.135292j -0.0251513-0.0566038j 0.0298595+0.0694982j -0.106313-0.238785j -0.280654-0.159386j 0.169184+0.127491j -0.0841903+0.215612j -0.147323+0.0844357j 0.030492-0.0552446j -0.0347023-0.0907861j -0.13711-0.00103946j -0.206353-0.0484438j -0.158327-0.0390497j -0.185826-0.0167483j -0.0944594+0.113105j 
0.15219-0.133552j -0.392641+0.122264j -0.845049-0.474511j -0.289056+0.345507j 0.170941+0.232717j 0.0347318-0.0608456j 0.279629+0.109264j -0.145104+0.594456j -0.0796478+0.327849j 0.501076-0.112899j -0.493698-0.0150386j 0.109084-0.419641j 0.0465947-0.206761j 0.134881+0.352344j 0.115961-0.0638742j -0.27861-0.303383j 0.18668-0.174203j 0.172342+0.379822j 0.0798551+0.328247j 0.481308+0.174976j 0.0402223+0.0740443j -0.285063-0.0545271j -0.227646+0.125948j -0.0182405+0.117403j -0.141802+0.0796005j 0.0379658-0.0812962j -0.0519495-0.115172j -0.040902-0.200252j -0.0168931-0.179754j 0.247519-0.258234j 0.277227+0.0620482j -0.0980101+0.0391573j 0.262705-0.0632675j 0.0716435-0.103663j 0.038295+0.0158422j -0.131453+0.120276j 0.163622-0.0847403j 0.128099+0.23006j 0.0281093-0.164191j 0.0933809-0.15012j -0.164636+0.137671j 0.00897991+0.0181655j 0.179941-0.23907j -0.103349-0.066829j -0.05752-0.00264627j -0.0392843+0.21831j 0.000526231+0.0964614j -0.0501078+0.00769497j -0.156048+0.240059j -0.100054+0.0900259j -0.0315099+0.119651j -0.00405904+0.0839233j 
