-0.0170158-0.112184j -0.0240915+0.160689j -0.0271016+0.0448322j -0.0687612-0.196348j 0.0466138-0.150958j -0.0434013+0.0898245j 0.0169456-0.0133069j 0.0106102+0.179056j -0.00139012-0.0886389j -0.031047+0.114172j -0.0258197+0.059509j -0.0474971+0.0402414j 0.0107334-0.0208632j 0.0159158-0.116967j -0.0198811-0.0547854j -0.0253305-0.0118368j -0.0545537+0.0369884j 0.0337147-0.107747j 0.0924742-0.115202j 0.0101841+0.0955632j 0.0285744-0.0634045j -0.013437-0.0525013j -0.0513862-0.0306766j -0.0325944+0.130888j 0.0325842-0.0845918j -0.0307409+0.123341j -0.028044+0.0753226j -0.0117187+0.0152123j -0.0128024-0.00484065j 0.00915185+0.0151552j -0.0199353-0.0535849j -0.0260406-0.0188366j -0.0164007-0.0938141j -0.0447129+0.015057j 0.0924294+0.0487186j -0.0694448+0.197722j 
0.0321583-0.0286319j 0.0158256-0.0420401j 0.000491428+0.0115777j -0.0677711-0.0482992j -0.00916388-0.0208809j 0.00332219+0.330368j -0.00255978+0.258664j -0.00900783+0.197622j -0.00495378-0.0453711j 0.021818-0.0810623j 0.0249677-0.0616318j -0.0405004-0.0757694j -1.58433e-05-0.0719856j 0.0332778-0.0312188j 0.0411174+0.0546001j 0.0829025-0.00880553j -0.086788+0.123063j 0.0431848+0.0115585j -0.00620374-0.0434294j -0.048748-0.0786448j 0.0399508+0.0115495j 0.00349708+0.0358605j 0.0235984+0.0266028j 0.0155817+0.0443269j -0.0290545-0.0756492j 0.0179399+0.0281111j -0.0177542+0.0552272j 0.0321068-0.00908736j 0.0211431-0.0378907j 0.0332581-0.000166081j -0.0171579-0.00229787j 0.00898857+0.0454824j 0.00142854-0.0192325j -0.00752245-0.0150923j -0.0253583-0.0390165j 0.0132441+0.0455415j 
0.0332538+0.0108055j -0.0517685+0.133227j 0.0328425-0.00173536j -0.00655137-0.0345876j 0.0659086-0.133207j 0.101633-0.215066j 0.181719-0.342385j -0.0426874+0.129926j 0.0641029-0.0873656j -0.0940986+0.207866j 0.0174901-0.0284809j -0.0247381+0.177808j -0.0339193+0.0706008j -0.0182736-0.0396837j 0.0367758-0.0556101j 0.0897684+0.0697278j -0.0127668-0.167879j -0.00253313+0.0680919j 0.0423794-0.0209793j -0.0503359+0.0612647j 0.0415458-0.0806848j 0.0494352-0.0139381j 0.0337295+0.0224634j 0.0178749+0.0602356j 0.00355439-0.0139219j -0.00787254+0.0588706j -0.0255464+0.0153067j -0.000666348-0.0165466j 0.0104267+0.025444j -0.014582+0.0442688j 0.0268898-0.00887313j -0.0119117-0.0465147j 0.00700045-0.0177333j -0.0328969+0.0564964j 0.00767055+0.0016114j -0.00644586+0.0898882j 
-0.00740593+0.117113j 0.0175677-0.0620524j -0.00326491-0.00325368j 0.0447338+0.0318004j 0.0233382-0.0320468j -0.0236811-0.150647j 0.00650306+0.0776753j 0.0181972-0.148124j 0.0313191+0.149358j -0.042308+0.0025966j 0.0650922+0.021075j -0.0140436-0.0967241j -0.00730667+0.0847524j -0.0915827+0.103766j -0.0389556+0.00737447j -0.0456424-0.0788397j 0.0581403-0.0165633j 0.0411587+0.0300489j -0.0258211-0.0488381j 0.0743857-0.0603177j -0.0252454-0.00869994j -0.0474315+0.00370976j -0.0774556-0.011843j -0.0267312-0.00592374j 0.0005738+0.0345502j 0.0090697-0.0413442j -0.0322316-0.034722j -0.00420596+0.0143107j -0.00498408+0.0140774j 0.00249959+0.0206175j 0.00115091-0.000414696j -0.021355+0.0326348j -0.00888561+0.0155512j 0.0063277-0.00466482j 0.00674821-0.0370071j -0.0141557-0.0788075j 
0.096627+0.0207794j 0.0216704+0.00457373j 0.0979427-0.0687482j 0.0246905+0.17975j -0.253034-0.10417j -0.0324645-0.0208817j 0.234098+0.0746174j 0.247011+0.129732j 0.180094+0.0817708j -0.0287467+0.0121242j -0.0774411+0.0266298j -0.0743386-0.138002j 0.145575+0.0539248j 0.12264+0.070334j 0.031849-0.0576229j -0.0064358-0.165821j -0.0247269+0.0942684j 0.0429709-0.0401869j 0.0786886-0.0128681j -0.0424393+0.0442841j 0.036045-0.0212158j -0.00542368-0.0298531j -0.0080591-0.0826043j 0.0670204+0.000660094j -0.0489796-0.0162088j -0.00467389+0.024535j -0.00513075+0.0135295j 0.000915905-0.0127046j -0.0324991-0.00193202j 0.0152785+0.00927923j -0.0546245+0.0104675j 0.0392664+0.0354544j -0.014011-0.0506298j 0.000427561-0.0381565j 0.025419+0.0255788j -0.00943408+0.062263j 
-0.012207-0.1118j 0.0297368+0.0065335j -0.051264+0.000429733j 0.0541512+0.124758j -0.0141156-0.0227121j 0.0159116+0.464877j 0.0141864-0.0306768j -0.00190016+0.456563j -0.0219636-0.241412j 0.0425448-0.205687j -0.0398083-0.0651208j 0.0393927-0.0863445j -0.0288782-0.124773j 0.032282-0.00164064j 0.0232181-0.101038j 0.0358776+0.0177846j -0.00395056-0.139299j -0.0685372+0.0670974j -0.0144207+0.0781954j -0.0342749+0.0762593j 0.0316658-0.0107009j 0.0256573+0.0204373j 0.0333009+0.000926826j 0.0110955-0.0426816j -0.0301977-0.0297608j 0.0192155+0.00988307j -0.0141555-0.00886192j -0.0131265-0.00381522j -0.0238744-0.0217634j -0.0162921-0.00852578j 0.010771+0.0434849j 0.0147533-0.0196722j 0.0127656-0.0187067j 0.00468782+0.0521777j 0.0158486+0.0503333j 0.013854-0.0254509j 
-0.00333724-0.0463239j 0.0130578-0.112546j -0.025617+0.077267j -0.0465956-0.00778617j 0.0308829+0.293981j -0.0124522+0.161328j 0.000735687+0.102171j 0.00195724-0.332705j 0.0119669-0.0826207j -0.0200315-0.0737847j -0.0399105+0.175437j -0.00912847+0.0835412j -0.00390209-0.17749j 0.106828-0.0929921j -0.0202832+0.0299682j 0.0228904-0.0461635j -0.0783612+0.140571j -0.0145859-0.0591099j 0.0993673-0.0897678j 0.00882276-0.013663j 0.0662141+0.0154679j 0.0159679+0.0252963j 0.000836934+0.00808816j -0.0490996-0.0238245j 0.0424456-0.00888163j -0.00501659+0.0257284j -0.00382677-0.00320894j -0.000677505-0.028046j -0.00145474-0.00348628j -0.0145294-0.0125429j 0.0324094+0.00765215j 0.000940638-0.023366j 0.0287499-0.0653553j -0.00877615-0.0560413j 0.0468681-0.0235261j -0.0589609+0.0397187j 
-0.0391586+0.0424447j -0.0137606+0.011643j -0.0927922-0.0734057j 0.000187127+0.122071j 0.00621576-0.062979j -6.96666e-05-0.172339j 0.0197153-0.277858j -0.00238674+0.0651985j -0.019157+0.0225698j 0.0388881+0.0136388j 0.0166925-0.129366j -0.0847195-0.0430591j 0.0479399+0.0464955j -0.0143682-0.0174683j 0.0222431-0.0257209j 0.106649-0.0458228j -0.0826776+0.0398057j 0.0324045+0.0488771j 0.0869173-0.0993657j -0.0412954+0.0473624j 0.0422219-0.123228j -0.0227601+0.0199102j -0.0533541+0.0311184j -0.00201324-0.0547565j 0.0194658-0.00821823j -0.0276479-0.0153487j -0.00964947+0.0325224j -0.0173703-0.0202555j 0.0143261+0.00707618j 0.00646604+0.0457131j 0.033691+0.00756784j -0.00826102-0.0139237j 0.0304983-0.0847846j 0.00880498+0.0402738j 0.0502858-0.0418564j -0.0586462-0.02396j 
-0.0124595+0.0734808j -0.0304274+0.0104144j 0.0246275-0.0915624j 0.0603801-0.0208175j 0.0849594-0.0649039j 0.0236892-0.0564107j -0.0809313+0.00502921j -0.102003+0.142265j -0.0171316+0.143088j 0.0654193-0.024947j 0.151012-0.0479732j -0.190969-0.110649j -0.0418937+0.0644123j 0.122967-0.227787j -0.103123-0.142773j -0.173885-0.103669j 0.170384+0.00637563j -0.00142665+0.0451553j -0.237586+0.0808927j 0.0446341+0.162368j -0.119616-0.0423901j -0.0724134-0.0223793j -0.136169-0.0938237j 0.0102613-0.0998557j -0.0187416+0.0299428j 0.00358377+0.0107273j -0.00885356+0.00439842j -0.0522502-0.0112305j 0.0096199-0.025527j 0.0541324+0.0107843j -0.00470244-0.0136526j 0.0181881-0.0558537j -0.0864288+0.0325985j -0.0138349+0.0337553j -0.0227426+0.039009j -0.00277803-0.0374077j 
0.0250039-0.0856217j -0.0178571+2.18791e-05j 0.0659001+0.0904548j 0.118358-0.0032779j -0.0203985+0.0170587j -0.0105939+0.0828101j -0.0329537+0.0319859j 0.0226861+0.0636471j 0.0331261-0.0925509j -0.0862508+0.0165712j 0.151766+0.044386j 0.0258958-0.0640415j -0.0139724-0.0369284j -0.155317+0.195556j -0.124972-0.0912165j -0.245741-0.160901j 0.0874798-0.0436478j -0.0706862-0.000505164j -0.00284149+0.0618475j 0.229851+0.0160242j -0.0919908+0.0181009j -0.0495231-0.0342628j -0.0681114-0.0460121j -0.0422906+0.0252323j 0.0149929+0.0240784j 0.00939149-0.0578882j 0.00678855-0.0293273j -0.0333974-0.0115955j -0.036603-0.00252824j 0.0315942+0.0459038j -0.0633294+0.0475937j -0.0406496+0.0418181j -0.0146296+0.0360155j 0.0162804-0.00340139j 0.0417195+0.0424582j 0.0286929-0.0163688j 
-0.0642658-0.0270753j 0.0268247+0.0591472j -0.0316098+0.000759154j 0.016914-0.0250883j -0.0555788-0.0365342j 0.0192995-0.0200418j -0.0765-0.0978329j -0.0495703-0.00790765j -0.0614366+0.0214529j 0.0223195+0.14742j -0.129224+0.109921j 0.035547-0.160778j 0.0233102-0.0146199j 0.160337+0.0118814j 0.00741007+0.0227747j 0.0362061+0.109564j -0.0325016-0.0140704j -0.201349+0.0155435j -0.0889265-0.110498j -0.0730564-0.00802075j 0.0128959-0.0336918j 0.0317477-0.0271874j 0.0404468-0.083391j 0.0488221+0.0520379j -0.0359762-0.042043j -0.0321344+0.0726813j 0.0118355+0.025744j -0.00372231-0.0493903j 0.0115165+0.0426882j -0.0230374+0.0591129j 0.00856791-0.0413173j 0.0682902-0.0381339j 0.0115358-0.0419117j -0.0259098-0.0432406j -0.0313259+0.0303281j 0.00775133+0.0476642j 
0.0320663-0.0670334j 0.0696854+0.0485708j 0.00329613-0.0169986j -0.00538406+0.0581768j -0.0734785-0.0709569j 0.0440832-0.0902414j -0.0218797-0.0176972j -0.084019+0.0635906j -0.0589784-0.0474339j 0.0452944+0.106031j -0.124988-0.116849j 0.0423445-0.126995j -0.0549161+0.0633554j 0.111392-0.0246835j -0.162522-0.0527339j -0.362669-0.085627j -0.116121-0.028042j -0.210847-0.0323025j -0.0479162+0.107463j 0.0138152-0.0300867j -0.0392867+0.0926869j 0.0252701-0.0658426j 0.0194381-0.0919982j 0.0120303-0.0246214j 0.0152072+0.0255664j -0.0395219-0.0036814j 0.0355314+0.00164103j -0.0336633+0.0292346j -0.0143914+0.0103363j 0.0679632-0.0218527j -0.00409628+0.0110825j 0.0660187+0.0251025j -0.0325115-0.0015249j 0.0491769-0.0412948j 0.00931655+0.0600988j 0.0145794+0.00964798j 
0.0850817-0.0668706j 0.0625706+0.0164098j 0.0480038-0.0040547j -0.00710112-0.0125437j -0.0492907+0.094253j 0.0303462-0.0325049j 0.00113824-0.178371j -0.00430999+0.0512096j 0.0110533-0.263594j 0.0789179+0.0872628j 0.0184733-0.115748j 0.00747515+0.158999j -0.0612711-0.0288359j 0.0360596-0.0654331j 0.0232746+0.0886072j 0.0710756-0.017679j -0.170601+0.153952j 0.0477115+0.0474362j 0.0281864-0.16864j -0.0607919-0.0719574j 0.041712-0.0445362j 0.0171539+0.00253513j 0.0199499+0.0503944j 0.0346799+0.036042j 0.0167516-0.0364579j 0.0369019+0.0494814j 0.0104936+0.0577323j 0.0275866-0.0266443j 0.0648083-0.0564752j 0.00165817-0.0189983j -0.0197573+0.0102945j -0.00833723+0.0277003j 0.0548212-0.035199j 0.0338678-0.0197393j -0.0336622-0.042041j 0.0184161+0.000792193j 
-0.0031692+0.116021j 0.00726001+0.0185821j 0.0476811-0.113361j -0.000964015+0.0398314j -0.0404089-0.151998j 0.0202767-0.104956j 0.0116127+0.20963j -0.0263529-0.0928871j -0.0506616+0.27374j 0.0522155+0.00828304j -0.14996+0.00817678j 0.0491729+0.111657j -0.00998804+0.0941725j 0.0534818-0.128592j 0.00614292+0.0553729j -0.0106478-0.0250856j -0.122509+0.0493057j -0.0951788-0.0993712j 0.0129456+0.0654536j -0.102284-0.0293638j 0.0498049+0.0130541j 0.0739213+0.0146415j 0.104177+0.0656375j 0.0307056+0.0424792j 0.00640096-0.0190249j -0.00472822+0.0475997j 0.00601255+0.0325362j 0.0162879+0.0170494j -0.0096315-0.0213047j -0.032504-0.00626936j 0.00107346-0.0512369j 0.0310871+0.000721453j 0.0406362+0.00887696j -0.034305-0.000636294j -0.00310466+0.0148377j 0.00965644+0.0597012j 
-0.0230574-0.0177713j 0.00264442+0.0363546j 0.0794715-0.060505j 0.0283966-0.0274417j -0.0891855+0.0280278j 0.0158448-0.0034829j 0.0231895-0.1177j -0.0664659+0.0595478j -0.090399-0.0478805j -0.0596803-0.0601798j -0.0972146+0.0452116j 0.231273+0.234015j -0.00723154-0.0220636j 0.193335-0.0853381j -0.0846487-0.0174744j -0.317863+0.0267481j -0.0440905-0.0160114j -0.137702+0.000688116j 0.0159037+0.117311j 0.0536996+0.134286j -0.0642736-0.0168583j 0.0563583-0.0147303j 0.135831+0.012427j 0.00945088+0.014789j 0.00719629-0.0191613j 0.00039195+0.0400509j 0.00802969+0.0067294j -0.00349987+0.0172244j -0.0500399-0.00512957j -0.024473-0.0274483j 0.0562729-0.0806438j 0.0434123-0.0711749j -0.00555991-0.0067281j 0.0715178+0.00528504j -0.0341387+0.00999906j -0.0229441+0.0236218j 
0.0108509+0.0256685j 0.105418-0.0123074j 0.0400433-0.032768j 0.0306078-0.00934914j 0.0571399-0.019132j -0.0789042-0.0167697j 0.0161921+0.0125476j 0.0414802-0.0153896j -0.0123935-0.136313j -0.0660386-0.0532401j 0.0614734+0.109583j 0.019954-0.0467578j -0.129473+0.146797j 0.180034-0.064201j 0.21305+0.195237j -0.0530998+0.180175j 0.142733-0.0778458j 0.0355596+0.0487044j -0.149235-0.00146665j 0.00785504-0.0880918j -0.0469233-0.00678098j 0.0218762+0.00533402j 0.0182833+0.0493889j 0.0624464-0.0203015j -0.0396736-0.0239775j 0.00810367+0.0136537j 0.00459288+0.010894j -0.0165376+0.00472356j -0.00213279+0.00132573j 0.0106227-0.00714747j -0.00566181+0.0110351j 0.0229514-0.00888772j -0.0184095+0.00761314j -0.0257395-0.00882029j -0.0590335-0.00773094j 0.012674-0.014527j 
0.0135414+0.0040798j 0.115027-0.0422661j -0.00858632-0.0443038j 0.00937977-0.00414376j 0.0294178-0.0457896j -0.068359+0.00440865j 0.0370799+0.0224845j 0.0181471-0.0151132j -0.025744-0.123627j -0.0805698-0.00841202j 0.0679388+0.081377j -0.0658093-0.00874973j -0.0607721+0.150908j -0.0301207-0.0273643j 0.0753411-0.0575858j -0.0735476-0.215591j -0.120123+0.0197442j -0.0219815-0.037933j 0.154906-0.0293171j 0.100214+0.0344828j 0.0616535-0.101266j -0.0324101-0.0258143j -0.0670309-0.00774361j -0.0560248-0.0227981j 0.0345015+0.00223817j -0.0354923+0.00169222j -0.0102802-0.00658254j 0.0103594-0.0053143j 0.0137426-0.0211621j -0.00358212-0.000904113j 0.00281591-0.0128998j -0.0294921+0.0239752j 0.016225-0.0154344j 0.026211+0.00313404j 0.0641333-0.0229967j -0.0110426+0.000989678j 
-0.00825452+0.0629581j -0.0368079-0.0230601j 0.00488744-0.0145922j -0.0605619-0.0302676j 0.0388885+0.0163751j -0.0372091+0.00220693j 0.0431092-0.00511622j 0.133836+0.0505639j 0.042476+0.0581701j 0.0216526-0.0609702j 0.406877-0.0276005j 0.239487+0.0662536j 0.0834829-0.0267753j 0.506596-0.036874j 0.00306625-0.0378386j -0.0101864-0.0238311j 0.0157609-0.00156585j 0.211777+0.0548642j 0.1219+0.0010201j 0.0835132+0.0452069j -0.0765808-0.0451092j -0.0637372+0.0614673j -0.0177591+0.0687292j 0.139645-0.084362j 0.00289628+0.0478148j 0.0371023+0.0231235j -0.0812292+0.0149194j -0.0167454-0.00203075j 0.00872082-0.00502767j 0.0263233-0.00914479j -0.060167+0.0149628j -0.00155999-0.0192814j -0.00984104+8.61704e-05j -0.0303386+0.0251831j 0.0184714-0.0245427j -0.00803449-0.0265937j 
-0.154836+0.0309443j 0.03637-0.0395174j -0.0656792+0.0318845j -0.0154072+0.0250853j 0.0770475+0.0283405j -0.216496+0.00160587j -0.116081+0.0885697j 0.0792528+0.0450064j -0.0681498-0.00206653j -0.0386679+0.201064j -0.228406-0.113775j -0.0962174+0.140725j 0.0280424-0.112409j 0.209733+0.0111896j 0.118508-0.104726j -0.044994-0.182017j 0.206641-0.0218265j 0.0572478+0.107256j -0.0291778+0.0459161j -0.0467216-0.100598j 0.0254218+0.040859j -0.0154639+0.0689496j 0.012242+0.0558803j 0.00723489+0.0779466j 0.0377294+0.044595j -0.0933567+0.0156573j -0.038196-0.0439613j 0.0300873+0.0129783j -0.0604-0.00362264j -0.0454883+0.000902113j 0.106099-0.0139885j 0.0611289+0.015432j -0.0185663+0.0410216j -0.0804222+0.0150536j 0.020893-0.00392476j -0.0507479+0.00769846j 
