-0.0175996-0.0686181j 0.00811612+0.0183955j -0.000159523+0.0424277j -0.029679+0.046295j -0.012061-0.0590718j -0.0158942+0.0357751j -0.0655549+0.042207j 0.0179071-0.0375763j -0.0059704+0.0301911j 0.0518271-0.0196689j -0.0311502-0.028613j 0.0149703-0.00884535j 0.0102031-0.0377751j 0.0276392-0.044922j -0.0432161+0.034291j -0.0249528-0.0126614j 0.0172453-0.00545638j 0.0375589-0.038092j 0.00237773+0.00410912j 0.0335898-0.00220479j 0.0241802+0.00256684j -0.0233864+0.0180085j 0.00304954+0.0229627j 0.00207358-0.000796338j 0.0370306+0.00584814j -0.0241347-0.0235321j 0.0489027-0.028752j 0.0251996+0.0106391j -0.019567+0.00742962j -0.00665087-0.00523494j -0.00874238-0.0111303j 0.0537042-0.0887459j -0.0463559-0.0503402j 0.0388554-0.0977571j -0.00199163-0.0312614j 0.00551529+0.0185625j 0.0868219-0.0624311j -0.0808037+0.0569246j -0.0881882+0.0667686j 0.158144-0.101428j 0.114557-0.0580103j 0.0834468-0.0364155j -0.0633683+0.00710274j 0.0322214-0.130943j 0.0357397-0.0243796j -0.0330759-0.131035j 0.208632-0.194958j 0.0916125-0.017701j 0.174505-0.0899326j -0.00911899-0.000312632j -0.0505451+0.105379j 0.0109675-0.0227751j 0.0997921-0.0427435j -0.00708026+0.00232301j 0.0119653+0.00928449j 0.0160933-0.00910514j -0.00905927+0.0291415j -0.0618112+0.0555037j -0.0181325+0.0422504j -0.015454+0.00231368j -0.0344482+0.0173597j -0.0212885+0.00224593j 0.0275077-0.04593j 0.0334447-0.0493969j 0.0185835-0.0300502j -0.0230825+0.127024j -0.122964+0.0518105j 0.0876342-0.137616j 0.113978-0.0586005j 
0.0101327+0.0239906j -0.0631108+0.0301891j -0.0756432+0.0259727j -0.0251419-0.00647606j -0.0469845-0.0394709j 0.0165671+0.0363009j -0.048788-0.00575472j 0.0465776-0.107635j 0.0752825-0.0508345j -0.0812566+0.0205579j -0.0140845+0.025995j -0.0840951-0.0284412j -0.0361444+0.0397796j -0.0285797-0.00630364j 0.0232057-0.0063197j 0.063358-0.0266604j -0.105024+0.00137233j 0.0161687-0.00255823j -0.089117+0.0860891j 0.0821422-0.0668515j 0.025094-0.0392606j 0.0481557-0.0105269j 0.087196-0.0450331j 0.114621-0.0299974j 0.0927486+0.047117j 0.0636478+0.0526633j 0.0252645+0.0396421j -0.0314447-0.0812005j -0.0785648+0.107243j -0.0313324+0.0199388j 0.0631927-0.161973j 0.0317202+0.113072j -0.02362+0.0855505j 0.0975879+0.0713611j 0.0473638+0.0364815j -0.0255903-0.0552472j 0.0150856-0.121486j 0.0908691-0.00385332j -0.130426-0.00177968j 0.0568985-0.0405429j -0.0187845-0.05701j 0.00604579-0.00312655j 0.0312249+0.0321884j 0.0842159+0.0485169j -0.00946742-0.0220642j 0.15093+0.112681j 0.0744139-0.0501916j 0.0138846-0.0520022j -0.00606442-0.0885062j 0.0159074+0.00545079j -0.0612989-0.0408726j 0.0247222+0.00810175j 0.00137881-0.0685163j 0.0322395+0.017309j -0.0313888-0.0159173j -0.017494-0.0144767j -0.00743189-0.0596755j 0.025902-0.0255394j -0.0550021-0.00756671j 0.0482258-0.0276049j -0.032851+0.0478275j 0.0025043+0.0291965j 0.035775-0.0108134j 0.0103237-0.032322j -0.00893796-0.0162172j 0.00684909-0.052506j -0.0625785-0.00790801j 0.0807283+0.0131433j -0.0254124-0.0685205j 
-0.0271211+0.044621j -0.00829119+0.0135921j -0.0574191+0.036752j -0.0507401+0.0128189j -0.0866914+0.00933501j 0.0712088-0.0838392j -0.0211561-0.028405j -0.0836997-0.0266031j 0.0409907-0.0844218j -0.04758-0.0323432j -0.0153392-0.0388643j -0.0379748+0.00893291j -0.130305+0.035059j 0.0636961-0.00330291j -0.0770948-0.0475277j -0.0629274-0.0495125j -0.0686847-0.070799j -0.0255949+0.0237109j 0.048975+0.0266979j 0.0304035+0.0434001j 0.151774+0.0173007j -0.056549-0.0142748j -0.0580265+0.0996545j -0.0418232-0.0192619j 0.0331169-0.0512865j 0.080273-0.0210851j 0.0720132-0.0436258j -0.00211893-0.0986356j 0.00397304-0.00479764j -0.0852796+0.0744833j 0.0240963-0.188475j 0.031411+0.0590488j -0.050289+0.00523401j 0.102228-0.161475j 0.0653178-0.140059j -0.0599949-0.0455261j -0.027535+0.0735746j 0.0537408+0.017783j -0.076968+0.0659033j 0.0380219-0.073325j 0.0218779-0.0239735j 0.0103637-0.0270102j -0.0378946+0.013158j 0.0805693+0.00825286j 0.0317669-0.0106369j 0.0331674+0.04491j 0.0696326-0.057472j 0.01074-0.0127663j 0.0378141-0.0366399j 0.0141762-0.0492483j -0.0235937-0.0150681j 0.0221947-0.00200824j -0.0150218+0.00488887j 0.0431123+0.00668686j -0.0217982-0.00976301j 0.00719863-0.00807754j -0.0385792-0.00376959j -0.0406875-0.000422984j 0.00306229-0.00561591j 0.00486729-0.00337725j 0.0110558+0.00542262j 0.0137417-0.0100681j 0.011926-0.0312041j 0.00334634-0.0317159j -0.0437741-0.00898506j 0.0462113-0.0180112j -0.0200076-0.0220642j 0.0420304-0.00657519j 0.00896798-0.0262406j 
0.00745571+0.0305195j -0.00117942+0.00226795j 0.0422181-0.00456854j -0.0331411+0.0135088j 0.00140079-0.000360326j -0.056301-0.00617041j 0.0140215+0.0190481j 0.00595892+0.00805489j 9.07378e-05-0.0488694j 0.0836875+0.0174844j -0.035951+0.0123366j 0.068488+0.0022702j 0.00249606+0.0260889j -0.0289202-0.0768066j 0.0420734+0.0125134j 0.0545029+0.0920656j 0.0653851+0.0208697j 0.106826+0.0513233j -0.0432121+0.00848359j 0.0455631-0.0318396j -0.080952-0.0331655j -0.0694736+0.137621j 0.0123284-0.0606014j 0.00900892-0.0124177j 0.0542969+0.243988j 0.062985+0.117681j 0.0976652-0.0631376j -0.0304831+0.0541271j 0.075241+0.0927264j 0.120985-0.0283214j -0.138417-0.0250527j 0.0783327+0.0500928j 0.0534129+0.181781j 0.125977+0.140752j 0.0607245+0.0429357j 0.0865349-0.0654085j -0.087488-0.0181146j -0.0478238-0.0961289j -0.106722+0.00441869j 0.115724+0.0565226j 0.0319509-0.0190815j 0.0615976+0.0569506j 0.0176213+0.00500929j -0.0932136-0.026117j -0.0164487-0.0131351j -0.0534875+0.00634239j -0.00249196-0.023011j 0.0239727-0.00858363j -0.00870015+0.00679979j -0.013796+0.00860051j -0.0140376+0.0142005j 0.00760195-0.0128581j 0.0346825-0.00169952j 0.0118991-0.00654611j -0.00437431+0.0125382j 0.0147179-0.0256536j -0.00988746-0.0430485j -0.0585326+0.0288491j -0.00730153-0.0130725j -0.0246071-0.0407348j 0.0351089-0.0101091j 0.0269013+0.0390284j 0.00504837+0.0115383j -0.00363719-0.00622337j 0.0320001+0.00372735j 0.0234815-0.0428096j -0.0533083-0.0287605j 0.0129831-0.0136702j 0.00781029-0.0160293j 
-0.00668867+0.0168191j -0.00992836+0.0170953j 0.0205791+0.0290308j -0.0193792+0.0302699j -0.00890736+0.0229328j -0.0419059-0.00903994j 0.0686318+0.0358028j -0.00806344+0.0292296j -0.00254307-0.0399801j 0.0848691+0.0613201j -0.0169145+0.0577934j -0.0214729-0.0512416j 0.066333-0.0270367j -0.0595548-0.104262j -0.00442055+0.0257231j 0.0809162-0.00118352j 0.0451524-0.0392194j -0.0770828+0.0369588j 0.0371974-0.0208169j -0.105723+0.104725j -0.0404969-0.103672j 0.0780493-0.0355445j 0.0130685+0.0220201j 0.171087+0.0443201j -0.0763054-0.0219248j -0.0117096+0.025057j -0.063331+0.114942j -0.148068+0.0314384j 0.0235992+0.000468671j -0.00866676+0.0338886j 0.0977191+0.0615509j 0.161874-0.124324j -0.0426112-0.0260816j -0.0999205+0.0699392j 0.0452645+0.107848j 0.110609-0.00570548j 0.0280319-0.0193769j -0.0549881+0.0200947j -0.0107722-0.0330723j 0.0963903+0.0608756j 0.0253479+0.0149221j -0.00317546+0.0297326j -0.023188+0.025537j -0.0640842+0.0171274j 0.00363847+0.00315606j -0.0598739-0.00724432j 0.0328309+0.0648227j 0.0171065+0.0456598j 0.040118+0.0270238j 0.00914916-0.0210068j 0.0275047-0.0483131j -0.0179754+0.0128674j -0.00533686+0.0286493j -0.0181507-0.0198106j -0.0125755+0.0218741j -0.046922+0.0115192j 0.00494989+0.0191841j -0.00218099-0.0305706j -0.00692535+0.00980947j -0.00292414-0.0142474j -0.0105209+0.0125339j -0.0375662+0.0142472j 0.0431227+0.0405418j 0.0468311-0.060425j -0.00770351-0.00626949j 0.022887-0.00408884j -0.0171188-0.0170536j -0.0221941+0.0194721j 0.0263661+0.0277608j 
0.0182242-0.0245758j -0.00121547-0.0133829j -1.36246e-05+0.00188946j 0.00421732+0.00237716j 0.0152676+0.0192781j 0.0245388+0.0213034j 0.00800027+0.0499735j 0.0722658+0.106922j -0.0645053+0.0366786j -0.0523262+0.0390191j 0.0261929+0.00903198j -0.020856-0.0944558j 0.00899602-0.0617448j 0.0555568-0.10306j 0.0653887-0.0242233j -0.032732+0.0373872j -0.0224156-0.0203256j 0.000149666-0.0618362j -0.0781683+0.0379216j -0.0353504+0.00313545j -0.116927-0.0134926j 0.0860495+0.0291988j 0.0631292+0.00270846j 0.154849-0.0139228j 0.0794099+0.0353816j -0.0103494-0.0344805j -0.0409807+0.0764863j -0.012228+0.0389862j -0.0650698+0.0870065j -0.0727695+0.079347j -0.0332649+0.0700319j 0.0260894+0.0575147j 0.0972359+0.00990275j -0.0374109-0.0342374j -0.108936+0.0294166j -0.00540829+0.00452563j 0.0726551+0.0109338j -0.0182911+0.033039j 0.0668238-0.0261814j -0.0509902+0.0294528j 0.000116866-0.0189332j 0.0064977+0.00415727j -0.00732527-0.0219823j -0.0374856+0.0320511j -0.0140127+0.00892543j -0.00263419-0.0165452j -0.013464+0.0210868j -0.0117868-0.00530443j 0.00918124+0.00982913j -0.0301402-0.00594225j 0.0472285-0.0306548j -0.0382607+0.0116333j 0.0203687+0.0158264j -0.00471272+0.00414935j 0.0127495+0.0104837j -0.0122123-0.0155044j 0.00581903+0.00667398j 0.0214759+0.0109528j -0.0402436+0.00657647j -0.00540617+0.00765829j -0.0109729+0.0313752j -0.0138058-0.0157121j -0.0213075+0.0556427j 0.0445711+0.00813073j -0.00607355-0.0329388j -0.0361198+0.0210647j 0.00391124+0.00623472j -0.0225282+0.0180768j 0.0151824+0.00697512j 
0.00228974+0.00724439j 0.0191079+0.0149142j 0.0180204+0.00147999j 0.00307567+0.0103992j 0.018608-0.000678732j 0.0652347+0.0120717j 0.00885653+0.0565265j 0.045117+0.0405782j 0.0230235-0.0420618j 0.00212593-0.00351312j -0.0413316+0.0374091j 0.00222215+0.0277097j -0.0968754-0.148831j -0.0266419-0.072418j -0.0152763+0.10562j -0.0446663-0.0231379j 0.005818-0.000265857j -0.0153132+0.111871j -0.0321668-0.0596858j 0.0253497+0.0927329j -0.082887-0.199678j -0.0491897-0.0693943j -0.206141-0.00406208j 0.0242031-0.15126j -0.255613+0.0666061j 0.0454299+0.137283j 0.133591+0.12663j 0.128577+0.0352452j -0.156053+0.0133915j -0.0433616+0.0569421j 0.152744-0.0850516j -0.0578591+0.0770864j 0.0199468-0.00306516j 0.0561144-0.0467871j -0.0048928-0.0106711j -0.0641799+0.0579388j 0.0164551-0.0188599j 0.0111537+0.0698276j 0.0270043+0.0334629j -0.0281371-0.031427j 0.00715637-0.0324796j -0.0172616-0.00204209j -0.0231191-0.00134099j 0.00589168-0.0788418j -0.0293771+0.0134296j -0.057652-0.0838451j -0.00611508-0.0313504j -0.028109+0.0243792j -0.0451146+0.00906377j 0.00598108-0.00265134j -0.00309752-0.0301615j -0.0229244-0.0147639j -0.0186372+0.0471692j -0.044621+0.00214905j -0.00227993+0.0254247j -0.00883483+0.0221124j 0.0160974+0.0547407j -0.00392312-0.0118804j 0.00925403-0.0198751j 0.00126039-0.0252137j -0.0209919+0.0235872j 0.043753+0.0148054j 0.00550098-0.014872j 0.0195332-0.000408602j -0.0111665-0.0233675j -0.00542367+0.029663j 0.0151906+0.0132176j -0.030575-0.0203856j -0.0212196+0.0311254j 
-0.00470486-0.0332018j 0.0295503-0.0269565j 0.0457757+0.0043329j 0.0595984-0.00637438j -0.0201679+0.019323j -0.0322815-0.0076948j 0.0970565-0.0100196j -0.108522-0.0338399j -0.134529+0.0827773j 0.0352238-0.00499777j 0.0862547+0.00332153j -0.0685677+0.0704816j 0.00618442+0.059775j -0.0577573+0.0178811j -0.00983315-0.0842358j -0.0895668+0.0458224j 0.0316156-0.0375294j 0.133479+0.0459249j -0.0362338-0.016089j -0.0843874+0.115787j -0.101757-0.0361378j 0.0440139+0.00278658j 0.0328105+0.0155448j -0.023008-0.0301956j -0.0794225+0.222309j 0.0125601+0.0579493j -0.00298198-0.117133j 0.00524454+0.0210996j -0.0283274+0.0970717j -0.13431-0.129671j -0.151313-0.0980976j -0.163892-0.0132867j 0.0522374+0.0742366j -0.0953924+0.00803665j 0.0437645+0.073095j 0.0678302+0.138313j -0.0112192-0.0351746j 0.055694+0.0282095j 0.129894-0.000551025j -0.0879543-0.0285404j -0.00105925+0.00774819j -0.0384521-0.00866263j 0.0352678+0.00400108j -0.0169839-0.00254872j 0.000152903+0.00659713j -0.00100852+0.0286043j -0.00389147-0.010832j 0.0112286+0.00760466j 0.0100978+0.0577813j 0.019333-0.00273972j 0.0241841-0.00778113j -0.0029137+0.0131657j 0.0213951+0.0210708j -0.0130092+0.0233714j 0.0314427+0.0416499j 0.0151656+0.0420278j 0.00271087-0.0277821j 0.000610137-0.00245949j 0.00903368-0.0127152j -4.60872e-05+0.00528813j 0.00545428-0.00134488j -0.0238047+0.011698j 0.0271479-0.0274007j -0.0466332-0.046484j 0.00840913+0.0299481j -0.0225558+0.021145j 0.0676889+0.0309758j -0.0149944+0.0135641j 0.00928077+0.018612j 
0.00239202+0.00933046j -0.00263197+0.00225763j 0.0292259-0.0217928j -0.0633449-0.00421854j -0.00588086+0.0384887j -0.104703-0.0579658j 0.00677148-0.00505254j -0.0302795+0.0566231j 0.023306+0.025506j 0.00900535+0.0787559j 0.0183091-0.0149302j 0.0514048+0.0711257j -0.000602908+0.0876537j 0.0866737-0.0439254j -0.132185+0.114546j 0.00107886+0.112625j 0.0338897-0.0178245j -0.0417424-0.11282j 0.121179+0.0659765j 0.0592052+0.0400561j -0.0433874-0.12108j -0.0176338+0.00558787j -0.0874955-0.105265j 0.0227361+0.106706j 0.0734703+0.0863902j 0.164416+0.0436533j -0.146979-0.0353935j 0.0640556-0.060668j 0.0884559+0.0250262j -0.0351969+0.0686516j 0.00552881-0.00963324j 0.0696815+0.174269j 0.0420603-0.0133571j 0.0502506-0.038817j -0.0108884+0.00652475j -0.0355052+0.14557j 0.0262094-0.0159923j -0.0791519-0.0419578j 0.0326753-0.0103657j 0.0214409+0.0327151j 0.0344167-0.0127828j 0.0385281-0.0151506j -0.0513735+0.0305939j 0.0222426-0.0328736j 0.0435007-0.0143354j -0.0218487-0.00731424j 0.0416041-0.0380188j 0.0156257-0.066652j 0.0693825-0.0247185j -0.0356993-0.0262044j 0.026514-0.0333525j 5.67678e-05+0.00603808j 0.0178746+0.0147885j 0.00162419+0.0212214j 0.0282547+0.0113462j 0.00617968+0.00269044j -0.0133791+0.015207j 0.0108618+0.0100218j -0.0323017-0.0302292j -0.0355303-0.00673844j -0.0347647-0.0205402j 0.0415232-0.00957431j 0.000544805-0.0333289j -0.00537163+0.0127656j 0.00738989-0.00647137j -0.0232825+0.00153201j -0.0145317-0.00363157j 0.00766096+0.00764107j 0.0324197-0.0228517j 
0.0196862-0.00794328j -0.0240288+0.00619507j -0.0586353-0.00268151j 0.0146076-0.0274361j -0.0216404-0.0945912j -0.0103031+0.0446466j -0.0498837-0.000208114j -0.0352931-0.0419014j 0.0188719+0.0404919j 0.0141663+0.0366736j 0.0167932+0.0317971j 0.0609762+0.0251627j 0.13374-0.00112654j -0.0167223-0.133618j -0.0212575+0.0962155j 0.0054005+0.094256j 0.0642792+0.0442391j -0.0305661+0.140779j -0.0456867-0.0217899j -0.0449273-0.0215298j 0.148525-0.0987903j -0.0512518+0.105045j 0.0320859+0.0120932j -0.118147-0.0445167j -0.166102+0.194278j 0.011761+0.192961j -0.0187893-0.0114951j 0.00330443-0.102962j 0.0160027-0.0369508j 0.115041+0.00824764j -0.0891799+0.0668574j 0.268519+0.160707j 0.126814-0.000913752j 0.0199715-0.0151728j -0.0244804-0.0174447j -0.0126854-0.160807j -0.0639074+0.116811j -0.0912717-0.0550537j -0.00416601+0.0778625j 0.029649+0.017184j -0.00561723-0.0332266j 0.0133273-9.75264e-05j -0.019282+0.0526148j -0.0436466+0.0440902j -0.0204618+0.00466049j 0.00638041+0.0344979j -0.00956907+0.00303014j -0.0383712-0.0318366j -0.0490469+0.0015533j 0.0265822+0.0242524j -0.0250682-0.0184641j 0.00618955-0.0027964j -0.0368595-0.0289517j 0.0266122+0.0121262j -0.0255469-0.029906j -0.0418-0.0323966j -0.00971793+0.0204118j -0.00810025+0.023237j 0.00426922-0.0221484j -0.0246914-0.0281996j 0.0151943-0.0352608j 0.0178631+0.00896776j -0.0245857+0.0145272j 0.0381413+0.021854j 0.025856-0.0187534j -0.0108304-0.0338479j -0.0276966-0.00275803j 0.00794845-0.00615043j -0.0268968-0.0176013j 
-0.0112465-0.0297626j 0.00105949+0.0074971j -0.0298121-0.0194509j 0.070946+0.0207126j 0.037237+0.0235728j -0.0612576+0.0284256j 0.0308356-0.0148594j -0.0404791+0.0403265j 0.0440838+0.0409134j -0.00436555+0.0861472j -0.060483-0.0115725j -0.0284773-0.00467525j -0.0064113+0.03973j -0.0558371-0.0624706j 0.0281011+0.0155871j 0.0477516+0.0106336j -0.0647053+0.0472299j -0.116832+0.0126013j 0.0724341-0.038511j 0.00853568-0.0214519j 0.11921-0.0339819j 0.030417+0.00188095j -0.137871-0.198032j -0.0248336-0.00927823j -0.0172821-0.115829j -0.0561884-0.04063j -0.0132731+0.0787494j 0.0046542+0.101028j 0.030933-0.102496j 0.0852261-0.058226j -0.0513484-0.0911989j -0.102606+0.0343075j 0.00953776+0.0599055j 0.0547424-0.0428359j -0.0144372-0.0416695j -0.0795446+0.050457j -0.0152423+0.0455833j -0.038532-0.0137826j -0.0261224+0.0810885j -0.00669539-0.0347989j -0.00171708+0.00575934j 0.0574813-0.0258345j 0.0244952-0.00608434j 0.0118551+0.0495925j -0.00214775-0.00499158j -0.0650419+0.033611j -0.0391861+0.0656603j -0.0662122-0.0580744j -0.0168147+0.00150343j -0.0461092+0.0260191j 0.0229632-0.0501284j -0.021716+0.020437j -0.0260863+0.0110553j 0.0201662+0.00341937j 0.00886484+0.0413469j 0.0076493-0.00616314j -0.0176281-0.009263j 0.00034782-0.0224504j 0.0315647+0.0120703j -0.00611198-0.00672607j 0.0179578-0.0422585j 0.0292249+0.0196985j -0.0019847-0.0282123j -0.027488+0.0236851j 0.00262891+0.00278332j -0.0093082-0.0216403j -0.022516+0.025787j -0.0284887+0.0361409j -0.000247176+0.0129228j 
-0.00386536+0.0203486j -0.00574155-0.0250495j -0.0384463+0.0652631j -0.0349094-0.0354616j -0.0652127+0.0303178j -0.0495439-0.0617519j -0.0258839+0.045089j -0.00054037+0.014618j -0.0227989+0.0453626j 0.0232314-0.0184298j -0.10108-0.103622j -0.0599742+0.0969066j 0.0224733-0.00530638j -0.0173878+0.0197041j -0.0183382-0.0699899j 0.0610364-0.0145659j -0.0297313-0.0410524j 0.0989274+0.000379134j 0.014317-0.0505361j 0.0251426+0.0211506j 0.212777-0.139142j 0.0340401-0.00103112j -0.0805318+0.0465735j 0.102238+0.101485j 0.016203-0.165274j -0.0472103+0.146904j 0.0474488-0.0170542j -0.152328+0.0941872j -0.0834064-0.0697356j 0.0339726-0.0311448j -0.132882+0.103813j 0.0461415-0.0359483j -0.0243369+0.0892362j -0.0839682+0.123282j -0.0200004-0.012825j 0.0880834-0.0394401j -0.00821087+0.0438727j 0.0106984-0.0406199j -0.0460272-0.0417334j 0.058209+0.066716j -0.00301374+0.0223735j 0.00403047+0.0211061j 0.015708+0.00178251j -0.0498949-0.0310786j 0.0142456-0.0162419j 0.013305+0.030885j 0.00977388-0.012529j 0.0160368-0.0135974j 0.0284331-0.0599484j -0.000265615-0.0343761j -0.00690727-0.0121397j 0.0139332-0.0092822j 0.0103946+0.00388449j -0.0133451-0.00595867j 0.00470036-0.020261j -0.00147716-0.00629308j -0.0145035+0.0154014j -0.00352732+0.00866986j 0.000238616-0.0231455j -0.0127851-0.0060058j -0.0336078-0.00563249j -0.0125612-0.0141906j -0.0249642+0.00346176j 0.00608898-0.00578125j -0.000896464+0.0161053j 0.0405699-0.0142166j 0.00122074-0.0469186j 0.0171779-0.00162207j 0.00896261-0.0226778j 
0.0188402-0.0445919j 0.0138435-0.00428821j -7.32615e-05-0.0162166j 0.00481336-0.00799033j -0.0183055-0.0352803j -0.00301987-0.027541j 0.0153123+0.0468944j -0.0172119+0.0591919j 0.0363045+0.043741j -0.086753+0.00178507j 0.0759707-0.0507717j 0.0750593-0.0595341j -0.142353-0.0231836j 0.00730102+0.0923582j -0.0150918-0.0137388j -0.0887677-0.108241j 0.0629661-0.0935857j -0.151952-0.0741014j 0.000233887+0.02797j -0.0585547+0.1665j 0.12012+0.0738963j -0.161817+0.0151945j 8.13227e-05+0.164504j 0.0294622+0.0150375j -0.0472039-0.0229635j -0.0330209+0.153607j -0.0847325-0.0742257j -0.116317-0.03062j 0.123141+0.0496761j 0.00863362+0.059704j 0.0118944+0.137573j 0.173732+0.066181j 0.0376884-0.00622735j 0.00503179-0.0984005j -0.0350318-0.015546j -0.0466368-0.0348595j 0.0497073+0.0306616j 0.00220347+0.0444524j 0.0687277+0.0285108j -0.0288069-0.0425243j -0.02843-0.0288928j -0.0428568-0.0187611j -0.0468715+0.0087324j 0.0374847+0.033498j 0.00156413-0.00399963j -0.0439022+0.0120577j -0.019338-0.0323202j -0.00990613-0.0141283j 0.014845-0.00858234j -0.0257573-0.014817j 0.0453784+0.0018067j 0.00764038-0.000401664j -0.011861+0.00738429j -0.00373421+0.00511435j -0.0213044+0.000829755j -0.00516954+0.0121967j 0.0205379-0.0138586j -0.00189314+0.0322085j -0.0152977-0.0089853j 0.015164-0.00453218j 0.0169799+0.00928579j 0.0364911+0.00617246j -0.0022196-0.0133096j 0.0221333+0.0162161j -0.00986483-0.0360791j -0.0176834+0.0103897j 0.0159596+0.0120185j -0.0207315-0.00344173j -0.00418339-0.0126936j 
-0.0138226+0.0179923j 0.00371088+0.00796304j -0.00135939+0.0403992j 0.0203603-0.000543589j 0.0105163+0.0382406j 0.0848817-0.0526795j 0.0655159+0.0742143j 0.00553551+0.0175746j 0.0056837-0.0461075j -0.0185696+0.0337241j -0.0649081-0.114092j 0.043514-0.0422223j -0.106535+0.0151705j -0.0514219+0.0218932j 0.0225845-0.0295345j 0.0285289+0.0872788j 0.140488+0.0772461j -0.0368317+0.0771329j -0.126551+0.16111j -0.0850689+0.00223782j 0.0521639+0.0546899j -0.0335053+0.0912441j 0.0852991-0.250564j -0.13144-0.153611j 0.00677311+0.0951306j -0.0998529+0.00497063j 0.0156426-0.00479803j 0.0500102+0.0170843j 0.232855+0.124115j 0.00697371+0.0401265j 0.0562013+0.0572257j 0.0555137-0.159419j -0.0300032-0.0583532j -0.00286057-0.0249744j 0.0266779+0.0522001j -0.0285279+0.00516963j 0.00097336-0.0539243j 0.0340991-0.00489136j -0.0356026-0.0297329j 0.0454866+0.0158985j -0.0457807-0.00879909j -0.0141832-0.0168942j -0.0343761+0.0191941j -0.00770809+0.0183777j 0.00851767+0.0178683j -0.00800363-0.0215403j 0.0101248-0.00766792j 0.000603257-0.00311349j -0.0326104+0.0298369j 0.0249481-0.000908496j -0.00707679-0.0434439j 0.0308469+0.0276004j 0.0237079+0.0440075j 0.00379331-0.00767049j 0.0281543+0.00235084j -0.0131938-0.00195186j -0.004703-0.0111708j -0.00360205+0.00696091j 0.00621276+0.0125131j 0.00550943-0.0369229j 0.0382932+0.00151877j 0.0102973-0.00129531j 0.0147651+0.0332919j 0.0273457-0.0166548j -0.0194836-0.0050381j 0.0161089+0.00662593j -0.00895731+0.0150581j -0.00375384+0.00939324j 0.000595062+0.0144601j 
-0.0115256-0.0026332j 0.00757011-0.0211312j -0.0143207-0.0197007j 0.00235828-0.0288878j -0.0211419-0.00958203j -0.0556399-0.0404128j 0.0342768+0.033813j -0.0146347+0.0351158j -0.0621781-0.0592994j 0.0214531+0.039393j 0.0612329+0.0267592j -0.227358-0.135107j -0.0348378+0.0832056j -0.0041817+0.106088j 0.00630991-0.0540744j 0.0678319-0.0434129j 0.0562307-0.09232j -0.114276+0.0381258j -0.0210323+0.0795648j -0.0780291+0.142361j 0.0114137-0.0745705j 0.130909+0.0874325j 0.0065642-0.056268j 0.307246+0.0808867j 0.0907303+0.0340476j -0.0555216+0.216434j -0.101547+0.0374806j -0.0140448+0.0233481j 0.107243-0.0281415j -0.0610229+0.0482564j -0.0510573-0.109289j 0.00476139+0.105821j 0.101113+0.181491j 0.0249034+0.0177925j 0.0637748-0.0408069j -0.0217809-0.00879969j -0.0732269-0.0584448j 0.0155522-0.0789004j -0.0483112+0.0569164j 0.0216891-0.0063893j -0.0177135+0.0150057j 0.00981395+0.0570383j -0.00491927-0.00409533j 0.00788255-0.0114262j 0.00401111-0.0428774j 0.0144412+0.00658318j 0.0106786-0.0271161j -0.0171659+0.00326275j 0.0304887+0.017947j -0.0337495-0.0118825j 0.0329908+0.00592015j 0.0314703+0.00803523j -0.00451276+0.0377229j 0.0231812-0.0131216j -0.00561264+0.00492708j -0.0339005+0.00261749j 0.00646433-0.0112698j -0.00304166+0.0218789j -0.0261002+0.0237576j 0.021251-0.0121362j 0.00981666+0.00109924j 0.000513879+0.0311036j -0.00443501-0.0237684j -0.0254543+0.0103588j 0.019789+0.0223019j -0.00834485-0.023903j -0.0142583-0.0120302j 0.00350901-0.00359054j 0.00333237+0.00628421j 
