-0.00292298-0j 0.0409693-0j -0.0433107-0j -0.0316296-0j 0.0540271-0j -0.00937107-0j -0.000649504-0j -0.000474331-0j 0.00858298-0j 0.0129362-0j 0.0381389-0j 0.00858055-0j -9.93714e-05-0j 0.0113071-0j -0.00147242-0j 0.000404428-0j 0.00134859-0j 0.00098487-0j 0.00191634-0j 0.00183674-0j 0.16754-0j -0.0460181-0j -0.15345-0j -0.112064-0j -0.218053-0j -0.208995-0j 0.0706411-0j -0.00164621-0j -0.000981611-0j 0.000822991-0j 0.187315-0j 0.111693-0j -0.000620825-0j -0.0936447-0j 
-0.0373997-0j -0.0374789-0j -0.100623-0j 0.0258255-0j 0.0657324-0j 0.00765145-0j 0.0236469-0j -0.00606908-0j -0.00785177-0j 0.00392243-0j 0.00811559-0j 0.0176539-0j -0.00127146-0j 0.144674-0j -0.00342086-0j -0.00134859-0j 0.00351041-0j -0.000900965-0j 0.000581059-0j 0.00223468-0j 0.389245-0j 0.15345-0j -0.399435-0j 0.102517-0j -0.0661162-0j -0.254275-0j -0.0576782-0j 0.00134413-0j 0.000801482-0j 0.00236171-0j -0.152942-0j -0.0911973-0j 0.000506902-0j -0.26873-0j 
0.0273128-0j -0.0765675-0j -0.0258255-0j -0.0116059-0j -0.0480042-0j 0.0156315-0j 0.00606908-0j 0.00272743-0j 0.00573412-0j 0.00801332-0j -0.00592679-0j -0.0128926-0j -0.00259753-0j 0.295562-0j 0.00245608-0j 0.00098487-0j 0.000900965-0j 0.000404891-0j -0.000424345-0j 0.00456533-0j -0.279467-0j -0.112064-0j -0.102517-0j -0.0460708-0j 0.0482845-0j -0.51947-0j 0.473384-0j -0.000981611-0j -0.00058532-0j -0.00172475-0j 0.111693-0j 0.0666011-0j -0.00416031-0j 0.196252-0j 
-0.0991692-0j -0.0176522-0j -0.0243485-0j -0.0177816-0j -0.0171723-0j 0.00983065-0j 0.0118091-0j 0.00862416-0j 0.00690072-0j -0.0138748-0j -0.00558783-0j 0.0131452-0j -0.00337142-0j 0.383619-0j -0.000827767-0j 0.00191634-0j -0.000581059-0j -0.000424345-0j 0.00383536-0j -0.000583799-0j 0.0941881-0j -0.218053-0j 0.0661162-0j 0.0482845-0j -0.43641-0j 0.066428-0j 0.0397132-0j -0.000925471-0j 0.00261135-0j 0.00363727-0j 0.105306-0j -0.297134-0j -0.000349017-0j -0.413869-0j 
-0.0509373-0j -0.0610118-0j 0.0153994-0j -0.0314601-0j -0.0803982-0j -0.00299445-0j -0.0113186-0j 0.0231233-0j 0.0142224-0j -0.00354175-0j 0.00353405-0j -0.014385-0j 0.00155629-0j -0.177084-0j -0.000470498-0j -0.00183674-0j 0.00223468-0j -0.00456533-0j 0.000583799-0j 0.00245642-0j 0.053536-0j 0.208995-0j -0.254275-0j 0.51947-0j -0.066428-0j -0.279505-0j 0.117952-0j 0.00058532-0j 0.000349017-0j 0.00129954-0j -0.0666011-0j -0.0397132-0j -0.00103661-0j -0.14787-0j 
0.017217-0j -0.0723174-0j 0.0144369-0j 0.118488-0j 0.00649294-0j -0.0146693-0j 0.00382572-0j 0.031399-0j 0.00322613-0j -0.0110643-0j 0.00331317-0j 0.000769478-0j -0.00274874-0j 0.312767-0j -0.00230489-0j 0.000620825-0j 0.000506902-0j 0.00416031-0j 0.000349017-0j -0.00103661-0j 0.262263-0j -0.0706411-0j -0.0576782-0j -0.473384-0j -0.0397132-0j 0.117952-0j -0.182093-0j 0.000548737-0j 0.000327204-0j 5.88634e-05-0j -0.0624385-0j -0.0372311-0j 0.00160031-0j -0.00669782-0j 
-0.0117877-0j -0.0105432-0j -0.00988426-0j -0.00721845-0j -0.00444541-0j 0.0624251-0j 0.0764548-0j 0.0558347-0j 0.0644724-0j 0.047084-0j 0.0662118-0j 0.0153776-0j -0.158819-0j -0.00155206-0j -0.133173-0j -0.168453-0j -0.137541-0j -0.100446-0j -0.0947011-0j -0.0598942-0j -0.00130144-0j -0.00164621-0j -0.00134413-0j -0.000981611-0j -0.000925471-0j -0.00058532-0j -0.000548737-0j 0.720804-0j -0.0887823-0j -0.0159718-0j 0.00704409-0j -0.000867629-0j -0.0561508-0j -0.000156085-0j 
-0.0332606-0j 0.00628676-0j 0.00589384-0j 0.00430425-0j 0.00265073-0j 0.176141-0j -0.0455888-0j -0.0332934-0j 0.181918-0j -0.0280754-0j -0.0394811-0j -0.0091694-0j -0.448129-0j -0.00437936-0j 0.0794093-0j 0.100446-0j 0.0820136-0j 0.0598942-0j -0.267212-0j 0.035714-0j 0.000776031-0j 0.000981611-0j 0.000801482-0j 0.00058532-0j -0.00261135-0j 0.000349017-0j 0.000327204-0j 0.0887823-0j 0.315733-0j 0.00952374-0j 0.000867629-0j 0.00308552-0j 0.0334819-0j 9.30712e-05-0j 
-0.00589301-0j 0.0185251-0j 0.00106029-0j 0.000774328-0j 0.00986982-0j -0.00669638-0j 0.0382221-0j 0.0279135-0j -0.113282-0j 0.185048-0j -0.00710259-0j -0.197788-0j -0.0793982-0j -0.000775923-0j 0.0142856-0j -0.0842145-0j 0.241668-0j 0.176489-0j -0.372192-0j 0.132979-0j 0.000139607-0j -0.000822991-0j 0.00236171-0j 0.00172475-0j -0.00363727-0j 0.00129954-0j 5.88634e-05-0j 0.0159718-0j 0.00952374-0j -0.155646-0j 0.000156085-0j 9.30712e-05-0j 0.00602334-0j -0.00152106-0j 
0.0456535-0j 0.0408337-0j 0.0382816-0j 0.0279569-0j 0.017217-0j 0.00828294-0j 0.0101445-0j 0.00740848-0j 0.00855458-0j 0.00624738-0j 0.00878538-0j 0.00204039-0j 0.00155206-0j -0.176603-0j 0.00130144-0j 0.00164621-0j 0.00134413-0j 0.000981611-0j 0.000925471-0j 0.00058532-0j -0.148086-0j -0.187315-0j -0.152942-0j -0.111693-0j -0.105306-0j -0.0666011-0j -0.0624385-0j -0.00704409-0j 0.000867629-0j 0.000156085-0j 0.801518-0j -0.0987239-0j 0.000548737-0j -0.0177603-0j 
0.128818-0j -0.0243485-0j -0.0228267-0j -0.0166703-0j -0.0102662-0j 0.0233715-0j -0.006049-0j -0.00441757-0j 0.0241379-0j -0.00372522-0j -0.00523859-0j -0.00121665-0j 0.00437936-0j -0.498309-0j -0.000776031-0j -0.000981611-0j -0.000801482-0j -0.00058532-0j 0.00261135-0j -0.000349017-0j 0.0883014-0j 0.111693-0j 0.0911973-0j 0.0666011-0j -0.297134-0j 0.0397132-0j 0.0372311-0j -0.000867629-0j -0.00308552-0j -9.30712e-05-0j 0.0987239-0j 0.351089-0j -0.000327204-0j 0.0105902-0j 
-0.00444541-0j 0.0186723-0j -0.00372759-0j -0.0305936-0j -0.00167647-0j -0.110556-0j 0.0288329-0j 0.236641-0j 0.0243141-0j -0.0833867-0j 0.02497-0j 0.00579924-0j 0.281271-0j 0.00274874-0j 0.235853-0j -0.0635274-0j -0.0518699-0j -0.425714-0j -0.035714-0j 0.106074-0j 0.00230489-0j -0.000620825-0j -0.000506902-0j -0.00416031-0j -0.000349017-0j 0.00103661-0j -0.00160031-0j -0.0561508-0j -0.0334819-0j -0.00602334-0j -0.000548737-0j -0.000327204-0j -0.163756-0j -5.88634e-05-0j 
0.0228235-0j -0.0717474-0j -0.00410649-0j -0.00299896-0j -0.0382257-0j -0.000888516-0j 0.00507153-0j 0.00370372-0j -0.0150309-0j 0.0245533-0j -0.000942414-0j -0.0262437-0j 0.000775923-0j -0.088289-0j -0.000139607-0j 0.000822991-0j -0.00236171-0j -0.00172475-0j 0.00363727-0j -0.00129954-0j 0.0158853-0j -0.0936447-0j 0.26873-0j 0.196252-0j -0.413869-0j 0.14787-0j 0.00669782-0j -0.000156085-0j -9.30712e-05-0j 0.00152106-0j 0.0177603-0j 0.0105902-0j -5.88634e-05-0j -0.173075-0j 
