0.764162-0j 0.0195871-0j 0.00758495-0j -0.00179527-0j -0.00128807-0j -0.0245776-0j -0.00422805-0j 0.015613-0j -0.00139063-0j 0.00158743-0j -0.0173195-0j 3.30735e-05-0j 0.002453-0j 0.00246012-0j 0.000140435-0j -0.00115458-0j 0.000102837-0j 0.000202952-0j 1.99975e-05-0j 4.97156e-06-0j -2.1435e-06-0j -1.66035e-05-0j 
3.30735e-05-0j -0.00452932-0j -0.0116297-0j 0.000870323-0j 0.000941288-0j -4.5189e-08-0j 3.48625e-07-0j -2.1435e-06-0j 0.000496102-0j 2.05137e-05-0j -0.000106757-0j 0.919516-0j -0.0018153-0j -2.34809e-06-0j -4.98105e-05-0j -1.43791e-05-0j 0.00332796-0j -7.29152e-05-0j -2.84664e-10-0j -0.00710972-0j 0.00416241-0j -0.00026416-0j 
0.002453-0j 0.0157976-0j 0.00442089-0j 1.61547e-05-0j -0.00159514-0j -7.66514e-06-0j 0.000134703-0j -3.26972e-05-0j 2.88023e-05-0j -3.41045e-05-0j -0.0333507-0j -0.0018153-0j 0.785221-0j -0.000115458-0j -1.91721e-06-0j -0.000219339-0j 0.000193211-0j 8.19193e-05-0j -1.37165e-07-0j 0.0161682-0j -1.31262e-06-0j -1.01675e-05-0j 
-0.00246012-0j -3.10014e-05-0j 0.00109533-0j -0.000169802-0j 0.0142099-0j -0.00232462-0j -0.000610568-0j 0.000730223-0j 2.2138e-06-0j -0.00673488-0j -0.00122962-0j 2.34809e-06-0j 0.000115458-0j 0.79735-0j -0.00101472-0j 0.00489848-0j 1.48506e-05-0j -0.000861053-0j -8.48422e-05-0j 1.75016e-07-0j 9.09412e-06-0j 7.04427e-05-0j 
-0.000140435-0j -0.000666144-0j 1.81882e-05-0j -0.00364862-0j -0.00680696-0j -1.14665e-05-0j 3.30014e-08-0j -0.00109993-0j -0.00426003-0j 1.91721e-06-0j 3.50033e-07-0j 4.98105e-05-0j 1.91721e-06-0j -0.00101472-0j 0.965554-0j 8.13403e-05-0j 0.000315029-0j 0.00041247-0j 1.6103e-09-0j 3.71266e-06-0j 0.000192915-0j 0.00149432-0j 
-0.00115458-0j 0.000125134-0j -0.00208083-0j 0.000685386-0j 0.000750803-0j -0.000325205-0j -6.34022e-05-0j -0.00138722-0j -1.35567e-05-0j -0.00144693-0j -0.000264173-0j -1.43791e-05-0j -0.000219339-0j -0.00489848-0j -8.13403e-05-0j 0.86039-0j 0.00840821-0j 0.00347554-0j -5.81943e-06-0j -1.07175e-06-0j -5.56899e-05-0j -0.000431372-0j 
-0.000102837-0j -0.000992205-0j -0.000597431-0j 9.09412e-05-0j -0.0029268-0j 2.85801e-07-0j -1.084e-06-0j 1.35567e-05-0j -0.00154256-0j 2.1435e-06-0j -2.33865e-05-0j -0.00332796-0j -0.000193211-0j 1.48506e-05-0j 0.000315029-0j -0.00840821-0j 0.956735-0j 0.000461156-0j 1.80037e-09-0j -0.000500253-0j 0.000215686-0j 0.0016707-0j 
-0.000202952-0j -0.000306403-0j -0.000777155-0j -0.00167824-0j -0.00183842-0j -2.78677e-05-0j -4.32692e-06-0j -0.000518103-0j 6.87451e-05-0j -0.000166645-0j -3.04251e-05-0j 7.29152e-05-0j -8.19193e-05-0j -0.000861053-0j 0.00041247-0j -0.00347554-0j 0.000461156-0j 0.925241-0j -2.82295e-07-0j 5.43478e-06-0j 0.000282399-0j 0.00218745-0j 
-1.99975e-05-0j -1.01638e-08-0j 1.30126e-06-0j -5.56693e-08-0j -6.09827e-08-0j -0.00707252-0j 0.0392568-0j 8.6751e-07-0j 2.68384e-10-0j 0.000905775-0j 0.000165371-0j 2.84664e-10-0j 1.37165e-07-0j -8.48422e-05-0j 1.6103e-09-0j 5.81943e-06-0j 1.80037e-09-0j -2.82295e-07-0j 0.528794-0j 2.12176e-11-0j 1.1025e-09-0j 8.53993e-09-0j 
-4.97156e-06-0j 0.00211971-0j -2.88821e-05-0j 1.07175e-06-0j -0.000141493-0j 3.36819e-09-0j -5.24048e-08-0j 1.59767e-07-0j -7.45734e-05-0j 2.52614e-08-0j 4.9962e-05-0j 0.00710972-0j -0.0161682-0j 1.75016e-07-0j 3.71266e-06-0j 1.07175e-06-0j -0.000500253-0j 5.43478e-06-0j 2.12176e-11-0j 0.871559-0j 2.54188e-06-0j 1.96893e-05-0j 
2.1435e-06-0j 1.01675e-05-0j -0.0015199-0j -0.00679718-0j 6.10052e-05-0j 1.75016e-07-0j 2.25945e-08-0j 8.30176e-06-0j 3.21526e-05-0j -0.000160211-0j 2.39651e-07-0j -0.00416241-0j 1.31262e-06-0j 9.09412e-06-0j 0.000192915-0j 5.56899e-05-0j 0.000215686-0j 0.000282399-0j 1.1025e-09-0j 2.54188e-06-0j 0.967626-0j 0.00102309-0j 
-1.66035e-05-0j -7.87574e-05-0j -9.64577e-05-0j -0.000431372-0j -0.000472544-0j -1.35567e-06-0j -1.75016e-07-0j -6.43051e-05-0j -0.000249053-0j -1.01675e-05-0j -1.85633e-06-0j -0.00026416-0j -1.01675e-05-0j -7.04427e-05-0j -0.00149432-0j -0.000431372-0j -0.0016707-0j -0.00218745-0j -8.53993e-09-0j -1.96893e-05-0j -0.00102309-0j 0.992075-0j 
