0.0219+0.0307017j 0.00647977+0.103501j -0.0152868+0.0922815j -0.0153431+0.0358173j 0.00281491+0.00506594j -0.0108709+0.00203369j -0.0117075+0.146609j -0.0148034-0.496343j -0.00432542+0.00175085j 0.0227288-0.0518969j -0.0141054+0.0243554j -0.0605957+0.0622971j 0.0250967+0.117704j -0.034963-0.0641216j -0.0298792+0.0732674j -0.123669+0.16567j 0.139291-0.184354j 0.0239984-0.364887j 
-0.0692351+0.115914j -0.0357898+0.0409865j 0.0760915+0.00626274j 0.046604+0.188391j 0.00272033-0.0623661j 0.0665447-0.0163577j 0.00340101-0.0905065j 0.006129-0.0194398j -0.0728216-0.0127436j -0.0182644+0.0507885j 0.0142463-0.29974j 0.0947965-0.05338j -0.180101+0.00408751j -0.0513046+0.0655478j -0.127448-0.0177435j -0.224789-0.00895615j 0.268097-0.0367983j 0.37175+0.126373j 
-0.0777721-0.00959506j -0.0190561+0.0099168j 0.187263-0.0826588j 0.0719581-0.00260758j -0.0277034-0.0480671j 0.111505+0.0232228j 0.176082-0.0526876j 0.106321-0.015141j -0.00139682-0.109756j -0.196874+0.113608j -0.0198364+0.186302j 0.188059+0.0547867j 0.0372015+0.148131j -0.176634-0.00445516j -0.0356523-0.0284904j 0.0675297+0.0527043j 0.324502+0.0603241j -0.296205+0.0680238j 
0.0561919+0.0566907j 0.035187+0.114066j -0.11946-0.175889j -0.0370867+0.0773931j -0.0348734-0.156491j -0.0674175+0.0239437j -0.0401205-0.249107j -0.00550585-0.222171j 0.174797-0.0754505j -0.0390636+0.421623j -0.00976496+0.151175j 0.0165469+0.0613691j -0.0146587+0.281262j 0.0244765+0.0689545j 0.0200465+0.0419747j -0.0369955-0.0122616j -0.195093-0.0927261j 0.010015+0.12318j 
-0.0220487-0.0894864j 0.0474521-0.039108j 0.061253+0.0112317j 0.0237123-0.124711j 0.0180086-0.0570888j 0.00508391+0.0637005j 0.0391447-0.109952j 0.0308239-0.0236058j -0.112167+0.321699j -0.0447151+0.310292j 0.0117368-0.0210365j -0.00566572+0.34316j 0.0706331-0.113j -0.0200843-0.0407236j -0.0306778+0.181782j 0.0578368-0.24911j 0.070889-0.108577j 0.015874-0.114609j 
0.0742452-0.0134046j 0.0610144+0.0147264j -0.134164+0.0028976j -0.0090392+0.0896709j 0.0388762-0.0543057j -0.101364+0.088066j -0.0922048+0.128374j -0.0141015-0.0237463j -0.338389-0.134161j -0.271874+0.0883014j 0.0621966-0.0155567j -0.0555474-0.142158j 0.20655+0.00187634j 0.0536045+0.031112j -0.179171+0.055101j 0.240364+0.0514146j 0.0395473+0.0644316j 0.136474+0.0281598j 
0.0564439-0.0897377j -0.0755558+0.0231001j -0.114776+0.16599j -0.0140674+0.0401594j -0.0627913-0.0143745j 0.0123782+0.203558j -0.0492258+0.226785j 0.0112759+0.0511682j 0.233235+0.0210197j -0.210577+0.02534j -0.0159397-0.0355737j 0.201904-0.243844j -0.165793-0.244034j -0.104774+0.0523228j -0.0729134+0.190268j -0.10328-0.0527186j -0.0888685+0.0892565j -0.0705378-0.0607558j 
0.0357897+0.0238301j 0.0409091-0.0192573j -0.167927-0.114564j 0.000884417-0.068555j -0.0594619+0.0248155j -0.0796253-0.0744322j -0.0567879-0.150452j 0.0140088+0.0418718j 0.0871046+0.0595091j -0.349861-0.224448j 0.0109033-0.0549946j 0.152418+0.190037j -0.0133264+0.0328562j -0.0882167-0.0656212j -0.127246-0.249847j 0.0236037-0.0572262j -0.0716405-0.145189j 0.0378753-0.0709209j 
0.0614194-0.0992741j 0.284726-0.145037j -0.0413513+0.00413457j -0.0182497+0.0244954j -0.0401423+0.0519158j -0.136779+0.055664j -0.00268779+0.0328038j 0.0156032+0.0317307j 0.184105-0.194363j 0.154901+0.0476306j 0.0577297-0.0754215j 0.13982+0.0917376j -0.153353+0.109942j 0.208779-0.126431j -0.00936656+0.0154029j 0.217592-0.11965j 0.201722-0.0509065j 0.0399852-0.0672698j 
-0.206692-0.134512j -0.172291-0.139525j -0.0140123-0.00708909j 0.068389-0.0533481j 0.000214827+0.106835j -0.0112751+0.214736j -0.0693801-0.0108129j -0.0495412+0.0654943j -0.162258-0.27342j -0.068201+0.0896521j -0.0329304-0.0494925j -0.098591+0.0868632j -0.0132299+0.182281j -0.0618005-0.0797844j 0.111237-0.0705116j -0.177163-0.216304j -0.0778134-0.125869j -0.0590376-0.0870004j 
0.0815108-0.00302022j -0.0325914-0.0953143j 0.0209142-0.0739479j -0.05008+0.0824986j 0.0499497-0.0139814j 0.084853-0.123838j -0.0684694+0.00428028j 0.00970793+0.0360864j -0.159203+0.0291229j 0.0776244-0.0159357j 0.0108227+0.0132314j 0.0579547+0.104406j -0.128187+0.171387j 0.116076-0.22236j -0.391186+0.192155j -0.14344+0.00781361j -0.128533+0.00123707j -0.232781+0.0938194j 
-0.247428+0.00114226j -0.0166394-0.105701j -0.0646335-0.11607j 0.0867231+0.00557067j -0.0765542-0.00492175j -0.146415-0.0610651j -0.0228687+0.0207598j -0.0426302-0.0173121j 0.105143+0.0993201j -0.123364-0.105622j -0.0210386-0.00337512j -0.0569872+0.0108541j 0.0588383+0.109879j -0.0612993-0.248233j 0.186257+0.354528j 0.0352901+0.108825j 0.0502084+0.0716519j 0.0995584+0.161018j 
-0.141885+0.0205189j 0.134589+0.0351108j 0.0117453+0.0103082j 0.067863-0.0436708j -0.0625189+0.0229416j -0.104716+0.0833308j 0.0307743-0.0188265j 0.0260705-0.0326748j -0.100599+0.113378j -0.130734+0.0572035j 0.0264178-0.00847996j 0.132028-0.126156j 0.0581606-0.119212j 0.439051-0.0761248j 0.0850815-0.128439j -0.270974+0.129966j 0.00954317+0.0193105j -0.108071+0.00254904j 
-0.286601-0.0167613j 0.152583-0.0073633j 0.133046-0.029106j 0.0820437-0.00239394j -0.0534789-0.0105246j -0.122234+0.102814j 0.135137-0.0713563j 0.0730764-0.0642435j 0.138286-0.103127j 0.0695529-0.152826j -0.0393741-0.0167327j -0.088901-0.0522321j 0.158243-0.0794985j -0.00804916+0.207869j -0.338023+0.0853931j -0.0470222-0.0721518j -0.130856+0.0331657j 0.0183161-0.0588158j 
0.188306-0.0501108j 0.0731639+0.00047841j 0.0279281-0.0512147j -0.0491199+0.105527j 0.0299654-0.0657823j 0.0674666-0.122449j 0.0694817-0.0310903j 0.0625314-0.0058002j -0.0996016-0.148567j -0.120375-0.206471j 0.0216593+0.00932747j 0.11803+0.10381j 0.075075+0.0512922j 0.142601+0.247186j 0.231403+0.255381j -0.156911-0.175464j -0.0113994+0.025414j 0.021954-0.029235j 
-0.18674+0.102481j -0.222002+0.0866284j -0.123872+0.0383797j 0.0569628-0.0288888j -0.0443627-0.0505001j -0.0537704-0.0187841j -0.183093+0.106039j -0.168993-0.0047019j 0.0444825+0.0783887j 0.00304902-0.0522482j 0.0202033+0.0840804j -0.027673+0.152115j -0.100874+0.108505j 0.215529+0.307938j -0.0654051+0.00669428j 0.0935286-0.0780398j 0.159169+0.0604337j -0.101999+0.0271753j 
0.114765+0.0273572j -0.289189+0.0130977j 0.0813992-0.0360569j -0.0262815-0.0812047j -0.0315824+0.0560232j 0.200029+0.0184583j 0.115309+0.0180215j -0.0825825+0.0811718j 0.273618-0.104091j -0.0693279+0.0458885j 6.01701e-05+0.00309497j -0.0255291+0.044502j 0.301192-0.0158726j 0.254095-0.148021j -0.111308+0.029827j 0.012993-0.0182658j 0.0629281-0.0554828j 0.152428-0.0121113j 
-0.000807049-0.245517j 0.0532728-0.111365j 0.0601437+0.171296j 0.014702+0.0713253j -0.0199183-0.107055j -0.00317027-0.0883307j 0.10162+0.250718j 0.0478569+0.0415294j 0.0793833+0.243554j -0.0300422+0.0264734j -0.0126362+0.0150773j 0.000830873-0.0389319j 0.131407+0.307734j 0.00339478+0.0892545j -0.0170703-0.17012j -0.0448918-0.0407768j -0.0547782-0.0227285j 0.0693917+0.0899926j 
0.0986292+0.462297j 0.13397-0.111417j 0.0328796+0.0722021j -0.0336223-0.140106j 0.0192467+0.065683j 0.0148396+0.236865j 0.0622609+0.178141j 0.0679862+0.0377468j -0.0171845+0.0723506j -0.00766089-0.0514636j 0.000748532+0.0147351j 0.038341+0.0394405j 0.0254673+0.129644j -0.0413397+0.0710455j 0.0264509+0.037563j -0.0385147+0.000645879j -0.0608435+0.016844j 0.0312461+0.0806678j 
0.103349-0.080295j -0.122117-0.495314j -0.01906-0.0906762j -0.0296556+0.00191733j 0.0159884-0.0454835j 0.0850512+0.111812j -0.0352055-0.138754j -0.0518705-0.178694j 0.0164089+0.124015j -0.00239027-0.0479773j 0.00841805+0.00170758j -0.00114711-0.0755338j -0.0173442+0.0301846j 0.0448181+0.113991j -0.00420233-0.0401318j 0.0315526+0.0618957j 0.0485634+0.0847654j 0.000486036-0.00200756j 
