0.0152905-0.0886951j 0.0171586+0.12606j 0.000885753-0.0140545j 0.014198-0.39237j -0.0312935-0.0459682j 0.00804719+0.0358732j -0.0802248+0.0066567j 0.0323373-0.032896j 0.0434751+0.10539j -0.0460941-0.0896274j -0.0564499-0.0807298j 0.0894916+0.110785j -0.0287536-0.0333557j 0.0534288+0.0501986j 0.0428504-0.0529851j 0.0240236+0.0164595j -0.0157861+0.00192637j 0.0274813-0.0462753j -0.0123166-0.00565869j 0.015592+0.0023532j -0.0161848-0.0302491j 0.0116891-0.0338503j 0.0105323+0.0208339j -0.0384169-0.017262j 0.00791174+0.0269291j 0.0130531-0.00543295j -0.00426947-0.0375638j 0.00214743-0.0239595j 0.017608+0.0221161j -0.00231792-0.00262272j -0.0213425+0.00779326j -0.00958776+0.035049j 0.036256+0.0148209j 0.00214581+0.0485221j 
0.139572+0.0112614j -0.156761-0.0265547j 0.0713825-0.0165811j 0.00166818+0.0450884j 0.0679571-0.0885159j -0.00961805+0.00988006j -0.289372+0.152182j 0.113222-0.0317231j 0.102279-0.0302801j -0.22329-0.0333237j -0.0197393-0.0672751j -0.18177-0.0199432j -0.0511288-0.00392118j -0.256854+0.0514369j 0.267369-0.05301j 0.125778-0.0978851j -0.0197576+0.0528532j 0.0949759-0.015953j -0.0453831+0.0184462j 0.0511259+0.00263715j 0.0509263-0.00131517j -0.023057+0.0138462j -0.0433087+0.0314263j -0.0457886-0.0374851j -0.0549018-0.0127302j -0.0320024-0.000547257j 0.0517095+0.00793948j 0.0562764+0.022514j 0.00077681+0.021029j 0.000118246-0.0427457j -0.0597588-0.00340405j -0.066404+0.0339145j -0.00324267+0.0052997j -0.0989558-0.00728295j 
0.0865629+0.0111585j -0.0530824-0.125866j 0.0040705+0.123596j -0.0440626-0.0759819j 0.0298366-0.0918791j -0.0355704-0.0254863j 0.203059+0.271634j -0.218951-0.00625198j -0.356149-0.0275601j -0.183821-0.269875j -0.0997311-0.156721j 0.0466143-0.125535j -0.0283584-0.0246583j -0.125131-0.0593987j -0.0171879+0.135075j 0.00338743-0.0385861j -0.0533684+0.00679258j -0.0354509-0.0795993j 0.014859+0.0104975j -0.0373168+0.00240629j 0.0317759-0.0473457j 0.0189215-0.0524447j -0.0230478-0.0543545j -0.0225228-0.0294431j -0.0343004-0.0298242j -0.0203469-0.0470343j 0.0117914+0.00391265j 0.00810715+0.0252462j -0.0295859-0.000927189j 0.0381143-0.0236302j -0.016308+0.00169134j -0.0135606-0.00905849j 0.00405985-0.0108612j -0.00323998-0.0218834j 
-0.0111312+0.00150495j 0.0480092-0.0975201j -0.0271327+0.128146j -0.0265737-0.0685374j 0.234506-0.0140913j 0.0446156-0.0359352j 0.13332+0.278633j 0.211954-0.0697082j 0.334922-0.112035j 0.178644-0.220399j 0.150036-0.105946j 0.0680676-0.0640815j -0.0425628-0.0685778j -0.00429593-0.0660735j 0.0264977+0.0963309j -0.00804956-0.0322453j -0.00713817-0.0767909j 0.00141231-0.0559843j -0.0238092-0.00461172j -0.00229197-0.00393119j -0.00107467-0.00525089j 0.0487723-0.00228451j 0.0385527-0.0298117j 0.0383632-0.0179457j 0.0427906-0.0265328j 0.0493737-0.0179519j -0.020271+0.00674163j -0.0408561+0.000424701j -0.00587147-0.0243758j 0.0184225+0.0244985j 0.0155533-0.00745114j -0.0251995-0.0253541j -0.0118847-0.0170834j 0.0351767-0.00996731j 
0.00443692-0.0406356j -0.0861572+0.0763937j -0.0280795-0.025178j -0.05804+0.0131721j 0.308173+0.312901j -0.00463975-0.0492005j 0.253578-0.0298779j -0.00192974+0.0638991j -0.0553905+0.113602j -0.112788+0.241445j 0.137295+0.262634j 0.0190441+0.122751j -0.0509843-0.0684612j -0.120095-0.0422829j 0.137138-0.00341634j 0.0254402+0.0386488j -0.0139478-0.028663j -0.0814608+0.000245274j -0.0103996+0.00484121j -0.0481079-0.0269008j 0.000732038-0.0662276j 0.0177757-0.0084992j -0.0233537+0.042064j -0.0188954+0.0381135j -0.0241801+0.031389j -0.0272155+0.0145742j 0.0105283-0.00860705j 0.0217532-0.0104865j -0.00908366-0.00634899j -0.04606-0.0370291j -0.00211795+0.00514969j -0.00379399+0.00207451j 0.00944338+0.0112924j -0.048355-0.000276539j 
-0.0359195-0.0177649j 0.0346608-0.0362132j 0.0286502+0.0533427j 0.0432606-0.0725873j -0.219699+0.345897j 0.00392398+0.0146684j -0.230939+0.336992j -0.0095473+0.035052j 0.00517672+0.0536288j 0.00382172+0.0277438j -0.100261+0.160829j -0.0389317+0.0513382j 0.0816092-0.079495j 0.0940037-0.123307j -0.0786027+0.146649j 0.0178307+0.030258j 0.0682825-0.0282852j 0.0434169-0.0721398j -0.00456151-0.00303634j 0.0322502-0.0523975j 0.068604-0.000923856j 0.0322769+0.0499503j -0.00865805+0.00622407j -0.0116156+0.0175137j -0.0039078-0.00442047j 0.0102628+0.0050755j 0.009092+0.00319687j -0.00128782-0.00857968j 0.0169102-0.00718611j 0.0101747-0.0189038j 0.00595922+0.00634739j 0.0176966-0.0205129j 0.00681105-0.00526137j 0.0127096-0.0162158j 
0.361027+0.0474185j 0.230673+0.0555387j 0.0837256+0.057543j -0.0098289-0.0053541j 0.0416171+0.103017j -0.0130479+0.0373396j 0.0745757-0.0383169j 0.00754268-0.0062821j 0.0719015+0.0843211j 0.219971+0.0880611j -0.306331-0.0682717j 0.0307336+0.0572203j 0.00850672+0.0153833j -0.209663-0.0660601j -0.098472-0.0901724j -0.0125707-0.122939j -0.0446286-0.00640305j -0.0674285+0.00974492j -0.0885452-0.0319709j 0.0355852+0.0184669j 0.0660294+0.0105179j -0.0609821-0.0291939j -0.00985374-0.0270745j -0.0766467-0.0151322j -0.0363029-0.0130101j 0.00144374+0.0125601j 0.0224027+0.00222549j 0.0159413+0.00915806j 0.00154911+0.0127553j 0.0251884-0.0135623j -0.0264537+0.00854128j 0.0284204+0.0286581j 0.0449915+0.0196033j -0.0282344-0.00554935j 
-0.20056+0.0688944j 0.102582+0.0485656j -0.0731429-0.0639378j 0.0954533+0.105643j 0.186435+0.0216907j -0.024977+0.129334j -0.0631618+0.111939j -0.0142319+0.0353665j 0.0077323+0.205199j -0.12581-0.0687128j -0.00260594-0.173752j -0.131246-0.120199j 0.0317249+0.0369795j 0.154555+0.0882849j -0.0607095-0.104269j 0.00307491-0.0748759j -0.0340737-0.0690387j -0.231103-0.161455j -0.125546-0.133795j 0.0221229+0.0356155j 0.143384+0.127283j -0.0356402-0.0332051j 0.0125457-0.119298j -0.0579767-0.0431896j -0.0454468-0.0543979j -0.022975-0.000653352j 0.0410106+0.0169985j 0.0198516+0.048865j -0.0272481+0.0152982j 0.0196364-0.0507461j -0.0190872+0.00676096j -0.0116635+0.042123j 0.0262132+0.0437375j -0.00970573-0.0234331j 
-0.048516+0.103699j 0.121853+0.0651131j 0.0142304+0.0825776j -0.015516+0.0309807j -0.218632+0.0365074j -0.00751879+0.061726j 0.125806+0.0581204j -0.0177448+0.013296j -0.115017+0.0495276j 0.201279+0.0765276j 0.0659872-0.141211j -0.0566695-0.0118914j 0.0043485+0.0296667j 0.0689768-0.0725053j 0.462786-0.0442282j 0.214363-0.017524j -0.0515099-0.0495592j -7.13043e-06-0.0465712j 0.0715148-0.0524104j -0.0125401+0.00254123j -0.0503496+0.0428368j 0.0484601-0.0318461j 0.0683055+0.0156181j 0.0461264-0.0428125j 0.0184277-0.00977356j -0.0143288-0.00912314j -0.015002+0.0158022j -0.0157462-0.00273775j -0.000878216-0.00294825j -0.00199352+0.0165393j 0.00738276-0.0165068j -0.0439367-0.00158234j -0.0200895+0.0154611j 0.00363341-0.00599745j 
0.0426506+0.123291j -0.235123-0.0241663j 0.0167805-0.0169628j -0.0628584+0.0804011j -0.0674234+0.222759j 0.0396125+0.0560446j 0.0139215-0.0326862j 0.0132786+0.000248918j 0.0110052+0.138431j -0.0576725-0.115646j 0.0984861-0.130823j 0.118928+0.0223502j -0.02-0.0217366j -0.0718484-0.0704766j -0.139723-0.293042j -0.027128-0.131031j 0.103369+0.0551793j 0.199001-0.0767649j 0.111365-0.0995343j -0.0479509+0.0208092j -0.131935+0.0790335j 0.017273-0.0552122j 0.0706344-0.0180519j 0.0452499-0.0633939j 0.0778609-0.0132443j 0.0052114-0.00194898j -0.0310241+0.0253627j -0.0585235-0.0122891j -0.00781939-0.0281292j 0.0467436+0.0682591j -0.00556408-0.0278069j -0.0231374-0.00507342j -0.0612118+0.00800458j 0.0432928+0.00652277j 
0.0276493-0.32611j 0.0972034-0.175889j 0.0284046-0.131544j -0.0115464+0.0698897j -0.0500291+0.12105j -0.0106629+0.0544715j 0.0334285-0.0658438j -0.0064086+0.0108554j -0.0264286+0.0223467j 0.109248-0.309378j -0.045599+0.202966j -0.00242629-0.0997981j 0.0451349+0.0148999j -0.0453416+0.229392j 0.160608-0.0861648j -0.030676-0.0593036j -0.0204033+0.00146107j 0.00344436-0.0846039j 0.00844459-0.0375518j 0.0120018-0.0238508j -0.0272707+0.044501j -0.00361036+0.00303276j 0.0458405-0.0219695j -0.0118744+0.00982727j -0.00302501-0.00805257j -0.00751117-0.010226j 0.00363304+0.0159248j -0.0131057+0.00711204j -0.00323289-0.00748464j 0.0209392-0.0268274j -0.00238222+0.00636682j -0.0135658-0.00922105j -0.00241417-0.00970386j 0.000647223+0.00634926j 
-0.118541+0.116924j 0.0678604-0.301408j -0.0225972+0.0637753j 0.0408285-0.0649222j 0.0222894+0.0442832j -0.00176542+0.0426536j -0.0115878-0.0794449j -0.00558191+0.0105273j -0.0102171+0.0160573j -0.0178061-0.164661j 0.0114872+0.0472962j -0.0688031+0.143432j 0.0565626-0.0648797j 0.0866571-0.184036j 0.0404996-0.26392j 0.0522548-0.0896268j -0.117341+0.103424j -0.0890707+0.227867j -0.0712844+0.0829165j 0.004492-0.0444744j 0.0846241-0.102442j 0.00557839+0.0125732j -0.0534514-0.0209999j -0.00549176+0.0234179j -0.039403+0.0444028j -0.0111358+0.0145884j 0.0140941-0.0170142j 0.0420999-0.0174941j 0.0136985+0.0113615j -0.0667617-0.00135031j 0.0115954-0.00311319j 0.0233234+0.0140482j 0.0385142-0.0301285j -0.0216529+0.00145923j 
