0.84866+0.00297892j 0.0962769-0.00760208j 0.0776452+0.0581465j 0.0688649+0.0671207j -0.0625169+0.0319174j -0.075529+0.050375j -0.0215396+0.008067j -0.0211983-0.0307507j -0.0299077+0.065553j -0.0415128-0.0126477j 0.0537574-0.00747763j 0.0183506+0.0195129j -0.0646325-0.0286183j 0.0528959-0.0284242j -0.0418145-0.0033623j -0.0987431+0.0513693j 0.00861375+0.0400403j 0.0355322+0.00639153j -0.0477879-0.00456746j 0.026807-0.00912229j -0.0835053+0.0230693j -0.0453077+0.0681988j 0.0427128+0.00204693j 0.075056-0.0281169j 
-0.0135494+0.0157449j 0.187785-0.0247324j -0.00621319+0.0336996j -0.192408+0.0119113j -0.0344766+0.020456j 0.176547-0.0421489j -0.084321-0.0982013j 0.0303678+0.176351j 0.0409012-0.0290519j 0.139967-0.010761j -0.112806-0.00227906j 0.0535724+0.0990496j -0.0285572-0.0151894j -0.0832691+0.0772646j -0.143942+0.149869j -0.141297+0.0548706j -0.0194816+0.112579j 0.0805722-0.0668914j -0.0441255+0.0197703j 0.0192281-0.0115316j -0.0325427+0.0661277j -0.0128834+0.141129j 0.044755-0.0123163j 0.0275063-0.0569551j 
0.0395886+0.0363956j -0.00102891-0.0150894j 0.00641014+0.000702549j -0.127218+0.0421259j 0.0325453+0.133073j -0.0595192-0.0118017j -0.0785348-0.041368j -0.0365604-0.0366618j -0.0426101+0.213695j -0.167599-0.0663657j -0.123627-0.0746143j -0.016652-0.00429836j -0.0165728-0.0404791j -0.026954+0.00822567j -0.152524+0.110272j 0.29385-0.114539j -0.118641+0.0921972j 0.00407767-0.0398018j 0.0794209-0.0231628j -0.0423467+0.000788863j 0.0754848-0.00589096j -0.0567445+0.127067j -0.0694924+0.0660604j -0.0735037-0.0364512j 
-0.00234652-0.0274234j 0.00778919+0.0712935j 0.00854758-0.0197601j 0.033046+0.0842751j 0.0955321-0.151283j 0.122423+0.0116081j 0.0250043+0.136486j 0.028941+0.131342j 0.100678+0.0230439j -0.0994257-0.0546929j -0.193783+0.031775j 0.262794+0.00191375j -0.0829632+0.00970447j 0.153601+0.00356355j -0.00435762+0.136657j -0.148373-0.155671j -0.00647878+0.0977198j -0.00830016-0.0642786j 0.0300822-0.0113707j -0.0518957+0.0126897j -0.1028-0.0563837j -0.16422-0.0455696j 0.119741+0.043406j -0.00103949+0.0298401j 
-0.0486495-0.00322609j 0.0312188-0.0472621j 0.0264749+0.0235659j 0.0694966+0.0384001j 0.0723765-0.114622j 0.149653+0.130717j 0.0591126-0.180152j -0.216772+0.0465401j -0.257912+0.0262015j 0.036974-0.139181j -0.0311902-0.0623659j -0.0466445-0.0138995j 0.087196-0.0537254j -0.120249-0.181665j -0.00599094-0.0727982j -0.0201161-0.0488176j -0.0931084+0.0792946j 0.0313158+0.124918j -0.0587259-0.01538j 0.0341808+0.0178973j -0.050484-0.0378998j 0.181597+0.0535275j 0.0199419+0.00233195j 0.0941403+0.0269399j 
-0.0444156-0.0130555j 0.0786088+0.0358937j -0.000833113+0.0204139j 0.0867283+0.064146j 0.128868-0.0292038j -0.0439152+0.041983j -0.00955469+0.0373166j 0.00424171-0.0924099j -0.0225417-0.0215985j 0.093781-0.0172896j -0.148559-0.0728407j -0.124022+0.0589891j 0.133723-0.00943297j -0.187084+0.0954008j 0.237707+0.084953j -0.212375-0.102922j 0.0154367-0.0419631j -0.00804816-0.024819j -0.160107-0.0115565j 0.120361-0.00905228j -0.142601-0.0480585j -0.0716079-0.022211j 0.15458+0.0868983j 0.105466+0.00998588j 
-0.0169184+0.0101971j 0.00674948-0.0179954j -0.0254616+0.00972946j -0.0190684-0.00847433j -0.0080401+0.0163303j -0.0290358-0.00571804j 0.079349+0.0223734j -0.0716292-0.0434698j 0.229552+0.100465j -0.0509187+0.360714j 0.0408621-0.00747818j -0.261742+0.0203879j 0.0240618-0.0107424j -0.115654+0.0341399j 0.0150142-0.0341719j -0.148694-0.00829227j 0.0512803-0.0227131j -0.0149427+0.00229367j -0.0398547+0.00223254j 0.00256438-0.0106499j -0.0113519-0.00240896j -0.0181577+0.00134845j 0.0307272+0.0163016j -0.00151579-0.00235149j 
-0.0265232+0.00766761j 0.0518049-0.0734492j -0.015302+0.0231952j 0.0414305-0.0438924j -0.0254293-0.0684643j -0.0898633+0.0210243j 0.00966849+0.0380825j -0.077458-0.243312j -0.159935+0.117642j -0.149647-0.0938307j 0.110908-0.0763097j -0.0424005-0.0713281j -0.0288727-0.0360182j 0.0199894+0.0336327j 0.0753204-0.104977j 0.128549-0.129099j 0.060206-0.0903743j 0.0292276+0.0253903j 0.0504009-0.0430626j -0.0328924+0.00923575j 0.0503771-0.0221359j -0.0646103-0.0268694j -0.0525097+0.0686553j -0.0659527+0.0180336j 
-0.00988141+0.00420264j 0.0140616+0.0148256j 0.0378217+0.00550192j -0.0817738-0.05817j -0.0699254-0.0081135j -0.0265169+0.0122348j 0.0328343+0.0476079j -0.0515645-0.207789j -0.129123-0.0585003j -0.0151308-0.116282j 0.0206239-0.0956451j 0.112393-0.0942277j -0.0328468+0.0258208j 0.168271+0.0639059j 0.0623872+0.116785j -0.217994-0.102695j 0.0257897-0.0755742j -0.117395-0.0238412j -0.0143329-0.0432044j -0.0304541+0.0186654j 0.0526615-0.0580881j 0.135977-0.0320333j 0.0310925+0.106441j 0.0264752+0.0296981j 
0.0322072+0.0158008j -0.12522+0.0270293j 0.103361-0.00349208j 0.0719474+0.0263332j 0.0541352+0.0675525j -0.0269138-0.0619059j -0.0355474+0.071092j 0.15279+0.0473136j -0.0690736-0.00414884j 0.034529-0.122797j -0.122849-0.116016j -0.0326792+0.0260061j 0.0856412+0.048836j -0.101289-0.041179j 0.0856361+0.0170565j 0.0022501-0.0405955j -0.02128-0.0565332j 0.0609379-0.122195j -0.0716396-0.0280742j 0.0690943+0.0176926j -0.127329+0.018103j -0.103943-0.0181915j 0.0874436+0.00762335j 0.073198+0.0250563j 
-0.0167837-0.0324605j 0.0669523+0.0538015j 0.0796538-0.0792164j 0.0169391-0.0853965j 0.0465075-0.0262217j 0.0460201+0.0596766j -0.0137485-0.0293297j 0.0807752+0.14935j -0.000159163-0.0581932j -0.00970258+0.00731956j 0.0434635+0.292497j 0.0134283+0.0173423j -0.0531619-0.0391077j -0.102923-0.00220526j -0.0135013-0.0784287j 0.054673-0.142023j -0.0648816+0.110081j -0.056919+0.133038j -0.0560765+0.0798686j 0.030298-0.0355278j 0.298396-0.240871j -0.0571979+0.0748888j -0.128725+0.01107j -0.14533+0.150178j 
-0.0103622-0.0136521j -0.00629307+0.0287806j -0.0797851-0.0728445j 0.0486239-0.0857421j -0.0193673+0.00274518j -0.028139+0.0605836j 0.0342979-0.101392j -0.0674157+0.138981j 0.0888004-0.0453841j 0.000868036+0.0741192j -0.127866+0.241745j -0.01471+0.0615478j 0.051348-0.0533781j 0.0501023-0.0161984j -0.0282935-0.0915668j 0.281801-0.236981j 0.0487619+0.0996791j -0.0571636+0.164946j 0.153793-0.0546881j -0.0947854+0.0359941j -0.183323+0.0429159j 0.172489-0.0877028j 0.025924-0.0493104j 0.0528181+0.00644838j 
-0.00906638-0.0118115j 0.0585214-0.0491914j -0.00639404+0.0314153j 0.00442491-0.0281203j -0.0945372-0.0569622j -0.0186874+0.0766609j -0.211379-0.0218026j -0.25099+0.0257807j 0.0165219+0.0886057j 0.0482829-0.117335j -0.0591695-0.175245j 0.128654+0.150583j -0.188328-0.0661105j 0.0983543+0.141058j 0.0377338-0.0838866j -0.0144969-0.0520569j 0.043844-0.0670018j 0.153418-0.0346388j 0.0268071+0.0619559j -0.0209665-0.0934254j 0.00423363+0.017714j -0.171142-0.143558j 0.0813321+0.0434901j -0.102868-0.0468378j 
-0.0240904-0.0214446j 0.0829571-0.036536j 0.00603234-0.00520528j 0.0717411-0.118926j -0.0117063+0.0416223j -0.0567627+0.0683245j -0.147363+0.183806j 0.0266645+0.0940004j 0.0665841-0.0376627j 0.0142981-0.0540551j 0.112647+0.0828966j -0.00981536+0.0686965j -0.0573704-0.0142376j -0.159291+0.109114j 0.0969227-0.182754j 0.108202+0.0936976j -0.112379-0.0508131j -0.0133967+0.0039318j -0.0471114+0.101276j 0.189135-0.0542438j -0.193829-0.131392j 0.297675+0.0345464j 0.0442468-0.0435098j 0.187332+0.0888572j 
0.0205108+0.0401972j 0.0221367-0.0769675j 0.00822825+0.0212587j 0.0522182-0.0906663j 0.022292+0.0740926j -0.0150229+0.109012j 0.0455185+0.244683j -0.0272403+0.02394j -0.0382743-0.0816596j 0.0224106-0.0250682j -0.110556-0.112182j -0.0986656-0.0108257j 0.126145+0.0406597j -0.121551+0.0546777j 0.0653016-0.047532j 0.0211883-0.130946j 0.158734-0.0903149j 0.0392739-0.0631453j -0.286125-0.0674838j 0.22639-0.00429853j 0.211344+0.110295j 0.0558816-0.123459j -0.0892545-0.000295959j -0.072081-0.0226347j 
-0.0188652-0.0227538j -0.0364783+0.0496492j -0.016559-0.0155232j -0.111836+0.0692748j -0.0688939-0.0214597j -0.0305671-0.0820455j 0.0395798-0.260062j 0.00395666-0.00103892j 0.0413278+0.0251241j -0.00274313+0.0551461j 0.064217+0.178001j 0.128088+0.0117165j -0.0795848-0.0878973j 0.175556-0.130629j -0.0403543+0.00714693j 0.0459721+0.0497629j 0.0745693+0.121801j 0.17922+0.11712j -0.235425+0.0349055j 0.295656-0.0136026j 0.0482849+0.0935465j -0.0597372+0.00696154j -0.0412623-0.0844605j -0.020452-0.0830322j 
0.0350147-0.00997759j -0.00487615-0.047781j 0.020415-0.0163915j 0.103523-0.0956787j 0.0321623+0.0325483j 0.0479277+0.0847724j -0.166912+0.050195j 0.0244681+0.138611j -0.124311-0.0170271j 0.0664012-0.0824154j 0.0568189+0.13127j -0.116287+0.07119j 0.131137-0.0436377j -0.160616+0.0494184j -0.0265087-0.168524j -0.16302+0.0754938j 0.14271+0.0235222j 0.0588558+0.097088j 0.0716363-0.0224023j -0.218479+0.0570831j 0.152721+0.0710258j -0.117262-0.0151424j -0.0627946-0.119849j -0.118839-0.0218875j 
0.0194301+0.0330343j -0.036857-0.027914j 0.020794+0.00197081j -0.086813-0.0287883j 0.0355399+0.115479j 0.193574+0.0277724j -0.00727986+0.131635j 0.0284094+0.230503j 0.0197298+0.0203322j -0.0294916-0.0250199j 0.00880008-0.0895714j -0.08317+0.0025023j 0.104084+0.10704j 0.0615271-0.132665j -0.0463017-0.143818j 0.112891+0.0459273j -0.124945-0.112193j 0.109831-0.0420808j -0.128448-0.0912006j 0.146559+0.116098j -0.0538246-0.0380208j 0.0618828-0.0795073j 0.0114699-0.0614652j 0.0587746+0.112155j 
-0.0277762+0.0310618j 0.000129815-0.127042j -0.0129803+0.00399285j -0.00999967-0.102654j -0.0644326+0.000476541j 0.0455303+0.147443j -0.0542555+0.0241556j -0.0300322-0.0364142j 0.0350962-0.0057721j -0.0682207+0.00105239j 0.111552+0.049716j 0.0528412-0.0811894j -0.0469144-0.125842j 0.116706+0.112781j 0.0621621+0.131133j -0.0385641-0.0907985j -0.154882-0.0141006j -0.0880093+0.0140701j -0.0545293+0.0420412j 0.0902034-0.0776097j 0.072789+0.107449j 0.211068+0.0390941j 0.0254299+0.0667086j 0.0102131-0.130792j 
0.008913+0.0233094j 0.0150538-0.0788557j -0.00788643-0.0306212j 0.0554601-0.0270122j 0.0308248+0.00827679j 0.0198009+0.0923941j 0.000113082+0.0778899j 0.0755049-0.00270796j -0.0282669-0.0156036j 0.0199968+0.0289738j -0.00982586-0.173889j -0.0859891-0.04617j -0.0103344+0.163838j -0.136264+0.186356j 0.082744+0.0520578j 0.000749064+0.113797j -0.102254+0.444201j 0.0163691+0.147736j -0.0860322+0.0296637j 0.0622171-0.0967992j 0.152451-0.165416j -0.27004+0.159834j -0.0155943+0.0426495j -0.0992977-0.0367928j 
0.046478-0.0271107j -0.112244+0.0429927j 0.0172408+0.0157805j -0.0595342+0.0282157j 0.131726-0.0735207j 0.206791-0.0220426j -0.0141097-0.0979274j 0.0907712-0.126j -0.0314342+0.0746593j 0.0124592-0.0246822j 0.0999425-0.0370123j -0.0885351+0.0855309j -0.0443875+0.0883725j 0.0202882+0.0876869j 0.097292-0.0599334j -0.0492988-0.0691668j -0.107468+0.0378307j -0.0139843-0.0453537j 0.0376718-0.186526j -0.0698806+0.132185j 0.0898999+0.159758j 0.139922+0.159708j 0.0262346-0.057072j -0.0590312-0.0290746j 
0.0105704+0.0216557j 0.0253946-0.0202779j -0.00249974+0.10506j 0.0379137-0.0430242j 0.0622672+0.0681043j -0.0174808+0.151608j 0.054377-0.0327446j 0.0886224+0.0639058j -0.0348016+0.0195091j 0.0201437+0.0048486j -0.0655573+0.0393736j -0.0904714-0.053286j 0.0604001-0.0809401j -0.0862887+0.0137558j 0.0475244+0.173787j 0.154242-0.0747593j 0.098534-0.122642j 0.0809963-0.0376742j 0.052289-0.0124286j -0.0341314-0.015445j -0.170606+0.154346j -0.133294+0.0104335j 0.0287571+0.0505031j 0.0258049-0.114158j 
-0.0430267+0.0176614j 0.0639016-0.0915321j 0.00591409+0.0430211j 0.0272364-0.0934955j -0.0425682+0.0431367j -0.0852381+0.195141j 0.00166437+0.102109j 0.0522182+0.0406216j 0.0573779-0.0177484j -0.0503346-0.0181019j 0.0703267+0.0776567j 0.0759136-0.0794621j 0.157416+0.141086j 0.188742+0.268967j -0.020841+0.0571879j 0.0423308+0.0514258j -0.0622039-0.0210488j 0.0536263+0.109166j -0.144364-0.15219j 0.154414+0.12578j -0.0433602+0.00335361j -0.155316+0.110384j 0.0216647+0.0365253j 0.00476347-0.0285217j 
-0.0195551-0.0108164j 0.0334838-0.0266705j 0.0122379-0.0838712j 0.0218093-0.0530739j -0.0341963-0.0403776j -0.000715856-0.0372468j -0.123814+0.0563425j -0.00206354-0.0377121j 0.095971+0.0185803j 0.0315147+0.052728j -0.0425296-0.104292j -0.0230912+0.0755426j -0.0297994-0.351965j 0.094676-0.040047j 0.195988+0.175678j 0.13689+0.088142j 0.14836+0.197561j 0.122273+0.114958j 0.0225185-0.0815143j -0.00353919+0.190015j -0.045092+0.0105505j -0.126287+0.0119485j 0.0968547+0.0193441j -0.138962-0.0492635j 
0.00463248-0.0171332j 0.00726928+0.0170527j 0.0202653-0.0163774j 0.0399743-0.0439911j 0.0209507-0.00250124j 0.0268928-0.0570251j -0.104851+0.0649117j 0.00998489+0.0172774j 0.00734387+0.0192188j -0.00601836-0.0168184j 0.0593777+0.0356154j -0.0395929+0.0799442j 0.119403-0.32483j -0.0114009-0.165262j -0.0500633+0.0577228j -0.101956+0.0540591j -0.169114-0.229017j -0.108098-0.0622194j 0.111156-0.00735682j -0.162903+0.186719j 0.00847344-0.0828547j -0.00991026+0.0773975j 0.019321+0.0281526j 0.0205208+0.141494j 
-0.0265998+0.0188748j 0.0526558-0.00814868j -0.00511838+0.0352485j 0.063723-0.0054594j -0.0275436+0.0156799j 0.014044+0.0146905j -0.274612+0.0556681j 0.0307697-0.048392j 0.135268-0.0863749j 0.0106006+0.0115937j 0.134499-0.0552638j -0.000476098-0.0268082j 0.0340941+0.110996j 0.0807802-0.0289296j 0.12313-0.140819j -0.0121146-0.135611j -0.273773+0.160238j -0.0755621-0.0483514j 0.111863+0.0389163j -0.0749648-0.156423j -0.08039+0.0695569j -0.0106813+0.0966877j 0.130484-0.0895179j 0.0113872+0.000334824j 
-0.00905692+0.0272169j -0.0196175-0.0938996j -0.0351839-0.0352236j -0.00293763-0.0877014j -0.0191869+0.0408434j 0.000503555+0.061636j 0.0374388+0.167877j -0.00302136+0.0296247j -0.0138824-0.0885562j -0.00305044+0.0394905j 0.00312798-0.0379159j 0.00749719-0.0490822j -0.132363-0.399758j -0.0250252-0.155988j 0.0579273+0.146356j -0.00730926+0.0109597j -0.00646328+0.0335742j -0.000231911+0.0197668j 0.0351902+0.138211j -0.001305-0.0438756j 0.0148875-0.0153308j -0.0171141-0.00104895j 0.0215306+0.0361113j -0.0255915-0.0237586j 
0.0158164-0.0169974j -0.034692+0.0474008j 0.0339729+0.0571899j -0.0209454+0.0557752j -0.0158985-0.0130271j 0.0372988+0.0409755j -0.0499424-0.20383j -0.0717228+0.0562285j 0.0198865+0.114627j -0.00619446-0.0143133j 0.0231767+0.0766407j 0.0350023-0.00554225j 0.0168017+0.180214j 0.0717505+0.157674j -0.0146791+0.0648557j -0.0322481+0.0256198j -0.0122777-0.0665419j -0.00197307+0.0411645j -0.0576502-0.0384204j 0.0299769+0.00131745j 0.0627045-0.00723295j 0.144351+0.00736151j -0.00477438+0.0806847j -0.0139816-0.0696386j 
0.0503358+0.0343582j -0.120565-0.0873822j -0.00560557+0.00681788j -0.0554789-0.051165j 0.0774498+0.0896649j 0.133764+0.11341j 0.108124+0.100007j 0.0293087+0.120813j -0.0832639-0.0253263j 0.0242731+0.010754j -0.0165021-0.00678412j -0.0994683-0.0372162j -0.102697-0.0910317j -0.0387429+0.0122308j 0.05684+0.120605j -0.0786368+0.0733549j 0.0336587-0.0147981j -0.00802613+0.0656211j 0.0559445+0.0184654j -0.0848691+0.00423736j 0.0603631-0.0197564j 0.143171-0.0466131j 0.0177297+0.0646694j -0.0436421-0.0610047j 
-0.0384191-0.0203637j 0.0417141+0.0455564j -0.0372009-0.0487604j -0.0557166+0.00362462j -0.0776069-0.0687532j -0.0788782-0.174454j -0.00283348+0.0832388j -0.128015-0.171828j 0.0171277-0.0452071j -0.0107595+0.0050031j -0.0499105-0.117228j 0.118281+0.0919021j -0.0471565-0.0989724j -0.0123521-0.100554j -0.145437-0.159845j -0.143176-0.0769537j 0.0464959+0.104932j -0.0931786-0.0795379j -0.0125545+0.000153646j 0.00544929+0.00250777j 0.0509595+0.0447614j 0.0280391+0.0878384j -0.0852501-0.089965j 0.0709907+0.0585993j 
