0.0144086+0.0496611j 0.0194111+0.0251715j 0.134166+0.0212184j 0.0961922+0.028123j -0.0376519-0.127623j -0.078293-0.261015j -0.13887-0.0328585j -0.047247-0.145366j -0.172147+0.00780137j -0.314649+0.139058j -0.0407886+0.161383j -0.0787225+0.120804j -0.0489635-0.360316j 0.0178189+0.282506j -0.702858-0.353568j 0.0989406-0.065494j 0.142359+7.64227e-05j -0.052319-0.111823j 0.0241034-0.0998486j 0.0934104-0.262443j -0.139988+0.376232j -0.0738265-0.0078165j -0.300368-0.0883067j 0.214174-0.257419j -0.300932-0.0510995j 0.523201-0.135878j -0.0741508+0.128722j -0.084902+0.228104j -0.137526-0.214849j -0.0761984+0.429681j -0.233923-0.425213j -0.118996-0.0949824j -0.366534-0.0576111j -0.144923+0.00766238j -0.20447+0.113219j -0.996732-0.387219j -0.0784088-1.95339j 0.0152927+0.00143063j 0.048158+0.0314379j 0.142287-0.227544j -0.099577-0.206942j 0.142773-0.0155372j 0.0455121-0.119716j -0.293095+0.0295698j 0.205108-0.0560296j 0.111015-0.200232j -0.0711086+0.237628j 0.0209844-0.000882273j 0.156526+0.0479637j -0.0413042-0.0367563j 0.139712-0.0512201j 0.0720296+0.328151j -0.210678-0.0862321j 0.245994+0.063224j -0.0478453-0.267392j 0.0975571+0.124402j 0.112028-0.00790093j -0.170584-0.0330147j 0.110021+0.434427j -0.238482-0.0941485j -0.166756+0.00789751j -0.499337-0.221314j -0.0277632-0.0885522j -0.35523+0.0716757j 0.0585373-0.00502268j -0.178619+0.180873j -0.358368+0.232553j 0.0900697-0.118989j 0.144932-0.183557j 0.0838885-0.584452j -0.215509+0.369818j -0.102436-0.0426013j 0.159058+0.459073j 0.0951142-0.10066j -0.0347883+0.280338j -0.360008-0.690336j -0.0718233+0.328978j -0.0636038+0.0091935j 0.391851+0.385525j 0.359346+0.271173j 0.124511+0.0917982j 0.74427-0.261366j 0.169077+0.123431j -0.0762867+0.100488j 0.24371-0.296559j 0.110454+0.654098j 0.144348-0.0659544j 0.356738+0.106857j -0.124819-0.613755j -0.506125-0.548513j -1.34877-0.052476j -0.0121265-0.168365j 0.38279-1.50636j -0.846796+0.0449243j 0.864651+1.32274j 
-0.262804-0.0822891j 0.244447-0.12266j -0.0357964-0.123785j 0.131727+0.274466j -0.0664239-0.208011j -0.301853-0.0245694j 0.449591+0.349159j -0.0727437+0.415952j 0.247776+0.251889j 0.17636-0.77205j -0.157806-0.23426j -0.130341+0.112987j -0.0404842-0.334471j -0.60005+0.0273025j 0.450997-0.406898j 0.212899+0.485416j -0.266766+0.08456j 0.00091604-0.171424j -0.0154615-0.30598j -0.563194-0.252228j 0.440997-0.0250104j -0.0614481-0.634052j 0.0367131+0.271332j 0.364977-0.0120441j -0.265709+0.164628j -0.150072+0.117919j 0.594264-0.230866j 0.713737-0.907891j -0.0738443-0.0845893j 0.179088-1.26065j 0.0700535-0.138498j 0.0695854+0.498006j -0.133801-0.728833j -0.157873-0.228946j -0.117716-0.838601j 0.996201-0.204872j -0.1849+0.617058j -0.378823+0.527609j 0.200516+0.313648j 0.609987-0.0401394j 0.166811-0.337805j -0.00176549+0.209869j 0.0990141+0.0481473j 0.203046+0.0738967j 0.57073+0.22617j -0.164909+0.0898008j -0.246372+0.371932j -0.251141-0.604933j 0.06654-0.128622j -0.336024-0.262262j -0.112553-0.109648j 0.754184-0.0158438j 0.0586537+0.428898j 0.47036-0.436811j -0.630095-0.109637j -0.283426+0.0490082j 0.22132-0.566973j -0.258084+0.0272721j 0.450483-0.900277j -0.141662-0.0353932j 0.0884239-0.385169j 0.336216+0.747687j 0.263608-0.476147j 0.165147-0.372426j 0.0306294-0.148945j -0.440311-0.537047j 0.480311+0.21847j -0.0843039-0.0525365j -0.416046+0.0485708j -0.757833+0.327695j -0.906566+0.735078j 0.952083-0.614766j 0.29989-0.576185j 0.0457372+0.251809j -0.0228678-0.327401j -0.258784-1.58837j -0.169591-1.20168j 0.0730248-0.0638105j -0.48748-0.168123j 0.2524-0.0490946j 0.0731153+0.0989351j -0.49276-0.373399j 0.63539-0.414036j 0.4348-0.22184j -0.0538094+0.212589j 0.493001-1.07935j 0.444911-0.0855119j -0.405992-0.593271j 0.161394-0.563215j 0.0413095+0.65456j -0.19828-0.0146912j -0.44352-0.430458j -0.469349+0.331123j 0.191488-0.0497705j -0.252553-0.670616j 
-0.0595573-0.108497j -0.168535+0.0458838j 0.259462-0.0103327j 0.104767+0.154829j 0.424511-0.106859j -0.180021+0.0621706j 0.031099-0.569336j 0.173116-0.119866j 0.0168129-0.123613j 0.408732-0.0629377j 0.361913-0.147866j 0.582002-0.501798j -0.199923-0.264172j 0.135661+0.326215j 0.334671+0.0146411j -0.0563938+0.218605j 0.289448+0.193094j -0.087395-0.214088j 0.0368172-0.333917j 0.393577-0.380604j 0.553603+0.155294j 0.160099-0.305172j 0.471006-0.656203j 0.175469-0.127688j 0.0073983-0.376979j -0.543296+0.35521j 0.288111+1.51659j 0.714241-0.713796j 0.912396-0.018081j -0.651008-0.73361j -0.345127+0.552662j -0.99509+0.478861j -1.09151+0.726029j 0.656601-0.756095j -0.646203-0.190732j -0.20176-0.324447j -0.258364+0.273507j -0.237859-0.100569j -0.10889+0.10199j 0.392434-0.417245j -0.120272-0.324764j 0.0324477-0.1916j -0.0572064-0.073637j -0.486266+0.0860253j -0.441674-0.207706j 0.238578-0.280707j 0.219315-0.108603j 0.146849-0.490479j -0.139773-0.309005j -0.144253-0.0709854j -0.319315-0.191016j -0.490053-0.0812704j 0.353429-0.0867191j -0.195764+0.834773j 0.142723-0.0652725j -0.494739+0.284914j 0.389456+0.33212j 0.269002-0.108627j -0.219417+0.180155j -0.481273+0.966085j 0.20632-0.501684j 0.115938-0.154139j -0.149112-1.17194j 0.745694+0.202157j 0.485986+0.480473j -0.015052-0.590916j -0.234755-0.367034j 0.762158+0.00188379j -0.474316+0.651446j 0.411481-0.0592283j 0.543243+0.00610032j 0.660488-0.0907021j -0.242237-1.11784j 0.413291-0.592339j 0.482554+0.305807j -0.156244+0.387738j 0.343511-0.903042j -0.316986+0.572745j 0.606839+0.0690642j -0.0943074-0.405467j 0.378309+0.550168j -0.145222-0.0638215j -0.33092+0.251531j 0.186901-0.250867j 0.78774-0.306756j 0.483931+0.137339j -0.643502-0.132355j -0.310174-0.475706j -0.219773+0.432996j 0.0899538-0.676729j -0.175699+0.178141j 0.171561+0.475811j 0.314791-0.212968j 0.468943-0.211051j -0.149643-0.465048j 
0.0174544-0.14334j -0.157741-0.0114901j 0.514925+0.178877j -0.172804+0.147446j -0.0882759+0.122133j -0.33687+0.0661582j -0.309287+0.152723j 0.313712+0.566362j 0.110934-0.659759j -0.285121-0.282378j 0.512699+0.120597j -0.263547-0.103151j 0.306904+0.362595j -0.144588-0.235657j 0.302287+0.251387j -0.175201+0.242876j 0.229796+0.320683j -0.322623-0.321064j 0.377078-0.228726j 0.255255-0.208248j 0.358577+0.254528j 0.226258+0.218161j -0.137303+0.217218j 0.449145+0.276711j 0.356301-0.118916j -0.497523+0.606005j -0.141745-0.753758j -0.0245687+0.252673j 0.329644+0.09316j -0.477283+0.876633j 0.325598+0.914795j -0.103201-0.220702j -0.569233+0.0530804j -0.110664-0.00820815j 0.141248+0.179257j 0.350936-0.118719j -0.408957+0.101614j -0.226561-0.196523j -0.179684+0.0673292j 0.545367-0.346921j -0.0290442-0.371494j 0.379366+0.154142j 0.256824-0.0784984j -0.219853+0.11218j -0.323458-0.224454j 0.0663922-0.1622j 0.163071-0.287421j 0.590317+0.146321j 0.282146-0.268931j 0.371872-0.165406j -0.0509507-0.410486j 0.135042+0.355321j 0.0043407-0.229555j 0.561467-0.305888j 0.130076+1.30634j -0.350523-0.205478j -0.415793-0.651318j 0.763797+0.468761j -0.500043+0.344118j 0.447049-0.576705j 0.447227+0.0234092j -0.105438-0.392176j 0.408839-0.0451536j 0.0417872-0.888628j 0.555417-0.515543j -0.464917-0.843184j 1.0075+0.596847j -0.0611857-0.722671j 0.679382+0.0558033j -1.12987+0.852322j 0.349175+0.381009j 0.0277076+0.16472j -0.515564+0.212369j -0.588163+0.505154j 0.0763947+0.374805j -0.669659+0.371009j 0.334735-0.102286j -0.643848-0.632401j 0.277864-0.739706j -0.788642+0.271608j -0.605101+0.53916j -0.00831857+0.764664j -0.0641224+0.747559j -0.295629-0.441777j 0.287597+0.851429j 0.377819+0.330303j -0.0996464+0.472096j -0.489999+0.0485716j 0.101864+0.150997j -0.39871-0.0873707j 0.0532535+0.170995j 0.0530992+0.180852j -0.045881+0.0604716j 0.417461+0.096283j 0.123178-0.550232j 
0.0152054-0.0140926j -0.0230663+0.126289j 0.260374-0.0739178j 0.0594616-0.222315j 0.182609-0.270615j 0.199286+0.468572j 0.79215+0.0999549j -0.0188784-0.179611j -0.891241+0.113596j -0.216375+0.531413j -0.237402-0.560159j 0.10553-0.35659j 0.441397+0.0208998j 0.0360674-0.0427517j 0.0012691+0.0923034j -0.0724603+0.00467701j 0.0926168-0.0395577j -0.224948-0.00406553j -0.00656774+0.298877j 0.215496-0.22316j -0.212574-0.260755j 0.169464-0.0872171j 0.936533+0.1668j 0.0717243-0.393615j -0.968425+0.647723j 0.00994206-0.169375j -0.0107396-0.377638j 0.842668+0.753113j 0.651312-0.343394j -0.954726-0.174481j 0.00498299-0.301891j 0.159813+0.146829j 0.426525+0.420365j 0.131978-0.264288j 0.284045-0.120112j 0.0301205-0.0313812j -0.0738528-0.0594964j -0.0785399-0.161851j -0.0891541-0.0059883j -0.0153556-0.0293254j -0.0393731+0.0096155j 0.0105441+0.139689j 0.0772512+0.064285j -0.355147+0.133018j 0.105233-0.0390519j 0.0773724-0.285403j -0.12272+0.0113584j 0.0614496+0.299767j -0.208095+0.114302j 0.239836+0.0218043j 0.0172388+0.146899j -0.467826-0.501936j 0.559858-0.187284j -0.306292-0.267166j -0.905179-0.0332762j 0.0388066+0.0946669j 0.0667292-0.376034j -0.524768+0.426007j 0.441211-0.151098j 0.535038+0.241838j -0.164243-0.0416524j -0.0908301+0.201382j -0.564368+1.15854j -0.0511546+0.203005j -1.31991+2.23297j 0.901286+0.907701j -0.553697+0.482004j 1.20148+2.16266j 0.321857+0.82838j 0.0844536-0.556178j -0.00602095+0.0693031j 0.0225093-0.061569j -0.892966-0.0849323j -0.114057-0.596416j -0.133798+0.555735j -0.102886-0.200454j -0.0761105-0.00466476j 0.0270497-0.226467j 0.840202+0.222205j -0.220347-0.255397j -0.0604224-0.160818j -0.400351+0.232655j 0.00985603+0.0408913j 0.0643827+0.0707507j -0.163127+0.165202j -0.151002-0.183702j -0.0519247+0.333773j 0.0666099-0.00944431j 0.250299+0.101822j -0.229178-0.00541219j 0.113092-0.189412j 0.0596966-0.0146895j 0.0422535+0.0309364j 0.0991799+0.068501j 0.0821815-0.0869223j 
0.157518-0.0157708j -0.180078+0.178149j 0.171856-0.24111j 0.180094-0.0252627j -0.403941+0.063971j 0.306807-0.385975j -0.26851-0.744558j -0.361903+0.554523j 0.537793+0.367251j 0.531714-0.0562718j -0.234064+0.170659j 0.0565635+0.394054j 0.727655-0.0706531j -0.229603+0.232752j -0.0603819+0.305548j -0.350278-0.0701767j 0.428144+0.170628j 0.0223772-0.0254567j -0.0387114+0.110127j -0.647517-0.103269j -0.314663+0.79112j 0.012421+0.209118j 0.342644+0.185075j -0.209596+0.442554j -0.259326-0.252022j 0.683363+0.830788j 0.0259536-0.718491j -0.14065+0.113678j -0.764091+0.042259j 0.0246099+0.184365j -0.656236+0.387396j 0.418315+0.0196972j 0.576593+0.228587j 0.542451+0.377487j 0.423-0.444183j 0.0800503-0.423019j -0.155355-0.2722j -0.174273-0.635665j -0.34766-0.0824979j -0.010033-0.0746961j -0.0667407-0.0671229j -0.0805822-0.221901j -0.176871+0.0403148j -0.146641+0.413941j 0.491862+0.0247076j -0.127199-0.309582j 0.0745468-0.0161936j -0.353337+0.483313j 0.603642-0.694146j 0.29151+0.34834j 0.0124066-0.677364j -0.0668805-0.783589j 1.00659+0.13964j 0.151811-0.590666j 0.0525096-0.819022j 0.295652+0.133551j 7.00239e-05-0.513151j -0.430707-0.450909j 0.636025+0.427935j 0.225333-0.148703j -0.330054-0.0552834j -0.427641+0.27341j -1.14568-0.449575j -0.699031-0.994229j 0.238793-1.13081j -1.66181+0.428328j 0.3373-0.722178j -0.668661-0.794423j -0.463425+0.0637208j 0.264991+0.784075j 0.297911-0.529449j -0.212285-0.372654j -0.047948-0.783374j 0.690646+0.026158j -0.703237+0.450773j 0.422056+0.55165j -0.414273+0.101668j -0.328686-0.0151402j -0.25921+1.22139j 0.296025+0.308911j -0.235921-0.127068j 0.388093-0.414422j 0.242114+0.194273j 0.164653+0.203065j -0.244751+0.110469j 0.414235+0.373415j -0.0880142+0.0421965j 0.456579-0.187066j 0.111702+0.353685j -0.0392794+0.174834j 0.477506-0.339828j 0.187507+0.292758j 0.487145+0.139059j 0.374837+0.222333j 0.261885-0.20032j 
0.138312+0.0292043j 0.00517983-0.0922895j -0.196057+0.113344j -0.33412-0.358394j -0.301828-0.318174j -0.265842+0.0305164j -0.0495262-0.0424728j 0.057533-0.334593j 0.0794769-0.746368j 0.129849+0.129244j -0.565936-0.385637j -0.276543+0.195993j 0.0994192+0.0803682j -0.201847-0.0197531j -0.114517+0.142425j -0.249254-0.170338j -0.0976027+0.400311j 0.76593-0.0816498j 0.367343+0.468007j -0.767236-0.695022j 0.324009+0.350524j -0.300369-0.272785j 0.888478-0.512695j -0.306207-0.540461j -1.00077-0.387364j 0.711962+0.241484j -0.177049+1.99243j -0.0560088-0.785237j 0.281167+0.450508j -0.305424-1.02135j -0.593186+0.0843553j -0.0258682+0.439744j 0.5887+0.412617j -0.00889747+0.339341j -0.0361436-0.148733j 0.200435-0.231073j -0.0563925-0.187976j 0.12539-0.421521j -0.189028-0.173942j 0.502224+0.295496j 0.284194-0.193446j -0.210644-0.343728j -0.278949+0.0197909j 0.314967+0.922747j 0.0815884-0.543468j -0.524527-0.146786j 0.549676+0.504745j -0.428652-0.524734j 0.49454-0.106062j -0.529015+0.153263j 0.145064-0.420153j -0.513551+0.18455j 0.374498-0.0126446j 0.076094+0.827357j -0.495915+0.438949j 0.249799+0.724227j 0.447143-0.290239j 0.398238+0.618026j 0.035522+0.35881j 0.0953496-0.843278j -0.520395-0.226874j -0.604571-0.18443j 0.832149+0.629902j -0.461991-0.188684j -0.756297-0.0249663j 0.336315-0.243873j 0.238322-0.501241j -0.526414+0.750349j 0.729577-0.869347j 0.369342+0.593363j -0.215988-0.122178j 0.0388616-0.454766j 0.631762+1.06293j 0.283895-0.0374985j 0.452625-0.481559j 0.069971-0.140472j -0.525446-0.202525j -0.183657+0.575586j -0.0832951-0.143004j -0.22501-0.5473j 0.0419369+0.0112284j -0.315974+0.0283557j -0.595585+0.042873j 0.194425+0.241786j 0.184296-0.215562j 0.00658755+0.511474j -0.0218072+0.182505j 0.419632-0.160364j 0.00916987+0.111129j -0.447422-0.0102066j 0.178414+0.0889617j -0.0549206+0.372055j 0.299984+0.201629j 0.238357+0.256167j 0.245338-0.0968502j 
0.185531+0.14923j -0.354081-0.0365818j -0.170102+0.257554j 0.167885+0.158965j 0.196112-0.341348j -0.251091-0.663125j -0.224751+0.523098j 0.117643+0.420536j -0.293038+0.407075j 0.278505-0.0465998j 0.189525-0.29919j -0.240732+0.243511j -0.042546+0.0760123j 0.381019+0.37079j -0.434042+0.198798j -0.290108-0.318382j 0.720598+0.301521j 0.17758-0.692881j -0.0574575+0.343187j -0.0605616+0.222772j -0.038967+0.183246j 0.025268-0.786588j -0.36524-0.90407j 0.00208611-0.698927j -0.739708-0.783789j -0.101086-0.362576j -0.204589+0.0833658j 0.676214+0.322368j -0.652571-0.0847841j -0.189696+0.355458j -0.402587+0.143005j -0.23245+0.770805j -0.676766+0.27781j -0.157079+0.239518j -0.0488435-0.180772j -0.469001-0.218596j 0.0943131-0.519053j 0.208819-0.781076j -0.382549-0.304584j -0.629362-0.321676j -0.294977+0.138569j -0.385632+0.280047j -0.0300288+0.301072j 0.302191-0.779324j 0.219656-0.857994j 0.442479+0.28573j 0.288038+0.368106j 0.228849+0.828012j 0.350498+0.855273j 0.312326+0.115394j 0.803311+0.12929j -2.06211e-05+0.700795j -0.434066-0.213237j 0.058526+0.30791j 0.45032-0.162723j -0.490413+1.15174j -0.0922553+0.166064j 0.220487-0.736575j 0.200929-1.23985j -0.111636-0.528964j -0.859906-1.09301j 0.81806+0.673854j 0.189584-0.0572089j -0.518777-0.316515j 0.197157-0.0341596j -0.574012+0.276144j 0.374585-0.272426j 0.144656-0.298996j -0.250131-0.21414j 0.0838326+0.463889j -0.565316+0.598041j -0.0511222-0.227263j 0.105707-0.0877414j -0.352066-0.00644974j 0.203885+0.525229j -0.466952-0.861707j -0.358827+0.215944j -0.292689-0.103709j 0.7581-0.27831j 0.254677+0.598124j 0.306669+0.02131j 0.912123+0.234713j 0.187478+0.201124j -0.29203-0.397519j 0.130913-0.421432j -0.183028+0.269784j -0.0924722-0.140792j -0.462763+0.248352j 0.109699+0.119903j 0.223128-0.368587j -0.034227-0.240812j 0.0768352+0.218813j 0.481855-0.114294j 0.0941836+0.259479j 0.409953+0.319264j 
-0.142281-0.116788j -0.0571566+0.517792j 0.0543236-0.432233j -0.310892-0.0216864j 0.168158+0.319217j -0.0160481-0.00329059j -0.186243+0.082865j 0.175595-0.0956024j 0.187382+0.134278j -0.349757-0.309898j -0.0317228+0.0907442j -0.378594-0.122613j 0.3047+0.319138j -0.020182-0.225387j -0.0230742-0.0968489j -0.121464+0.314029j -0.0224356+0.249965j 0.31846+0.468261j 0.787998+0.222718j 0.00505259-0.0223042j 0.517804+0.166106j -0.226841+0.105313j 0.0470946-0.673535j -0.321354-1.45754j -0.346639-0.34039j -0.210612+0.0645528j -0.196734+0.0819264j 0.109189-0.245425j 0.31807-0.467692j 0.0873093-1.09718j -0.217726+0.610523j -0.219049-0.0401205j 0.132919+0.344957j 0.281831+0.35026j 0.0927785+0.510216j 0.401188+0.343584j 0.135091+0.0296753j -0.146129-0.017711j -0.0686525+0.0437817j 0.536256-0.141251j 0.0655074-0.243006j -0.425221+0.607581j 0.368548+0.341322j 0.638359+0.241922j 0.332732-0.132182j -0.335864+0.257526j -0.134002+0.296856j 0.0552535+0.0241785j -0.223287+0.0585728j 0.0388525-0.229176j 0.0100119+0.251862j 0.516039+0.390081j -0.471866+0.120999j -0.126512-0.392616j 0.216019+0.304425j -0.022986-0.64812j -0.498758+0.186778j 0.00260118+0.485376j -0.566504+1.16967j -0.0841526-0.760626j 0.848556+0.442191j -0.623602-0.900136j 0.331424-0.0939617j -0.496276-0.411161j 0.0693772+0.118726j -0.337863-0.00874943j 0.179574+0.267354j 0.182471-0.028105j -0.409587+0.0600166j -0.512742+0.0299946j 0.329987+0.117315j 0.176004-0.165225j 0.308769-0.56557j -0.326773-0.350893j -0.277642+0.203824j -0.334861+0.260367j -0.0165218-0.140858j 0.468644-0.437595j 0.447523+0.12848j 0.376105+0.0543438j 0.122237-0.283754j 0.163402-0.254256j -0.0788254-0.507375j 0.203472+0.0509907j -0.0820478-0.269946j -0.526667-0.107728j -0.365828-0.119282j 0.0457469-0.205805j -0.251794+0.568606j 0.171178-0.228325j 0.368211+0.393906j 0.232113-0.00233562j -0.297178-0.0466186j -0.0575501+0.132562j 0.219605+0.0114213j 
-0.0509891+0.0087092j -0.279545+0.222886j 0.0826446+0.0807414j 0.496256+0.607546j 0.228866+0.362709j -0.739837+0.0164514j -0.126032+0.0455493j -0.24051-0.095561j 0.60377-0.443097j -0.128455+0.260949j -0.0265117-0.122044j 0.207325+0.0201982j 0.202658-0.227454j 0.0559235+0.179527j -0.210813-0.0131008j 0.0226157-0.301552j 0.00182784-0.10064j 0.313504+0.470016j -0.923685-0.309973j 0.0162609+0.0556568j -0.502371+0.476755j -0.0167516+0.0618373j -0.254744+0.29703j 0.084018+0.444057j -0.134871+1.5756j 1.01255+0.648562j 0.653702-0.369817j -0.199168+0.446721j -0.529887+0.430571j 0.552349-0.55451j 0.123071-0.257477j -0.0245856-0.0787234j -0.311522+0.12361j 0.178786-0.140487j 0.0939623-0.402372j -0.17319-0.116788j 0.111642-0.206458j 0.267369-0.387571j -0.0847897-0.180485j -0.0732726+0.277244j 0.0655994+0.08156j -0.0728137-0.90785j -0.504917-0.214574j 0.195828+0.509229j 0.687675+0.341959j -0.359137+0.182908j -0.145807+0.297172j 0.11933-0.355036j 1.30597-0.364217j -0.288384-0.147266j 0.128873-0.816472j -0.622707+0.931888j -0.404192-0.997631j 0.182128-0.12202j 1.06001+0.677037j -0.000315406-0.33327j -0.717506+0.0590386j 0.424539-0.573009j -0.436125+0.144029j -0.231467+0.496587j 0.13624+0.0463068j 0.0953852-0.382858j -0.0181501-1.00207j 0.338262-0.121469j 0.809878+0.135418j -0.516169-0.772624j -0.207945+0.851925j 0.681242-0.564537j 0.0209054-0.00748572j -1.0462-0.615829j -0.3033-0.425007j -0.496295-0.23946j 0.248355-0.0891771j 0.187296+0.1086j 0.367767+0.240501j 0.526355-0.250699j -0.382534+0.402355j -0.474844+0.260917j 0.172906+0.0947757j 0.333846-0.148328j -0.104006+0.235493j -0.0485905-0.310176j 0.224278-0.32088j -0.0307723-0.0897037j 0.264838+0.280052j -0.0489453-0.207841j -0.198774+0.13687j -0.131048-0.0146255j 0.155434+0.0826221j 0.100277-0.390466j -0.0912999-0.273009j -0.13379+0.0250167j 0.246688+0.0389489j -0.0353238+0.157414j 0.164224+0.220957j 
-0.0498752+0.112333j 0.107194+0.00572199j 0.0378258-0.104288j 0.163957+0.274238j -0.205992+0.044994j -0.0234423+0.534364j -0.329528-0.608789j 0.201461+0.666997j -0.159424+0.0159469j -0.421359+0.0185246j 0.126042-0.0660633j -0.369046+0.269088j -0.06153-0.00289567j -0.0838329-0.0539886j -0.0740236+0.0140942j 0.0189072-0.201746j -0.312538+0.144419j 0.290756+0.246349j -0.153044-0.110312j -0.104927-0.170213j -0.509762-0.291953j 2.05418+0.703311j -1.2892+0.384015j 0.632864+0.0963438j -0.267192+1.13033j 0.370022-0.310123j -0.081743-0.980641j -0.421572-1.09164j 0.568244+0.652743j 0.179682+0.367887j 0.0950468-0.129022j 0.00225714+0.0164946j -0.149817+0.180434j -0.149736+0.527904j -0.0846781-0.129934j 0.176793-0.050241j 0.0276816-0.101713j 0.292837-0.147497j 0.0132184-0.173018j 0.327107+0.359047j 0.283733-0.0640145j 0.0277337-0.556925j -0.281924-0.153117j -0.228915+0.346273j 0.203107+0.22592j -0.140323-0.413528j -0.494495-0.646229j 1.1938+1.13379j 0.314098-0.293424j 1.40562-0.209874j -0.0268172-0.312397j 0.770844-0.412618j 0.215927+0.871087j 0.898866+0.190618j 0.102335+0.69104j -0.303054-0.416966j 0.539006-0.213683j 0.564547+0.172157j -0.290406-0.0735569j -0.329175-0.619976j 0.43892+0.00813721j 0.137445-0.270856j -0.00179075+0.207773j -0.871967+0.0157733j 0.28103-0.172663j -0.00130871+0.445117j -0.574234+0.372252j -0.00889848-0.331466j -0.271163+0.661435j -0.267612-0.550956j -0.61525-0.167211j 0.0228605+0.41747j -0.325654-0.547438j 0.230315+0.336401j 0.0352917-0.341681j 0.383521-0.497475j 0.4178+0.206082j -0.187199+0.209419j -0.591375+0.00313219j -0.129252-0.206178j 0.0201505+0.162384j -0.120686-0.158407j 0.024849+0.274644j -0.130529+0.344186j 0.116339+0.0901992j 0.439268+0.0491373j -0.109416-0.0461324j 0.418594+0.155646j -0.21177+0.0241818j -0.0540649+0.00928081j 0.0820642+0.162402j -0.138409+0.261754j 0.131482+0.15319j 0.0677224+0.180671j 0.150323+0.0233027j 
0.270417-0.0152922j -0.103557-0.0852933j 0.408778-0.0803822j 0.237225-0.290273j 0.681214+0.417342j -0.454213+0.185153j -0.244928+0.140369j -0.473659-0.216415j 0.0108226-0.118329j 0.32195-0.391752j -0.0938148-0.537689j 0.10156+0.0826438j 0.194257+0.429885j -0.158564+0.293251j 0.129172+0.0903651j -0.157397+0.0777121j 0.459279-0.281711j -1.20898+0.128878j -0.207423+0.409447j -0.0889685+0.552505j -1.26869-0.353062j 0.738998+0.54178j -0.713123-0.408185j 0.356719+0.260515j 0.747567-0.249555j -0.255824-0.530931j -0.428877-0.146719j -0.430585+0.625381j -0.755703+0.155673j -0.287037+0.163352j 0.408247+0.134742j -0.139242+0.228527j 0.302711+0.360398j 0.242683+0.00882598j 0.45049+0.239577j -0.197222-0.300668j -0.176102+0.11201j -0.604889-0.265357j -0.221652+0.235821j -0.329575-0.654534j -0.528841-0.00922458j 0.490175+0.739302j 0.532255+0.182346j 0.66814+0.540354j 1.12342-0.00770449j -0.633652+0.458275j -0.119061+0.653022j -5.9855e-05+0.270134j 1.30174+0.0205423j -0.172856-0.0533688j 0.411715-0.731772j -0.575575-0.668955j 0.241743+0.0600326j -1.07399+0.599015j -0.400824+0.85913j -0.455436-0.291538j -0.0483341+0.592453j 0.525465+0.786834j -0.075853-0.766594j -0.383299+0.135196j 0.244366-0.229761j 0.460158+0.422855j 0.360184-0.854776j -0.0385095-0.359137j 0.293828+0.423954j -0.86227-0.509237j 0.0845057+0.265196j 0.707039-0.0777661j 0.481353+0.268202j -0.167462-0.0457778j 0.54157+0.125988j -0.131552+0.45252j -0.525732+0.43211j 0.0950293-0.333518j -0.115377+0.0480116j -0.302083+0.645652j 0.421095+0.264857j 0.338312+0.0506399j 0.0830782+0.330523j -0.0198712-0.0113038j 0.309119-0.0948424j -0.113661+0.0203664j 0.00052408-0.0111948j -0.265572-0.00257355j -0.0754392-0.290411j 0.0319559-0.126233j 0.0993988+0.0171699j -0.0757453+0.42694j 0.318098+0.174118j 0.121908+0.249603j 0.440748-0.437165j 0.461022-0.194575j 0.0502575-0.17865j 0.139969-0.275299j -0.256872-0.23628j 
