-0.00672967-0j 0.0487342-0j -0.000778808-0j 0.0107471-0j -0.000686844-0j -0.000651597-0j 0.00574338-0j 0.00145608-0j 0.00513704-0j 0.00351709-0j -6.65034e-05-0j 0.00129783-0j -8.58555e-05-0j 0.000153751-0j -3.30458e-05-0j 0.00118475-0j 0.000507648-0j 0.000478615-0j 0.00018201-0j -5.05908e-06-0j 0.00012134-0j 1.38845e-05-0j 0.000120919-0j 2.1152e-05-0j 2.02585e-05-0j 1.07251e-05-0j 1.13445e-06-0j 1.41708e-06-0j 8.84753e-08-0j 2.7383e-09-0j 
-0.000321028-0j 0.00232479-0j -3.71518e-05-0j 0.000512673-0j 0.00477514-0j -3.10834e-05-0j 0.000273979-0j 6.946e-05-0j -0.0357142-0j 0.000167777-0j -3.17244e-06-0j 6.19111e-05-0j 0.000596893-0j 7.33445e-06-0j 0.000692385-0j -0.00823677-0j 2.42165e-05-0j -0.00667778-0j 8.6825e-06-0j 3.51723e-05-0j -0.00169297-0j 6.62336e-07-0j -0.000840662-0j 1.00902e-06-0j -0.000140843-0j 5.11621e-07-0j -7.88702e-06-0j 6.75994e-08-0j 4.22057e-09-0j 1.30626e-10-0j 
0.00139038-0j 0.000212858-0j 0.000160905-0j 2.32247e-05-0j 0.000141905-0j -0.0263709-0j 2.50855e-05-0j 2.09046e-06-0j 2.24372e-05-0j -0.00603366-0j 1.37399e-05-0j 2.80465e-06-0j -0.00347467-0j 1.65266e-07-0j 6.82742e-06-0j -0.000501525-0j -0.000434334-0j 2.09046e-06-0j -5.11867e-05-0j 1.04523e-06-0j 1.74205e-07-0j -2.33634e-06-0j 2.61308e-07-0j 9.23862e-08-0j 2.17756e-08-0j 1.53977e-08-0j 8.1153e-10-0j 1.2173e-09-0j 5.42227e-11-0j 1.30439e-12-0j 
-0.000196589-0j -3.00964e-05-0j 0.00440063-0j -3.28378e-06-0j -2.00643e-05-0j -1.90346e-05-0j 0.000686068-0j -2.95574e-07-0j -3.17244e-06-0j -2.17202e-06-0j -0.035966-0j 7.67048e-05-0j 0.000485124-0j -2.33672e-08-0j -9.65342e-07-0j -3.62003e-07-0j -0.00580398-0j 5.71724e-05-0j 7.14654e-06-0j -0.00829398-0j -2.46312e-08-0j -1.68638e-09-0j -0.000684006-0j -0.00147125-0j 5.95545e-07-0j -0.000122182-0j -1.14744e-10-0j -3.18642e-06-0j 1.48294e-09-0j -1.84431e-13-0j 
4.01285e-05-0j -0.00058734-0j -0.000446815-0j 0.00299896-0j 4.0956e-06-0j 3.88543e-06-0j 0.00665981-0j 0.000827177-0j -6.19111e-05-0j -4.23876e-05-0j -7.67048e-05-0j -0.0348448-0j -4.92567e-05-0j 0.000131705-0j 1.9705e-07-0j 0.000330604-0j 0.00118342-0j 0.000554984-0j -0.00994825-0j -8.76778e-06-0j 6.89314e-05-0j 1.58968e-05-0j -0.00652668-0j 9.8873e-05-0j -0.00166966-0j -0.0017708-0j 1.62585e-06-0j -0.00031383-0j -1.46529e-05-0j 6.29143e-09-0j 
0.000397252-0j -0.00287678-0j 4.5973e-05-0j -0.0006344-0j -0.00590894-0j 3.84638e-05-0j -0.000339031-0j -8.59524e-05-0j 0.0441941-0j -0.000207614-0j 3.92569e-06-0j -7.66111e-05-0j -0.000738617-0j -9.07592e-06-0j -0.000856783-0j 0.0101925-0j -2.99664e-05-0j 0.00826333-0j -1.07441e-05-0j -4.35234e-05-0j 0.00209495-0j -8.19599e-07-0j 0.00104027-0j -1.2486e-06-0j 0.000174284-0j -6.33099e-07-0j 9.75969e-06-0j -8.365e-08-0j -5.22269e-09-0j -1.61642e-10-0j 
0.000243266-0j 3.72424e-05-0j -0.0054455-0j 4.06348e-06-0j 2.48282e-05-0j 2.35541e-05-0j -0.000848966-0j 3.65755e-07-0j 3.92569e-06-0j 2.68774e-06-0j 0.0445056-0j -9.49173e-05-0j -0.00060031-0j 2.89154e-08-0j 1.19455e-06-0j 4.47956e-07-0j 0.00718206-0j -7.07472e-05-0j -8.8434e-06-0j 0.0102633-0j 3.04796e-08-0j 2.08679e-09-0j 0.000846414-0j 0.00182058-0j -7.3695e-07-0j 0.000151192-0j 1.41988e-10-0j 3.943e-06-0j -1.83505e-09-0j 2.28221e-13-0j 
-2.3646e-06-0j 6.95807e-05-0j -2.73649e-07-0j -0.00109062-0j -2.41335e-07-0j -2.28951e-07-0j 8.20016e-06-0j 0.00931926-0j 7.33445e-06-0j 5.02155e-06-0j -2.33672e-08-0j -0.000131705-0j -3.01669e-08-0j -0.0337257-0j -1.16113e-08-0j -0.00012023-0j 7.24799e-07-0j 6.83347e-07-0j 0.00116491-0j -1.7776e-09-0j 0.000776605-0j -0.012707-0j -1.22709e-05-0j 3.02e-08-0j -0.00444375-0j 6.86428e-05-0j -0.00263056-0j -0.00129691-0j -0.000412985-0j -3.60151e-05-0j 
-0.00023173-0j 0.00167812-0j -2.68176e-05-0j 0.000370067-0j 0.00344688-0j -2.24372e-05-0j 0.000197768-0j 5.01389e-05-0j -0.0257799-0j 0.000121108-0j -2.28999e-06-0j 4.46898e-05-0j 0.00043086-0j 5.29429e-06-0j 0.00049979-0j -0.00594561-0j 1.74804e-05-0j -0.00482028-0j 6.26736e-06-0j 2.53887e-05-0j -0.00122205-0j 4.781e-07-0j -0.000606822-0j 7.28351e-07-0j -0.000101666-0j 3.69308e-07-0j -5.69315e-06-0j 4.87958e-08-0j 3.04657e-09-0j 9.42909e-11-0j 
-4.96565e-05-0j 0.000726796-0j 0.000552906-0j -0.00371103-0j -5.06805e-06-0j -4.80797e-06-0j -0.00824109-0j -0.00102358-0j 7.66111e-05-0j 5.2452e-05-0j 9.49173e-05-0j 0.0431182-0j 6.09521e-05-0j -0.000162977-0j -2.43836e-07-0j -0.000409102-0j -0.0014644-0j -0.000686758-0j 0.0123103-0j 1.08496e-05-0j -8.52983e-05-0j -1.96713e-05-0j 0.00807636-0j -0.000122349-0j 0.0020661-0j 0.00219126-0j -2.01188e-06-0j 0.000388345-0j 1.81321e-05-0j -7.78525e-09-0j 
-0.000141905-0j -2.17247e-05-0j 0.00317654-0j -2.37036e-06-0j -1.44831e-05-0j -1.37399e-05-0j 0.00049523-0j -2.13357e-07-0j -2.28999e-06-0j -1.56785e-06-0j -0.0259616-0j 5.53684e-05-0j 0.000350181-0j -1.68673e-08-0j -6.96821e-07-0j -2.61308e-07-0j -0.00418954-0j 4.12692e-05-0j 5.15865e-06-0j -0.00598691-0j -1.77797e-08-0j -1.2173e-09-0j -0.000493741-0j -0.001062-0j 4.29887e-07-0j -8.81955e-05-0j -8.28265e-11-0j -2.30008e-06-0j 1.07045e-09-0j -1.33129e-13-0j 
2.92604e-06-0j -8.61017e-05-0j 3.38623e-07-0j 0.00134957-0j 2.98637e-07-0j 2.83312e-07-0j -1.01472e-05-0j -0.011532-0j -9.07592e-06-0j -6.21386e-06-0j 2.89154e-08-0j 0.000162977-0j 3.73297e-08-0j 0.0417334-0j 1.43682e-08-0j 0.000148777-0j -8.96893e-07-0j -8.45599e-07-0j -0.0014415-0j 2.19967e-09-0j -0.000961-0j 0.0157241-0j 1.51845e-05-0j -3.73705e-08-0j 0.00549885-0j -8.49412e-05-0j 0.00325516-0j 0.00160484-0j 0.000511043-0j 4.45664e-05-0j 
2.89663e-05-0j -0.000423965-0j -0.000322528-0j 0.00216477-0j 2.95636e-06-0j 2.80465e-06-0j 0.0048073-0j 0.000597088-0j -4.46898e-05-0j -3.0597e-05-0j -5.53684e-05-0j -0.0251523-0j -3.55554e-05-0j 9.50697e-05-0j 1.42238e-07-0j 0.000238643-0j 0.000854235-0j 0.000400609-0j -0.00718103-0j -6.32892e-06-0j 4.97573e-05-0j 1.1475e-05-0j -0.00471121-0j 7.13703e-05-0j -0.00120523-0j -0.00127823-0j 1.1736e-06-0j -0.000226535-0j -1.0577e-05-0j 4.54139e-09-0j 
-1.70686e-06-0j 5.0226e-05-0j -1.9753e-07-0j -0.000787252-0j -1.74205e-07-0j -1.65266e-07-0j 5.91919e-06-0j 0.006727-0j 5.29429e-06-0j 3.62475e-06-0j -1.68673e-08-0j -9.50697e-05-0j -2.17756e-08-0j -0.0243445-0j -8.38145e-09-0j -8.67864e-05-0j 5.23188e-07-0j 4.93266e-07-0j 0.000840875-0j -1.28314e-09-0j 0.000560583-0j -0.00917242-0j -8.8576e-06-0j 2.17995e-08-0j -0.00320767-0j 4.9549e-05-0j -0.00189884-0j -0.000936156-0j -0.000298108-0j -2.59971e-05-0j 
0.00148266-0j 0.000226985-0j 0.000171584-0j 2.47661e-05-0j 0.000151323-0j -0.0354099-0j 2.67504e-05-0j 2.2292e-06-0j -0.00590165-0j 1.63812e-05-0j -0.00361401-0j -0.000737706-0j 1.89154e-05-0j -4.34698e-05-0j 7.28054e-06-0j 2.7302e-06-0j 2.36443e-06-0j 2.2292e-06-0j 2.7865e-07-0j 1.1146e-06-0j 1.85767e-07-0j 1.27186e-08-0j 2.7865e-07-0j 9.85177e-08-0j 2.32208e-08-0j 1.64196e-08-0j 8.6539e-10-0j 1.29808e-09-0j 5.78213e-11-0j 1.39096e-12-0j 
-0.00172977-0j -0.000264816-0j -0.000200182-0j -2.88938e-05-0j -0.000176544-0j 0.0413115-0j -3.12088e-05-0j -2.60073e-06-0j 0.00688526-0j -1.91114e-05-0j 0.00421634-0j 0.000860657-0j -2.2068e-05-0j 5.07147e-05-0j -8.49396e-06-0j -3.18524e-06-0j -2.7585e-06-0j -2.60073e-06-0j -3.25092e-07-0j -1.30037e-06-0j -2.16728e-07-0j -1.48383e-08-0j -3.25092e-07-0j -1.14937e-07-0j -2.7091e-08-0j -1.91562e-08-0j -1.00962e-09-0j -1.51443e-09-0j -6.74582e-11-0j -1.62279e-12-0j 
-0.000239263-0j 0.00173267-0j -2.76893e-05-0j 0.000382096-0j -2.44197e-05-0j 0.00453802-0j 0.000204197-0j 5.17687e-05-0j 0.000182639-0j -0.0491142-0j -2.36443e-06-0j 4.61425e-05-0j 0.000597936-0j 5.46638e-06-0j -1.17489e-06-0j -0.00825116-0j -0.00353549-0j 1.70164e-05-0j -0.0012676-0j -1.79868e-07-0j 4.31406e-06-0j -9.66977e-05-0j 4.29907e-06-0j 7.52027e-07-0j 7.20259e-07-0j 3.81313e-07-0j 4.03335e-08-0j 5.0382e-08-0j 3.1456e-09-0j 9.7356e-11-0j 
-0.00105926-0j -0.000162166-0j -0.000122586-0j -1.76937e-05-0j -0.000108111-0j 0.0252981-0j -1.91114e-05-0j -1.59262e-06-0j 0.00421634-0j -1.17033e-05-0j 0.00258197-0j 0.000527043-0j -1.35138e-05-0j 3.10563e-05-0j -5.20147e-06-0j -1.95055e-06-0j -1.68923e-06-0j -1.59262e-06-0j -1.99077e-07-0j -7.96309e-07-0j -1.32718e-07-0j -9.08659e-09-0j -1.99077e-07-0j -7.03845e-08-0j -1.65898e-08-0j -1.17307e-08-0j -6.18264e-10-0j -9.27397e-10-0j -4.13095e-11-0j -9.93753e-13-0j 
0.00151355-0j 0.000231714-0j 0.000175159-0j 2.5282e-05-0j 0.000154476-0j -0.0361476-0j 2.73077e-05-0j 2.27564e-06-0j -0.0060246-0j 1.67225e-05-0j -0.0036893-0j -0.000753075-0j 1.93095e-05-0j -4.43754e-05-0j 7.43222e-06-0j 2.78708e-06-0j 2.41368e-06-0j 2.27564e-06-0j 2.84455e-07-0j 1.13782e-06-0j 1.89637e-07-0j 1.29836e-08-0j 2.84455e-07-0j 1.0057e-07-0j 2.37046e-08-0j 1.67617e-08-0j 8.83419e-10-0j 1.32513e-09-0j 5.90259e-11-0j 1.41994e-12-0j 
-0.000195357-0j -2.99079e-05-0j 0.00217523-0j -3.26322e-06-0j 0.00290585-0j -1.89154e-05-0j 0.000339123-0j -2.93723e-07-0j 0.000459455-0j -2.15841e-06-0j 0.000373421-0j 3.79151e-05-0j -0.0349479-0j -2.32208e-08-0j 0.000421342-0j 5.24279e-05-0j 6.02606e-05-0j -0.00826557-0j 3.53253e-06-0j -0.00622079-0j 7.15901e-06-0j -1.67582e-09-0j -0.00103501-0j 5.0347e-06-0j -4.29026e-05-0j 6.28797e-07-0j 1.6618e-08-0j 3.30835e-08-0j 7.33018e-10-0j -1.83276e-13-0j 
-0.000624306-0j -9.5577e-05-0j -7.22494e-05-0j -1.04283e-05-0j -6.3718e-05-0j 0.0149101-0j -1.12639e-05-0j -9.38655e-07-0j 0.00248502-0j -6.89768e-06-0j 0.00152176-0j 0.000310628-0j -7.96475e-06-0j 1.83039e-05-0j -3.06563e-06-0j -1.14961e-06-0j -9.95594e-07-0j -9.38655e-07-0j -1.17332e-07-0j -4.69327e-07-0j -7.82212e-08-0j -5.35544e-09-0j -1.17332e-07-0j -4.14831e-08-0j -9.77766e-09-0j -6.91385e-09-0j -3.64392e-10-0j -5.46588e-10-0j -2.43469e-11-0j -5.85696e-13-0j 
0.00027914-0j -0.00202145-0j 3.23042e-05-0j -0.000445779-0j 2.84896e-05-0j -0.00529435-0j -0.00023823-0j -6.03969e-05-0j -0.000213079-0j 0.0572999-0j 2.7585e-06-0j -5.38329e-05-0j -0.000697592-0j -6.37745e-06-0j 1.37071e-06-0j 0.00962636-0j 0.00412473-0j -1.98525e-05-0j 0.00147887-0j 2.09846e-07-0j -5.03307e-06-0j 0.000112814-0j -5.01558e-06-0j -8.77364e-07-0j -8.40302e-07-0j -4.44865e-07-0j -4.70558e-08-0j -5.8779e-08-0j -3.66987e-09-0j -1.13582e-10-0j 
2.81974e-05-0j -0.000412711-0j 3.26322e-06-0j 0.0021073-0j -0.000419423-0j 2.7302e-06-0j -4.86384e-05-0j 0.000581239-0j 0.00634021-0j -2.97848e-05-0j 2.7865e-07-0j 0.000254481-0j -5.24279e-05-0j 9.25462e-05-0j -6.08155e-05-0j -0.0338566-0j -4.29907e-06-0j 0.00118548-0j 7.26549e-05-0j -3.08935e-06-0j -0.0141667-0j 1.11704e-05-0j -0.00345548-0j -1.79128e-07-0j -0.00177716-0j 4.28123e-06-0j -0.0001665-0j 1.14007e-06-0j 1.07014e-07-0j 4.42085e-09-0j 
2.44197e-05-0j -0.00017684-0j -0.000546633-0j -3.89975e-05-0j 2.49232e-06-0j 2.36443e-06-0j 0.00403119-0j -5.28362e-06-0j -1.86406e-05-0j -1.27623e-05-0j 0.00446759-0j 0.000910929-0j -6.02606e-05-0j -5.5791e-07-0j 1.19912e-07-0j -4.29907e-06-0j -0.0341029-0j 0.000335932-0j 0.00012775-0j 0.00103025-0j -4.40302e-07-0j -5.0382e-08-0j -0.0081231-0j -0.00864473-0j 1.42191e-05-0j -0.0021841-0j -4.11652e-09-0j -9.51969e-05-0j 6.20994e-08-0j -9.93635e-12-0j 
0.000170938-0j -0.00123788-0j 1.97822e-05-0j -0.000272983-0j 1.74463e-05-0j -0.00324211-0j -0.000145885-0j -3.69854e-05-0j -0.000130484-0j 0.0350889-0j 1.68923e-06-0j -3.29658e-05-0j -0.000427186-0j -3.90537e-06-0j 8.39384e-07-0j 0.00589491-0j 0.00252587-0j -1.21571e-05-0j 0.000905617-0j 1.28504e-07-0j -3.08211e-06-0j 6.90841e-05-0j -3.07141e-06-0j -5.37274e-07-0j -5.14578e-07-0j -2.72423e-07-0j -2.88157e-08-0j -3.59946e-08-0j -2.24733e-09-0j -6.95545e-11-0j 
0.000227917-0j 3.48925e-05-0j -0.00253777-0j 3.80709e-06-0j -0.00339016-0j 2.2068e-05-0j -0.000395644-0j 3.42677e-07-0j -0.000536031-0j 2.51815e-06-0j -0.000435658-0j -4.42343e-05-0j 0.0407726-0j 2.7091e-08-0j -0.000491566-0j -6.11659e-05-0j -7.03041e-05-0j 0.00964316-0j -4.12129e-06-0j 0.00725759-0j -8.35218e-06-0j 1.95512e-09-0j 0.00120752-0j -5.87382e-06-0j 5.00531e-05-0j -7.33596e-07-0j -1.93877e-08-0j -3.85974e-08-0j -8.55188e-10-0j 2.13822e-13-0j 
-2.87789e-06-0j 6.34035e-05-0j 3.20441e-05-0j -0.000659063-0j -2.93723e-07-0j -2.7865e-07-0j -0.000718927-0j 0.00274595-0j 6.68331e-06-0j 4.57575e-06-0j 5.50102e-06-0j 0.00765762-0j 3.53253e-06-0j 0.000896682-0j -1.41318e-08-0j -7.26549e-05-0j -0.00012775-0j -5.99106e-05-0j -0.0330248-0j 6.28797e-07-0j 0.000228829-0j 0.000163491-0j 0.00143433-0j -1.06734e-05-0j -0.0113675-0j -0.00587847-0j 2.23649e-05-0j -0.00322759-0j -0.000252393-0j 1.51995e-07-0j 
-0.000244248-0j 0.00176877-0j -2.82662e-05-0j 0.000390056-0j -2.49284e-05-0j 0.00463256-0j 0.000208451-0j 5.28472e-05-0j 0.000186444-0j -0.0501374-0j -2.41368e-06-0j 4.71038e-05-0j 0.000610393-0j 5.58027e-06-0j -1.19937e-06-0j -0.00842306-0j -0.00360914-0j 1.73709e-05-0j -0.00129401-0j -1.83615e-07-0j 4.40394e-06-0j -9.87122e-05-0j 4.38864e-06-0j 7.67694e-07-0j 7.35265e-07-0j 3.89257e-07-0j 4.11738e-08-0j 5.14316e-08-0j 3.21114e-09-0j 9.93842e-11-0j 
0.00013957-0j 2.13672e-05-0j -0.00155406-0j 2.33135e-06-0j -0.00207604-0j 1.35138e-05-0j -0.000242281-0j 2.09846e-07-0j -0.000328251-0j 1.54205e-06-0j -0.000266785-0j -2.70879e-05-0j 0.024968-0j 1.65898e-08-0j -0.000301021-0j -3.74563e-05-0j -4.30523e-05-0j 0.00590521-0j -2.52376e-06-0j 0.00444435-0j -5.11465e-06-0j 1.19726e-09-0j 0.00073945-0j -3.59696e-06-0j 3.06511e-05-0j -4.49234e-07-0j -1.18725e-08-0j -2.3636e-08-0j -5.23694e-10-0j 1.30938e-13-0j 
-3.2897e-05-0j 0.000481496-0j -3.80709e-06-0j -0.00245852-0j 0.000489327-0j -3.18524e-06-0j 5.67449e-05-0j -0.000678112-0j -0.00739691-0j 3.4749e-05-0j -3.25092e-07-0j -0.000296895-0j 6.11659e-05-0j -0.000107971-0j 7.09514e-05-0j 0.0394994-0j 5.01558e-06-0j -0.00138306-0j -8.4764e-05-0j 3.60424e-06-0j 0.0165279-0j -1.30321e-05-0j 0.00403139-0j 2.08983e-07-0j 0.00207335-0j -4.99477e-06-0j 0.00019425-0j -1.33008e-06-0j -1.2485e-07-0j -5.15766e-09-0j 
1.31357e-07-0j -4.83667e-06-0j 1.52016e-08-0j 0.000101328-0j 1.34066e-08-0j 1.27186e-08-0j -5.70007e-07-0j -0.00130793-0j -5.0983e-07-0j -3.49057e-07-0j 1.29808e-09-0j 1.22365e-05-0j 1.67582e-09-0j 0.00978117-0j 6.45024e-10-0j 1.11704e-05-0j -5.0382e-08-0j -4.75006e-08-0j -0.000163491-0j 9.87487e-11-0j -0.000108994-0j -0.0319488-0j 1.14007e-06-0j -2.09925e-09-0j 0.00128878-0j -9.63381e-06-0j -0.0137737-0j -0.00326076-0j -0.00327839-0j -0.000479852-0j 
0.000100747-0j -0.000729579-0j 1.16592e-05-0j -0.00016089-0j 1.02824e-05-0j -0.00191083-0j -8.59817e-05-0j -2.17984e-05-0j -7.69044e-05-0j 0.0206806-0j 9.95594e-07-0j -1.94293e-05-0j -0.000251774-0j -2.30174e-06-0j 4.94715e-07-0j 0.00347434-0j 0.0014887-0j -7.16514e-06-0j 0.000533751-0j 7.57374e-08-0j -1.81653e-06-0j 4.07167e-05-0j -1.81022e-06-0j -3.16658e-07-0j -3.03281e-07-0j -1.6056e-07-0j -1.69833e-08-0j -2.12145e-08-0j -1.32453e-09-0j -4.09939e-11-0j 
-2.01452e-05-0j 0.000294855-0j -2.33135e-06-0j -0.00150553-0j 0.000299651-0j -1.95055e-06-0j 3.4749e-05-0j -0.000415257-0j -0.00452967-0j 2.12793e-05-0j -1.99077e-07-0j -0.00018181-0j 3.74563e-05-0j -6.61182e-05-0j 4.34487e-05-0j 0.0241884-0j 3.07141e-06-0j -0.000846949-0j -5.19072e-05-0j 2.20713e-06-0j 0.0101212-0j -7.98049e-06-0j 0.00246871-0j 1.27975e-07-0j 0.00126966-0j -3.05866e-06-0j 0.000118954-0j -8.14506e-07-0j -7.64548e-08-0j -3.15841e-09-0j 
-2.84896e-05-0j 0.000206313-0j 0.000637738-0j 4.54971e-05-0j -2.90771e-06-0j -2.7585e-06-0j -0.00470305-0j 6.16423e-06-0j 2.17473e-05-0j 1.48894e-05-0j -0.00521218-0j -0.00106275-0j 7.03041e-05-0j 6.50895e-07-0j -1.39897e-07-0j 5.01558e-06-0j 0.0397868-0j -0.000391921-0j -0.000149042-0j -0.00120196-0j 5.13686e-07-0j 5.8779e-08-0j 0.00947695-0j 0.0100855-0j -1.6589e-05-0j 0.00254811-0j 4.80261e-09-0j 0.000111063-0j -7.24493e-08-0j 1.15924e-11-0j 
