-0.0145932-0j 0.201378-0j -0.0119634-0j 0.100038-0j 0.0253619-0j -0.00728015-0j -0.0073556-0j 0.057395-0j -0.000743028-0j 0.0579897-0j 0.0145004-0j -0.000750728-0j 0.0146507-0j 0.00171783-0j 0.00173563-0j -0.00528337-0j -0.00653784-0j -0.00381374-0j 0.0403302-0j -0.000696145-0j 0.049906-0j 0.00960639-0j 0.0291119-0j -0.000861436-0j 0.00411618-0j -0.000502504-0j 0.0118873-0j 0.0014758-0j 0.00509351-0j 0.00693426-0j 0.00011258-0j 0.00297122-0j 0.00182621-0j 0.000139311-0j 0.00106529-0j 8.12645e-05-0j -0.00415071-0j -0.0048425-0j -0.00296541-0j 0.0310439-0j -0.00423718-0j -0.00174775-0j -0.000518839-0j 0.0362179-0j -0.000345893-0j 0.00715967-0j 0.0221789-0j 0.0316907-0j 0.0040904-0j -0.000605312-0j 0.0130717-0j -0.000403541-0j -0.000370676-0j -3.05729e-05-0j 0.00103701-0j 0.00835294-0j -0.000247118-0j 0.00511511-0j -0.000529648-0j 0.00073073-0j -0.000353099-0j 0.00477213-0j -0.000218469-0j 0.00730883-0j 0.000122425-0j -3.56683e-05-0j 0.00292232-0j 0.00120985-0j -0.000145646-0j 0.00301474-0j 6.85565e-06-0j -2.18423e-05-0j 0.000852519-0j 0.00417562-0j 0.000740877-0j -3.12098e-05-0j 0.000522059-0j 0.00105862-0j 0.00172235-0j 0.00014283-0j 0.000745954-0j -1.28734e-05-0j 8.74649e-05-0j 0.000436657-0j 7.99826e-06-0j 4.89792e-06-0j 0.000124976-0j 0.00030769-0j 5.15499e-05-0j 6.99848e-06-0j 2.88673e-06-0j 
-0.000696145-0j 0.00960639-0j 0.0831729-0j 0.00477213-0j 0.00120985-0j -0.000347288-0j -0.000350887-0j -0.399027-0j -3.54449e-05-0j -0.403162-0j 0.000691719-0j -3.58123e-05-0j 0.000698887-0j 8.19462e-05-0j 8.27954e-05-0j 0.000502733-0j -0.000311877-0j -0.000181928-0j -0.00383757-0j -0.00965395-0j 0.00238069-0j 0.133219-0j 0.00138873-0j 0.00598896-0j -0.00039167-0j 0.00349356-0j -0.0826441-0j -0.000140428-0j 0.000242978-0j -0.048209-0j -1.07124e-05-0j 0.000141737-0j 8.71164e-05-0j 6.64559e-06-0j 5.08179e-05-0j 3.87659e-06-0j -0.000198003-0j 0.000460782-0j -0.00014146-0j 0.0014809-0j -0.000202128-0j -8.33736e-05-0j -2.47504e-05-0j -0.00344627-0j 0.004826-0j 0.00034154-0j 0.00105801-0j 0.00151175-0j -0.0284377-0j 5.75977e-05-0j 0.000623567-0j -0.0112308-0j -1.76825e-05-0j -1.45843e-06-0j -0.00720961-0j -0.000794814-0j 0.00344786-0j 0.000244008-0j -2.5266e-05-0j 3.48583e-05-0j 0.00492654-0j 0.0661786-0j -1.04217e-05-0j 0.000348656-0j 5.8401e-06-0j 3.39398e-06-0j -0.0203169-0j 0.0167778-0j 0.00203209-0j 0.000143813-0j 3.27038e-07-0j -1.04195e-06-0j -8.11204e-05-0j -0.0290301-0j -0.0051508-0j -1.48881e-06-0j 2.4904e-05-0j -0.00735981-0j -0.0119743-0j -1.35908e-05-0j 3.55845e-05-0j -6.14104e-07-0j 4.17237e-06-0j -0.00303577-0j -7.61065e-07-0j 2.33647e-07-0j 5.96177e-06-0j 1.46779e-05-0j 2.45911e-06-0j 3.33851e-07-0j 1.37707e-07-0j 
0.00301503-0j 0.000435181-0j -0.00483784-0j -0.000855217-0j -7.12681e-05-0j -0.294636-0j -0.272628-0j 0.000250686-0j 0.000153513-0j 0.00023196-0j 3.13357e-05-0j 0.000142046-0j 2.8995e-05-0j 1.84648e-06-0j 1.70855e-06-0j 0.00109157-0j -0.00264382-0j 0.00305082-0j -0.0345057-0j 0.000143827-0j 0.0835739-0j 2.07596e-05-0j -0.0964398-0j -0.000348354-0j 1.79784e-05-0j 0.000401981-0j -5.02805e-05-0j 2.11877e-06-0j -4.35442e-05-0j 5.8021e-05-0j 9.67082e-08-0j 5.02476e-05-0j -5.13173e-06-0j -2.34231e-07-0j 5.92174e-06-0j 2.70289e-07-0j 0.000857557-0j -0.00195824-0j 0.000612668-0j 0.000135592-0j 0.000801723-0j 0.000420161-0j -0.020998-0j -0.000309625-0j 7.14631e-05-0j -0.0030308-0j 9.68713e-05-0j 0.000126764-0j 1.78658e-05-0j 0.0479492-0j 6.64334e-05-0j -0.000163187-0j -0.0150017-0j 6.3165e-06-0j 1.48881e-06-0j 0.00692087-0j 5.10557e-05-0j -0.00216531-0j -0.0196308-0j 1.57913e-06-0j 6.68102e-05-0j -4.07967e-05-0j -0.010288-0j -0.00283347-0j 1.31594e-07-0j -1.44238e-05-0j 1.27639e-05-0j -3.39973e-06-0j 3.50135e-05-0j -0.00148495-0j 4.90421e-09-0j 4.51273e-06-0j -3.60596e-06-0j 1.67026e-05-0j 1.06366e-06-0j 5.90525e-06-0j 1.12818e-06-0j 1.39188e-06-0j 8.75336e-06-0j -3.00496e-07-0j 1.47631e-06-0j 3.09478e-06-0j 9.40151e-08-0j 7.29447e-07-0j -1.11988e-08-0j 3.50374e-09-0j 1.23026e-07-0j 7.73695e-07-0j 6.44746e-08-0j 4.58491e-09-0j 2.40283e-09-0j 
0.0824584-0j -6.15311e-05-0j -0.000349477-0j 0.0119499-0j -5.14828e-06-0j -0.00021267-0j -0.000214874-0j -3.54449e-05-0j -0.40184-0j -3.58123e-05-0j 0.000857005-0j -0.406004-0j 0.000865886-0j -2.61077e-07-0j -2.63782e-07-0j 0.00030786-0j -0.000190985-0j -0.000111408-0j 4.96806e-05-0j -0.00784622-0j -3.08201e-05-0j 5.85492e-06-0j -1.79784e-05-0j 0.00486751-0j 0.0938716-0j 0.00283938-0j -3.63218e-06-0j -0.000115586-0j -0.0582346-0j -2.11877e-06-0j 2.7275e-08-0j -0.0339702-0j 7.17052e-05-0j -1.69204e-08-0j 4.18281e-05-0j -9.87024e-09-0j -0.000121252-0j 0.00028217-0j -8.66263e-05-0j -1.91716e-05-0j -0.000123778-0j -5.10557e-05-0j 0.00293168-0j 4.4615e-05-0j -1.01043e-05-0j -2.18764e-06-0j -1.36968e-05-0j -1.9571e-05-0j 0.000488613-0j -0.00682244-0j -8.07261e-06-0j 2.35142e-05-0j 0.00209449-0j -0.0501218-0j -2.10506e-07-0j 5.09097e-06-0j -7.21886e-06-0j -1.56293e-06-0j 0.00299276-0j -0.00413356-0j -1.03148e-05-0j -0.00113707-0j 0.00123445-0j -2.23322e-06-0j 3.59898e-06-0j 0.116641-0j 0.000349082-0j 4.89878e-07-0j -4.25464e-06-0j -9.21156e-07-0j -6.93416e-10-0j -0.0358088-0j 0.00961939-0j 0.000498793-0j -1.50393e-07-0j -0.051166-0j -0.00295316-0j -2.14892e-07-0j 0.000205742-0j -8.37534e-06-0j -0.00421967-0j -0.0211049-0j 2.57123e-06-0j -8.86383e-08-0j 1.61368e-09-0j -4.954e-10-0j 3.67396e-06-0j -0.00174053-0j 1.51543e-06-0j -7.07862e-10-0j -2.91978e-10-0j 
0.000861436-0j -0.0118873-0j -0.00146496-0j -8.40538e-05-0j -2.13096e-05-0j -0.000422853-0j -0.00042184-0j -0.48585-0j -4.31573e-05-0j -0.484685-0j 0.000842228-0j -4.30538e-05-0j 0.000840209-0j 9.97766e-05-0j 9.95374e-05-0j 0.000311877-0j -5.40512e-06-0j -0.000440636-0j -0.00238069-0j -0.00598896-0j 4.12595e-05-0j 0.0826441-0j 0.00336356-0j 0.000103794-0j -0.000242978-0j 0.00846152-0j -0.0014323-0j -8.71164e-05-0j 4.21103e-06-0j -0.116764-0j -6.64559e-06-0j 0.000343292-0j 1.50981e-06-0j 1.15174e-07-0j 0.000123083-0j 9.38924e-06-0j 0.000245016-0j 4.06877e-06-0j -0.000519528-0j -0.00183252-0j 0.000239102-0j -0.000303635-0j 3.0627e-05-0j -3.04311e-05-0j -0.00597186-0j -0.000422635-0j 0.00388565-0j -0.00178829-0j 0.0351898-0j 5.08596e-07-0j 0.00227094-0j -9.91696e-05-0j -6.4941e-05-0j 1.80471e-06-0j 0.00892144-0j -7.01833e-06-0j 0.0126626-0j 0.000896147-0j 2.98878e-05-0j -4.3135e-05-0j -0.00582772-0j 0.000584367-0j -3.79543e-05-0j -0.000412434-0j -7.22676e-06-0j 2.99693e-08-0j -0.0746159-0j 0.000148151-0j 0.00740059-0j 0.000523747-0j -4.04689e-07-0j -3.82669e-06-0j -7.16305e-07-0j 0.0343405-0j -0.0189169-0j 1.76115e-06-0j 9.14627e-05-0j 0.00870611-0j -0.0436087-0j -1.20009e-07-0j -4.20938e-05-0j -2.23648e-06-0j 1.53235e-05-0j -0.0110558-0j -6.72032e-09-0j 8.58095e-07-0j -7.05233e-06-0j 5.34547e-05-0j 8.95571e-06-0j -3.94921e-07-0j 5.01508e-07-0j 
-0.00837236-0j 0.0561942-0j 7.13367e-05-0j 0.116-0j 0.0144077-0j 4.3411e-05-0j 4.38609e-05-0j -0.000691719-0j -0.000857005-0j -0.000698887-0j -0.389313-0j -0.000865886-0j -0.393347-0j 0.00147151-0j 0.00148676-0j -6.28416e-05-0j 3.89846e-05-0j 2.2741e-05-0j 0.000969533-0j 0.000796662-0j -0.000601463-0j -0.00534709-0j -0.000350853-0j -0.00049422-0j -0.0191402-0j -0.000288295-0j 0.00331714-0j 0.1609-0j 0.0118739-0j 0.001935-0j -0.00025711-0j 0.00692643-0j -0.0998163-0j 0.000159502-0j -0.0582262-0j 9.30428e-05-0j 2.47504e-05-0j -5.75977e-05-0j 1.76825e-05-0j -0.000374139-0j 2.5266e-05-0j 1.04217e-05-0j -0.000297666-0j 0.000870675-0j 2.06253e-06-0j 0.0019979-0j -0.000267298-0j -0.000381933-0j 0.00474307-0j 0.000692713-0j -0.000157539-0j -4.79981e-06-0j -0.000212663-0j -5.29851e-05-0j 0.00058911-0j -0.00464939-0j 1.47354e-06-0j 0.00142737-0j -0.000303868-0j -0.0394418-0j 2.1055e-06-0j -0.0110378-0j -0.000125339-0j 0.00203952-0j -0.0100901-0j 0.000123304-0j 0.00338861-0j -0.00137095-0j 8.68475e-07-0j 0.000841259-0j 9.82526e-06-0j -3.78544e-05-0j 0.0917868-0j 0.00484189-0j 0.000420881-0j -5.4089e-05-0j -0.0281786-0j 0.000601383-0j 0.00199718-0j 0.023481-0j -0.0402635-0j -2.23106e-05-0j -0.00720868-0j 0.000248058-0j -2.28648e-05-0j 7.01951e-06-0j -0.0103003-0j -0.0166078-0j -0.00424864-0j 1.003e-05-0j 4.13714e-06-0j 
-0.102037-0j 7.61409e-05-0j 6.1555e-06-0j -0.000210478-0j 9.06791e-08-0j -0.000258944-0j -0.000258323-0j -4.31573e-05-0j -0.489275-0j -4.30538e-05-0j 0.00104348-0j -0.488102-0j 0.00104098-0j -3.17883e-07-0j -3.17122e-07-0j 0.000190985-0j -3.30995e-06-0j -0.000269834-0j 3.08201e-05-0j -0.00486751-0j -5.3414e-07-0j 3.63218e-06-0j -4.35442e-05-0j 8.43585e-05-0j 0.0582346-0j 0.00687708-0j -6.2949e-08-0j -7.17052e-05-0j -0.00100926-0j -5.13173e-06-0j 1.69204e-08-0j -0.0822769-0j 1.24272e-06-0j -2.93246e-10-0j 0.000101309-0j -2.39061e-08-0j 0.000150041-0j 2.4916e-06-0j -0.000318145-0j 2.37236e-05-0j 0.00014642-0j -0.000185937-0j -0.00362777-0j 3.93957e-07-0j 1.25034e-05-0j 2.70707e-06-0j -5.03031e-05-0j 2.3151e-05-0j -0.000604628-0j -6.02432e-05-0j -2.93993e-05-0j 2.07634e-07-0j 0.00769226-0j 0.0620226-0j 2.60488e-07-0j 4.4954e-08-0j -2.65121e-05-0j -5.74003e-06-0j -0.00354021-0j 0.00511502-0j 1.22016e-05-0j -1.00405e-05-0j 0.00449569-0j 2.64173e-06-0j -4.45351e-06-0j 0.00102996-0j 0.00128204-0j 4.3257e-09-0j -1.54948e-05-0j -3.35472e-06-0j 8.58058e-10-0j -0.131512-0j 8.49407e-05-0j -0.000590035-0j -5.52335e-07-0j 0.0605256-0j -0.0108458-0j 2.54201e-07-0j 0.000749281-0j -7.39555e-08-0j 0.00499156-0j -0.0768611-0j 9.44314e-06-0j -3.22808e-07-0j 1.4249e-11-0j -1.81941e-09-0j -4.34602e-06-0j -0.00633875-0j 5.51898e-06-0j 8.37347e-10-0j -1.06334e-09-0j 
-0.000502504-0j 0.00693426-0j -0.117511-0j -0.00674232-0j -0.00170934-0j -0.000250686-0j -0.00023196-0j -0.288033-0j -2.55855e-05-0j -0.266518-0j 0.000499309-0j -2.36744e-05-0j 0.000462012-0j 5.91519e-05-0j 5.47334e-05-0j -0.000181928-0j 0.000440636-0j -0.00050847-0j 0.00138873-0j 0.00349356-0j -0.00336356-0j -0.048209-0j 0.00388137-0j -0.00846152-0j 0.000141737-0j 0.00976413-0j 0.116764-0j 5.08179e-05-0j -0.000343292-0j -0.134739-0j 3.87659e-06-0j 0.00039614-0j -0.000123083-0j -9.38924e-06-0j 0.000142031-0j 1.08347e-05-0j -0.000142926-0j 0.000326374-0j -0.000102111-0j 0.00106897-0j -0.00013362-0j -7.00269e-05-0j -1.78658e-05-0j -0.00244101-0j 0.00348359-0j 0.000246537-0j 0.00076371-0j 0.000999373-0j -0.0205274-0j 4.07967e-05-0j 0.000523745-0j -0.00795482-0j -1.27639e-05-0j -1.05275e-06-0j -0.00520417-0j -0.000562971-0j 0.0024888-0j 0.000176134-0j -1.67026e-05-0j 2.51621e-05-0j 0.00325678-0j 0.0468746-0j -8.75336e-06-0j 0.000230485-0j 4.21561e-06-0j 2.40397e-06-0j -0.0146655-0j 0.0118838-0j 0.00170679-0j 0.000120791-0j 2.36068e-07-0j -7.52121e-07-0j -5.7458e-05-0j -0.0191909-0j -0.00371804-0j -9.84208e-07-0j 1.79766e-05-0j -0.00486534-0j -0.0100574-0j -9.62641e-06-0j 2.35238e-05-0j -5.15797e-07-0j 3.01178e-06-0j -0.0025498-0j -5.39066e-07-0j 1.68655e-07-0j 3.94114e-06-0j 1.23282e-05-0j 2.06545e-06-0j 2.20699e-07-0j 1.15662e-07-0j 
-5.12759e-06-0j -0.0204359-0j -4.20355e-06-0j 0.00014283-0j 0.162322-0j -2.55802e-06-0j -2.58453e-06-0j 8.19462e-05-0j -2.61077e-07-0j 8.27954e-05-0j -0.00147151-0j -2.63782e-07-0j -0.00148676-0j -0.376809-0j -0.380714-0j 3.70298e-06-0j -2.29719e-06-0j -1.34003e-06-0j -0.000114858-0j 4.8791e-07-0j 7.12538e-05-0j 0.00194455-0j 4.15647e-05-0j -3.02682e-07-0j -1.17227e-05-0j -1.76564e-07-0j -0.00120633-0j -0.0188408-0j 7.27231e-06-0j -0.000703693-0j 0.205519-0j 4.24218e-06-0j 0.0116882-0j -0.127497-0j 0.0068181-0j -0.074373-0j -1.45843e-06-0j 3.39398e-06-0j -1.04195e-06-0j 4.43233e-05-0j -1.48881e-06-0j -6.14104e-07-0j -1.82304e-07-0j -0.000103147-0j -1.21536e-07-0j -0.000726568-0j 3.16661e-05-0j 4.52467e-05-0j 5.8401e-06-0j 4.24247e-07-0j 1.86633e-05-0j 2.82831e-07-0j -1.30244e-07-0j -1.07423e-08-0j 0.00663712-0j 0.00169083-0j -8.68294e-08-0j -0.000519085-0j -1.86102e-07-0j -7.4155e-05-0j -1.24068e-07-0j -1.35908e-05-0j -7.6763e-08-0j -0.000741704-0j -0.0268543-0j 2.4999e-08-0j 4.17237e-06-0j -0.0154455-0j -5.11754e-08-0j -0.000305937-0j -0.0158969-0j -7.6747e-09-0j 0.000172569-0j 5.96177e-06-0j 0.00474179-0j -1.09661e-08-0j -5.29789e-05-0j 0.00677539-0j 2.45911e-06-0j 0.0624938-0j -7.56999e-05-0j -4.52331e-09-0j -0.0191856-0j 0.00279471-0j 0.0369944-0j -0.0113573-0j -0.0274137-0j -3.12246e-05-0j -0.0113076-0j -0.0162281-0j -0.00669375-0j 
0.0595216-0j -4.44155e-05-0j 0.00049376-0j -0.0168834-0j 7.27377e-06-0j -0.000153513-0j -0.000142046-0j -2.55855e-05-0j -0.290063-0j -2.36744e-05-0j 0.000618619-0j -0.268396-0j 0.00057241-0j -1.88455e-07-0j -1.74378e-07-0j -0.000111408-0j 0.000269834-0j -0.000311373-0j -1.79784e-05-0j 0.00283938-0j 4.35442e-05-0j -2.11877e-06-0j -5.02476e-05-0j -0.00687708-0j -0.0339702-0j 0.00793578-0j 5.13173e-06-0j 4.18281e-05-0j 0.0822769-0j -5.92174e-06-0j -9.87024e-09-0j -0.094943-0j -0.000101309-0j 2.39061e-08-0j 0.000116905-0j -2.75863e-08-0j -8.7524e-05-0j 0.000199862-0j -6.25302e-05-0j -1.38388e-05-0j -8.18255e-05-0j -4.28826e-05-0j 0.0021162-0j 3.1601e-05-0j -7.29367e-06-0j -1.57913e-06-0j -9.88689e-06-0j -1.29377e-05-0j 0.0003527-0j -0.00483237-0j -6.78033e-06-0j 1.66552e-05-0j 0.00151189-0j -0.0361799-0j -1.51951e-07-0j 3.60596e-06-0j -5.21085e-06-0j -1.12818e-06-0j 0.00197842-0j -0.00298376-0j -6.81879e-06-0j -0.000805395-0j 0.00103684-0j -1.47631e-06-0j 2.59788e-06-0j 0.0826173-0j 0.000251981-0j 3.46983e-07-0j -3.57355e-06-0j -7.73695e-07-0j -5.00534e-10-0j -0.0258481-0j 0.00681346-0j 0.000329736-0j -1.08559e-07-0j -0.0338243-0j -0.0021317-0j -1.42058e-07-0j 0.000172806-0j -5.9323e-06-0j -0.00278949-0j -0.0177264-0j 1.85601e-06-0j -7.44489e-08-0j 1.14298e-09-0j -3.57599e-10-0j 2.42874e-06-0j -0.0014619-0j 1.27284e-06-0j -4.67945e-10-0j -2.45238e-10-0j 
0.0103603-0j -0.0695367-0j -1.25649e-06-0j -0.00204316-0j -0.000253769-0j 5.28567e-05-0j 5.273e-05-0j -0.000842228-0j -0.00104348-0j -0.000840209-0j -0.474022-0j -0.00104098-0j -0.472886-0j 0.00179169-0j 0.0017874-0j -3.89846e-05-0j 6.7564e-07-0j 5.50796e-05-0j 0.000601463-0j 0.00049422-0j -1.04239e-05-0j -0.00331714-0j -0.000849779-0j -8.56529e-06-0j -0.0118739-0j -0.00069826-0j 5.74891e-05-0j 0.0998163-0j 0.000205785-0j 0.00468663-0j -0.000159502-0j 0.016776-0j -0.00172991-0j 2.76432e-06-0j -0.141026-0j 0.000225353-0j -3.0627e-05-0j -5.08596e-07-0j 6.4941e-05-0j 0.000462973-0j -2.98878e-05-0j 3.79543e-05-0j 0.000368343-0j 7.68819e-06-0j -2.55225e-06-0j -0.00247227-0j -0.00098168-0j 0.000451799-0j -0.00586925-0j 6.11676e-06-0j -0.000573736-0j -4.2383e-08-0j -0.000781029-0j 6.55657e-05-0j -0.000728987-0j -4.10549e-05-0j 5.41175e-06-0j 0.00524216-0j 0.000359453-0j 0.0488067-0j -2.49065e-06-0j -9.74656e-05-0j -0.000456467-0j -0.0024126-0j 0.0124858-0j 1.08879e-06-0j 0.0124451-0j -1.21057e-05-0j 3.16286e-06-0j 0.00306374-0j -1.21581e-05-0j -0.000139024-0j 0.000810491-0j -0.00572759-0j 0.00154573-0j 6.39832e-05-0j -0.103489-0j -0.000711392-0j 0.00727343-0j 0.000207341-0j 0.0476287-0j -8.12519e-05-0j -0.0264747-0j 0.000903392-0j -2.019e-07-0j 2.57799e-05-0j 0.0121844-0j -0.0604834-0j -0.0154729-0j -1.18647e-05-0j 1.50669e-05-0j 
-0.00604349-0j 0.0405631-0j -0.000100788-0j -0.163891-0j -0.0203559-0j 3.13357e-05-0j 2.8995e-05-0j -0.000499309-0j -0.000618619-0j -0.000462012-0j -0.281021-0j -0.00057241-0j -0.260029-0j 0.00106219-0j 0.00098285-0j 2.2741e-05-0j -5.50796e-05-0j 6.35588e-05-0j -0.000350853-0j -0.000288295-0j 0.000849779-0j 0.001935-0j -0.000980598-0j 0.00069826-0j 0.00692643-0j -0.000805754-0j -0.00468663-0j -0.0582262-0j -0.016776-0j 0.00540811-0j 9.30428e-05-0j 0.0193586-0j 0.141026-0j -0.000225353-0j -0.162736-0j 0.000260045-0j 1.78658e-05-0j -4.07967e-05-0j 1.27639e-05-0j -0.000270068-0j 1.67026e-05-0j 8.75336e-06-0j -0.000214867-0j 0.000616704-0j 1.48881e-06-0j 0.00144216-0j -0.000192946-0j -0.000252484-0j 0.00342373-0j 0.000490652-0j -0.00013232-0j -3.39973e-06-0j -0.000153508-0j -3.82467e-05-0j 0.000425242-0j -0.00329319-0j 1.06366e-06-0j 0.00103033-0j -0.000200877-0j -0.0284706-0j 1.39188e-06-0j -0.00781814-0j -0.000105275-0j 0.00134826-0j -0.00728339-0j 8.73368e-05-0j 0.00244603-0j -0.000971047-0j 7.29447e-07-0j 0.000706588-0j 7.09225e-06-0j -2.73247e-05-0j 0.065013-0j 0.00320082-0j 0.000303808-0j -3.57565e-05-0j -0.0203404-0j 0.000397556-0j 0.00167746-0j 0.0166317-0j -0.0266169-0j -1.8739e-05-0j -0.0052035-0j 0.000208348-0j -1.61953e-05-0j 5.06695e-06-0j -0.00680918-0j -0.0139492-0j -0.00356851-0j 6.63049e-06-0j 3.47486e-06-0j 
6.34507e-06-0j 0.0252882-0j 7.40392e-08-0j -2.51572e-06-0j -0.00285905-0j -3.11461e-06-0j -3.10714e-06-0j 9.97766e-05-0j -3.17883e-07-0j 9.95374e-05-0j -0.00179169-0j -3.17122e-07-0j -0.0017874-0j -0.458798-0j -0.457698-0j 2.29719e-06-0j -3.98125e-08-0j -3.24559e-06-0j -7.12538e-05-0j 3.02682e-07-0j 1.23489e-06-0j 0.00120633-0j 0.000100671-0j -5.24575e-09-0j -7.27231e-06-0j -4.27645e-07-0j -2.09068e-05-0j -0.0116882-0j 1.26036e-07-0j -0.00170437-0j 0.127497-0j 1.02747e-05-0j 0.000202567-0j -0.00220963-0j 0.0165137-0j -0.180134-0j 1.80471e-06-0j 2.99693e-08-0j -3.82669e-06-0j -5.48473e-05-0j 1.76115e-06-0j -2.23648e-06-0j 2.25589e-07-0j -9.10801e-07-0j 1.50393e-07-0j 0.000899081-0j 0.000116297-0j -5.35234e-05-0j -7.22676e-06-0j 3.74617e-09-0j 6.79691e-05-0j 2.49744e-09-0j -4.78336e-07-0j 1.3293e-08-0j -0.00821301-0j 1.49303e-05-0j -3.1889e-07-0j -0.0019064-0j 2.20144e-07-0j 9.17621e-05-0j 1.46763e-07-0j -1.20009e-07-0j -2.7956e-07-0j 0.000877381-0j 0.0332305-0j 2.20745e-10-0j 1.53235e-05-0j -0.000136386-0j -1.86373e-07-0j -0.00111418-0j 0.0196714-0j -2.81862e-08-0j 1.52381e-06-0j -7.05233e-06-0j 0.0174147-0j 1.29721e-08-0j -0.000194571-0j -0.00801478-0j 8.95571e-06-0j 0.00055183-0j 8.95473e-05-0j -1.64732e-08-0j -0.0704613-0j 0.0101779-0j 0.000326666-0j -0.041711-0j 0.0324284-0j -0.000113716-0j -0.0411806-0j 0.0191966-0j -0.0243777-0j 
-3.70129e-06-0j -0.0147514-0j 5.939e-06-0j -0.000201797-0j -0.229337-0j -1.84648e-06-0j -1.70855e-06-0j 5.91519e-05-0j -1.88455e-07-0j 5.47334e-05-0j -0.00106219-0j -1.74378e-07-0j -0.00098285-0j -0.271995-0j -0.251678-0j -1.34003e-06-0j 3.24559e-06-0j -3.74524e-06-0j 4.15647e-05-0j -1.76564e-07-0j -0.000100671-0j -0.000703693-0j 0.000116169-0j 4.27645e-07-0j 4.24218e-06-0j -4.93479e-07-0j 0.00170437-0j 0.0068181-0j -1.02747e-05-0j -0.00196675-0j -0.074373-0j 1.18564e-05-0j -0.0165137-0j 0.180134-0j 0.0190559-0j -0.207865-0j -1.05275e-06-0j 2.40397e-06-0j -7.52121e-07-0j 3.19942e-05-0j -9.84208e-07-0j -5.15797e-07-0j -1.31594e-07-0j -7.30593e-05-0j -8.77292e-08-0j -0.000524464-0j 2.28578e-05-0j 2.99112e-05-0j 4.21561e-06-0j 3.00496e-07-0j 1.56756e-05-0j 2.00331e-07-0j -9.40151e-08-0j -7.75424e-09-0j 0.00479093-0j 0.00119762-0j -6.26768e-08-0j -0.000374695-0j -1.23026e-07-0j -5.35279e-05-0j -8.20173e-08-0j -9.62641e-06-0j -6.44746e-08-0j -0.000490317-0j -0.0193844-0j 1.77069e-08-0j 3.01178e-06-0j -0.0109401-0j -4.29831e-08-0j -0.000256962-0j -0.011475-0j -5.53989e-09-0j 0.000122232-0j 3.94114e-06-0j 0.0034228-0j -7.24938e-09-0j -3.82422e-05-0j 0.004479-0j 2.06545e-06-0j 0.0442647-0j -5.00428e-05-0j -3.7992e-09-0j -0.0138489-0j 0.00234732-0j 0.0262033-0j -0.00819814-0j -0.0181224-0j -2.62261e-05-0j -0.00949745-0j -0.0107279-0j -0.0056222-0j 
0.00321513-0j 0.000464064-0j 0.00263573-0j 0.000465936-0j 3.8828e-05-0j 0.00160394-0j 0.00162056-0j 0.000267323-0j 0.000163701-0j 0.000270094-0j 3.34154e-05-0j 0.000165398-0j 3.37617e-05-0j 1.96902e-06-0j 1.98943e-06-0j -0.287115-0j -0.355287-0j -0.207251-0j 0.000187842-0j 0.000153372-0j 0.000232443-0j 2.21374e-05-0j 0.000135592-0j 0.000189789-0j 1.91716e-05-0j 0.00011071-0j 2.73936e-05-0j 2.25939e-06-0j 2.37236e-05-0j 1.59796e-05-0j 1.03127e-07-0j 1.38388e-05-0j 2.79585e-06-0j 1.27613e-07-0j 1.63091e-06-0j 7.44407e-08-0j -0.00275996-0j 0.00106688-0j 0.000653329-0j 0.107639-0j 0.000933522-0j 0.000385058-0j -0.000344995-0j -0.0416087-0j -0.000229997-0j -4.97957e-05-0j -0.02548-0j -0.0364076-0j -5.74992e-05-0j 0.00013336-0j -0.0150174-0j 8.89069e-05-0j 8.16662e-05-0j -2.0329e-05-0j -4.7916e-06-0j 1.92489e-05-0j 5.44441e-05-0j 1.17875e-05-0j 0.00011669-0j -5.08226e-06-0j 7.77935e-05-0j 2.22267e-05-0j 4.81323e-05-0j 1.68428e-05-0j -4.23521e-07-0j 7.85833e-06-0j 1.3611e-05-0j 1.85223e-06-0j 3.20882e-05-0j 6.9473e-06-0j -1.57837e-08-0j 4.81223e-06-0j 1.96458e-06-0j 1.94484e-05-0j 1.13425e-06-0j 6.87604e-06-0j 1.20306e-06-0j 1.6207e-06-0j 8.02205e-06-0j 1.63715e-07-0j 1.71901e-06-0j 2.83622e-06-0j 1.00255e-07-0j 6.68504e-07-0j 6.10131e-09-0j 3.73627e-09-0j 1.43251e-07-0j 7.09056e-07-0j 5.9088e-08-0j 5.33864e-09-0j 2.20208e-09-0j 
