-0.582784-0j -0.0849359-0j -0.0424413-0j -0.0428811-0j -0.00612587-0j -0.00618935-0j 0.0549784-0j -0.0349903-0j 0.0097189-0j -0.020411-0j 0.000809908-0j -0.00618547-0j -0.00360819-0j -0.000515456-0j -0.000300682-0j -0.021194-0j 0.0480759-0j -0.00353233-0j -0.0151417-0j -0.0021631-0j -0.0216355-0j -0.000441542-0j 0.00801265-0j -0.0089242-0j -2.60181e-05-0j 0.00490673-0j -0.00252362-0j -0.0015454-0j 0.00100158-0j -0.00360592-0j -0.000315453-0j -0.00220817-0j -0.00148737-0j 5.90187e-05-0j -0.000910823-0j -0.00045074-0j -1.85882e-05-0j -2.65601e-05-0j -0.000185921-0j -1.09555e-05-0j 
0.00750263-0j -0.0020573-0j 0.00054638-0j -0.000530189-0j 0.348786-0j -0.338451-0j 0.000364024-0j 8.91566e-06-0j -0.00611723-0j -0.000509931-0j 0.0726856-0j -0.000149823-0j 0.00856911-0j 0.00178021-0j -0.101819-0j -0.000798958-0j 6.30037e-06-0j 0.0126582-0j 0.000194931-0j -8.15433e-05-0j -0.000267505-0j -0.0736152-0j -9.98191e-05-0j -0.000335569-0j -0.0267757-0j 6.43028e-07-0j -0.00308837-0j 1.98951e-05-0j 0.00058051-0j 0.00423819-0j 0.0179608-0j -2.73022e-05-0j 0.00531655-0j 0.000211146-0j -3.42489e-05-0j -0.0246477-0j 0.00653279-0j -0.008965-0j -0.030919-0j -0.011246-0j 
-0.0424413-0j -0.00618547-0j -0.282723-0j 0.297045-0j 0.000429007-0j -0.00045074-0j 0.00400381-0j 0.00245044-0j -0.0673245-0j -0.00148643-0j 5.89817e-05-0j -0.0412045-0j 0.0249946-0j 3.60984e-05-0j -2.18972e-05-0j -0.00154345-0j 0.00350113-0j -0.000257242-0j 0.00322351-0j 0.0301259-0j 0.00151518-0j 0.00305864-0j 0.000583522-0j -0.000649906-0j -1.89477e-06-0j -0.0683368-0j 0.000537251-0j -0.062918-0j -0.00693813-0j 0.00025253-0j -0.00638797-0j -0.0295741-0j -0.000108318-0j 4.29804e-06-0j 0.0126852-0j -0.00300261-0j 3.95723e-06-0j 1.86006e-06-0j 0.00128791-0j -7.97835e-07-0j 
0.0428811-0j -0.00600218-0j -0.297045-0j 0.299888-0j 0.00045074-0j -0.000455055-0j -0.0040453-0j -0.00247266-0j 0.0680222-0j 0.00132702-0j -5.95929e-05-0j 0.0415781-0j -0.0223139-0j -3.64258e-05-0j 1.95488e-05-0j 0.00155945-0j 0.00339739-0j 0.000259908-0j 0.00111412-0j -0.0304381-0j -0.00159069-0j -0.00309033-0j 0.000566231-0j 0.00307835-0j 1.9144e-06-0j -0.0663119-0j 0.000185687-0j -0.021746-0j -0.00673254-0j -0.000265115-0j -0.00220784-0j 0.0310479-0j 0.000513058-0j 4.17068e-06-0j -0.0600847-0j 0.00315224-0j 1.36772e-06-0j -1.95276e-06-0j -0.0061003-0j 3.77903e-06-0j 
0.00612587-0j -0.0848694-0j -0.000429007-0j 0.00045074-0j -0.27386-0j 0.287734-0j -0.0005779-0j -0.000353691-0j 0.00971129-0j 0.000214548-0j -0.115391-0j 0.00594358-0j -0.00360536-0j -0.0706222-0j 0.0428393-0j 0.000222778-0j -0.000505345-0j -0.00352957-0j -0.000465273-0j 2.27372e-05-0j -0.000218698-0j 0.0205266-0j 0.00800637-0j 9.38058e-05-0j 0.00746605-0j -5.15765e-05-0j 0.00737151-0j -4.74868e-05-0j -0.046562-0j 0.00346491-0j -0.0428698-0j -2.23207e-05-0j -0.0014862-0j -0.0169358-0j 9.57402e-06-0j -0.0201506-0j -0.0155929-0j -0.00732928-0j 0.00864318-0j 0.00314375-0j 
0.0371361-0j 0.000107122-0j 0.752013-0j 0.249626-0j -0.00114112-0j -0.000378786-0j 0.00180183-0j -0.000129006-0j -0.030298-0j -0.00252403-0j 2.65434e-05-0j 0.00216925-0j 0.0424419-0j -1.90043e-06-0j -3.71825e-05-0j 0.00135052-0j 3.11852e-05-0j 0.000225087-0j 0.000819678-0j -0.0263602-0j 0.00387069-0j -0.00267631-0j 5.19754e-06-0j -0.00166098-0j 1.65792e-06-0j -0.000608689-0j 0.000136613-0j -0.0159989-0j -6.17992e-05-0j 0.000645115-0j -0.00162434-0j -0.07555-0j -0.00027683-0j 3.82835e-08-0j 0.0324199-0j -0.00767047-0j 1.00625e-06-0j 4.75172e-06-0j 0.00329154-0j -2.03905e-06-0j 
-0.00618935-0j -0.0823545-0j -0.00045074-0j 0.000455055-0j -0.287734-0j 0.290488-0j 0.000583889-0j 0.000356898-0j -0.00981193-0j -0.000191538-0j 0.116586-0j -0.00599748-0j 0.0032187-0j 0.0712627-0j -0.0382449-0j -0.000225087-0j -0.00049037-0j 0.00356614-0j -0.00016081-0j -2.29729e-05-0j 0.000229596-0j -0.0207393-0j 0.00776913-0j -0.000444321-0j -0.00754342-0j -5.00482e-05-0j 0.00254778-0j -1.64126e-05-0j -0.0451822-0j -0.00363759-0j -0.0148169-0j 2.34331e-05-0j 0.00703955-0j -0.0164339-0j -4.53483e-05-0j 0.0211548-0j -0.00538928-0j 0.00769454-0j -0.0409393-0j -0.0148907-0j 
-0.00536014-0j 0.0014698-0j 0.00114112-0j 0.000378786-0j 0.72844-0j 0.241801-0j -0.000260072-0j 1.86204e-05-0j 0.00437036-0j 0.000364312-0j -0.0519291-0j -0.000312905-0j -0.00612207-0j 0.00371797-0j 0.0727431-0j -0.000194931-0j -4.5012e-06-0j 0.00308837-0j -0.00011831-0j -1.98951e-05-0j -0.000558686-0j -0.0179608-0j 7.13142e-05-0j 0.000239742-0j -0.00653279-0j -4.59402e-07-0j 0.00187444-0j -1.2075e-05-0j -0.000414736-0j 0.00885148-0j -0.010901-0j -5.70206e-05-0j -0.00379833-0j -0.00015085-0j 2.44686e-05-0j -0.0514768-0j -0.00396497-0j -0.0187234-0j 0.0220896-0j 0.00803455-0j 
-0.0306357-0j 0.0086647-0j -0.20408-0j 0.189459-0j 0.000309674-0j -0.000287488-0j -0.00148643-0j -0.00343262-0j 0.0249946-0j -0.00410078-0j -2.18972e-05-0j 0.0577199-0j 0.0689551-0j -5.05672e-05-0j -6.04101e-05-0j -0.00111412-0j 0.00252244-0j -0.000185687-0j 0.00232685-0j 0.021746-0j 0.000966402-0j 0.00220784-0j 0.000420407-0j -0.00057402-0j -1.36772e-06-0j -0.0492343-0j 0.000387809-0j -0.0454166-0j -0.00499868-0j 0.000161067-0j -0.00461108-0j -0.0188627-0j -9.56701e-05-0j 3.09659e-06-0j 0.011204-0j -0.0019151-0j 2.85648e-06-0j 1.18637e-06-0j 0.00113753-0j -7.04677e-07-0j 
0.00978827-0j -0.00556506-0j -0.067805-0j -0.713443-0j 0.000102888-0j 0.00108259-0j 0.000474922-0j -0.00229259-0j -0.00798588-0j -0.00430651-0j 6.99627e-06-0j 0.0385501-0j 0.0724144-0j -3.3773e-05-0j -6.34408e-05-0j 0.000355968-0j -0.00162009-0j 5.9328e-05-0j 0.000254316-0j -0.00694796-0j 0.0037843-0j -0.000705415-0j -0.000270014-0j -0.00278177-0j 4.36992e-07-0j 0.0316216-0j 4.2386e-05-0j -0.00496386-0j 0.00321049-0j 0.000630717-0j -0.000503973-0j -0.0738639-0j -0.000463629-0j -1.98884e-06-0j 0.0542961-0j -0.00749929-0j 3.12202e-07-0j 4.64567e-06-0j 0.00551259-0j -3.41495e-06-0j 
0.00442189-0j 0.118886-0j -0.000309674-0j 0.000287488-0j -0.197683-0j 0.18352-0j 0.000214548-0j 0.000495455-0j -0.00360536-0j 0.000591896-0j 0.0428393-0j -0.00832586-0j -0.00994649-0j 0.0989287-0j 0.118185-0j 0.00016081-0j -0.000364083-0j -0.00254778-0j -0.000335852-0j 1.64126e-05-0j -0.000139488-0j 0.0148169-0j 0.00576832-0j 8.28527e-05-0j 0.00538928-0j -3.71591e-05-0j 0.00532104-0j -3.42778e-05-0j -0.0335463-0j 0.00220996-0j -0.0309451-0j -1.42364e-05-0j -0.00131267-0j -0.0122016-0j 8.45612e-06-0j -0.0128523-0j -0.0112555-0j -0.00467471-0j 0.00763397-0j 0.00277667-0j 
-0.00141281-0j -0.076357-0j -0.000102888-0j -0.00108259-0j -0.0656796-0j -0.69108-0j -6.85492e-05-0j 0.000330906-0j 0.00115193-0j 0.000621591-0j -0.0136874-0j -0.0055607-0j -0.0104455-0j 0.0660728-0j 0.124114-0j -5.13796e-05-0j 0.000233839-0j 0.000814027-0j -3.67073e-05-0j -5.24391e-06-0j -0.000546217-0j -0.00473406-0j -0.00370481-0j 0.000401515-0j -0.0017219-0j 2.38661e-05-0j 0.000581569-0j -3.74643e-06-0j 0.0215457-0j 0.00865393-0j -0.00338218-0j -5.57481e-05-0j -0.00636135-0j 0.00783673-0j 4.09794e-05-0j -0.0503279-0j -0.00123019-0j -0.0183056-0j 0.0369952-0j 0.0134561-0j 
