-0.0048966-0j -0.00077422-0j -0.000612075-0j 0.117332-0j -8.83454e-05-0j 0.0146155-0j -3.60669e-05-0j 0.00121796-0j -9.01672e-06-0j -7.51393e-07-0j -2.80028e-08-0j -0.00457747-0j -0.000713639-0j -0.000552782-0j -7.97873e-05-0j 0.0722976-0j -8.92049e-05-0j 0.0171002-0j -7.43374e-06-0j 0.00737884-0j 0.0015062-0j -5.25645e-06-0j 8.87537e-05-0j -7.58703e-07-0j -4.89741e-08-0j -1.54254e-09-0j 
0.000441264-0j -0.00328129-0j -0.0105618-0j 3.6772e-05-0j 0.144917-0j -0.000432349-0j 3.25022e-06-0j -0.000109619-0j -7.72417e-05-0j -1.29413e-05-0j -7.24704e-07-0j -0.000396177-0j 0.00290481-0j -4.78429e-05-0j 0.000656441-0j 0.0083629-0j -0.0695278-0j 0.000242068-0j -0.0176284-0j -4.4575e-06-0j 8.64937e-05-0j 2.1396e-05-0j 1.0247e-05-0j 9.39605e-06-0j 1.01368e-06-0j 4.47525e-08-0j 
-0.000356595-0j -5.63827e-05-0j 0.00423995-0j 0.00854472-0j -6.43376e-06-0j -0.101244-0j 0.000754777-0j 8.86979e-05-0j 0.000125577-0j 5.20503e-06-0j -2.0393e-09-0j -0.000333355-0j -5.19708e-05-0j 0.00382922-0j -5.81051e-06-0j 0.00526508-0j 0.000617938-0j 0.00124532-0j -5.41363e-07-0j -0.102766-0j -0.0104337-0j 0.000110003-0j 6.4635e-06-0j 1.05666e-05-0j 3.39252e-07-0j -1.12335e-10-0j 
0.000360291-0j 5.6967e-05-0j -0.00428389-0j -0.00863327-0j 6.50044e-06-0j 0.102293-0j -0.000762599-0j -8.96171e-05-0j -0.000126879-0j -5.25897e-06-0j 2.06044e-09-0j -0.000323477-0j -5.04308e-05-0j 0.00371575-0j -5.63834e-06-0j 0.00510906-0j 0.000599627-0j 0.00120842-0j -5.25321e-07-0j -0.0997212-0j -0.0101245-0j 0.000106743-0j 6.27197e-06-0j 1.02535e-05-0j 3.29199e-07-0j -1.09007e-10-0j 
5.14701e-05-0j -0.000773614-0j 6.43376e-06-0j -0.00123332-0j 0.00410704-0j 0.0146041-0j 3.79113e-07-0j -0.173527-0j 0.000419173-0j 0.000215617-0j 2.02016e-05-0j 4.81156e-05-0j -0.00071308-0j 5.81051e-06-0j 0.00370919-0j -0.000759949-0j -8.9135e-05-0j 0.0170868-0j 0.00105911-0j -7.75619e-05-0j -0.0700209-0j -5.25233e-06-0j -0.0254684-0j 0.000108095-0j 2.35044e-05-0j 1.5601e-06-0j 
4.45744e-05-0j -0.000331461-0j -0.00106556-0j 3.71453e-06-0j -7.64495e-05-0j 0.00835224-0j 0.0180115-0j -1.10732e-05-0j -0.141187-0j 0.000250004-0j -7.32062e-08-0j 4.16694e-05-0j -0.000305525-0j -0.000962337-0j -6.90437e-05-0j 4.59361e-06-0j 0.00730362-0j -2.54604e-05-0j -9.68298e-06-0j 0.0084835-0j 0.00173978-0j -0.123456-0j -1.07777e-06-0j -0.0178826-0j 2.03897e-05-0j -4.70701e-09-0j 
-5.20035e-05-0j 0.000781631-0j -6.50044e-06-0j 0.0012461-0j -0.0041496-0j -0.0147554-0j -3.83042e-07-0j 0.175325-0j -0.000423517-0j -0.000217851-0j -2.04109e-05-0j 4.66899e-05-0j -0.00069195-0j 5.63834e-06-0j 0.00359928-0j -0.00073743-0j -8.64937e-05-0j 0.0165805-0j 0.00102773-0j -7.52636e-05-0j -0.0679461-0j -5.09669e-06-0j -0.0247137-0j 0.000104892-0j 2.28079e-05-0j 1.51388e-06-0j 
-4.50363e-05-0j 0.000334896-0j 0.0010766-0j -3.75303e-06-0j 7.72417e-05-0j -0.00843879-0j -0.0181982-0j 1.1188e-05-0j 0.14265-0j -0.000252595-0j 7.39648e-08-0j 4.04346e-05-0j -0.000296471-0j -0.000933821-0j -6.69978e-05-0j 4.4575e-06-0j 0.0070872-0j -2.47059e-05-0j -9.39605e-06-0j 0.00823212-0j 0.00168823-0j -0.119797-0j -1.04583e-06-0j -0.0173527-0j 1.97855e-05-0j -4.56753e-09-0j 
-5.25315e-06-0j 0.00011885-0j 6.24604e-05-0j -4.37762e-07-0j -0.00128464-0j -0.00148958-0j 1.11189e-05-0j 0.00568827-0j 0.0250743-0j -0.197578-0j 0.000393227-0j -4.91078e-06-0j 0.00010955-0j 5.64097e-05-0j -0.0011602-0j -5.41363e-07-0j -0.00130256-0j 9.1292e-06-0j 0.00497411-0j 1.05666e-05-0j 0.0145411-0j -0.000231877-0j 0.00171247-0j -0.0970872-0j -0.0325364-0j 3.80261e-05-0j 
5.30758e-06-0j -0.000120082-0j -6.31076e-05-0j 4.42299e-07-0j 0.00129796-0j 0.00150502-0j -1.12341e-05-0j -0.00574722-0j -0.0253342-0j 0.199625-0j -0.000397302-0j -4.76526e-06-0j 0.000106304-0j 5.47382e-05-0j -0.00112582-0j -5.25321e-07-0j -0.00126397-0j 8.85869e-06-0j 0.00482672-0j 1.02535e-05-0j 0.0141102-0j -0.000225006-0j 0.00166172-0j -0.0942103-0j -0.0315723-0j 3.68993e-05-0j 
2.39772e-07-0j -9.06652e-06-0j 2.99715e-08-0j 1.9981e-08-0j 0.00019752-0j -1.19462e-06-0j 1.76609e-09-0j -0.00271007-0j 2.01593e-05-0j 0.0225285-0j -0.239399-0j 2.24145e-07-0j -8.35708e-06-0j 2.70681e-08-0j 0.000178386-0j 2.47097e-08-0j -1.04464e-06-0j -6.96423e-07-0j -0.00236982-0j 2.52192e-09-0j 2.35044e-05-0j -6.15557e-08-0j 0.0185734-0j -0.000241869-0j -0.0660577-0j -0.0469824-0j 
-2.42257e-07-0j 9.16048e-06-0j -3.02821e-08-0j -2.01881e-08-0j -0.000199567-0j 1.207e-06-0j -1.78439e-09-0j 0.00273815-0j -2.03682e-05-0j -0.022762-0j 0.24188-0j 2.17504e-07-0j -8.10944e-06-0j 2.6266e-08-0j 0.0001731-0j 2.39775e-08-0j -1.01368e-06-0j -6.75787e-07-0j -0.0022996-0j 2.44719e-09-0j 2.28079e-05-0j -5.97317e-08-0j 0.0180231-0j -0.000234702-0j -0.0641002-0j -0.0455902-0j 
