-0.407689-0j -0.00642271-0j -0.356728-0j -0.237818-0j 0.350164-0j -0.00592387-0j -0.147143-0j 0.475179-0j 0.250169-0j 0.442072-0j 0.192581-0j -0.0541384-0j -0.000840966-0j -0.0457649-0j 0.0449228-0j -0.0417774-0j -0.000735845-0j -0.000490563-0j 0.0590253-0j -0.0298472-0j 0.0414337-0j -0.000303521-0j 0.0517724-0j 0.0421697-0j 0.0382472-0j 0.0126643-0j -0.0355849-0j -0.00513624-0j -0.000547093-0j -7.89661e-05-0j -0.0293561-0j 0.0288159-0j -0.00423718-0j 0.00415922-0j -0.0262569-0j -0.0179768-0j -0.00378985-0j -0.00259473-0j -0.000462474-0j 0.0370971-0j -6.67524e-05-0j -0.000422179-0j 0.0053545-0j -0.0181631-0j -6.09364e-05-0j -0.0171244-0j 0.0252139-0j -0.00262162-0j -0.00247169-0j 0.0168093-0j 0.00363932-0j 0.0315054-0j -0.00030162-0j 0.00242621-0j 0.00454741-0j -0.00529758-0j -4.3535e-05-0j 0.0342158-0j 0.0104002-0j -0.00076464-0j 0.0219437-0j 0.00493862-0j 0.00150114-0j 0.0225085-0j 0.0031673-0j 0.00324883-0j 0.013867-0j 0.00200153-0j 0.00370995-0j 0.000535485-0j 
-0.0194481-0j -0.000306385-0j -0.0170171-0j 0.0566034-0j 0.016704-0j 0.000563678-0j -0.0070192-0j -0.0452151-0j 0.0119339-0j 0.0210883-0j 0.00918676-0j -0.00258259-0j -4.01169e-05-0j -0.00218314-0j 0.00214297-0j 0.00397528-0j -3.51023e-05-0j 0.000116759-0j 0.00281571-0j 0.00284008-0j -0.00394257-0j -1.4479e-05-0j -0.00492634-0j 0.00201164-0j 0.00182452-0j 0.000604132-0j -0.00169752-0j -0.000245016-0j -2.60982e-05-0j -3.76695e-06-0j -0.00140038-0j 0.00137462-0j -0.000202128-0j 0.000198409-0j 0.00249844-0j -0.000857557-0j 0.000360619-0j -0.000123778-0j -2.20616e-05-0j 0.00176966-0j -3.18432e-06-0j 4.0172e-05-0j 0.000255428-0j -0.000866443-0j 5.79832e-06-0j 0.00407579-0j 0.00120279-0j -0.00012506-0j 0.000588289-0j -0.00400079-0j 0.000173608-0j 0.00150291-0j 2.87002e-05-0j -0.000577465-0j 0.000216927-0j -0.000252713-0j 4.14252e-06-0j -0.00325576-0j 0.000496126-0j -3.64759e-05-0j -0.00208803-0j -0.000469929-0j 7.16096e-05-0j 0.00107373-0j -0.000301381-0j 0.00015498-0j 0.000661503-0j 9.54797e-05-0j 0.000176977-0j 2.55445e-05-0j 
0.00024557-0j 0.000271796-0j -0.000648509-0j 0.000143249-0j -0.000655229-0j 0.000250686-0j 8.86308e-05-0j 0.000146233-0j 0.000155104-0j 9.04773e-05-0j 2.36032e-05-0j -0.00469284-0j -0.00512138-0j -0.003967-0j -0.00400811-0j 0.0109296-0j 0.0135247-0j -0.00298747-0j 0.00788941-0j -0.00258722-0j -0.00369681-0j -0.0018484-0j -0.00152485-0j -0.00186756-0j -0.000843852-0j -0.000186052-0j 2.14345e-05-0j 0.0424159-0j 2.31519e-05-0j 0.0458145-0j 1.76825e-05-0j 1.78658e-05-0j 0.0349914-0j 0.035354-0j 1.58157e-05-0j -7.61899e-05-0j 0.0312972-0j -0.15077-0j 1.9571e-05-0j 1.14164e-05-0j 0.0387283-0j -5.39206e-05-0j 0.0225915-0j -3.30195e-05-0j -0.106702-0j 1.03148e-05-0j -4.71805e-05-0j -0.0653412-0j 0.0204116-0j 1.04217e-05-0j -0.093364-0j -1.9461e-05-0j 1.27639e-05-0j 0.0206232-0j -0.0385107-0j 3.19098e-06-0j 0.0252581-0j 1.05297e-05-0j 6.44809e-06-0j 0.00631453-0j 3.36429e-06-0j 0.0208369-0j 0.0127599-0j 4.60674e-06-0j 0.00665748-0j 0.00911613-0j 1.69958e-06-0j 0.00336324-0j 3.24518e-07-0j 0.000642179-0j 
-0.0119095-0j -0.0131814-0j 0.0309281-0j -0.00694721-0j -0.0105288-0j 0.0360828-0j -0.0546443-0j -0.00709194-0j -0.00704336-0j 0.013023-0j -0.0011447-0j -0.00158151-0j -0.00172592-0j 0.00396779-0j -0.00135075-0j -0.00122041-0j 0.0044821-0j -0.00100679-0j -0.00088094-0j -0.000816408-0j 0.00369754-0j -0.00791904-0j -0.000513882-0j -0.000589314-0j 0.000844021-0j -6.27002e-05-0j -0.00103952-0j -0.000150041-0j -0.00112281-0j -0.000162063-0j 0.00254516-0j -0.000866443-0j 0.000367362-0j -0.00012506-0j -0.000767022-0j -0.000525144-0j -0.00011071-0j -7.5798e-05-0j 0.00281697-0j -0.000553666-0j 0.000406595-0j -0.000866443-0j -7.99148e-05-0j -0.000496814-0j -0.00012506-0j 0.00148468-0j 0.00225009-0j -7.1709e-05-0j 0.000214294-0j -0.000505425-0j 0.000324773-0j -0.000312716-0j -0.000579617-0j -7.29519e-05-0j -4.51367e-05-0j -0.00500807-0j -8.36605e-05-0j 0.00151561-0j -0.0039755-0j -0.000722853-0j -0.000163159-0j 0.000218759-0j -0.000573814-0j -0.000209195-0j -2.355e-05-0j -3.01947e-05-0j 0.000244631-0j 3.53094e-05-0j -1.57383e-05-0j -2.27163e-06-0j 
0.0170171-0j -0.0182983-0j -0.0146511-0j 0.00992665-0j -0.0150382-0j 0.0166064-0j -0.0304134-0j 0.00928035-0j 0.0318867-0j -0.0294559-0j 0.0299692-0j 0.00225976-0j -0.00239591-0j -0.0018796-0j -0.00192926-0j 0.00174381-0j 0.0020628-0j -0.00139762-0j 0.00115278-0j -0.00369754-0j 0.00175087-0j 0.00428204-0j 0.00350591-0j -0.00244433-0j -0.00422897-0j 0.00250962-0j 0.00148533-0j 0.000214389-0j -0.00155867-0j -0.000224975-0j -0.00120568-0j -0.00123753-0j -0.000174025-0j -0.000178622-0j 0.00109597-0j 0.000750362-0j 0.00015819-0j 0.000108305-0j 0.00129646-0j 0.000724514-0j 0.000187127-0j -0.00120279-0j 0.000104575-0j -0.00225009-0j -0.000173608-0j -0.000703314-0j 0.00106547-0j -0.000324773-0j -0.000101515-0j -0.000721894-0j 0.000153787-0j 0.00213348-0j 0.00255038-0j -0.000104196-0j 0.000307941-0j -0.00153368-0j 0.000368115-0j -0.000657522-0j 0.00221175-0j -0.000221367-0j 0.00246586-0j -9.49052e-05-0j 0.000319239-0j -0.00452378-0j 0.000355916-0j -0.000652952-0j -0.00212335-0j -0.000306479-0j 0.000891533-0j 0.000128682-0j 
0.00343798-0j 5.41617e-05-0j 0.00300823-0j -0.0100062-0j -0.00295288-0j -9.96451e-05-0j 0.00124083-0j 0.00799297-0j -0.00210964-0j -0.00372793-0j -0.001624-0j -0.0215956-0j -0.000335457-0j -0.0182554-0j 0.0179195-0j 0.0332412-0j -0.000293525-0j 0.000976341-0j 0.0235449-0j 0.0237487-0j -0.0329677-0j -0.000121073-0j -0.041194-0j 0.0168213-0j 0.0152566-0j 0.00505175-0j -0.0288721-0j -0.00414096-0j -0.000443888-0j -6.36643e-05-0j -0.0238183-0j 0.02338-0j -0.00341612-0j 0.00335326-0j 0.0424944-0j -0.0145857-0j 0.00609473-0j -0.00209194-0j -0.000375232-0j 0.030099-0j -5.38174e-05-0j 0.00068326-0j 0.00431692-0j -0.0147368-0j 9.7996e-05-0j 0.0693226-0j 0.0204575-0j -0.00211361-0j 0.00994253-0j -0.0680471-0j 0.0029341-0j 0.0255622-0j 0.000488145-0j -0.00975959-0j 0.00366623-0j -0.00429824-0j 7.00117e-05-0j -0.0553752-0j 0.0084383-0j -0.000616471-0j -0.035514-0j -0.00794215-0j 0.00121026-0j 0.0182625-0j -0.00509356-0j 0.00261928-0j 0.0112511-0j 0.00161368-0j 0.0030101-0j 0.00043172-0j 
0.00210532-0j 0.00233016-0j -0.00546737-0j 0.0012281-0j 0.00186125-0j -0.0063786-0j 0.00965983-0j 0.00125369-0j 0.0012451-0j -0.00230216-0j 0.000202355-0j -0.0132245-0j -0.0144322-0j 0.0331786-0j -0.0112949-0j -0.0102051-0j 0.0374793-0j -0.00841875-0j -0.00736641-0j -0.00682679-0j 0.0309188-0j -0.0662189-0j -0.00429707-0j -0.00492784-0j 0.00705769-0j -0.000524298-0j -0.0176805-0j -0.00253581-0j -0.0190971-0j -0.00273899-0j 0.043289-0j -0.0147368-0j 0.00620869-0j -0.00211361-0j -0.0130458-0j -0.00893185-0j -0.00187108-0j -0.00128104-0j 0.0479122-0j -0.00941696-0j 0.00687176-0j -0.0147368-0j -0.00135062-0j -0.00845001-0j -0.00211361-0j 0.0252519-0j 0.0382704-0j -0.00121194-0j 0.00362174-0j -0.00859647-0j 0.0054889-0j -0.0053188-0j -0.00985835-0j -0.00123294-0j -0.000762844-0j -0.0851792-0j -0.00141392-0j 0.025778-0j -0.0676168-0j -0.0122168-0j -0.00277508-0j 0.00369719-0j -0.00969788-0j -0.00355807-0j -0.000398013-0j -0.000510312-0j 0.00416078-0j 0.000596756-0j -0.000267683-0j -3.83922e-05-0j 
-0.0070192-0j 0.0228642-0j -0.0061418-0j -0.00409453-0j -0.0296291-0j 0.0210883-0j -0.00253336-0j -0.00486358-0j -0.021168-0j 0.036474-0j -0.0218569-0j -0.000932105-0j 0.00299375-0j -0.000787937-0j -0.00380114-0j -0.000719285-0j 0.00261953-0j 0.00174635-0j -0.00060414-0j -0.000513882-0j -0.00350591-0j 0.0010805-0j 0.00427158-0j -0.000431618-0j 0.00313288-0j -0.00764296-0j -0.000612668-0j -8.8431e-05-0j 0.00194759-0j 0.000281111-0j -0.000505425-0j -0.00243826-0j -7.29519e-05-0j -0.000351932-0j -0.000452066-0j -0.000309509-0j -6.52501e-05-0j -4.46737e-05-0j 0.00164636-0j -0.000379698-0j 0.000237632-0j 0.00150291-0j -5.48047e-05-0j -0.000312716-0j 0.000216927-0j -0.000294831-0j -0.00213348-0j -4.51367e-05-0j -4.25553e-05-0j -0.00142232-0j -0.000307941-0j 0.00259941-0j 0.00107373-0j -0.000205294-0j 0.000375193-0j -9.12088e-05-0j 0.00015498-0j -0.000350208-0j -0.000880014-0j -1.31649e-05-0j 0.00179744-0j -5.05481e-05-0j -0.000127019-0j 0.00185711-0j 0.000259438-0j 0.000268051-0j -0.00157383-0j -0.000227163-0j -0.00551825-0j -0.000796491-0j 
-0.000286498-0j -4.51348e-06-0j -0.000250686-0j 0.000833846-0j 0.000246073-0j 8.30376e-06-0j -0.000103403-0j -0.000666081-0j 0.000175803-0j 0.000310661-0j 0.000135334-0j 0.00547498-0j 8.50463e-05-0j 0.00462817-0j -0.00454301-0j -0.00842743-0j 7.44155e-05-0j -0.000247525-0j -0.00596919-0j -0.00602085-0j 0.00835809-0j 3.06948e-05-0j 0.0104436-0j -0.0042646-0j -0.00386791-0j -0.00128074-0j -2.50069e-05-0j -0.0494853-0j -3.84463e-07-0j -0.000760801-0j -2.06296e-05-0j 2.025e-05-0j -0.0408233-0j 0.0400721-0j 3.68055e-05-0j -1.2633e-05-0j 0.0728332-0j -0.024999-0j -3.24998e-07-0j 2.60695e-05-0j -0.000643128-0j 5.91789e-07-0j 0.0515881-0j -1.27639e-05-0j 0.00117107-0j 6.0042e-05-0j 1.77188e-05-0j -0.0252581-0j 0.118815-0j -5.89373e-05-0j 0.0350631-0j 2.214e-05-0j 4.22794e-07-0j -0.116629-0j 0.0438122-0j -3.72281e-06-0j 0.000836654-0j -4.79619e-05-0j 7.30862e-06-0j -0.00736695-0j -3.07595e-05-0j -0.0949102-0j 0.0144628-0j 1.58176e-05-0j -0.0608691-0j 0.0313009-0j 9.74485e-06-0j 0.0192838-0j 2.60712e-06-0j 0.00515915-0j 
-0.00300823-0j 0.00323472-0j 0.00258998-0j -0.0017548-0j 0.0026584-0j -0.00293562-0j 0.00537639-0j -0.00164055-0j -0.00563683-0j 0.00520712-0j -0.00529786-0j 0.0188961-0j -0.0200346-0j -0.0157172-0j -0.0161325-0j 0.0145817-0j 0.0172491-0j -0.0116869-0j 0.00963951-0j -0.0309188-0j 0.0146408-0j 0.0358064-0j 0.0293164-0j -0.0204395-0j -0.0353626-0j 0.0209854-0j 0.0252631-0j 0.00362334-0j -0.0265105-0j -0.00380224-0j -0.0205067-0j -0.0210484-0j -0.00294115-0j -0.00301885-0j 0.0186408-0j 0.0127625-0j 0.00267353-0j 0.00183044-0j 0.0220506-0j 0.0123228-0j 0.00316259-0j -0.0204575-0j 0.00176739-0j -0.0382704-0j -0.0029341-0j -0.0119622-0j 0.0181219-0j -0.0054889-0j -0.00171567-0j -0.0122783-0j 0.00259912-0j 0.036287-0j 0.0433778-0j -0.001761-0j 0.00520443-0j -0.0260854-0j 0.00622142-0j -0.0111834-0j 0.0376183-0j -0.00374127-0j 0.0419403-0j -0.00160397-0j 0.00539538-0j -0.0769423-0j 0.00601525-0j -0.0110354-0j -0.0361148-0j -0.00517973-0j 0.0151635-0j 0.00217482-0j 
-0.000175443-0j -0.00019418-0j 0.000455614-0j -0.000102342-0j -0.000155104-0j 0.00053155-0j -0.000804986-0j -0.000104474-0j -0.000103758-0j 0.000191846-0j -1.6863e-05-0j 0.00335273-0j 0.00365889-0j -0.00841156-0j 0.00286353-0j 0.00258722-0j -0.00950187-0j 0.00213435-0j 0.00186756-0j 0.00173075-0j -0.00783864-0j 0.0167881-0j 0.00108941-0j 0.00124932-0j -0.00178929-0j 0.000132922-0j -1.53135e-05-0j -0.0303034-0j -1.65405e-05-0j -0.0327314-0j 3.74937e-05-0j -1.27639e-05-0j 0.0741951-0j -0.0252581-0j -1.12993e-05-0j -7.7361e-06-0j -0.0223598-0j -0.0153087-0j 4.14979e-05-0j -8.15627e-06-0j 0.0821189-0j -1.27639e-05-0j -0.0161402-0j -7.31877e-06-0j -0.0252581-0j 2.18713e-05-0j 3.3147e-05-0j -0.0144829-0j 0.0432805-0j -7.44562e-06-0j 0.0655935-0j -4.60674e-06-0j -8.53856e-06-0j -0.0147339-0j -0.00911613-0j -7.37759e-05-0j -0.0168967-0j 2.2327e-05-0j -5.85646e-05-0j -0.145993-0j -2.40356e-06-0j 0.0441821-0j -0.115892-0j -3.08173e-06-0j -0.00475633-0j -0.00609833-0j 3.60375e-06-0j 0.00713135-0j -2.31847e-07-0j -0.000458795-0j 
0.00124083-0j -0.00404185-0j 0.00108573-0j 0.000723818-0j 0.00523773-0j -0.00372793-0j 0.00044784-0j 0.000859768-0j 0.00374202-0j -0.00644775-0j 0.0038638-0j -0.00779425-0j 0.0250337-0j -0.00658872-0j -0.0317851-0j -0.00601465-0j 0.0219045-0j 0.014603-0j -0.00505181-0j -0.00429707-0j -0.0293164-0j 0.00903514-0j 0.0357189-0j -0.00360919-0j 0.0261971-0j -0.0639103-0j -0.0104205-0j -0.00149455-0j 0.0331254-0j 0.00475099-0j -0.00859647-0j -0.0414708-0j -0.00123294-0j -0.00594792-0j -0.00768892-0j -0.00526424-0j -0.00110278-0j -0.000755019-0j 0.0280019-0j -0.00645806-0j 0.00401615-0j 0.0255622-0j -0.000926241-0j -0.0053188-0j 0.00366623-0j -0.00501461-0j -0.036287-0j -0.000762844-0j -0.000719216-0j -0.0241913-0j -0.00520443-0j 0.0442118-0j 0.0182625-0j -0.00346962-0j 0.00634104-0j -0.00155132-0j 0.00261928-0j -0.00595647-0j -0.0149676-0j -0.000222496-0j 0.0305716-0j -0.000854301-0j -0.00214672-0j 0.0315864-0j 0.0043847-0j 0.00453026-0j -0.0267684-0j -0.00383923-0j -0.0938566-0j -0.0134613-0j 
0.000250686-0j -0.00026956-0j -0.000215831-0j 0.000146233-0j -0.000221533-0j 0.000244635-0j -0.000448032-0j 0.000136712-0j 0.000469736-0j -0.000433927-0j 0.000441488-0j -0.00479061-0j 0.00507924-0j 0.00398469-0j 0.00408996-0j -0.00369681-0j -0.00437304-0j 0.00296289-0j -0.00244384-0j 0.00783864-0j -0.00371178-0j -0.00907776-0j -0.00743239-0j 0.00518188-0j 0.00896525-0j -0.00532029-0j 2.1881e-05-0j 0.0432996-0j -2.29614e-05-0j -0.0454375-0j -1.77613e-05-0j -1.82306e-05-0j -0.0351474-0j -0.0360759-0j 1.61452e-05-0j 1.10539e-05-0j 0.0319493-0j 0.0218742-0j 1.90986e-05-0j 1.06731e-05-0j 0.0377936-0j -1.77188e-05-0j 0.0211206-0j -3.3147e-05-0j -0.0350631-0j -1.03608e-05-0j 1.56959e-05-0j -0.0655935-0j -0.0205026-0j -1.06345e-05-0j 0.0310601-0j 3.14291e-05-0j 3.75706e-05-0j -0.0210443-0j 0.062194-0j -2.25932e-05-0j 0.0743472-0j -9.68622e-06-0j 3.25822e-05-0j -0.0447089-0j 3.63255e-05-0j -0.0191677-0j 0.0644758-0j -6.66416e-05-0j 0.0718834-0j -0.131875-0j -3.12799e-05-0j -0.0618988-0j 1.31335e-05-0j 0.0259895-0j 
-0.000103403-0j 0.000336821-0j -9.04773e-05-0j -6.03182e-05-0j -0.000436478-0j 0.000310661-0j -3.732e-05-0j -7.16473e-05-0j -0.000311835-0j 0.000537312-0j -0.000321983-0j 0.00197603-0j -0.00634663-0j 0.00167039-0j 0.00805827-0j 0.00152485-0j -0.0055533-0j -0.0037022-0j 0.00128075-0j 0.00108941-0j 0.00743239-0j -0.00229062-0j -0.00905557-0j 0.000915013-0j -0.00664159-0j 0.0162028-0j -9.02545e-06-0j -0.0178602-0j 2.86908e-05-0j 0.0567752-0j -7.44562e-06-0j -3.59189e-05-0j -0.0147339-0j -0.0710788-0j -6.65956e-06-0j -4.55949e-06-0j -0.0131784-0j -0.00902263-0j 2.42532e-05-0j -5.59348e-06-0j 0.0479938-0j 2.214e-05-0j -0.0110688-0j -4.60674e-06-0j 0.0438122-0j -4.34328e-06-0j -3.14291e-05-0j -0.00911613-0j -0.00859477-0j -2.09527e-05-0j -0.062194-0j 3.82929e-05-0j 1.58176e-05-0j -0.0414626-0j 0.0757767-0j -1.34363e-06-0j 0.0313009-0j -5.15904e-06-0j -1.29638e-05-0j -0.00265887-0j 2.64788e-05-0j -0.0102091-0j -0.0256537-0j 2.73578e-05-0j 0.0523981-0j 0.0541375-0j -2.31847e-05-0j -0.0458795-0j -8.12915e-05-0j -0.160865-0j 
0.0128315-0j -0.0575784-0j 0.0112276-0j 0.00748505-0j 0.0113439-0j 0.0130988-0j 0.00463114-0j 0.00764099-0j 0.00810449-0j 0.00472762-0j 0.00123332-0j 0.00170394-0j 0.00185954-0j -0.00583976-0j -0.00590028-0j 0.00131489-0j 0.0016271-0j 0.00108473-0j 0.000949141-0j 0.000939406-0j 0.00134229-0j 0.000671144-0j 0.000553666-0j 0.000678099-0j 0.000306398-0j 6.75544e-05-0j 0.00111999-0j 0.000161657-0j 0.00120973-0j 0.00017461-0j 0.000923947-0j 0.000933522-0j 0.00013336-0j 0.000134742-0j -0.00335047-0j 0.0005658-0j -0.000483598-0j 8.16662e-05-0j -0.00414599-0j -0.0024185-0j -0.000598423-0j 0.000933522-0j -0.00034908-0j 0.000571663-0j 0.000134742-0j 0.000538969-0j 0.000816832-0j 8.25125e-05-0j 7.77935e-05-0j 0.000544555-0j 0.0001179-0j 0.000336926-0j 0.000666941-0j 7.85997e-05-0j 4.86311e-05-0j 0.000166735-0j 9.62646e-05-0j 0.000550198-0j 0.000336926-0j 2.40661e-05-0j 0.000175791-0j 7.94142e-05-0j 4.86311e-05-0j 0.000240712-0j 2.53732e-05-0j 3.47437e-05-0j 8.88063e-05-0j 1.28181e-05-0j 1.69567e-05-0j 2.44749e-06-0j 
-0.00213859-0j 0.00959639-0j -0.00187126-0j -0.00124751-0j -0.00189065-0j -0.00218314-0j -0.000771856-0j -0.0012735-0j -0.00135075-0j -0.000787937-0j -0.000205553-0j 0.0134335-0j 0.0146602-0j -0.0460392-0j -0.0465163-0j 0.0103663-0j 0.0128277-0j 0.00855177-0j 0.0074828-0j 0.00740605-0j 0.0105823-0j 0.00529114-0j 0.00436497-0j 0.00534597-0j 0.00241557-0j 0.000532582-0j -0.000186666-0j 0.00257587-0j -0.000201622-0j 0.00278226-0j -0.000153991-0j -0.000155587-0j 0.00212499-0j 0.00214701-0j 0.000558411-0j -9.43e-05-0j -0.00770575-0j 0.00130128-0j 0.000690999-0j 0.000403083-0j -0.00953537-0j -0.000155587-0j -0.0055623-0j -9.52772e-05-0j 0.00214701-0j -8.98282e-05-0j -0.000136139-0j 0.00131477-0j 0.00123958-0j -9.07591e-05-0j 0.00187863-0j -5.61543e-05-0j -0.000111157-0j 0.00125242-0j 0.000774896-0j -2.77892e-05-0j 0.0015339-0j -9.16996e-05-0j -5.61543e-05-0j 0.000383474-0j -2.92985e-05-0j 0.0012654-0j 0.000774896-0j -4.01186e-05-0j 0.000404302-0j 0.000553613-0j -1.4801e-05-0j 0.000204246-0j -2.82612e-06-0j 3.89988e-05-0j 
-0.0144947-0j -0.00022835-0j 0.0382782-0j -0.00845526-0j -0.0375739-0j -0.000210614-0j -0.00523143-0j 0.0168943-0j 0.00889438-0j 0.0157172-0j 0.00684691-0j -0.00192481-0j -2.98992e-05-0j -0.0016271-0j 0.00159716-0j 0.00448287-0j 7.89589e-05-0j -1.74412e-05-0j -0.00633364-0j -0.00106117-0j 0.00147311-0j -1.07912e-05-0j 0.00184069-0j 0.00149928-0j 0.00135982-0j 0.000450261-0j -0.00126517-0j -0.000182611-0j -1.9451e-05-0j -2.80752e-06-0j -0.00104371-0j 0.00102451-0j -0.000150647-0j 0.000147875-0j -0.000933522-0j 0.0044971-0j -0.000134742-0j 0.000649101-0j -1.64426e-05-0j 0.00131893-0j -2.37328e-06-0j 4.53014e-05-0j 0.000190371-0j 0.00194897-0j 6.5387e-06-0j -0.000608831-0j -0.00270555-0j 0.00028131-0j -8.78771e-05-0j 0.000597628-0j -0.000390512-0j -0.00338065-0j -1.07236e-05-0j 8.62602e-05-0j -0.000487954-0j -0.000188347-0j -1.54782e-06-0j 0.00121649-0j 0.000369764-0j -2.71856e-05-0j 0.000780175-0j 0.000175585-0j 5.33708e-05-0j 0.000800256-0j 0.000112609-0j 0.000115507-0j 0.000493019-0j 7.11612e-05-0j 0.000131902-0j 1.90383e-05-0j 
-0.00130961-0j 0.00587657-0j -0.00114591-0j -0.00076394-0j -0.00115778-0j -0.00133689-0j -0.000472664-0j -0.000779855-0j -0.000827161-0j -0.000482511-0j -0.000125875-0j -0.000173908-0j -0.000189789-0j 0.000596018-0j 0.000602194-0j -0.000134201-0j -0.000166065-0j -0.00011071-0j -9.68713e-05-0j -9.58777e-05-0j -0.000136997-0j -6.84984e-05-0j -5.65083e-05-0j -6.92082e-05-0j -3.12716e-05-0j -6.89474e-06-0j 0.0221105-0j -1.64991e-05-0j 0.0238821-0j -1.7821e-05-0j 0.0182403-0j 0.0184293-0j -1.3611e-05-0j -1.37521e-05-0j -0.0661438-0j 0.0111698-0j 4.93571e-05-0j -8.33502e-06-0j -0.0818488-0j -0.0477451-0j 6.10762e-05-0j 0.0184293-0j 3.56278e-05-0j 0.0112856-0j -1.37521e-05-0j 0.0106401-0j 0.0161256-0j -8.4214e-06-0j -7.93977e-06-0j 0.0107504-0j -1.20331e-05-0j 0.00665148-0j 0.0131665-0j -8.02205e-06-0j -4.96339e-06-0j 0.00329163-0j -9.82496e-06-0j 0.0108618-0j 0.00665148-0j -2.45624e-06-0j 0.0034704-0j -8.10518e-06-0j -4.96339e-06-0j 0.00475205-0j -2.58964e-06-0j -3.54602e-06-0j 0.00175318-0j -1.30824e-06-0j 0.000334754-0j -2.49796e-07-0j 
0.000267323-0j -0.00119955-0j 0.000233908-0j 0.000155939-0j 0.000236332-0j 0.000272892-0j 9.64821e-05-0j 0.000159187-0j 0.000168844-0j 9.84921e-05-0j 2.56941e-05-0j -0.00339387-0j -0.00370378-0j 0.0116315-0j 0.011752-0j -0.00261897-0j -0.00324081-0j -0.00216054-0j -0.00189047-0j -0.00187108-0j -0.00267353-0j -0.00133677-0j -0.00110278-0j -0.00135062-0j -0.000610275-0j -0.000134553-0j -0.00224498-0j 0.015068-0j -0.00242486-0j 0.0162753-0j -0.00185201-0j -0.00187121-0j 0.0124305-0j 0.0125593-0j 0.00671587-0j -0.00113412-0j -0.045076-0j 0.00761207-0j 0.00831047-0j 0.00484777-0j -0.0557787-0j -0.00187121-0j -0.0325376-0j -0.00114588-0j 0.0125593-0j -0.00108034-0j -0.00163731-0j 0.00769096-0j 0.0072511-0j -0.00109154-0j 0.0109894-0j -0.000675354-0j -0.00133685-0j 0.00732625-0j 0.00453288-0j -0.000334214-0j 0.00897278-0j -0.00110285-0j -0.000675354-0j 0.0022432-0j -0.000352365-0j 0.00740217-0j 0.00453288-0j -0.000482496-0j 0.00236503-0j 0.00323845-0j -0.000178008-0j 0.00119477-0j -3.39891e-05-0j 0.00022813-0j 
-0.0118349-0j -0.0130988-0j 0.0101894-0j 0.0344452-0j -0.0104629-0j -0.0237123-0j 0.0211517-0j 0.0140577-0j 0.0221853-0j 0.00429048-0j -0.00113753-0j -0.0015716-0j -0.00171511-0j 0.00130721-0j -0.00134229-0j 0.0024191-0j 0.00147665-0j 0.0049918-0j -0.000875422-0j -0.00512943-0j -0.00242989-0j 0.0030653-0j 0.00101862-0j 0.00185623-0j 0.000278067-0j -6.23075e-05-0j -0.001033-0j -0.000149101-0j -0.00111577-0j -0.000161048-0j 0.000838515-0j -0.000861017-0j 0.000121029-0j -0.000124277-0j 0.00152039-0j -0.000521855-0j 0.00021945-0j -7.53233e-05-0j 0.000928066-0j -0.000550198-0j 0.000133955-0j 0.00171747-0j -7.94142e-05-0j 0.00156487-0j 0.000247895-0j -0.00244048-0j 0.000741304-0j 0.00022587-0j -0.000352253-0j 0.00250597-0j 0.000106998-0j -0.000310757-0j -0.00364168-0j 0.000361706-0j -4.4854e-05-0j 0.00106663-0j -0.000525632-0j -0.000996-0j 0.00153883-0j 0.000153954-0j 0.000323415-0j -0.00014376-0j 0.000222111-0j 0.000658924-0j 4.66809e-05-0j 9.51075e-05-0j 8.05949e-05-0j 1.16329e-05-0j -1.56397e-05-0j -2.2574e-06-0j 
-1.57522e-05-0j 7.06841e-05-0j -1.37832e-05-0j -9.18877e-06-0j -1.3926e-05-0j -1.60803e-05-0j -5.68526e-06-0j -9.3802e-06-0j -9.9492e-06-0j -5.8037e-06-0j -1.51404e-06-0j 0.000402063-0j 0.000438778-0j -0.00137795-0j -0.00139223-0j 0.000310263-0j 0.000383931-0j 0.000255954-0j 0.00022396-0j 0.000221663-0j 0.000316727-0j 0.000158363-0j 0.000130643-0j 0.000160004-0j 7.22977e-05-0j 1.59401e-05-0j -1.37492e-06-0j -0.00547972-0j -1.48509e-06-0j -0.00591878-0j -1.13425e-06-0j -1.14601e-06-0j -0.00452054-0j -0.00456739-0j 4.11309e-06-0j -6.94585e-07-0j 0.0163926-0j -0.00276825-0j 5.08969e-06-0j 2.96898e-06-0j 0.0202848-0j -1.14601e-06-0j 0.0118328-0j -7.01783e-07-0j -0.00456739-0j -6.61647e-07-0j -1.00276e-06-0j -0.00279694-0j -0.00263698-0j -6.68504e-07-0j -0.00399646-0j -4.13616e-07-0j -8.18747e-07-0j -0.00266431-0j -0.00164846-0j -2.04687e-07-0j -0.0032631-0j -6.75432e-07-0j -4.13616e-07-0j -0.000815775-0j -2.15804e-07-0j -0.00269192-0j -0.00164846-0j -2.95501e-07-0j -0.000860081-0j -0.00117771-0j -1.0902e-07-0j -0.000434497-0j -2.08164e-08-0j -8.29631e-05-0j 
