-0.00333327-0j -0.000555545-0j -0.000340201-0j -6.94431e-05-0j -4.09198e-06-0j -0.0029934-0j -0.000483057-0j -0.000394415-0j -5.69289e-05-0j -4.93018e-05-0j -5.81028e-06-0j -2.65202e-07-0j -0.00192013-0j -0.00194003-0j -0.000303599-0j -0.000306745-0j -0.000240016-0j -0.000160011-0j -0.000242503-0j -3.46433e-05-0j -0.000161669-0j -3.50023e-05-0j -4.00026e-05-0j -1.41431e-05-0j -4.04172e-05-0j -3.33355e-06-0j -1.42896e-05-0j -3.53577e-06-0j -3.3681e-06-0j -3.57241e-06-0j -2.94647e-07-0j -2.97701e-07-0j -1.09809e-08-0j -1.10947e-08-0j -0.00144239-0j -0.00178486-0j -0.00104117-0j -0.000224872-0j -0.000278265-0j -0.000162321-0j -0.000174185-0j -2.51414e-05-0j -0.000159008-0j -0.000215543-0j -0.000125733-0j -3.11109e-05-0j -0.000196763-0j -2.8109e-05-0j -1.8148e-05-0j -1.87393e-05-0j -0.000114778-0j -2.34241e-06-0j -1.62287e-05-0j -3.47831e-05-0j -2.31887e-05-0j -3.31267e-06-0j -2.02901e-05-0j -2.89859e-06-0j -2.0082e-05-0j -1.65634e-06-0j -1.35268e-05-0j -1.95201e-07-0j -1.69084e-06-0j -1.17145e-05-0j -4.09922e-06-0j -2.39072e-07-0j -2.04961e-06-0j -2.39121e-06-0j -2.41549e-07-0j -1.5432e-08-0j -1.19561e-06-0j -2.95836e-07-0j -1.40904e-07-0j -4.86063e-10-0j -1.90961e-08-0j -1.72571e-07-0j -1.11394e-08-0j -6.01472e-10-0j -3.50859e-10-0j 
6.7238e-06-0j -0.000107138-0j -0.000132739-0j -0.0602995-0j 0.000227918-0j -0.00148938-0j -9.31588e-05-0j -7.65483e-05-0j 0.000513782-0j 0.00183911-0j -0.0154603-0j 2.47048e-05-0j 3.87324e-06-0j 3.91338e-06-0j 0.0144419-0j 0.0145915-0j -4.65825e-05-0j 3.2277e-07-0j -4.70652e-05-0j 0.000312655-0j 3.26115e-07-0j 0.000315895-0j 0.000742254-0j -8.29175e-06-0j 0.000749945-0j 9.21911e-05-0j -8.37768e-06-0j -0.00617233-0j 9.31465e-05-0j -0.0062363-0j -0.00157901-0j -0.00159538-0j 1.53758e-06-0j 1.55351e-06-0j 2.90955e-06-0j 3.60039e-06-0j 2.10023e-06-0j -4.33671e-05-0j -5.3664e-05-0j -3.1304e-05-0j 0.00833856-0j -0.0559673-0j 3.20748e-07-0j 0.0103184-0j 0.00601909-0j -0.069256-0j 3.96906e-07-0j 0.000521565-0j -0.0403993-0j -3.61392e-06-0j 2.31528e-07-0j 6.47807e-05-0j -6.3321e-06-0j 0.000645404-0j -4.472e-06-0j -0.00287649-0j 0.000376486-0j 8.0162e-05-0j -7.83558e-06-0j 9.28394e-05-0j -2.60867e-06-0j 1.08725e-05-0j 4.67612e-05-0j -4.57075e-06-0j -0.00355948-0j -0.00127888-0j 0.000114883-0j -0.00207636-0j 1.3454e-05-0j -0.000138314-0j 6.7015e-05-0j -0.00158253-0j 7.84816e-06-0j 9.54164e-08-0j -0.000171155-0j -0.000923143-0j -9.98402e-05-0j 1.18072e-07-0j 6.88752e-08-0j 
0.00833009-0j 0.00103293-0j 0.000839515-0j 8.52397e-05-0j -5.22045e-08-0j -3.8189e-05-0j 0.0012072-0j -0.0705577-0j 0.000105849-0j 0.000121662-0j 7.13197e-06-0j -3.38338e-09-0j -2.44965e-05-0j -2.47504e-05-0j -3.87324e-06-0j -3.91338e-06-0j -0.0577108-0j 0.000597062-0j -0.0583089-0j 8.65762e-05-0j 0.000603249-0j 8.74734e-05-0j -0.00715616-0j 5.24417e-05-0j -0.00723032-0j 6.19813e-06-0j 5.29851e-05-0j 8.72524e-06-0j 6.26236e-06-0j 8.81566e-06-0j 3.61672e-07-0j 3.6542e-07-0j -1.40091e-10-0j -1.41543e-10-0j -1.84016e-05-0j -2.27709e-05-0j -1.3283e-05-0j -2.86886e-06-0j -3.55003e-06-0j -2.07085e-06-0j 0.000213808-0j -3.20748e-07-0j -0.0579133-0j 0.000264573-0j 0.000154334-0j -3.96906e-07-0j -0.071664-0j -0.00675869-0j -2.31528e-07-0j 6.99237e-05-0j -0.041804-0j 5.85387e-06-0j -0.00583656-0j -0.00836345-0j 8.65262e-05-0j -0.000592612-0j -0.00487868-0j 7.24379e-06-0j -0.00722237-0j 6.1416e-06-0j 5.04736e-05-0j 3.62941e-07-0j 4.22554e-06-0j -0.00421305-0j -0.00073332-0j 5.89959e-07-0j 7.59984e-06-0j -0.00042777-0j 4.49116e-07-0j 1.89424e-08-0j 4.43324e-06-0j 7.30037e-07-0j 2.61985e-07-0j -6.20107e-12-0j 2.344e-08-0j 4.25855e-07-0j 1.36733e-08-0j -7.67343e-12-0j -4.47617e-12-0j 
-3.96204e-07-0j 1.26924e-05-0j -4.04374e-08-0j -0.000227918-0j -0.0583629-0j 8.77628e-05-0j 1.10363e-05-0j -4.68815e-08-0j -0.000186845-0j 1.12639e-06-0j 0.00181035-0j -0.0197476-0j -2.28233e-07-0j -2.30598e-07-0j -0.00171089-0j -0.00172862-0j -2.85291e-08-0j -1.90194e-08-0j -2.88247e-08-0j -0.000113702-0j -1.92165e-08-0j -0.00011488-0j 9.13931e-07-0j -1.68109e-09-0j 9.23402e-07-0j 0.00103866-0j -1.69851e-09-0j -1.16047e-05-0j 0.00104942-0j -1.17249e-05-0j -0.00420248-0j -0.00424603-0j -0.00248774-0j -0.00251352-0j -1.71447e-07-0j -2.12155e-07-0j -1.23757e-07-0j 5.13759e-06-0j 6.35744e-06-0j 3.70851e-06-0j 5.10689e-06-0j 0.0203534-0j -1.89003e-08-0j 6.31945e-06-0j 3.68635e-06-0j 0.0251861-0j -2.33879e-08-0j 6.42199e-07-0j 0.0146919-0j 4.28132e-07-0j -1.36429e-08-0j 0.000729841-0j -1.929e-09-0j 7.9468e-07-0j 5.29787e-07-0j -1.08725e-05-0j 4.63564e-07-0j 0.000903132-0j -2.38702e-09-0j 3.78419e-08-0j 3.09042e-07-0j -0.00278411-0j 0.000526827-0j -1.39243e-09-0j -1.3454e-05-0j 7.44891e-05-0j 4.6827e-08-0j -7.84816e-06-0j -0.00344516-0j -0.00114911-0j 2.73157e-08-0j 9.21756e-05-0j -0.00200968-0j -0.000258744-0j -0.00142195-0j 5.37691e-05-0j -0.000829469-0j -0.00032018-0j -0.000186772-0j 
-1.63679e-05-0j 0.00119819-0j -1.67054e-06-0j -3.40998e-07-0j -2.00935e-08-0j -1.4699e-05-0j -2.37204e-06-0j 0.000850664-0j 0.000122783-0j -2.42095e-07-0j -2.85312e-08-0j -1.30226e-09-0j -9.42871e-06-0j -9.52642e-06-0j -1.49081e-06-0j -1.50626e-06-0j -1.17859e-06-0j -0.100822-0j -1.1908e-06-0j -1.70115e-07-0j -0.101866-0j -1.71878e-07-0j 8.62767e-05-0j -6.9449e-08-0j 8.71708e-05-0j 7.18972e-06-0j -7.01687e-08-0j -1.73623e-08-0j 7.26423e-06-0j -1.75422e-08-0j -1.44685e-09-0j -1.46185e-09-0j -5.39211e-11-0j -5.44799e-11-0j -7.08279e-06-0j -8.76451e-06-0j -5.11263e-06-0j -1.10422e-06-0j -1.36641e-06-0j -7.97071e-07-0j -8.55329e-07-0j -1.23456e-07-0j 0.000342945-0j -1.05842e-06-0j -6.17409e-07-0j -1.52769e-07-0j 0.000424373-0j -1.38028e-07-0j -8.91153e-08-0j -0.0118075-0j 0.000247551-0j -1.15023e-08-0j 3.50017e-05-0j -1.70801e-07-0j -0.0146111-0j 7.14469e-06-0j -9.96339e-08-0j -1.42334e-08-0j 4.33124e-05-0j -8.13338e-09-0j -0.00852312-0j 4.21005e-07-0j -8.30283e-09-0j 2.52656e-05-0j 8.84111e-06-0j -1.17395e-09-0j -1.00645e-08-0j 5.15731e-06-0j 5.20967e-07-0j -7.57783e-11-0j -5.87099e-09-0j -1.45269e-09-0j 3.03897e-07-0j -2.38679e-12-0j -9.37709e-11-0j -8.47404e-10-0j -5.46997e-11-0j -2.95351e-12-0j -1.72288e-12-0j 
-0.00120235-0j 0.0142539-0j 6.26453e-07-0j 0.000572117-0j 0.00020806-0j 5.51211e-06-0j 0.0166586-0j -0.000105849-0j -0.0683545-0j -8.67956e-06-0j 0.000146686-0j 2.25523e-05-0j 3.53577e-06-0j 3.57241e-06-0j -5.34484e-05-0j -5.40023e-05-0j -8.65762e-05-0j -8.61785e-05-0j -8.74734e-05-0j -0.0559088-0j -8.70715e-05-0j -0.0564881-0j 0.00102637-0j 2.60434e-08-0j 0.001037-0j -0.0122653-0j 2.63133e-08-0j 2.91299e-05-0j -0.0123924-0j 2.94318e-05-0j 1.49816e-05-0j 1.51368e-05-0j 1.40361e-06-0j 1.41815e-06-0j 2.65605e-06-0j 3.28669e-06-0j 1.91724e-06-0j -3.95886e-05-0j -4.89883e-05-0j -2.85765e-05-0j 3.20748e-07-0j 0.000207131-0j 0.00835906-0j 3.96906e-07-0j 2.31528e-07-0j 0.000256312-0j 0.0103438-0j 0.000969359-0j 0.000149515-0j 0.000964906-0j 0.00603389-0j -0.011584-0j -4.35529e-06-0j 0.00119952-0j 0.00119401-0j -0.00397753-0j 0.00069972-0j -0.0143345-0j -5.3894e-06-0j -2.91597e-07-0j 0.000696506-0j -0.00144649-0j -0.00836179-0j -3.14381e-06-0j -0.00492194-0j 6.03558e-06-0j -3.60833e-07-0j -0.00287113-0j -0.00178994-0j 1.31231e-06-0j -2.10486e-07-0j 7.46865e-06-0j -0.00104413-0j 8.71028e-08-0j 1.6239e-06-0j 4.35671e-06-0j 9.47276e-07-0j 1.07784e-07-0j 6.28741e-08-0j 
-0.00104126-0j -4.19072e-05-0j 0.0100439-0j 0.00204793-0j -1.25428e-06-0j 4.77363e-06-0j 0.00713793-0j -0.000121662-0j -8.67956e-06-0j -0.0688517-0j 0.00025792-0j -1.01718e-07-0j 3.06206e-06-0j 3.0938e-06-0j -2.29018e-05-0j -2.31391e-05-0j 0.0145027-0j 2.55172e-07-0j 0.014653-0j 0.00103464-0j 2.57816e-07-0j 0.00104536-0j 0.000583683-0j 0.00126577-0j 0.000589731-0j -7.65025e-07-0j 0.00127888-0j -0.00998003-0j -7.72953e-07-0j -0.0100835-0j 1.74696e-05-0j 1.76506e-05-0j -5.05756e-09-0j -5.10997e-09-0j 2.3002e-06-0j 2.84636e-06-0j 1.66038e-06-0j -1.6963e-05-0j -2.09907e-05-0j -1.22446e-05-0j -5.37297e-05-0j -3.83315e-06-0j -4.96717e-05-0j -6.64871e-05-0j -3.87841e-05-0j -4.74328e-06-0j -6.14656e-05-0j -0.0803411-0j -2.76691e-06-0j -1.41359e-06-0j -3.58549e-05-0j 0.000105302-0j 0.000479128-0j -0.0994171-0j -1.74922e-06-0j 9.7693e-05-0j -0.0579933-0j 0.000130305-0j 0.000592891-0j -0.00701203-0j -1.02038e-06-0j -5.98333e-08-0j 7.6011e-05-0j 0.000345853-0j 0.000120889-0j -0.00101573-0j -0.00867694-0j 7.05185e-05-0j -7.404e-08-0j 1.14489e-06-0j -0.00506155-0j -0.0012569-0j -4.319e-08-0j -2.61311e-10-0j 1.41673e-06-0j -0.000733194-0j 8.26426e-07-0j -3.23356e-10-0j -1.88625e-10-0j 
5.01163e-06-0j 0.011556-0j -9.89378e-05-0j 0.00096041-0j -1.18254e-06-0j 4.50062e-06-0j -3.43551e-05-0j 0.0166877-0j 0.00239341-0j 0.000678227-0j 0.000120956-0j -9.59008e-08-0j 2.88694e-06-0j 2.91686e-06-0j -2.1592e-05-0j -2.18157e-05-0j -3.47205e-05-0j 0.0102196-0j -3.50803e-05-0j -4.97976e-06-0j 0.0103255-0j -5.03137e-06-0j -0.0800601-0j -6.18031e-06-0j -0.0808897-0j 0.000210958-0j -6.24435e-06-0j 9.83087e-05-0j 0.000213144-0j 9.93275e-05-0j 8.19266e-06-0j 8.27756e-06-0j -4.76831e-09-0j -4.81772e-09-0j 2.16865e-06-0j 2.68357e-06-0j 1.56542e-06-0j -1.59929e-05-0j -1.97902e-05-0j -1.15443e-05-0j -2.51975e-05-0j -3.61392e-06-0j -6.99237e-05-0j -3.11803e-05-0j -1.81885e-05-0j -4.472e-06-0j -8.65262e-05-0j 0.000192343-0j -2.60867e-06-0j -0.056614-0j -5.04736e-05-0j -5.06822e-07-0j 0.00138041-0j 0.000238012-0j -0.0700563-0j -0.0133999-0j 0.00013884-0j -6.2716e-07-0j 0.00170817-0j 3.42373e-05-0j -0.0408662-0j 1.64992e-05-0j -3.65844e-07-0j 0.000996433-0j -0.0165816-0j 1.00055e-05-0j 4.23665e-05-0j -0.00967258-0j 2.04167e-05-0j 5.36917e-07-0j 2.47138e-05-0j 1.23812e-05-0j 1.19098e-05-0j -2.46367e-10-0j 6.644e-07-0j 7.22236e-06-0j 3.87567e-07-0j -3.04863e-10-0j -1.77837e-10-0j 
0.000122714-0j 1.50252e-05-0j 1.23672e-05-0j 0.0172156-0j 0.00201589-0j -5.62578e-07-0j -0.00255921-0j 7.13197e-06-0j -0.000146686-0j -0.00025792-0j -0.0666751-0j 0.000330079-0j -3.60868e-07-0j -3.64607e-07-0j 8.21111e-06-0j 8.2962e-06-0j -0.000850161-0j -3.00723e-08-0j -0.000858971-0j 0.0174856-0j -3.0384e-08-0j 0.0176668-0j -0.000104095-0j 7.72539e-07-0j -0.000105173-0j 0.000397591-0j 7.80544e-07-0j 0.00176221-0j 0.000401711-0j 0.00178048-0j -0.0139661-0j -0.0141108-0j 2.74775e-05-0j 2.77623e-05-0j -2.71082e-07-0j -3.35447e-07-0j -1.95677e-07-0j 6.08187e-06-0j 7.52593e-06-0j 4.39012e-06-0j 3.14968e-06-0j -6.47807e-05-0j 5.85387e-06-0j 3.89753e-06-0j 2.27356e-06-0j -8.0162e-05-0j 7.24379e-06-0j 0.0143281-0j -4.67612e-05-0j 5.06822e-07-0j 4.22554e-06-0j -0.0547265-0j 5.89959e-07-0j 0.0177302-0j 6.2716e-07-0j 0.000821244-0j 0.0103426-0j -0.0677205-0j 7.30037e-07-0j -1.30199e-05-0j 3.65844e-07-0j 9.6165e-05-0j -0.0395036-0j 4.25855e-07-0j 0.00101624-0j -0.00551539-0j -1.61114e-05-0j 0.000592806-0j 0.000118998-0j -0.001848-0j -9.39829e-06-0j -0.00682495-0j 6.94156e-05-0j 2.13516e-06-0j -0.00228678-0j -0.00398122-0j -0.00133396-0j 2.64212e-06-0j 1.54124e-06-0j 
2.50581e-06-0j -6.08662e-05-0j 0.0143529-0j -1.51728e-05-0j 3.07618e-09-0j 2.25031e-06-0j 3.63142e-07-0j 0.0125594-0j -6.2372e-06-0j 0.00208002-0j -1.2695e-06-0j 1.99367e-10-0j 1.44347e-06-0j 1.45843e-06-0j 2.28233e-07-0j 2.30598e-07-0j -5.24417e-05-0j -3.51822e-05-0j -5.29851e-05-0j 2.60434e-08-0j -3.55468e-05-0j 2.63133e-08-0j 0.00127381-0j -0.056809-0j 0.00128701-0j -3.65228e-07-0j -0.0573977-0j 0.000149172-0j -3.69013e-07-0j 0.000150718-0j -6.43782e-08-0j -6.50454e-08-0j 8.25495e-12-0j 8.34049e-12-0j 1.08433e-06-0j 1.34179e-06-0j 7.82709e-07-0j 1.69049e-07-0j 2.09188e-07-0j 1.22026e-07-0j -3.80581e-05-0j 1.89003e-08-0j -1.74212e-05-0j -4.70945e-05-0j -2.74718e-05-0j 2.33879e-08-0j -2.15576e-05-0j -6.1416e-06-0j 1.36429e-08-0j -4.12029e-06-0j -1.25753e-05-0j 1.76093e-09-0j -0.0997855-0j -7.59984e-06-0j -5.0986e-06-0j 0.000105486-0j -4.43324e-06-0j 2.17904e-09-0j -0.123478-0j -0.00665307-0j -2.97419e-06-0j -2.13865e-08-0j 1.27111e-09-0j -0.072029-0j 0.000130532-0j 1.00863e-05-0j -0.00823275-0j 7.61437e-05-0j -2.64644e-08-0j -3.37178e-09-0j -0.00480244-0j 1.24812e-05-0j -1.54376e-08-0j 3.65401e-13-0j -4.17236e-09-0j 7.28068e-06-0j -2.43388e-09-0j 4.52161e-13-0j 2.63761e-13-0j 
-4.17636e-07-0j -0.00292972-0j -4.26248e-08-0j -0.000119287-0j 0.00134393-0j -3.75052e-07-0j 8.70982e-06-0j 1.44536e-05-0j 0.0286018-0j 8.88943e-07-0j 0.000461992-0j 0.000220052-0j -2.40578e-07-0j -2.43072e-07-0j 5.47407e-06-0j 5.5308e-06-0j -3.00723e-08-0j -0.000851635-0j -3.0384e-08-0j -5.95091e-05-0j -0.00086046-0j -6.01258e-05-0j -0.000210958-0j -1.77203e-09-0j -0.000213144-0j -0.0775249-0j -1.79039e-09-0j -6.07363e-06-0j -0.0783283-0j -6.13657e-06-0j 9.67711e-05-0j 9.7774e-05-0j 1.83184e-05-0j 1.85082e-05-0j -1.80721e-07-0j -2.23631e-07-0j -1.30451e-07-0j 4.05458e-06-0j 5.01728e-06-0j 2.92675e-06-0j -2.18242e-08-0j -4.31871e-05-0j 5.82698e-06-0j -2.7006e-08-0j -1.57535e-08-0j -5.34413e-05-0j 7.21051e-06-0j 5.06822e-07-0j -3.11741e-05-0j 0.014353-0j 4.20613e-06-0j 0.000186252-0j 5.94713e-07-0j 6.2716e-07-0j 0.0177609-0j 0.00166433-0j 3.65844e-07-0j 0.000230475-0j 7.3592e-07-0j 2.98648e-08-0j 0.0103605-0j -0.0187509-0j 0.000134444-0j 4.29287e-07-0j 0.0020595-0j 1.90093e-05-0j 3.69558e-08-0j 0.00120138-0j -0.0232031-0j 1.28048e-05-0j 2.15575e-08-0j 2.35228e-05-0j -0.0135351-0j 1.42344e-06-0j 1.58451e-05-0j 1.37216e-05-0j 9.24299e-06-0j 1.76142e-06-0j 1.02749e-06-0j 
-5.6011e-06-0j -1.14619e-06-0j 2.91832e-09-0j 2.75098e-05-0j 0.0219897-0j 2.5678e-08-0j 0.000195227-0j 3.38338e-09-0j 2.25523e-05-0j -1.01718e-07-0j -0.000330079-0j -0.0645027-0j 1.64713e-08-0j 1.6642e-08-0j -6.26377e-07-0j -6.32868e-07-0j -4.03313e-07-0j 1.37261e-09-0j -4.07493e-07-0j -0.00268833-0j 1.38683e-09-0j -0.00271619-0j -8.25324e-08-0j 1.21322e-10-0j -8.33876e-08-0j -0.000189377-0j 1.2258e-10-0j 1.40069e-06-0j -0.00019134-0j 1.4152e-06-0j 0.0015834-0j 0.0015998-0j -0.0169224-0j -0.0170977-0j 1.23731e-08-0j 1.5311e-08-0j 8.9314e-09-0j -4.63949e-07-0j -5.74108e-07-0j -3.34896e-07-0j 1.4942e-09-0j 9.95974e-06-0j -2.67191e-07-0j 1.84898e-09-0j 1.07857e-09-0j 1.23245e-05-0j -3.30632e-07-0j 1.13602e-05-0j 7.18932e-06-0j -3.86624e-08-0j -1.92869e-07-0j 0.0260669-0j 1.39214e-10-0j 1.40575e-05-0j -4.78423e-08-0j 1.31231e-06-0j 8.20021e-06-0j 0.0322561-0j 1.72268e-10-0j -3.41731e-09-0j -2.7908e-08-0j 0.00104899-0j 0.0188161-0j 1.0049e-10-0j 1.6239e-06-0j -1.35815e-05-0j -4.2287e-09-0j 9.47276e-07-0j 0.00129805-0j -0.0037534-0j -2.46674e-09-0j -1.68063e-05-0j 0.000757198-0j -0.0026684-0j -0.00464459-0j -9.80367e-06-0j -0.00270934-0j -0.00330197-0j -0.00192615-0j 
-6.26453e-07-0j -0.00145478-0j -0.00118368-0j 0.0112945-0j -2.1235e-05-0j -5.62578e-07-0j 8.67956e-06-0j -0.00208963-0j 0.0069764-0j 0.0164-0j 0.00289582-0j -2.30173e-06-0j -3.60868e-07-0j -3.64607e-07-0j 5.45505e-06-0j 5.51158e-06-0j 8.72524e-06-0j 8.79555e-06-0j 8.81566e-06-0j -2.91299e-05-0j 8.8867e-06-0j -2.94318e-05-0j 0.0202622-0j -0.000149172-0j 0.0204722-0j 0.00125182-0j -0.000150718-0j -0.055041-0j 0.00126479-0j -0.0556114-0j 0.000295761-0j 0.000298826-0j -1.43255e-07-0j -1.4474e-07-0j -2.71082e-07-0j -3.35447e-07-0j -1.95677e-07-0j 4.04049e-06-0j 4.99985e-06-0j 2.91658e-06-0j 6.3321e-06-0j -2.11402e-05-0j 4.35529e-06-0j 7.83558e-06-0j 4.57075e-06-0j -2.61597e-05-0j 5.3894e-06-0j -9.7693e-05-0j -1.52598e-05-0j -9.84803e-05-0j 3.14381e-06-0j -6.03558e-06-0j 0.00822933-0j -0.000120889-0j -0.000121863-0j -0.078523-0j -7.05185e-05-0j -7.46865e-06-0j 0.0101833-0j 0.00167022-0j -7.10868e-05-0j 0.000147632-0j -4.35671e-06-0j 0.00594024-0j -0.0971673-0j -0.0114042-0j 0.00206679-0j -0.0566809-0j 0.000182685-0j 2.59072e-05-0j 0.00120563-0j -0.014112-0j 0.000106566-0j -8.8899e-09-0j 3.20585e-05-0j -0.00823202-0j 1.87008e-05-0j -1.10007e-08-0j -6.41707e-09-0j 
-2.21485e-07-0j 1.74613e-06-0j -0.00254602-0j -0.000171102-0j 5.22616e-08-0j -1.98901e-07-0j 1.5183e-06-0j 1.01647e-05-0j 3.61648e-07-0j 0.0174532-0j -2.15489e-05-0j 4.23826e-09-0j -1.27586e-07-0j -1.28908e-07-0j 9.5424e-07-0j 9.64129e-07-0j 6.18562e-06-0j -1.06322e-08-0j 6.24973e-06-0j 2.20076e-07-0j -1.07423e-08-0j 2.22357e-07-0j -4.8766e-05-0j 0.0204025-0j -4.92713e-05-0j 3.1876e-08-0j 0.020614-0j 0.00252983-0j 3.22064e-08-0j 0.00255605-0j -1.45956e-06-0j -1.47469e-06-0j 2.10732e-10-0j 2.12915e-10-0j -9.58419e-08-0j -1.18598e-07-0j -6.91823e-08-0j 7.06794e-07-0j 8.74612e-07-0j 5.10191e-07-0j 4.48905e-06-0j 1.59714e-07-0j -1.05656e-08-0j 5.55491e-06-0j 3.24037e-06-0j 1.97636e-07-0j -1.30742e-08-0j -3.42668e-05-0j 1.15288e-07-0j 5.88995e-08-0j -7.62663e-09-0j 2.23986e-08-0j -0.000121454-0j -4.24029e-05-0j 7.28844e-08-0j -8.16213e-06-0j -2.47351e-05-0j 2.77168e-08-0j -0.000150292-0j -0.113025-0j 4.25159e-08-0j 2.49306e-09-0j 1.61682e-08-0j -8.76701e-05-0j -1.01001e-05-0j 0.000257477-0j -0.139861-0j -5.89173e-06-0j 3.085e-09-0j -9.56542e-08-0j -0.0815856-0j 0.000318612-0j 1.79958e-09-0j 1.0888e-11-0j -1.18366e-07-0j 0.000185857-0j -6.90469e-08-0j 1.34732e-11-0j 7.85935e-12-0j 
5.22045e-08-0j 0.000243731-0j -1.0306e-06-0j -0.00288939-0j 0.00768999-0j 4.68815e-08-0j -1.45416e-06-0j 8.66178e-05-0j -0.00358798-0j 2.87075e-05-0j 0.0229503-0j 0.00260197-0j 3.00723e-08-0j 3.0384e-08-0j -9.13931e-07-0j -9.23402e-07-0j -3.61672e-07-0j -7.32963e-07-0j -3.6542e-07-0j 1.49816e-05-0j -7.40559e-07-0j 1.51368e-05-0j -0.00168857-0j -6.43782e-08-0j -0.00170607-0j 0.0199453-0j -6.50454e-08-0j -0.000295761-0j 0.020152-0j -0.000298826-0j -0.0532762-0j -0.0538283-0j 0.000327789-0j 0.000331186-0j 2.25901e-08-0j 2.79539e-08-0j 1.63064e-08-0j -6.76937e-07-0j -8.37667e-07-0j -4.88639e-07-0j -2.62474e-07-0j 1.08725e-05-0j -3.62941e-07-0j -3.24795e-07-0j -1.89463e-07-0j 1.3454e-05-0j -4.49116e-07-0j 8.14135e-06-0j 7.84816e-06-0j 1.64992e-05-0j -2.61985e-07-0j -9.6165e-05-0j 7.16505e-06-0j 1.00744e-05-0j 2.04167e-05-0j 0.0200879-0j 5.87674e-06-0j -0.000118998-0j 8.8663e-06-0j 1.44917e-06-0j 1.19098e-05-0j -0.0534631-0j -6.94156e-05-0j 5.17201e-06-0j 0.0248575-0j 0.00189846-0j 1.79326e-06-0j 0.0145002-0j -0.0661572-0j -0.0145676-0j 1.04607e-06-0j 0.00234922-0j -0.0385917-0j 3.40926e-05-0j -0.0180264-0j 0.00137038-0j -0.0105154-0j 4.21874e-05-0j 2.46093e-05-0j 
3.69141e-08-0j -8.85371e-07-0j 0.000211438-0j -0.00306441-0j -0.000118788-0j 3.31502e-08-0j -7.69847e-07-0j -1.2695e-06-0j 8.64354e-06-0j -0.00440955-0j 0.0118683-0j -1.94501e-05-0j 2.12643e-08-0j 2.14847e-08-0j -4.83844e-07-0j -4.88858e-07-0j -7.72539e-07-0j 1.77203e-09-0j -7.80544e-07-0j 5.25991e-06-0j 1.79039e-09-0j 5.31442e-06-0j 1.8529e-05-0j -0.000836875-0j 1.8721e-05-0j -2.34283e-05-0j -0.000845548-0j 0.0301279-0j -2.3671e-05-0j 0.0304401-0j 0.00248599-0j 0.00251175-0j -1.61913e-06-0j -1.63591e-06-0j 1.59736e-08-0j 1.97664e-08-0j 1.15304e-08-0j -3.58377e-07-0j -4.43469e-07-0j -2.58691e-07-0j -5.60649e-07-0j 3.81724e-06-0j 1.76093e-09-0j -6.93767e-07-0j -4.04698e-07-0j 4.72359e-06-0j 2.17904e-09-0j 1.30199e-05-0j 2.75543e-06-0j -2.98648e-08-0j 1.27111e-09-0j -1.64625e-05-0j 1.00863e-05-0j 1.61114e-05-0j -3.69558e-08-0j -0.000146183-0j 9.39829e-06-0j -2.03713e-05-0j 1.24812e-05-0j 0.0141042-0j -2.15575e-08-0j -5.66658e-06-0j -1.18833e-05-0j 7.28068e-06-0j -0.000180892-0j -0.0942946-0j 0.0174531-0j -0.00010552-0j -7.01203e-06-0j 0.000328947-0j 0.010181-0j -0.116684-0j -4.09035e-06-0j -1.25815e-07-0j 0.000407051-0j -0.0680654-0j 0.000237446-0j -1.55689e-07-0j -9.08183e-08-0j 
-1.94555e-09-0j -1.36486e-05-0j -1.98566e-10-0j -2.81356e-06-0j -0.00455224-0j -1.74717e-09-0j 8.14309e-08-0j 3.35508e-08-0j 0.000336154-0j 8.31101e-09-0j 4.51534e-05-0j 0.0278083-0j -1.12073e-09-0j -1.13234e-09-0j 5.11789e-08-0j 5.17092e-08-0j -1.40091e-10-0j 2.73159e-08-0j -1.41543e-10-0j -1.40361e-06-0j 2.7599e-08-0j -1.41815e-06-0j -9.82785e-07-0j -8.25495e-12-0j -9.92969e-07-0j -0.00377555-0j -8.34049e-12-0j -1.43255e-07-0j -0.00381468-0j -1.4474e-07-0j -0.000327789-0j -0.000331186-0j -0.0515148-0j -0.0520487-0j -8.41885e-10-0j -1.04178e-09-0j -6.07705e-10-0j 3.79075e-08-0j 4.69082e-08-0j 2.73631e-08-0j -1.01667e-10-0j -1.01863e-06-0j 1.3526e-08-0j -1.25807e-10-0j -7.33873e-11-0j -1.26049e-06-0j 1.67376e-08-0j 4.73844e-09-0j -7.35286e-07-0j -9.23934e-07-0j 9.76359e-09-0j 1.82036e-05-0j 1.38049e-09-0j 5.86352e-09-0j -1.14331e-06-0j 1.95607e-05-0j 3.42039e-09-0j 2.25258e-05-0j 1.70827e-09-0j 2.79215e-10-0j -6.66931e-07-0j 0.0316485-0j 1.31401e-05-0j 9.96492e-10-0j 2.42051e-05-0j 1.8579e-06-0j 3.45512e-10-0j 1.41197e-05-0j 0.039163-0j 0.00161816-0j 2.01548e-10-0j 2.29903e-06-0j 0.0228451-0j -0.0170513-0j 0.00200237-0j 1.3411e-06-0j 0.00116805-0j -0.0211-0j -0.0123083-0j 
