0.0986462-0j 8.58555e-05-0j -0.00513704-0j -0.00118475-0j -0.000120919-0j 0.0250091-0j -2.02585e-05-0j -0.000588546-0j 0.020431-0j 5.05908e-06-0j -1.13445e-06-0j -0.0102577-0j 7.71013e-05-0j -0.00104692-0j -0.00470837-0j 0.114759-0j -0.0167407-0j -3.46804e-05-0j -0.00106395-0j 0.000686844-0j -0.00014921-0j -1.52287e-05-0j 0.00242041-0j -1.6429e-06-0j 0.00063846-0j -7.25312e-08-0j 
-1.6429e-06-0j 4.0985e-08-0j -1.24688e-05-0j 0.00027319-0j 2.78823e-05-0j -0.00376978-0j 0.0315193-0j -2.03335e-08-0j 4.60118e-07-0j 2.41506e-09-0j -0.336859-0j 4.78244e-10-0j 5.2389e-10-0j 4.88106e-11-0j -1.62668e-07-0j -1.35557e-08-0j 2.73233e-08-0j -1.19816e-09-0j 3.49205e-06-0j 3.2788e-07-0j -4.6657e-05-0j -4.76191e-06-0j 0.000367792-0j -0.001316-0j 4.33822e-09-0j -0.000935584-0j 
0.690503-0j 0.00060097-0j 0.000373731-0j 8.61936e-05-0j -0.00170161-0j -0.00181947-0j -0.000141805-0j 0.00400242-0j -0.138942-0j 0.000106974-0j 8.25337e-08-0j -0.000725027-0j -0.000524329-0j 0.0143132-0j -0.000332793-0j 0.00811129-0j 0.00121792-0j 0.000712437-0j -7.52014e-05-0j -4.99695e-05-0j -1.05464e-05-0j 0.000208203-0j 0.000171078-0j 1.11726e-05-0j 4.51271e-05-0j -5.1266e-09-0j 
-0.68342-0j -0.000594806-0j -0.000369898-0j -8.53096e-05-0j 0.00168415-0j 0.00180081-0j 0.000140351-0j 0.00407745-0j -0.141546-0j -0.000105876-0j -8.16872e-08-0j -0.000738617-0j -0.000534157-0j 0.0145815-0j -0.000339031-0j 0.00826333-0j -0.00120543-0j 0.000725792-0j -7.66111e-05-0j 4.9457e-05-0j -1.07441e-05-0j 0.000212105-0j 0.000174284-0j 1.1382e-05-0j 4.5973e-05-0j -5.22269e-09-0j 
-0.00060097-0j 0.706332-0j 4.74052e-05-0j -0.00105962-0j -0.00010679-0j 5.20515e-07-0j -4.42656e-06-0j -0.0994476-0j 5.98306e-05-0j -0.000641842-0j 1.7146e-09-0j 0.00584697-0j 0.00314597-0j 0.000589264-0j -4.22125e-05-0j -3.51771e-06-0j 2.49847e-05-0j 9.03678e-05-0j -4.7195e-06-0j 0.000299817-0j 8.61341e-05-0j 8.68068e-06-0j -3.66428e-08-0j 2.78719e-07-0j -0.000270763-0j -9.12428e-11-0j 
-0.000373731-0j 4.74052e-05-0j 0.69963-0j -0.000654164-0j -6.67653e-05-0j -9.47496e-05-0j -1.11857e-05-0j 0.000315715-0j 7.52014e-05-0j 2.79338e-06-0j -6.26387e-07-0j -3.7756e-05-0j 0.0102018-0j -3.85346e-06-0j 0.00252572-0j 0.000210477-0j 3.16035e-05-0j 1.86037e-05-0j -0.140778-0j 0.000379242-0j 8.00413e-05-0j 8.16918e-06-0j 8.90892e-06-0j 8.81306e-07-0j -0.000342491-0j 3.89081e-08-0j 
8.61936e-05-0j 0.00105962-0j 0.000654164-0j 0.684276-0j -0.000356526-0j -0.00103003-0j -0.000183362-0j 0.0142632-0j 0.000401575-0j -3.18749e-07-0j -1.7179e-05-0j -0.000843938-0j 4.7195e-06-0j 4.39714e-07-0j -0.000582508-0j -4.85423e-05-0j -3.60624e-06-0j -4.29058e-06-0j 0.00304774-0j -4.32748e-05-0j -0.170448-0j 8.88078e-05-0j 0.000146039-0j 1.93094e-05-0j 3.90812e-05-0j 1.28163e-06-0j 
0.00170161-0j -0.00010679-0j -6.67653e-05-0j 0.000356526-0j 0.673656-0j 0.000105127-0j -0.00361987-0j -0.00143746-0j 0.00792775-0j 0.00182574-0j 1.75332e-06-0j -4.39714e-07-0j 9.31709e-05-0j -0.00083084-0j 5.9452e-05-0j 4.95433e-06-0j 3.6806e-07-0j 0.0245757-0j -0.000311059-0j 4.41672e-06-0j -8.88078e-05-0j -0.167803-0j -1.49051e-05-0j 0.0003812-0j -3.98871e-06-0j -1.30806e-07-0j 
0.00181947-0j 5.20515e-07-0j -9.47496e-05-0j 0.00103003-0j 0.000105127-0j 0.668638-0j -0.00167499-0j 1.05464e-05-0j 0.0172572-0j 3.06717e-08-0j -0.000317069-0j 6.04189e-05-0j -4.54135e-07-0j 6.16648e-06-0j 8.43709e-05-0j -0.0020564-0j -0.000101494-0j 6.2145e-07-0j -0.000898672-0j 4.16412e-06-0j 0.00387568-0j 0.00039556-0j -0.194425-0j 0.000266452-0j -3.76059e-06-0j 2.96201e-05-0j 
-0.000141805-0j 4.42656e-06-0j 1.11857e-05-0j -0.000183362-0j 0.00361987-0j 0.00167499-0j 0.652056-0j 0.000119792-0j -0.00202809-0j 7.87936e-07-0j -0.00401186-0j 3.66428e-08-0j -3.86205e-06-0j -7.2339e-07-0j -9.96048e-06-0j -8.3004e-07-0j -3.06717e-08-0j 2.13232e-05-0j 0.000159978-0j -3.6806e-07-0j -0.00141498-0j 0.027934-0j 0.00539768-0j -0.214348-0j 3.32392e-07-0j 0.00050164-0j 
0.000594806-0j -0.699088-0j -4.6919e-05-0j 0.00104875-0j 0.000105694-0j -5.15177e-07-0j 4.38116e-06-0j -0.101312-0j 6.09521e-05-0j 0.000635259-0j -1.69701e-09-0j 0.00595657-0j 0.00320494-0j 0.00060031-0j -4.30038e-05-0j -3.58365e-06-0j -2.47285e-05-0j 9.20617e-05-0j -4.80797e-06-0j -0.000296742-0j 8.77486e-05-0j 8.8434e-06-0j -3.73297e-08-0j 2.83944e-07-0j -0.000275838-0j -9.29531e-11-0j 
0.000369898-0j -4.6919e-05-0j -0.692454-0j 0.000647454-0j 6.60805e-05-0j 9.37778e-05-0j 1.1071e-05-0j 0.000321633-0j 7.66111e-05-0j -2.76473e-06-0j 6.19962e-07-0j -3.84638e-05-0j 0.010393-0j -3.92569e-06-0j 0.00257307-0j 0.000214422-0j -3.12793e-05-0j 1.89524e-05-0j -0.143417-0j -0.000375352-0j 8.15416e-05-0j 8.32231e-06-0j 9.07592e-06-0j 8.97826e-07-0j -0.00034891-0j 3.96374e-08-0j 
-8.53096e-05-0j -0.00104875-0j -0.000647454-0j -0.677258-0j 0.000352869-0j 0.00101947-0j 0.000181481-0j 0.0145305-0j 0.000409102-0j 3.1548e-07-0j 1.70028e-05-0j -0.000859757-0j 4.80797e-06-0j 4.47956e-07-0j -0.000593427-0j -4.94522e-05-0j 3.56925e-06-0j -4.371e-06-0j 0.00310487-0j 4.2831e-05-0j -0.173643-0j 9.04725e-05-0j 0.000148777-0j 1.96713e-05-0j 3.98138e-05-0j 1.30566e-06-0j 
-0.00168415-0j 0.000105694-0j 6.60805e-05-0j -0.000352869-0j -0.666747-0j -0.000104049-0j 0.00358274-0j -0.0014644-0j 0.00807636-0j -0.00180702-0j -1.73534e-06-0j -4.47956e-07-0j 9.49173e-05-0j -0.000846414-0j 6.05664e-05-0j 5.0472e-06-0j -3.64285e-07-0j 0.0250364-0j -0.000316889-0j -4.37142e-06-0j -9.04725e-05-0j -0.170948-0j -1.51845e-05-0j 0.000388345-0j -4.06348e-06-0j -1.33258e-07-0j 
-0.00180081-0j -5.15177e-07-0j 9.37778e-05-0j -0.00101947-0j -0.000104049-0j -0.66178-0j 0.00165781-0j 1.07441e-05-0j 0.0175806-0j -3.03571e-08-0j 0.000313816-0j 6.15514e-05-0j -4.62647e-07-0j 6.28207e-06-0j 8.59524e-05-0j -0.00209495-0j 0.000100453-0j 6.33099e-07-0j -0.000915517-0j -4.12141e-06-0j 0.00394833-0j 0.000402975-0j -0.198069-0j 0.000271447-0j -3.83108e-06-0j 3.01753e-05-0j 
0.000140351-0j -4.38116e-06-0j -1.1071e-05-0j 0.000181481-0j -0.00358274-0j -0.00165781-0j -0.645368-0j 0.000122038-0j -0.0020661-0j -7.79854e-07-0j 0.00397071-0j 3.73297e-08-0j -3.93444e-06-0j -7.3695e-07-0j -1.01472e-05-0j -8.45599e-07-0j 3.03571e-08-0j 2.17229e-05-0j 0.000162977-0j 3.64285e-07-0j -0.0014415-0j 0.0284576-0j 0.00549885-0j -0.218366-0j 3.38623e-07-0j 0.000511043-0j 
-0.000105876-0j -0.000635259-0j 2.76473e-06-0j 3.1548e-07-0j 0.00180702-0j 3.03571e-08-0j -7.79854e-07-0j -9.20617e-05-0j -1.08496e-05-0j -0.688163-0j 9.99974e-11-0j 1.79182e-06-0j -0.000570485-0j 0.0102633-0j 2.53402e-06-0j 2.11169e-07-0j 1.45714e-06-0j -0.0997285-0j 2.83312e-07-0j 1.74857e-05-0j 2.63961e-08-0j 0.000151192-0j 2.19967e-09-0j -5.05425e-08-0j 1.62539e-05-0j 5.47732e-12-0j 
-4.99695e-05-0j -0.000299817-0j -0.000379242-0j -4.32748e-05-0j -4.41672e-06-0j -4.16412e-06-0j -3.6806e-07-0j 4.22125e-05-0j 4.97479e-06-0j -1.76669e-05-0j -1.37168e-08-0j 0.00023879-0j 0.000261581-0j 2.43714e-05-0j -0.100656-0j 2.81417e-05-0j -0.000199878-0j 2.4874e-06-0j 3.7756e-05-0j 0.714918-0j 3.51771e-06-0j 3.59025e-07-0j 2.93143e-07-0j 2.3175e-08-0j 0.0021661-0j 7.29943e-10-0j 
-0.00121792-0j 2.49847e-05-0j 3.16035e-05-0j 3.60624e-06-0j 3.6806e-07-0j -0.000101494-0j 3.06717e-08-0j -3.51771e-06-0j 0.000121252-0j 1.47224e-06-0j 1.14307e-09-0j 0.00582012-0j -2.17985e-05-0j 0.000594013-0j -2.81417e-05-0j -0.09962-0j 0.707557-0j -2.07283e-07-0j -3.14634e-06-0j 0.000199878-0j -2.93143e-07-0j -2.99187e-08-0j 7.14487e-06-0j -1.93125e-09-0j -0.000180508-0j -6.08285e-11-0j 
-8.25337e-08-0j 1.7146e-09-0j -6.26387e-07-0j 1.7179e-05-0j 1.75332e-06-0j -0.000317069-0j 0.00401186-0j 6.97217e-08-0j -1.97487e-06-0j 1.01034e-10-0j 0.630499-0j -1.3656e-09-0j -1.49594e-09-0j -1.39376e-10-0j 5.57773e-07-0j 4.64811e-08-0j 1.14307e-09-0j 4.10839e-09-0j -1.49882e-05-0j 1.37168e-08-0j 0.000267849-0j 2.73372e-05-0j -0.00319526-0j 0.0238096-0j -1.23875e-08-0j -0.250894-0j 
4.9457e-05-0j 0.000296742-0j 0.000375352-0j 4.2831e-05-0j 4.37142e-06-0j 4.12141e-06-0j 3.64285e-07-0j 4.30038e-05-0j 5.06805e-06-0j 1.74857e-05-0j 1.35761e-08-0j 0.000243266-0j 0.000266485-0j 2.48282e-05-0j -0.102543-0j 2.86692e-05-0j 0.000197828-0j 2.53402e-06-0j 3.84638e-05-0j -0.707586-0j 3.58365e-06-0j 3.65755e-07-0j 2.98637e-07-0j 2.36094e-08-0j 0.0022067-0j 7.43625e-10-0j 
0.00120543-0j -2.47285e-05-0j -3.12793e-05-0j -3.56925e-06-0j -3.64285e-07-0j 0.000100453-0j -3.03571e-08-0j -3.58365e-06-0j 0.000123525-0j -1.45714e-06-0j -1.13134e-09-0j 0.00592921-0j -2.22071e-05-0j 0.000605148-0j -2.86692e-05-0j -0.101487-0j -0.7003-0j -2.11169e-07-0j -3.20531e-06-0j -0.000197828-0j -2.98637e-07-0j -3.04796e-08-0j 7.27879e-06-0j -1.96745e-09-0j -0.000183892-0j -6.19687e-11-0j 
0.000106974-0j 0.000641842-0j -2.79338e-06-0j -3.18749e-07-0j -0.00182574-0j -3.06717e-08-0j 7.87936e-07-0j -9.03678e-05-0j -1.06499e-05-0j 0.695294-0j -1.01034e-10-0j 1.75886e-06-0j -0.000559988-0j 0.0100744-0j 2.4874e-06-0j 2.07283e-07-0j -1.47224e-06-0j -0.0978935-0j 2.78099e-07-0j -1.76669e-05-0j 2.59104e-08-0j 0.00014841-0j 2.1592e-09-0j -4.96125e-08-0j 1.59548e-05-0j 5.37653e-12-0j 
8.16872e-08-0j -1.69701e-09-0j 6.19962e-07-0j -1.70028e-05-0j -1.73534e-06-0j 0.000313816-0j -0.00397071-0j 7.10286e-08-0j -2.01188e-06-0j -9.99974e-11-0j -0.624032-0j -1.39119e-09-0j -1.52398e-09-0j -1.41988e-10-0j 5.68229e-07-0j 4.73524e-08-0j -1.13134e-09-0j 4.1854e-09-0j -1.52691e-05-0j -1.35761e-08-0j 0.00027287-0j 2.78496e-05-0j -0.00325516-0j 0.0242559-0j -1.26197e-08-0j -0.255597-0j 
