-0.00619555-0.0282448j 0.0778562-0.107032j -0.19587+0.0760501j 0.0148791-0.0937032j -0.000248821-0.023977j -0.0603759+0.0449296j -0.0655171-0.170783j -0.0352044-0.00886662j 0.0877235+0.0345904j 0.0950247+0.150961j 0.0927739+0.00281353j 0.015322+0.055041j 0.0167532-0.00486376j -0.0260461+0.13631j -0.00774575-0.030173j 0.00726598+0.0287677j -0.00383087-0.0653337j 0.157325-0.030422j 
-0.0294917+0.0140495j -0.0426488+0.0089572j 0.106472+0.316576j 0.0329321-0.112834j 0.134938+0.189803j 0.0135561+0.00250145j -0.00245675-0.0191418j 0.0561186+0.0209241j 0.0346944-0.0429468j -0.251078+0.00386873j -0.19905+0.00718426j 0.203746+0.0324775j 0.0552905+0.0714545j -0.0180042-0.0760697j -0.0358412-0.00509746j -0.063233+0.0300682j -0.001166+0.00558313j 0.0143501-0.00400494j 
-0.0386534-0.00539174j 0.11982+0.0162724j 0.0419167+0.0624751j -0.505785+0.00407832j -0.0480609+0.0629213j 0.108237-0.0168578j 0.0304209-0.00340409j 0.00238141-0.00753241j -0.029998-0.0203875j -0.028737+0.00519001j 0.0355018-0.0279442j 0.0303906-0.0101716j 0.0969926-0.000364714j 0.0329496+0.0105481j 0.0349918+0.0292663j 0.0318145+0.00532935j 0.0306883-0.0205832j -0.0027552-0.0074562j 
-0.0029085+0.019887j -0.0156048+0.00602151j 0.137758-0.197616j -0.0405581-0.107547j 0.103259-0.316559j 0.0388587+0.0105846j -0.0292079-0.017192j 0.01413+0.00256865j -0.00558609-0.00607588j -0.062671-0.02848j 0.0334191-0.00720863j 0.0195513-0.0759317j -0.0506265+0.071377j -0.198451+0.0335981j 0.199468+0.00896351j -0.252623-0.00326474j 0.0422228+0.0415912j 0.0534117-0.0228054j 
0.0345719-0.00315768j -0.184472-0.279719j 0.230118+0.126979j 0.0517744+0.0958912j 0.0133826+0.0137963j -0.0613463-0.0747082j -0.00251964-0.00129158j -0.0681732-0.0802842j -0.282985+0.0263184j 0.194234+0.0358643j -0.0835742-0.11213j 0.0769935+0.0347944j 0.0430419-0.0226332j 0.0200078-0.0107776j 0.0339627-0.0307182j 0.0439216-0.0327226j 0.0179811-0.0333326j -0.0127215+0.00389364j 
-0.0148329-0.0506168j 0.042267-0.0735142j -0.328421+0.12492j 0.0813052-0.189478j -0.135224+0.0174848j 0.0487353+0.0248396j 0.021282-0.00407863j -0.0247404-0.0257589j -0.109666-0.0148915j -0.00776851+0.00534888j 0.0337694-0.0981j 0.0641056-0.0176545j 0.139079-7.76548e-05j 0.000931623+0.0254857j 0.130573+0.00872751j 0.0101093-0.00874667j 0.0273818-0.0355765j -0.00172953-0.00902435j 
-0.0447662+0.0165606j 0.0987203-0.187313j -0.176464-0.0257549j -0.0326926+0.310128j -0.0857419-0.0236981j 0.0334966-0.0442692j 0.00422077-0.00626935j 0.0409601-0.00857447j -0.0275276+0.00791793j -0.0315318+0.0031621j -0.226288+0.0725056j 0.0953186+0.0518356j -0.153027+0.0603339j -0.0483525-0.0809115j -0.148219-0.0262162j -0.117053+0.0180757j 0.0140363+0.0513001j 0.0264782-0.00129869j 
-0.298286-0.291999j 0.220414+0.0147566j -0.0361798+0.0529981j -0.0533803-0.0423444j 0.0375774+0.0151258j 0.0114197-0.00754054j -0.0146404-0.00917463j 0.273658-0.0478828j -0.149674-0.0638824j -0.0224083-0.0642903j 0.0276864-0.0792611j -0.0676674-0.0188734j -0.0628439-0.0359594j -0.0134692+0.00956321j 0.0304099+0.0307501j -0.00368192+0.00441315j 0.00458545+0.00611871j 0.00702226-0.0061313j 
0.0262896+0.213118j 0.0988516-0.277138j -0.0149335+0.314239j -0.0428221+0.049623j 0.0127234+0.0135298j 0.0431252-0.0581537j -0.00928662-0.00485798j -0.101358+0.0263844j 0.141673+0.0264479j 0.163999-0.0517818j 0.184264+0.0169929j -0.213983+0.0318451j -0.167356+0.010981j -0.0492447+0.0588959j 0.0327737-0.0117339j -0.0669922-0.0390042j -0.0154023+0.0476414j 0.018251+0.00886363j 
-0.0162242-0.0363363j -0.366458+0.0371794j 0.100386+0.021042j 0.083306-0.0191291j -0.0242326+0.0669853j -0.0305037-0.00400326j 0.00323483-0.00916115j 0.0966175+0.0140009j 0.0770776+0.0127658j 0.00952903-0.0884478j 0.0788455+0.021554j -0.139119-0.000793469j -0.142958+0.0021864j -0.0405882+0.0255997j -0.00448065+0.00591792j -0.0512005-0.00814164j -0.0253344+0.0389851j 0.0175677+0.0056936j 
0.331899-0.384387j -0.0422225+0.239192j 0.0190169-0.00671604j 0.00746938-0.0429043j 0.0057346+0.0454182j 0.0137058-0.00891797j 0.00357818-0.0161974j -0.0776468+0.0396609j -0.0830055+0.047289j 0.196336-0.0496296j -0.0174947-0.0329421j -0.0253202+0.0240061j -0.0821049-0.0104822j -0.0282948+0.00523958j -0.000315649-0.0407725j -0.0269215-0.0366172j -0.0181945+0.0080901j 0.00376581+0.0132991j 
-0.303469+0.134462j 0.105203+0.159206j -0.0804052-0.0297761j -0.0358869-0.031026j 0.0431455+0.0158296j 0.0150321+0.0144278j -0.0073697-0.00347637j -0.178594-0.0510309j -0.20164+0.158219j 0.297184-0.0383223j -0.0828045-0.0563235j 0.00680534+0.0331258j -0.0696909-0.0155316j -0.0242716+0.00528463j 0.0202553-0.0715164j 0.000843063-0.0602738j -0.0226536-0.0156547j -0.0118868+0.0181377j 
0.258107+0.282897j -0.049989-0.0148939j -0.0100303+0.0306154j 0.0121843+0.00610157j -0.0106448-0.0106534j 0.0088284+0.00320658j 0.00670531+0.00336235j 0.299507-0.153108j -0.319719-0.00227866j -0.0155398-0.0491997j -0.0908633-0.109684j 0.0116406-0.0202342j -0.0330639-0.0391555j -0.00497059-0.0120224j 0.0312049+0.0201004j 0.020892+0.00438481j 0.0135122-0.0167246j -0.00303775-0.00873695j 
