0.0956069-0.160205j -0.0496627-0.0236443j -0.172614-0.000369169j 0.053379-0.0213032j 0.0947646+0.160786j -0.150306-0.057749j -0.0128971-0.0770453j 0.0400125+0.130651j -0.0409564-0.000627843j 0.0402805-0.130062j 0.013978-0.0787153j 0.149552-0.056665j -0.0367781+0.0916162j 0.0496902-0.0221771j -0.099622-0.0390548j -0.0188117-0.0324879j -0.0272681+0.0550752j -0.0122431+0.0356457j -0.0355201+0.0433234j 0.0423898+0.0383749j -0.0383823-0.0476049j 0.0312142-0.0106488j -0.0594566-0.0512464j -0.0598708+0.0500589j -0.0312294-0.0109263j 0.0395601-0.0488907j 0.0424596-0.037941j 0.0362671+0.0420139j 0.0116803+0.0329935j 0.0240652+0.0574417j 0.0186006-0.0320388j -0.0995527+0.0374789j 0.0508443+0.0231429j -0.0364227-0.090506j 
-0.0150162-0.000188566j -0.0196634-0.0586076j 0.00381869+0.0195456j -0.0876683-0.293313j -0.338366-0.318212j 0.0213143+0.0055464j 0.0275452-0.0625803j -0.110802-0.00984923j -0.0995718+0.0211378j -0.233648-0.0483855j -0.133494-0.074613j -0.0676908-0.0102412j -0.0149867-0.00325776j 0.0202393-0.0189504j -0.0102842-0.00234728j -0.0332501-0.00128265j -0.0192878+0.0149135j 0.00165148-0.000370512j 0.0297231+0.00181761j -0.00602915+0.00980663j 0.00913253-0.0116557j 0.00518899-0.00110485j 0.0695737-0.0447434j -0.00419107-0.0782208j -0.00979476-0.0294713j 0.0253328-0.100746j 0.0687312+0.0212274j 0.0839769+0.00550469j -0.0243631+0.00940186j 0.0246935-0.0473976j 0.0486014+0.0655432j 0.0853897+0.000531641j -0.0156584+0.0100892j 0.0049402+0.0862634j 
-0.011976-0.00702222j 0.126336-0.00386778j 0.0607751-0.156944j 0.337371-0.0376844j 0.0195201+0.0883271j -0.0184305-0.0311968j -0.0929288-0.00280143j 0.168578+0.00135534j -0.118588+0.0359298j -0.014402+0.0536502j -0.0854117-0.0158566j -0.0974502+0.0125925j 0.0151311+0.0130353j -0.038505+0.0197956j 0.0107373+0.0183798j 0.0591339+0.0316604j 0.0161276-0.00319188j 0.020137-0.0180183j 0.0209508-0.0522415j -0.00562241-0.0406614j 0.0219588-0.035469j -0.0388293+0.0314073j -0.084169-0.0404453j -0.0339329+0.0540136j -0.101492-0.0398881j -0.0272322-0.0910366j 0.0184265-0.0171734j 0.0281106-0.0230715j -0.0387789-0.0934559j -0.0851981+0.00234209j -0.00244926+0.116996j -0.0123196-0.0151753j -0.0553077+0.0558403j -0.0291257-0.0214668j 
-0.0371977-0.0126032j 0.0535295+0.0741158j 0.0945308+0.346779j 0.169247+0.236243j -0.0277515+0.201309j 0.0206492+0.0228706j 0.0416855-0.0340785j -0.213907-0.0236146j 0.126515-0.0155383j -0.205104-0.010361j 0.0991758-0.0443229j -0.133987-0.0173172j -0.00107303-0.00658126j 0.0248428+0.00252913j -0.00521413+0.00686387j -0.0240304+0.0143092j -0.0443263+0.0300043j 0.0351043+0.0136511j -0.0549013-0.036539j 0.0577122+0.0750312j 0.0562961-0.0717634j 0.0169007+0.012844j 0.0115875-0.0103286j -0.0249526-0.00928617j -0.0354118+0.0986147j -0.00883834+0.040946j -0.0991796-0.0186653j 0.00336538-0.031794j -0.0531233-0.113894j -0.0706187-0.0101233j -0.0394079+0.038682j 0.00415404+0.0200433j -0.0286807+0.0318896j -0.0461556-0.00195365j 
0.0153835+0.00103402j -0.0840555+0.0519863j -0.0489179-0.108519j -0.279846+0.0711663j -0.25469+0.33841j 3.05491e-05-0.000340679j 0.000581013-0.010164j 0.0628479-0.0291912j -0.0482306-0.0627551j -0.0163841+0.0691356j 0.160068-0.0591486j -0.256552-0.0429531j 9.92211e-05-0.00558902j 0.00996574+0.000617567j 0.00287417-0.00558704j 0.00782051-0.0119181j 0.0139313+0.00453332j 0.00591742-0.00484557j 0.00960378+0.0195723j -0.0247294-0.0294488j -0.0146197+0.0248579j -0.00331643+0.00582982j 0.0324317+0.0320202j 0.0692223-0.0310993j 0.0392321-0.0279922j 0.107671-0.037403j 0.0510299+0.104153j 0.00216235+0.121824j -0.0368966-0.000884662j 0.0304987+0.0171113j -0.0537702+0.0528815j 0.0389343+0.0861697j -0.0372714-0.0423296j -0.0935036+0.0194586j 
0.024049+0.00198765j -0.121404-0.339076j 0.0948746+0.171197j -0.100412-0.131249j -0.0365719-0.0504163j -0.0152276-0.075313j -0.288313+0.0127908j 0.174354+0.0187948j 0.168031+0.119119j -0.058346-0.0107006j -0.0601054+0.0247913j -0.0340883+0.0155689j -0.00111601+0.0178296j -0.096541+0.00540772j 0.0207904-0.0049528j 0.0464257-0.0014475j 0.0428495-0.0817644j -0.0574121-0.082857j -0.056309+0.018986j 0.0796781+0.0805281j 0.00427933-0.0432848j 0.082465-0.0436539j -0.0117117+0.0446542j -0.0125613+0.0416618j 0.036711+0.00238257j -0.0457321+0.0347219j -0.0133712-0.0152602j -0.0182332-0.0548362j 0.00528573+0.0428716j 0.0264836-0.0101231j 0.0116768+0.0209663j 0.003882-0.00324486j -0.0186967-0.0200154j 0.00418654-0.000361208j 
-0.0129614+0.0212797j -0.0984228+0.0466203j 0.557066-0.00509834j 0.0977927+0.0427878j -0.0117277-0.0225921j -0.00676641+0.00255572j 0.0204719+0.00525377j 0.0617685-0.0098856j -0.0836072-0.000930422j 0.0650787+0.0108093j -0.0185074+0.00530396j 0.00757145+0.00199596j -0.00267278-0.0134879j 0.0206584+0.00221746j 0.00793121-0.0133272j -0.0191254-0.0465924j -0.0124829-0.0255524j -0.0297242+0.0331962j -0.0246683-0.0388357j -0.100072+0.0992298j 0.124967-0.0115617j 0.118773+0.0483542j 0.000625825+0.0755863j -0.000910558-0.0759653j -0.120817+0.0476578j -0.125986-0.0121481j -0.0981831-0.101053j 0.0254039-0.0382801j 0.0286831+0.0335381j 0.0139062-0.0239508j 0.0194963-0.0481728j 0.00755061+0.0133014j 0.0205814-0.00337166j -0.00237469+0.0134099j 
0.0437714-0.0548756j -0.104306+0.139062j -0.0886607+0.171557j -0.115498+0.336858j -0.019153-0.0084596j -0.0398083-0.0144143j -0.0586816-0.0211573j 0.0598098-0.00904203j -0.167182+0.119598j -0.169392+0.0171426j -0.293005-0.00945571j -0.00649856+0.075762j -0.00356929+0.00169268j 0.0188143-0.0212018j -0.00611912-0.00244633j 0.00966211-0.0217832j 0.0269464+0.01018j 0.0051709-0.0417236j -0.0162053+0.0521711j 0.0105716-0.0130066j -0.0424151-0.0335846j 0.0373811-0.00101376j 0.0104598+0.0384361j 0.00879817+0.045607j 0.0808578+0.0450392j 0.00118604+0.0419906j -0.0792824+0.078004j -0.0574579-0.0214086j -0.0568212+0.0835794j 0.0390307+0.0820752j 0.0465413+0.00209629j -0.0213725-0.00817516j 0.0955861+0.00529219j 0.0048827+0.0171096j 
0.263111+0.344402j -0.265999-0.066358j 0.045218-0.100731j -0.0721464-0.0520422j -0.00884504+0.00229341j -0.257841+0.044646j 0.16948+0.0601724j 0.0184532+0.068304j 0.0450296-0.0677587j -0.0564693-0.0299022j 0.00550235+0.0110276j 0.00213773-0.00125302j 0.0954381+0.019742j 0.0427238-0.0400469j -0.0410428+0.0854829j -0.0559414-0.0550009j 0.0242403-0.0140404j -0.0378983+0.00664654j 0.00453765-0.120688j -0.0494059+0.104407j 0.110065+0.0390462j 0.0347198+0.0263971j -0.0668744-0.0330472j -0.0341404+0.0295111j -0.0058917-0.00617638j -0.0117837-0.0235033j 0.0230629-0.0292489j 0.00979862-0.0180848j 0.00820681+0.00152186j 0.0102495-0.00680087j 0.00712192+0.0105005j -0.00325455-0.00550454j -0.0108545+0.00196331j -0.00023726-0.00634093j 
0.0154492+0.196625j 0.176495-0.23445j -0.0895029+0.351563j 0.0526242-0.0676437j 0.0340039-0.00685806j -0.125049+0.0166283j 0.0994181+0.0400492j 0.200276-0.0126856j -0.129952-0.0149127j 0.216699-0.0221597j 0.0436961+0.0326349j 0.017829-0.0235009j 0.0442233-0.00393591j 0.028906+0.0329249j -0.00105235+0.0164394j -0.0359051-0.0370976j -0.0721929+0.00855611j -0.0514968+0.114217j 0.00321408+0.0330219j 0.100274-0.0222257j -0.0115752-0.0427313j -0.0345419-0.0977303j 0.0266617-0.00614104j -0.00803766-0.0100908j 0.0161666-0.011329j 0.0566993+0.073813j -0.0602003+0.0761694j -0.0552314+0.0387842j 0.0350049-0.0131799j -0.0423248-0.0296448j -0.0243911-0.0161179j 0.00587058+0.00870716j -0.0243651+0.00275104j -0.000903555-0.0059814j 
0.0320307-0.0866731j -0.341889-0.0375001j 0.0602289+0.155166j -0.118611-0.00428885j -0.00729095+0.00805728j 0.0970649+0.0128132j 0.0830659-0.01513j -0.0169181-0.0546897j -0.118323-0.0367411j 0.167945-0.00178579j 0.0944501-0.00416358j 0.0153272-0.031554j -0.0286375+0.0225184j -0.054227-0.0539179j -0.0154578+0.016797j 0.000602038+0.114571j 0.0850144+0.00671419j 0.0377049-0.0938035j -0.0261872-0.0225854j 0.016563+0.0200669j 0.0301844-0.0884371j 0.100719-0.039844j -0.0347179-0.0581302j -0.0875425+0.0393494j 0.038562+0.0319847j -0.0215376-0.036719j -0.00577793+0.0410763j -0.0194877-0.052403j -0.0194606-0.01831j -0.0157923-0.00541278j -0.0585757+0.0329319j 0.0102869-0.0188517j -0.0387113-0.019138j 0.01414-0.0136841j 
0.341149-0.329305j -0.0745163+0.283828j -0.00166733+0.0199873j -0.0150895+0.0479984j 0.0166133-0.00317928j -0.0708383+0.015151j -0.126553+0.0724906j 0.23174-0.0478475j 0.0988919+0.0190454j 0.112087-0.0113857j 0.0321261+0.061453j 0.0210739-0.00694224j -0.0037694+0.0866563j 0.0147386+0.0144877j -0.0856342-0.00113719j 0.0513254-0.067682j 0.0221204+0.0430428j -0.0272887-0.00669021j 0.0851324-0.00319696j -0.0693384+0.0196871j 0.0235602+0.104058j -0.011012+0.0277332j 0.00673386-0.0763665j -0.0668136-0.0465079j 0.00350691-0.000581478j 0.0101296+0.0138155j 0.00534826+0.00849984j 0.0299298-0.000538956j 0.00303951+0.000544414j -0.0174951-0.016829j -0.0321373+0.000860739j 0.0103467-0.00217988j -0.0219406-0.0177166j 0.0143008-0.00381498j 
-0.406442+0.0768621j 0.0728571+0.136155j -0.0170403-0.0240259j 0.0274161+0.0379976j 0.00597486+0.00458155j -0.156333-0.0318816j -0.12195+0.137574j 0.261116-0.0281832j 0.12181+0.0156504j 0.103045-0.0201934j 0.00517764+0.0729291j 0.0255045+0.00136775j -0.0276983-0.0439043j -0.0167849-0.0999288j 0.0704817-0.0250574j -0.0475179+0.0996152j 0.0357576+0.050407j 0.140789+0.00322625j -0.0365695-0.0204356j 0.0474017+0.0207764j -0.0232796-0.0579137j 0.00343305+0.0492155j -0.00316388-0.00180446j -0.0429988-0.0394532j -0.00645491+0.0162777j 0.0229293-0.0259268j 0.00304084+0.020756j 0.0564897-0.00967812j -0.0117017-0.018562j -0.0237914+0.00589452j -0.0432197-0.00927612j 0.0177061+0.00050823j -0.00191555-0.0213504j 0.0149698+0.00415724j 
0.154956+0.340257j -0.0564261-0.0114777j -0.0248118+0.00300854j -0.00626666-1.94121e-06j 0.00509981+0.00408458j 0.287485-0.163415j -0.338194+0.0243893j 0.00801528-0.0703676j 0.0724156+0.0996743j 0.0409164+0.0332482j -0.0260761+0.00373477j -0.00292771+0.0123207j 0.00999287-0.0440871j -0.000280465-0.026105j 0.00601751+0.0748447j -0.0477381-0.0328668j 0.0162924+0.0545454j 0.00709038+0.0761786j -0.0179485+0.00808514j 0.00699592+0.0357501j 0.100383-0.00628944j -0.0154064+0.0198113j -0.0254839-0.00551361j -0.0166147+0.000136186j -0.00375629-0.000867833j 0.0145709+0.00416896j -0.0047147+0.00377572j 0.0207016+0.0179551j 0.00123423-0.00529017j -0.0148521-0.00449531j -0.00796005-0.00729256j 0.00106617+0.00364177j 0.00728192+0.000337984j 0.00105339+0.00376875j 
