-0.017067+0.035507j -0.0337267-0.086864j -0.0174537-0.0652903j -0.0110618+0.0291555j 0.00048948+0.0165089j 0.00184833-0.0615457j 0.00117275-0.0210631j 0.00581399-0.0335244j -0.00439592-0.0218689j -0.0165155-0.00731254j -0.00508623+0.0194748j -0.0109054-0.0401669j -0.0389838+0.0498275j 0.09659-0.16583j -0.112405+0.0741552j 0.00623225-0.0505874j 0.0159756-0.00509112j -0.0203221-0.0255249j 0.0263375-0.0286856j 0.0136108+0.020498j 0.0125613+0.0162899j 0.0260287-0.0252076j -0.0241102+0.0168009j -0.00969511-0.00466743j -0.0124139+0.0097558j -0.0136367+0.0470043j -0.00205463+0.00963396j 0.00148365-0.0114802j 0.0292523-0.0125813j 0.00831179-0.0201995j 0.00101319+0.00987946j -0.00409464+0.0150093j -0.0102942+0.0304717j 0.015894-0.0273451j -0.0255469+0.0526794j -0.187412+0.11826j -0.0945673+0.143646j -0.017629+0.0345633j -0.0137423+0.0468434j 0.0119815-0.02589j 0.00151333-0.0191034j 0.0069611-0.00595136j 0.0110747-0.0256503j -0.0121073+0.0190689j 0.00150274-0.00626571j 0.0184409-0.029053j -0.00413806-0.00275912j -0.00772982+0.000871148j 0.00306604-0.00247038j 0.000807652-0.00196969j -0.0121963+0.0127459j 0.00296947-0.005981j -0.00597993+0.00312743j 0.00830185-0.00101571j 0.0136104-0.0154464j -0.00840517+0.00657792j -0.0029518+0.000301716j 0.000791616-0.00150753j 0.00902673-0.00407994j 0.00137777-0.00246189j -0.00407712-0.00115554j 0.00757911-0.00730838j 0.0058293-0.00477825j 0.00242832-0.000555551j 0.0038996-0.00114402j -0.00289826+0.00520814j -0.00250858+0.00332536j -0.0019117-0.00177077j -0.00359951-0.00179827j 0.00157955-0.00201082j 0.0120728-0.00655655j -0.00180689-0.0023549j 0.00659719-0.00797861j -0.00434857-0.000790457j 0.0065495-0.000992712j -0.00557695+0.00935314j 0.000747127+0.00252743j -0.0028949+0.0103957j 0.00254825-0.000492398j 0.00790437-0.00212073j -0.00253894-0.0032156j -0.0124966+0.0115647j -0.0168045-0.000484501j 0.0027498-0.00502651j 0.0247491-0.00278418j 0.0100136+0.0286503j 0.00539772+5.21834e-05j 0.00983476-0.0237368j -0.00117182+0.0147139j 0.00529971+0.0116967j 0.00974064-0.00774382j -0.0132193+0.0236225j -0.0280079+0.031162j -0.0635008+0.112691j -0.0927814+0.0484444j 
-0.0342609+0.0122545j -0.0334473-0.0406322j 0.245994+0.102744j 0.157881+0.000139079j -0.287319+0.159548j 0.0248375+0.141938j -0.0482958-0.0653145j -0.167096+0.191667j 0.0108684+0.0328798j 0.0870983-0.181363j -0.0430753-0.0271188j -0.130215+0.0612919j -0.167586-0.137682j -0.0966515+0.0930352j -0.1026-0.0261862j 0.0484989-0.00500859j -0.015175-1.13444e-05j -0.0552223+0.0248878j 0.0220286+0.0119602j -0.00703592+0.0274656j 0.015982-0.0207998j -0.000870903+0.013529j -0.0179278-0.00490199j -0.00357847+0.0162973j -0.0126637+0.00127421j -0.0134301-0.00464169j 0.0040385-0.0300078j 0.0121209+0.00156085j 0.0237001+0.00403032j 0.0120503-0.00585965j -0.00502879+0.0133367j -0.00140006+0.01021j 0.0127028-0.000906447j -0.00263429-0.00415688j -0.00106286-0.00633355j 0.00209806-0.0236468j 0.00717929-0.011978j 0.0116385-0.00723304j -0.00969997+0.0194484j -0.00395072+0.00323413j -0.00569293-0.00115941j -0.00195803+0.00710992j -0.00193975+0.0166043j -0.00967022+0.00143141j 0.00153233+0.000930422j 0.0117541+0.000891058j 0.00630411+0.00436752j 0.014324-0.00483176j -0.00269502+0.00894371j 0.00827004-0.00379868j 0.00239171+0.004949j -0.0116213+0.0125978j -0.0106335-0.00922737j -0.000959218+0.0186324j -0.00355128+0.00836844j -0.0114421-0.00136802j 0.00470362-0.00011004j -0.00405607-0.00235485j 0.00542157+0.00528958j 0.00873797-0.0109011j -0.00454537-0.0068263j 0.000231503-0.00256119j 0.00916545+0.014989j -0.0116991-0.00685321j 0.014308-0.00359502j -0.0057274-0.00232439j 0.0017756+0.0012321j 0.0117238+0.00595654j 0.000783779-0.000222032j 0.0117843-0.00826279j -0.0100833+0.00176328j 0.011254-0.003315j -0.0064387+0.0032562j -0.00846603-0.00335574j -0.00190672+0.00452749j -0.00698309-0.000171231j -0.000179651+0.000799316j -0.000487743+0.00184767j 0.00193953-0.00907527j -0.00148807+0.00845564j -0.000958471+0.00245596j -0.00649072-0.00393271j -0.00444463-0.00313414j -0.00180736-0.00281718j 0.00308303-0.00764531j 0.00712241+0.0120968j 0.00186029+0.00490517j 0.00310357-0.00410073j -0.00528685-0.00178751j -0.00666469+0.00381147j 0.00109995-0.00404475j 0.00192461-0.00441436j 0.00607099+0.00462388j 0.00130594-0.00809039j 0.000676085-0.0215361j 
-0.0876809-0.0982091j 0.0707767-0.0497301j -0.0135219-0.0892549j -0.146553-0.193304j -0.0220036+0.0283017j -0.00990413-0.0360383j 0.12951+0.195247j -0.205426+0.0251701j 0.083978-0.151506j -0.0158278-0.184266j 0.0521668-0.0819386j -0.109415+0.201721j 0.0537432+0.0521796j -0.0351841-0.0676261j 0.0053113-0.00517141j -0.0347937-0.0475635j 0.0312983-0.00956173j -0.00877668+0.00323559j -0.0187807-0.0320358j 0.00336563+0.0298533j -0.00915217+0.00618386j 0.0334487+0.0349231j 0.00183228-0.0112209j 0.00736924-0.0214716j 0.0105514+0.000683837j -0.0330899-0.0225048j -0.024244+0.0149786j 0.00136544-0.00135367j 0.0157404-0.0115881j -0.00597+0.0101263j -0.0014676-0.00827539j 0.0156705+0.010163j 0.00761633+0.00807406j -0.00969941-0.0147702j -0.00628398-0.00534825j 0.00880133-0.00609607j -0.00704007-0.00309164j 0.00417348+0.00401875j 0.000614976+0.0069397j 0.00782187-0.0100258j -0.0124075-0.00610928j 0.00324343+0.00455639j -0.000249179-0.00524568j 0.0042072+0.0143775j -0.00878706-0.00584814j -0.0053908-0.00354266j -0.00897526+0.00859712j -0.00791558-0.00621932j -0.0210957+0.00226342j -0.016948+0.00818945j -0.00378633+0.00433473j -0.000402065+0.00134616j -0.00450559+0.0105018j -0.00840798+0.0158631j -0.000445214-0.00826876j -0.00280752+0.00271872j -0.00828044-0.014943j -0.000540334-0.00543441j 0.0180884-0.0106705j 0.0117438+0.00558837j 0.00201334+0.000135583j -0.00755753+0.00733061j -0.00479012-0.0188194j -0.0176788+0.00396086j 0.00792595+0.00348857j -0.0148083+0.00870171j -0.00896515+0.00826003j 0.0168318-0.0049155j -5.51484e-05-0.0064378j -0.00440695+0.00450336j -0.00855875-0.0116749j 0.0117276+0.00242961j -0.00480001-0.00317521j -0.00180011+0.00548728j 0.00640293+0.00207497j 0.00494431-0.00322533j 0.0100162+0.00536294j -0.00330556-0.00650237j -0.00375777-0.00598667j -0.00108752-0.00245722j -0.0059208-0.0067298j -0.0040663-0.00656862j 0.00331797+0.00562547j 0.00033762-0.00142326j -0.000145452+0.00509788j -0.00344784+0.00618222j 0.00133518+0.00957532j 0.00268528-0.00396589j 0.00100212+0.000997998j 0.007177-0.000481698j 0.00190702-0.00232244j -0.00216456+0.00216505j 0.0013341+0.00412316j -0.00324787+0.00636766j 0.00581776+0.00239516j 
-0.021469-0.092316j 0.0964871-0.0124465j -0.150433+0.210242j 0.199372+0.120704j -0.091422+0.151215j -0.111071-0.231143j -0.076713+0.172079j -0.083202-0.0391233j -0.0123775-0.185261j 0.0368778+0.157693j -0.170346-0.146315j -0.0822904-0.200225j 0.0806707-0.0491608j -0.0209218+0.000416891j 0.0401359-0.0223643j 0.00829356-0.0390299j 0.0173036-0.0063463j 0.0231302-0.015743j 0.0112332+0.0139987j -0.0268883+0.011944j -0.0131554-0.0172903j 0.0231329+0.0065692j -0.00677471-0.0263259j -0.0226045-0.0129777j 0.0224975-0.00396523j 0.00290477+0.00454396j -0.0154923+0.0292978j 0.0163745-9.8727e-05j 0.00903123+0.00897212j 0.0111198-0.00732102j 0.0136538-0.0220042j 0.00175756-0.0156935j 0.0097465+0.00365594j 0.00799403-0.00597432j -0.00442885-0.000404938j -0.00992645-0.000824762j 0.00542077+0.00541251j 0.00674743+0.0122193j -0.0100577+0.0122018j 0.00325791-0.00783923j -0.00476294-0.00685464j 0.00736682+0.00693524j -0.00784082+0.00548702j -0.0112981-0.00800422j -0.00919978+0.018389j 9.0178e-05-0.0110574j 0.00937724+0.00306094j 1.17088e-05+0.00289631j -0.00532747-0.00388603j 0.00217755-0.0200059j 0.0310919+0.00813436j 0.0105452+0.023562j -0.00293654+0.0153706j 0.0207603+4.11276e-06j -0.00576565+0.00727384j -0.00953441+0.0137694j 0.00313029+0.0106935j -0.00353746+0.014776j 0.0145517+0.00609584j 0.00107259-0.000628015j -0.00381519-0.000347961j -0.00247372+0.0238309j 0.011989-0.00681474j -0.00452172-0.00781299j -0.00734941+0.00400973j 5.79912e-05+0.0144856j -0.00602149+0.0106504j 0.00103548-0.00880888j 0.0127908-0.000923839j 0.00432663+0.00796882j -0.00390944+0.00162861j 0.00930279-0.00900686j -0.000843464-0.00031819j -0.0133446-0.00199296j 0.00377402-0.00192904j -0.000611095+0.00852082j 0.000207651-0.00234828j -0.00609172-0.00150575j -0.0088164+0.00157286j 0.000707489+0.00295102j 0.00222991-0.00121271j -0.00345371+0.000303248j 0.00609507-0.00940664j -0.00304859+4.89488e-05j -0.00424712+0.00243811j 0.000602537+0.00731616j 0.00516728+0.000960914j -0.00498993-0.000215648j -0.00652537-0.00218152j 0.00247096-0.000909523j -0.00495469-0.00237588j -0.00374446-0.00384238j -0.00155205+0.0120138j 0.00200826+0.0115788j -0.00102741+2.73195e-05j 
-0.0793564-0.0124092j -0.183315-0.0946994j 0.0853619+0.0235726j 0.0473964-0.0993011j -0.0594007+0.0716359j 0.0298427-0.0734107j 0.103238+0.124923j 0.0100148-0.000296592j 0.0758138+0.125605j 0.0411386-0.0569359j 0.140946-0.0180399j -0.0476922-0.0133714j -0.0138638-0.107078j 0.036609-0.110152j -0.027891-0.060922j -0.0254024+0.00688089j -0.0857039-0.0180693j -0.00816628+0.00171402j -0.0089557-0.00316298j 0.0321753-0.0170366j -0.00939077-0.0155147j -0.0203774+0.0228641j 0.00972312+0.0152189j -0.00999005+0.00179097j 0.0203591-0.00918467j 0.0158934+0.0265272j 0.013551+0.000325674j -0.00126672-0.00374103j 0.0110243-0.018095j 0.00397262-0.00186239j 0.00262574+0.0148923j -0.00417429-0.0122762j 0.000235917+0.00482859j -0.0111438+0.0093506j 0.00252777+0.000514489j 0.00738539+0.00901035j -0.00803994+0.00246369j -0.00627194+0.0162768j -0.00346905+0.0100494j -0.0073897-0.00704546j -0.00543411-0.00115118j 0.0114875+0.00280895j -0.00152907+0.0035365j 0.0016599-0.00785431j 0.0039993+0.0063114j 0.0106408-0.000152414j 0.0114148+0.00668979j -0.0103712+0.0188807j 0.00357294+0.00575531j 0.0132475+0.00250732j -0.00632239+0.00596468j -0.0294584+0.00271226j -0.0153369+0.00119947j -0.00918323+0.0067467j -0.00296892+0.00930489j -0.0129086+0.00640677j 0.0128071-0.000525683j 0.00331402+0.00491047j -0.00396781-0.00931463j -0.00332915+0.00843482j 0.00471238-0.00293352j 0.0101144+0.00267208j 0.0179155-0.0119115j 0.0137877+0.00324839j -0.0168509+0.00914598j 0.000902141+0.0108742j 0.000457994-0.00647871j -0.00689611+0.00492996j 0.00384398+0.000456346j -0.00549409-0.00852336j -0.000137778-0.00299958j -0.00452978-0.00327048j 0.00561426+0.00664266j -0.000348447-0.00499746j -0.00417448+0.0043973j 0.00435215+0.00358902j -0.011417+0.00753323j 0.0013433+0.00172949j 0.00378624+0.00092296j -0.0075208+0.0038803j -0.00221698-0.00227192j 0.00589433+0.000386102j -0.00111585-0.000794985j -0.00796082+0.00118419j -0.00131045+0.0061789j 0.00533282+0.00121923j -0.00019366+5.6367e-05j 0.00271505-0.00261292j 0.000563844+0.00317899j 0.000419814-0.0021212j -0.00307927+0.00217257j -0.00220472+0.00354156j 0.00319615+0.00546665j 0.000413948+0.0136396j -0.00853084+0.00349411j 
-0.0227682-0.166836j 0.267844+0.00082673j 0.15162+0.110499j -0.00267786-0.176715j 0.359875-0.186348j 0.010681-0.0541136j 0.252135+0.219602j -0.0628749-0.0333047j -0.0911834-0.0724445j -0.0672965+0.0269956j -0.0198735+0.0517095j 0.0110956-0.0572749j -0.00606737+0.0138616j -0.04893+0.0658231j -0.0301362+0.0419091j 0.0050182-0.0646749j 0.0972815-0.0071791j -0.0419684+0.00537672j -0.000484462-0.0229908j 0.0251325-0.0304005j -0.0352249+0.0271263j 0.0456366+0.0291809j 0.0128112+0.0206732j -0.011746-0.0121829j -0.0104818-0.0174439j -0.0142751+0.0183858j 0.0227633+0.0104898j -0.00246955+0.0115303j -0.00499311+0.0207692j 0.00360465+0.00427228j -0.0130272+0.00583741j 0.011405+0.00366121j -0.00716798+0.00344276j 0.00445391-0.00910316j -0.00169208+0.00475917j -0.00381278-0.00949805j -0.00297327-0.00251874j 0.00645528-0.00676758j -0.00307318-0.0046587j 0.0143663+0.00803653j 0.00580108-0.0120666j -0.00309581+0.00815766j -0.00744112+0.0122331j -0.000755988-0.00492479j 0.00344851-0.0123611j 0.0114245+0.00130723j -0.00431722-0.00331692j 0.0107581-0.00878528j 0.0136782+0.00470473j 0.00413764-0.00354249j -0.00283365+0.00682603j -0.00549952-0.00606239j 0.000286123-0.0131294j 0.00139078+0.00662009j 0.0109175+0.0155425j 0.000650665+0.00457237j -0.00736816+0.0039554j 0.00331728+0.0100182j -0.0165469+0.00207921j -0.00743708-0.00129376j -0.00682321-0.0142784j -0.00608027-0.0113627j 0.00144027-0.000352835j 0.0135669+0.00282876j -0.00138623+0.00177863j 1.43042e-05+0.0104853j 0.00288504-0.00117943j -0.00658202-0.00796096j 0.00285135-0.00623639j 0.00480688+0.00598185j -0.00140633-0.00226874j 0.000375718-0.000411224j -0.00665697+0.00230189j 0.00213214+0.000243498j -0.00528066+0.00124652j -0.000468707-0.00413001j 0.00317092-0.00581238j -0.0025967-0.00202831j 0.00325734-0.00499544j -0.00369653+0.00293674j -0.00223057+0.00472931j -0.00379903-0.0037269j -0.00121432-0.00123789j 0.00408581-0.00139187j 0.00172176-0.00561525j 0.00318918+0.00600428j 0.00182811+0.0039097j 0.00383472+0.00215304j -0.00378892-0.00115733j -0.00459709+0.00610651j 0.0047017-0.00228142j -0.000103484-0.00743065j 0.000356557+0.00137787j -0.000606888-0.0109081j 0.00109503-0.000113479j 
0.159594-0.121831j 0.0185805+0.0558578j 0.0557113+0.117545j 0.0150092+0.0234811j 0.0435434-0.317072j 0.0532263-0.0262621j -0.151093+0.0895617j 0.0179296-0.0111625j -0.122369-0.0847317j 0.0573766-0.00941955j -0.0377913+0.00180984j 0.111896+0.0537725j -0.0195524-0.135661j -0.073526-0.0677241j -0.0593327-0.0867093j 0.0707526-0.0666141j 0.0275854+0.0264057j -0.00242364-0.0247116j 0.0032234+0.030598j 0.00440611-0.0241525j 0.0181647+0.00843612j 0.0128003-0.0136976j 0.0168093+0.00399987j 0.0162136+0.00724293j 0.00886377+0.0087347j -0.0224685+0.00785027j 0.00357769+0.00969706j 0.0132438+0.000864493j 0.0151205+0.0140581j 0.00153761-0.000533935j -0.00992806-0.0154237j 0.00697767-0.00552286j -0.00299116+0.000922679j -0.0172976+0.024806j -0.00629664-0.00560841j 0.010743-0.00253296j -0.00567866-0.0107089j 0.0121214-0.014302j 0.00225374+0.0299953j -0.00705061+0.00164444j -0.000465315-0.000772426j 0.00451034-0.00725523j 0.00767982+0.00120297j -0.00162788+0.00303714j 0.00440479+0.000999832j 0.00182336+0.00680205j 0.00476111-0.0141748j 0.0179892+0.0153316j 0.0056336+0.00650179j -0.00196741+0.00202937j 6.44517e-05-0.00744635j 0.0089664-0.0111079j -0.0031127-0.000518116j -0.000102587-0.00803969j -0.00314608+0.00154251j 0.00501204+0.00067016j -5.92457e-05+0.0240397j -0.00374004-0.00193202j 0.00655636+0.0179502j -0.0148055+0.00468407j -0.000490342+0.0144349j -0.00441629+0.0152625j 0.011395+0.0123513j 0.000662773-0.0137086j -0.00919037-0.0106802j -0.00574469-0.0127996j 0.0009776-0.00217472j 0.00029706-0.00172555j 0.0039598-0.00871818j 0.00115858-0.00480652j -0.00081791+0.0028921j 0.00109752+0.00492591j 0.00654873-0.00907897j 0.00319522+0.0138331j -0.00248296-0.00168887j -0.00117235-0.00228808j -0.00950047-0.00258669j -0.00758399+0.00070753j -0.00264519-0.00539615j -0.00433156-0.00329241j -0.00360619-0.00527565j 0.00377571-0.00215967j 0.000136434+0.00626715j -0.00582422-0.00857083j -0.000957686-0.00150018j 0.000768015+0.00505813j -0.00308877+0.00347257j 0.000372693-0.00278588j 0.000295819-0.00152615j 0.00085533+0.00220827j -0.0015275+0.00192216j 7.51154e-05+0.0041864j -0.000628873-0.00166236j -0.00549895+0.00252414j 0.00327898-0.0157948j 
-0.131588-0.0728346j -0.00524201-0.186237j -0.00179565+0.136533j 0.202699-0.0340314j 0.158286+0.131515j 0.00452166+0.20604j 0.0211895-0.209407j -0.159277-0.0451368j 0.0954437-0.0059352j 0.164101+0.0141049j 0.00740358-0.103396j 0.232297+0.0329036j 0.0191154+0.058775j 0.0457849-0.0478677j -0.0265773-0.0275881j -0.0925993-0.0246933j -0.00392303-0.0938923j -0.00733233-0.0509478j 0.0275276-0.0224504j 0.0285864+0.00916999j 0.0138203+0.013681j 0.00654938+0.00585255j 0.0168123+0.0309952j 0.00138283+0.0146247j -0.0215107-0.00629108j 0.00536633-0.00631967j -0.00259896-0.0066173j -0.00103165+0.0153751j 0.0183767+0.0265677j -0.0152915-0.00210413j 0.0110938-0.00509171j 0.0113681+0.0153178j 4.06322e-06+0.000554337j -0.0137927+0.00890455j -0.000996585+0.00997836j 0.00450494+0.0232778j 0.0123174-0.00468322j -0.0184364-0.0205025j 0.0192595-0.0175355j -0.0169998-0.00143943j -0.00303039+0.001253j 0.00323256-0.00324265j -0.000296137-0.00357037j -0.00322699-0.00819944j 0.00245635-0.00201076j -0.00256472-0.00578705j 0.00387259+0.00567039j 0.00853277+0.00931675j -0.00721988-0.0111498j 0.00143175-0.0101416j 0.0123618+0.00977538j -0.0101323+0.0198618j -0.0023863+0.000298771j 0.00210252+0.00726641j 0.00367585-0.0054748j -0.00913972-0.0104993j 0.0034454-0.0160643j -0.00186326-0.0139583j -0.02306-0.00582044j 0.00853354+0.00714327j -0.00442876-0.00134j -0.000143077-0.0199765j -0.00204337+0.0063733j 0.00894283-0.00479711j 0.00582419-0.00388518j 0.0159865-0.00866956j -0.00179408-0.0120196j -0.00397577-0.00235718j -0.00236476-0.00696041j 0.00929774-0.00571963j 0.0139838+0.00435549j -0.0108406+0.000483236j 0.0115808-0.00101186j -0.000593206+0.00201049j 0.00166867+0.00452338j 0.00607652-0.00143666j -0.00463224-0.00143911j 0.00149934-0.00205823j -0.000869548-0.00470599j 0.00927084+0.0011024j -0.00274194-0.00073331j 0.00229475+0.00373634j -0.00779853+0.00045983j 0.00701641-0.00237056j 0.00571393+0.00277812j -0.00326475+0.00299155j -0.00584757-0.000162576j 0.00128802-0.000751094j 0.0073591-0.00130607j 0.00550657+0.00277904j 0.00159435-0.000167245j 0.0041141-0.00158455j -0.00335134-0.00370097j 0.00756053-0.00843545j 0.0047566+0.0123394j 
-0.0267804+0.0506141j -0.0809544-0.0987899j -0.106359+0.00767906j -0.145376+0.0806933j -0.0695383+0.222985j -0.044529+0.00227871j 0.116376+0.0563961j 0.128172-0.026816j 0.0224327+0.0670988j -0.050391-0.0079983j 0.00779153+0.0485651j 0.118803+0.0187578j 0.0203901+0.0108944j -0.0182467-0.0293834j -0.0509349+0.0139832j -0.00167669+0.027811j -0.0535406-0.0422924j 0.0209048+0.033919j -0.0561909+0.0313317j 0.0126836+0.015989j -0.00754762-0.0207993j -0.00969625+0.00692744j -0.02499+0.0175101j -0.023753-0.0119007j -0.0064189-0.00846832j -0.0027195+0.00980187j -0.00239345+0.0113905j 0.0112293-0.0113707j -0.00916815+0.0329941j -0.00805378-0.0030795j -0.00541319+0.016519j 0.0156016-0.00416404j 6.02182e-05-0.0116171j -0.0129809-0.014706j -0.00209661+0.00290471j 0.00549712-0.0109582j 0.00644685+0.0093891j -0.00773945+0.00757568j -0.0137225-0.00473173j 0.00293405+0.0017618j 0.0101355-0.0147174j 0.0106943+0.00072286j 0.00252279+0.0147367j -0.00568209+0.00492179j 0.00781755-0.00318089j 0.00767335-0.00782638j -0.0177132-0.0127617j 0.0200149-0.0017599j -0.00167197-0.00491004j -0.00411514-0.00829854j 0.00327397-0.00501496j -0.012345+0.000584983j -0.00682513-0.00140562j -0.0032692-0.00765455j 0.0174652-0.00495914j 0.0102534-0.0121647j 0.0205192-0.0105075j 0.0124466+0.000154982j 0.0124123-0.00541518j 0.00502136+0.00501792j 0.000780252-0.00209078j 0.000311493-0.00424928j -0.0110016+0.000844649j -0.0077076+0.00298211j -0.00152396-0.00549666j 0.00418405+0.0082743j -0.00182708+0.00379718j -0.00444795-0.0104951j 0.00576776-0.00321732j -0.00484379+0.00473547j 0.0112038-0.00582705j -0.0018624-0.00758103j -0.0069747+0.00754832j -0.00444322-0.000338368j -0.00197367-0.00238585j 0.00756548-0.00104189j 0.00147954-0.00853356j 0.00367454+4.82263e-05j 0.00155026-0.00401845j -0.00753882-0.000538767j -0.00595507+0.00225838j -0.0018565+0.00446019j -0.00362454+0.000515053j 0.00347568-0.00582813j 0.00362982-0.00174639j -0.000416981+0.00807651j -0.000181013+0.000830302j 0.00296456+0.00194512j 0.000282057+0.000498502j 0.00185+0.00237436j -0.00252735-0.00335236j 0.000821572-0.00157228j 0.00170289+0.00420635j 0.00326072+0.00392808j -0.00242567+0.000925692j 
0.135854+0.018735j -0.0675725-0.0290438j 0.0282582-0.121028j 0.17151+0.0642687j 0.00073488-0.156282j 0.0485123-0.0297736j -0.027449-0.0161818j 0.0912232+0.0223115j -0.0394661+0.0422568j -0.00168661-0.0137853j -0.0303299-0.063355j -0.0229548+0.0428478j 0.0699784+0.0429712j -0.0506671-0.078622j 0.0326393-0.0578624j 0.0802616-0.0162117j -0.0397394+0.0101158j -0.00692018+0.0368767j -0.00291485-0.0322666j 0.0154835+0.00945809j -0.0112094+0.0280979j -0.00537119-0.0157608j 0.000934355-0.00863078j 0.000873177-0.00718559j 0.0124685-0.00369182j 0.00716572+0.00710984j 0.0107291-0.0155544j -0.000955122-0.00605495j -0.000225531+0.0129524j 0.000832822-0.00141806j 1.78469e-05+0.00533287j -0.00917792+0.00184721j 0.0047057-0.00199573j -0.00718146-0.00594645j -0.0177533-0.00297863j -0.0176719+0.021518j -0.0126636+0.0130791j 0.00759214+0.00779786j -0.00709183+0.0280855j -0.0242876-0.00148828j 0.00959969+0.021855j -0.00190305+0.00465581j -0.00196247-0.014215j 0.0031301+0.00203293j -0.0102498+0.0102455j -0.00303099-0.00736164j -0.00538412+0.0145839j -0.0112178+0.00474262j 0.00799396+0.00181624j 0.00298308+0.00615085j -0.00301107-0.00214829j 0.00715743+0.00646676j -0.00171285+0.0136555j 0.00160986+0.00671137j -0.00628568-0.0145915j -0.000749863-0.000632615j 0.000367018-0.00706568j -0.00482663-0.0116006j 0.00904397-0.00441707j -0.0148655+0.00802033j 0.00344311+0.00641106j -0.00189558+0.00279183j 0.0111118-0.00228392j 0.000571642+0.000711136j -0.00828246+0.0060594j -0.00904164-0.00510623j -0.00466214-0.0011286j -0.00399644+0.00432397j -0.00832599+0.00360739j 0.00971202+0.00391039j 0.00279253+0.00723639j 0.00420699+0.00138393j 0.00110723+0.00145425j 0.00541509+0.00392879j 0.00692505-0.00169492j -0.00215898+0.00100497j -0.00304324-0.00688344j -0.00346707+0.0022199j -0.0031421-0.00256456j 0.00163158+0.00360582j 0.0031138-0.00216562j -0.00173106+0.00209637j -0.000517258+0.00177765j 0.0069912-0.000144671j -0.00202675-0.000720459j -0.011345-0.00789299j -0.00467563-0.00448264j -0.00170185-0.00813409j 0.00180121+0.00515844j 0.00321928+0.00489337j -0.00304427+0.00481773j -0.00176571+0.00709478j -0.00339463+0.00158885j -0.00379537+0.025291j -0.0145543+0.00190939j 
0.13836+0.0237228j 0.149822+0.027904j -0.0042582+0.18103j -0.196453+0.0984678j 0.144972+0.0499186j -0.0260475+0.0893147j 0.073351+0.0204549j 0.0923634+0.0875512j 0.00121571+0.00209117j -0.0559886+0.110919j -0.0579322-0.0387451j 0.0115426+0.0452556j -0.0445048-0.00452947j -0.0190829-0.0193096j -0.0889413-0.0584758j 0.0541163-0.000500097j 0.0614128-0.0135775j -0.019935-0.0338123j -0.00762568-0.00220121j -0.0320394+0.0028987j -0.0313827-0.00850826j 0.0154104-0.00286727j -0.00797299+0.0043864j -0.00387006-0.00576792j -0.0116698+0.00316229j 0.0103913+0.00178805j 0.00462722-0.00470515j -0.0109543+0.00248059j -0.0278184+0.0133732j -0.00270058-0.000498865j -0.00274392+0.0074336j 0.00379887-0.000582074j 0.0109788-0.00395822j 0.00439435-0.0164j -0.00346874-0.00743748j 0.0263244-0.0108608j -0.0069626+0.00328168j -0.00925648-0.0217374j -0.00664641-0.00227161j 0.0199198+0.0211282j 0.0141106-0.0109934j -0.016958+0.0164993j -0.0100798-0.00981756j 0.00078009-0.00651814j -0.00157811+0.00704705j -0.00208757+0.00870955j -0.000492433+2.66832e-05j -0.0168462+0.00107674j -0.00405789+0.0153709j -0.0109868+0.0110974j 0.00479749-0.0110949j 0.00421989-0.00170667j 0.00211176+0.00649323j 0.00136784-0.00491281j 0.0143362-0.000825714j 0.00336592+0.00235738j 0.00164058-0.00551686j 0.00932028+0.00523344j -0.00488697+0.000648462j -0.00630152-0.00517985j -0.014663-0.00441962j -0.011757-0.00962082j 0.00123117+0.00201837j -0.00159823+0.00616961j 0.0102679+0.000598273j 0.00156702+0.00275677j 0.00222398+0.000432916j 0.00574858+0.00137792j 0.00240849-0.00026897j 0.00458453-0.00138028j 0.00207594-0.0022889j 0.00297497-0.00455147j -0.00252583+0.00843275j 6.62503e-05-0.00174548j -0.000394877+0.000287949j -0.00122839-0.00330983j 0.00398115-0.00567798j -0.00157195+0.0024918j -4.99228e-05-0.00308779j -0.00241747-0.000239247j -0.00288556+0.00531175j -0.00464124+0.00584249j -0.00149593+0.00011384j 0.000376023-0.00444759j 9.08961e-05-0.00537938j 0.00155015-0.000548592j -0.000217293-0.00670063j 0.0031745+0.00174286j -0.000599452-0.00543593j -0.000909408+0.00640515j 0.000150483+0.000645777j 3.91895e-05-0.000652465j -0.000348363-0.00734646j -0.0147856-0.00135989j 0.00521317-0.0215951j 
