0.0108356+0.0732096j 0.0799538-0.224492j 0.0287342+0.0253975j -0.0314032+0.0048234j -0.102062-0.0078696j -0.193768-0.0954536j -0.294921-0.0110932j -0.0754042-0.0145639j 0.0176271+0.00746569j 0.0191924-0.0231378j -0.00789454-0.0205091j 0.00508071-0.000332874j 0.164572-0.0762609j 0.0267702-0.0191402j -0.0888702-0.101571j -0.0312858+0.158657j 0.120941-0.150251j 0.132608+0.07244j -0.0343005+0.191061j 0.0118173+0.145709j -0.0324448+0.0778309j 0.0353415+0.0189298j 
-0.0466015-0.0338543j -0.0846919+0.112421j 0.0480301+0.0898207j -0.00621175-0.0084206j -0.10005+0.00428309j 0.103074+0.0575319j -0.163498+0.0498218j -0.0602509-0.0196109j -0.0165479-0.0137904j -0.035641+0.00724667j -0.0331828+0.00400827j -0.0754397+0.0318374j -0.0592219-0.0439933j -0.00936449-0.0620546j 0.0764865-0.137299j 0.120295+0.138768j 0.0533388-0.164174j 0.0489166+0.0320304j -0.103454+0.215313j 0.0595076+0.136533j 0.0390768+0.0679784j 0.0258215+0.00635587j 
0.0797399-0.043819j 0.105376-0.000168225j 0.0770389+0.0420011j 0.17307-0.263216j 0.0220005-0.221348j -0.00909261+0.000932427j -0.0293106-0.221424j -0.175101-0.257722j -0.0293207-0.128964j -0.0355625+0.0321382j 0.1099+0.00925994j -0.0375198-0.0590808j 0.0711706-0.0464438j -0.035837-0.0518035j 0.00941787-0.00070268j 0.0104934+0.000896863j -0.0361672+0.0512161j 0.07044+0.0458908j -0.033373+0.0608839j 0.110627-0.00829999j -0.0338985-0.0290357j -0.0307221+0.127164j 
0.075211-0.0584588j -0.00029744-0.00453472j -0.0577059-0.0739669j 0.230754-0.224969j 0.121039-0.0686208j -0.00229829+0.013682j 0.0995249+0.104644j 0.163153+0.277217j -0.0222692-0.142734j -0.0948704+0.0476823j 0.0879094+0.0276118j -0.0295107-0.0686818j 0.0615241+0.00977546j -0.000309065-0.0430735j 0.00452082+0.0151564j -0.0098568+0.0146727j 0.0132864-0.0417166j -0.0617926-0.00723976j 0.0410637-0.0594304j -0.0940896+0.00307384j 0.0791653+0.066843j 0.0585065-0.132094j 
0.0478631-0.198544j 0.0571503+0.00359601j 0.047428+0.199474j 0.0547547-0.0827205j 0.040985-0.0144111j 0.00925256+0.000729148j -0.0416185-0.0151252j -0.0540184-0.0836552j -0.0242523-0.0618258j -0.101297+0.0593052j -0.012942+0.0279676j -0.0215501-0.00107402j -0.0559267-0.0435886j -0.0714771+0.0330182j -0.0968476+0.0626869j -0.0980322-0.0619793j -0.0723149-0.0332759j -0.055391+0.0445309j -0.021806+0.00136471j -0.0136488-0.0276098j -0.10435-0.0587992j -0.0233063+0.0624056j 
0.0930548-0.183525j 0.000499263+0.175003j -0.0988215-0.182942j 0.0188831-0.00775152j 0.116886+0.030209j 0.00118753-0.0319076j 0.114154-0.0350833j 0.0178003+0.00822583j -0.0351874-0.0372721j -0.156+0.0312753j -0.0768597+0.0526252j 0.0149457+0.0837537j -0.112765-0.00819211j -0.0949401-0.097149j 0.00250971-0.0467098j -0.00389531-0.0525654j 0.0893681-0.0971279j 0.106939-0.0167374j -0.0109377+0.0839135j 0.0801755+0.0455451j 0.160027+0.0268129j 0.0296281-0.0396887j 
0.0177428-0.0399318j 0.0742438+9.79876e-05j 0.0162234+0.0396597j 0.00450429-0.00200226j 0.0838762-0.0192377j -0.389251+0.000379543j -0.0828256-0.0186131j -0.00464854-0.00195631j -0.0172747-0.00851634j -0.0108374+0.0198576j 0.000187141+0.0457931j 0.00246665+0.0354929j -0.0854705+0.173046j -0.0772231-0.275048j 0.0428367-0.0422292j 0.0406785+0.0392524j -0.0775383+0.280459j -0.0868705-0.17052j 0.00144643-0.043497j -0.00232441-0.0463564j -0.0128067-0.0226566j -0.0169409+0.00946009j 
0.0446336-0.0921792j -0.086129-0.107698j -0.0452949+0.0364342j 0.065298-0.0192242j 0.162943+0.0505148j 0.102882-0.0593468j 0.0971541+0.00225192j 0.00331003-0.0100866j 0.0285658-0.00928454j 0.0385951-0.0627283j 0.055437-0.142596j -0.104903-0.207514j 0.0502637-0.0466674j 0.0541171+0.164477j 0.117723-0.142764j 0.0802427+0.141193j -0.00694396+0.0556156j -0.0544787+0.0465577j -0.0777689-0.0275311j -0.0319778+0.00132186j -0.0367032-0.00535035j -0.0143153+0.0149656j 
-0.0348277+0.0180252j -0.0464674-0.233208j -0.021886+0.0769123j -0.0831192+0.00134371j -0.293929-0.0346336j 0.203406-0.067779j -0.0992996-0.00805082j -0.0260248-0.00982162j -0.0400207+0.016189j 0.0229422+0.0755124j -0.0289911+0.147599j 0.00796459+0.182811j -0.140291+0.0625463j -0.0955748-0.164774j 0.00659711+0.167403j 0.101324-0.0870512j -0.0232971-0.0168182j -0.155103-0.101882j -0.00569484-0.00710126j 0.00897323-0.0230609j -0.0184095-0.0264982j -0.0184953+0.00498098j 
0.042153+0.132951j 0.0265155+0.0353565j 0.12635-0.00715191j 0.07978+0.0748516j 0.0421739+0.10189j 0.0889437+0.146789j 0.140736+0.175295j -0.0408332-0.0221893j -0.145028+0.0756493j 0.0707476-0.0238537j 0.0770061+0.0934519j -0.0625799-0.0983276j -0.0265755+0.0819904j 0.0869708-0.0277495j 0.0468101-0.0730414j -0.0736366+0.00490762j 0.0420009-0.0190748j 0.055347-0.0225466j -0.0914254+0.0296677j 0.0167459-0.0208647j 0.012645-0.123283j -0.0394109+0.0143074j 
0.0542793+0.0770274j -0.0286149+0.120851j -0.150138+0.00234012j -0.0155222-0.0398762j 0.0242667-0.0537301j -0.137353-0.195705j -0.103248-0.175652j 0.0409457+0.024942j -0.1356+0.0446035j 0.0747705-0.0952162j 0.144638+0.135054j -0.0266475-0.177515j -0.000279139+0.00482363j -0.0229241-0.00828943j -0.0263918+0.144698j 0.00980851+0.0803248j 0.00195742+0.0518203j -0.040275+0.0468383j 0.107785-0.0105244j -0.0152036+0.0120733j -0.00235771+0.110593j 0.0338596-0.0124358j 
0.0609715+0.000316369j -0.00550554-0.0942208j -0.0124103-0.0372735j -0.191543-0.122772j -0.0724068-0.147354j 0.159943+0.221703j -0.00920554-0.0170643j 0.0249837-0.00681495j -0.0715976+0.0461462j -0.000283019-0.156457j 0.139202+0.134745j -0.024758-0.167623j -0.10989+0.120635j 0.0406778-0.0262613j 0.107976-0.0468348j -0.030165-0.0483328j -0.100425+0.0199367j -0.0612094+0.0875446j -0.000891504+0.0284542j -0.00882718-0.0174806j -0.00396498+0.00958884j 0.00207601+0.00313724j 
0.119842+0.132966j 0.0748926+0.071718j -0.113382-0.0426762j 0.235683+0.00361406j -0.0361597-0.17439j 0.161818+0.15938j -0.0527941-0.0789458j 0.0317085-0.00280624j 0.0212382-0.0761624j 0.0295837+0.0712462j -0.063388-0.12382j 0.036982+0.187662j -0.032681-0.0506148j -0.0135482+0.0107959j 0.0327866-0.00575971j 0.100394-0.110645j -0.115563+0.0337129j -0.020708+0.0837204j 0.0564723+0.0308922j 0.00325213+0.0136227j -0.004326+0.0923718j 0.031294-0.000555603j 
-0.144102-0.211198j 0.235409+0.150413j -0.0903289-0.00627582j -0.224109-0.0998455j -0.306316-0.0503028j 0.0625305+0.0509679j -0.118131-0.0396245j 0.00891318+0.00137192j 0.0796658+0.00629168j 0.1221-0.0717264j 0.0790595+0.0326727j 0.00534261+0.00948512j 0.147255+0.0452939j 0.163107-0.0139055j -0.00247628+0.0448881j 0.0946907+0.00785495j -0.0124195+0.0304343j 0.0369107+0.0505168j 0.0812421+0.00290609j -6.50694e-05+0.0212903j -0.0159201+0.0882969j 0.0285952+0.00824538j 
-0.12976+0.0771456j -0.210923+0.000791944j 0.0740297-0.0313522j 0.123468-0.236776j -0.021336-0.154866j -0.0388389-0.0435661j 0.0431326+0.00773376j -0.0181461+0.0162403j -0.0707969-0.139784j -0.0228345+0.0467104j 0.103499-0.0553593j -0.00658964-0.0593079j 0.138413-0.132265j -0.0572822-0.0865725j 0.0311423+0.0139794j -0.0391522+0.010132j 0.0669113-0.0361077j 0.0203467-0.057314j -0.0557831-0.0546944j 0.00257792-0.00769756j 0.0452757-0.0584429j -0.0175583-0.0188577j 
-0.274615-0.0267345j 0.16466-0.124026j -0.0258327+0.0404304j 0.3413+0.0436367j 0.14913+0.139607j 0.0135688+0.00620434j 0.0103797+0.0224066j 0.00194503-0.0120365j -0.205121+0.0609813j 0.0752488+0.202638j 0.0207184-0.00734427j -0.180301+0.0906618j -0.0814159+0.0794446j 0.0114206+0.0675387j -0.0845601+0.0322948j 0.0526293+0.0532728j -0.0609824+0.0719726j 0.00270793+0.0633765j 0.0280337+0.0864239j -0.00403872+0.00565901j -0.0603438+0.0124205j -0.00374233+0.0255923j 
0.0820677-0.188554j -0.0122905+0.0669208j -0.00417224-0.0107275j 0.270387+0.297537j -0.0068954-0.066651j 0.0223555-0.0227869j -0.0115095-0.0152062j -0.00786377+0.000738994j -0.0773718+0.201952j 0.228498-0.173068j 0.022779-0.0768129j 0.0762381+0.0344338j 0.0115127-0.107209j 0.00159398-0.0176028j 0.100447+0.0564189j 0.0285524-0.0323287j 0.0629221-0.00784949j 0.0194651-0.0279897j 0.0264323-0.0354116j 0.00214064-0.00105041j 0.010724+0.017265j 0.00792476-0.00177669j 
