0.111613+0.0906145j 0.0363342+0.0873947j 0.0157274-0.0410123j -0.0207326+0.14411j 0.0586539-0.0755446j 0.0221495+0.0642261j -0.070414+0.0965401j 0.00177604+0.039591j -0.0744582+0.0816007j -0.0383392+0.0033289j 0.0217251+0.0178825j -0.0139469-0.0398985j -0.0500983+0.0192289j 0.0146496-0.00606714j -0.0259712-0.0192647j -0.0409076+0.0136409j -0.0357294-0.0197743j -0.00970878+0.0744141j -0.0279745+0.0968797j 0.0144327-0.00141427j -0.0337575-0.08576j -0.0240367+0.00195831j -0.0763605+0.096441j -0.229638-0.0979755j 0.0356526-0.101516j 0.120824+0.0749353j -0.0162594-0.0336379j 0.0991781+0.0922746j 0.0408811-0.0288308j -0.0269744-0.0331801j 0.0434585+0.0596983j 0.025383-0.0777457j -0.000786937+0.0135032j -0.00314995+0.0143857j -0.0125005+0.0353887j 0.0214912+0.00369917j 0.0638639-0.0313173j -0.00325477-0.00239597j 0.0292038+0.0013891j -0.00078584-0.013302j -0.0434278-0.00854178j -0.0217224-0.00635064j -0.00396941+0.0025403j 0.0105911+0.00502141j -0.0406784-0.010073j 0.00398526+0.00559787j -0.000354124-0.0115085j -0.0358453+0.00195386j 0.00422801-0.00433603j 0.0634027+0.0308069j -0.0193754+0.00358927j -0.00529214-0.0215436j -0.0108414-0.0122924j -0.0600735-0.0176042j -0.0203612-0.0134753j -0.0533222+0.00347675j -0.00128694+0.0221889j -0.00554161-0.0522825j -0.0414495-0.121007j 0.031292-0.0828288j -0.127103+0.0446337j 0.0183623+0.0767424j -0.00230177-0.0619355j -0.144815-0.022932j -0.00075626+0.0263269j -0.0273493+0.0209343j -0.113545-0.0467028j -0.0469965-0.0367232j -0.121179-0.109752j 
0.017911-0.00531862j 0.00244429+0.0105451j -0.0125782-0.0190944j 0.00396486+3.49353e-05j -0.00831618+0.00024281j -0.0161927+0.00324556j 0.00144129-0.0160545j -0.0287451+0.00460842j -0.0150377-0.0051737j -0.0198328+0.00673532j -0.0193945-0.00576823j 0.00756917-0.0019465j 0.0112999-0.0210517j -0.0399677-0.00869969j 0.00341067+0.00479105j 0.0206275+0.0293371j 0.0181606-0.0271166j -0.0116088-0.00882758j 0.021393+0.0237561j -0.0464227+0.003075j -0.00788027-0.00450583j 0.0103889-0.00298233j -0.033943-0.0103907j -0.0207697+0.0107662j 0.0217556+0.0166939j 0.000118381-0.00221795j -0.00178147+0.00734042j -0.00434381+0.00246071j 0.000118539+3.76385e-05j 0.027007+0.00530081j -0.0260862+0.0171405j -0.0180814-0.0340052j -0.0355064-0.014519j 0.0493344+0.0217281j -0.0292142+0.0111747j 0.0199168+0.0219894j 0.00429408+0.00865926j -0.162157-0.0520269j 0.0851117+0.0497347j 0.029293-0.0459815j -0.000635213+0.075027j 0.0191917-0.0302261j -0.177997-0.101096j 0.121848+0.0975157j 0.103008-0.0568892j 0.155135+0.184168j 0.162338-0.174385j 0.154994-0.038617j -0.0319587+0.0312028j -0.0401916-0.00986867j 0.0868059-0.102063j -0.255626-0.124666j 0.119454+0.078942j 0.0155557+0.0584832j -0.0842805-0.0134821j 0.232563-0.00127547j 0.145521-0.152705j -0.0763451-0.0396493j -0.0125407-0.0672029j -0.0504231-0.0719219j 0.230599-0.0824003j -0.0141491+0.0872346j 0.0221728-0.048273j 0.107222+0.00447074j -0.0172121-0.0546897j 0.0218216+0.0521457j -0.0127523-0.0070308j -0.0109535+0.000305348j -0.0215776-0.00232997j 
-0.00628984+5.75146e-05j 0.0147819-0.00205775j 0.000672471-0.0549851j -0.00901278-0.00479415j -0.00173553+0.0201374j -0.00377609+0.00265739j 8.80346e-06-0.0242831j 0.00824122-0.0237765j 0.0108377+0.0123062j 0.00749278-0.0206742j -0.0170312-0.0030142j -0.00777851+0.0284165j 0.0177691-0.00035546j 0.00368801-0.00236042j 0.0758729+0.00366314j -0.0101003-0.0090429j 0.0132454+0.00945342j 0.00924835+0.021569j -0.00564374-0.0129809j -0.00759826-0.0199097j 0.00396884+0.0141336j -0.00620199+0.0135423j -0.0173156+0.00220035j -0.00716444-0.0159129j 0.00183186+0.0168388j 0.00189217-0.00877739j 0.0017127+0.0105474j -0.00607895+0.00989499j -0.00463257-0.0043742j 0.015164-0.0140944j 0.0248363-0.0121625j 0.00450712-0.115739j 0.0136286-0.00686951j 0.00771239-0.0239703j 0.0647337+0.0176103j -0.00854882+0.087369j 0.0478823+0.0109751j -0.0998478+0.0389193j -0.0413768+0.0250516j 0.0287272+0.00713833j 0.0151881-0.0105189j 0.0498877-0.142649j -0.0168039+0.0563191j 0.0123667+0.118774j 0.0575656-0.131958j 0.284833+0.0783815j 0.0868983+0.0303183j 0.0595972+0.0269353j -0.143961-0.0265054j -0.112857-0.0597698j 0.145669+0.0515624j 0.141056+0.0715573j 0.334841-0.149168j 0.0913587+0.211712j -0.0384504-0.104011j -0.0512887+0.048415j -0.0753586-0.148616j 0.0289598+0.0485558j -0.0172993+0.0253224j 0.0994606+0.0436882j 0.0611505+0.110445j -0.0565449-0.0460667j 0.0111947-0.110264j -0.00935734+0.042399j -0.00761204+0.00554729j 0.00596033+0.0263555j 0.000518484-0.0826743j -0.0462791+0.012587j -0.00209717-0.00837787j 
0.0154477-0.0143583j -0.00606556+0.0151751j -0.0188512+0.0210504j 0.0024326+0.00430072j 0.0145398-0.0167938j 0.00809669+0.0184112j -0.0010915+0.0166541j -0.0215098-0.0247003j -0.0191635-0.00519808j -0.0120001-0.00935045j -0.0538339+0.0252283j -0.000388839-0.00650368j -0.0177508-0.0244208j -0.0363516+0.0119521j 0.00980167+0.00680456j 0.0117551+0.000663615j 0.00563109-0.00940031j -0.00531395-0.00906246j -0.0209344-0.00384288j -0.00872257-0.016607j -0.00653594+0.00191929j 0.0129242+0.00674097j -0.00776428-0.0109596j -0.00803957+0.0132971j -0.00170567-0.00851365j 0.00337697+0.00683253j -0.0017671+0.00061062j 0.00186295-0.00138665j 0.00271258+0.0027047j 0.0227852-0.000274185j -0.0338846+0.05567j -0.0336216+0.0518124j -0.00719946-0.0065947j -0.0292716+0.0356215j 0.00569552-0.0211142j 0.0240544-0.0754789j 0.00412116-0.106707j -0.0597362+0.0399561j 0.115417+0.133171j 0.121948-0.0981756j 0.0257244-0.0136408j 0.185334+0.0641032j -0.120907-0.00752203j 0.0728269+0.0260818j 0.0161637-0.00446643j 0.0784193+0.0676831j 0.201195-0.117728j -0.151456-0.175955j 0.0396193+0.0443495j 0.003291+0.00626171j -0.151709+0.125156j -0.116358-0.0225566j -0.0453536+0.183193j -0.044923-0.0748923j -0.0602053+0.107661j 0.163727-0.0886762j -0.0373273+0.0721817j -0.025909+0.0437495j 0.0140428+0.0115545j -0.0945194+0.000264366j 0.132902+0.0339667j -0.0014164+0.04413j -0.0254192+0.00314422j 0.0495316-0.0155178j 0.0315772-0.0152117j -0.0156336+0.00898012j -0.00068207+0.0446306j 0.00480815-0.0276403j -0.0154569-0.00934476j 
0.0175155+0.0380995j 0.0058402-0.0119358j 0.00124725+0.00669759j -0.0016124+0.0119287j 0.00388395-0.0179859j -0.0151383-0.0164368j 0.0177304-0.026515j 0.00509896+0.0104519j 0.0149171+0.0226103j -0.0158377-0.0183018j 0.0281999+0.0353229j -0.0355302+0.0223397j 0.000144434-0.00428081j 0.0164488+0.0231467j 0.0229818-0.0162765j -5.02936e-05+0.0105234j -0.00055044-0.01242j -0.00614829+0.00958656j -0.0234728-0.00873799j -0.00114636+0.0117497j -0.000316698+0.000375171j -0.0125657+0.00957171j 0.00561027+0.0168484j 0.00653028+0.00941144j 0.00635233-0.00212545j -0.00128188+0.00363683j 0.0041406-0.0134561j 0.00137275-0.0191092j 0.00974158-0.00375424j -0.0127941+0.0495046j 0.00803024-0.0708879j 0.00594931+0.0153696j 0.00308481-0.0122941j -0.00081612+0.0086609j -0.128216-0.0473323j -0.0258198+0.0493224j -0.000589828+0.0339633j -0.00962776+0.0796395j -0.0844909-0.0295761j -0.129004+0.0079349j -0.0511697-0.0725158j -0.0177178+0.0718546j -0.0211074+0.0256045j -0.103996-0.0950542j -0.0201759+0.0262628j -0.0910094-0.0170568j 0.024961-0.178988j 0.192742-0.0512941j 0.0071571+0.0662706j 0.0406523+0.103066j -0.152663-0.225943j 0.0368977-0.192411j 0.018752+0.00939479j -0.0119538-0.0418453j 0.0102899-0.0568048j 0.00755106-0.162424j 0.0371336-0.0552542j 0.0377774+0.013454j 0.0829337-0.0596096j 0.00127314+0.0354626j -0.0699066-0.108556j 0.00774618-0.0346636j -0.0123243+0.0609866j 0.103261-0.022084j 0.0357566-0.0364848j -0.0232523-0.0011887j 0.0034783-0.0331682j 0.0486099+0.0375543j -0.021676+0.0223909j 
0.0214944+0.0332954j -0.00661372-0.0140121j 0.0339451-0.0283942j -0.005081+0.039064j -0.0273663-0.0689712j 0.0108559+0.0387321j 0.01822+0.0185993j 0.0268603+0.0121127j 0.00992891-0.0107596j 0.00506138+0.00145785j -0.0247337-0.0211838j 0.0220585-0.0193052j 0.0308416-0.0193752j 0.00151689-0.00898952j -0.00910497-0.0393369j -0.0201593-0.00703697j -0.00581364-0.00289464j 0.010674+0.00878577j 0.00260746-0.00591537j -0.00967211+0.0141149j -0.00691361-0.0074917j 0.0145272+0.00620407j -0.0115699+0.00203638j -0.0191177-0.0201166j -0.019673+0.00529905j 0.00714265+0.000617097j -0.00349466+0.0118817j -0.011797+0.00323602j 0.00826332-0.0158816j -0.00382131+0.00521623j -0.00982608-0.08005j 0.11847-0.108606j -0.0187028-0.0958609j 0.0660839+0.13587j 0.0285593+0.0779009j -0.0613569-0.074345j -0.0372109-0.0748776j 0.000787881+0.111579j -0.0576372+0.0656686j 0.192454-0.0678236j 0.069159+0.0606211j 0.135524+0.208879j 0.0419386-0.0811313j 0.214027-0.152793j 0.0981029-0.0201748j -0.235531-0.179476j 0.11735-0.205823j -0.117378+0.0119929j -0.0783132+0.106157j -0.0587103-0.183762j 0.0100003+0.147437j 0.103983-0.0478648j 0.160032+0.0245721j -0.0762423-0.0133268j -0.013731+0.0577161j 0.0584647+0.0312605j -0.0591872-0.0262664j 0.0847899+0.0912099j -0.023121+0.0638443j -0.00800153-0.0369236j -0.0104423-0.138107j -0.0466814-0.185787j 0.0454989+0.00434753j 0.0534822+0.119389j -0.0384689+0.0659975j 0.0810674+0.0407163j 0.000558845+0.0458796j 0.000687181+0.037828j -0.055877+0.0296999j 
0.0237384+0.0399497j -0.00220185+0.00215345j -0.00388855+0.0596492j -0.0165081-0.00663884j 0.0261187+0.00836719j -0.0112307+0.0297121j -0.0170406+0.0358132j 0.0160069+0.0157085j -0.0271533+0.00320394j 0.0504037-0.0113724j 0.021186-0.00354082j 0.00278261-0.014374j 0.00787729-0.016068j -0.0192011+0.0165168j 0.00592233-0.00297256j -0.0203122+0.011395j 0.0265709-0.0138867j -0.010647-0.0163228j -0.0169279+0.0137922j -0.00194508-0.0203895j 0.0184656+0.00385353j -0.00959027-0.00974475j -0.00642757+0.0116128j -0.0163027-0.00719862j -0.00382535-0.0136105j 0.00232215+0.0103345j 0.00368631-0.00355101j -0.0110148-0.0167322j 0.0114001-0.0164314j 0.00442023+0.0366726j -0.00357278-0.0267617j 0.0113581+0.125334j 0.0178052+0.00173333j -0.0652538-0.0283428j 0.0116957-0.0168162j 0.128093-0.149955j 0.0731189-0.00330481j -0.111191-0.012295j -0.179666+0.0934218j 0.235603+0.0331772j -0.134451+0.15178j 0.0922494-0.0759853j 0.167071-0.000901468j -0.0618304+0.0325532j -0.0440126-0.110773j 0.120445+0.0236006j -0.148111-0.0908203j 0.0624352-0.0722437j -0.0659196+0.217434j -0.0797117+0.0757255j -0.00257515+0.14888j 0.0172973+0.0863218j 0.120153-0.0412483j 0.00870188-0.103409j 0.18729+0.0519184j 0.00159443-0.0830755j -0.0476061+0.0120684j -0.0201848-0.101808j 0.0168552+0.0371165j 0.0680275-0.0636375j 0.0211123-0.168293j -0.0731084+0.0689866j -0.0198604+0.0165535j -0.00296303-0.0380612j 0.0332085-0.0291514j -0.0267036-0.00872772j 0.0586938+0.00562948j 0.0475163-0.00222974j -0.0445295+0.0374231j 
0.00567722-0.0265219j -0.0262633+0.00682478j -0.0284608-0.0669926j 0.0524673+0.0120174j -0.019558+0.0213012j 0.0309852+0.000381463j 0.00781508+0.00630076j 0.00774536-0.0333397j 0.00320913-0.00509681j 0.0265818-0.000793893j -0.00953949+0.0297713j 0.0100719-0.0185197j -0.0169016-0.0177224j 0.00812145+0.0108642j 0.00502154-0.0211802j -0.00748311-0.00277134j 0.0126821-0.00453245j -0.000618633+0.0111953j -0.0209644-0.00605812j -0.00221421+0.0107122j -0.00650813-0.00466314j -0.00978985-0.00348973j -0.00206678-0.0131535j -0.0225745+0.00966044j 0.00968059-0.0028083j 0.00315435+0.00336367j -0.00832128-0.000236236j 0.0152605+0.00831737j -0.00524075+0.0196528j 0.0210403-0.0137134j -0.0595389+0.0697864j -0.0706625-0.0979928j -0.0739335-0.0163268j 0.0235603-0.0414914j 0.149141+0.0218229j -0.0888878+0.0497213j -0.064895-0.0744226j -0.0554988+0.0114023j -0.155724+0.0454716j -0.0874691-0.147795j 0.0614549-0.0911011j -0.0254202+0.022552j 0.0776534+0.069342j 0.0142822-0.0788143j 0.0655161+0.13713j 0.082582-0.124748j 0.0472433-0.101944j -0.0741672-0.20007j 0.142711-0.129218j 0.0904204+0.0247727j -0.172971-0.0617972j 0.00584143-0.0405144j 0.0404783+0.0170734j 0.00257867+0.0169801j -0.0375781-0.0598496j 0.0164357-0.00405627j -0.0177602-0.028913j 0.0134076+0.059567j 0.0952068-0.106457j 0.133601-0.152902j 0.0245269+0.140288j 0.0945714+0.0602293j 0.0979531-0.0690512j -0.0105631-0.0130973j -0.06461-0.00848665j 0.0147682+0.0396769j -0.0521476+0.0462444j -0.00487386-0.0188248j 0.0199865-0.0435745j 
-0.00739591-0.00510439j 0.0247394-0.00474661j 0.00987165+0.0197734j -0.0323863-0.000477649j 0.0198422+0.0124271j 0.00416893+0.00215282j -0.0328107+0.00519462j 0.0280166+0.054409j -0.0139643+0.0226725j -0.0288553+0.0457151j 0.0168564+0.0163962j 0.0062012+0.0194556j -0.00177219-0.0148905j -0.0408492+0.02141j 0.00190901+0.00630277j 0.00866788-0.0152287j -0.0074045-0.00521399j -0.00613416-0.014362j -0.00986518-0.0205443j 0.00481119-0.00359173j 0.00685161-0.0100039j 0.00230318-0.00940874j -0.00255184-0.000137568j 0.0111296-0.0219051j -0.00591182-0.0102334j -0.00430847+0.00781689j 0.00190854+0.000779182j -0.00982143-0.000874594j 0.00483956-0.0103784j 0.0262979-0.0191972j 0.0391138+0.0233351j 0.00293821+0.0586381j 0.0745667+0.0183343j -0.0582947-0.0272934j 0.0466105+0.0357717j 0.0457417-0.0379586j 0.0988984+0.0496936j 0.0486945+0.123972j 0.0830867-0.267941j -0.10998+0.0679119j -0.0926069-0.126778j -0.00612435+0.12975j -0.0519349+0.14849j -0.0376188-0.144975j -0.00104709+0.037392j -0.153682-0.0567534j 0.0994893-0.0197763j -0.0508571+0.18903j -0.0673897-0.117421j -0.0476884+0.0244277j 0.00632581+0.0334792j 0.11982-0.0156019j -0.00329356+0.0200856j -0.0329028-0.0569519j -0.0639959+0.0373467j 0.044104-0.105874j -0.0617493-0.00390308j 0.0840985+0.0372764j 0.149888+0.0450956j 0.00792541+0.0694882j -0.0234968+0.0267923j -0.023197-0.0681697j -0.00459839+0.0101293j -0.129594-0.0481126j 0.0361054+0.0119285j -0.0386979-0.0252183j 0.0453254-0.0172092j -0.0175745-0.0169022j -0.0173358+0.00707526j 
0.0330425-0.000781953j 0.0305144+0.0109641j -0.0368475-0.0585236j 0.00827171-0.0181605j -0.0287392+0.00349494j -0.0126782-0.0253338j 0.015013-0.0103462j -0.00282965+0.0218254j 0.000722046-0.019788j 0.0362791+0.0359262j 0.010472+0.00850467j 0.0135349-0.00391666j 0.0017155+0.00798318j -0.00562517+0.00242388j -0.00154181+0.0225327j 0.0070809-0.0167858j 0.015923+0.0152395j -0.00753653-0.00718921j -0.00331298+0.0056846j -0.0116774-0.00143697j 0.000557419-0.00050188j -0.00636442-0.00722398j -0.00924641-0.0101912j -0.0083815-0.00512433j 0.0102531-0.00497456j 0.0086658+0.00594091j -0.00771862+0.00604809j -0.00345436-0.000737262j 0.00585304-0.00326145j 0.0685923+0.00577735j 0.00327198+0.0324172j -0.072488-0.0811682j -0.00826125+0.0274427j 0.00488712+0.017976j 0.024641+0.00416393j -0.0206476+0.0676302j -0.0962756+0.126287j -0.138365-0.276497j -0.214004-0.104423j 0.0671606+0.0313567j 0.0217324+0.0315738j -0.166913-0.0114221j 0.178128+0.176248j 0.11703-0.0984717j -0.0709316+0.11492j 0.00546887-0.147276j -0.102972+0.0942934j 0.061446+0.113355j 0.0879837+0.0535573j 0.0420731-0.0344758j 0.0760166-0.0879756j 0.116513+0.194913j 0.0934654+0.0626029j 0.135523-0.00921374j 0.0156499-0.141879j 0.0439648+0.020017j 0.0503664-0.0297219j -0.0529472+0.00792244j 0.00263219-0.0161588j 0.0239483+0.0193159j 0.0384838+0.00208566j 0.0567436-0.0302345j 0.0093003+0.0174329j 0.0932812+0.0497218j 0.00296478-0.0284513j -0.0107065+0.0703775j -0.0246293-0.00788035j -0.00800593+0.01914j -0.0636715+0.00416552j 
0.00187914-0.0474916j 0.0149126+0.0509113j -0.0536086+0.00152793j -0.0232217-0.103487j -0.0398005-0.0246136j 0.0382784+0.00858273j 0.00662431+0.00961629j 0.00355279-0.00881555j 0.00310113-0.0126039j -0.00818697+0.0163321j 0.00334349+0.00529651j 0.0172017+0.0193258j -0.0144383+0.00373719j -0.000458332+0.0101256j 0.0160553+0.0096956j 0.0123609-0.00297786j -0.0167984-0.00301726j 0.00989887+0.0109177j 0.00613711-0.0146306j 0.00253393-0.0051533j 0.0218905-0.00934821j -0.0156394+0.00614762j 0.00119905+0.000353353j 0.0146691+0.0107897j 0.0118606+0.0229588j -0.0103054-0.0218075j 0.00421667+8.9761e-05j 0.0158006+0.0132365j -0.00707734+0.0209726j -0.0117739-0.0465438j 0.0300216+0.0304897j -0.124667-0.0287719j 0.0349923+0.234318j 0.121448+0.109218j 0.139861+0.0323367j 0.0777021-0.044824j -0.0777131+0.0242744j -0.0117946-0.225042j -0.114881-0.101645j 0.136861+0.0282699j 0.0377965+0.120977j -0.0729933+0.248812j -0.152471-0.0756481j 0.124924-0.0232445j -0.0642915-0.174184j -0.205908+0.0160576j -0.121945+0.109797j 0.0539347+0.0125142j 0.164602+0.163184j -0.00295374+0.018508j 0.0224132+0.120477j -0.0899552+0.0290846j 0.00898685+0.134589j -0.0513623-0.0402308j -0.0712518-0.0376175j -0.00772845-0.0285909j 0.0103172+0.106229j -0.0266682-0.101658j 0.0115096+0.0328774j -0.043208-0.102447j -0.0475499-0.0156245j -0.00836099+0.0797702j 0.0148613-0.0161003j -0.0111983-0.114095j -0.000336716+0.0276191j 0.00125401-0.0167247j -0.0717358-0.0455484j -0.0498353+0.00659574j 0.0639493-0.0469414j 
0.00329062-0.000736026j -0.0414177+0.00362367j 0.0315384-0.023719j 0.0597222+0.0308298j -0.0387199+0.0336289j -0.00994036+0.0314435j -0.0244228-0.0177551j 0.0019159+0.00261791j 0.00472594-0.00612371j 0.0150867+0.0259115j 0.0129801-0.000659984j 0.010055+0.00064172j 0.0121995-0.0243482j -0.0161415-0.0160843j 0.00377577-0.00292878j 0.0145696-0.0066843j -0.00151411-0.00526457j 0.00471844+0.00339752j -0.00577461+0.00677043j 0.000568443-0.00564961j 0.000218793+0.0113701j 0.00451098+0.00266973j 0.00630002-0.00210775j -0.00443552+0.0112548j -0.0014651+0.00195191j 0.00227231-0.00461776j -0.00240869-0.00107901j 0.00701484+0.00102729j -0.00826028+0.0101511j -0.0427418+0.00120552j -0.0456965-0.0249836j 0.0507827-0.0399881j -0.113278-0.0652909j 0.134322-0.117897j -0.0138466+0.155334j 0.0568256+0.0738179j 0.029786-0.0107933j -0.0847522+0.031074j 0.0360254+0.0013595j -0.0418963+0.013971j 0.125115-0.043819j -0.148675-0.0987554j 0.00738959-0.268904j -0.158848-0.108211j 0.217932+0.060742j 0.015114+0.0602995j -0.173212+0.0818643j 0.0292762-0.0305434j 0.0368319-0.118819j 0.0242814-0.0534355j -0.022178-0.101887j 0.022475+0.0638057j -0.0702633-0.061253j -0.123009+0.0153214j 0.0606394+0.0360644j -0.0359859-0.135369j -0.0151038+0.0167276j -0.0920684+0.0212564j -0.071085-0.0464772j 0.0634831-0.0516105j 0.0554772-0.0776458j -0.0168339+0.0531995j 0.0732764-0.00890737j 0.0398826-0.0276061j -0.0721742-0.000537742j 0.0510166-0.0278421j 0.00920209+0.0453238j 0.0254488-0.01676j 0.050484+0.00325248j 
-0.00279285-0.133374j 0.0696927-0.013957j -0.0830711+0.0640029j -0.053011-0.029999j 0.00496094-0.0190462j -0.00363683-0.00920691j -0.0286193-0.00287768j 0.0154367-0.0271357j 0.00602636-0.0147817j -0.00826577+0.00405906j -0.00888311-0.00840674j 0.0250488+0.0102945j 0.00324713-0.00921176j -0.00142442+0.00386082j -0.000126224+0.00622092j 0.00232318+0.00466294j -0.00374259-0.00361853j -0.00939452+0.00518445j 8.07529e-05-0.00771468j 0.0133897-0.000286039j -0.000589186-0.013794j -0.00834254-0.0082284j 0.00471332+0.0128609j 0.018884+0.0149427j 0.00458672+0.00718152j -0.00931443-0.0110935j 0.00335737-0.0154886j 0.023807-0.010847j 0.00988474+0.0300649j 0.0375581-0.102266j 0.0420813+0.0603229j -0.181257+0.161233j 0.169821+0.0662664j 0.0493613+0.156188j -0.0336999-0.07643j 0.128619+0.0945681j 0.0149974-0.0307443j 0.0408524-0.0633255j 0.188332+0.00994436j -0.00646105-0.097394j -0.00448591+0.0459277j -0.0035488-0.241813j 0.317745-0.26727j 0.139416+0.142148j 0.0916746-0.0160065j 0.000865705-0.072284j 0.00499736-0.0670011j 0.0487056+0.0122702j -0.0930053-0.0587439j -0.0608691+0.0337687j -0.0345625+0.065946j 0.0502569-0.0167045j 0.0352225+0.0762337j -0.0189354-0.0344034j 0.0424856+0.0163749j -0.0427314+0.033818j 0.00851785+0.0350194j 0.0651412-0.0347505j -0.00966772-0.0392481j -0.0350432+0.0833477j -0.0365692+0.0768335j 0.00216904+0.0673427j -0.0516264+0.0308657j 0.0161847-0.11326j 0.0727903-0.0930767j -0.0656578+0.0313814j -0.0775608-0.000187284j 0.0132655-0.0225339j 0.038748-0.0406935j 
0.171788+0.0646894j -0.0241146+0.156851j -0.0181257+0.0863434j 0.0123264-0.0286579j 0.0101454-0.0627877j 0.00570955+0.0239649j -0.00577372-0.00406414j -0.0112412+0.00770373j 0.00147179+0.00624175j 0.00453729-3.53651e-05j -0.00206091-0.000307223j -0.016878-0.00553956j 0.00567213+0.0119342j 0.00795698+0.00391649j 0.00477431+0.00204202j -0.000442234-0.00782772j -0.00288982-2.75733e-05j -0.00352755-0.00649074j 0.00298093+0.00302145j -0.0101362+0.00586798j -0.00961325+0.000946892j 0.00863006+0.00668212j -0.0225365-0.00463453j -0.0350549-0.0016423j 0.0167969-0.0092196j 0.015276+0.0105188j 0.00169359+0.0165015j -0.0105553+0.00770333j -0.016913-0.0137493j 0.182702+0.160028j -0.124903+0.181305j -0.047335+0.239649j -0.0196563+0.113632j 0.00339399+0.185214j 0.150643+0.0822092j 0.0385088+0.0078227j 0.0655253+0.153713j -0.122639+0.122609j 0.029427-0.0864385j -0.157682+0.00753066j 0.0227138+0.0295748j -0.0888076+0.0974409j 0.0487832-0.0743681j -0.114651-0.143308j 0.124988-0.131788j 0.0854733-0.00887514j -0.0200942-0.000548573j 0.0944324+0.079443j 0.0359618+0.0129836j 0.00239948+0.180633j 0.0423235+0.0935265j 0.0360155+0.0681893j 0.101215+0.098775j 0.102106+0.0437147j -0.0413618+0.060372j 0.0706423+0.0231233j 0.0407905+0.0540079j 0.00985541-0.0114923j 0.11367+0.10536j -0.0389817-0.000523934j 0.0280687+0.0560473j 0.0274954+0.113947j -0.017623-0.00660219j 0.0926218-0.023325j -0.0163902+0.0194516j 0.0553637+0.0159746j 0.0378035+0.0852619j 0.03519+0.0238839j -0.0804012+0.0519518j 
-0.0647769+0.0861489j -0.15613-0.0597938j -0.0183829-0.00504132j -0.0517112-0.0952181j -0.0514992-0.0302495j 0.0222145+0.0355755j 0.032819+0.0136647j 0.0128584-0.0098562j 0.00315198-0.0120736j 0.0030424-0.00224086j -0.00683145-0.00647377j 0.00605746+0.0253609j 0.00658192-0.00996811j -0.00234544-0.0100047j -0.00848622-0.00147204j -0.00465395+0.00447762j 0.0170934-0.0121599j 0.00625479-0.00608759j -0.00494867+0.00724164j -0.00185731+0.0159727j -0.0142196+0.0155389j 0.00576198+0.00466304j 0.0194519-0.00086189j -0.00760703+0.0140169j -0.0155695-0.010971j 0.000745846+0.00840659j -0.0108122-0.0096997j 0.000382945-0.00344562j 0.00369508+0.00237885j -0.117395+0.111646j -0.192864-0.0803661j -0.0250091+0.021067j 0.254425+0.312343j 0.0943453+0.182338j 0.0964345+0.0912847j -0.119797+0.123043j -0.0991651-0.114833j 0.14882+0.244167j -0.0634696+0.0098118j -0.103884+0.100749j 0.19249+0.138569j 0.101659+0.0638061j 0.0469293+0.0449061j 0.0123396+0.196012j 0.0767353-0.0307158j 0.0463451-0.104109j 0.0621274+0.0177828j 0.0549053-0.0153615j 0.0569593+0.00511362j 0.0154707+0.0956126j 0.123533-0.00997164j -0.0139097-0.0189898j 0.0481993+0.00902722j -0.0553764+0.0167707j -0.131828-0.0438946j -0.05799-0.037306j -0.0164119-0.00176407j -0.0749878+0.0248548j 0.0292735-0.00710979j 0.0871508-0.0335044j -0.0376429-0.0677451j -0.00944884+0.00965884j 0.112058-0.00154803j -0.0234098+0.0352852j 0.00334336-0.00899317j -0.0614685-0.0385041j 0.0124658+0.02475j 0.0441672-0.0692105j 0.0762914-0.00534474j 
0.0367744+0.137481j -0.0282559-0.066838j 0.0184948-0.0223705j -0.0498737-0.00118903j -0.0113704-0.0158817j -0.00706177+0.0400124j -0.00944108+0.00480485j -0.0248903+0.0128683j -0.0207424+0.00145169j -0.00130765+0.00445229j -0.0180664-0.0240309j 0.000430204-0.00251234j -0.0201205+0.00181736j -0.0110023+5.45008e-07j -0.00856823-0.00510803j 0.00335701+0.000850334j -0.0108552+0.01219j -0.00946513-0.00573158j 0.000714421+0.00625084j 0.004677-0.0147283j 0.0166774-0.00339297j 0.0101257+0.00685179j -0.017575-0.0162356j 0.000638648-0.0380171j 0.0117748+0.00261865j 0.0108143+0.0109976j -0.00806698+0.0138362j -0.0483254-0.0101861j -0.000955764-0.0510126j 0.0497029+0.164993j -0.114303-0.176678j 0.0871449+0.0608748j 0.17229-0.031398j 0.0886779+0.0535384j -0.217119+0.207102j 0.120905+0.12459j 0.0226754+0.0984597j -0.0868965+0.070117j 0.152497+0.0462087j -0.0948097+0.234002j 0.0501201+0.0303426j 0.0717247-0.0395354j 0.0071061+0.0189023j -0.0654455+0.010806j -0.0789604+0.136712j 0.000261184+0.00973141j -0.0466175+0.00265223j -0.00227413-0.00643431j 0.0345153+0.0232524j 0.0989105+0.0593058j -0.0492297+0.0217894j -0.0238804-0.0138547j -0.0131637+0.0186251j 0.0216135+0.0127424j 0.0103475-0.0572124j 0.0349072+0.0227684j 0.0542891-0.0124598j -0.0586463-0.0361258j -0.00363573+0.0507075j -0.0877957+0.0145375j -0.0361437+0.0090633j -0.0411676-0.0782697j -0.0907152+0.0350111j 0.000997161+0.0659675j 0.0473836+0.0626591j 0.0350604+0.0285116j -0.0246945-0.0800577j 0.00565007+0.10586j -0.101297+0.0577006j 
