-0.0321516-0j -0.00535859-0j -0.00328146-0j -0.000669824-0j -3.94698e-05-0j -0.0289641-0j -0.00467406-0j -0.00381636-0j -0.000550844-0j -0.000477045-0j -5.62202e-05-0j -2.56609e-06-0j -0.0186376-0j -0.0188307-0j -0.00294686-0j -0.0029774-0j -0.0023297-0j -0.00155313-0j -0.00235384-0j -0.000336263-0j -0.00156923-0j -0.000339748-0j -0.000388283-0j -0.000137279-0j -0.000392307-0j -3.2357e-05-0j -0.000138702-0j -3.43197e-05-0j -3.26923e-05-0j -3.46754e-05-0j -2.85998e-06-0j -2.88962e-06-0j -1.06585e-07-0j -1.0769e-07-0j -0.0140445-0j -0.0173792-0j -0.0101379-0j -0.00218957-0j -0.00270946-0j -0.00158052-0j -0.00169604-0j -0.000244802-0j -0.00154826-0j -0.00209874-0j -0.00122426-0j -0.000302927-0j -0.000273697-0j -0.00191588-0j -0.000176707-0j -0.000182464-0j -0.00111759-0j -2.28081e-05-0j -0.000158019-0j -0.000338682-0j -0.000225788-0j -3.22555e-05-0j -2.82235e-05-0j -0.000197565-0j -0.000195538-0j -1.61277e-05-0j -0.00013171-0j -1.90067e-06-0j -1.64637e-05-0j -0.000114064-0j -3.99141e-05-0j -2.32784e-06-0j -1.99571e-05-0j -2.32832e-05-0j -2.35196e-06-0j -1.50261e-07-0j -1.16416e-05-0j -2.88055e-06-0j -1.37198e-06-0j -4.73279e-09-0j -1.85939e-07-0j -1.68032e-06-0j -5.85652e-09-0j -1.08464e-07-0j -3.4163e-09-0j 
0.00373346-0j -0.0293394-0j 0.000381045-0j -0.00741264-0j -0.000878172-0j -0.00324679-0j 0.0247047-0j -0.000427802-0j 0.0058847-0j 0.00252141-0j 0.000904058-0j 6.89658e-05-0j 0.00216421-0j -0.00218533-0j -0.0161347-0j 0.0162921-0j 0.000270527-0j 0.000180351-0j -0.000273166-0j -0.00372127-0j -0.000182111-0j 0.00375758-0j -0.00212594-0j 1.59409e-05-0j 0.00214668-0j -0.000538998-0j -1.60965e-05-0j -0.000379801-0j 0.000544257-0j 0.000383506-0j -6.36323e-05-0j 6.42531e-05-0j -3.56334e-06-0j 3.59811e-06-0j 0.00163086-0j -0.00194816-0j 0.00105696-0j -0.0119884-0j 0.0143208-0j -0.00776967-0j 0.000196945-0j -0.00270911-0j 0.000179785-0j -0.000235262-0j 0.00012764-0j 0.00323619-0j -0.00149855-0j -0.000214764-0j -0.00175577-0j -0.000999032-0j 0.000116519-0j -0.000379934-0j 1.83493e-05-0j 0.0017901-0j 0.0011934-0j -0.000356957-0j 0.000453853-0j -0.000971208-0j -2.19193e-05-0j -8.83028e-05-0j -0.000647472-0j -4.22885e-05-0j -0.000246235-0j 1.18922e-05-0j 0.000426405-0j -3.87768e-05-0j 0.000105483-0j -0.000231343-0j 5.0516e-05-0j -4.18336e-06-0j -5.7229e-05-0j 4.63212e-05-0j -2.74071e-05-0j -1.84689e-07-0j 4.99726e-06-0j -2.51313e-05-0j 2.20621e-07-0j -2.71123e-06-0j -1.19697e-07-0j 
0.00431103-0j -0.0338783-0j 0.000439993-0j -0.00855938-0j -0.00101403-0j 6.72874e-05-0j -0.000511988-0j 8.86589e-06-0j -0.000121956-0j -5.22545e-05-0j -1.8736e-05-0j -1.42927e-06-0j -0.00242788-0j -0.00243742-0j 0.0181004-0j 0.0181716-0j -0.000303485-0j -0.000202323-0j -0.000304678-0j 0.00417463-0j -0.000203119-0j 0.00419105-0j 0.00238494-0j -1.7883e-05-0j 0.00239431-0j 0.000604664-0j -1.79533e-05-0j 0.000426072-0j 0.000607041-0j 0.000427747-0j 7.13845e-05-0j 7.16652e-05-0j 3.99746e-06-0j 4.01318e-06-0j -0.00370342-0j -3.92248e-05-0j -0.00264801-0j 0.0272237-0j 0.00028834-0j 0.0194654-0j -0.00044723-0j 0.00615195-0j -0.000408264-0j -4.73684e-06-0j -0.000319778-0j 6.51585e-05-0j 0.00340296-0j -4.32413e-06-0j 0.00439876-0j 0.00226864-0j -0.000291916-0j 0.000862769-0j -4.16682e-05-0j 3.60425e-05-0j 2.40283e-05-0j 0.000810591-0j 9.13802e-06-0j 0.00243318-0j -4.41329e-07-0j 0.000200521-0j 0.00162212-0j 9.60302e-05-0j 0.000616895-0j -2.97935e-05-0j 8.58538e-06-0j 8.80559e-05-0j 2.12382e-06-0j 0.000579587-0j 1.01711e-06-0j 9.49973e-06-0j 0.000143376-0j 9.32645e-07-0j 6.86633e-05-0j 4.19398e-07-0j 1.00616e-07-0j 6.29616e-05-0j 4.44206e-09-0j 6.79248e-06-0j 2.99877e-07-0j 
0.00152418-0j -0.0119778-0j 0.000155561-0j -0.0030262-0j -0.000358512-0j 0.00137308-0j -0.0104477-0j 0.000180919-0j -0.00248866-0j -0.00106631-0j -0.000382329-0j -2.91658e-05-0j -0.00434222-0j 0.000892692-0j 0.0323723-0j -0.00665523-0j -0.000542778-0j -0.000361852-0j 0.000111587-0j 0.00746628-0j 7.4391e-05-0j -0.00153495-0j 0.00426542-0j -3.19835e-05-0j -0.000876903-0j 0.00108143-0j 6.5753e-06-0j 0.000762024-0j -0.000222325-0j -0.00015666-0j 0.00012767-0j -2.6247e-05-0j 7.1494e-06-0j -1.4698e-06-0j 0.000665796-0j -0.00404904-0j 0.000480597-0j -0.00489424-0j 0.0297643-0j -0.00353285-0j 8.04025e-05-0j -0.00110599-0j 7.33971e-05-0j -0.000488968-0j 5.80376e-05-0j 0.00672608-0j -0.00061178-0j -0.000446365-0j -0.000798346-0j -0.000407853-0j 5.29808e-05-0j -0.000155107-0j 7.49106e-06-0j 0.00372054-0j 0.00248036-0j -0.000145727-0j 0.000943286-0j -0.000441606-0j -4.55569e-05-0j -3.60495e-05-0j -0.000294404-0j -1.72642e-05-0j -0.000111962-0j 5.40733e-06-0j 0.000886239-0j -1.58306e-05-0j 0.000219235-0j -0.000105191-0j 0.000104992-0j -1.70785e-06-0j -2.60219e-05-0j 9.62737e-05-0j -1.24619e-05-0j -7.53988e-08-0j 1.03863e-05-0j -1.14271e-05-0j 4.58538e-07-0j -1.23279e-06-0j -5.44257e-08-0j 
-0.00251477-0j 0.0197623-0j -0.000256663-0j 0.00499297-0j 0.000591515-0j 0.00441316-0j -0.0335796-0j 0.000581485-0j -0.00799872-0j -0.00342721-0j -0.00122883-0j -9.37411e-05-0j -0.00145776-0j -0.00132241-0j 0.0108679-0j 0.00985886-0j -0.00018222-0j -0.00012148-0j -0.000165301-0j 0.00250656-0j -0.000110201-0j 0.00227383-0j 0.00143198-0j -1.07374e-05-0j 0.00129902-0j 0.000363056-0j -9.74045e-06-0j 0.000255825-0j 0.000329346-0j 0.000232071-0j 4.28611e-05-0j 3.88815e-05-0j 2.40018e-06-0j 2.17732e-06-0j 0.00216033-0j 0.00264801-0j -0.00304816-0j -0.0158805-0j -0.0194654-0j 0.0224069-0j 0.000260884-0j -0.00358864-0j 0.000238154-0j 0.000319778-0j -0.0003681-0j -0.00439876-0j -0.00198506-0j 0.000291916-0j 0.00506346-0j -0.00132337-0j -0.000336028-0j -0.000503282-0j 2.43065e-05-0j -0.00243318-0j -0.00162212-0j -0.000472845-0j -0.000616895-0j 0.00280086-0j 2.97935e-05-0j -0.000116971-0j 0.00186724-0j -5.60176e-05-0j 0.000710115-0j -3.42957e-05-0j -0.000579587-0j -5.1366e-05-0j -0.000143376-0j 0.000667169-0j -6.86633e-05-0j -5.54151e-06-0j 0.000165042-0j -6.29616e-05-0j 7.90392e-05-0j -2.44649e-07-0j -6.79248e-06-0j 7.24758e-05-0j -2.99877e-07-0j 7.8189e-06-0j 3.45192e-07-0j 
-0.00266732-0j 0.0209611-0j -0.000272232-0j 0.00529585-0j 0.000627396-0j 0.00231962-0j -0.0176499-0j 0.000305637-0j -0.00420423-0j -0.00180138-0j -0.000645891-0j -4.92716e-05-0j 0.00455053-0j 0.00156127-0j -0.0339253-0j -0.0116397-0j 0.000568817-0j 0.000379211-0j 0.000195159-0j -0.00782445-0j 0.000130106-0j -0.00268455-0j -0.00447005-0j 3.35178e-05-0j -0.00153366-0j -0.00113331-0j 1.14999e-05-0j -0.00079858-0j -0.000388836-0j -0.00027399-0j -0.000133795-0j -4.59046e-05-0j -7.49238e-06-0j -2.57061e-06-0j -0.00116514-0j -0.00409625-0j -0.000755128-0j 0.00856491-0j 0.0301113-0j 0.00555092-0j -0.000140704-0j 0.00193548-0j -0.000128445-0j -0.000494669-0j -9.11904e-05-0j 0.0068045-0j 0.00107061-0j -0.000451569-0j 0.00125438-0j 0.000713743-0j -8.32451e-05-0j 0.000271438-0j -1.31094e-05-0j 0.00376392-0j 0.00250928-0j 0.000255022-0j 0.000954283-0j 0.000693865-0j -4.6088e-05-0j 6.30866e-05-0j 0.000462576-0j 3.02123e-05-0j 0.000175919-0j -8.49616e-06-0j 0.000896571-0j 2.77035e-05-0j 0.000221791-0j 0.00016528-0j 0.000106216-0j 2.98873e-06-0j 4.08864e-05-0j 9.73962e-05-0j 1.95806e-05-0j 1.31948e-07-0j 1.05074e-05-0j 1.79546e-05-0j 4.63884e-07-0j 1.937e-06-0j 8.55153e-08-0j 
0.00155593-0j -0.0122273-0j 0.000158802-0j -0.00308924-0j -0.000365981-0j -0.0041079-0j 0.0312569-0j -0.000541264-0j 0.00744544-0j 0.00319014-0j 0.00114383-0j 8.72569e-05-0j -0.000876267-0j 0.00430711-0j 0.00653278-0j -0.0321105-0j -0.000109533-0j -7.30223e-05-0j 0.000538389-0j 0.0015067-0j 0.000358926-0j -0.0074059-0j 0.000860769-0j -6.45432e-06-0j -0.00423093-0j 0.000218235-0j 3.17249e-05-0j 0.000153777-0j -0.00107269-0j -0.000755861-0j 2.5764e-05-0j -0.000126638-0j 1.44276e-06-0j -7.09159e-06-0j 0.000679666-0j 0.00239468-0j 0.000587371-0j -0.0049962-0j -0.0176032-0j -0.00431774-0j 8.20775e-05-0j -0.00112903-0j 7.49262e-05-0j 0.000289185-0j 7.09318e-05-0j -0.00397793-0j -0.000624525-0j 0.000263988-0j -0.000975714-0j -0.00041635-0j 6.47516e-05-0j -0.000158339-0j 7.64712e-06-0j -0.0022004-0j -0.00146693-0j -0.000148763-0j -0.000557877-0j -0.000539718-0j 2.69432e-05-0j -3.68005e-05-0j -0.000359812-0j -1.76239e-05-0j -0.000136837-0j 6.60868e-06-0j -0.000524138-0j -1.61604e-05-0j -0.00012966-0j -0.000128562-0j -6.20944e-05-0j -1.74343e-06-0j -3.18032e-05-0j -5.69381e-05-0j -1.52306e-05-0j -7.69696e-08-0j -6.14264e-06-0j -1.39659e-05-0j -2.71188e-07-0j -1.50668e-06-0j -6.65175e-08-0j 
-0.000405904-0j 0.0031898-0j -4.14274e-05-0j 0.000805905-0j 9.54752e-05-0j 0.0017903-0j -0.0136223-0j 0.000235893-0j -0.00324487-0j -0.00139033-0j -0.000498504-0j -3.80282e-05-0j -0.000235294-0j -0.00432135-0j 0.00175417-0j 0.0322167-0j -2.94118e-05-0j -1.96078e-05-0j -0.000540169-0j 0.000404578-0j -0.000360112-0j 0.00743038-0j 0.000231132-0j -1.7331e-06-0j 0.00424492-0j 5.86001e-05-0j -3.18297e-05-0j 4.12921e-05-0j 0.00107623-0j 0.00075836-0j 6.91813e-06-0j 0.000127056-0j 3.87408e-07-0j 7.11503e-06-0j -0.000177308-0j 0.00107423-0j 0.00558664-0j 0.00130338-0j -0.0078966-0j -0.0410672-0j -2.14119e-05-0j 0.000294536-0j -1.95463e-05-0j 0.000129725-0j 0.000674651-0j -0.00178446-0j 0.000162923-0j 0.000118422-0j -0.00928028-0j 0.000108615-0j 0.000615869-0j 4.13066e-05-0j -1.99494e-06-0j -0.000987075-0j -0.00065805-0j 3.88085e-05-0j -0.000250258-0j -0.0051334-0j 1.20864e-05-0j 9.60031e-06-0j -0.00342226-0j 4.59762e-06-0j -0.00130149-0j 6.28569e-05-0j -0.000235123-0j 4.21583e-06-0j -5.81639e-05-0j -0.00122278-0j -2.78549e-05-0j 4.54816e-07-0j -0.000302488-0j -2.55418e-05-0j -0.000144862-0j 2.00794e-08-0j -2.75552e-06-0j -0.000132833-0j -1.21652e-07-0j -1.43304e-05-0j -6.32665e-07-0j 
0.00275597-0j 0.000459328-0j -0.0540648-0j -0.00548926-0j 3.38327e-06-0j 0.00248274-0j 0.000400651-0j -0.0312753-0j 4.72172e-05-0j -0.00785972-0j -0.000460729-0j 2.1996e-07-0j 0.00159758-0j 0.00161413-0j 0.000252599-0j 0.000255217-0j -0.0190921-0j 0.000133131-0j -0.0192899-0j 2.88238e-05-0j 0.000134511-0j 2.91225e-05-0j -0.00318201-0j -0.00339857-0j -0.00321498-0j 2.77357e-06-0j -0.00343378-0j -0.000565447-0j 2.80231e-06-0j -0.000571307-0j -2.34377e-05-0j -2.36806e-05-0j 9.13625e-09-0j 9.23093e-09-0j 0.00120387-0j 0.00148971-0j 0.000868997-0j 0.000187686-0j 0.000232249-0j 0.000135479-0j -0.0138991-0j 2.09839e-05-0j 0.000132714-0j -0.0171993-0j -0.0100329-0j 2.59662e-05-0j -0.00224296-0j 0.000164225-0j 1.5147e-05-0j 1.56405e-05-0j 9.57979e-05-0j 1.95506e-06-0j -0.0026035-0j -0.00277553-0j 1.93541e-05-0j -0.000264336-0j 2.41926e-06-0j -0.00161906-0j -0.00322166-0j -0.000399268-0j 1.12899e-05-0j 1.62922e-07-0j 1.41124e-06-0j -0.0018793-0j -0.000327099-0j -3.83531e-05-0j -0.00049407-0j -0.000190808-0j 2.01605e-07-0j -1.2314e-06-0j -0.000288207-0j -4.74596e-05-0j 1.17603e-07-0j 4.05684e-10-0j -1.52378e-06-0j -2.76847e-05-0j 5.02009e-10-0j -8.88873e-07-0j 2.92839e-10-0j 
-0.000397789-0j 0.00631836-0j -4.05992e-05-0j -0.0368406-0j -0.0133989-0j -0.000358353-0j 0.00551122-0j -4.72172e-05-0j -0.0302966-0j 0.000562487-0j -0.00947597-0j -0.00145694-0j -0.00023059-0j -0.00023298-0j 0.00347467-0j 0.00351068-0j -2.88238e-05-0j -1.92159e-05-0j -2.91225e-05-0j -0.0184946-0j -1.9415e-05-0j -0.0186863-0j 0.000457828-0j -1.69846e-06-0j 0.000462572-0j -0.00545379-0j -1.71606e-06-0j -0.0018876-0j -0.00551031-0j -0.00190716-0j -0.000970883-0j -0.000980945-0j -9.09627e-05-0j -9.19053e-05-0j -0.000173763-0j -0.000215021-0j -0.000125429-0j 0.00258174-0j 0.00319474-0j 0.0018636-0j -2.09839e-05-0j -0.0134642-0j -1.91556e-05-0j -2.59662e-05-0j -1.5147e-05-0j -0.0166611-0j 0.000322718-0j -2.37038e-05-0j -0.00971897-0j 0.000215145-0j -1.38272e-05-0j -0.00384432-0j -1.95506e-06-0j 0.000399343-0j 0.000266229-0j -0.00177406-0j -0.0047571-0j 0.00023295-0j -2.41926e-06-0j 1.90163e-05-0j 0.0001553-0j -0.000645225-0j -0.00277498-0j -1.41124e-06-0j -0.00219529-0j -0.000392359-0j 2.35315e-05-0j -0.00128059-0j -0.000798426-0j -8.5313e-05-0j 1.37267e-05-0j -0.00048552-0j -0.000465748-0j -5.6626e-06-0j -0.00010557-0j -0.00028322-0j -7.00711e-06-0j -6.15822e-05-0j -4.08748e-06-0j 
-0.00300763-0j -0.000501272-0j 0.0590018-0j 0.00599052-0j -3.69222e-06-0j -4.69437e-05-0j -7.5755e-06-0j 0.000591353-0j -8.92781e-07-0j 0.000148611-0j 8.71145e-06-0j -4.159e-09-0j -0.00174346-0j 0.00170049-0j -0.000275666-0j 0.000268871-0j 0.0208355-0j -0.000145289-0j -0.0203219-0j -3.14559e-05-0j 0.000141707-0j 3.06806e-05-0j 0.00347258-0j 0.00370891-0j -0.00338699-0j -3.02684e-06-0j -0.00361749-0j 0.000617082-0j 2.95224e-06-0j -0.000601872-0j 2.5578e-05-0j -2.49475e-05-0j -9.97054e-09-0j 9.72479e-09-0j -0.0013138-0j -2.81674e-05-0j 0.00184741-0j -0.000204825-0j -4.39136e-06-0j 0.000288015-0j 0.0151684-0j -2.29001e-05-0j -0.000144833-0j 0.000325204-0j -0.0213291-0j -4.90969e-07-0j 0.00244778-0j -3.10516e-06-0j 3.22011e-05-0j -1.70687e-05-0j 0.000203658-0j -2.13359e-06-0j 0.00284124-0j 5.24796e-05-0j -3.65947e-07-0j 0.000288474-0j -4.57434e-08-0j -0.00344197-0j 6.09151e-05-0j 0.000435728-0j 2.40013e-05-0j -1.77799e-07-0j 3.00016e-06-0j -0.00399523-0j 6.18478e-06-0j 4.18554e-05-0j 9.34186e-06-0j -0.00040564-0j -3.81195e-09-0j 1.34385e-06-0j -0.000612703-0j 8.97365e-07-0j 2.50013e-07-0j -4.4273e-10-0j 2.88116e-08-0j -5.88553e-05-0j -9.49198e-12-0j -1.88966e-06-0j 6.22548e-10-0j 
0.000434114-0j -0.00689533-0j 4.43066e-05-0j 0.0402048-0j 0.0146224-0j 6.77573e-06-0j -0.000104206-0j 8.92781e-07-0j 0.000572848-0j -1.06355e-05-0j 0.000179171-0j 2.75477e-05-0j 0.000251647-0j -0.000245445-0j -0.00379196-0j 0.0036985-0j 3.14559e-05-0j 2.09706e-05-0j -3.06806e-05-0j 0.0201835-0j -2.04537e-05-0j -0.019686-0j -0.000499635-0j 1.85356e-06-0j 0.00048732-0j 0.00595182-0j -1.80787e-06-0j 0.00205997-0j -0.00580512-0j -0.00200919-0j 0.00105954-0j -0.00103343-0j 9.92691e-05-0j -9.68224e-05-0j 0.000189631-0j 4.06561e-06-0j -0.00026665-0j -0.0028175-0j -6.04061e-05-0j 0.00396184-0j 2.29001e-05-0j 0.0146937-0j 2.09048e-05-0j 4.90969e-07-0j -3.22011e-05-0j 0.000315028-0j -0.000352187-0j 4.48192e-07-0j -0.0206616-0j -0.000234792-0j -2.93955e-05-0j 0.00419537-0j 2.13359e-06-0j -7.55077e-06-0j -5.03385e-06-0j 0.00193606-0j 8.99472e-05-0j 0.000495231-0j 4.57434e-08-0j -2.07528e-05-0j 0.000330154-0j 0.000704145-0j -0.00589935-0j -3.00016e-06-0j 4.15085e-05-0j 0.000428188-0j -4.44933e-07-0j -0.00272241-0j 1.50966e-05-0j 9.31036e-05-0j 2.91817e-05-0j 9.1802e-06-0j -0.000990139-0j 6.17969e-06-0j 1.99611e-06-0j -0.000602099-0j 1.3249e-07-0j -0.000130918-0j -8.68961e-06-0j 
-0.0023297-0j -0.000388283-0j 0.0457026-0j 0.00464023-0j -2.85998e-06-0j -0.00209874-0j -0.000338682-0j 0.026438-0j -3.99141e-05-0j 0.00664406-0j 0.000389468-0j -1.85939e-07-0j 0.00131204-0j -0.00136448-0j 0.000207451-0j -0.000215742-0j -0.0156797-0j 0.000109336-0j 0.0163063-0j 2.3672e-05-0j -0.000113706-0j -2.46181e-05-0j -0.00261328-0j -0.00279113-0j 0.00271772-0j 2.27784e-06-0j 0.00290268-0j -0.000464382-0j -2.36888e-06-0j 0.000482943-0j -1.92486e-05-0j 2.00179e-05-0j 7.50329e-09-0j -7.80319e-09-0j -0.00101766-0j 0.00122345-0j -0.000734589-0j -0.000158656-0j 0.000190738-0j -0.000114524-0j 0.0117494-0j -1.77383e-05-0j -0.000112187-0j -0.0141252-0j 0.00848114-0j 2.13252e-05-0j 0.00189604-0j 0.000134872-0j -1.28042e-05-0j -1.32214e-05-0j -8.09809e-05-0j -1.65267e-06-0j 0.00220081-0j -0.00227944-0j 1.58949e-05-0j 0.000223451-0j 1.98686e-06-0j 0.00136864-0j -0.00264584-0j 0.000337514-0j -9.54369e-06-0j -1.37723e-07-0j -1.19296e-06-0j 0.00158863-0j -0.000268635-0j 3.24211e-05-0j -0.000405762-0j 0.000161295-0j 1.65571e-07-0j 1.04094e-06-0j 0.00024363-0j -3.89769e-05-0j -9.94134e-08-0j -3.42937e-10-0j -1.25143e-06-0j 2.34028e-05-0j 4.12283e-10-0j 7.51391e-07-0j -2.47545e-10-0j 
0.00235384-0j 0.000392307-0j -0.0461762-0j -0.00468832-0j 2.88962e-06-0j -0.00204701-0j -0.000330335-0j 0.0257863-0j -3.89303e-05-0j 0.0064803-0j 0.000379868-0j -1.81356e-07-0j 0.00136448-0j -0.00137779-0j 0.000215742-0j -0.000217847-0j -0.0163063-0j 0.000113706-0j 0.0164654-0j 2.46181e-05-0j -0.000114816-0j -2.48583e-05-0j -0.00271772-0j -0.00290268-0j 0.00274424-0j 2.36888e-06-0j 0.002931-0j -0.000482943-0j -2.39199e-06-0j 0.000487655-0j -2.00179e-05-0j 2.02132e-05-0j 7.80319e-09-0j -7.87932e-09-0j 0.00102821-0j -0.00122826-0j 0.000666383-0j 0.000160301-0j -0.000191488-0j 0.000103891-0j -0.0118711-0j 1.79221e-05-0j 0.00011335-0j 0.0141807-0j -0.00769367-0j -2.1409e-05-0j -0.00191569-0j -0.000135403-0j 1.16153e-05-0j 1.33584e-05-0j 7.34618e-05-0j 1.6698e-06-0j -0.00222362-0j 0.00228841-0j -1.59574e-05-0j -0.000225767-0j -1.99467e-06-0j -0.00124156-0j 0.00265624-0j -0.000341011-0j 8.65756e-06-0j 1.3915e-07-0j 1.08219e-06-0j -0.00144113-0j 0.000269691-0j -3.2757e-05-0j 0.000407358-0j -0.000146319-0j -1.66222e-07-0j -1.05173e-06-0j -0.000221009-0j 3.91302e-05-0j 9.01829e-08-0j 3.46491e-10-0j 1.25635e-06-0j -2.12298e-05-0j -4.13904e-10-0j -6.81625e-07-0j 2.24561e-10-0j 
0.000336263-0j -0.0053411-0j 3.43197e-05-0j 0.0311425-0j 0.0113265-0j 0.000302927-0j -0.0046588-0j 3.99141e-05-0j 0.0256106-0j -0.000475487-0j 0.00801032-0j 0.00123159-0j -0.000189376-0j 0.000196945-0j 0.00285363-0j -0.00296768-0j -2.3672e-05-0j -1.57813e-05-0j 2.46181e-05-0j -0.015189-0j 1.64121e-05-0j 0.0157961-0j 0.000375998-0j -1.39489e-06-0j -0.000391026-0j -0.00447901-0j 1.45064e-06-0j -0.00155022-0j 0.00465803-0j 0.00161218-0j -0.000797353-0j 0.000829222-0j -7.47046e-05-0j 7.76904e-05-0j 0.000146887-0j -0.000176589-0j 0.000106029-0j -0.00218242-0j 0.00262373-0j -0.00157536-0j 1.77383e-05-0j 0.0113817-0j 1.61928e-05-0j -2.13252e-05-0j 1.28042e-05-0j -0.0136832-0j -0.000272803-0j -1.94671e-05-0j 0.00821574-0j -0.000181869-0j 1.16886e-05-0j 0.00324972-0j 1.65267e-06-0j 0.000327967-0j 0.000218644-0j 0.00149967-0j -0.00390684-0j -0.00019692-0j -1.98686e-06-0j -1.60751e-05-0j -0.00013128-0j 0.000545428-0j 0.00234577-0j 1.19296e-06-0j -0.00180292-0j 0.000331673-0j 1.93256e-05-0j 0.00108252-0j -0.00065572-0j 7.21177e-05-0j -1.16036e-05-0j -0.000398741-0j 0.000393711-0j 4.78677e-06-0j -8.67006e-05-0j 0.000239414-0j -5.7547e-06-0j 5.20573e-05-0j 3.45527e-06-0j 
-0.00212672-0j -0.000354453-0j 0.0417206-0j 0.00423594-0j -2.61079e-06-0j -0.00191588-0j -0.000309173-0j 0.0241344-0j -3.64364e-05-0j 0.00606517-0j 0.000355534-0j -1.69738e-07-0j -0.00123281-0j -0.00124559-0j -0.000194925-0j -0.000196945-0j 0.0147329-0j -0.000102735-0j 0.0148856-0j -2.22427e-05-0j -0.000103799-0j -2.24732e-05-0j 0.00245549-0j 0.0026226-0j 0.00248093-0j -2.1403e-06-0j 0.00264977-0j 0.000436343-0j -2.16248e-06-0j 0.000440865-0j 1.80864e-05-0j 1.82738e-05-0j -7.05024e-09-0j -7.1233e-09-0j 0.00182697-0j -0.00114957-0j -0.000670585-0j 0.000284829-0j -0.000179221-0j -0.000104546-0j -0.0210931-0j 3.18448e-05-0j 0.000201404-0j 0.0132723-0j 0.00774218-0j -2.00376e-05-0j -0.00340388-0j -0.000126729-0j -1.16886e-05-0j 2.37357e-05-0j -7.39251e-05-0j 2.96697e-06-0j -0.00395102-0j 0.00214181-0j -1.49351e-05-0j -0.000401152-0j -1.86689e-06-0j 0.00124939-0j 0.00248608-0j -0.000605923-0j -8.71215e-06-0j 2.47247e-07-0j -1.08902e-06-0j 0.00145022-0j 0.000252415-0j -5.82041e-05-0j 0.000381262-0j 0.000147242-0j -1.55574e-07-0j -1.86875e-06-0j 0.000222403-0j 3.66235e-05-0j -9.07516e-08-0j 6.1566e-10-0j 1.17587e-06-0j 2.13637e-05-0j -3.87389e-10-0j 6.85923e-07-0j -2.25977e-10-0j 
-0.000339748-0j 0.00539645-0j -3.46754e-05-0j -0.0314652-0j -0.0114439-0j 0.00029546-0j -0.00454397-0j 3.89303e-05-0j 0.0249794-0j -0.000463767-0j 0.00781289-0j 0.00120124-0j -0.000196945-0j 0.000198866-0j 0.00296768-0j -0.00299664-0j -2.46181e-05-0j -1.64121e-05-0j 2.48583e-05-0j -0.0157961-0j 1.65722e-05-0j 0.0159502-0j 0.000391026-0j -1.45064e-06-0j -0.000394841-0j -0.00465803-0j 1.46479e-06-0j -0.00161218-0j 0.00470348-0j 0.00162791-0j -0.000829222-0j 0.000837312-0j -7.76904e-05-0j 7.84484e-05-0j -0.000148409-0j 0.000177284-0j -9.61841e-05-0j 0.00220504-0j -0.00263405-0j 0.00142909-0j -1.79221e-05-0j -0.0114996-0j -1.63606e-05-0j 2.1409e-05-0j -1.16153e-05-0j 0.013737-0j 0.00027563-0j 1.95437e-05-0j -0.00745291-0j 0.000183753-0j -1.06033e-05-0j -0.00328339-0j -1.6698e-06-0j -0.000329256-0j -0.000219504-0j -0.00151521-0j 0.0039222-0j 0.000178636-0j 1.99467e-06-0j 1.62417e-05-0j 0.000119091-0j -0.000551081-0j -0.00212797-0j -1.08219e-06-0j 0.00181001-0j -0.00033511-0j -1.94016e-05-0j -0.000982007-0j 0.000658298-0j -7.28651e-05-0j 1.05262e-05-0j 0.000400308-0j -0.000357155-0j -4.83637e-06-0j 8.70415e-05-0j -0.000217185-0j 5.77733e-06-0j -4.72238e-05-0j -3.13445e-06-0j 
0.000306965-0j -0.00487573-0j 3.13295e-05-0j 0.0284291-0j 0.0103396-0j 0.000276533-0j -0.00425289-0j 3.64364e-05-0j 0.0233792-0j -0.000434058-0j 0.00731239-0j 0.00112428-0j 0.000177941-0j 0.000179785-0j -0.00268132-0j -0.00270911-0j 2.22427e-05-0j 1.48284e-05-0j 2.24732e-05-0j 0.0142719-0j 1.49821e-05-0j 0.0144198-0j -0.000353295-0j 1.31066e-06-0j -0.000356957-0j 0.00420857-0j 1.32424e-06-0j 0.00145662-0j 0.00425218-0j 0.00147171-0j 0.000749209-0j 0.000756973-0j 7.01939e-05-0j 7.09213e-05-0j -0.0002637-0j 0.000165927-0j 9.67907e-05-0j 0.00391801-0j -0.00246531-0j -0.0014381-0j -3.18448e-05-0j -0.020433-0j -2.90702e-05-0j 2.00376e-05-0j 1.16886e-05-0j 0.012857-0j 0.000489751-0j 1.82917e-05-0j 0.00749991-0j 0.000326501-0j 1.06702e-05-0j -0.00583407-0j -2.96697e-06-0j -0.000308164-0j -0.000205443-0j -0.00269229-0j 0.00367095-0j -0.000179762-0j 1.86689e-06-0j 2.88589e-05-0j -0.000119842-0j -0.000979183-0j 0.00214139-0j 1.08902e-06-0j 0.00169406-0j -0.000595438-0j -1.81587e-05-0j 0.0009882-0j 0.000616127-0j -0.00012947-0j -1.05926e-05-0j 0.000374664-0j 0.000359407-0j -8.59347e-06-0j 8.14656e-05-0j 0.000218554-0j 5.40723e-06-0j 4.75216e-05-0j 3.15422e-06-0j 
