-0.0131874-0j -0.00240768-0j -0.00393172-0j -0.00087916-0j -9.26716e-05-0j -0.0121057-0j -0.00285334-0j -0.00349461-0j -0.000638026-0j -0.00073673-0j -0.000134508-0j -1.09825e-05-0j 0.741503-0j -0.00119554-0j -0.00179331-0j -0.000189031-0j -0.00226838-0j -0.000534661-0j -0.00046303-0j -8.45374e-05-0j -7.97026e-05-0j -1.26021e-05-0j -8.40139e-07-0j 0.717957-0j -0.00115758-0j -0.00173636-0j -0.000183029-0j -0.00219635-0j -0.000517684-0j -0.000448327-0j -8.18529e-05-0j -7.71717e-05-0j -1.22019e-05-0j -8.13461e-07-0j 
0.0125306-0j 0.00228776-0j 0.0037359-0j 0.000835373-0j 8.8056e-05-0j 0.000650953-0j 0.000153431-0j 0.000187914-0j 3.43082e-05-0j 3.96157e-05-0j 7.23281e-06-0j 5.90556e-07-0j -0.00675798-0j -0.00100742-0j -0.00151113-0j -0.000159287-0j -0.00191144-0j -0.000450532-0j -0.000390172-0j -7.12353e-05-0j -6.71613e-05-0j -1.06191e-05-0j -7.07942e-07-0j 0.0073785-0j 0.00109992-0j 0.00164988-0j 0.000173913-0j 0.00208695-0j 0.0004919-0j 0.000425998-0j 7.77762e-05-0j 7.33281e-05-0j 1.15942e-05-0j 7.72946e-07-0j 
0.149566-0j -0.000451153-0j 0.0330469-0j -0.000164738-0j -1.73649e-05-0j -0.00012837-0j 0.00135722-0j 0.00224296-0j -6.76567e-06-0j 0.000350432-0j -1.42633e-06-0j -1.16459e-07-0j 0.00133269-0j -0.0180215-0j -0.018037-0j 3.14118e-05-0j 0.000376942-0j -0.0039853-0j -0.00465713-0j 1.40478e-05-0j -0.000594094-0j 2.09412e-06-0j 1.39608e-07-0j -0.00145506-0j 0.0196762-0j 0.0196932-0j -3.42961e-05-0j -0.000411553-0j 0.00435123-0j 0.00508475-0j -1.53377e-05-0j 0.000648644-0j -2.2864e-06-0j -1.52427e-07-0j 
-0.00270692-0j 0.0295336-0j -0.000807047-0j 0.00530183-0j -1.90223e-05-0j 0.0107426-0j 0.000973776-0j -4.0594e-05-0j 0.000442897-0j -8.55797e-06-0j 4.59042e-05-0j -1.27575e-07-0j 0.00145989-0j 0.000217628-0j -0.00959064-0j -0.00310165-0j -0.0315444-0j -0.00285938-0j 8.42868e-05-0j -0.000919603-0j 1.45085e-05-0j -6.73961e-05-0j 1.52933e-07-0j -0.00159394-0j -0.00023761-0j 0.0104713-0j 0.00338644-0j 0.0344408-0j 0.00312192-0j -9.2026e-05-0j 0.00100404-0j -1.58407e-05-0j 7.35845e-05-0j -1.66975e-07-0j 
0.000451153-0j 0.142111-0j -0.00603352-0j -0.00179736-0j 3.17038e-06-0j 2.3437e-05-0j 0.0148078-0j 6.76567e-06-0j 0.00213115-0j -6.39798e-05-0j -1.55618e-05-0j 2.12625e-08-0j -0.000243315-0j 0.00329026-0j 0.00325129-0j -0.0307175-0j -6.88199e-05-0j -0.0434813-0j -1.40478e-05-0j -0.00442498-0j 0.000108466-0j 2.28477e-05-0j -2.54888e-08-0j 0.000265656-0j -0.00359237-0j -0.00354982-0j 0.033538-0j 7.51389e-05-0j 0.0474737-0j 1.53377e-05-0j 0.00483128-0j -0.000118426-0j -2.49456e-05-0j 2.78292e-08-0j 
-0.00349461-0j -0.000638026-0j 0.014685-0j 0.00680031-0j 0.00145819-0j -0.000181542-0j -4.27899e-05-0j 0.000738648-0j 0.000134858-0j 0.00032249-0j 8.9326e-05-0j 1.22655e-05-0j -0.174256-0j 0.000280956-0j 0.000421434-0j 4.4423e-05-0j -0.00751347-0j -0.00177094-0j -0.00317617-0j -0.000579887-0j -0.00082945-0j -0.000175851-0j -1.76838e-05-0j 0.190256-0j -0.000306753-0j -0.00046013-0j -4.8502e-05-0j 0.00820336-0j 0.00193355-0j 0.00346781-0j 0.000633133-0j 0.00090561-0j 0.000191997-0j 1.93075e-05-0j 
0.000520946-0j 9.51114e-05-0j 0.19858-0j -0.00101373-0j -0.000217374-0j 2.70627e-05-0j -0.000578631-0j -0.000110111-0j -2.01035e-05-0j 0.00436091-0j -1.33159e-05-0j -1.82844e-06-0j -0.000280956-0j -0.1685-0j -6.28237e-05-0j -6.62219e-06-0j 0.00112004-0j -0.0239478-0j 0.000473476-0j 8.64445e-05-0j -0.0112163-0j 2.62143e-05-0j 2.63614e-06-0j 0.000306753-0j 0.183972-0j 6.85921e-05-0j 7.23025e-06-0j -0.00122288-0j 0.0261467-0j -0.000516951-0j -9.43819e-05-0j 0.0122462-0j -2.86213e-05-0j -2.87819e-06-0j 
-0.047297-0j -0.0085256-0j -0.00328367-0j 0.0446741-0j -0.000326061-0j 4.0594e-05-0j -0.000281105-0j 0.00999706-0j 0.00180204-0j -7.21109e-05-0j 0.000586821-0j -2.74265e-06-0j -0.000421434-0j -6.28237e-05-0j -0.167574-0j 0.000895368-0j 0.00168006-0j -0.0116341-0j -0.0429872-0j -0.00774872-0j 0.000185471-0j -0.00115524-0j 3.95421e-06-0j 0.00046013-0j 6.85921e-05-0j 0.182961-0j -0.000977581-0j -0.00183433-0j 0.0127023-0j 0.0469343-0j 0.00846021-0j -0.000202501-0j 0.00126131-0j -4.31729e-06-0j 
-8.23689e-05-0j -0.0805482-0j 0.000346129-0j -0.0144478-0j 3.43698e-05-0j -4.27899e-06-0j 9.09103e-05-0j 1.74101e-05-0j 0.0170253-0j 7.60115e-06-0j -0.00018978-0j 2.89101e-07-0j 4.4423e-05-0j 6.62219e-06-0j -0.000895368-0j -0.159032-0j -0.000177094-0j 0.0037625-0j -7.48632e-05-0j -0.0732084-0j -1.95503e-05-0j 0.000373608-0j -4.16811e-07-0j -4.8502e-05-0j -7.23025e-06-0j 0.000977581-0j 0.173634-0j 0.000193355-0j -0.00410797-0j 8.17371e-05-0j 0.0799304-0j 2.13454e-05-0j -0.000407913-0j 4.55082e-07-0j 
0.000698923-0j 0.000127605-0j -0.00608238-0j 0.0184661-0j 0.0128406-0j -0.00277373-0j 8.55797e-06-0j -0.000305941-0j -5.58568e-05-0j 0.000875715-0j 0.000515379-0j 0.000145164-0j -0.000376942-0j -5.61912e-05-0j -8.42868e-05-0j -8.88461e-06-0j -0.237737-0j 0.000733506-0j -0.00862485-0j -0.00157467-0j -0.00478563-0j -0.00154852-0j -0.000262796-0j 0.000411553-0j 6.13507e-05-0j 9.2026e-05-0j 9.70039e-06-0j 0.259566-0j -0.000800857-0j 0.00941678-0j 0.00171926-0j 0.00522505-0j 0.00169071-0j 0.000286926-0j 
-0.000164738-0j 0.00179736-0j -0.0643073-0j 0.127874-0j -0.00302657-0j -8.55797e-06-0j -0.00265828-0j 7.21109e-05-0j -0.000786759-0j 0.00925869-0j 0.00356889-0j -3.42154e-05-0j 8.88461e-05-0j -0.00120143-0j -0.000583668-0j -0.00018876-0j -0.000733506-0j -0.227842-0j 0.0020329-0j -0.0221797-0j -0.0505972-0j -0.0107232-0j 6.19416e-05-0j -9.70039e-05-0j 0.00131175-0j 0.00063726-0j 0.000206092-0j 0.000800857-0j 0.248762-0j -0.00221956-0j 0.0242163-0j 0.055243-0j 0.0117078-0j -6.7629e-05-0j 
0.00705063-0j -2.12675e-05-0j 0.00153796-0j -0.00992086-0j 0.0610004-0j -6.0514e-06-0j -1.42633e-06-0j -0.00468229-0j 1.41237e-05-0j -0.000470475-0j 0.00112078-0j 0.00105905-0j 6.28237e-05-0j 9.3652e-06-0j -0.000850272-0j 1.48077e-06-0j -0.000786885-0j -0.000185471-0j -0.280462-0j 0.000845988-0j -0.0104072-0j -0.00735636-0j -0.00258293-0j -6.85921e-05-0j -1.02251e-05-0j 0.000928344-0j -1.61673e-06-0j 0.000859137-0j 0.000202501-0j 0.306215-0j -0.000923667-0j 0.0113628-0j 0.00803182-0j 0.00282009-0j 
2.12675e-05-0j 0.00669916-0j -0.000280792-0j -0.108241-0j -0.0111371-0j 1.10483e-06-0j -1.55618e-05-0j -1.41237e-05-0j -0.00444888-0j 8.58965e-05-0j 0.0122282-0j -0.000193356-0j -1.147e-05-0j -1.70984e-06-0j 0.000153267-0j -0.00144804-0j 0.000143665-0j -0.00202356-0j -0.000845988-0j -0.266481-0j 0.00190009-0j -0.0802608-0j 0.000471576-0j 1.25232e-05-0j 1.86684e-06-0j -0.00016734-0j 0.001581-0j -0.000156856-0j 0.00220936-0j 0.000923667-0j 0.29095-0j -0.00207455-0j 0.0876304-0j -0.000514876-0j 
1.73649e-05-0j 3.17038e-06-0j 0.0137894-0j 0.00302657-0j 0.113721-0j 9.02089e-07-0j -9.53754e-06-0j -1.54627e-05-0j -2.82309e-06-0j -0.00643814-0j -0.00074692-0j 0.00444489-0j -9.3652e-06-0j 0.000126642-0j -2.09412e-06-0j -2.2074e-07-0j 0.000157286-0j -0.00166294-0j -0.0014136-0j -0.000258087-0j -0.311107-0j -0.0137142-0j -0.0167553-0j 1.02251e-05-0j -0.00013827-0j 2.2864e-06-0j 2.41008e-07-0j -0.000171728-0j 0.00181563-0j 0.0015434-0j 0.000281784-0j 0.339673-0j 0.0149734-0j 0.0182938-0j 
-2.45577e-06-0j 2.67934e-05-0j 5.45265e-05-0j 0.0211971-0j -0.0937289-0j -1.27575e-07-0j 8.83427e-07-0j 2.74265e-06-0j -2.99235e-05-0j -3.42154e-05-0j -0.00803368-0j 0.00751181-0j 1.32444e-06-0j 1.97436e-07-0j -8.7008e-06-0j -2.81387e-06-0j -2.78981e-05-0j 0.000193188-0j 0.000336985-0j -0.00367664-0j -0.00253913-0j -0.332083-0j -0.0658775-0j -1.44605e-06-0j -2.15564e-07-0j 9.49971e-06-0j 3.07224e-06-0j 3.04597e-05-0j -0.000210927-0j -0.000367927-0j 0.00401423-0j 0.00277227-0j 0.362575-0j 0.0719263-0j 
1.38367e-07-0j 2.52622e-08-0j -4.31761e-06-0j 8.63332e-05-0j 0.0396476-0j 7.18802e-09-0j 1.69423e-09-0j -2.17174e-07-0j -3.96503e-08-0j 4.09416e-06-0j -5.54151e-05-0j -0.0115018-0j -7.46237e-08-0j -1.11242e-08-0j -1.66864e-08-0j -1.7589e-09-0j 2.20907e-06-0j 5.20683e-07-0j -4.03231e-05-0j -7.36195e-06-0j 0.000514566-0j -0.00478131-0j -0.378405-0j 8.14756e-08-0j 1.21457e-08-0j 1.82185e-08-0j 1.9204e-09-0j -2.41191e-06-0j -5.68493e-07-0j 4.40256e-05-0j 8.03793e-06-0j -0.000561813-0j 0.00522033-0j 0.41315-0j 
