-0.0669592-0j -0.0141897-0j -0.134595-0j -0.0581453-0j -0.120131-0j 0.125277-0j -0.104708-0j 0.0748645-0j -0.201874-0j -0.161389-0j 0.217346-0j 0.0708899-0j -0.0805882-0j -0.308021-0j -0.295607-0j 0.063888-0j 0.0553386-0j -0.164882-0j 0.000252305-0j -0.129765-0j 0.104856-0j -0.0627572-0j 0.00666074-0j 0.0182288-0j 0.0953366-0j 0.159464-0j -0.108728-0j -0.376888-0j -0.00744132-0j -0.0894862-0j 0.12348-0j -0.06439-0j 0.0152021-0j -0.0271911-0j 0.0779342-0j -0.113735-0j -0.132003-0j 0.103324-0j -0.141203-0j -0.0350735-0j 0.203836-0j -0.183633-0j 0.243476-0j -0.0922743-0j 0.104645-0j -0.156368-0j -0.116497-0j -0.137277-0j 0.0702878-0j -0.087528-0j 0.108728-0j -0.102479-0j 0.0543818-0j -0.119803-0j 0.013549-0j -0.0626664-0j 
0.000121122-0j 2.56676e-05-0j 0.000243467-0j 0.000105178-0j 0.000217303-0j -0.000226613-0j 0.000189406-0j -0.000135422-0j 0.000365168-0j 0.000291935-0j -0.000393155-0j -0.000128232-0j 0.000145775-0j 0.000557176-0j 0.000534721-0j -0.000115566-0j -0.000100101-0j 0.000298254-0j -4.56392e-07-0j 0.000234732-0j -0.000189673-0j 0.000113521-0j -1.20486e-05-0j -3.29739e-05-0j -0.000172454-0j -0.000288452-0j 0.000196678-0j 0.000681748-0j 1.34605e-05-0j 0.000161871-0j -0.000223362-0j 0.000116474-0j -2.74989e-05-0j 4.91857e-05-0j -0.000140974-0j 0.000205734-0j 0.000238779-0j -0.000186902-0j 0.00025542-0j 6.34441e-05-0j -0.000368717-0j 0.000332173-0j -0.000440421-0j 0.000166914-0j -0.000189292-0j 0.000282853-0j 0.00021073-0j 0.000248318-0j -0.000127143-0j 0.000158328-0j -0.000196677-0j 0.000185374-0j -9.83707e-05-0j 0.000216711-0j -2.45086e-05-0j 0.000113357-0j 
1.25485e-17-0j 2.65922e-18-0j 2.52238e-17-0j 1.08967e-17-0j 2.25131e-17-0j -2.34776e-17-0j 1.96229e-17-0j -1.403e-17-0j 3.78322e-17-0j 3.02451e-17-0j -4.07318e-17-0j -1.32851e-17-0j 1.51027e-17-0j 5.77247e-17-0j 5.53983e-17-0j -1.19729e-17-0j -1.03707e-17-0j 3.08999e-17-0j -4.72833e-20-0j 2.43187e-17-0j -1.96505e-17-0j 1.1761e-17-0j -1.24826e-18-0j -3.41617e-18-0j -1.78666e-17-0j -2.98843e-17-0j 2.03763e-17-0j 7.06308e-17-0j 1.39454e-18-0j 1.67702e-17-0j -2.31408e-17-0j 1.2067e-17-0j -2.84896e-18-0j 5.09576e-18-0j -1.46053e-17-0j 2.13145e-17-0j 2.47381e-17-0j -1.93635e-17-0j 2.64622e-17-0j 6.57296e-18-0j -3.82e-17-0j 3.44139e-17-0j -4.56287e-17-0j 1.72927e-17-0j -1.96111e-17-0j 2.93043e-17-0j 2.18321e-17-0j 2.57263e-17-0j -1.31723e-17-0j 1.64032e-17-0j -2.03762e-17-0j 1.92052e-17-0j -1.01914e-17-0j 2.24517e-17-0j -2.53915e-18-0j 1.1744e-17-0j 
3.86107e-06-0j 8.1822e-07-0j 7.76116e-06-0j 3.35283e-06-0j 6.92711e-06-0j -7.22386e-06-0j 6.0378e-06-0j -4.31691e-06-0j 1.16407e-05-0j 9.30618e-06-0j -1.25328e-05-0j -4.08773e-06-0j 4.64696e-06-0j 1.77614e-05-0j 1.70456e-05-0j -3.68398e-06-0j -3.19099e-06-0j 9.50763e-06-0j -1.45487e-08-0j 7.48268e-06-0j -6.04631e-06-0j 3.61877e-06-0j -3.84079e-07-0j -1.05113e-06-0j -5.4974e-06-0j -9.19516e-06-0j 6.26961e-06-0j 2.17325e-05-0j 4.29089e-07-0j 5.16005e-06-0j -7.12023e-06-0j 3.71293e-06-0j -8.766e-07-0j 1.56792e-06-0j -4.49393e-06-0j 6.55829e-06-0j 7.61171e-06-0j -5.95799e-06-0j 8.14219e-06-0j 2.02245e-06-0j -1.17538e-05-0j 1.05889e-05-0j -1.40396e-05-0j 5.32082e-06-0j -6.03417e-06-0j 9.01668e-06-0j 6.71757e-06-0j 7.91578e-06-0j -4.05301e-06-0j 5.04713e-06-0j -6.26959e-06-0j 5.90927e-06-0j -3.13582e-06-0j 6.90821e-06-0j -7.81274e-07-0j 3.61354e-06-0j 
0.000171699-0j 3.63856e-05-0j 0.000345133-0j 0.000149098-0j 0.000308043-0j -0.000321239-0j 0.000268496-0j -0.00019197-0j 0.000517651-0j 0.000413838-0j -0.000557325-0j -0.000181778-0j 0.000206647-0j 0.000789837-0j 0.000758005-0j -0.000163824-0j -0.000141901-0j 0.000422797-0j -6.46968e-07-0j 0.000332749-0j -0.000268874-0j 0.000160924-0j -1.70797e-05-0j -4.67428e-05-0j -0.000244465-0j -0.000408901-0j 0.000278805-0j 0.000966427-0j 1.90812e-05-0j 0.000229463-0j -0.000316631-0j 0.000165111-0j -3.89817e-05-0j 6.97243e-05-0j -0.000199841-0j 0.000291642-0j 0.000338486-0j -0.000264947-0j 0.000362077-0j 8.99365e-05-0j -0.000522683-0j 0.000470878-0j -0.000624328-0j 0.000236612-0j -0.000268335-0j 0.000400965-0j 0.000298725-0j 0.000352009-0j -0.000180234-0j 0.000224442-0j -0.000278804-0j 0.000262781-0j -0.000139448-0j 0.000307203-0j -3.47426e-05-0j 0.000160691-0j 
-1.16747e-18-0j -2.47405e-19-0j -2.34674e-18-0j -1.0138e-18-0j -2.09455e-18-0j 2.18428e-18-0j -1.82565e-18-0j 1.30531e-18-0j -3.51979e-18-0j -2.81391e-18-0j 3.78955e-18-0j 1.23601e-18-0j -1.4051e-18-0j -5.37052e-18-0j -5.15408e-18-0j 1.11392e-18-0j 9.6486e-19-0j -2.87482e-18-0j 4.39908e-21-0j -2.26254e-18-0j 1.82822e-18-0j -1.09421e-18-0j 1.16134e-19-0j 3.17829e-19-0j 1.66225e-18-0j 2.78034e-18-0j -1.89574e-18-0j -6.57126e-18-0j -1.29744e-19-0j -1.56024e-18-0j 2.15294e-18-0j -1.12268e-18-0j 2.65058e-19-0j -4.74093e-19-0j 1.35883e-18-0j -1.98303e-18-0j -2.30155e-18-0j 1.80152e-18-0j -2.46195e-18-0j -6.11527e-19-0j 3.554e-18-0j -3.20175e-18-0j 4.24514e-18-0j -1.60886e-18-0j 1.82455e-18-0j -2.72637e-18-0j -2.03119e-18-0j -2.3935e-18-0j 1.22551e-18-0j -1.5261e-18-0j 1.89574e-18-0j -1.78679e-18-0j 9.48179e-19-0j -2.08884e-18-0j 2.36234e-19-0j -1.09262e-18-0j 
-1.91764e-05-0j -4.06377e-06-0j -3.85466e-05-0j -1.66522e-05-0j -3.44042e-05-0j 3.58781e-05-0j -2.99874e-05-0j 2.14404e-05-0j -5.78146e-05-0j -4.62201e-05-0j 6.22456e-05-0j 2.03021e-05-0j -2.30796e-05-0j -8.8214e-05-0j -8.46588e-05-0j 1.82968e-05-0j 1.58484e-05-0j -4.72206e-05-0j 7.22575e-08-0j -3.71635e-05-0j 3.00296e-05-0j -1.7973e-05-0j 1.90757e-06-0j 5.22053e-06-0j 2.73034e-05-0j 4.56687e-05-0j -3.11387e-05-0j -0.000107937-0j -2.13111e-06-0j -2.56279e-05-0j 3.53633e-05-0j -1.84406e-05-0j 4.35372e-06-0j -7.78725e-06-0j 2.23195e-05-0j -3.25724e-05-0j -3.78043e-05-0j 2.9591e-05-0j -4.0439e-05-0j -1.00447e-05-0j 5.83765e-05-0j -5.25907e-05-0j 6.97289e-05-0j -2.64264e-05-0j 2.99693e-05-0j -4.47823e-05-0j -3.33635e-05-0j -3.93146e-05-0j 2.01297e-05-0j -2.50671e-05-0j 3.11386e-05-0j -2.9349e-05-0j 1.55744e-05-0j -3.43103e-05-0j 3.88028e-06-0j -1.7947e-05-0j 
0.000192822-0j 4.08618e-05-0j 0.000387592-0j 0.00016744-0j 0.000345939-0j -0.000360759-0j 0.000301527-0j -0.000215586-0j 0.000581334-0j 0.00046475-0j -0.000625888-0j -0.000204141-0j 0.000232069-0j 0.000887004-0j 0.000851256-0j -0.000183977-0j -0.000159358-0j 0.00047481-0j -7.26559e-07-0j 0.000373684-0j -0.000301952-0j 0.000180721-0j -1.91809e-05-0j -5.24932e-05-0j -0.00027454-0j -0.000459205-0j 0.000313104-0j 0.00108532-0j 2.14287e-05-0j 0.000257692-0j -0.000355584-0j 0.000185423-0j -4.37773e-05-0j 7.83019e-05-0j -0.000224426-0j 0.00032752-0j 0.000380128-0j -0.000297541-0j 0.00040662-0j 0.000101001-0j -0.000586985-0j 0.000528807-0j -0.000701134-0j 0.000265721-0j -0.000301346-0j 0.000450292-0j 0.000335475-0j 0.000395314-0j -0.000202407-0j 0.000252053-0j -0.000313103-0j 0.000295109-0j -0.000156603-0j 0.000344996-0j -3.90168e-05-0j 0.00018046-0j 
0.000271889-0j 5.76174e-05-0j 0.000546525-0j 0.0002361-0j 0.000487793-0j -0.00050869-0j 0.00042517-0j -0.000303989-0j 0.000819713-0j 0.000655323-0j -0.000882537-0j -0.00028785-0j 0.00032723-0j 0.00125072-0j 0.00120032-0j -0.000259418-0j -0.000224703-0j 0.000669508-0j -1.02449e-06-0j 0.000526915-0j -0.000425769-0j 0.000254827-0j -2.70461e-05-0j -7.40183e-05-0j -0.000387116-0j -0.000647505-0j 0.000441494-0j 0.00153036-0j 3.02156e-05-0j 0.00036336-0j -0.000501392-0j 0.000261457-0j -6.17284e-05-0j 0.00011041-0j -0.000316453-0j 0.000461822-0j 0.000536001-0j -0.00041955-0j 0.000573357-0j 0.000142417-0j -0.000827681-0j 0.000745647-0j -0.000988638-0j 0.000374681-0j -0.000424914-0j 0.000634937-0j 0.000473038-0j 0.000557414-0j -0.000285405-0j 0.000355409-0j -0.000441492-0j 0.000416119-0j -0.000220818-0j 0.000486463-0j -5.50158e-05-0j 0.000254458-0j 
-8.45456e-18-0j -1.79165e-18-0j -1.69945e-17-0j -7.34167e-18-0j -1.51682e-17-0j 1.5818e-17-0j -1.32209e-17-0j 9.45271e-18-0j -2.54895e-17-0j -2.03777e-17-0j 2.7443e-17-0j 8.95086e-18-0j -1.01754e-17-0j -3.8892e-17-0j -3.73246e-17-0j 8.06677e-18-0j 6.98729e-18-0j -2.08188e-17-0j 3.18571e-20-0j -1.63848e-17-0j 1.32395e-17-0j -7.924e-18-0j 8.41014e-19-0j 2.30164e-18-0j 1.20376e-17-0j 2.01346e-17-0j -1.37285e-17-0j -4.75875e-17-0j -9.39573e-19-0j -1.12989e-17-0j 1.55911e-17-0j -8.13016e-18-0j 1.91948e-18-0j -3.43327e-18-0j 9.84031e-18-0j -1.43606e-17-0j -1.66673e-17-0j 1.30462e-17-0j -1.78289e-17-0j -4.42853e-18-0j 2.57372e-17-0j -2.31863e-17-0j 3.07423e-17-0j -1.16509e-17-0j 1.3213e-17-0j -1.97438e-17-0j -1.47094e-17-0j -1.73331e-17-0j 8.87484e-18-0j -1.10517e-17-0j 1.37285e-17-0j -1.29395e-17-0j 6.86648e-18-0j -1.51269e-17-0j 1.71075e-18-0j -7.91253e-18-0j 
-2.69689e-19-0j -5.71513e-20-0j -5.42104e-19-0j -2.3419e-19-0j -4.83847e-19-0j 5.04575e-19-0j -4.2173e-19-0j 3.01529e-19-0j -8.13081e-19-0j -6.50021e-19-0j 8.75397e-19-0j 2.85521e-19-0j -3.24583e-19-0j -1.24061e-18-0j -1.19061e-18-0j 2.5732e-19-0j 2.22885e-19-0j -6.64092e-19-0j 1.0162e-21-0j -5.22652e-19-0j 4.22324e-19-0j -2.52765e-19-0j 2.68273e-20-0j 7.34195e-20-0j 3.83984e-19-0j 6.42266e-19-0j -4.37922e-19-0j -1.51798e-18-0j -2.99712e-20-0j -3.60421e-19-0j 4.97336e-19-0j -2.59342e-19-0j 6.1229e-20-0j -1.09517e-19-0j 3.13893e-19-0j -4.58085e-19-0j -5.31665e-19-0j 4.16155e-19-0j -5.68718e-19-0j -1.41264e-19-0j 8.20984e-19-0j -7.39614e-19-0j 9.8064e-19-0j -3.7165e-19-0j 4.21477e-19-0j -6.298e-19-0j -4.69211e-19-0j -5.52904e-19-0j 2.83096e-19-0j -3.52534e-19-0j 4.3792e-19-0j -4.12753e-19-0j 2.19032e-19-0j -4.82527e-19-0j 5.45707e-20-0j -2.52399e-19-0j 
3.8882e-05-0j 8.23968e-06-0j 7.81568e-05-0j 3.37639e-05-0j 6.97577e-05-0j -7.27461e-05-0j 6.08022e-05-0j -4.34724e-05-0j 0.000117224-0j 9.37156e-05-0j -0.000126209-0j -4.11644e-05-0j 4.67961e-05-0j 0.000178862-0j 0.000171654-0j -3.70986e-05-0j -3.21341e-05-0j 9.57442e-05-0j -1.46509e-07-0j 7.53524e-05-0j -6.08878e-05-0j 3.6442e-05-0j -3.86777e-06-0j -1.05851e-05-0j -5.53602e-05-0j -9.25975e-05-0j 6.31366e-05-0j 0.000218852-0j 4.32103e-06-0j 5.1963e-05-0j -7.17025e-05-0j 3.73901e-05-0j -8.82758e-06-0j 1.57894e-05-0j -4.5255e-05-0j 6.60436e-05-0j 7.66518e-05-0j -5.99984e-05-0j 8.19939e-05-0j 2.03665e-05-0j -0.000118364-0j 0.000106632-0j -0.000141382-0j 5.3582e-05-0j -6.07656e-05-0j 9.08003e-05-0j 6.76476e-05-0j 7.97139e-05-0j -4.08148e-05-0j 5.08259e-05-0j -6.31363e-05-0j 5.95079e-05-0j -3.15785e-05-0j 6.95674e-05-0j -7.86763e-06-0j 3.63892e-05-0j 
-0.000297057-0j -6.2951e-05-0j -0.000597116-0j -0.000257955-0j -0.000532948-0j 0.000555779-0j -0.000464527-0j 0.000332128-0j -0.000895592-0j -0.000715985-0j 0.000964232-0j 0.000314495-0j -0.000357521-0j -0.0013665-0j -0.00131143-0j 0.000283432-0j 0.000245504-0j -0.000731484-0j 1.11932e-06-0j -0.000575691-0j 0.000465182-0j -0.000278416-0j 2.95497e-05-0j 8.087e-05-0j 0.000422951-0j 0.000707443-0j -0.000482362-0j -0.00167202-0j -3.30126e-05-0j -0.000396996-0j 0.000547805-0j -0.00028566-0j 6.74425e-05-0j -0.000120631-0j 0.000345747-0j -0.000504572-0j -0.000585618-0j 0.000458387-0j -0.000626431-0j -0.0001556-0j 0.000904297-0j -0.00081467-0j 0.00108015-0j -0.000409365-0j 0.000464248-0j -0.000693712-0j -0.000516826-0j -0.000609013-0j 0.000311824-0j -0.000388309-0j 0.00048236-0j -0.000454639-0j 0.000241259-0j -0.000531494-0j 6.01085e-05-0j -0.000278013-0j 
