0.523571-0.486967j 0.494839+0.522075j 0.0459186-0.0808658j -0.100425-0.0214611j -0.0193105+0.0658524j 0.00547244-0.0131709j -0.0315077+0.0104653j 0.0109508+0.0232732j -0.0214566-0.046531j -0.00955366-0.0181868j 0.0428355-0.0334624j -0.00610505+0.00633204j -0.0324698+0.0242174j 0.0293684+0.0236002j 0.0150287+0.00859751j -0.0027234+0.000101138j 0.0102092+0.00532458j 0.00147306-0.00782508j 0.0128894+0.00993399j 0.0133928-0.0248623j -0.00582542+0.00899017j 0.0196309+0.00133228j 0.0004588+0.0213627j -0.00241028+0.0213805j 0.00128755-0.00440011j -0.0434222+0.000659448j -0.000184182-0.00205351j 0.0018685+0.00291497j 0.000234335-0.0373103j -0.0190437-0.00346819j 0.00334273+0.00527751j 0.0117791+0.0204999j 0.0211571-0.00866718j -0.00157207-0.00369009j 0.00697719-0.00298828j 0.000563264-5.40156e-05j 
-0.0229386-0.00895945j 0.0118575-0.022479j 0.00884684-0.00483246j -0.0241603-0.0399739j 0.0487686-0.0271046j -0.089429+0.00663228j -0.0359069+0.00257883j -0.0384515+0.0648461j 0.0113808-0.00247123j -0.0270989+0.0767817j -0.00158156+0.0117436j 0.0440088-0.00294488j 0.000880324+0.00505826j 0.0526659-0.0177799j -0.0598117+0.0253704j 0.0221047+0.0906049j -0.0144609-0.0552791j 0.0875006+0.0797634j 0.149474+0.0297883j 0.118215+0.13861j 0.253065+0.0787664j 0.13032-0.0405624j -0.155244-0.140711j 0.169208-0.164474j 0.0251565-0.361624j -0.0314645+0.019388j 0.0188864+0.132992j 0.0372571+0.164267j -0.00114235-0.217268j 0.0622108+0.00142759j 0.145936-0.0869441j -0.160394+0.0493764j -0.266159+0.0120018j -0.0349735-0.0601671j 0.0972705-0.0806197j 0.0576072-0.0133674j 
0.00734004+0.0249207j -0.0282539+0.0104313j 0.00272372-0.00377452j -0.00893889-0.00879197j 0.00420581-0.0174799j -0.0743119-0.0522944j -0.0225878+0.0215143j -0.0394306+0.0431195j -0.00941393+0.0275181j 0.0207923+0.00725534j 0.00333853-0.0328027j -0.00282365-0.0237942j -0.0263482-0.0223063j -0.0143764-0.00381703j 0.00883545-0.00655404j -0.0417766-0.128472j -0.24736+0.012258j -0.168953+0.0289535j -0.16766+0.00153282j -0.0295777-0.182421j 0.0879181+0.125416j 0.079344+0.0406932j -0.141176-0.189081j 0.160847+0.207488j 0.133105-0.294879j -0.112193-0.077677j 0.119194-0.0799686j -0.242927+0.120789j 0.0121815+0.161761j 0.0403271+0.0362923j 0.102174-0.0907444j 0.0915527-0.0782944j 0.0323334-0.018322j 0.0522724-0.0681635j 0.0283896+0.112743j 0.0268666+0.0792179j 
-0.00848132+0.00677677j -0.00812748-0.0133444j -0.0357421-0.0132059j 0.00280184-0.0115072j -0.00556721-0.0143404j 0.132026-0.0842724j -0.0303034+0.0339046j -0.0253642-0.0887103j -0.0333319+0.00804679j 0.112134-0.0180495j 0.007645-0.0390814j -0.0148959+0.0236859j 0.00539627-0.00818292j -0.060039+0.0321295j 0.0377835-0.0149828j 0.0161738-0.18527j 0.15267+0.181584j -0.224289+0.00861067j 0.0933634+0.0344959j -0.0856948+0.155645j 0.10597+0.101309j 0.123963+0.0380816j 0.0659551+0.114435j 0.0193963-0.166116j 0.0956129+0.00570261j 0.0677259+0.0427533j -0.0461952+0.0825012j 0.147541-0.127226j 0.269342-0.0157036j 0.0418994-0.00898232j -0.0541294+0.0577749j 0.0812631+0.0320344j -0.00915061-0.262156j 0.0261948+0.0324907j -0.0188208+0.127627j -0.0207031+0.0662089j 
0.0134983-0.00162672j 0.000478357+0.00853082j -0.0624935+0.023495j -0.0143897-0.0305274j -0.00522751+0.00792363j 0.0977376+0.037666j -0.0436514-0.0125327j 0.0213834-0.0696258j 0.00280103+0.0316004j -0.0269759-0.0474833j 0.0438695+0.0321425j 0.0025357+0.0102043j 0.0275888+0.010694j 0.0162239-0.0167202j -0.0239455+0.00845503j 0.349454+0.144153j -0.140422-0.0162526j 0.0902036-0.282466j -0.0213824-0.0328572j 0.0993355+0.0252333j 0.150534+0.335131j 0.0905372+0.106695j -0.0668725+0.0380864j 0.107262-0.100937j 0.243115-0.225869j 0.0363299+0.0103654j -0.0606939+0.022453j 0.0943223-0.0853001j -0.116098+0.132199j -0.062821+0.0348302j -0.0547694+0.0575804j -0.0568488+0.114292j 0.0650509+0.102609j -0.0505746+0.0690104j -0.0583352-0.10059j -0.0265475-0.0733142j 
0.000397316-0.00453129j 0.00525726-0.00122029j 0.00387585-0.0123784j 0.00389026+0.0145631j -0.0115599+0.00232578j -0.0129542-0.0115035j 0.00128918+0.00650521j 0.00383727+0.00254301j 0.00140344-0.00392992j 0.0149501+0.0120363j -0.00799619-0.00318225j -0.0139912-0.030381j -0.0253656+0.0128745j 0.000207824+0.00299768j -0.0235836-0.0322265j -0.0346993-0.027918j -0.00788631-0.0063118j -0.00324371+0.025828j 0.0014033-0.0303799j -0.017699-0.0258667j -0.000639763-0.0180396j 0.0146095-0.0187386j -0.0250293-0.0291281j -0.0544111-0.00616945j 0.00292865+0.00667479j 0.00498511-0.0292054j -0.0502419-0.046715j -0.0624544-0.010564j 0.00341424-0.014778j -0.0460708+0.0784532j -0.0382604+0.137026j 0.0501018-0.0135006j -0.0268067+0.0090283j 0.0273141-0.0134322j -0.0551778+0.0558546j 0.0516471-0.034044j 
0.000586862+0.00596898j -0.00282824+0.00828526j 0.00991757+0.00448502j -0.00349306+0.00855544j -0.00225404-0.0178723j -0.0248255+0.0302651j -0.022043+0.0114348j -0.00878384+0.0344101j -0.0192973+0.0341007j -0.00747472+0.016798j -0.0122345+0.0061713j 0.00117532-0.000876558j -0.0227047-0.0216161j 0.00947007+0.00969976j -0.0132459+0.0309157j -0.000220112+0.0170727j -0.013567+0.0245324j 0.00960116+0.0106904j 0.0341693+0.00825556j -0.00758356-0.0145028j 0.0158612+0.0205484j 0.0062012+0.000159871j 0.044475+0.00438803j -0.00645793-0.0566021j -0.00238598+0.0181039j 0.0258883-0.0215323j -0.0190625-0.0164236j -0.0117197-0.0822546j 0.0219448+0.00180468j -0.0391614-0.00401794j 0.0690591+0.120047j -0.0142417-0.016077j 0.0164317-0.0236985j -0.0513415+0.0139016j 0.0129753+0.0112476j -0.0318827-0.0964847j 
-0.00867305-0.00932672j 0.00158311-0.0197263j -0.0109306-0.000310776j 0.0130477+0.0124189j 0.00938369+0.00491521j -0.00672627+0.00101299j -0.00566136-0.000735252j -0.0108238+0.00494117j -0.00442+0.0081197j -0.00603431-0.0113787j 0.00338769+0.00123026j -0.014655+0.0161021j -0.00231692+0.0170283j -0.00940605-0.0128246j -0.0366697+0.00657363j -0.000149719+0.00395913j -0.00735253-0.0187845j -0.0281339+0.00239938j 0.00459346+0.0117605j 0.0358614-0.00272753j -0.0292551+0.0018928j -0.018942+0.03391j -0.0202998-0.0168451j 0.0423645+0.00366165j -0.0129156+0.0128565j -0.0224615+0.0537669j 0.0171658-0.0338943j 0.00157336+0.0820111j -0.00635587+0.0123384j -0.0117423-0.0332208j 0.0493001-0.0207894j -0.0356949-0.0144281j -0.0104873+0.0189274j -0.0159145+0.032262j 0.0245538+0.0192981j -0.0723334+0.0125719j 
0.000258596-0.000484152j 0.00147402+0.00277309j -0.00728322-0.00148761j 0.012063+0.00859158j 0.00518158-0.00187263j -0.00234328+0.00308765j 0.00318004-0.00610067j -0.0003218-0.00782597j -0.00990127+0.00143177j 0.0123962+0.00674643j -0.000644204+0.0393299j 0.0188401-0.0048752j 0.00662966-0.0328708j 0.0842661+0.0105295j 0.0393474-0.00108567j 0.00373895+0.00445114j -0.0032336-0.00410904j 0.0106846+0.00106355j -0.00247897-0.0155511j 0.019158-0.0023641j 0.00559532+0.00385962j 0.0125679-0.0125705j -0.0239176-0.00202839j 0.000468367-0.0153379j 0.00349434-0.0358319j -0.0108808+0.0190986j -0.0125366-0.0310043j -0.0105696+0.0247395j -0.00121714+0.0133212j -0.0054127+0.012795j -0.00304865+0.0216041j 0.000969901-0.00055844j -0.00473821+0.0300752j -0.00477898-0.000746027j -0.00891878+0.011982j 0.00742781-0.00970757j 
-0.0054923-0.00140152j 0.00191108+0.0064012j -0.00673732+0.0151109j -0.0196088-0.0080082j 0.00491697-0.0162008j 0.0209482+0.00521305j 0.0145626+0.00439881j 0.00639693-0.00937798j 0.00561025-0.00770946j 0.00143204-0.00113935j 0.00212417-0.00253966j -0.002013-0.0104376j -0.00771174+0.0189342j -0.00854502-0.00259847j -0.0214161-0.00597306j 0.000763916+0.0035913j 0.00867052+0.0111244j 0.00569245+0.00411174j -0.00547388-0.0100022j -0.0063646-0.000125649j 0.00696336+0.00527757j 0.0026992+0.000125455j 0.00707196+0.0116186j -0.0129743-0.0118082j 0.00650077+0.0121462j 0.0070621-0.00219512j -0.0217331-0.0311734j -0.00379762-0.0258291j 0.00364096+0.000932624j -0.0165798-0.00375333j -0.0271463+0.0349646j 0.0145358-0.00359321j -0.000142392-0.00173855j -0.0150526-0.00781918j -0.00830906+0.0102526j 0.0176976-0.0148025j 
0.00206467+0.012945j -0.00348414+0.0114459j -0.00264654+0.00440348j 0.0164148+0.00702028j -0.000742268-0.0155136j 0.0100219+0.00832177j -0.00894869+0.0278246j 0.0170608-0.0283751j 0.00727117+0.0114682j 0.000786129-0.00220929j 0.0133084+0.00960408j 0.00100385+0.0175402j -0.00880457+0.00764192j -0.0108894+0.0125826j -0.0162978-0.00991732j 0.00831139-0.0125823j 0.017628+0.0222159j 0.0142674-0.0178071j 0.0282372-0.0404311j -0.0517499+0.0245859j -0.00913678-0.034978j -0.00833164-0.00135428j -0.0513834-0.0325118j -0.008217+0.0247321j 0.00624518+0.0217508j -0.0366684-0.0101186j 0.00727955-0.038279j 0.0722975+0.0604344j 0.00890401+0.00168939j -0.00218409+0.0291982j -0.0592944-0.00581968j 0.043673-0.0187267j 0.002594+0.0110362j 0.0100153+0.00710994j 0.00413694+0.0611126j 0.0314468+0.00632668j 
0.00246721+0.000386868j 0.00255738+0.00704778j -0.00253978-0.0174328j -0.0165084+0.0205848j 0.013946-3.61013e-05j -0.0230456+0.0308339j -0.0189002+0.0233964j 0.00274886-0.0063721j -0.000671047-0.0201233j 0.00193675-0.0141784j -0.00370668-6.18161e-05j -0.00394992+0.00589548j 0.0169555-0.0367239j 0.00273334-0.00646472j 0.0109842-0.0190902j -0.00262243+0.0100751j -0.0177644+0.0165666j 0.000508469+0.014949j 0.0313608-0.0152862j -0.020581-0.00795086j 0.00454735+0.0161875j 0.0127975+0.0123062j -0.0396818+0.00781887j -0.0386819-0.015018j -0.00234249+0.0100029j 0.00291966+0.0120627j 0.0855475+0.0150356j 0.0142401-0.00614067j -0.00138973-0.0137847j -0.0393075+0.0535532j -0.0339719+0.027395j -0.0256138-0.0289387j -0.00411677-0.00662789j 0.0193408+0.0473095j -0.0142921-0.000419505j -0.017732-0.0391502j 
0.0193618-0.00334053j 0.0130387+0.0250668j -0.0037497+0.00201526j 0.00180751-0.0023886j -0.0033065+0.00937449j 0.00717663-0.0180875j 0.00255063-0.010221j -0.00689455-0.00570521j -0.000560577-0.000119456j 0.000815139-0.0138748j 0.00398131+0.0120966j -0.00506032+0.00235974j 0.00786616+0.0259787j 0.00858165-0.00911012j -0.0299686+0.00531937j -0.000271574-0.0123352j 0.00300196-0.0205911j -0.0313014-0.00475586j -0.00936855+0.00195656j 0.0185775+0.00149422j -0.0385576-0.0151579j -0.0244977+0.0348559j -0.0252963-0.0231846j 0.0322295+0.0330967j 0.00137159+0.0384586j -0.012348+0.0341795j -0.00737226-0.024831j -0.0126605+0.0697292j -0.0134706-0.00602001j 0.00307204-0.02085j 0.0163072-0.0298871j -0.0126336+0.0121919j -0.0221556+0.00115032j 0.00511309+0.0105455j -0.00788088+0.0180494j -0.040092+0.0416819j 
-0.0149084+0.00529634j 0.0134565+0.0068221j 0.00797931+0.0197482j -0.00101142-0.00958568j -0.0107264-0.0181495j -0.00485399+0.00786923j 0.0013819-0.00221324j -0.00156335+0.0276964j 0.0030935-0.045112j -0.0022437-0.0371919j -0.0281718+0.00964928j -0.00217788-0.0095089j 0.0218679-0.0130997j 0.0100613-0.0455433j 0.00508926-0.0200821j -0.00723527-0.00544275j 0.0062139-0.000123038j -0.00657348+0.00127028j 0.0111366+0.00171744j -0.0171031+0.0108537j -0.00287818-0.00972724j 0.00258256+0.00890052j 0.0106663-0.0229107j 0.00807283-0.00762589j -0.0309405-0.00650937j -0.0136605-0.0196574j -0.0217241-0.0118885j 0.0161253+0.0083034j -0.00201879+0.00966456j -0.00186687-0.00467843j 0.014856-0.00439297j 0.00832224+0.00419107j 0.0202215+0.00245847j 0.00422756-0.000743176j 0.00489684+0.00300678j -0.0043658+0.00079855j 
-0.029143+0.0110192j 0.0259736+0.0181866j 0.000585041+0.0116501j -0.0266756+0.00535655j 0.00454574-0.0104916j -0.00983999-0.00286586j 0.00516445-0.00305035j 0.00351885-0.00678308j 0.00273608+0.0220817j 0.00297805+0.00595882j 0.0145285-0.00932044j -0.00270641+0.0167033j -0.00776236+0.0121485j -0.0139413+0.0172279j -0.000329309+0.0105491j -0.00168705-0.00321675j -0.00773182-0.00907013j -0.00169471-0.00113185j -0.0125465+0.00145134j 0.00746797-0.00831651j -0.0120806-0.00838126j -0.00903833-0.0031945j -0.0145919-0.00609174j 0.00569869+0.023356j 0.00460617+0.00270632j -0.00675848+0.00918981j 0.010966-0.00646742j -0.0251039+0.0243779j -0.00487986-0.0014601j 0.00591129+0.00581017j -0.000805975-0.0096789j -0.00422477+0.00111352j -0.014497+0.00232647j 0.0068286+0.00213012j -0.0083124+0.00120499j -0.00897281+0.00987439j 
-0.00195285+0.00398046j -0.001576-0.000275039j -0.00485249-0.0193559j 0.0268325-0.00365842j 0.000476209+0.0210976j -0.0100948-0.000138431j 0.0253238-0.00917387j -0.00454655+0.0114124j -8.20199e-05-0.0197611j 0.00114381-0.0151883j -0.00462008-0.0208916j -0.00133455-0.00772845j 0.00228671+0.0106279j -0.0227574-0.00780318j -0.0110169-0.00622331j -0.000351685-0.003068j -0.00413375+0.00338634j -0.00964799+0.00411476j 0.00845904+0.000305948j -0.00146443-0.00241536j -0.00185447+0.00165948j 0.000909104+0.00638255j 0.000854226+0.00272095j -0.00267831-0.00489682j -0.0086606+0.00659224j 0.00510093+0.000714168j 0.0125733+0.00928081j 0.00397532-0.00327945j -0.000120469-0.0024263j -0.00212466-0.000563676j 0.00419336-0.00267398j -0.00434433+0.00148329j 0.00249473-0.00461252j 0.0035401+0.00791384j -0.000341803-0.00266436j -0.0107908-0.000819894j 
0.0125549-0.0100066j 0.0102143+0.0134165j -0.00371603+0.00279975j 0.0127589+0.000312337j 0.00234914-0.00310722j 0.0117206-0.0095974j 0.00897234+0.00572451j 0.00687538+0.00673349j 0.00135168-0.00197918j -0.00185793+0.00624608j -0.00461842+0.000568953j 0.00201041-6.07676e-05j -0.00826999+0.00686675j -0.0143146+0.00321098j 0.000814105+0.00323254j 0.00781611-0.0027027j 0.0221159+0.00204308j 0.0139541-0.011975j -0.00330123-0.00594071j 0.00831024+0.0067392j 0.0131116-0.00870216j 3.16692e-05-0.0257512j 0.0257699+0.00163018j -0.0136894-0.00840281j 0.0159107-0.0214292j -0.010794-0.00111832j -0.0242733-0.00425118j 0.00263519-0.00798202j 0.0176787+0.0132654j 0.0131489-0.0150633j -0.00635975-0.00613372j 0.0182386-0.0082103j 0.00803393+0.00609129j -0.0200468-0.0257054j 0.0163687+0.00800845j 0.0305374+6.96598e-06j 
-0.00139472+0.0198796j -0.00432846+0.0137956j -0.00543151+0.00208549j -0.0104906+0.0106675j 0.01095+0.00751962j 0.015184-0.0419831j -0.0103909-0.00181884j -0.00471656+0.00255564j -0.00184134-0.011711j 0.00550038+0.00578065j -0.00602138+0.0167189j -0.0231617-0.000919875j 0.00616609+0.00540244j 0.00232776-0.0178267j 0.00117991-0.0115745j 0.00720273-0.010808j 0.0575994-0.0275418j -0.0352917+0.00961264j -0.0640427-0.00537259j 0.042783+0.010904j -0.00454289+0.00466828j 0.00421929+0.0116541j 0.0155517+0.0384495j -0.0513081+0.0297834j 0.0101574-0.00748452j 0.00360909+0.0571763j -0.0333841+0.0066745j -0.0746406+0.0278323j -0.00774573+0.00615223j 0.0110468-0.015023j -0.0075188-0.00908524j 0.00130057-0.00501022j -0.0141499+0.0157717j -0.0236175-0.00287746j -0.018714+0.0180297j -0.0164703+0.0190783j 
-0.00401927+0.00205706j 0.000917843-0.00097185j -0.00425282-0.00353722j -0.00700399+0.00673909j -0.00725115+0.00960803j 0.0133185-0.0121081j 0.000917572+0.00116562j 0.00540768-0.00138838j -0.000114489+0.00512829j 0.000228794-0.0181047j 0.00496145+0.0468487j 0.00742099-0.00426122j 0.00635547+0.0148265j 0.0534818-0.0178223j -0.023287+0.0146617j 0.00407633-0.0256137j -0.00284643+0.0175332j -0.0157547-0.0257507j 0.0138438-0.00435341j -0.0334927-0.0162284j -0.0577453-0.0362631j -0.047825+0.0330542j -0.00224175-0.0266577j 0.0185296+0.0455941j 0.0555676+0.115091j -0.000867293-0.00293754j -0.0115083-0.0190877j 0.0144805+0.0196268j 0.00831946-0.00862537j 0.00247556-0.0074027j -0.00311223-0.00386121j 0.0109108+0.00102731j -0.000913849-0.0431123j 0.0025725-0.0125235j -0.0092265+0.0414632j -0.000706409+0.0270979j 
