-0.165078-0.276864j -0.288293+0.135913j 0.341288-0.577903j 0.0536597-0.219576j 0.518958-0.11682j -0.12643-0.0750417j 0.0496053-0.0381718j 0.0398708+0.107519j -0.0408483-0.0193946j 0.0340585+0.00173078j -0.0109817-0.04006j 0.0056205-0.0447891j 0.0361919-0.00385966j 0.0241279+0.0100217j 0.00949365+0.00334875j -0.00963009-0.010855j 0.00359934+0.015063j -0.0021523-0.00922449j 0.0264492-0.0404372j -0.0152058+0.0301642j 0.0169772+0.00476472j 0.00971635+0.0191856j 0.0327829+0.010854j -0.0290612-0.0240236j 0.0125267-0.00409415j 0.0181322+0.00110255j -0.0198984-0.0138876j 0.00140614-0.00689244j -0.00723826-0.0118964j -0.0052225+0.00232573j -0.00391973+0.0366287j 0.0322559-0.00308192j -0.0287853+0.0287595j -0.0129178+0.0097505j 
-0.0124397+0.00625484j -0.001749+0.0114659j 0.00771945+7.91833e-07j -0.00166921+0.0113879j -0.0102081-0.00629978j 0.0337259-0.0207174j -0.00953364+0.0413397j 0.0229154-0.0185555j -0.000449608-0.0257419j 0.00469521+0.0588358j 0.0081369-0.00135656j 0.0360545-0.0267597j 0.016019-0.0256509j -0.0103427+0.0216872j 0.0383783+0.0720418j 0.0268267+0.0290685j -0.0204715+0.0760338j 0.0305595+0.0076392j 0.0277288+0.0566633j 0.0432568-0.0234327j 0.0259616+0.00509296j 0.0220936+0.00870916j -0.0644722-0.0325532j -0.0990353-0.0446188j -0.0225449-0.015371j 0.00434526+0.00153247j 0.0793261+0.0712437j -0.136469-0.0632519j 0.0789146-0.02827j -0.0479452+0.147872j 0.0312343-0.00233909j -0.0924226-0.0440704j -0.0167473-0.0746367j 0.078173-0.123377j 
-0.00885728+0.000284115j -0.0101375-0.00729994j -0.00690591+0.000920831j -0.0170857-0.01249j 0.0106412-0.0161748j 0.0128119-0.0103121j -0.00970617+0.019567j 0.0149477-0.00382974j 0.0126078-0.0234699j -0.0149305+0.0263589j 0.00174181+0.0352048j -0.0394947-0.0311103j 0.0113028-0.0213645j 0.00214119-0.014523j 0.019201+0.0374851j -0.0186668-0.0218814j -0.0118222+0.0627298j 0.0356535+0.0159372j 0.0180595+0.00029015j 0.00592768+0.017413j -0.00928515+0.00839098j -0.0466445-0.00442091j -0.0686456-0.0399163j -0.015582-0.00877116j -0.0611541-0.0586917j 0.0632242-0.0161361j 0.0512228-0.0491918j -0.0543846-0.0656331j 0.036478-0.0210393j 0.000279382+0.0871155j -0.0278928-0.0197878j -0.0274415-0.0588818j -0.0436488+0.0298443j 0.0272261-0.0744139j 
-0.0020402+0.0222504j 0.00413039+0.00769408j -0.00182938+0.00236882j 0.000941827-0.00437203j 0.000923218-0.000197589j -5.07238e-05-0.033811j 0.0371575-0.0122222j -0.00229914-0.0215291j -0.0181354+0.0257777j -0.0223768-0.00192828j -0.0104651-0.0076153j -0.0247953+0.0272772j -0.00255399-0.0365237j 0.0093811+0.0223908j 0.0731472+0.00188617j 0.0426361-0.0139125j 0.0132632+0.0306969j 0.0213199-0.0704113j 0.0293985+0.00478324j 0.0194633+0.00662734j 0.000890863-0.0681459j 0.0285628-0.00317018j -0.0265531+0.0300101j 0.00261678+0.0761189j -0.0140108+0.00817216j 0.0199125+0.000349608j -0.0236983+0.0204876j 0.0237035-0.0790811j -0.00762049+0.0104878j -0.0527723-0.025226j 0.0118562-0.00233063j -0.0195609+0.0215981j 0.00539291+0.0263074j 0.0508605-0.0224483j 
-0.0035686+0.00147952j -0.0124828+0.00129419j -0.0013917+0.0064331j -0.0233245-0.00148059j -0.0171294-0.0160448j -0.00690516+0.00225412j 0.00706402+0.00096187j -0.00260872+0.00432659j -0.00807834+0.00387574j 0.00910763-0.0184741j 0.00290846-0.0259543j 0.0404352-0.00358122j -0.00618852+0.00606474j -0.011267+0.0169908j 0.003223-0.0196951j 0.00905912+0.0330996j 0.00329038-0.0207074j -0.0145044-0.0227844j -0.00511562+0.0174178j 0.0106123-0.0244189j 0.0127632+0.00788175j 0.0397057+0.0133851j 0.0414835+0.0325126j -0.0181355-0.0037477j 0.0501889+0.0318091j -0.0489151+0.00898033j -0.00569896+0.0613451j 0.0133081+0.0345183j -0.00780481+0.00439136j -0.0074604-0.0166125j 0.0317432+0.0246938j 0.00357253+0.0407089j 0.0192654-0.0412562j -0.00385535+0.0229115j 
0.0100766+0.00687545j 0.00603503+0.0167035j 0.00436238+0.00370374j -0.01487-0.00143818j 0.000349015+0.0132424j 0.00104727+0.0276469j -0.0161292-0.013093j -0.0134605+0.00245894j 0.00627934+0.0193424j 0.0144522+0.0109569j -0.0300457+0.015914j -0.020257+0.0112197j -0.00067801+0.0345473j 0.00370018-0.00147325j -0.0574776-0.00190345j 0.012581-0.00595672j -0.00158179-0.0398516j -0.0105624+0.0525594j -0.0298039+0.00453637j -0.0428123+0.0125206j 0.0107546-0.0207456j -0.0129103-0.00716713j 0.00693484-0.0500139j 0.0122146-0.0262535j 0.00111869+0.0310001j 0.00272111-0.0061491j -0.00151401-0.0347774j -0.0516152+0.0305051j 0.00409902+0.00114873j 0.0217209-0.0240026j -0.00690066-0.00824228j 0.011464-0.0218964j 0.0311018-0.00278071j -0.0269314+0.0435328j 
-0.00341387+0.000605716j -0.00301872-0.00230926j 0.00106969-0.00113529j 0.0149799+0.00581809j -0.00409205+0.00832713j 0.0132269-0.00460902j -0.0117998+0.0130287j -0.00282905+0.0141837j -0.00245573-0.00956576j -0.00889573-0.025109j 0.00117699+0.0164301j -0.0170867-0.00317649j 0.00424593+0.00117329j -0.00979032-0.00399299j -0.00115545-0.0124257j -0.0137687+0.00037248j 0.00757205-0.00683363j 0.0078321-0.059373j 0.00476153+0.00516992j -0.00059523+0.0373317j 0.00960187-0.0633843j 0.00026258+0.0496426j 0.0240481+0.00436025j 0.066174+0.0251969j 0.0304635+0.00375478j -0.00206858+0.000659384j 0.0498982+0.0132254j -0.0595983-0.0241176j 0.0121546+0.00890008j -0.00603075-0.0322736j -0.00263845+0.00226071j 0.0283231+0.0145393j -0.0027844+0.0156033j -0.0104061+0.0223484j 
0.00715955+0.0110314j -0.00181448-0.00803556j -0.000201684+0.00133424j 0.00449315-0.0139773j -0.010043+0.0164328j -0.015576+0.00665366j 0.027662-0.0508696j 0.00542572-0.00712601j 0.00850454-0.025038j 0.00250917-0.00900198j 0.0250492-0.0408283j -0.00516033-0.00302494j -0.010323-0.0046167j 0.0206034-0.00653599j 0.0370761-0.0247982j 0.02838-0.0331281j 0.0100554-0.0172306j 0.00513621-0.0319164j -0.0130485-0.0118212j -0.0195476+0.0107948j 0.000903296-0.0244214j -0.0580523-0.00484118j 0.0186457+0.0116306j -0.087014-0.0205765j -0.0176651-0.0183953j -0.00380376-0.00917762j 0.0159964-0.00767788j -0.000153367+0.00458603j -0.034625+0.0302271j 0.0118444-0.00351272j 0.0256786+0.0193353j -0.0280858-0.0190878j -0.0214233+0.000528087j 0.00142376+0.0166405j 
-0.0148232-0.00235439j -0.0179835-0.013812j -0.00702845+0.00605565j -0.0201852-0.0125456j -0.00696801-0.0344231j -0.00994542+0.00708807j -0.000212263-0.0115033j -0.00601103-0.0051681j 0.006605+0.0236145j 0.0138686+0.00554742j -0.0219777+0.00493862j 0.00361663+0.0140897j 0.00207047+0.015207j 0.00113842+0.0171192j -0.024878-0.00267011j 0.0222307+0.00542409j 0.00377708-0.0279242j -0.00769341-0.0115426j -0.0172482+0.0351548j -0.0237397+0.0287312j -0.000909844-0.0309273j 0.0184076-0.00106492j 0.0127391-0.02435j 0.0114372-0.00671233j -0.0208151+0.0297804j 0.0156581-0.00014033j 0.0118174+0.00107784j -0.0551865+0.0220779j 0.0117443+0.00669947j 0.0034091-0.0214301j 0.0100718-0.00244583j -0.00212429+0.00566309j 0.0258582-0.0190225j -0.0178127+0.0283063j 
-0.0053509+0.0124367j -0.00525673-0.00068699j 0.000316048+0.00128112j 0.023768-0.0108192j -0.0140127+0.00878436j 0.00451899+0.0113224j -0.00757505+0.0045841j -0.0136203+0.00477077j 0.00581242+0.0177292j 0.0114461+0.0113562j -0.0147506+0.0153622j -0.00760031+0.013276j -0.00662086+0.0213732j -0.00821767+0.00990122j -0.0145818-0.00188965j 0.0204618+0.00407167j -0.00869081-0.0124078j -0.00249203+0.0721677j -0.0223724-0.0144663j -0.0260589-0.0389392j 0.0100669+0.000861914j -0.0122179-0.0335523j -0.0282045-0.02416j -0.0210416-0.00716743j 0.0105088+0.0392228j -0.00927145-0.0140103j -0.0392039-0.00227669j 0.0261415-0.0044245j -0.0167044+9.89487e-05j 0.00851085+7.15388e-05j -0.00041482-0.0133462j -0.00512724-0.00948327j 0.0124218-0.0212786j 0.000465807+0.00331414j 
-0.0111547+0.0186916j 0.0274982-0.00457247j 0.00202092+0.00954022j -0.0230059-0.0086252j 0.000354741-0.0161141j 0.0261648+0.012358j -0.00663845+0.0200951j -0.00992925+0.00840262j -0.00478643-0.0104197j 0.00250234-0.00943307j 0.00903569-0.00579882j 0.00777567-0.00608661j 0.0026194+0.00689755j -0.00998995-0.017665j -0.0111214-0.00106651j -0.0127856+0.00558081j -0.00476085-0.00364047j 0.0118372-0.00962103j -0.00888797-0.00886245j -0.000692993+0.0141956j 0.0337664+0.021738j -0.028573-0.0112805j 0.0296942+0.0128932j 0.0315239-0.00288003j -0.00769784+0.00953544j 0.011166-0.00849591j 0.00482237+0.0272251j 0.00245484-0.0376796j -0.00699981+0.00695565j -0.00381868-0.0081079j -0.00337126+0.0100968j 0.0168488+0.000447978j 0.00307296+0.00132657j -0.00866123+0.00560718j 
-0.00549357-0.0186901j 0.0134816-0.0152835j -0.00363252-0.00233674j 0.014474+0.0183354j 0.0088151-0.0204666j -0.0146422-0.00563432j 0.0143771-0.0259103j 0.00334429+0.00376134j 0.00151984+0.0130927j 0.0103463-0.0035729j -0.00663295-0.010902j 0.00149205+0.0063641j -0.00944468-0.00146229j -0.00206133+0.0155434j 0.0497122-0.0399917j 0.0259284-0.00700216j -0.00407463-0.0158832j -0.00410364-0.0302565j -0.0347494+0.00530342j -0.0350234-0.00602529j 0.000719143-0.0300233j -0.0376033-0.00968585j -0.0368095-0.00731414j -0.0623125-0.00416669j -0.0214629+0.018489j -0.0111335-0.000933084j -0.000930334+0.00386672j -0.00465013+0.00405484j -0.022133+0.0219888j 0.0010071-0.00483542j 0.00868624-0.00839784j -0.0314768-0.00422414j -0.0133466-0.0188235j 4.81344e-05+0.0111007j 
0.00161824+0.01898j 0.0160946-0.0142543j 0.0019819+0.0093634j -0.0309442-0.00229647j -0.00421116-0.02534j -0.00978407-0.00256585j -0.00594672+0.00174869j 0.00486868+0.0055907j -0.00373548-0.0104474j -0.0102503-0.00114312j 0.00530886+0.0113719j -0.021187-0.00397103j -0.00619812-0.0047469j -0.00572027+0.0063022j 0.0223345-0.00587539j 0.00366449-0.00782297j -0.00205618+0.0147678j -0.00477143+0.0335044j 0.00422487-0.027069j 0.0139305-0.0407325j -0.0179228-0.0242247j -0.004201+0.0150791j -0.0400438+0.000226415j -0.0301211+0.00407289j 0.0397312-0.00905651j -0.0286642-0.00144517j -0.0146515-0.0207913j 0.0191159+0.00804784j -0.0100967-0.0099605j 0.000913554+0.0119398j -0.00650759-0.00850777j -0.00619794-0.00942012j -0.0146198+0.00796354j 0.0184148-0.0118614j 
-0.0129483-0.0296007j -0.0306739+0.00733282j -0.00784159-0.00431251j -0.00455068+0.00764891j 0.00473178-0.0108731j 0.00644284+0.00356252j -0.00110049+0.01351j -0.00396399+0.0113965j 0.000640473-0.000347504j -0.00443474-0.00224431j 0.00354123+0.00893402j -0.0104293-0.00205609j 0.00664237+0.0170033j 0.000390384-0.0132253j -0.0119954+0.00330438j -0.0123727-0.00224943j -0.00654895-0.0059314j 0.0225155+0.041046j -0.00777346-0.0366059j -0.0291805-0.0336812j 0.0305295-0.00236639j -0.0313128+0.00508906j 0.00410915-0.00261312j 0.0156112+0.000239557j 0.0423065-0.00472531j -0.0287215-0.00143377j -0.0101124+0.022971j 0.0129395-0.0472056j -0.0138249+0.0122924j 0.0026301-0.0036261j -0.00468599+0.00187323j 0.0112646-0.0149214j 0.000364444+0.00238735j 0.000893594-0.0015017j 
-0.00481766-0.00567876j -0.0069681+0.0258889j 0.000411234+0.000335883j -0.0248174+0.018223j 0.0164724-0.00458592j 0.0217004-0.0263026j -0.00671752-0.00239913j 0.00355572+0.0180917j -0.00384665-0.0159636j 0.000465284-0.00112394j -8.25067e-05+0.000757589j 0.000589604+0.00507261j 0.00531064-9.63978e-05j -0.0361025+0.0243725j 0.0375246-0.0104811j 0.0360216+0.00170443j -0.0147777+0.00430399j -0.00300249-0.0230844j -0.0381554+0.00762343j 0.0243407-0.00913884j -0.0027696-0.0370826j -0.00577167-0.0153743j -0.02022+0.00199534j -0.0333219+0.00964481j -0.0093584+0.0183774j 0.00585177+0.00988571j -0.00322113+0.0162313j 0.00210951-0.0154422j -0.0180262-0.00395522j -0.0105438+0.00179998j -0.00600307-0.0181674j -0.0050556+0.0145059j -0.0105322-0.00775309j -0.00268959-0.0141974j 
-0.018785+0.00190482j -0.00599067-0.00236221j -0.00233191-0.000781457j 0.00763409+0.00977923j 0.00177968-0.0128405j 0.0215081-0.0117812j -0.0363946-0.00345787j -0.0119952-0.00162727j -0.0126746-0.0384316j -0.00105199+0.01155j 0.00266065-0.0163558j -0.0084494+0.0045748j 0.00908222+0.0242681j -0.00909186+0.0115507j -0.0695163+0.0642923j 0.0438048-0.020911j 0.0129207-0.00914332j 0.00818522+0.0593262j 0.0124036+0.00834151j 0.0579922-0.00153412j -0.000784786-0.0228356j 0.0428762-0.0166269j 0.0932961-0.0179276j 0.00722106+0.00152059j 0.0207105+0.00570989j 0.0253626-0.0169647j -0.00710819+0.00293207j -0.00175165+0.00082083j 0.00681446-0.0190519j 0.00545293-0.000973966j 0.0289768+0.00511374j 0.0331981+0.0138096j 0.0281418+0.000327861j -0.0061601-0.00222236j 
-0.0130984-0.000465598j -0.0125061+0.00939461j -0.00374211-0.00229378j 0.00363585+0.00127722j 5.0214e-05-0.00285827j 0.0128556-0.0281464j 0.0121983+0.0211403j -0.00468096+0.00971141j -0.00885441-0.00536198j -0.00905032-0.0100744j 0.0115259+0.00407065j -0.00457928-0.0040341j -0.0187874-0.0172214j -0.0112618-0.0108417j 0.0265229-0.0158257j -0.00485708-0.00291169j -0.0116688+0.0257128j -0.0545328-0.00527429j 0.0355827-0.00804857j 0.063722+0.00270212j -0.00253901-0.000790693j -0.0231101+0.000196378j -0.0447866+0.00946375j -0.0151121-0.00504218j 0.00739286+0.0494858j -0.00220074-0.0364481j -0.00522539-0.0357856j 0.00732207+0.0331373j -0.0071757-0.0221426j -0.00279949+0.0106069j -0.0125663+0.000510883j -0.00692784+0.0012259j -0.0127102+0.00647854j 0.0119832-0.00437647j 
