-0.0705853-0.00898421j 0.00275053+0.160546j -0.0873224-0.0964199j 0.444938+0.343642j 0.255019+0.277232j 0.458454-0.519502j -0.0438928+0.0170725j -0.073125-0.0338897j 0.0204357+0.0247001j -0.00668032-0.0272525j -0.0650145+0.0357683j 0.0668926+0.0766011j 0.0217006-0.027544j -0.0188047-0.155168j -0.0859879+0.0285632j 0.012397-0.0032189j 0.0142736-0.00492222j -0.00385269-0.00331392j 0.0170522+0.0250193j -0.00616002-0.00811644j -0.0100041+0.00932844j 0.00851732+0.00566242j -0.00187644+0.0031026j 0.0327744-0.0272544j -0.0250762+0.0176899j 0.00430907+0.00366186j -0.0110023-0.019102j -0.0109182-0.0221091j 0.0226323+0.0191671j 0.0107194+0.00265441j 0.0380552+0.0222012j -0.0189471-0.0273308j 0.0103525-0.0339705j 0.00719603-0.036374j 0.0394599-0.0238373j -0.00861245-0.00775891j 9.62269e-05+0.0146676j 0.0425127+0.00311825j 0.0107245+0.0248594j 0.00642226-0.0113451j 
-0.00125955-0.0059632j 0.00830036+0.00631381j -0.00382296-0.00274064j 0.00628001+0.00168845j 0.00974031-0.00125103j 0.00184122-0.0136126j -0.0160184-0.0244573j -0.0205393-0.019169j 0.0111672+0.00423899j -0.00829473-0.000581533j -0.00970966+0.000802248j 0.0242961-0.0104866j 0.0016904-0.00781042j 0.0193389+0.00710967j 0.0300496+0.0161046j -0.00550229-0.0101176j 0.00328826-0.0160663j -0.00163867+0.0351784j 0.00174335-0.003765j -0.00339383-0.000165848j -0.0122799+0.0243799j 0.00840698-3.89854e-05j -0.00847197+0.0519718j 0.0115942-0.00287804j 0.0218846-0.00434924j 0.00262731-0.000655096j -0.00364801-0.0191566j -0.00336123-0.00355782j -0.0549119+0.0820529j -0.017026+0.0229271j -0.0391404+0.0114473j -0.0340998+0.016744j -0.0316456-0.0466546j -0.0552327-0.0289724j -0.0407972-0.0573404j 0.0296466-0.127615j -0.0257178-0.0384047j -0.014695+0.00852984j -0.0338064-0.00482841j 0.0175893+0.0407733j 
0.00241617-0.00557501j -0.0167771-0.00587029j -0.0209472+0.00629019j -0.00194124+0.00270837j -0.00193132-0.0180509j -0.0118606+0.0074939j -0.0142846+0.000608401j 0.00187583-0.00965759j 0.018264-0.00545731j -0.0064198+0.0188967j 0.0166364+0.00524761j -0.0064571+0.0130367j 0.0158357+0.0289947j 0.0338602-0.014519j -0.0101236+0.0575616j -0.00447006+0.00273931j -0.00262693+0.00583632j 0.006141-0.0106454j -0.0074712-0.020011j 0.0115436+0.00638272j 0.0141747+0.00416125j -0.000414291-0.00795574j 0.00793357-0.00647245j 0.0326991+0.0181208j -0.0199754-0.00841904j -0.057285-0.017154j -0.00384016+0.0183545j -0.0148676-0.0105658j -0.0236188+0.0126664j 0.00656635+0.0137468j -0.00789409-0.021022j -0.0457974+0.023816j 0.00607481-0.0015609j -0.0032102-0.00235326j -0.0206925-0.00600779j -0.00262754-0.0128744j -0.0124245-0.0157023j 0.0302721+0.00550352j -0.0157762-0.00332722j -0.00144566+0.0230798j 
-0.00240041+0.016433j -0.00934052+0.00326447j -0.00838362-0.000395117j 0.0025507+0.0183649j -0.00218327+0.00738619j 0.0225801-0.00768221j 0.02235-0.00980564j 0.0188908+0.0265682j 0.0189134-0.0035983j -0.00875104+0.0119695j -0.013002+0.0199948j 0.0222383+0.000568448j 0.0187936+0.0308901j 0.0199831-0.00429139j 0.00650566+0.0113092j 0.0299155-0.0492574j 0.0377108+0.0052935j -0.0180809+0.037317j -0.00237294-0.00601382j -0.017119+0.0162864j -0.0300537-0.038885j 0.00323258+0.0312425j -0.0209117-0.0153141j 0.012216-0.000905978j -0.00268627-0.0196508j -0.0189824+0.00710585j 0.00740098-0.0385913j -0.00583015+0.00970628j 0.0148291-0.0269248j 0.0122963-0.0211474j 0.0264109-0.0370703j 0.0136987-0.0245816j -0.0310928-0.0533022j 0.0168647-0.000391902j -0.00497647+0.0357149j -0.0441358+0.0224489j 0.00132691+0.0172468j -0.078041-0.00132617j 0.0397398+0.00427585j 0.0334829-0.0250534j 
0.0257486+0.0079761j -0.00165558+0.00391613j 0.00193018+0.00425852j 0.000605201+0.00896911j -0.00479486-0.00500699j 0.00755095-0.00574617j 0.00686924-0.00443721j -0.0079841+0.00437159j -0.00535462-0.00343313j -0.0151852-0.00779984j 0.0111942-0.0180255j 0.00844239-0.0158425j -0.00363271+0.0174283j -0.0245943-0.000710373j -0.0032453-0.0366938j 0.0166544-0.00408506j -0.0115508-0.00296582j -0.00578261-0.00321253j -0.0053733+0.00798664j -0.0094991+0.022614j 0.0127331+0.00881782j -0.0268988+0.00670816j 0.0186324-0.0224912j 0.00311253-0.0178909j 0.0330827-0.0166157j 0.00932923-0.000766117j 0.0373852+0.00471909j 0.0067202-0.0222215j 0.0183811-0.00252709j 0.00232728+0.0267286j -0.0532184-0.0130401j -0.0346901-0.0159764j 0.00971311-0.0245853j 0.00624355+0.0451118j -0.00591137+0.00276075j 0.036354+0.0308232j -0.00488454+0.00750986j -0.0107124-0.0120854j -0.00327856+0.00924164j -0.00954836-0.033749j 
0.0200583+0.00180494j -0.014331-0.00426926j -0.000480561+0.0132705j -0.00282652-0.00429568j -0.0135225-0.00588513j -0.000548853+0.00246015j -0.001392-0.0114108j -0.00193725+0.0112569j 0.0161586-0.00963098j 0.013741+0.010252j -0.0135291+0.00578282j 0.00624116+0.0147137j -0.00623397-0.00415491j -0.00402519-0.000426725j 0.0170543-0.0131734j 0.00683274-0.0398972j 0.0192793-0.0226039j 0.00412218+0.0481528j 0.0166999+0.00150169j -0.0204256+0.0152385j -0.0134011+0.0287888j 0.0112999+0.00385783j -0.00223782+0.0527161j 0.0274787+0.0162002j 0.0483223-0.0339954j -0.024278+0.0285488j -0.031553-0.0254613j 0.0433285-0.000914646j -0.00518245-0.0222507j -0.0410401-0.00564355j 0.00493838+0.0631982j -0.0302816+0.0465811j -0.0124935-0.00761003j 0.00178624-0.00730521j -0.0206795+0.000878732j -0.0229182+0.000343234j 0.0138969-0.00827426j -0.030742-0.0124478j -0.00193877+0.0306871j 0.010834-0.00776917j 
0.00731787-0.00479622j -0.030731+0.00175345j -0.00286478-0.0173263j -0.0150485+0.0184826j 0.00822974-0.00412427j 0.0149825+0.00805276j -0.0136286-0.0182098j -0.00811264+0.0155524j -0.00732285+0.0026744j -0.0153802-0.0270209j 0.0100935-0.017395j -0.0279443-0.0143294j -0.0257944+0.0145641j 0.00372849-0.00851197j -0.0227483-0.0226677j 0.00721693-0.0217771j 0.013801-0.0191944j -0.00118853+0.0328604j -0.0272521+0.00127798j -0.0283256+0.0078298j -0.0335749-0.00211544j 0.00449793+0.0206326j 0.00827341+0.0185135j -0.0116904-0.0460383j 0.000137043+0.00470476j 0.057387-0.0241133j -0.00371903-0.0135017j 0.0112786+0.0174735j -0.00163741-0.00272664j 0.00375126-0.00406994j -0.0209301+0.0128003j 0.0239328+0.0107363j -0.0257087-0.00947425j 0.00106578-0.0042564j 0.00704568-0.0100997j -0.0261613-0.0222117j -0.0273511+0.00635303j -0.0189559+0.0145735j 0.00616786+0.000923411j 0.00244747+0.00682429j 
-0.00533547-0.000637858j -0.0135553+0.00290868j 0.00383509+0.018271j 0.0131778+0.0157008j -0.0225198+0.0108274j 0.0145744+0.00360048j 0.0133189+0.00972587j -0.00113263+0.00425424j -0.0151254+0.00614606j -0.016825-0.0155043j 0.00227472-0.0139713j 0.0294476-0.00733252j 0.0233005+0.0221588j -0.0106025-0.0127125j 0.021315+0.00461678j -0.00598099+0.0164583j -0.0131684-0.00668325j -0.00016985+0.000936972j 0.0167149+0.0254352j -0.004685-0.015493j -0.0103951-0.00850609j -0.000868942+0.00501518j 0.0176579+0.0117837j -0.0424773+0.0165186j -0.0212601+0.0108916j 0.0236211+0.041917j -0.0161848+0.0311833j -0.018437-0.00382075j -0.0189319-0.0036092j -0.00395663+0.0113909j 0.00349962+0.039849j -0.0131297-0.00163821j 0.0130696+0.0159624j 0.0156335-0.020708j -0.00856539+0.00908316j -0.00248002+0.010559j 0.0164589-0.0211843j 0.00950662-0.00895325j -0.007249+0.000419897j 0.00263534-0.000604401j 
0.00647359-0.0402173j -0.0020958+0.000687812j 0.00280156-0.00548312j -0.00102382+0.00437737j 0.00471386+0.000231153j 0.00481172-0.0103415j 0.0262511+0.010131j -0.0102693+0.0186157j 0.00881195-0.00672808j 0.00844444+0.0118496j -0.00457118+0.00688054j 0.022224-0.0103586j 0.00716837+0.00796278j -0.00397342+0.00592013j 0.00655125-0.018231j 0.0265659-0.0064084j 0.00477329+0.0311926j -0.0148319-0.0126672j 0.00542343+0.0118951j 0.00730761+0.00517249j 0.0164115-0.0332517j -0.0162336+0.0205961j 0.0116928-0.0399452j -0.0108361+0.0126184j -0.000832602+0.0125392j -0.00746423+0.0157897j 0.0203116-0.00171557j -0.0182317-0.0217929j 0.0226651-0.0123204j 0.0226231+0.0159808j -0.00848125-0.0471759j -0.0104228-0.0462418j -0.0124802-0.0170003j 0.0336931+0.0315889j 0.000756711+0.0217509j 0.0161795+0.0493803j 0.00926874+0.0081385j -0.0294031+0.00489462j 0.0146063-0.0104191j -0.000739566-0.0450894j 
0.00117879-0.00339328j -0.0141622-0.000788236j 0.0077157-0.00249865j 0.0238078-0.00380472j 0.01734+0.0189946j 0.00365617-0.0280049j -0.0185333-0.00529437j 0.0292684-0.00980665j -0.00186879+0.00289925j -0.0299415+0.0147433j -0.00791719+0.0118474j -0.00819201-0.0208959j 0.0231697+0.00127786j 0.00340256+0.00481305j -0.0137764-0.00150499j 0.00377857-0.012754j 0.0147842+0.0103447j -0.00810212-0.0285198j -0.0125921-0.0188646j -0.0052871+0.0213265j 0.0231245-0.00546717j -0.0169564+0.00388894j 0.00104157+0.019368j 0.0177182-0.0010577j -0.000313682+0.0467614j 0.00649106-0.0483069j -0.0197174-0.0245896j 0.0145238+0.00328156j 0.00941824-0.0114615j -0.0072822+0.00719763j -0.00561178-0.00131747j 0.0364037+0.0180827j -0.00602017+0.0142114j 0.004806-0.00250427j 0.0147189-0.00970106j 0.00467658+0.00183983j -0.010643+0.0351092j -0.00220318+0.0030662j 0.00489959-0.00272815j -0.00370082-0.00397061j 
-0.000470301+0.00472081j -0.0266451+0.000619181j 0.0205571-0.00524647j -0.0160962-0.0086454j 0.00460296+0.00912889j -0.00973259+0.0158226j 0.0179931-0.0116581j -0.0175023-0.00557172j 0.0192175+0.000226765j 0.0106162+0.015646j 0.0200112+0.028058j 0.0193495-0.0425553j 0.00799804+0.00244483j 0.0331275+0.00558552j 0.002663-0.00555296j -0.000888983-0.00209532j 0.00017106+0.00362795j 0.00753692+0.0153985j 0.00821848+0.0620894j -0.00216438-0.0206082j -0.012197+0.00343842j 0.0163531+0.00590473j -0.0058623+0.000426993j -0.0586281-0.0111179j 0.0163426-0.00491148j 0.0286575+0.068923j -0.000514949+0.00764744j 0.0159703+0.00651289j 0.00412163+0.00182437j 0.00289925-0.0146359j 0.0251872+0.0164475j 0.0194156-0.0165358j -0.00933022+0.0116334j 0.00550322+0.00486055j 0.0207012+0.0044818j -1.99543e-05+0.00406516j 0.00747137-0.0255262j -0.00265159+0.00471029j 0.0114364-0.00584839j -0.000859035+0.00107306j 
-0.00609875-0.00386628j 0.0169687-0.00806941j 0.00780165+0.018267j 0.0083884+0.0016805j -0.012561+0.00483971j -6.06211e-05+0.00445296j -0.00989922-0.0166539j 0.00267397-0.0168252j 0.000365637-0.00259885j -0.0257105-0.00310324j 0.0278104-0.0141738j 0.00381607-0.0224777j 0.0110647+0.0220068j -0.0110437-0.0124075j -0.00430003-0.0117245j -0.0132537+0.0103045j -0.0296814-0.0304742j 0.0178272-0.00644725j -0.00253798+0.0160875j -0.0160568+0.0174321j 0.0112059+0.0591041j -0.0195253-0.0247668j -0.012521-0.00799717j 0.0208617-0.0243694j 0.0796729-0.0404102j 0.00205845+0.0147936j 0.0363122-0.00467135j 0.0331439-0.000688242j 0.0016655+0.00596459j -0.0206423+0.0134066j -0.0266478+0.0152789j -0.0246293+0.00646069j 0.0212236-0.0137216j -0.0296442+0.0216466j 0.00571296-0.0131179j 0.0139349-0.00592795j -0.000893443-0.00942057j 0.0228276-0.0102333j -0.0160045+0.00204594j -0.00894109+0.00783372j 
0.0294763+0.00438988j 0.00608285-0.00140314j -0.00464799+0.000443417j 0.00475691-0.0117521j 0.00235946+0.00292281j -0.0139156+0.00436044j 0.000258919-0.00167214j 0.00575477-0.0294953j -0.00813405+0.0146949j 0.00785553-0.00535567j 0.00617756+0.011485j -0.00374469-0.00708758j 0.00426881-0.0317186j 0.0151983+0.00981136j 0.00241022+0.0332969j -0.0246026+0.0674212j -0.0245961+0.0109081j -0.0159862-0.0318808j 0.00439883-0.00097037j 0.0469406-0.0436702j 0.0156884+0.000855498j 0.00991975-0.031228j -0.0212374+0.019077j -0.0235357+0.0113735j -0.0438617+0.0307924j 0.00376142-0.00358584j -0.00378307+0.0277112j -0.0322352+0.00688402j -0.0116974+0.0281958j -0.00185597-0.012306j -0.0109729+0.00851262j -0.00527673+0.00781039j 0.0359868+0.0157079j -0.0328101-0.0209489j 0.00712425+0.00695455j 0.0285004-0.0333001j -0.0036922-0.00141412j 0.0429907-0.0157827j 0.00110527-0.00695013j -0.000137303+0.0382729j 
-0.00132885+0.0010293j 0.0196941-0.000990139j -0.000789045-0.00590073j 0.000986893+0.0184628j -0.00818052+0.0132341j 0.0171285+0.00262419j -0.0135926-0.0302375j 0.0269443+0.0442962j 0.0217659-0.0316968j 0.0236094-0.00295311j -0.0152084+0.0176504j -0.00577057-0.0137414j 0.0110319-0.0060893j 0.0177209+0.00113186j -0.00675865+0.0027919j 0.000712835+0.0358335j -0.0147485-0.00235485j -0.0105427+0.0016532j 0.00439421+0.00675476j 0.00643374-0.0211161j -0.00490446-0.00976043j -7.56934e-05-0.000812074j 0.00963647+0.00185152j -0.0341834-0.0186156j -0.00464633+0.0208799j 0.0525124-0.0181084j 0.00572503+0.00699868j -0.0156561-0.000569796j 0.00410877+0.00637349j 0.00496655+0.00379353j -0.0322734+0.0131472j 0.0289972-0.0166224j 0.00421088+0.00652468j 0.0017742-0.00793002j 0.00581045-0.00809678j 0.00455767-0.000976377j -0.00541348+0.0267371j 0.00362764+0.00283155j -0.00173567-0.0074273j -0.00501167-0.00325853j 
0.00218261-0.0104049j 0.00236955+8.09709e-05j 0.0186344+0.0068528j 0.00483348-0.0178723j -0.00471449+0.0197807j -0.00470965+0.00388225j -0.0106291-0.00679692j 0.0227118-0.0142998j -0.0172985+0.0270614j -0.0173306-0.00413217j -0.0227848+0.00723702j -0.023078+0.00309857j -0.00203069-0.0214853j 0.00913993+0.00958543j -0.00240329+0.009132j -0.00582355-0.0340546j 0.0378497-0.0263387j 0.0312654+0.0860592j 0.00236723-0.00949276j 0.0156715-0.024943j -0.068268-0.0220666j 0.0712166-0.0173765j 0.00844845+0.00719475j -0.0401705-0.0395847j -0.0886684-0.0815564j 0.00627964-0.00262109j -0.00497127+0.0219486j 0.0107589+0.0136257j -0.00745426+0.000615096j -0.0080596-0.0679389j 0.0408435+0.0321419j 0.0343329+0.0254625j 0.00189164+0.00791239j -0.00365685-0.0100955j -0.00520389-0.020794j -0.0294133-0.0118933j -0.00383745-0.011414j -0.0042452-0.0128885j 0.00762038+0.0358868j 0.0111417+0.0310998j 
-0.00120741+0.0039386j 0.00175215-0.00524706j 0.000677867+0.0071818j 0.00437136+0.00332195j -0.0151078-0.00508761j -0.00658356-0.000890908j 0.00970306+0.0187j -0.0255875+0.0265785j -0.0281797+0.0358073j -0.0296114-0.0274836j -0.0251451-0.0219425j -0.0177012-0.0196171j -0.0136631-0.00644586j 0.0076031+0.00664152j 0.0103821+0.000768076j 0.0461723+0.0207901j 0.0275273+0.0947252j 0.00527533+0.0080009j 0.0107406-0.00508046j 0.109025-0.0806014j 0.0603756-0.00616367j 0.0450842-0.0375032j -0.0159912+6.46341e-05j 0.0104517+0.0152285j 0.0186921+0.0341865j 1.87496e-05+0.000953423j -0.00255996-0.00214754j -0.0115961-0.0238201j 0.00215724+0.00534791j 0.0217402+0.000789552j -0.0129132-0.0192336j -0.0148871-0.0105906j -0.0095887+0.00478112j 0.0197491-0.00141951j -0.00461056+0.0162574j 0.0219754+0.00795488j 0.00150287+0.00535841j -0.0110357+0.00691263j 0.0109348-0.0134144j 0.000864529-0.0167478j 
0.0054577+0.00308556j 0.0285931-0.0126386j 0.0119346-0.0214695j -0.0148194+0.00438741j 0.0136594-0.00488765j 0.0052339+0.00321856j -0.00177044+0.0566205j -0.0414774+0.00133066j 0.00581983-0.0016434j -0.0109342+0.0298515j 0.00912312-0.0136126j 0.00834979+0.0110656j 0.000508255+0.0343418j -0.00998617-0.00815211j -0.00294941-0.0140417j 0.0293863-0.0278334j -0.0113945+0.0493183j 0.0263232-0.0342441j -0.00815826+0.00481387j -0.0564451+0.00829836j 0.0114816-0.00460916j -0.00943574+0.0550889j 0.0271236-0.0300289j -0.00774222+0.0316102j -0.0144104+0.0682156j 0.00270632-0.00412114j -0.0309523+0.0141411j -0.0100694+0.00675587j -0.00669857-0.0100588j 0.0617085+0.0279015j 0.0118647-0.0410775j 0.0113212-0.0380307j -0.0407534+0.0271903j 0.04232-0.0180145j 0.0183867+0.0079991j -0.0180448+0.0283995j 0.0156267+0.00422969j -0.0249071+0.0561276j -0.0165378-0.0457513j -0.0167531-0.0609194j 
0.00218564+0.000103848j 0.00534601-0.00450407j -0.00765587+0.010895j 0.00253819+0.00693629j -0.00553947-0.0180605j -0.00503359-0.0116619j 0.0235982-0.0550553j -0.00209038+0.0145883j -0.00548026+0.00459192j -0.00106622-0.0132463j -0.00597037-0.0170219j 0.000440634-0.0129714j 0.00471606+0.00287563j -0.00431587+0.00321076j -0.00804128-0.0126172j -0.0452182-0.125929j 0.11356+0.00638732j 0.0522436-0.0150188j 0.0165227+0.0144869j 0.155914+0.113012j -0.0333065-0.0554209j -0.0239772-0.0364583j 0.0100245-0.00373925j -0.0202396-0.00130736j -0.0483576-0.00631302j 0.00250544-0.00201789j -0.00433535+0.00920403j -0.000258684+0.0490202j 0.00251151-0.0152301j -0.000816467+0.0291772j 0.0239565-0.00156841j 0.0192539-0.00807976j -0.00847033-0.0105418j 0.0130379+0.031849j -0.00125787-0.0304729j -0.0106976+0.0241277j -0.000196162-0.00716943j -0.0150115-0.012128j 0.00525106+0.0331819j 0.00323397+0.00114084j 
-8.26487e-05-0.000732629j 0.00272935-0.00450275j -0.00658703-0.00854082j -0.0046066+0.00789057j 0.00659734-0.00719645j 0.00702073-0.0114331j 0.0612479-0.00370668j -0.00356221+0.0227143j -0.0145333+0.0298848j -0.00943978-0.00973616j -0.0083442+0.00265005j -0.00539672-0.00980653j -0.00658542+0.00392299j 0.00569157-0.00463968j 0.00190066-0.0178418j 0.0136094-0.0696941j -0.00553523-0.0442924j -0.0186717+0.0199612j -0.0059991+0.0125276j -0.0362933+0.1077j -0.0437302+0.00459298j -0.0655986+0.0522697j 0.0173535+0.00100633j 0.0040578-0.0172201j 0.0155885-0.0366017j -0.00423831+0.00583862j 0.018662-0.0218748j 0.0383398+0.0159103j 0.00877353-0.0160722j -0.0155969+0.047119j -0.0113832+0.0178302j -0.0102942+0.0100569j 0.00547951-0.0412015j 0.00163821+0.0518734j -0.0294829-0.0158653j 0.014671+0.0089686j -0.013224+0.000977627j -0.00754351-0.0477981j 0.0232627+0.0512403j 0.0143393+0.0291587j 
