-0.146559+0.0123889j 0.515685-0.46654j -0.477388-0.519334j -0.0484558+0.102727j -0.0437995+0.0544486j -0.0972712-0.0261548j -0.0964295-0.0218737j 0.0625038-0.0381038j -0.00778337+0.0806083j 0.0124049-0.0180789j -0.0210032-0.00982185j 0.00947728+0.0333371j 0.00167493-0.00662973j -0.025195+0.0119744j -0.0060322-0.0167897j 0.0394085-0.0260468j 0.00221653+0.00980624j -0.0313164-0.0268287j -0.00200349+0.0265016j -0.00318108-0.00548672j 0.0105782+0.0200609j 0.0237056-0.0349061j 0.0246801+0.0116249j 0.0143322+0.00695161j 
0.00473944-0.0304857j -0.0118537-0.0130116j -0.0182062+0.00741624j 0.00434104-0.0114622j 0.0057545+0.00441445j 0.00383417-0.00821759j 0.000717063+0.0204533j -0.0183865-0.0132242j -0.030338+0.00937571j -0.00324679-0.0207396j 0.0247972+0.00428926j 0.0115855-0.0195232j 0.0149386+0.0177784j 0.0170518+0.0207191j 0.0230073-0.0382867j 0.0130228+0.0268216j 0.00679945-0.071848j -0.0118185-0.0360746j -0.0327093-0.036065j 0.049956-0.0220531j 0.0110248-0.014154j -0.0409665+0.0158225j 0.0401231-0.00696758j 0.0321463+0.0120643j 
-0.000582588-0.00380531j 0.011292+0.0147797j 0.0102273-0.0115597j 0.000370842-0.0105635j -0.00267509+0.00539954j -0.00139284-0.0378601j -0.0126831+0.0487625j -0.0710933-0.0117121j -0.0509768+0.00152969j 0.0107479+0.00131619j -0.00223617+0.00411184j 0.00675699-0.0086666j -0.0157859+0.0129895j 0.0209519+0.0132819j -0.0116289+0.0174599j 0.0114497+0.0121703j -0.00202804+0.0403844j 0.0222196-0.0202699j 0.00643016+0.0214338j 0.0185246-0.0214482j 0.00834629+0.00607605j -0.00586676-0.00191059j 0.00323851-0.0092047j 0.0123785-0.00653387j 
-0.00499765+0.0130835j 0.00182668-0.0108795j -0.0117408+0.0017661j -0.008047+0.0186724j 0.0215939+0.0177594j 0.000867256-0.00530654j -0.00523336-0.0160608j -0.016323+0.00628521j 0.00132154-0.0219691j -0.0258295-0.00181738j -0.0652979-0.00557163j -0.0153178+0.00395986j 0.0251049+0.0261143j -0.0701187-0.0127769j -0.00337032+0.0254793j 0.00371366-0.00154031j -0.0281326-0.0351787j -0.0421549+0.0625825j -0.000894558-0.0439521j -0.102747+0.0129311j -0.00892324-0.000548202j 0.0133062+0.0161965j -0.00255535+0.0177647j -0.0276596+0.0162394j 
-0.0043053-0.0041548j 0.0184984-0.00856309j -0.00930587-0.0202542j 0.00874097-0.020977j 0.011345+0.0190929j -0.00783699+0.00196219j 0.00279054-0.0209787j 0.00955012-0.0100723j 0.0105814-0.00717929j -0.0128478-0.028475j 0.0260967-0.0293278j -0.0254661-0.000961346j -0.00834627-0.0102128j 0.0120093+0.0090377j -0.0461395-0.00755936j 0.0114617+0.00370524j 0.0520657+0.0288902j -0.0183287+0.00986141j -0.023943+0.0292407j 0.038958+0.0202365j 0.00837699+0.0111919j -0.0079167+0.0464603j -0.00193229-0.0341008j 0.0318405+0.0330896j 
-0.00564843-0.0365303j 0.00830743-0.000624168j 0.00378103-0.00571002j -0.00138214-0.00546688j -0.00052643-0.00301349j -0.00980859-0.00403705j -0.00598328-0.0240418j 0.00664676+0.00974836j 0.0327877-0.00951907j -0.00779708-0.0025857j -0.00929679-0.0259879j -0.0290993+0.0207178j -0.0199562-0.0386553j -0.000153321-0.0160184j -0.0347262+0.0251859j -0.0124945-0.0297094j -0.00407081+0.0695279j 0.00303119+0.0153403j 0.0189945+0.0232683j -0.0133533+0.0182867j -0.0211139+0.0118819j 0.00981755+0.00184782j -0.010073-0.00922754j -0.0210566+0.0151246j 
3.59768e-06+0.00109141j 0.0156395-0.0162483j -0.0150493-0.0150392j -0.00592448+0.0255044j -0.00344523-0.0535929j -0.000231233-0.00953274j -0.00100227+0.0165916j -0.0096946+0.0510165j -0.001653+0.0324516j -0.00620759-0.00267617j 0.0164328-0.0100343j 0.0105718+0.00441177j 0.0246176+0.00137264j -0.0109161+0.0210491j -0.0194393-0.0159174j -0.00860483+0.0164496j 0.040485+0.00334064j 0.00426625+0.0207457j -0.0196404+0.00523322j -0.0179874+0.00270547j 0.0168337+0.010271j 0.007918-0.00245417j -0.0115786-0.00724899j -0.00435333-0.00360305j 
-0.00154473+0.0404907j -0.00441897-0.00220239j 9.14591e-05+0.00911454j -0.00925227-0.000386801j -0.00177138-0.00698314j 0.00480979+0.00677829j 0.00105738-0.00180952j 0.000455668-0.00226758j 0.00901924+0.0064387j 0.0406346+0.0168179j 0.0242224+0.00427937j 0.0184333-0.0125473j -0.0116643-0.0301567j -0.00979621-0.0109005j 0.0189886-0.0282119j -0.0234381-0.00814816j 0.010661+0.00649065j 0.0194124-0.0197293j 0.0105088-0.0078555j -0.000335542-0.0322659j -0.00831256+0.00159165j -0.00873859-0.0383897j -0.00774203+0.0159542j -0.018267-0.0163637j 
4.70261e-05+0.0135864j 0.0116759-0.0185508j -0.0215141-0.0101952j 0.00947097-0.00615425j 0.0186264+0.0199623j 0.0123027+0.0137478j 0.00803406-0.00599143j 0.00723566-0.0261383j -0.0152716+0.00212921j 0.052655-0.0103827j 0.0741218+0.0090845j 0.0203517-0.0438156j -0.0142632+0.00344576j -0.0139066+0.0205275j 0.00510896-0.0664666j 0.00979871+0.021792j 0.100374-0.0284954j 0.00704039-0.0115667j -0.0308434+0.0218695j 0.0450583-0.0298117j 0.0300477-0.00528277j -0.00964309+0.00661836j -0.027508-0.00809491j 0.0441123-0.00830596j 
-0.00010066-0.00153361j 0.00918628+0.01088j 0.0110611-0.00596833j -0.0321644+0.00279686j 0.0797776-0.0134022j 0.00726727+0.0315338j -0.00657777-0.044482j -0.00835771+0.0145003j 0.00312833+0.00461132j 0.0136658-0.0053669j -0.00939062+0.00064529j -0.012725+0.000414505j -0.0218225-0.0144911j 0.00187915+0.00136703j -0.00911514+0.0169478j -0.00132232-0.00524313j -0.00283628+0.028251j 0.0152015-0.00485994j 0.00615924+0.0175375j -0.00158149-0.0147229j 0.00139123+0.00446771j -0.000213953-0.00428809j -0.00702857-0.0090095j -0.00182538-0.000603856j 
-0.00557325-0.00720093j 0.0134038+0.00164989j 0.00739915-0.0159569j -0.0135381+0.00525136j 0.0078949-0.0105953j 0.0267096+0.048961j 0.00830598-0.0038259j 0.0474774-0.0277227j -0.0178004+0.018281j -0.00167834+0.0378123j -0.0470181+0.0111093j 0.0644681-0.0344042j 0.0504562+0.106154j 0.0118199+0.0229439j -0.00669027+0.0271658j 0.0286269+0.0513565j -0.0289481+0.00381923j -0.00373475-0.0017713j 0.00480576-0.0156329j -0.0180063+0.00546868j 0.0100822+0.0184508j 0.000467458-0.0157836j 0.00384669+0.0240914j -0.0100316-0.0141613j 
-0.00673634-0.0282689j -0.0154673-0.0129509j -0.00912236+0.018607j -0.0340289-0.00671744j 0.0186074-0.0136577j 0.00661938+0.0119033j -0.00815073-0.012472j -0.0112567-0.00310245j 0.0129814+0.00599509j 0.00977766+0.0236489j -0.0127352-0.0169265j 0.0250331-0.000350523j 0.0236525-0.0412076j -0.00398861-0.0175551j 0.0156798-0.0197571j -0.0375178+0.00790357j -0.0321844-0.0382675j -0.00115149-0.0169595j -0.00648952-0.0468316j -0.0229385-0.0259038j -0.0107037+0.0137969j -0.022994-0.0448204j 0.0237529+0.0126955j -0.0476115-0.00421752j 
-0.00369225-0.00902436j 0.00639349+0.00937499j 0.0163811+0.00182064j 0.0458513+0.0259939j 0.00254401-0.00538895j 0.0104527+0.00266196j 0.00455453-0.00470707j 0.0247607+0.00693826j -0.00948078-0.00299347j 0.121044-0.0357401j -0.0101063+0.0386141j -0.00915849-0.10602j -0.117377+0.0874618j -0.0544211+0.0350402j 0.0343146-0.0283273j 0.0361748-0.0332653j 0.0245049-0.0448116j 0.00408556-0.00502422j -0.0175706+0.000691019j 0.00878328-0.024559j -0.0489904-0.0097796j 0.00245887-0.01045j -0.0510084+0.00452192j 0.0246985-0.00903542j 
0.00270679+0.00309547j 0.0108925-0.00565253j -0.00714426-0.00793493j 0.0261351-0.0432189j 0.00302844+0.00219486j -0.0236686-0.028191j -0.00972812-0.00929327j -0.0103666-0.000169816j 0.00327928+0.00196846j -0.025701-0.00718887j -0.0291042+0.00334786j 0.0287248-0.0344008j 0.065029+0.0560042j 0.0162626+0.0166547j -0.00356829+0.0101949j 0.034778+0.0634342j -0.027508-0.020949j -0.0108632-0.0112256j -0.0270256-0.0419089j -0.0112802-0.00727482j 0.0300313-0.00205921j -0.0308582-0.022931j 0.0472645-0.00840809j -0.0422892+0.00788581j 
