0.13891+0.0504029j 0.136423+0.377168j -0.312406+0.375912j -0.18361+0.274842j 0.182663+0.134449j 0.398359+0.273973j 0.283836-0.0187582j 0.0932416+0.235733j 0.248627-0.0997251j 0.573445-0.28639j -0.0640385-0.308292j 0.695827-0.35991j -0.183064+0.990494j -1.65583-1.45854j 1.06741-1.42859j -0.0151785-0.164467j 0.296454-0.418097j 0.76976-0.118802j 0.515321-0.130418j 0.327224+0.360624j -0.548344-0.572229j 0.0896601-0.0325366j 0.481786-0.0716814j 0.18936+0.379042j 0.226882-0.24774j -0.324026+0.267354j 0.020627-0.282128j 0.0325939-0.378863j 0.330245+0.215379j 0.301416-0.104346j -0.47758+0.854049j 0.0359404+0.105725j 0.206472+0.432555j -0.0895396-1.24301j 2.38175+0.842557j 1.43085-2.75097j 0.974857+2.33155j -0.0469801-0.0744463j -0.172196+0.101562j -0.198121+0.221716j 0.228672+0.15229j -0.231843-0.29098j -0.251002+0.0824042j 0.415813-0.254676j -0.381767-0.19848j 0.089578+0.342414j 0.159622-0.182271j 0.162782+0.298033j -0.301496+0.609258j 0.182686+0.0410673j 0.395855+0.492097j -0.501995-0.339923j 0.386746-0.0831541j -0.392449+0.0867805j 0.371309-0.138059j -0.209706-0.519097j -0.0591096+0.221457j -0.103866-0.2193j -0.438883+0.341325j 0.368515-0.373184j 0.675363+0.275404j 0.14615-0.635206j 0.192734+0.00473136j 0.244075-0.725769j -0.0503912-0.00724254j -0.196003-0.649697j -0.241568-0.2478j 0.0372233+0.182534j 0.225522+0.219392j 0.306067-0.00989159j -0.208794+0.178926j 0.352345-0.0205047j -0.41807+0.2191j -0.0278536-0.0535853j -0.0866615+0.193367j -0.000267011-0.402396j 0.104077-0.691143j 0.0701233-0.180345j 0.105015+0.250186j 0.450472+0.194131j 0.301469+0.190835j 0.486964-0.830098j -0.0273553+0.628513j 0.0575401-0.170725j 0.111949-0.778909j 1.28153+0.91713j 0.629789+1.12548j -0.61397-0.0454167j 1.41908-0.425539j -1.87398+0.554996j 1.1694-0.875575j -2.34097+0.481986j 1.04552+3.83375j -0.29194+0.46262j -2.07678+1.4742j 
0.0656084+0.397825j 0.588268-0.393748j 1.47149+1.09972j 2.10438+0.0403946j 0.0021531-0.0470311j 0.414919-0.0582356j -0.650329+0.602457j 0.151927+1.45651j 0.0887085+0.57874j -0.474248+0.764802j 0.0606591-0.120305j -0.492958+1.66346j -0.368982+0.961648j -1.20957-2.81008j -0.0845192-0.453619j 0.336981-0.406852j -0.219127-0.413957j -0.375233-0.518563j -0.708082-0.908489j 0.82191+0.0153152j -1.17853+0.896198j -0.38507+0.193238j 0.214977-0.164422j -0.207906-1.0231j 0.203434-0.0792615j -0.358447-0.92327j 0.263217+0.383345j 0.257948-0.277119j 0.267978-0.952383j 0.36848-1.48041j -0.0217401-0.16672j -0.260124-0.184646j 0.197772+0.238301j 1.56597-0.328421j -0.136244+1.4118j 0.864057-0.263073j 0.452171-0.291186j 0.125793-0.0774805j 0.202079-0.0956144j -0.107854-0.130078j 0.264058+0.0735068j 0.270079-0.254482j -0.428314-0.0287746j 0.0404823+0.368391j -0.328307+0.038745j 0.760555-0.190442j -0.664555-0.136074j 0.0590567-0.445163j 0.0242435+0.166003j 0.00813161-0.419652j 0.412704-0.625329j -0.749077+0.459141j -0.189159-1.13748j 0.423283+0.409387j -0.170783-0.415276j -1.77318+0.493583j -0.871124+0.618734j 0.139261+0.319691j 0.00723865+0.0992804j 0.553431-1.04794j -1.76543-0.538671j -0.197645+0.255812j -0.261225-0.462231j -0.147507-0.940036j -0.177791+0.138066j 0.823544-0.107279j 0.15077+0.657837j 0.0789902-0.0435743j -0.699051-0.457994j -0.924524+0.984865j 1.51761+0.470654j 1.56984+0.540255j 0.16825-1.34767j -0.161857-0.0340122j -0.155508-0.776j 0.529599+0.71063j -0.945594-0.705721j -0.315229-0.0603762j 0.428873-0.210072j 0.121454+0.188126j 0.495059-0.813036j 0.276572-0.41598j 0.68447-0.646703j 1.39442+1.38131j 0.455455+0.12629j -0.550641+0.569576j -0.84551-1.28237j -0.969964-0.412902j -0.0963687+0.687432j -0.30084-0.529469j 0.533111-0.053845j -0.121872-0.245233j 0.252088+0.282765j 0.0030188+0.069904j 0.0867565+0.0285625j 
0.523488+0.167093j -1.28491-0.152539j 0.0160457+0.348061j 0.137662-1.1832j -0.0607018+0.346159j 0.470344-0.0630613j -1.10827-2.39695j 0.813054-1.53771j -1.26341-1.20325j -0.78475+2.22575j 0.721658+1.51612j 0.721728-1.11263j -0.46703-0.263505j 0.806899+0.182413j -0.60686+1.10658j -0.374216-0.540951j 0.71865+0.36418j -0.0755035+0.130883j -0.379808+0.999238j 0.316461+0.758254j -0.54061+0.0976111j 0.0383614+0.329369j -0.883805-1.12085j -0.386264-0.967325j 0.0334842-0.880048j 0.191987-0.303207j -1.18958-0.545123j -1.19337+0.555298j 0.275368-1.2705j 0.0637921+0.52202j 0.113481-0.214513j -0.0321527-0.559607j -0.311792-0.169741j -0.00959255-0.260808j -0.00673067+0.976568j -0.97577+0.14903j -0.0488589-0.259385j 0.146903-0.110439j -0.864945-0.449449j -0.222878-0.125193j -0.314536+0.469078j 0.11166+0.0640174j -0.298212+0.177648j 0.0721998-0.728105j 0.33388-0.244185j 0.394642-0.058367j 0.606079+0.212722j -0.347095+1.32795j -0.108863+0.0216774j 0.698618+0.0607025j 0.464374+0.0938834j -0.328912-2.25445j -1.12668-0.605675j 0.260765-0.0227641j 0.394326+1.36205j 0.0932858-0.0131052j 1.37605-0.378994j -0.278005-1.43932j -0.763436+0.119895j 0.0215096+1.12167j -0.180542+0.28797j -0.988274+0.0272181j 0.266837+0.305498j -1.69896+1.84387j 0.111268-0.305255j -0.28643+0.964241j -0.651875+0.156583j -0.00944926-0.0434884j 0.59873+0.394309j 0.731531-1.59989j 1.53192+0.726793j -1.63111-0.502539j -0.5852+2.0771j 0.587189+0.744959j -0.480402+0.411244j 1.42095+0.0832913j 0.115221+0.526679j 0.286967-0.151564j 0.133081+1.22157j -1.23001-0.12387j -0.690141+0.386207j 0.243145+2.07147j -0.946788-0.311963j -1.35125-0.227704j -0.0297429+0.461417j 0.322731-0.0200023j -1.11682-0.712958j 0.105347-0.115106j -0.424218+0.0417142j -1.42055+0.372974j 0.15596-0.885158j 1.13821+0.747899j -0.240114-0.0891809j -0.780408-0.165197j -0.0545534-0.0120662j 
0.195261+0.276884j 0.154682-0.484732j -1.33753+0.307456j -0.0904482-0.785553j -1.29814-0.628323j 0.91848-0.403223j 0.173861+1.7164j -0.727051+0.387468j -0.913312+0.264526j -0.591915-0.325135j -0.650891-1.39831j -1.20379+1.12692j -0.682424+1.17857j 0.100306-0.0763116j -0.97033-0.27494j -0.127964-0.420007j -0.524645+0.223884j 0.92719+0.525609j -0.0744882+0.572768j -1.19873+0.0897319j -0.407217-0.0796075j -1.26943+0.318758j -1.38985+0.910357j -0.401437-0.100135j -1.01537+0.342997j 1.06481+0.405007j -0.747356-1.98711j -0.992311+1.2564j -0.299573+0.0620264j 0.184055+0.724084j 1.15155-0.320555j 1.03685-0.355584j 1.68689-0.405025j -0.401532+0.885469j 0.520905+0.923296j -0.382958+0.0852375j 0.236278-0.0496167j 0.0634052+0.00285406j -0.179939-0.564646j -0.301945+0.260406j 0.535003-0.0666615j 0.226878+0.508823j -0.540197-0.0899209j -0.069179-1.49646j 0.430475-0.0117852j -0.871865+0.988464j -0.0269126+0.267225j -0.179164+2.15994j -0.109992+0.492251j -1.45171+1.16519j 0.776816-0.222087j 0.576283-3.32937j -1.11704+1.45052j 1.77661-4.02503j -0.256171+1.47831j 0.0517068-0.33142j 0.494634-0.633697j -0.801092+0.247898j 0.355566-1.21744j 0.809651+3.315j -0.228711+0.997875j -0.729477+0.319915j 1.63992-0.174765j -3.82542+3.13196j 0.304401-0.704508j -1.52572+3.24722j -1.27631+3.74264j -0.014488-0.478438j 0.399743-1.42697j 1.67108-2.04623j -0.630687-0.5143j -0.748886-0.712201j -2.68177+3.89822j -0.863901+0.566334j 0.224555-0.12941j 0.828804-1.73193j -0.39311+1.81831j 0.979581-1.14208j -2.01222+2.16957j -0.377976+2.78166j 0.0869363-1.0524j -3.27418+2.44527j -1.31797+1.55131j -0.542642-0.296993j -1.47341+1.80549j 1.20987-0.883861j 0.249527+1.36847j 0.339951-0.554291j -0.0814042-0.210055j -1.06187+1.90407j 0.421978-0.825128j 1.06832-0.887092j -0.0466763+0.223914j -0.490706-0.535705j 0.0872433+0.230375j 
-0.0888536+0.19114j 0.147087-0.438738j -1.68476-0.888088j 0.932066-0.0772555j 1.15607+0.153289j 0.774244-0.505326j 1.31195-0.496256j -0.668693-0.919955j -0.0921196+2.41106j 0.92926+0.222035j -0.422097-1.03628j 0.99253+0.320891j -1.79017-1.49914j 0.158553+1.36355j -0.591125-0.820904j 0.0456668-0.429311j -0.627817+0.120855j 0.983077+1.12216j -0.43538-0.0937454j -0.99703+0.283031j -0.12673+0.111157j 0.251651-0.156098j -0.465385-1.05042j -0.840907-0.825641j 0.0523674+0.332185j 0.678566-0.167629j -0.185008+1.34982j 0.1207-1.09844j -0.483088-0.70907j 0.448621-0.622082j -0.211364-1.18445j 0.33039-0.255729j 0.797925+0.103113j -0.268222-0.314938j -0.712965+0.0641394j -0.598377-0.275251j 0.205507+0.0974085j 0.0894532+0.00677492j 0.0361595-0.586325j -0.280188+0.218245j 0.503919+0.0109535j 0.127784+0.367689j -0.882836-0.334556j -0.045096-1.16846j 0.166703+0.179734j -0.970896+1.27681j -0.279241+0.419221j -0.456871+1.96736j -0.112592+0.105226j -0.673379+1.04855j 0.512323+0.587065j 0.234042-3.67084j -1.75761+0.33572j 0.297332-2.59462j 0.990008+0.928202j 0.0201204-0.183031j 2.72067-0.585944j -0.521097+0.145151j 1.07159-0.694716j -1.8033+3.95433j -1.00134+0.710077j 0.30587+0.820855j -0.0175988+0.352071j -1.02624+3.33713j -1.30798-0.370357j -1.46945+2.39634j -0.69624+1.59971j 1.72093-0.0574847j 0.693245-2.77955j 1.6075-3.3366j -0.384545-0.160514j 0.191147-0.453216j -1.53774+2.01108j 0.87427+0.405992j -0.051513+0.223076j 0.51332-1.44209j -0.903408+1.65339j 1.3293-0.824039j -1.1449+1.87542j 0.722012+3.07132j 1.70859+0.0967315j -3.27749+2.65249j -0.997711+0.135058j 0.380762-0.212639j -1.77589+1.31993j 0.514255-0.242099j 0.272069-0.0790372j 0.0107179-0.53054j 0.206254-1.01347j -0.940777+0.789053j 0.525025-0.32993j 0.664419+0.13651j -0.056894-0.0311814j -0.219977-0.812311j 0.0308976+0.188064j 
0.1003+0.111155j -0.0884625+0.607391j 0.826227-0.326309j 0.321118-0.850097j 0.829307-0.853909j 0.461139+1.07082j 2.27757-0.146763j 0.0437708-0.878705j -2.37025+0.592817j -0.202341+1.47669j -0.779443-1.71234j 0.1112-1.22105j 0.919835-0.144772j 0.450303-0.29903j -0.0537423+0.226033j -0.0190139-0.0785645j 0.181466-0.228528j -0.482111+0.174367j 0.0265534+0.492631j 0.701175-0.563495j -0.651325+0.0137525j 0.406976-0.688935j 1.93271+0.457866j -0.110569-0.458642j -1.39204+1.14287j -0.184223-0.102382j 0.164467-0.695174j 1.25578+0.81858j 0.680663-0.622505j -1.19082+0.0923339j -0.369437-0.207901j 0.0258122+0.617601j 0.731407+0.32695j 0.0774583-0.220424j 0.173311-0.27475j 0.0817597+0.198944j 0.0230526-0.124343j -0.0193458-0.103164j -0.108716+0.0941636j 0.099672-0.0266972j -0.12521+0.248872j -0.0661422-0.122089j 0.303938-0.0443529j -0.228635+0.41292j 0.0390769+0.0536072j -0.0471749-0.658603j 0.199328+0.106343j 0.207676-0.305839j -0.0256027-0.00190264j 0.238964-0.95591j 0.00933354-0.294264j 0.166554+0.354994j 1.16014-1.08239j -0.609225+0.743497j -0.035694-1.19621j -0.301526+0.393679j -0.428747+0.187122j -0.197422+1.37437j -0.257098+0.126939j 0.743812+0.202559j -0.230484+0.146732j -0.0780774+0.0856939j -0.686828+1.11986j -1.23781-1.32291j -2.40558-0.119178j 2.16834-1.04134j -0.880567-1.34928j 1.9849+0.512985j -0.787044+1.09885j -1.64782+0.325898j 0.395697-0.361369j 0.252334-0.0744683j -0.148035-0.367376j 0.600461-1.32902j -1.0898-0.23754j 0.040889+0.00456941j 0.0371734-0.0865975j -0.605297-0.483166j 0.879284-1.23132j -0.395399-1.05273j 0.505805-0.977848j 1.14079-0.658373j 0.433436+0.0821771j 0.0908955+0.535468j 0.14584+0.0779372j -0.253589+0.527251j -0.0943828+0.668039j -0.154812-0.147971j 0.0660499+0.202006j 0.405221+0.340429j -0.255819-0.059104j -0.239086+0.0445313j 0.0173729-0.0492037j -0.10602+0.177971j 0.0645855-0.0575918j 
0.430198+0.270861j -0.670836+0.926401j 1.20221-0.682232j 0.479932-0.177071j -0.966701+0.987167j 1.18595-1.25177j -0.587111-2.04072j -0.547663+1.21925j 1.71223+1.27881j 0.858525+0.72562j 0.435494+0.240577j -0.197282+1.03817j 1.91782-0.201041j 0.211063-0.00748963j -0.313028+0.688543j -0.269388-0.140699j 0.891283-0.0316468j -0.588911-0.0138366j 0.108847+0.172191j -0.65969-0.236125j -1.76835+1.50232j 0.250907-0.0111779j 1.50051-0.0706502j -0.802382+0.953459j 0.666857+0.58874j 0.00735553+0.223613j 0.178686-0.72708j 0.408257-0.621444j -1.4745+0.104032j 0.365902+0.749398j -1.0593-0.0958293j -0.273859-0.210421j 0.363765+0.267355j 0.336305+0.398753j 0.266829-0.842333j 0.180228+0.241761j 0.0564764-0.350365j -0.0906965-0.272009j -0.523472+0.274982j 0.238545-0.183255j -0.708235+0.376254j -0.18833-0.519188j 0.413572+0.0795038j -0.319148+1.91543j -0.107045+0.433762j -0.42533-0.213352j 0.263362+1.11415j -0.221172-2.15464j 0.483438+0.143183j 1.62369-0.354055j -0.283173-1.85561j -0.404698+3.36837j 2.06881-1.37938j -1.27892+3.97229j 1.03078-2.20408j -0.311438+1.14849j -1.2701-0.0683722j -0.682234+0.332801j -0.310461+1.59973j 1.32543-3.09141j 0.0262249+0.233337j -0.111028+0.274207j -0.299833-0.0523266j 1.91627-5.13507j 1.78851-0.525906j 0.898723-1.81741j 1.32189-2.53338j -2.1657+1.55731j -0.864893+0.944382j -1.60195+2.87599j 0.674536-1.07202j 0.00818222-0.992185j 1.70315-3.95559j 0.220378+0.765351j -1.24593-1.80036j -0.392686+1.03515j 1.16622-0.405386j -1.43259+1.3204j 1.9483-1.25505j 0.250672-1.07971j -0.26432-1.25069j 2.67789-3.55204j 0.823808-1.62089j -0.404639+1.42783j 1.11734-1.54017j -0.483296+1.60308j 0.890238+0.540126j -0.178769-0.0899008j -0.293316+1.05014j 1.64284-0.657658j -0.658839+0.252122j -1.11946+0.397398j 0.372327-0.102642j -0.27483+0.425225j 0.246902-0.304359j 
0.194882+0.189514j -0.171917-0.0409863j -0.157231+1.16787j -1.08301-1.35914j -0.97105+0.205366j -0.465853+0.165911j -0.553526+0.269776j -0.203836-0.880315j 0.332262-1.99104j 0.153996+1.28301j -1.98151-0.114305j -1.35718+0.747788j 0.479387+1.00431j -0.0473096-0.210255j -0.524439+0.27802j -0.280542-0.0287886j 0.354232+0.500128j 0.843542-0.854858j 0.0730865+1.04507j -0.921243-0.479827j -0.156117-0.117872j 0.115052-0.245399j 1.17829-0.137981j -0.265112-0.735727j -0.622042-0.264351j 0.0522424-0.36697j -0.117107+1.98417j 0.0997172-1.01294j -0.235298+0.612541j -0.222338-1.04235j -1.24243-0.370013j 0.449135+0.343884j 0.0611839-0.0603793j -0.177996+0.468038j 0.105896-0.140584j 0.13709+0.182173j 0.0842509-0.212427j -0.0343335-0.192516j -0.5462+0.141344j 0.349566-0.0660324j -0.497582-0.475405j -0.0859976-0.580101j -0.351082+1.17089j -0.149582+2.27743j -0.117854+0.273972j -0.643162+0.330379j 0.114222+1.33281j 0.557059-2.83919j 0.0137061-0.214971j 0.274555+0.387283j 0.179923-0.182696j -1.17034+4.00631j 0.844492-0.816446j -1.36068+3.74301j -0.735943-2.24086j -0.701715+1.06413j -1.17453+0.306632j 1.21855+0.54739j -1.20874+1.66234j 1.5916-4.74849j -0.438555-0.39969j -0.116397+0.168871j -0.369987-0.111793j 1.65562-2.81376j -0.860886-0.814557j 1.62078-3.31237j 1.40139-3.71363j 0.344653+1.93819j 1.55682+2.6194j -0.911889+2.76463j -0.653813-0.929041j 0.588222-0.468128j 3.78819-3.87032j 0.464479+0.628586j 1.6306-1.22808j -1.45324+1.44404j 0.545411-0.954324j 0.0988952+1.18144j 1.09157-1.39739j 0.676822-2.97868j -0.292651-1.72657j 2.08267-2.55625j 1.08612-1.48525j -0.503152+0.69898j 1.34539-1.21083j -0.728502+1.81163j 0.441611+0.253329j -0.158042+0.117244j -0.641264+0.7272j 1.20615-1.21647j -0.331028+0.457009j -0.792744+0.223197j 0.312652+0.0777997j -0.224264+0.318211j 0.210909-0.227732j 
-0.0689431+0.72904j -0.901595-0.0527737j -0.0915463+0.114121j 0.620438+1.42301j 1.0737-1.21367j -0.94686-1.82913j -1.54944+1.58368j 1.04348+1.50139j -1.14861+2.13283j 0.121273+0.0527961j 0.124811-0.308391j -0.503771+0.899043j -0.3377+0.114609j 1.9449+1.04079j -1.17657+0.479439j 0.0600164-0.29534j 1.18797+0.615272j 0.0232265-0.822789j -0.583574-0.271378j 0.808572-0.218233j 0.172791+0.216249j -0.088737-0.636323j -0.191758-0.890413j 0.496025+0.479015j -1.21053-0.0768385j -0.274758-0.180958j -0.619572+1.00847j 0.173229+0.830923j -0.120309+0.225396j -0.0972013+0.580358j -0.766047-0.0257949j -0.219128+0.431667j -0.64379+0.499594j 0.0303609+0.752271j -0.214044-0.0650775j -0.704652+0.21171j 0.267881-0.394032j 0.12606-0.168122j -0.532326-0.0632714j -0.0898629-0.44888j -0.905037+0.479404j -0.237817-0.270071j 0.486053+0.50955j 0.612375+0.503416j 0.623716+0.0928867j 1.81951-0.329591j 0.49784+0.162309j 0.382197-0.426255j -0.960612+0.347264j 0.106601-1.10119j 1.3986-0.810999j -0.992214+2.58829j -0.74831+0.0964023j 0.121196+0.771296j 0.686262-0.660397j -1.3768+0.695311j 0.212381+0.943428j -0.488277+0.211624j 1.29084-0.326051j 0.631377-2.47912j -1.33966+0.162432j 1.16674-0.696398j 0.787344-1.28606j 0.553546-1.61085j -0.355012+0.293898j 0.00283383-0.411536j 1.08837-0.891788j 0.162778+0.0180593j 0.252138+1.11488j 0.279994+1.28149j -1.3353-0.365155j 0.480501-0.792682j 0.895852-1.07196j 0.295515-1.27366j -0.918125-0.36392j -0.907285+0.378612j 0.271638-0.00685215j -0.721489+0.115542j 0.927481-1.4679j -0.388618+0.175087j 0.575805+0.00209557j 1.28714-1.50141j 0.02546-1.37963j -1.19063-0.326974j -0.0153278-0.722866j -0.17813+0.509072j -0.300218-0.777769j 0.457151+0.0291915j 0.04388+0.661246j -0.0212554-0.706707j -0.233159-0.272162j 0.0983886+0.866498j 0.199805-0.161368j -0.867253+0.270285j 0.155223-0.172523j 
-0.435563+0.159789j -1.55095+2.36634j -0.257115-0.626863j 0.826818+1.12578j 0.341522+0.672968j 0.297337+0.862126j -0.0396473+0.235071j 0.250164+1.4298j 0.619926+0.268982j -0.537071-0.517975j 0.0428097+0.312224j -2.427-0.522838j 1.33202-0.855471j 0.610357+0.784198j 0.0340792-0.156771j 0.467963+0.351371j 0.879627-0.354344j 0.114415+1.90284j 1.15944+0.223919j 0.478652+0.407048j -0.0644063-0.530098j -0.292401+0.198056j 0.179246-0.490663j -0.522845-1.50649j -0.214848-0.37072j 0.409099-0.586653j -0.150712+0.22656j -0.268611-0.0435913j 0.393095-0.613649j 0.244149-1.16721j 1.12689+0.695263j -0.176465-0.163422j 0.38238-0.0967841j -0.47776+0.742632j -0.103783-0.198853j -0.10244+0.477984j 0.166766+0.268011j -0.14163+0.011056j 0.407859+0.159518j 0.23816+0.160879j -0.891014+0.383697j -0.0915308-0.0579896j -0.227993-0.948324j -0.320525+1.06546j 0.370074-0.661313j -1.0482+0.879119j 1.35146-1.12968j 0.703887-0.517744j -0.492048-0.152396j -0.118905-0.458077j 0.14678+0.884173j 0.0525134+1.2857j 0.364611+0.151849j 0.0117538+0.285853j 0.199749+0.271744j -1.00343+0.744954j -0.239334+0.830858j -0.212825-0.339324j -1.34416+0.554264j 0.98868-1.58743j -0.788093+0.28196j -1.45236+0.338615j 0.566505-0.942974j -0.350816-1.08916j -0.227796+0.330349j 0.0534996-0.0276191j -0.412795-0.235236j 0.240839-0.161524j -0.134856+0.23426j -0.520506+0.852327j 0.0220362+0.32728j 2.32485+0.233437j 0.103299-0.890893j 0.091157-0.430789j -0.418416-0.623022j -0.127551+0.719116j -1.48325-0.0108192j -0.169143-0.079516j 0.252522-0.425651j 1.22213-0.843674j 0.267652+0.0145527j -0.384046-0.769246j -0.370885+0.378274j -0.305329-0.0328154j -0.119423-0.311576j -0.0909633-0.229121j -0.00712764+0.207859j 0.141631+0.0427842j -0.749983+0.295503j -0.106451+0.00455346j -0.149426-0.0615136j 0.410905+0.05577j -0.133708-0.0352931j -0.144786+0.207265j -0.0388166+0.00668275j 
0.503086+0.201188j 0.951897-0.623254j -0.741306-1.09006j -0.730841-0.656079j -1.22843-1.29409j 1.91885-0.596923j 0.121138-0.179966j 0.730872+0.482866j -1.83021+0.805617j 0.369416-1.81549j 0.509053-0.0168936j -0.161356+0.125199j 0.0912149+0.883475j -0.397914-0.643861j 0.581603+0.204936j -0.18789+0.0831274j -0.31219+0.217416j -0.107111-0.273686j 1.72908+0.582533j -0.813478-1.16199j -0.285594-0.355375j 0.170466-0.296822j -0.216198-0.869613j -0.634099-0.264593j 0.0863842-1.57389j -1.12981-0.47471j -1.22286+0.287159j 0.353243-1.16987j 0.440812-0.45946j -0.876497+0.70401j 0.345894+0.775891j 0.0632115-0.340442j 0.299456+0.271232j -0.035085-0.0235368j 0.0952003+0.151618j 0.349315-0.0713277j -0.199625+0.116839j -0.161793+0.156087j 0.386776+0.0120645j -0.079437-0.125891j 0.369567+0.15196j -0.392721+0.438363j 1.72554-0.251903j -0.0434901-0.975404j 0.133668-0.661671j -0.962966-0.566507j 0.316115-1.26246j -0.256663+0.273666j -1.07503-0.137961j -0.169628+0.616421j 1.71181+0.837293j 0.584559-2.10617j -0.238399+0.132671j -0.177509-1.21016j 0.146703-0.364253j -0.150415+0.235869j 1.34392-0.861828j -0.111005+0.619014j 0.76327-0.689494j 0.450021+2.17889j -0.292581+0.943863j 0.845799+0.0507702j 0.637442+0.645061j -1.89336+1.89091j -0.337187-1.33109j 0.00207387+0.867184j 0.97296+1.08688j 0.324859+0.838415j -0.0266305-0.297058j 1.66961-1.75828j -0.10188+1.86889j 0.173626+0.41125j -0.589386+2.00027j -1.33113-0.991764j 0.352737-0.452547j 0.319149+0.64148j -0.464975+0.241054j -0.393028-1.26895j -1.15234+0.985939j -0.515932+1.0306j -0.307803+0.485824j -0.178051+1.32748j -0.670581+0.607318j -0.161166-0.0838955j -0.189249+0.529493j 0.438491-0.670854j -0.130032+0.441372j 0.109978-0.183728j -0.144805-0.412923j -0.423049+0.754237j 0.129429-0.142583j 0.219382-0.354833j -0.201542-0.0111963j 0.451596+0.109179j -0.161535+0.0747272j 
-0.474526+0.392683j 0.361391-0.02142j -0.212747-0.11423j 0.391049+0.704782j 0.0482306-0.660612j -0.192325+1.17403j 0.183455-0.881131j 0.382717+1.39269j -0.275488+0.289091j -1.61605+0.775187j 0.562199-0.0934511j -1.07196+0.19869j -0.235635+0.495185j 0.0815074-0.118005j -0.251242-0.110353j 0.105705-0.16745j -0.337166+0.341209j 0.514178+0.112567j -0.47928-0.154188j 0.071424-0.821987j -1.05234-1.0332j 3.27139+0.0619506j -0.879783+0.542956j 0.59308+0.150297j 0.314643+1.47503j -0.249129-0.809171j -0.155548-0.477138j -0.545309-1.41914j 0.324335+0.215355j 0.270029+0.440475j -0.400009-0.642578j -0.229056+0.0403732j -0.48114+0.171651j -0.343708+0.353249j -0.0291409-0.0560787j 0.0711832+0.179277j 0.126401-0.046003j 0.109874-0.17024j -0.155276-0.129045j 0.25815+0.0566118j -0.0239602-0.615952j 0.067849-0.630407j -0.689182+0.574729j -0.483423+1.47775j -0.300046+0.285913j -0.590678-0.640438j -0.587923-0.25697j -0.209916-0.503026j 0.156947-0.443295j 2.10986-3.05621j 0.452622+0.168606j -0.284766+3.98103j 1.05507+0.724429j -0.879823+1.91914j -0.170878-0.66439j 0.0066319-0.0220709j -0.751177+1.29651j 0.82123-0.179782j -0.636494+0.0372336j 0.830047-3.53906j 0.500046-0.848479j 0.237674-0.926556j -1.01009-1.19155j 0.63684-3.28195j 0.554939-0.0575747j 1.73378-1.26099j -0.999689-2.21636j -0.541226+0.965581j -1.41214+1.94125j -2.77185+2.45433j -0.784558-0.687437j -0.330909+0.415954j 0.637384-2.24957j -0.556678+1.01248j 0.409503-1.75103j -1.45639+1.2646j 0.924902-1.37386j -0.733161+0.891051j 0.509103+0.000200416j -0.318811-1.91019j 0.0663907-0.591602j 1.77274-2.15837j 1.09545-0.877536j -0.731987+0.272506j 0.795515-1.09827j -0.781032+1.02586j 0.387642-0.144928j 0.149974+0.0963844j -0.513371+0.338853j 0.6687-1.03351j -0.102005+0.423893j -0.364231+0.174484j 0.168313+0.136444j -0.202172+0.145099j 0.130812-0.100736j 
-1.55474-0.320166j -0.0514308+0.833451j 0.122313+0.345113j -0.331301+0.62315j -2.58348-0.484638j 2.41445-0.523511j 0.108196+0.136041j 1.26333+0.593937j 0.465909+0.587004j -0.833457+1.5733j 1.10518+1.81859j -0.214862-1.11829j -1.10982-0.439568j 0.478877-0.081431j -0.207264-0.5488j 0.342545+0.395193j -0.308112+0.310155j 1.06336-0.140895j -0.115315-0.66231j 0.108109-0.800804j -0.200809-0.558122j -1.48114-0.873201j 1.32714+0.625922j -0.248028+0.311456j 0.0667254+0.766375j -0.649071+0.603064j 0.636632+0.213402j 0.96477-0.141737j 0.299801-0.552188j 0.738244-0.00240515j -0.866212-0.492006j -0.411966-0.24773j -1.21828-0.349338j -0.527713-0.256129j -0.30955+0.199573j -0.147941+0.402329j 0.263736+0.156736j 0.25562-0.0113194j 0.0639803+0.0960277j 0.146513+0.0344558j 0.0797903-0.875829j 0.119592-0.980733j -1.11507+0.834581j -0.0738229+1.80957j -0.652565-0.352128j 0.611502-1.47165j -0.941231-0.680714j -0.111612-4.20485j -0.606492-1.11874j 0.701067+0.237604j 1.5308+1.66027j -1.29479+5.85028j 0.958367+0.113699j -0.825066+4.25552j 1.11815-2.43516j -0.318503+1.48369j -1.22483+0.0995917j -0.791719+0.381062j -0.738382+1.56659j 1.42281-4.41186j 0.725069-0.160293j -0.212797-0.23797j -1.18156+0.814083j 0.769191-4.50491j 0.625176-0.454372j 2.18809-4.21759j 0.918647-4.30795j -0.883743+1.97077j -0.542707+1.76444j -1.90144+3.61619j -0.0233017-2.0971j 1.01744+0.353512j 1.83368-5.02361j -0.688027-0.294251j 0.0330898-1.70518j -1.0769+0.769415j -0.0105979-1.51864j -1.23627+1.18708j 0.946663-2.11592j -0.437421-2.86762j -0.407905-0.89103j 2.16427-3.87064j 1.71065-2.14823j 0.0329292-0.0413853j 1.33606-2.10822j -0.868523+1.74806j 0.32367-0.778477j -0.287633+0.564854j -0.524412+0.48833j 0.794733-2.37606j -0.298987+0.957893j 0.0113814+0.249945j 0.186342+0.524703j -0.492176+0.0930822j 0.208648-0.0874665j 
