0.0501873+0.108518j -0.132635+0.170133j -0.0379434-0.0110881j -0.261828-0.0603079j 0.178443-0.111873j -0.181033-0.0308983j 0.105724+0.0227068j 0.216226+0.107075j -0.215517-0.0512112j -0.0484233-0.111053j -0.26534-0.112577j 0.38695+0.191482j 0.139456-0.203558j 0.156814-0.219328j 0.027083-0.090499j -0.0595716-0.437315j -0.17701-0.374261j -0.150924-0.318331j 0.0609426-0.120844j -0.15717-0.265043j -0.218664-0.154758j 0.349238+0.137127j 0.130357-0.215634j 0.21445+0.0470414j -0.0699986+0.360089j 0.465249+0.242899j -1.17475+0.333327j 1.19964-1.52416j 0.217677+0.240073j 1.33812+1.93655j 0.199501-0.53366j 0.00431172+0.0935821j -0.0470972-0.562685j -0.264675+0.465058j -0.210864+1.1578j 0.129292-0.466633j -0.0874881+0.470722j 0.190134-1.35972j -0.0981953+1.06557j 0.296866-1.81128j -0.0797644+0.164005j -0.216264+2.19692j 0.120294+1.29357j -0.371539+1.61323j -0.280692+1.2358j 0.266496-0.295532j -0.279502+1.25052j -0.0311979+0.606706j 0.98427-2.22279j -0.461169+1.5947j 0.451313-0.764042j 0.629003-1.02263j 0.160119-0.0379082j -1.12687+1.60809j 0.846356-1.5562j 0.306761-0.641823j -1.51206+2.79206j 0.0245563+0.15763j -0.724638+2.26771j -0.218907+0.984244j 0.167574+1.52749j -0.0950604+0.79382j -1.20907-0.208662j 0.565791-0.46356j -0.582151+0.450954j -0.984473+1.18324j -1.38292-1.16498j -0.139472+1.96723j -3.22714+1.83868j 
0.0505202-0.182481j 0.232541-0.0155281j 0.0223917+0.162142j -0.311451+0.110133j -0.0565561-0.177462j -0.20453+0.189774j -0.170769-0.0211537j 0.250378+1.02498j 0.0409465-0.055744j -0.202146-0.331299j -0.871103-0.112166j 0.449914+0.284263j 0.267403-0.180814j -0.356768-0.610294j -0.133365+0.233717j 0.111891+0.328702j -0.476952-0.441842j 0.285023+1.71048j 0.830464-0.968703j -0.428352+0.178095j -0.387311-0.20158j 0.498182-0.480494j -0.447743+0.411611j 0.390043-0.869021j -0.692593+0.408873j -0.351987-0.199182j 0.471996-1.46599j -0.37858+1.43667j -0.0796216+0.19265j 0.316118-0.164821j -0.340866-0.22749j 0.0955986-0.325032j -0.00615787+0.704187j 0.0546487+0.361934j -0.0352019-1.53851j -0.148727-0.0588459j -0.485053-0.661402j -0.106259+1.40976j 0.0672623-1.01798j -0.842908+2.07759j 0.0570353+0.139404j 1.65987-2.81002j 1.77925-1.65348j 0.751036-2.35286j 0.944376-2.11173j 0.247206+0.582584j 0.024125-2.5591j 1.08473-1.16291j -0.400702+3.72913j 0.696367-4.51093j 0.229275+1.45135j -0.432606+2.01122j -0.293089-0.216665j -0.171748+0.570306j -0.467515+2.05467j -1.70756+1.74671j 1.63779-3.87622j 1.02121-0.687368j 0.364163-2.16405j -0.920819-0.0433374j -0.656445-0.735987j 0.395368-0.525223j 1.4683-0.663611j -1.03956+1.2123j 1.04176-0.326236j 0.731993-1.27189j -0.35013+1.86036j 0.440078-0.0342837j 0.069578-0.0297085j 
0.171281-0.149733j -0.128981-0.870608j 0.108888-0.752557j 0.0377693-2.73851j 0.031624-0.990544j -0.569514-2.3862j 0.173338-1.93428j -0.351439-4.1219j 0.801112+1.55623j -0.781278-1.35472j -0.321618+1.11153j 0.337958-0.211584j -0.390138-1.89445j -1.05342-1.81854j -0.938771-0.183024j -0.953465-1.17105j -0.489252-1.85097j 0.326224-0.104299j -0.530647+0.478595j -1.17095+0.973887j -0.505106+0.451638j 0.499579-2.19803j -0.4358+0.934093j 0.747235-1.09521j 0.365849-0.624937j 1.54699-2.73422j 0.259851+0.0877572j -0.420718-0.25161j -0.0887459-3.00506j 0.679234-0.0507929j -0.112438-8.85819j -2.01652+3.25863j -3.19089-40.6911j 1.81345+17.6995j 3.07981+82.8192j -3.10633-11.4415j -0.0422322+36.6622j -1.12521-108.218j 0.17491+61.6288j 0.848633-147.448j -1.74229+11.4146j -0.853297+175.439j -0.271638+89.3116j -1.31904+133.841j -3.1114+107.557j 0.298779-1.42797j -3.40351+112.981j -0.0384216+89.3878j 6.09342-221.827j -4.7186+141.332j 4.81646-95.113j 3.23511-91.5781j 3.72245-39.8999j -3.60851+101.75j 6.40846-119.547j 4.75847-60.9935j -12.3161+186.317j 0.887336+4.87767j -8.14401+132.53j -4.50724+35.7814j -7.16029+112.169j -2.19256+41.0516j -2.68452-0.427959j 7.96338-70.5095j -4.20454+21.7243j -5.86902+41.9519j 1.72783+5.33362j 1.15147-11.2218j -1.33122+3.23514j 
-0.00469839-0.194617j -0.111061-0.195837j 0.140313-0.222855j -0.150195-0.654466j 0.0277816-0.476716j -0.142072-0.749216j -0.292386-0.474146j -0.777173-0.466135j -0.248042-0.189752j 0.948402+0.173635j -0.205895+0.968558j 0.0523504+0.193323j -0.582847-0.696375j 0.0800257-0.42801j 0.300384+0.304582j 0.775831-0.146896j -0.363005-0.0847705j -0.212961-0.0781067j -0.135989-0.413086j 0.33994-0.940082j -0.496898+0.681634j 0.0697689-1.16138j 0.0967557+1.46481j 0.427681-1.61509j -0.597406+1.07996j -0.0208008-1.07j 0.249559+1.53222j -0.638801-0.632566j 0.0933554-1.03965j -0.0685161-0.225468j -0.0591484-2.3289j -0.81064+0.688196j -0.722343-12.031j 0.182141+4.76798j 0.89761+23.9776j -0.633996-3.33434j -0.44992+11.1234j 1.16047-31.258j -0.156973+18.4756j 1.0327-44.3286j -1.34933+3.10818j -1.06709+51.0558j -0.422328+26.4906j -0.860316+37.5065j 0.102493+31.9043j 1.64139+0.264717j -0.74172+30.9603j 0.101913+26.1053j 2.00478-65.9731j -1.6108+42.6255j 1.36488-27.5156j 1.02685-25.6435j -0.764081-11.4776j -1.24784+28.2629j 2.14543-36.1396j 2.93582-17.7027j -4.68748+54.9882j 1.39086+0.795246j -2.53086+38.5975j -2.13852+10.5986j -2.74713+32.2567j -0.440276+12.6051j -0.652777+0.0875866j 1.80102-21.0725j -1.99822+5.50781j -1.10302+12.7491j -0.558749+1.14692j 1.16589-3.16291j -0.225329+0.806091j 
-0.181904-0.13979j -0.0451488+0.64264j 0.124411+0.450091j 0.0846368+1.52369j -0.482557+0.380383j 0.351507+1.68326j -0.0343436+0.594399j 0.584977+2.25556j 0.371465-0.749476j 0.825371+0.556128j -0.527902-0.735141j 0.785585+0.8615j 1.18253+0.725004j 0.755387+1.4921j -0.125252+0.492491j 0.146854+0.41025j 1.63993+0.29955j 0.423741-0.447014j 0.448624+0.0297527j 0.189616-0.344933j -1.04796-0.762252j -0.555343+1.61141j -0.348702-0.315247j -2.29578+2.14955j -0.55686+0.423724j -0.497443+0.487553j -0.285648-0.666021j 0.357618+0.155761j 0.388696+2.18464j -0.232383-0.329402j 0.322012+6.79132j 1.23846-2.65514j 2.56293+30.5065j -0.782227-12.8627j -3.10225-61.3598j 2.36236+7.66997j -0.496711-27.2208j 1.81676+80.2796j -1.67051-46.3939j 1.40196+109.348j 0.272776-8.08838j -1.06544-129.135j -0.3117-64.2692j -0.17213-99.9074j 0.966898-79.7389j -1.60599+1.29527j 0.734943-82.2955j -0.0196801-66.5128j -2.99929+164.112j 1.94174-103.615j -3.50042+69.7185j 1.25749+65.3641j -0.887303+28.29j 1.93105-74.9487j -2.91591+91.6421j -2.39868+45.1388j 6.69423-135.379j -0.149423-4.44191j 3.37402-97.4723j 1.45178-27.5592j 3.47308-82.352j 3.17574-30.3026j 1.82809+1.00042j -4.90448+52.6519j 2.26735-15.2269j 3.37453-30.5343j -0.973079-3.70418j -0.440175+8.14503j 0.907615-1.97879j 
-0.317313+0.0204154j -0.0983595+0.555162j -0.247282+0.388589j -0.363315+1.68737j -0.00867835+0.532796j -0.0809784+1.67712j -0.2938+0.417672j 0.134915+1.99644j 0.428996-0.726008j 0.103935-0.0579642j 0.00777478+0.14729j 0.0530395+0.584556j 0.154087+1.88354j 0.170652+1.06385j -0.174133-0.596456j 0.238217+0.476888j 1.35719-1.12957j -0.0888701-1.12874j -0.195439+0.625727j -0.566678-0.323983j 0.357228-1.51674j -0.319697+1.55848j 0.140755-0.595564j 0.410838+1.1468j -0.208049+0.901234j -0.3362+1.23962j -0.908822-0.777556j 0.454657+0.830504j 0.103957+1.61515j -0.684337-0.292739j 0.379093+4.9391j 1.24916-1.74003j 2.18707+21.6469j -0.89595-9.98989j -3.09183-45.0976j 2.11623+5.66548j -0.624306-19.6972j 1.87744+58.3668j -1.53333-34.2037j 1.90334+81.1241j 0.520947-5.89122j -2.56429-94.4194j 0.378452-48.8528j -0.864107-72.0615j 0.0676545-57.5407j -0.807566+1.0293j -1.0367-61.3819j -0.877949-47.8688j -1.91243+123.143j 0.285783-75.503j -2.5299+51.8892j -2.13911+50.1299j -0.968515+20.6012j 0.640171-55.2082j -1.85111+66.7107j -1.13859+31.7554j 3.57788-102.821j 0.369033-5.60066j 4.0999-72.9854j 1.56202-20.8224j 1.83811-60.6294j 0.172503-21.9205j 0.987282-0.400939j -1.73798+37.9219j 1.1201-11.144j 2.25107-22.6121j 0.0458221-2.73145j -0.525772+5.44084j 1.04504-1.76847j 
-0.291082+0.00399072j 0.317288-0.179696j -0.174759+0.0974092j 0.0918558+0.764604j 0.074417-0.0559595j -0.0363736+0.506335j -0.251253+0.320965j -0.0896533+0.577561j -1.24197+0.149234j -0.333445-0.00599967j -0.700051-0.243959j 0.552884-0.478469j 0.192582+1.51735j 1.5657+0.302426j -0.678222+1.39489j -0.45273-0.0594831j 0.770631+0.416307j 0.0753228-0.0861391j -0.188589+0.0962152j 1.22594+0.20135j 0.209313-0.473375j 1.33172-0.507849j 0.301408+0.766061j -0.732889+0.608847j -0.440656-0.763775j 0.56204+1.46343j -1.05882+0.298998j -0.231548+0.105022j -0.296728-0.00902188j 0.127135-0.24988j -0.687073+1.9007j 0.479377-0.630327j 0.441421+6.79589j -0.542693-2.73949j -0.632335-14.9349j 0.178357+1.78849j 0.16403-6.27287j 0.258308+18.7289j 1.45121-9.88681j 0.219195+26.0978j 0.437448-2.36746j -0.0329347-29.5095j 1.90759-15.2813j 1.35055-22.3367j 1.48081-17.9134j -0.00949024+0.652753j 0.238947-19.5969j 0.0998582-17.8944j -3.47636+37.8968j 2.0101-24.0504j -1.0266+16.4065j -0.484397+14.9351j -0.341712+6.10405j 0.914024-16.7091j -0.587146+20.5587j 0.85299+10.4761j 3.26799-32.8172j -0.208856-1.7659j 0.33188-23.0239j 0.95293-5.51143j 1.49657-17.7215j 0.148256-7.09157j 0.820253+0.972837j -1.26015+13.3052j 0.478279-3.74983j -0.832584-7.66521j 0.288622-1.31325j -0.0959033+1.82722j 0.106536-0.126966j 
-0.135125-0.133194j -0.0126604+0.398543j 0.178744+0.126924j 0.205825+0.875707j -0.263747+0.00616601j 0.271609+1.13975j 0.124703+0.438527j 0.671796+1.44519j -0.442994+0.384868j -0.0979663+0.817314j 0.0264515-0.659501j 0.313949+1.40211j -0.193369+1.58785j 0.28401+0.270682j 0.531832-0.708381j 0.228492+0.214923j -0.835726-0.439956j 0.0073892+0.398594j -0.242302-0.295463j 0.68446-1.04778j -1.52207+0.929807j 0.133295+3.03595j 0.275144-0.24634j -1.38706+0.773899j -0.279168+0.137763j -0.185739+1.46735j 0.229483-0.718653j -0.0704479+0.208167j 0.273574+1.37438j -0.00243386-0.292677j 0.198016+4.28841j 0.741906-1.5956j 1.41133+19.1944j -0.436674-7.71678j -2.15019-38.1377j 1.72191+4.50702j -0.334563-16.9883j 1.07099+49.8353j 0.354205-29.423j 1.47751+67.8076j -0.622843-4.48675j -2.11935-80.8383j -1.06791-39.1131j -1.17543-60.1675j 0.852549-49.9166j 0.30125+0.165839j 0.234465-51.4477j 0.0844517-41.061j 0.154025+102.72j 0.293837-65.8287j -0.938473+43.0298j -1.60175+40.0633j -0.68307+17.4539j 1.62032-46.9903j 1.79345+54.3608j -0.86535+27.146j 2.86913-86.8103j -0.280854-1.99083j 0.891567-59.8279j 1.25787-16.2441j 1.69554-52.5025j 1.10583-16.811j 1.15445+0.466621j -2.7131+33.0697j 0.961403-9.94121j 1.80562-19.3964j -0.527556-2.1101j -0.201798+4.92632j 0.54657-1.01981j 
0.335201+0.183538j -0.231146-0.264969j -0.090067-0.404471j -0.531546-1.2467j -0.170223-0.131141j 0.151642-1.38689j -0.0382456+0.0289698j -0.168524-1.79351j 0.625284+1.187j -0.000893781+0.0405316j 0.248172+0.244238j -0.71824+0.190571j -0.602273-0.966927j -1.00399-0.59364j 0.162712+1.95474j -0.838345-1.74219j 0.378646+1.21315j -0.192083+0.545703j 0.896936+0.296548j -0.693219+1.85219j -1.16642+0.246644j 1.27595-0.322938j -0.691452+0.903212j 0.720082-0.0957879j -0.286+0.7447j 0.0203734-0.920264j 0.594806+0.351369j -0.181377+0.057989j -0.0760212-1.1435j -0.153348+0.37958j 0.428011-5.30987j -0.963773+2.16418j -1.32165-22.4493j 0.655099+9.72957j 1.93494+46.4631j -2.15347-5.80938j 0.302923+20.7711j -1.4697-60.225j 1.26968+32.9834j -1.69511-82.6918j -0.802341+6.25455j -0.190658+96.1207j -0.289049+49.1145j 0.154251+74.3587j -0.959036+59.0366j 0.0567074+2.36089j -0.359058+62.6584j -0.00355857+47.1573j 2.60701-123.971j -1.07277+78.9315j 1.56182-53.8074j 1.25217-49.1986j 1.21297-21.6629j -2.88596+55.775j 3.23005-66.7399j 1.47211-33.3332j -5.08584+103.116j -0.440911+3.35513j -4.01251+71.9678j -0.81073+20.8026j -5.12818+61.5641j -1.00932+22.4077j -1.87424-0.605026j 3.95183-38.3621j -1.58016+10.7222j -1.73325+23.4014j 0.400775+3.01108j 0.385421-6.22549j -0.433258+1.07084j 
0.377758+0.567241j 0.233896-1.05431j -0.889762-0.601963j -0.877602-2.85931j 0.299523-0.574774j -0.0803942-2.21208j -0.826459-1.22459j -0.0411008-3.46809j 0.832121+1.51529j -0.792076-1.05902j 0.752485-0.179901j -0.718713-1.27972j -1.14146-2.45673j -0.690179-0.643208j -0.106772-0.986212j -0.270513-0.101565j -0.102549+0.190837j 0.26216+0.350253j 0.121031+2.04452j -0.037829+1.41474j 0.00470687+1.55962j 1.79181-4.60444j -0.853692-0.118869j -0.232798-3.1358j -0.175009+0.189587j -0.472518-3.52095j 0.0450791+2.30834j -0.32009-0.506484j -0.931558-3.90255j -0.46737+0.358036j -0.58055-13.2442j -1.70923+5.20947j -4.23222-57.3266j 2.19045+23.9564j 5.71472+116.206j -5.60844-16.4631j 1.17908+51.4029j -5.79346-152.215j 3.14209+86.265j -4.8389-207.545j 0.128109+14.2485j 5.306+242.128j 2.28794+125.949j 2.89149+184.712j 1.19766+150.437j 2.89835-2.58928j 0.427954+157.894j 2.49763+125.628j 0.763195-310.526j -0.588883+198.083j 2.32137-132.674j 0.46018-126.46j 4.02603-53.8725j -1.41413+139.329j 3.52625-167.998j 2.52873-85.3247j -7.5491+257.73j 0.288846+6.60133j -5.62709+185j -2.44573+51.5153j -6.73714+156.927j -1.79774+57.3149j -4.83028-1.93173j 5.86493-98.2851j -2.49681+28.9342j -4.52587+58.946j 1.53979+6.33254j 0.861678-15.2446j -0.964415+3.01107j 
0.180849+0.317824j -0.13092-0.371293j 0.111535+0.138399j 0.839501-0.704706j -0.422597+0.572735j 0.659312-1.04989j -0.665076-0.178948j -0.617352-0.830472j 0.356512+0.58336j -0.32349-0.258056j 0.276737+0.98711j 0.6831+1.04456j -0.378639-0.206774j -0.297359+0.0937871j -0.0458449-0.152539j 0.0923467+0.360968j 0.299357+0.21149j -0.7801+1.73028j 0.316283-0.699055j 0.214091-0.142679j 0.346553+0.211943j -0.0183952-0.554904j -1.18816-0.653799j 0.378891-0.394182j 0.228857+0.993385j 1.28069-0.47789j -0.380669+0.828021j 0.501713-0.198763j -0.336515-0.790049j -0.25872+0.220962j 0.518464-2.58123j -0.367131+1.1011j -1.58367-13.225j 0.716215+5.08684j 2.53405+26.0915j -2.22497-2.55977j -0.455005+11.7481j -1.94935-33.4864j 1.36508+19.0409j -0.88249-46.3616j 0.36174+4.99797j 0.677247+54.2086j 0.453284+28.0025j 0.357588+41.6856j 1.14149+36.5529j 0.829097-0.330051j -0.0585314+35.6707j 1.11507+28.4608j -0.0691034-69.2145j 0.185966+44.5828j 0.953803-29.788j -0.265596-28.1166j 1.10931-12.2686j -1.01079+33.8789j 0.575671-38.2776j 0.349584-18.7134j -0.856805+57.5158j -0.250621+3.25364j -0.991256+41.3964j -1.13491+11.1867j -2.14978+34.5124j 0.296377+13.0266j -1.77434-1.47251j 2.28505-21.869j -0.835132+6.15628j -1.74778+13.4268j 0.244225+1.37119j -0.38129-3.11609j -0.224747+0.618889j 
0.173354+0.357992j 0.0638778-0.275808j -0.608671-0.59238j -0.0859465-0.729704j 0.388459+0.345211j 0.465974-1.03779j 0.136776-1.30187j 0.279786-1.88964j -0.886636-0.844334j 0.436956-0.379208j 0.818335+0.465719j -0.0334254-0.0133649j -0.82634+0.201038j 0.377265-1.05571j -0.328674+2.21066j 0.903308-0.0885688j -0.0411647+0.681742j 0.837751+1.40087j 0.223156+0.168104j 0.595507-0.381084j -0.0874061+0.790938j 0.485459-1.60792j 0.226396-0.83662j 0.307015-1.34804j 0.17026+0.128056j -0.46925-1.23623j -0.101797+0.247529j 0.509178+0.302371j -0.25238-1.02362j -0.573398+0.205762j -0.278072-4.5571j -0.440346+2.35611j -0.966065-19.2865j 1.06812+7.49814j 3.7433+38.1594j -1.8495-5.47645j 0.597037+17.1497j -4.37095-49.7823j 1.44477+28.7141j -3.83757-67.7746j 0.553459+5.6024j 3.88987+81.5919j 1.50537+41.5246j 3.12684+61.9146j 2.61254+50.3364j 0.130805-0.347896j 1.3702+51.9723j 1.18895+42.7569j -2.3762-104.261j 0.908108+66.1185j 0.0530513-41.4636j 0.219241-41.6328j -0.0172446-20.4882j 0.759768+45.5314j 0.193133-56.9501j -0.293408-27.804j 0.0347903+86.0385j 0.928089+3.03661j -1.82969+61.6146j -0.576167+15.5465j -1.5555+52.0813j -0.531109+19.1087j -1.23994-1.28074j 1.81709-33.0937j -0.784767+9.97848j -1.18412+19.3681j 0.720989+2.26051j -0.461122-5.11369j -0.0431389+0.543122j 
-0.034535+0.312266j 0.202231-0.557672j -0.439844-0.28016j -0.179201-0.994116j -0.120062-0.533106j 0.689486-0.57398j 0.644212-0.687211j -1.2912-0.441416j 0.489045+1.06034j -1.43009-1.3335j 0.459692+0.603901j -0.206033-0.715901j -0.606931-0.307372j -0.237443+0.034277j 0.282686+0.889281j 0.162635-0.624708j -0.638455-0.314162j 0.271215-0.321185j -0.243569-0.0263049j 0.24116+2.19466j -0.177076+1.28219j -0.207491-1.84964j 0.38205-0.266835j 0.201097-1.20818j -0.475962+0.361459j 0.217152-1.57697j -0.392453+0.898796j 0.0597292-0.259933j -0.819666-2.02734j -0.288288-0.0280633j -0.312714-6.0292j -0.698835+2.56426j -2.13837-26.5537j 1.35934+11.4692j 3.93263+55.2817j -2.0165-7.95142j 1.51215+22.1422j -2.17217-71.2494j 2.09286+39.1746j -1.74553-95.7472j -0.217406+7.34916j 4.23418+115.237j 1.74451+57.6753j -0.965726+85.7791j 1.49474+71.4001j -0.129196-0.909858j 1.74898+71.8317j 1.63009+57.4497j -0.538711-145.364j 0.52578+92.1743j 0.24266-61.5996j 0.303686-57.8873j 0.139781-25.5726j 1.05185+64.8049j 0.831678-77.7908j 0.51405-36.9263j -3.38508+120.74j 0.0895889+3.24023j -2.02286+85.8619j 0.158933+25.1403j -1.83659+72.6398j -0.589139+26.453j -1.70388-1.88197j 3.00777-45.5983j -1.03874+13.326j -2.33421+27.557j 1.09521+2.88415j 0.353851-6.92133j -0.249792+1.42096j 
-0.10253-0.0734471j 0.200661+0.172717j 0.491606+0.0190902j 0.41796-0.929457j 0.0333897-0.246057j -0.265762+0.216613j -0.0868888-0.528112j 1.15477+0.492201j 1.02542-0.195546j 0.0437567-1.07258j -0.0853075-0.069553j -0.0187641-0.157579j -0.798055+0.284814j 0.905546-0.364598j 0.284897+2.12935j -1.68405-0.582173j 0.0977988+1.06328j -0.502871-0.770816j -0.667272-0.101438j -1.19965-0.223474j -0.172259-0.656271j -0.393781+0.190459j -0.260402-0.0850903j 0.0150678-0.228004j 0.0493267+0.253757j -0.0559621-0.585456j 0.254824+0.114128j -0.370067-0.486814j -0.0582251-0.309219j 0.39984-0.139377j -0.0299745-0.372878j -0.441077-0.204596j -1.50634-0.701921j 0.245094+0.293963j 0.510594+0.330103j 0.175277-0.637581j 0.528511+0.000586395j 0.0266287-3.7812j -0.569196+1.95493j -0.844458-2.29907j 0.141141-0.672141j -1.82936+2.66229j 0.881414+1.57137j -0.317906+2.35608j 0.261688+2.88131j -0.0508936+0.541628j 0.0513358+2.27882j -0.0855684+1.54967j 2.64496-4.84197j -1.47335+3.44957j -0.0515059+1.15881j -0.313863-1.13878j -0.0138821-1.09863j -0.694114+2.47533j 1.26499-2.92553j 1.76268-0.47745j -0.217967+3.99875j -0.368266-0.426365j -0.247535+2.0332j -1.48896+1.50837j -0.150626+2.15953j -0.20338+1.03525j -0.429989+0.030198j 0.045655-0.806103j 0.351855+0.471369j 0.0658569+1.10453j -0.142048+0.168569j 0.571235-0.0620744j -0.211895+0.468735j 
0.382831-0.41198j -0.414172+0.413028j 0.941123+0.498428j -0.0328474+1.4088j 0.0725031+1.09783j 0.475667+0.449605j 0.254988+0.172824j 0.0845559+1.25541j -0.667136+0.218879j -0.145473-0.981199j -0.0218321-0.93104j 0.0547243-0.762887j -1.07646-0.180599j 0.13611+0.421052j 0.118584-0.460967j 0.422003+0.918856j 0.381468-0.126073j 0.262561-0.434745j 0.342542-1.15002j 1.09419-0.0724245j 0.514935-0.816959j -0.641163+1.24398j -0.307043+0.702145j -0.624617+0.578387j 0.133383+0.618629j -0.701182+0.78366j 0.542729-0.56424j 0.112595+0.399642j 1.13196+2.17064j 0.208753+0.19306j 0.211474+4.51108j 0.155002-2.36655j 2.41963+21.2111j -1.0762-9.00701j -2.23305-43.3838j 1.23937+7.04472j -0.286066-19.4178j 1.09576+56.814j -1.69761-33.644j 3.89355+79.7127j -0.547334-8.58573j -2.7491-93.1468j -1.11996-46.5975j -2.30394-71.7693j -0.413639-58.1923j 0.100158+1.26498j -1.2008-60.9765j -2.69519-47.6046j 1.41236+119.409j -0.0225299-72.8675j -0.813357+49.2358j -0.965729+47.9284j -1.31269+19.757j 0.111971-51.6521j -0.989008+64.3353j 0.218192+32.1217j 2.87081-97.6878j -0.650045-2.87896j 2.1885-70.1836j 1.64236-20.0869j 2.33815-58.6512j 0.835131-21.1261j 1.59773+1.185j -2.69728+36.8035j 0.887556-11.6944j 2.22477-21.7076j -0.996676-2.32631j -0.450707+5.55642j 0.190365-1.29702j 
0.0143811-0.260311j -0.311895+0.412941j 0.269496+0.808004j -0.236202+1.84117j 0.0911616+0.505531j -0.445847+0.47648j -0.923181+0.0455813j 0.565305+2.08981j -0.519709-0.505159j 1.08644-0.172226j 0.386667-0.392846j -0.00814053+0.467088j -0.615607+1.63673j 0.283487-0.231451j -0.376229+0.889362j -0.409582+0.0938002j -0.358662-2.50266j -0.205584-0.84255j -0.184047+0.19806j 1.15933-0.788865j -0.159351-1.0297j 0.00644612+2.5707j -0.379878-0.313556j -0.253364+1.74079j 0.685442-0.109762j -0.300223+2.13475j 0.271823-0.8862j -0.0683076+0.412752j 0.640547+2.4008j 0.132697+0.0838098j 0.434895+6.97233j 1.39611-2.89244j 3.27428+28.8043j -2.19413-12.4498j -5.48285-60.4653j 2.73095+8.29015j -3.10339-27.0191j 3.77121+77.3883j -1.93823-44.2097j 3.26475+106.539j 0.188079-7.47124j -6.07277-122.581j -3.40653-64.6508j -3.84675-97.0647j -2.45106-78.6511j -0.317881+0.6054j 1.28003-80.0954j -3.08557-64.106j 2.3675+158.999j -2.0148-101.017j 0.160077+68.7544j 1.09948+63.6725j -1.13611+27.2085j -0.90805-71.5567j 0.0663698+88.594j -0.738539+41.8156j 1.21602-133.657j -0.572565-4.23602j 1.19322-94.4597j 1.34347-27.043j 1.82939-80.425j 0.441785-29.3535j 1.67211+1.48128j -2.6361+50.2528j 0.993738-14.889j 2.5458-30.4865j -1.08569-3.24188j -0.392052+7.49146j 0.287818-1.705j 
0.138254-0.0804002j 0.36324-0.78045j -0.378511+0.362029j -0.0244228-0.463437j 0.469119+0.459262j -0.0292357+1.09578j -0.117888-0.931441j -0.619935-0.346999j 0.35802+0.812555j 0.619485+1.179j -0.135378+0.632533j -0.175729-0.024198j -0.277298+0.017515j -1.42506+0.303623j -0.257291+0.49678j -0.435131+0.0395052j 0.321922+0.625907j -0.387567+1.11277j -0.669295-0.789371j 0.152247+0.961916j -0.816377+1.65203j -0.926677-2.17313j 0.0840882+0.193059j 0.00207948-0.732066j -0.0265017-0.45575j 0.414283-1.19411j -0.895105+0.715968j 0.145704-0.470363j -0.432296-1.83464j -0.280495-0.201166j -1.1498-4.56963j 0.131408+1.53261j -1.82114-20.3631j 2.60487+7.87993j 3.29319+40.7203j -1.37194-6.48255j 0.0818711+18.808j -2.78316-52.6196j 3.1612+29.7278j -3.30185-72.4325j -1.30743+4.5882j 4.53285+85.5607j 4.09576+43.418j 3.2211+65.4827j 1.04665+51.9012j -0.842299-0.396339j 1.48483+54.8192j 1.40809+43.7242j -1.61772-109.318j 1.18952+69.9121j 0.482213-45.6001j -0.873427-41.7887j 1.96893-18.8114j -0.481171+48.771j -0.100617-57.3401j 0.459233-29.8453j -0.479629+90.2333j 1.64668+2.72756j 0.0508775+65.0988j -0.596435+18.2359j 0.258334+53.7928j 0.265956+20.153j -1.01548-0.666194j 1.80073-33.7739j -0.802552+9.91107j -1.75949+20.3192j 1.23224+1.63123j 0.267528-4.70844j 0.0701573+1.139j 
-0.150748+0.285055j 0.377962-0.571389j -0.0716416-1.3847j 0.272622-1.02209j 0.0211918-1.02736j -0.239041-1.62563j -0.659008-1.1488j -0.723352-1.4905j -0.448808+0.449717j -0.399742-0.640151j -0.308909-0.141697j -0.704807-1.04096j -0.843302-2.07235j 0.735353+0.436343j 0.931883+0.144074j -0.212431+1.04823j -0.674149+2.04663j -1.13142+1.29227j -0.734881+0.364442j -0.103817+1.22875j 0.934339+0.745499j 0.643919-2.66339j 0.43495+0.963264j -0.0157406-1.75512j -0.110834-0.222488j 0.622553-2.24771j -0.389988+1.07321j 0.349184-0.543715j -0.96217-3.53223j -0.252112-0.325293j -0.842679-9.12564j -2.37372+3.81143j -5.25109-38.4314j 2.84649+17.4362j 7.7479+77.9245j -3.59815-11.7325j 1.19157+34.3142j -5.70783-101.934j 4.69984+56.3178j -7.02035-139.559j -0.0383056+9.71489j 8.79388+163.785j 4.74055+84.2425j 5.71431+122.263j 2.94055+102.072j 1.89524-0.351494j 3.83027+107.704j 3.92893+84.3691j -3.91415-207.444j 3.21705+132.488j 0.357943-88.3222j -1.97242-85.2275j -0.26129-35.9247j 2.47781+93.2296j -0.623598-113.896j 0.878863-56.4043j -0.886868+174.64j 1.45382+5.64596j 0.0618417+122.596j -0.664939+34.4026j -1.81433+104.263j -0.249305+37.935j -2.55326-1.29646j 2.70774-65.5356j -1.92974+19.8645j -3.09956+39.0511j 1.56786+4.12591j 0.256612-9.59937j -0.120014+2.21905j 
