1.01011+0.00244949j -0.0626325-0.0714087j 0.0855508-0.0742506j 0.019665+2.56732e-05j -0.0515725+0.00784733j 0.00192789-0.0400819j -0.00666453+0.0606503j -0.04267-0.0116255j -0.0259068+0.00138431j -0.00340781+0.00177475j -0.0099947+0.0162853j -0.0124816-0.00441358j -0.001244+0.00466899j 0.0118625-0.0252608j 0.035502+0.0203385j 0.0196635-0.0235782j -0.000229972-0.000110674j 0.0082148+0.0307151j 0.0376606-0.0105811j -0.00369642-0.00365058j 0.00277432+0.0227922j 0.0134005-0.000568374j -0.00418031-0.0157891j -0.000905361-0.00301689j 
-0.00479041+0.00124844j 0.0134419-0.025175j -0.0158155-0.0257589j -0.0204948-0.00714186j 0.0515307+0.00793902j 0.00498325-0.0444068j 0.000560293+0.0615491j 0.046521-0.00505418j 0.0246922-0.0028858j -0.00163136+0.00431159j 0.00130413+0.00810751j 0.0100849-0.00249032j -0.00613696+0.000593832j 0.00283933-0.0127825j -0.0066053-0.00406623j -0.00351735+0.000874583j -0.000959617-0.00204908j -0.00340803+0.0104425j -0.00694695+0.00808789j 0.00593091-0.000841435j 0.0139971+0.0079782j -0.0176284+0.00442777j -0.00430809-0.00745412j -0.00285885-0.00367349j 
0.0240231-0.00220756j 0.00256171-0.0113545j 0.00250621-0.00465392j -0.000443005+0.00624184j 0.0183898+0.0106803j 0.0129989-0.00923367j 0.00759913+0.00692098j 0.0162055-0.00701186j 0.013679+0.0104134j 0.00746868+3.70262e-05j -0.00912694+0.00957359j -0.023545+0.0107721j -0.000442524+0.016507j 0.00314468+0.0207481j -0.0162333+0.0229265j -0.00684425-0.000559134j -0.0124825-0.0167289j 0.0126331-0.012894j -0.00985997-0.0065764j -0.0147569+0.010098j -0.00471935+0.000971316j 0.0364116+0.000307392j -0.0271263-0.0021682j 0.0102558+0.00156003j 
-0.0116107-0.0147593j -0.00841223-0.00576833j 0.00962441+0.00566885j 0.0212297-0.019485j 0.0031948+0.015232j -0.00983553-0.0251893j 0.010171+0.00116399j -0.00122319+0.000255419j -0.0152337+0.0139722j -0.00601662+0.0093958j 0.0125798-0.0123551j -0.0298289+0.00889626j -0.00689899+0.0352402j 0.0131246+0.0257999j -0.029104-0.0464887j -0.00952701+0.00378929j 0.0451685-0.0139209j 0.00349074+0.0247999j 0.0469343+0.0219694j 0.0399972-0.0143796j -0.0230229+0.0502781j -0.0363896-0.00588344j -0.0823427+0.0295273j 0.049293-0.00590545j 
-0.00132984+0.0170675j -0.0159383+0.0161862j -0.0109086-0.0131869j -0.00763098-0.00872427j -0.0106942-0.0163817j 0.00438517+0.00447104j 0.0151684+0.0255205j -0.00326618+4.29185e-05j -0.0187969+0.00173205j 0.0107828-1.18017e-06j -0.0168711-0.0121274j -0.0133295-0.0151654j 0.000341837+0.00818999j -0.0322285-0.104429j -0.0179133-0.0183088j -0.000671109+0.00158366j -0.00839936+0.00719833j -0.0827724-0.00490061j -0.0225521-0.0221223j 0.0126206-0.0766688j 0.0100082-0.0224796j 0.0177439-0.0325939j 0.0248692-0.0336348j 0.0460904-0.0179994j 
-0.00397753+0.00159034j 0.0058772-0.0167595j 0.0136056+0.00942087j -0.00266277-0.0160008j -0.00892286-0.006757j 0.0193012-0.0327358j 0.00111786+0.0115111j -0.00759543-0.0204142j 0.00502084+0.00274157j -0.0151213-0.0183077j -0.0109107-0.00580717j -0.0104722+0.0510946j 0.0335149+0.0451357j -0.0105656-0.0251653j 0.0123185+0.032113j -0.0401794-0.00790128j -0.0360672-0.00501814j -0.0175594-0.0302675j -0.0457136+0.0103931j -0.0157211-0.0323659j -0.0423101+0.0573208j 0.0466066-0.0240922j 0.0157468+0.0189799j -0.0037936-0.0140511j 
0.00371122-0.0104091j 0.0113804-0.0220563j 0.00522101-0.0135678j 0.00837126-0.00736954j -0.034034+0.0208602j -0.0212719+0.00306626j 0.0149579+0.00128916j -0.0333704+0.0221844j -0.0242115+0.00566019j -0.000599215-0.0110934j -0.0149786+0.020849j -0.0186097-0.00194083j -0.00357872+0.0014521j 0.0204024+0.0138735j -0.00837174+0.0213626j -0.0160741+0.00394647j -0.0165088-0.00805441j 0.0301197+0.0163952j -0.0315192+0.00476029j 0.00687077+0.0101069j 0.00916297+0.00306699j 0.000830909+0.00891031j -0.011324-0.0126627j 0.00105583+0.0160993j 
-1.73348e-05+0.0124651j -0.00921595+0.0114023j 0.0136625+0.0225935j 0.00126043-0.00554607j -0.00835724+0.0180876j -0.0161096-0.00460161j 0.010117+0.0331711j -0.0127358+0.0146571j -0.00307154+0.00858588j -0.00720445+0.0238042j -0.00646382-0.00841965j 0.0123209-0.0185435j -0.0109899-0.0160129j 0.00294372+0.00155609j 0.0259053+0.0268483j -0.0249911+0.003546j -0.00949973-0.00176039j 0.00609809+0.00796438j -0.00893349+0.00185825j 0.00347343+0.00597473j 0.00127857-0.0100116j -0.0141842-0.00612729j 0.00686147+0.0112718j -0.0119675-0.0135544j 
-0.0215492+0.00653451j 0.0100249-0.00643332j 0.00551581+0.00727768j 0.00681051+0.0232114j 0.00620153+0.00115167j 0.0210113+0.00292485j -0.00527801-0.00838764j 0.00706014-0.0135126j 0.0137536+0.00547303j 0.0182855-0.00056343j -0.0164117+0.0291973j -0.0332867-0.000540175j -0.00916978+0.006505j 0.00943626+0.0287724j -0.00231603+0.0435138j -0.0209085-0.000744519j -0.0223866-0.00188695j 0.0321634-0.0123331j -0.0349679-0.0102368j -0.0140569+0.0197978j -0.022112-0.0155589j 0.0396175+0.00560902j -0.0108719-0.0110898j -0.00218172+0.00721706j 
-0.0144738+0.0161172j -0.011595-0.00153049j 0.00833786-0.00945303j -0.010626-0.0101273j 0.000634588+0.0204692j -0.0312796-0.00482324j -0.00768282-0.00448005j -0.021286+0.0171749j 0.0240145-0.00650488j -0.0149668-0.0301013j 0.00173707+0.025357j 0.0453816+0.0794313j 0.0624489-0.016671j 0.0245979+0.0378102j -0.0163091+0.011951j 0.0543498+0.00338496j -0.0307037+0.0294259j 0.0347864-0.00619682j -0.00937738-0.0150896j -0.0347521+0.0331318j 0.0405298+0.036099j 0.00479358+0.0156463j 0.0528977+0.0185045j -0.0515914+0.00428123j 
-0.00156886+0.018624j 0.0181086-0.000591277j -0.0113856-0.00800703j 0.0237829+0.0429188j -0.0087051+0.0127886j -0.00949175+0.00153901j -0.0167369+0.00993635j -0.0113433-0.0183964j 0.00305543+0.00797485j -0.0341661+0.0283977j 0.0377557+0.0613061j 0.001159-0.0386077j -0.0554608-0.0263386j 0.00590637+0.0575468j -0.0305904-0.0393879j -0.0261754+0.000219865j 0.0207412+0.0382048j 0.023009+0.0123491j 0.0803463-0.00660086j 0.00734225+0.0422063j -0.059387+0.0162935j -0.0479419+0.0178194j -0.0166567+0.0138733j -0.0307578+0.00506911j 
-0.000728821-0.00513894j 0.0182674-0.00937759j -0.00023136+0.00942558j -0.00415694-0.0128828j 0.00687457-0.0100811j 0.00715063-0.0284965j -0.0236422+0.0301785j -0.0004695-0.011992j 0.0120684-0.0152153j -0.00341743-0.0176751j -0.0110807-0.0508992j 0.00490527+0.0206371j 0.0333986-0.00839523j -0.00536407+0.0323741j 0.0337387+0.0267617j 0.00951465+0.00855873j -0.000586392-0.0214458j 0.0164843-0.00517647j -0.0103324+0.00559138j -0.0168661+0.00144365j 0.0323262+0.00150998j 0.0167537-0.00155746j 0.0127387+0.00468362j -0.00332121-0.00267773j 
-0.00554025+0.0106265j -0.00855522+0.0114085j -0.00543969+0.0216839j -0.0160971+0.0023972j -0.00354163+0.0142767j 0.0198836-0.0456457j -0.0029361+0.00350738j 0.0254779+0.0129108j -0.0136419-0.00938636j 0.018097-0.0420124j 0.0386608+0.0301361j -0.0507892-0.0332394j -0.0115653-0.0172097j 0.00898188+0.0350255j -0.020043-0.0168729j 0.0109017+0.0165913j 0.00633558+0.0227719j 0.0250186+0.0110341j 0.0272325-0.0170305j 0.000189298+0.0357368j -0.0236568-0.00998528j -0.0143235+0.0263945j -0.00686289-0.0148262j -0.0181668+0.0215641j 
0.0124299-0.0057728j -0.0224122+0.0042952j 0.00507236-0.0138357j 0.0222244+0.00712648j 0.00179423+0.00422455j 0.0084082-0.0219407j -0.0105923+0.00431783j -0.00871504-0.00605171j 0.0215767-0.00265232j 0.0535292-0.00443501j 0.00604173+0.080994j -0.00802404+0.0699573j 0.0107152+0.0237038j 0.0132769+0.00780989j -0.0350936+0.0119607j 0.0653949+0.00772554j -0.0257578+0.0112558j 0.0281871-0.00486129j -0.0441375-0.0149182j -0.0116082+0.0144666j -0.0161445-0.0138219j 0.0334504+0.00776773j -0.00254139-0.0137098j -0.00162174+0.00806916j 
0.0058881-0.00789087j -0.0207073-0.000101495j 0.0122281-0.00266136j -0.036571+0.0351016j 0.00586751+0.0107048j -0.0166433+0.0101192j -0.0138527+0.0149949j 0.00923011-0.00454526j 0.00556764-0.00572036j -0.0806822-0.0981998j -0.00104308+0.0944769j -0.0369177-0.0316916j 0.00952361-0.075199j 0.0271398+0.00636944j -0.0682198-0.000677914j -0.0673473+0.019007j -0.020869+0.0421294j 0.0157811+0.00423744j 0.0449917-0.0181938j -0.0250058+0.0302354j 0.0264904+0.029632j -0.0218725+0.0148754j 0.0502075+0.0102555j -0.0462132+0.00492398j 
0.00134958-0.000418976j -0.0105785-0.00781739j 0.00520302+0.000818336j -0.0188567-0.0040572j -0.000335368-0.00554463j 0.0280235-0.0292468j 0.0136999-0.0133581j 0.016101-0.00245241j -0.0210387+0.0107362j -0.0461899+0.1638j -0.0328278-0.00791381j 0.0876457+0.0105174j -0.0281511+0.01669j -0.0107508+0.000569873j 0.0169355-0.00418138j -0.0217976-0.0127054j 0.016498-0.011264j -0.0124303-0.00145685j 0.0138995+0.0105098j 0.0129803-0.0111202j -0.0046239+0.00354157j -0.0109635-0.00868512j -0.00954056+0.00482847j 0.00862139-0.00508896j 
