0.061529+0.0149618j 0.0799384-0.00382218j 0.0142493+0.00869795j 0.0719347-0.00788067j -0.0376462-0.0127538j 0.0135665+0.000149114j -0.00468604+0.00228042j -0.0200092+0.00754394j 0.0442841-0.00759268j 0.0300415+0.00111093j 0.0226658+0.000818216j 0.0631336+0.001451j 0.021331-0.000437427j 0.0404123-0.00175335j -0.019871+0.00661161j -0.00920388+0.00203433j -0.0105519-0.00788945j 0.0193259+0.0130461j -0.12138+0.00583116j -0.0451756-0.0108235j 0.0108447-0.00506456j -0.0364903-0.00483223j 0.0373767-0.00788962j 0.0299666-0.00138203j -0.00357703-0.00495275j 0.0169201-0.00346846j 0.0347732-0.00322867j -0.0134926-0.000557659j 0.0316131+0.00198305j 0.0104242+0.000722083j 0.012743+0.00631476j -0.0148141+0.00290692j 0.039036-0.00378448j -0.0823486-0.00628498j 0.096219+0.0135767j 0.0158185-0.00512893j 0.0127605+0.0149214j -0.0141316+0.060613j 0.0531018+0.0195704j -0.0223312+0.000255631j 0.047806-0.0281384j -0.0176963-0.0177903j -0.0232973+0.0570106j -0.00589614+0.0521694j -0.00356846-0.00288136j -0.0287756+0.0115715j -0.00259991-0.0150219j -0.0160371-0.016678j 0.00828328-0.0195695j -0.014717+0.029937j -0.0269473-0.00855427j 0.003807+0.0166797j 0.00935858-0.0279109j 0.00870204-0.0296734j -0.0345056+0.00694642j 0.0373251+0.00671514j 0.00274117-0.132046j 0.0307072-0.0769833j 0.0902644+0.0568244j 0.0257572-0.0456258j 0.0229893+0.015607j -0.0181118-0.00741851j 0.0254123+0.00913194j -0.0334609-0.00466336j 0.00230907+0.0324996j 0.0262924-0.0040271j -0.00237437+0.0490936j 0.000183491-0.010287j 0.0159853+0.0122215j 0.022779-0.0101532j -0.00529467-0.00278222j -0.00738894-0.0125616j -0.00966676-0.0012807j -0.0125858-0.00595748j -0.0194628-0.00383048j -0.00220855-0.033094j 0.0182816+0.0128267j -0.00601641+0.00864942j -0.0114679-0.00480655j -0.0157423+0.018837j -0.0141503-0.0210329j 0.00570489-0.0281923j 0.0260381+0.0183628j 0.00230116-0.0156208j 0.00259954-0.0288895j -0.000318634+0.218431j 0.00748472-0.0132071j -0.00738178+0.135792j -0.0740541+0.16817j 0.0134158+0.0429461j -0.0658244-0.085492j 0.0778505+0.104002j 0.133133-0.0252401j -0.227927+0.064143j -0.194549-0.100653j 
-0.0493089+0.0751446j 0.135706+0.00330755j -0.112184-0.0102707j 0.0419156-0.0001376j -0.0276778-0.0323526j 0.014026+0.00931298j -0.00296792-0.0190694j 0.0216361+0.0304889j 0.0539701-0.0456386j -0.00855087-0.0025874j 0.00811834+0.00194723j -0.00720645+0.0326917j 0.0297757-0.0101609j 0.00287203-0.00627278j -0.0445142+0.019323j -0.0184507-0.0264181j 0.0183857+0.0495258j 0.0296338+0.0192285j 0.0430626-0.0066496j -0.0455021-0.0152802j -0.127129-0.0241787j -0.00390066-0.016245j 0.0243054-0.0172467j -0.00725711+0.0135981j -0.0542107-0.0079093j -0.0513565+0.0258777j -0.0619086+0.0215976j 0.0178958-0.00874617j -0.0387314+0.0172353j -0.00365349+0.00800762j 0.0092829+0.00594648j -0.0173873-0.0191947j 0.185109+0.0126268j 0.136322-0.0327157j 0.0146859+0.0575918j 0.0144874-0.0345464j 0.00912797-0.113011j 0.0192364+0.315815j 0.0102303+0.00297948j 0.0480878+0.00423076j 0.129013-0.0226767j 0.172359-0.0374052j 0.0368864+0.0840139j 0.0345895+0.0434906j 0.0241235+0.065463j 0.035322+0.0290979j 8.15234e-05+0.0621719j 0.0156135+0.0421028j -0.0531127-0.00467637j -0.0321817+0.0476119j -0.0412285-0.0235702j 0.0472702+0.00254321j 0.154201-0.0514975j 0.00466593-0.13832j -0.180007-0.0403362j 0.00091012+0.047449j 0.0169832-0.0604386j -0.0422578+0.0614828j 0.0226428+0.036251j -0.018909-0.113606j -0.088725+0.0108936j 0.0172868+0.061532j -5.28857e-05+0.0758326j 0.0441517+0.00746166j 0.109897-0.0295298j 0.0961496-0.0127191j -0.0151033-0.0546923j 0.00836729+0.0699287j 0.0487795+0.0430007j -0.0414523-0.063509j 0.0182866-0.0499911j -0.0183143+0.0283313j -0.0504363+0.0597355j 0.0305947+0.063921j -0.0783046+0.0877764j 0.00730492-0.104562j 0.0192174-0.00281746j -0.0394483-0.0272811j -0.114102-0.0254454j 0.00958958-0.077139j -0.0690872+0.062827j -0.0121182+0.11919j 0.0636882+0.0705737j -0.139127-0.0217012j 0.00953888+0.06283j -0.084328+0.0300768j -0.142029-0.0440902j -0.000982479+0.040019j 0.017772-0.0180966j 1.79744e-05+0.0139377j -0.00882097-0.0309573j 0.0123501+0.0511402j 0.0414871-0.0473961j 0.0048227+0.0383601j -0.133183-0.00611905j 
0.0560988-0.0176939j -0.0594508-0.0116531j 0.097282+0.0156835j -0.00729498+0.0305543j 0.0072581-0.00703646j -0.0235996-0.00972429j -0.0048907+0.0131503j -0.000379347+0.0194774j -0.000668105+0.0197523j 0.00614396-0.00309607j 0.0167216+0.0349785j 0.00746015-0.00526188j 0.0354191+0.000146378j -0.00488925+0.011317j -0.0138092-0.0140844j 0.00571825-0.00284055j -0.00488376+0.0152971j -0.0437487-0.0217497j -0.0213952+0.000615469j -0.0129758-0.00703649j -0.011365+0.0238115j 0.0579094+0.00865476j -0.00786227+0.00675219j 0.0445575+0.0091549j -0.0186867+0.0101147j 0.0345426+0.0131271j 0.0147204+0.00781427j -0.00384456+0.0108736j 0.0191086+0.000320041j 0.00952447+0.00411208j 0.0323406+0.0129412j -0.00491645-0.0140683j 0.0211729+0.00392629j 0.045504+0.0113142j 0.0448203+0.0141574j -0.000201367+0.021778j -0.0119297+0.0666642j -0.0163476-0.0663733j 0.00364035+0.00329435j -0.0418029-0.00322812j 0.0599179+0.016947j -0.0831102+0.0224804j -0.0291558-0.0379315j -0.0256815+0.0137826j 0.0259361-0.0548486j -0.167739-0.00332446j -0.0191367-0.00163482j -0.0675012-0.0157374j 0.0515299+0.0114635j -0.0100318+0.11215j -0.0747605-0.0560709j 0.0411277-0.0345267j -0.0049857+0.0424243j -0.0319129-0.00504129j 0.0887193-0.0229711j 0.0683835+0.00118092j -0.00860085+0.193725j -0.12674+0.151977j -0.199291-0.102844j -0.0849942+0.0484282j -0.104429-0.0136112j 0.00124813+0.047505j 0.0422801-0.0211107j 0.14063-0.00364804j 0.0149464-0.0103818j -0.105383-0.0160863j -0.00228306-0.0500771j 0.0546731-0.0828745j -0.0214797-0.0773066j 0.00366232+0.00298066j 0.0644508+0.0163018j -0.0164561-0.0163846j -0.0139905+0.0500581j 0.0621926+0.0231224j -0.0333947+0.109205j 0.00606614+0.0101794j -0.0267982-0.052439j 0.0157155-0.0254141j -0.0948327+0.0059352j 0.0363415-0.0803255j -0.0762201+0.162745j -0.0255931-0.0286485j -0.0357787+0.173161j -0.192821-0.0756817j 0.0292853+0.0421751j 0.0680951-0.0107581j -0.126933-0.00609692j -0.0952167-0.054877j -0.00394669-0.0160598j -0.0107548+0.00936044j 0.0114924+0.0169261j 0.0212246-0.00538684j -0.0369312+0.0106241j 0.0280976-0.0105969j 0.0521526+0.0253034j 
0.0316632-0.0104472j 0.0202993-0.0479958j -0.00197363+0.0140239j 0.0444738+0.012615j 0.0851411-0.0346432j 0.0146625+0.00193409j -0.00666821+0.0172709j -0.0406681+0.0349888j 0.011799+0.0114739j -0.00102916-0.0157723j -0.0184007+0.0237401j 0.00651451-0.00333985j -0.00762438+0.0177506j 0.00819031+0.0155986j -0.0208749-0.0237923j 0.0294732+0.016089j -0.0173574-0.00066482j 0.00725366+0.0198478j 0.0255364+0.00758432j 0.0174143-0.0251501j -0.000212597+0.0102084j 0.0369748-0.00520815j -0.0684485+0.00863747j 0.0273721+0.0211693j 0.0153496-0.0202443j -0.0140063-0.00255199j -0.000573241-0.00125553j -0.00587357+0.012643j -0.00560673+0.00620731j 0.0377656+0.0109541j 0.0911409+0.0203913j -0.0369167+0.000900104j 0.0163376+0.00807868j -0.144834-0.020502j -0.146575+0.0409669j -0.104041+0.0376938j 0.0393387+0.170554j 0.0216161-0.0225813j 0.0891199+0.0410891j 0.210713-0.0335355j 0.0347548-0.00280424j -0.0383034-0.0215447j 0.0268474+0.171697j -0.00507327-0.105831j 0.0444329-0.0606954j -0.0166886+0.00213169j -0.106949+0.0425409j 0.0120156+0.031314j 0.0594448+0.0168529j -0.0320463+0.108251j -0.0715866-0.0586961j 0.0501537+0.053273j 0.0831314-0.0311832j -0.0399576-0.0600019j -0.114652-0.0290975j -0.0666916+0.00457306j 0.0113501-0.0140092j 0.0216606-0.0228446j 0.0169827+0.0259707j -0.00964044+0.0127069j 0.00619971+0.0204466j -0.0529382+0.0274858j 0.0522956+0.000226378j 0.0449274-0.0196209j -0.0877545+0.0359412j -0.0170091-0.0276737j -0.00505288+0.0124115j -0.00175132-0.0654643j 0.0472447-0.0497504j 0.10847-0.050181j 0.0641493+0.0216246j -0.0550386-0.0844568j 0.017193+0.0312656j -0.0125903+0.0028002j -0.0478387+0.0453475j 0.0242571+0.00846457j 0.00329519+0.114389j 0.0651349-0.236247j -0.102786-0.0875959j -0.00347896-0.0459372j 0.0589191-0.0887886j -0.0414256-0.181679j -0.0187267-0.175394j 0.0913118+0.0295561j 0.243512+0.00734603j -0.0203014-0.0590067j 0.201644+0.0237571j 0.0165376+0.0678457j 0.0276906-0.10849j 0.00744919-0.0165444j -0.00383697-0.00630493j -0.0231878+0.00576861j 0.0178838-0.0363602j 0.135916+0.0191186j -0.0643924+0.0185036j 
-0.0472923+0.00978522j 0.0114575+0.0407274j -0.0212291+0.0180365j -0.036219-0.0276719j 0.0240522-0.00495092j -0.00181393-0.000544082j -0.00293573-0.00579767j 0.00464931+0.00182376j 0.010059-0.0177771j -0.00569765+0.0294618j -0.00414509-0.00270668j -0.00339282+0.00205264j -0.00142937-0.0667168j 0.00115423+0.0502261j -0.0110488+0.0713772j -0.00576334+0.00522602j -0.0116661+0.00712021j 0.0251154-0.024389j -0.00568641+0.0387318j -0.0265011+0.00661067j 0.0570302-0.00730232j 0.00905212-0.00645312j -0.00229394-0.0170904j -0.0205851-0.0203124j -0.0263294+0.00941979j 0.0095934-0.0161463j 0.017183-0.00699888j -0.00146907+0.0118094j 0.0233014-0.0117341j -0.0332423-0.00339782j 0.0261945+0.0240608j 0.0301637+0.00289295j -0.00402564-0.00784794j 0.00884013+0.0109866j 0.0111152-0.00798124j 0.0212936-0.0233388j -0.00529985-0.0743202j 0.00326355-0.00239977j -0.0408982+0.00853945j -0.0681535+0.0173416j 0.0820156-0.0223968j 0.108462-0.0417649j 0.0125183+0.0265735j 0.0197124+0.0969881j 0.0193508+0.0587825j -0.0823294+0.017481j 0.0187264+0.0343361j 0.0104426+0.00482068j -0.095788-0.0142751j -0.0237778+0.12267j -0.0211099-0.0476483j 0.0482061-0.0540549j 0.158083+0.0055373j -0.0609597-0.0346522j -0.0636031+0.028595j -0.0286049-0.0230562j -0.0396967+0.011082j 0.0308899-0.258343j 0.0672063+0.0984462j 0.0148882-0.00160965j 0.207242+0.0297017j 0.0544313-0.0506101j -0.0781064-0.0138211j -0.131028+0.0077777j -0.117946-0.0107084j 0.0584149+0.0265423j -0.00554421+0.0617189j -0.0330852+0.0695353j 0.035729+0.0320873j 0.0273605+0.00855652j -0.000130846-0.0361501j -0.000267553-0.0123415j 0.0596492-0.0607659j -0.0577904-0.00494494j 0.019009+0.0393559j 0.0151098+0.0838493j -0.00934438+0.00938446j 0.0292526+0.106433j -0.0194519+0.0172905j 0.0322711-0.315598j 0.097962-0.00988451j 0.0629879-0.0525921j -0.158148-0.0534673j -0.212417-0.0252874j 0.00785952-0.0363354j -0.0102726-0.0489637j 0.0786309+0.0071785j 0.0382967-0.0448811j 0.0154837+0.0699591j -0.00188705+0.0148324j 0.00922788-0.0261113j 0.00397162+0.0339179j -0.0422877-0.0190679j -0.0833397-0.0127975j 0.0146084-0.0232785j 
-0.0174679+0.00894035j 0.0240577+0.00373022j -0.0124457-0.024978j -0.0138223+0.0047404j 0.0107914+0.00874234j 0.0417796+0.0229095j 0.00445303+0.0195598j 0.018163+0.0208874j 0.0123724-0.024922j -0.00962932-0.0395137j 0.00332116+0.0168918j 0.0167699-0.0102415j -0.0109635-0.00752962j -0.00289663-0.0671793j 0.0128729+0.00268262j 0.00209482-0.0071126j -0.0154724+0.00701204j -0.0227635+0.0298273j 0.0195383-0.0372j -0.049508+0.0116489j -0.0498432+0.00129903j 0.00356018-0.00432568j 0.00270212-0.0268835j -0.0105494-0.012352j 0.00193743-0.0076015j -0.0762209+0.00469323j -0.031519-0.00601085j 0.0104794+0.0226217j -0.0340709+0.0104713j 0.0535573-0.00888453j 0.0430578-0.00385045j 0.000900093-0.00707776j 0.0149065-0.0140588j 0.0246856-0.00353763j 0.0207687+0.0071278j 0.0131767-0.00144658j -0.0216078-0.0146034j 0.0151582+0.0545026j 0.112269-0.0185669j -0.0106032-0.000900068j 0.0126132-0.008725j -0.0232153+0.0179077j -0.0228754-0.0298793j -0.00145203+0.000186885j -0.0251761-0.0134839j -0.0158169+0.0226398j 0.15151-0.0602987j -0.172137-0.079509j 0.0608305-0.0456025j -0.0119574+0.0407451j 0.0300131-0.0026425j 0.0443265+0.000903456j 0.0710484-0.0423775j 0.0139119-0.0648564j -0.0900832-0.022233j -0.0335976+0.00638858j -0.0127402-0.0278212j 0.0438908-0.0296054j 0.116967+0.0204215j 0.0330346-0.0773709j -0.0276895+0.0145506j 0.121759-0.0571324j -0.105111+0.00584349j 0.0484593-0.0115322j -0.0627228+0.010441j 0.03528+0.0333998j 0.0289912-0.0887477j -0.0334763+0.000665774j 0.0137508+0.0239242j -0.179956+0.157161j 0.0605464-0.150139j 0.0328026-0.00472082j 0.0479857-0.0802088j 0.0910297+0.0454468j 0.138886+0.131456j 0.181516-0.0264132j -0.109646-0.224523j 0.0502625-0.141211j 0.0352334-0.0552983j 0.00981034+0.274074j -0.233755-0.0688242j -0.00156331-0.09639j 0.0856246-0.00699904j 0.205832+0.0184712j 0.0766177-0.0338973j 0.0607552-0.0627307j 0.0354607+0.0605916j -0.0381566-0.0586027j 0.0123324+0.0100492j -0.00628247+0.0277326j -0.00692514-0.0199073j 0.0561561+0.0503761j 0.00496495-0.0442619j -0.00852447+0.0114399j 0.0191174-0.0109605j 
0.00602041-0.000952486j 0.0263751-0.0279526j -0.023917+0.002965j 0.0227444+0.000943514j 0.00578983+0.00143939j 0.0286587+0.00795038j 0.00383254-0.0232512j -0.00680434-0.00547188j 0.0218423+0.0168749j -0.0132758+0.000815032j -0.00301469+0.00647458j -0.00640455-0.00754274j -0.0149054-0.0018758j -0.006908+0.061824j 0.00346339-0.00145046j -0.0292575-0.00971913j 0.0189223-0.0318048j -0.00791471-0.00499712j 0.0107145+0.00841506j -0.0591518+0.00705995j -0.0869207+0.00417303j 0.00333371-0.00199337j -0.0597867+0.00614846j -0.0118461+0.009305j -0.141931-0.00043256j -0.0796759-0.00234166j -0.0854219+0.0066946j -0.00134231+0.00553218j 0.00703796-0.00155425j -0.0217902+0.0038091j 0.0692413-0.00280127j 0.037867+0.000280958j 0.0440958+0.0062597j -0.00392031-0.0145829j -0.108973+0.0190845j -0.0480639+0.0169468j -0.0212233+0.0886224j 0.0467025+0.0884894j 0.239073-0.000489869j -0.109559+0.00985214j 0.0819728-0.0161588j -0.0736555+0.0231721j -0.0243741-0.0338964j -0.00699932+0.0842045j -0.0489943-0.0375745j -0.0372483-0.00785359j 0.0558912-0.0575391j -0.00182479-0.0604511j -0.0703536-0.0213657j 0.0378763-0.011413j 0.116061+6.0513e-05j -0.00185186+0.0137969j -0.0290667+0.0353828j -0.0202133+0.0926438j 0.0626+0.0485285j -0.102238-0.00433082j -0.00853546-0.00695305j 0.0418308+0.0255121j 0.0821827-0.0143001j 0.0515205-0.0219704j -0.0569099+0.00621636j 0.151979+0.00552385j -0.121352+0.00796568j 0.0364567-0.00456875j -0.0951552+0.00596339j -0.0933264+0.00871166j -0.0217074-0.0348862j 0.038982-0.0329986j -0.0498723-0.0546795j 0.043689+0.0060403j 0.00430515+0.00682322j 0.00546138+0.0171461j -0.0176792+0.0621012j 0.0296756+0.0413003j -0.0114715-0.00531201j -0.000626372+0.00875675j -0.0394619+0.0655869j 0.0360071+0.229887j -0.0535532-0.0186147j 0.0306885-0.113189j 0.0720291-0.011201j 0.0502669-0.195748j -0.150323+0.0417689j -0.137511-0.042285j -0.101591-0.102587j 0.0110188-0.0541439j 0.0866796+0.0194215j 0.000674588+0.0142684j -0.00104397-0.00309573j 0.0189011+0.0159218j -0.0776648-0.0342247j 0.103114+0.0593698j 0.0898495-0.0748441j 0.0364169+0.0567074j -0.0401647+0.00435849j 
-0.0436798+0.0153187j 0.0376885-0.00369911j -0.0244217-0.0127208j -0.0167643+0.0014167j -0.00785259-0.0118405j 0.0124669-0.0249988j -0.019183-0.00469076j 0.00736063-0.0176698j -0.0273354+0.0174447j 0.012548+0.0274549j -0.00439231-0.0243298j -0.00907155+0.0318515j 0.0151147-0.0117623j 0.013041-0.044923j -0.0216884+0.00989479j 0.0235021-0.000663854j 0.0303786-0.00155516j 0.0300054-0.00451129j -0.0293431+0.0055859j 0.00448259-0.0154495j -0.032741-0.0104844j -0.0359612-2.58553e-05j -0.0417628+0.00267832j 0.0078347+0.00326421j -0.0377397+0.00785907j 0.0313828+0.00016897j -0.00292395+0.00125637j -0.018733-0.0376427j 0.0247346-0.00677084j 0.0146161+0.00281033j -0.00559637+0.00365113j -0.0258479+0.00962776j 0.0292536-0.0080273j -0.052808-0.0156058j 0.0772244+0.00906103j -0.0775503+0.0104944j 0.0129625-0.0644597j 0.00445243-0.0192154j 0.0644385+0.00151033j -0.04027+0.000380479j 0.0101425+0.00172824j -0.00535322-0.00790998j -0.000593857+0.02196j 0.013277+0.00191554j -0.00538742-0.00864j 0.011346-0.0405886j -0.0641884+0.0186607j 0.0959175+0.0254472j -0.0659724+0.0119635j -0.0194475-0.00902583j 0.028946+0.00907386j -0.00272678-0.00832445j 0.0256151+0.00781421j 0.0269725-0.0258757j -0.0602788-0.00395927j 0.0312233+0.00875226j -0.00915875-0.00344002j 0.00665482-0.0399771j 0.0468678+0.00938311j 0.00310172+0.0102552j -0.0268845-0.00643375j 0.0302894-0.0330325j -0.0296222-0.0478138j -0.0768027+0.0281176j -0.0725476-0.00269174j 0.0676146-0.025858j -0.0122804+0.122027j -0.0166148+0.0337716j 0.0148767+0.0481656j 0.112211-0.0938336j -0.086271+0.0637502j 0.0271193-0.00336633j 0.0428939-0.0556339j -0.194376-0.118556j -0.0358487-0.0223598j -0.015262-0.220936j 0.0888825+0.0380998j -0.101758+0.0852733j -0.00218867-0.0293526j -0.0599001+0.138851j -0.042413-0.077987j -0.00822931+0.276345j 0.176086-0.0586465j 0.155857+0.101016j -0.135706+0.0589244j -0.0916253-0.140154j -0.139159-0.0226441j 0.0374715-0.0718616j 0.127085-0.0768761j -0.0110219-0.00442824j 0.0508246+0.030326j -0.0428155-0.0276445j -0.0762264-0.0284249j 0.126453-0.00437891j 0.0677775+0.0468035j 
-0.00822308+0.00586875j 0.00793814-0.0115911j -0.0101384-0.0305835j -0.0064537-0.00508908j -0.0167674-0.00308862j 0.0266107+0.00871229j -0.0164515+0.0069632j -0.0203327+0.000354218j -0.034398-0.00833039j 0.0291573-0.0128735j -0.0239653+0.00595878j 0.00717504-0.00107867j -0.0127466+0.00431305j 0.0217631+0.00259837j -0.0471059-0.00949723j -0.00365934-0.0122236j 0.0160808+0.0028057j 0.0307949+0.00470595j -0.0155629-0.00895548j 0.0256857+0.0186556j 0.0211607-0.00249187j -0.031445-0.0060609j 0.0262195+0.00352551j -0.0293837-0.000314665j 0.0329977+0.000131047j -0.00262375+0.00841919j 0.0382041+0.00852503j 0.00404386+0.0142037j 0.0151449+0.0067662j -0.0113601-0.00138476j -0.0238686-0.00517229j 0.00746882-0.0125503j -0.00189298+0.000788784j 0.0158409+0.0124976j -0.0741785-0.0070502j -0.0602249-0.0129593j 0.0244587-0.00515873j 0.0100784-0.00548878j -0.0877733+0.0103538j 0.0769248-0.00579893j -0.0903178-0.0235652j 0.0955561-0.0258546j 0.0553886+0.0290288j 0.019202-0.0471791j 0.0557207+0.0715381j 0.0100697-0.00501363j -0.0336805+0.053882j 0.00728017+0.0322394j 0.0698606+0.00227447j -0.015093+0.0128072j 0.0056068-0.0162371j 0.0441782-0.00396844j 0.00901993+0.0085872j -0.013265-0.0394476j 0.0107461-0.00214028j 0.0566057-0.00345457j -0.0151187+0.0222685j -0.013858-0.0214308j -0.0617498-0.00671745j -0.0209679+0.0107359j 0.0855003+0.013626j -0.0821167+0.0413894j 0.0603487+0.0382184j -0.0214608+0.0112468j 0.136976-0.0247462j 0.0286006+0.0112998j 0.0351524-0.0450444j -0.0121718+0.0409614j 0.00931949+0.0320541j -0.120788+0.0607847j 0.0112671-0.013803j -0.00222414+0.0289957j -0.0246497-0.000169927j 0.104131+0.0409223j 0.079127-0.115014j -0.0433985+0.15515j -0.0300753-0.1646j 0.050125-0.17554j 0.201675+0.105319j 0.0274589-0.0485076j -0.0134655+0.0829532j -0.0786223-0.041006j -0.073862+0.0378231j -0.0529756-0.0294504j 0.124384+0.0116772j 0.0751716+0.137131j -0.0329715-0.0169317j -0.0352986+0.0361866j -0.0873204+0.0953363j 0.0112943-0.0152853j -0.016582-0.00134342j -0.0233357-0.0340477j 0.00662742+0.0395335j -0.116057-0.00257538j -0.0236413-0.00716611j 
-0.0347012+0.00820897j -0.00606096+0.00542984j -0.0145348-0.0304228j -0.0372227+0.0109369j -0.0177682+0.0102747j -0.0340058+0.000109445j -0.00268814+0.0111038j 0.0190278+0.00589583j -0.00217103-0.0201799j -0.012881-0.0120603j 0.0107838+0.00338217j 0.00586942-0.0157177j 0.0181219-0.0015235j 0.00400634+0.000302739j 0.0168498+0.0075303j 0.00648387+0.00453545j -0.0150011+0.0148957j -0.000597648-0.00784279j 0.00473966-0.00957031j 0.0134283+0.00363068j -0.011329+0.00204844j 0.0473656+0.00217243j 0.0497977-0.0116557j 0.0172898-0.00952621j 0.0814276+0.00243333j -0.00375113+0.00357407j -0.0249114+0.00277585j 0.014434+0.0264246j -0.0102132+0.00677129j -0.0141963-0.00303448j -0.0553734-0.000538014j -0.000743422-0.0142201j 0.0177727-0.00614025j -0.00482994+0.00347481j 0.0396578-0.0146254j 0.0298719-0.0178026j -0.0147251-0.0722221j -0.00066241-0.004157j -0.0486752-0.00895081j 0.0412259+0.00054706j -0.104785-0.00122378j -0.102058+0.0290633j -0.0129881-0.0491327j -0.00456325-0.0522857j -0.0869183-0.0401728j 0.101234-0.00833522j 0.0577514-0.0417903j -0.0213233-0.0325266j -0.0481241+0.00714786j -0.126936-0.0438244j -0.174906+0.0327875j -0.0472934-0.00814976j -0.0430112+0.00254385j -0.00068627-0.010186j 0.0125485+0.00139564j -0.0474322+0.00267265j -0.00923138-0.00849409j 0.00986459-0.0134058j -0.00572505-0.00564686j -0.0191973-0.000637469j 0.0459076+6.06527e-05j -0.0068966-0.0240814j -0.0229535-0.00655197j 0.0201054+0.00643738j 0.0695019-0.0287775j 0.0326371+0.0139562j 0.0232402-0.0708322j -0.02635+0.0418042j -0.0543765+0.0218144j -0.147299+0.0208243j -0.10014-0.0248322j 0.0834886+0.171729j -0.121712-0.0330532j 0.0478747+0.153979j -0.162644+0.232047j 0.0659715+0.105638j -0.0760741+0.4553j 0.0335832-0.0113938j -0.411741-0.0809925j -0.00761166+0.105006j 0.223635+0.0517143j -0.00018344-0.0426139j -0.0255386-0.0139937j 0.123238+0.00297359j -0.001237-0.00438406j 0.0529259+0.048556j 0.0208332+0.00553856j -0.0159152-0.0138259j -0.0302406+0.0537832j -0.0067067+0.0102945j 0.0123948+0.00310847j 0.00200438-0.00530089j -0.016169+0.0183527j -0.071755-0.0143419j 0.0120657-0.00656045j 
-0.0421827+3.31948e-05j -0.0202724+0.0249868j -0.0249732-0.0184737j -0.026269+0.0142028j -0.00394742+0.00640207j -0.045588+0.00590205j -0.0190711-0.00644067j -0.00243176-0.021561j -0.0416758-0.0366885j 0.0346357+0.0115313j 0.018441+0.00333612j 0.00741562-0.00483096j 0.0367021-0.0097328j 0.0176828+0.0320891j -0.00671267+0.018977j 0.0510016-9.19071e-05j 0.0425398+0.0121589j 0.00804017-0.0133966j -0.0236459-0.0108348j 0.0699216-0.0177746j 0.0689456-0.00859567j -0.0104692+0.00280195j 0.0979956-0.00869764j -0.0158978-0.00103026j 0.0710967-0.0123548j 0.0631097-0.00816599j 0.092003-0.00935638j 0.00805722+0.0140877j -0.00541165+0.00174002j 0.00860084-0.00514719j 0.00585502-0.00569352j 0.043851+0.00798523j 0.0764198-0.00680668j 0.000349845-0.0232095j 0.107526-0.00952947j -0.056349-0.00848645j 0.00379096-0.115609j -0.0128878-0.0516792j -0.11176+0.00148772j -0.0366854+0.00524915j -0.182606+0.0225194j 0.0565157+0.00432949j 0.00117243-0.101269j 0.00111399-0.0196403j 0.0998165+0.0270143j -0.0723414+0.00569532j -0.00641568-0.0116115j -0.0901001-0.0319423j 0.201445-0.0286115j 0.0918149+0.0119382j 0.153725-0.0180905j 0.0652605+0.0448035j 0.00707578-0.0144689j 0.0240508+0.00791484j -0.00922514-0.0073623j 0.000472756-0.00670086j -0.0149426+0.0502578j 0.00791963-0.0292833j -0.0588191+0.0116315j -0.08734+0.00617449j 0.0950981+0.00674252j -0.0456192-0.0891834j -0.0095353-0.10412j 0.0570741-0.00950224j -0.0501266+0.00955872j 0.0464379-0.0346609j -0.0146647+0.00678317j -0.0202838-0.0864011j 0.0702288+0.00797871j 0.0544937+0.00942504j 0.104251-0.0821417j -0.0478037-0.084684j 0.0849411-0.0398287j -0.0677367-0.0441191j 0.00528512+0.249333j 0.0910326-0.155276j 0.0117084-0.0875216j -0.0356686+0.0550394j -0.166949-0.131153j -0.0416431-0.156831j -0.141243-0.0428809j 0.119609-0.150506j 0.0760921+0.0053552j -0.160213-0.0353404j -0.0182029-0.013581j 0.0459163-0.0257994j 0.227698-0.00491568j -0.0525095+0.0822203j -0.0542581-0.0963315j -0.0445804+0.0257575j 0.0858285+0.0570116j 0.0120085-0.0385557j 0.0108901+0.0171281j 0.0966662-0.00695935j -0.0251986+0.0255448j 
