-0.144244+0.00229506j 0.987654+0.00303547j 0.0994365+0.0749185j -0.0891888+0.0185037j -0.0309625+0.0930768j 0.071571-0.0807112j 0.0298164+0.000711706j 0.0126618-0.0440672j 0.0325354+0.0145094j -0.0293335+0.00942959j -0.0394591-0.0148759j 0.0121608-0.00762624j -0.000184085+0.0470576j -0.00323199-0.0296646j -0.0314149+0.000199284j -0.00510005+0.00568462j -0.00626612+0.0188426j -0.0148394-0.00548147j 0.00328088-0.00132324j 0.00714201-0.0113845j -0.0251424-0.0115085j 0.0117024+0.00895502j -0.00973246+0.019178j 0.00539995+0.0100709j 0.0166981+0.0137898j 0.00168253+0.00158532j -0.0134031-0.00502702j 0.0122994-0.0216634j 0.00218659+0.0109371j 0.0181633+0.00479103j -0.0146234+0.013843j -0.019264+0.0116118j -0.00688639+0.0238796j -0.00407479-0.0190186j 0.0173971+0.000529748j -0.0145165-0.018917j 0.0113868-0.00240781j 0.0185633+0.00997071j -0.00713841+0.00906371j 0.00106486+0.00407279j 
-0.0181285-0.00149687j -0.030693+0.00486635j 0.003216-0.0031182j 0.012199+0.0187977j -0.00850072-0.00286396j -0.0217351-0.00111626j 0.00420395-0.00551178j 0.0277877+0.00260743j -0.0205818+0.0112165j 0.0453916-0.016647j -0.0301614+0.0114111j 0.00771306-0.0235465j 0.0137947+0.0443179j -0.00460233+0.0599549j -0.00500327-0.037274j 0.0516611+0.0237369j -0.0705655-0.0100218j -0.0565348-0.0541106j -0.00775729+0.0461887j 0.00371225+0.0116209j -0.0165464+0.0801792j -0.155444-0.0454271j 0.01219-0.0397693j 0.00694634-0.0915774j -0.0142979+0.0248613j -0.00913151-0.0503521j 0.111055+0.177829j 0.13291+0.114491j 0.0382722+0.03531j -0.0980891-0.134134j -0.0870383-0.244578j 0.0824825+0.289259j -0.20577+0.166095j 0.0679064-0.0706962j 0.0716283-0.260676j 0.011405+0.0165457j -0.0817145+0.0699049j -0.126473-0.0306028j -0.00764463+0.117002j -0.0834041+0.105342j 
0.00373176-0.00328157j -0.0350874+0.00195195j -0.0166257-0.00528462j -0.000362254-0.0398556j 0.0396514+0.00767992j 0.0201436-0.0245678j -0.00503342-0.00905857j -0.00951554-0.00897616j -7.17845e-05-0.00150044j 0.0122191+0.00810312j -0.0166145+0.00876171j -0.00459647+0.0335801j -0.041392+0.00308528j 0.0292949+0.0395148j -0.0267791+0.0338761j 0.00436474-0.0018903j -0.0319549-0.00304127j -0.00494543+0.0105412j 0.0163778-0.00166301j 0.155429+0.04002j -0.0242741+0.00507317j -0.026855-0.00910367j 0.0128898+0.010209j -0.0813404-0.112017j -0.172671-0.266789j -0.0270275-0.423989j -0.0250321-0.0904891j -0.0590763+0.0518711j -0.0322636+0.000516835j -0.0109447+0.0399874j -0.174388+0.246587j -0.088725+0.117373j 0.0384151-0.00312528j -0.0931548-0.0252975j 0.0910639+0.108783j 0.085035-0.0574306j -0.061848-0.0714303j -0.0078177+0.0131781j 0.0442438-0.0640772j -0.0219651-0.00352392j 
-0.00457225+0.00539947j 0.0109946-0.0125384j -0.0240232-0.00502219j 0.0161163-0.000338441j -0.0273071-0.00934507j 0.0154983+0.00992093j 0.00824623-0.00848641j -0.00214471+0.0231934j -0.0174187+0.0237819j 0.0203495-0.0694386j -0.0147978-0.0800537j -0.00642656-0.059572j 0.117662+0.0445154j -0.0712101-0.0111557j 0.0473729-0.0800401j -0.00710224+0.00874457j 0.0221732-0.00106586j 0.0132355-0.00318778j 0.0102451+0.0151034j 0.0336355+0.0034492j 0.0372247+0.0275909j 0.0697266+0.0089063j -0.00966378+0.00234051j -0.0434068-0.070971j -0.0338262-0.0430407j 0.00880183-0.110202j -0.00240845-0.052492j 0.116939-0.0506533j -0.0102994+0.00900861j 0.0611964-0.107347j -0.01749-0.0142918j -0.0755472+0.130488j -0.149051-0.0726107j 0.208212+0.124534j -0.173679-0.337082j 0.0993525+0.0497136j 0.230254+0.234659j 0.0510657-0.141923j -0.100253+0.196895j 0.0248571+0.050449j 
-0.00239376-0.0346058j 0.0141773-0.000417885j 0.00691092-0.0111788j 0.0204451-0.0056674j 0.00569623+0.0089353j -0.00113332+0.0122142j 0.0134712-0.041714j 0.00582918+0.0119473j -0.0316785+0.0520925j 0.00902506-0.0155015j -0.018204+0.031423j -0.00196258+0.000629487j 0.0303863-0.0195231j 0.0570471+0.00333844j -0.06468+0.00818746j 0.0479215+0.0268386j -0.0908356-0.0349909j -0.0135341-0.0393063j -0.011057-0.00298203j -0.00132802-0.000374308j -0.164641-0.0553711j -0.214902-0.123257j 0.0853459-0.017648j 0.0184757+0.0505039j 0.02129-0.00618327j 0.0103129-0.0218912j -0.111571+0.225641j 0.0277548+0.146224j -0.0642804+0.0863824j 0.19491-0.048198j -0.37576+0.0835011j 0.463927-0.139595j -0.244836-0.186426j -0.0938728+0.0925112j 0.044883+0.14269j -0.0265387-0.0364113j 0.0552804+0.112473j 0.217497-0.198049j 0.185022-0.091597j -0.0679223+0.0445101j 
-0.0338725+0.0105757j 0.013188-8.29461e-06j 0.00660027+0.0076451j -0.00206045-0.0223338j -4.41012e-05+0.00569674j 0.00572715+0.00489368j -0.00526579-0.0364623j -0.00960843+0.0021372j 0.00971072+0.0496209j 0.0010803-0.0292136j 0.00406884+0.00574149j -0.0156195+0.0286057j 0.0358663-0.0330612j 0.030702-0.0457166j -0.0286286+0.00874495j -0.0237109-0.0108578j 0.0345952+0.0305692j 0.0687113+0.0592687j 0.00656518-0.0658822j 0.0124997-0.00665751j -0.147879-0.194415j 0.0402237+0.16575j 0.0754397+0.0248404j -0.117783+0.381294j 0.0588375-0.201489j -0.0780357+0.0451598j 0.219732-0.12172j -0.0419103+0.249579j 0.116733-0.0644689j 0.0447705-0.17613j 0.0257849-0.10245j -0.0576598+0.0815218j 0.113615+0.0387943j 0.121036-0.0492997j 0.0532129-0.0282864j -0.0234273+0.0199093j 0.0513981-0.0265828j 0.00323991+0.0252541j 0.0169286+0.0011589j 0.000743421-0.00271978j 
-0.000799663+0.000153289j -0.00274212+0.00216475j 0.0223504-0.0315369j 0.05338-0.00718431j -0.0210491+0.0427645j 0.017787+0.0302803j 0.00339942-0.0091373j 0.00448638-0.014529j 0.0154524-0.000450503j 0.0207194+0.00684764j 0.0223393-0.012364j -0.00923668+0.011263j -0.0247861-0.0127855j -0.0314087+0.00364005j -0.0224064+0.00261884j 0.00322276+0.00334313j 0.0102394+0.0140371j 0.012327+0.0079495j -0.0348194-0.0323265j -0.339343-0.202714j 0.00705531-0.00305639j -0.0357331+0.0054578j 0.0089613-0.00657859j -0.103619+0.127976j -0.186879+0.252765j 0.612208-0.000250896j 0.143272-0.00168527j 0.0139007+0.038544j 0.0709094+0.0256372j 0.0626864-0.00987276j 0.153632+0.209511j 0.15171+0.185167j 0.0313991+0.00339276j -0.0491851+0.033658j 0.0766316-0.0388893j 0.32139-0.197083j 0.0433482-0.0404245j -0.0173432+0.0171316j 0.00760083-0.00259182j -0.00227973+0.00212047j 
0.0289003+0.0151957j -0.0113118+0.00407862j -0.0161676-0.0162346j 0.00829583+0.00319863j -0.00313808-0.0118981j 0.00908879+0.00915017j 0.0275769-0.0228002j 0.00967959+0.0431434j -0.0388937+0.0478965j 0.0279643-0.00739477j -0.0464783-0.0304022j -0.0152035-0.0386677j 0.0403358+0.0138083j -0.0175149+0.0295396j -0.00432593-0.0149918j 0.0310539+0.0323291j -0.0688007-0.0591437j -0.0176169-0.0713461j 0.0069048+0.0421105j -0.0246532-0.017446j 0.0197005+0.114205j 0.22087-0.0291159j 0.0136156-0.0625236j -0.20014-0.136506j 0.0839117+0.0835063j 0.0739668+0.0408414j -0.261821-0.209799j -0.0300047-0.230426j -0.00833423-0.022675j -0.0336462+0.110953j 0.0677575+0.266105j -0.0775615-0.269233j 0.103873-0.20486j 0.0257842-0.0168988j -0.0598658+0.0829595j 0.0330519-0.0285483j -0.00307327+0.125186j 0.089161-0.0890947j 0.0367834+0.00893391j -0.0369389+0.0248013j 
-0.00425388+0.0329728j 0.0125607+0.00189224j 0.0147846+0.000784521j 0.0236814+0.000950805j 0.00298357+0.0209338j -0.00866458+0.0137549j 0.00534959+0.0223985j -0.0142807-0.0600033j -0.013993-0.0668182j -0.0561455-0.0168152j 0.0668613+0.0652844j 0.0171736+0.00510328j -0.00798625-0.0252354j 0.0999325-0.0152831j -0.0436132+0.0302801j 0.0662684+0.0189002j -0.261553-0.154505j -0.154372-0.121561j -0.07928+0.0112256j 0.0071151+0.00348239j -0.12824+0.212658j 0.169569-0.0327471j 0.023454-0.206638j -0.521192-0.132353j 0.199256+0.0173492j 0.00681859-0.0109482j -0.0641897-0.136281j 0.185038+0.1741j 0.192034-0.103011j -0.0672483-0.116123j -0.0557468-0.0536582j -0.0268291+0.117574j 0.0532122-0.0371035j 0.0762112-0.0755038j 0.152925-0.0658954j -0.0326568+0.0106906j 0.0763086-0.0879949j 0.0139205-0.0111865j 0.0715707-0.0583166j -0.0171324+0.00745305j 
-0.00119167-0.00382366j 0.0320269-0.000115617j -0.0241212-0.00907187j 0.00519818-0.0375482j 0.0266973+0.00250565j 0.0285643-0.0227901j -0.00297755-0.0153292j 0.0184733+0.00140845j -0.00238037-0.0287278j -0.0145877-0.03257j 0.0156901-0.0197734j 0.0210401-0.0327618j 0.0238666+0.00345976j -0.0301445-0.00401517j 0.002548-0.00833131j -0.0162089-4.77267e-05j 0.0374953+0.0347177j 0.0175287+0.0205595j 0.00554028+0.0276328j 0.11724+0.0368159j 0.018097-0.045797j -0.0211554+0.0200639j 0.0266108+0.0232271j -0.0210447-0.0724157j -0.21307-0.266258j 0.0266729-0.438478j 0.0251136-0.0969724j -0.0464692+0.0228935j -0.0284946+0.0215378j 0.0213771+0.0133865j -0.13626+0.231379j -0.128043+0.178711j -0.002736+0.00179156j -0.0330985+0.0255289j 0.013913-0.0134497j 0.159062-0.0335127j 0.0158539+0.00559177j -0.0105898-0.0124393j -0.0205395+0.0169287j -0.000478021+0.00293336j 
0.0087656+0.00332141j -0.0247031-0.00916521j -0.0135776+0.0577821j -0.00222286-0.015837j -0.0097746-0.00065791j -0.00243008+0.00942759j 0.0385467-0.099343j 0.00042074-0.0929246j -0.00095325+0.0299471j 0.0344895-0.0236652j 0.0653944-0.0237392j -0.123879+0.05807j 0.028563-0.0082616j 0.0631442-0.0119936j -0.0306079+0.000838j 0.0695062+0.0156747j -0.155625-0.0689316j 0.175222+0.141677j 0.313466-0.340717j -0.028166+0.0469641j -0.038717+0.205908j -0.00960168-0.0155112j -0.20763+0.269806j -0.0476857-0.0756686j 0.0153084+0.043691j -0.0107516+0.000160523j 0.0404058-0.033569j 0.0256366+0.0555412j -0.172206-0.0565284j -0.0453713-0.0558192j 0.0146472-0.0113955j -0.00564357+0.0172702j 0.0551302-0.0334477j 0.0811894-0.0336355j 0.0775511-0.00716267j -0.00857083+0.00220739j 0.0514342-0.00952642j 0.0367819-0.0230767j 0.0550619-0.0221312j -0.0202595+0.0122407j 
-0.0180699+0.00368647j -0.0312826-0.00416987j -0.016416-0.0225113j 0.00930841-0.0217617j 0.00380692-0.0072107j 0.00797403+0.00947711j 0.0402699-0.00776691j 0.0114086+0.0680767j -0.0259258+0.106924j 0.0451782+0.00537179j -0.0616738+0.0139658j -0.0208404-0.0294778j 0.0280822+0.00185749j 0.0173972+0.0187447j -0.0187443+0.00407085j 0.088003+0.083762j 0.0395056+0.124098j 0.0841757-0.0895769j 0.0846931+0.189077j -0.0116191-0.0401584j -0.0734641-0.214217j 0.0744058+0.129607j 0.235986+0.0028621j -0.125908+0.350861j 0.0696798-0.161085j -0.0156644+0.0621308j 0.0751656-0.158602j -0.0720957+0.117728j 0.0736154+0.0411399j 0.0540818-0.0777519j 0.0063867+0.0498346j 0.00105425-0.092105j 0.107347-0.0755371j 0.0904117-0.0396448j 0.0229237+0.0413527j 0.000275907-0.0119457j 0.0281591+0.0594865j 0.0733152-0.0470497j 0.0583427-0.000988029j -0.0376227+0.0170862j 
-0.00177158+0.00616069j -0.0151353+0.00442166j 0.0386609+0.0012702j -0.0125018+0.0245945j -0.00446966+0.0186536j 0.0131597-0.0182482j -0.058035-0.199813j 0.0990153+0.0861668j -0.0806361-0.0176719j 0.00890057+0.00967092j -0.103215-0.026974j 0.0932632+0.00743848j 0.0158792+0.0199727j -0.0526486+0.00352874j -0.00873453-0.0341324j -0.305843-0.212385j -0.00112836-0.176271j -0.156435+0.255068j -0.430639-0.404222j 0.0257787+0.0160671j -0.148741-0.0613224j 0.0192486+0.00428271j -0.199242-0.158478j -0.0244565+0.077159j -0.00288194-0.0338375j -0.0186823+0.00709966j -0.00492794+0.0121097j -0.067008+0.0178725j 0.180154-0.13541j 0.0851244-0.0408837j -0.0274089+0.0422874j 0.00742528-0.0358861j 0.00108518+0.0120989j -0.0179948+0.0413265j -0.0689984+0.054144j 0.00373696-0.00752638j -0.0371802+0.0591738j 0.00480147+0.00259864j -0.0191669+0.0343735j -0.00346449-0.00158443j 
0.000731523-0.000726765j 0.0213074+0.00737546j -0.0212891+0.0334423j -0.00619429-0.0060277j -0.0113077+0.00303721j 0.0047325-0.000154898j 0.0906587-0.15655j 0.0904288+0.019628j -0.0368483-0.00304462j 0.0190832+0.00326979j 0.0120779+0.00288714j -0.049672-0.011656j 0.0159876+0.0039229j 0.0266539+0.00354264j -0.0153407-0.00561347j 0.0546101-0.00992793j -0.0718672-0.0169527j 0.159116+0.128915j 0.244443-0.282866j -0.0288066+0.0284556j -0.043299+0.0773425j -0.0194425+0.0245859j -0.14532+0.227253j 0.0067838+0.0546272j -0.00927663-0.00968438j -0.00526613+0.0101491j 0.0690852-0.0397575j -0.0335485+0.0509204j -0.134595-0.0474115j -0.00416591-0.0524182j 0.0217858+0.0255064j 9.81014e-05-0.0228848j 0.0699815-0.0311433j 0.0745371-0.0149985j 0.0399707+0.0263903j 0.00707316-0.00878799j 0.0328766+0.0259131j 0.048687-0.0200296j 0.0489442+0.000495634j -0.0254103+0.00848508j 
