-0.00210553-0.137044j 0.215973-0.22043j -0.00709283+0.147495j -0.296165+0.0255374j 0.537217-0.116037j -0.0845252-0.139083j -0.187606+0.0430301j 0.0821179-0.088562j 0.0728724-0.0475536j -0.00162525+0.0214095j 0.0493978+0.0195108j 0.013358-0.00634443j 0.00419062-0.057069j -0.0222188-0.0342951j -0.0132864+0.0403113j -0.0474889-0.0253223j 0.0906416+0.0264763j -0.0787816-0.0496595j 
-0.00735915+0.00148757j -0.00529687+0.00514954j -0.0140563+0.0371782j -0.00514714+0.00545392j 0.0402804+0.00314793j 7.55708e-05+0.019123j -0.0106548+0.0246615j 0.0129265+0.0115912j 0.00103058-0.011457j -0.018767-0.0246768j -0.0105072+0.0386244j 0.016949-0.00364207j 0.0162036+0.0209051j 0.0263104+0.00282557j 0.0243056-0.0291881j 0.00812437-0.00128017j -0.0163295-0.0348513j 0.0283006+0.00939338j 
0.00655244+0.019693j -0.00878177+0.0137497j -0.0428473+0.00735419j 0.00379253+0.00602015j 0.00717323+0.0400269j 0.0111399+0.00410413j 0.00803339-0.00694221j 0.00286423-0.0070273j -0.000795178+0.00311828j 0.00383382+0.0219043j 0.033592+0.00481005j -0.0492392+0.0069902j 2.12781e-05-0.0107605j -0.00325979-0.0404547j -0.0185274-0.0209504j 0.00872958-0.0165727j -0.00165467+0.00867414j 4.59835e-05+0.00474966j 
-0.0124118-0.00520732j 0.00589376+0.018757j -0.00877095-0.0138644j 0.036221+0.0105939j 0.00487343-0.00871267j -0.0201996+0.0113497j 0.0180132-0.00959287j -0.00533424-0.00218927j -0.0309932-0.015288j 0.000639216-0.0310873j 0.00808002-0.0310855j -0.0117376-0.00893839j 0.00744969+0.0251716j 0.00150677-0.019078j 0.00471266-0.0397105j -0.00620309+0.0186643j -0.0315864+0.00631247j -0.00119864-0.00454256j 
0.0137212-0.0157885j -0.00784124-0.0052976j -0.00747505-0.013015j 0.00721087-0.0297731j 0.00159032+0.0140292j -0.0332014-0.0332143j -0.0126785-0.00357043j 0.00700321+0.0205813j 0.0012993+0.0169398j 0.00234908-0.0123188j 0.0141005-0.000472042j -0.00433823-0.000636062j 0.015159-0.000843717j -0.00914853-0.0311582j 0.0270073-0.0051526j 0.0156267-0.014489j -0.0204286-0.0297465j 0.00703323-0.00364522j 
0.0189367-0.00166982j 0.00407929+0.0107521j -0.0247135-0.00766407j 0.00705925-0.00437986j -0.00498306+0.0255112j 0.00238113+0.00387149j -1.96263e-06+0.00575468j -0.00744563+0.0149309j -0.00950697-0.00371353j -0.0162079-0.0337481j -0.040663-0.0281836j 0.0748583-0.0044126j -0.00527489+0.0144929j -0.013833+0.0544096j 0.0165855+0.0403747j -0.0273446+0.0185136j 0.00269867-0.00813452j -0.00768069-0.01226j 
-0.0137044+0.0504784j -0.0400983-0.0283243j 0.00133429+0.00293029j -0.0177468+0.00332959j -0.00738282-0.00543758j -0.00174703-0.00770284j -0.000861195-0.0114558j 0.0147352+0.0101781j -0.00273706+0.0164296j 0.0213613-0.00861632j -0.0204313+0.00698587j 0.017995-0.00997936j -0.00402242+0.000544089j 0.0153332+0.0253237j 0.0107614+0.00760381j 0.0014809+0.00824233j -0.00199504-0.00993477j 0.00503943-0.000651076j 
0.019383+0.00371754j 0.0141869-0.00371554j 0.00112841+0.0161049j 0.0115355+0.000458115j 0.00160245-0.0125605j 0.0155847+0.01944j 0.0120558+0.0392223j 0.0446256+0.0147119j -0.0173968+0.0383558j -0.0400224-0.0496637j 0.0843167-0.0296938j 0.0886167-0.0964154j 0.0620805-0.0627526j -0.0151946-0.0645397j 0.0769683+0.0830535j 0.0176879-0.050072j -0.0376601-0.0717207j 0.0316923-0.0452782j 
0.0137527+0.0167189j 0.00127672+0.00357893j 0.00474439+0.00639909j -0.00158014-0.00717859j -0.00482469-0.00732439j 0.00575468-0.005701j 0.0074173-0.00499447j -0.0461241-0.0072612j 0.000660882-0.0488156j -0.0983684-0.019444j 0.0326914-0.0336184j 0.018117+0.0184965j 0.00156213+0.0397414j -0.0428442-0.0501406j 0.00968482+0.00123975j -0.0207445-0.00286725j -0.0151919-0.00945031j -0.00869496+9.32605e-05j 
-0.0174791+0.00848822j -0.00568246-0.00476312j 0.00322608+0.0013253j 0.0486279+0.0300975j 0.00443253-0.00504942j 0.0173953+0.0104562j -0.000343014-0.00825019j -0.0327271-0.016001j -0.0147135+0.000305821j 0.0248128+0.0134779j -0.0254807-0.00264021j -0.0347181+0.0135508j -0.00915505-0.00392788j 0.0104846+0.0188785j -0.025419-0.0231332j 0.00144364+0.0100971j 0.00210191+0.0168858j 0.00314921+0.0147843j 
-0.00781169+0.0437807j -0.0418348-0.0211227j -0.00546977+0.0109558j -0.000734164-0.00056304j 0.00131496+0.000110288j -0.00181965-0.00512679j -0.000892396-0.00267726j -0.0141778+0.0219544j -0.00301296-0.00359391j -0.0181093+0.00240322j 0.00240624+0.0041353j 0.0119879-0.00520403j 0.00288088+0.00570389j 0.00072772-0.00653215j 0.0134092+0.0057366j 0.000485525+0.000478363j -0.0101658-0.0120491j 0.00232731+0.00220935j 
0.0223159-0.015612j -0.0346348+0.00278052j 0.0115591+0.00519819j 0.0264018+0.0186011j -0.00388492-0.00401749j 0.023284+0.0318085j 0.0151806+0.0244141j 0.0278178-0.00734353j 0.139026-0.0596824j -0.102789+0.0790276j 0.0588735+0.091645j 0.0419823+0.00586254j -0.0379778-0.04901j -0.0301651-0.00982805j -0.0139648+0.0545615j -0.0293416-0.0416122j 0.020639+0.0490955j 0.0132914-0.0796611j 
-0.0461942-0.00789704j -0.0184495-0.0178053j 0.000166143-0.00450454j 0.00313766+0.00901991j 0.00441099+0.0036039j -0.00173025+0.00539792j -0.00110923-0.0115124j 0.0530061-0.0465941j -0.0132977+0.0182492j 0.118474+0.0647459j 0.00889259-0.0211672j -0.0778522+0.012153j -0.0187685-0.054761j -0.0179546+0.0295859j -0.0604623-0.0393337j -0.00172659-0.0135147j 0.0221114+0.0788146j 0.00951258-0.0305794j 
