0.105839-0.220339j -0.360233+0.0772296j 0.469924-0.095468j -0.131292-0.276523j -0.0216623+0.0587943j 0.0249904+0.00698854j 0.0474399-0.023667j 0.0452951-0.018332j 0.0335063+0.0564639j -0.0129319+0.0314068j 0.0797161+0.0460251j -0.0221819-0.0078498j 0.00327282-0.0791101j -0.0132601+0.0192904j 0.00472774+0.0145897j -0.0354088+0.0130531j 0.0121785+0.0124196j -0.0232658-0.0110144j -0.0313862-0.027688j -0.00468829+0.010818j -0.0254972-0.00102668j -0.0171621+0.0116875j 0.0104525-0.0178916j 0.0403018-0.0193903j -0.00784691+0.0102623j -0.0330684-0.0136126j 0.0190259-0.01137j 0.00590594+0.0206887j 0.0248867+0.00165794j 0.0223334-0.00249282j -0.00323684+0.00111169j 0.0507615-0.0140076j 0.00136506+0.0127377j 0.00421256-0.0240823j 
-0.00858815+0.000862103j -0.00784723-0.0271399j 0.0187941-0.00952547j -0.0328911-0.016838j 0.013011-0.0167278j -0.0144559+0.0137668j -0.00472795+0.0218003j -0.0339721-0.00962302j -0.029338-0.0234871j -0.0380167-0.0129427j -0.000757473+0.00953783j 0.021547-0.00890172j 0.0306012+0.0472956j -0.0292316-0.0583095j -0.00521972-0.109276j 0.115012-0.254566j 0.0229179+0.0138948j 0.108763-0.03869j 0.0022073-0.0237077j 0.216661-0.231602j 0.199036+0.0264923j -0.223956-0.0918682j -0.0870931+0.0573493j -0.173336+0.0343918j -0.118851-0.0130679j 0.143752+0.0537621j -0.0552569-0.0823595j 0.187366+0.383062j 0.0692916-0.0332476j 0.00960229-0.0361427j -0.0246213-0.0785685j 0.135776+0.374191j 0.0251252+0.0434002j -0.0300591-0.069723j 
0.0108369-0.0119671j -0.0113084+0.0105632j -0.00217135-0.00921534j -0.0362622+0.00678584j 0.018585+0.0366059j -0.00491652-0.0205007j -0.00258382+0.00997443j -0.0236893+0.0155663j -0.00349207-0.0189833j -0.0184903-0.0256557j -0.0275842+0.0126646j -0.024128-0.0598368j 0.0666179+0.023144j -0.0159598-0.0210131j -0.0138312+0.081381j -3.40396e-05-0.0531378j -0.0926009+0.0312588j 0.120435+0.00254649j -0.18797+0.0433997j -0.0685946+0.016024j -0.165755-0.0134694j -0.0148686-0.037158j -0.361284+0.10603j 0.0247661+0.0436226j 0.142646+0.137134j 0.0287739-0.0308961j 0.0034084+0.461571j -0.0244158+0.0889509j -0.0211267-0.00828797j -0.120528-0.0701094j 0.0364207+0.0495814j -0.0722576+0.0645924j 0.0255373+0.0818167j -0.111524+0.0800704j 
-0.0132744+0.0261628j -0.000798105-0.0199147j 4.41303e-05-0.0106891j 0.0158183+0.0313897j -0.0295534-0.0291812j 0.0103722-0.0118423j 0.0701944-0.0206269j 0.0703521-0.0308359j 0.0476974+0.00933811j 0.03084-0.0227445j 0.0354872+0.0675619j -0.0523263-0.0247709j -0.01888+0.0302977j -0.00371421-0.0378608j -0.0294703+0.159847j 0.188677-0.278838j -0.00557386+0.0185058j 0.0519026+0.0648796j 0.0643316+0.100182j 0.02335+0.10598j 0.218211+0.114453j 0.0425958+0.16423j -0.0120362-0.0764651j 0.0129423-0.0374919j -0.010091+0.580598j -0.182316+0.198369j -0.109052+0.0348539j 0.0314338-0.0340813j 0.0813929-0.0876103j 0.0941764-0.0636593j 0.166321+0.267115j 0.0331565+0.0390483j 0.110179+0.14716j 0.0149651+0.0574157j 
0.0115087+0.00683431j 0.00100889+0.0119722j -0.00487848-0.0194247j -0.0427356+0.00621707j -0.0158116+0.0326291j 0.0108856+0.00929049j 0.00510712-0.0116668j 0.0251824-0.012933j 0.00124276+0.0263382j 0.000774982+0.00887724j 0.025795-0.002109j 0.01042+0.045317j -0.0422824-0.0203841j -0.00434057-0.0420099j 0.00781438-0.0699695j 0.00677242-0.103789j 0.114654-0.0502721j -0.352491-0.00823927j 0.0447815+0.0328901j 0.171398-0.044704j -0.129114-0.0232474j 0.131493+0.153991j -0.153404+0.0179584j -0.0885001+0.471523j 0.0404135+0.0412342j -0.00440625+0.10641j 0.0143595+0.00738341j -0.0902982-0.0883743j 0.0288739+0.00867019j 0.0562967+0.0268429j 0.055732+0.126758j -0.102337+0.10233j -0.00269866-0.0399341j 0.0546444-0.0381795j 
0.0133238-0.0485958j -0.0550269-0.0218129j -0.00758603+0.00372959j 0.0136513-0.0134091j 0.00357088-0.0105692j 0.00272231-0.00524452j -0.0278929-0.0067855j 0.00256435-0.017853j -0.0308496-0.0179901j 0.00390944+0.000152179j -0.00700626-0.0190323j -0.0471267-0.050054j -0.0236463-0.00296432j -0.113057-0.107208j -0.00372786+0.0556131j 0.0580557-0.121242j -0.0188653+0.00319254j -0.0594507+0.0140714j -0.0917388+0.0811066j 0.0261816+0.0178508j 0.0140775+0.189283j -0.0296301+0.0503214j 0.0768225+0.448598j 0.185634+0.0466252j -0.139946+0.139691j -0.013637-0.00361448j 0.396207+0.00876351j -0.0132412-0.0369124j -0.0340037+0.0591795j -0.103349-0.0193369j 0.017779+0.0965713j -0.012824+0.0505064j -0.00967742+0.0469937j -0.00241201+0.0241245j 
0.0212976+0.0101616j -0.0358406-0.0141593j 0.00743249-0.0103793j -0.0115239+0.00333444j -0.0117506-0.0285061j -0.00630204-0.00202234j -0.0892466+0.0309665j -0.0997763+0.0608184j -0.0768448-0.011574j -0.0366573+0.0410902j -0.0213256-0.114122j 0.0822747+0.0381157j 0.0326442-0.0531678j 0.0536214-0.0685026j 0.117331-0.397848j 0.110128-0.112976j -0.0547144-0.117566j 0.203638+0.0636767j 0.0192474-0.00244417j 0.182083+0.0691306j -0.0705732-0.0435849j -0.0504393+0.573178j 0.0371994+0.0335023j -0.0305687-0.0591785j 0.045226-0.138941j -0.0871084+0.120752j -0.019992+0.0492539j 0.0730561-0.05805j -0.0223505+0.182584j -0.0409919+0.0894444j 0.138731+0.128366j 0.00447393+0.0497944j -0.159949-0.182163j -0.0241267-0.0663706j 
0.00289949+0.0349602j 0.0229217+0.00940637j 0.00902234-0.00177749j -0.0094682+0.000950981j -0.0108952+0.00575489j -0.00110665-0.0104915j -0.0613903-0.00400972j -0.00936163-0.0252387j -0.066491-0.0332061j 0.00905005-0.0214272j -0.0304008-0.0326178j -0.107146-0.107853j -0.0217707-0.00172354j 0.0703271+0.0340155j -0.0494585+0.096223j -0.00123557+0.0392947j -0.0919176+0.0740031j 0.0237263-0.402877j 0.0479555+0.108171j 0.0206882+0.213163j -0.00237348-0.0360544j 0.13161-0.108503j 0.0254308-0.0222266j -0.384614-0.0890291j 0.023481+0.0130656j -0.130064+0.0269349j 0.143386+0.0224645j 0.170893+0.0441598j -0.0301463+0.0466036j -0.0944048-0.0242687j 0.0246632-0.0366521j 0.0111004-0.0122482j -0.0178773+0.0548128j -0.0146158+0.0206613j 
0.0025445-0.0222788j -0.00685558-0.0170549j 0.00940731+0.0063157j -0.0480863-0.0312743j 0.0178017+0.0157873j 0.0466644-0.0174613j -0.0512944+0.0103672j -0.00241125-0.0306019j -0.0269038+0.0175913j -0.00237135+0.00812543j 0.0200007-0.00179673j 0.028373-0.00319515j -0.0193579-0.0237212j -0.125199+0.393458j 0.00505407-0.0418751j 0.00690585-0.0881185j 0.0214257-0.061387j -0.0694855+0.0489713j -0.162298+0.387124j 0.14573-0.108117j 0.0834412-0.0716681j -0.135359+0.0408622j -0.202643-0.00812338j -0.0591266-0.100253j -0.237447+0.0339535j 0.269847+0.167818j 0.04006-0.0464449j 0.0352821-0.0197929j -0.111252-0.0732091j -0.0386163-0.0348761j -0.0898523-0.265979j 0.0387432-0.0534071j -0.0406007-0.0568801j -0.00116223-0.00856201j 
-0.0381625+0.0136813j -0.00712745+0.015534j 0.00327896+0.00820238j -0.0264738-0.00790614j 0.0328048+0.0229429j -0.136452+0.0996543j 0.173905-0.0780597j -0.0846467+0.122401j 0.0735199-0.0888657j -0.00993644-0.0531759j -0.0739989-0.0789922j 0.0370381-0.416544j 0.0568646+0.0257636j -0.0587629+0.0157184j -0.024296+0.00134271j 0.00600127+0.0183747j 0.199092-0.354382j -0.102361-0.106348j 0.0300364-0.0550503j 0.0804498-0.0703557j 0.00571749+0.0679378j -0.213287+0.0517745j 0.053901-0.0429136j -0.00246448-0.057069j 0.136756-0.00395053j 0.0960667-0.0166497j 0.0285212+0.0781311j -0.00426027+0.000787817j 0.276387+0.066807j 0.0373199+0.0130469j -0.0684125-0.0577324j 0.0281684-0.0103279j 0.120289+0.237707j -0.0371516+0.0462006j 
0.00602805-0.0215358j -0.040053-0.0241148j -0.00307381+0.0058331j -0.00534204-0.00358357j -0.00199507-0.00281623j 0.000425179+0.00383606j 0.0530514-0.0327675j 0.0295733+0.0182134j 0.0519441+0.00180905j 0.00597833+0.00955102j 0.0209175+0.0148772j -0.019717-0.0479427j -0.0168259-0.0205738j 0.428926+0.0286275j -0.03786+0.0268939j 0.15066+0.0380429j -0.0746928-0.0573178j 0.101257+0.0999082j 0.507204+0.0404288j 0.100619+0.0402179j 0.124416+0.192034j 0.0601018-0.106578j -0.2097+0.0712753j 0.0392532-0.070286j 0.0270053-0.134802j 0.0643827+0.141663j 0.00156823-0.0172453j 0.089823-0.000845521j -0.0239247-0.052016j 0.0285103-0.0192332j 0.012061-0.101192j 0.0400969+0.00530433j 0.00181039+0.00749808j -0.00104939+0.0112025j 
0.0530541-0.000190298j -0.0354266-0.0250637j 0.00547295+0.00245082j -0.0149769-0.0223834j -0.00152098+0.0205358j 0.0122866-0.0208104j -0.260381+0.0395055j -0.106998-0.0643774j -0.156558-0.0722135j -0.0228196-0.0531014j -0.112396-0.100949j -0.349553-0.0545705j -0.0423408+0.071264j 0.0355353+0.0141506j 0.061551-0.0136339j 0.0302701+0.0404098j -0.451369-0.0729759j -0.06083+0.158065j -0.0505048-0.05136j 0.192558-0.018663j -0.135909-0.0129045j 0.00756912-0.129526j 0.10827-0.0619013j -0.0100532-0.021693j -0.0176976+0.0904768j 0.0391295+0.0394261j -0.00864384+0.0472817j 0.0510496+0.0173296j 0.122147+0.129351j -0.0589628+0.0137619j -0.00239264-0.0438656j 0.0200889+0.00718634j -0.0117557+0.0960985j -0.039113-0.010711j 
