-0.0590704-0j -0.0730959-0j -0.0426393-0j -0.00736065-0j -0.00858742-0j -0.0052587-0j -0.00751399-0j -0.00309936-0j 0.443672-0j -0.000669824-0j 0.501181-0j -0.000756647-0j 0.409213-0j 0.413454-0j -0.0006178-0j 0.358061-0j -0.000624202-0j -0.000540575-0j 0.295385-0j -0.000445951-0j 0.0943771-0j -0.000142484-0j -0.00344811-0j 0.0582756-0j -5.07954e-05-0j -0.00381636-0j 0.0644993-0j -0.00301709-0j -5.62202e-05-0j -0.0020114-0j -0.00304836-0j 0.0509912-0j -0.00351994-0j 0.0339941-0j 0.0515196-0j -4.4446e-05-0j -0.00124449-0j -2.96307e-05-0j -0.0020533-0j -4.49066e-05-0j -0.00217785-0j 0.0594897-0j 0.0210328-0j -5.18537e-05-0j -0.00127041-0j 0.0347023-0j 0.0368074-0j -1.8333e-05-0j -3.0248e-05-0j -0.000331419-0j 0.021471-0j -3.20828e-05-0j 0.00560123-0j -1.8715e-05-0j -4.88226e-06-0j 
0.0006178-0j -0.000742725-0j 0.000445951-0j -0.00733661-0j -0.00855938-0j 0.0154262-0j 0.00727625-0j -0.00308924-0j -0.00464023-0j 0.0311425-0j -0.0052417-0j 0.0351792-0j 0.004158-0j -0.00432418-0j -0.027906-0j 0.0110213-0j 0.0290213-0j -0.0739687-0j 0.0030014-0j -0.0201436-0j -0.000987061-0j 0.00662456-0j 3.60627e-05-0j 0.0580854-0j 0.00723739-0j 3.99141e-05-0j 0.0642887-0j -3.06566e-05-0j 0.00801032-0j 2.10366e-05-0j 3.18819e-05-0j -0.0493778-0j -3.5766e-05-0j 0.0338831-0j 0.0513514-0j -0.00615244-0j -6.3967e-05-0j 0.00422181-0j 2.14748e-05-0j 0.00639834-0j -6.70357e-05-0j -0.0576075-0j -0.10303-0j -0.00717785-0j -1.29086e-05-0j 0.034589-0j -0.107973-0j -0.0128375-0j 0.00430977-0j 3.46621e-06-0j -0.0207916-0j -0.0134533-0j 0.00558294-0j -0.00259062-0j 0.00069563-0j 
-0.000624202-0j 0.000745645-0j -0.000404545-0j 0.00741264-0j -0.00834841-0j 0.00529585-0j -0.00756253-0j 0.0147523-0j 0.00468832-0j -0.0314652-0j -0.00511251-0j 0.0343121-0j 0.00432418-0j -0.00436637-0j -0.0290213-0j -0.00365255-0j 0.0293045-0j 0.0245137-0j 0.0028025-0j -0.0188087-0j 0.0104578-0j -0.0701865-0j -3.64364e-05-0j -0.0586873-0j -0.00731239-0j 3.89303e-05-0j 0.0627041-0j -3.18819e-05-0j 0.00781289-0j -2.12546e-05-0j 3.21929e-05-0j -0.0513514-0j 3.59066e-05-0j -0.0342343-0j 0.0518524-0j -0.00639834-0j -1.31506e-05-0j -0.00426556-0j -1.94809e-05-0j 0.00646077-0j 2.29997e-05-0j 0.057834-0j -0.0211814-0j 0.00720607-0j -6.34497e-05-0j -0.0313774-0j 0.0370451-0j -0.00263918-0j -0.00390961-0j -6.36595e-05-0j -0.102197-0j 0.0046158-0j -0.102535-0j -0.0127337-0j -0.0127758-0j 
-3.64042e-05-0j 4.37655e-05-0j -2.62779e-05-0j 0.000869164-0j 0.00101403-0j -0.00182753-0j -0.000862013-0j 0.000365981-0j -2.85998e-06-0j -0.0113265-0j -3.23069e-06-0j -0.0127946-0j 2.56275e-06-0j -2.66518e-06-0j 0.0101494-0j 6.79293e-06-0j -0.010555-0j 0.0269023-0j 1.84989e-06-0j 0.00732621-0j -6.08369e-07-0j -0.00240935-0j -2.12502e-06-0j 7.19767e-05-0j 0.0812804-0j -2.35196e-06-0j 7.96636e-05-0j 1.80646e-06-0j 0.089961-0j -1.23959e-06-0j -1.87866e-06-0j -6.11867e-05-0j 2.10753e-06-0j 4.19864e-05-0j 6.36323e-05-0j -0.0690958-0j 3.76929e-06-0j 0.0474136-0j -1.26542e-06-0j 0.0718574-0j 3.95012e-06-0j -7.13845e-05-0j -0.00012767-0j -0.0806117-0j 7.60648e-07-0j 4.28611e-05-0j -0.000133795-0j -0.144173-0j 0.0484014-0j -2.04248e-07-0j -2.5764e-05-0j -0.151089-0j 6.91813e-06-0j -0.0290943-0j 0.00781237-0j 
3.67815e-05-0j -4.39376e-05-0j 2.3838e-05-0j -0.000878172-0j 0.000989032-0j -0.000627396-0j 0.000895929-0j -0.00174769-0j 2.88962e-06-0j 0.0114439-0j -3.15106e-06-0j -0.0124793-0j 2.66518e-06-0j -2.69118e-06-0j 0.010555-0j -2.25123e-06-0j -0.010658-0j -0.00891562-0j 1.7273e-06-0j 0.00684071-0j 6.4456e-06-0j 0.0255268-0j 2.14704e-06-0j -7.27226e-05-0j -0.0821227-0j -2.29399e-06-0j 7.77001e-05-0j 1.87866e-06-0j 0.0877436-0j 1.25244e-06-0j -1.89699e-06-0j -6.36323e-05-0j -2.11582e-06-0j -4.24215e-05-0j 6.42531e-05-0j -0.0718574-0j 7.74907e-07-0j -0.0479049-0j 1.14792e-06-0j 0.0725585-0j -1.35527e-06-0j 7.16652e-05-0j -2.6247e-05-0j 0.0809287-0j 3.73881e-06-0j -3.88815e-05-0j 4.59046e-05-0j -0.0296397-0j -0.0439073-0j 3.75117e-06-0j -0.000126638-0j 0.0518383-0j -0.000127056-0j -0.143007-0j -0.14348-0j 
-0.0424562-0j 0.0267145-0j 0.0155835-0j 0.00269011-0j -0.0061721-0j 0.00192191-0j 0.00274615-0j 0.00113273-0j 0.00169604-0j 0.000244802-0j 0.00191588-0j 0.000276533-0j -0.00307637-0j -0.00310825-0j -0.000444036-0j 0.00136877-0j -0.000448638-0j 0.000197565-0j 0.00112918-0j 0.000162983-0j 0.000360777-0j 5.20737e-05-0j 0.00126019-0j 0.000222771-0j 1.85643e-05-0j 0.00139477-0j 0.000246563-0j 0.00110266-0j 2.05469e-05-0j -0.00362644-0j 0.00111409-0j 0.000194925-0j -0.00252992-0j -0.00064107-0j 0.000196945-0j 1.62438e-05-0j 0.000454825-0j -5.34225e-05-0j -0.00147578-0j 1.64121e-05-0j 0.000795944-0j -0.00044723-0j 8.04025e-05-0j -3.72692e-05-0j 0.000464301-0j -0.000260884-0j 0.000140704-0j 6.70021e-06-0j -2.17404e-05-0j 0.000121124-0j 8.20775e-05-0j 1.17254e-05-0j 2.14119e-05-0j 6.83979e-06-0j 1.78433e-06-0j 
-0.0267145-0j 0.000556444-0j 0.0375648-0j -0.00332884-0j -6.72874e-05-0j 0.0069993-0j -0.00318705-0j 0.0041079-0j -0.00209874-0j -0.000302927-0j -4.10757e-05-0j -5.92877e-06-0j 0.00188063-0j 0.00188802-0j 0.000271445-0j 8.63669e-05-0j 0.000272512-0j 1.2466e-05-0j -0.00264445-0j -0.000381694-0j 0.00174708-0j 0.00025217-0j -0.0015594-0j -0.000275666-0j -2.29721e-05-0j -2.99034e-05-0j -5.28622e-06-0j 0.00132563-0j -4.40518e-07-0j -0.00090965-0j 0.00133084-0j 0.000234341-0j 2.67956e-05-0j -0.000160805-0j 0.000235262-0j 1.95284e-05-0j 0.00276602-0j -1.34004e-05-0j 0.00180894-0j 1.96052e-05-0j -0.00279827-0j 4.73684e-06-0j 0.000488968-0j 3.94737e-07-0j -0.00163588-0j 0.000319778-0j -0.000494669-0j 4.07473e-05-0j 2.66481e-05-0j 0.000733837-0j -0.000289185-0j -4.12224e-05-0j 0.000129725-0j -2.40987e-05-0j 1.08104e-05-0j 
0.0155835-0j -0.0375648-0j 0.0432412-0j 0.00194182-0j -0.00441316-0j 0.0013873-0j 0.00177978-0j 0.000978911-0j 0.00122426-0j 0.000176707-0j -0.00269402-0j -0.000388849-0j 0.00112918-0j 0.00102433-0j 0.000162983-0j -0.0019247-0j 0.00014785-0j -0.000277807-0j 0.00313326-0j 0.000452247-0j -0.00331682-0j -0.000478741-0j 0.00090965-0j 0.000160805-0j 1.34004e-05-0j -0.00196127-0j -0.000346706-0j 0.000795944-0j -2.88922e-05-0j 0.000530629-0j 0.000722041-0j 0.000140704-0j -0.00180894-0j 9.38029e-05-0j 0.00012764-0j 1.17254e-05-0j 0.00032831-0j 7.81691e-06-0j 0.00208229-0j 1.06367e-05-0j 0.000515851-0j -0.000319778-0j 5.80376e-05-0j -2.66481e-05-0j 0.000401251-0j 0.0003681-0j 9.11904e-05-0j 4.83646e-06-0j 3.0675e-05-0j -0.0038164-0j 7.09318e-05-0j 7.5992e-06-0j -0.000674651-0j 5.91098e-06-0j -5.62209e-05-0j 
0.00685133-0j -0.00431103-0j -0.00251477-0j 0.0204689-0j -0.0469633-0j 0.0146237-0j 0.0208954-0j 0.0086189-0j -0.000273697-0j 0.00376488-0j -0.000309173-0j 0.00425289-0j 0.000496447-0j 0.000501592-0j -0.00682897-0j -0.000220884-0j -0.00689973-0j 0.00303841-0j -0.00018222-0j 0.00250656-0j -5.82202e-05-0j 0.000800858-0j -0.000203362-0j 0.00169506-0j 0.000429757-0j -0.00022508-0j 0.00187609-0j -0.000177941-0j 0.000475653-0j 0.000585215-0j -0.000179785-0j 0.00148318-0j 0.000408264-0j -0.00487788-0j 0.00149855-0j 0.000376037-0j -7.33971e-05-0j -0.00123671-0j 0.000238154-0j 0.000379934-0j -0.000128445-0j -0.00340296-0j 0.00061178-0j -0.000862769-0j -7.49262e-05-0j -0.00198506-0j 0.00107061-0j 0.000155107-0j -0.000503282-0j -1.95463e-05-0j 0.000624525-0j 0.000271438-0j 0.000162923-0j 0.000158339-0j 4.13066e-05-0j 
0.00559409-0j -0.00351994-0j -0.0020533-0j -0.000354453-0j 0.000813246-0j -0.000253233-0j -0.000361837-0j -0.00014925-0j 0.0213651-0j -3.22555e-05-0j 0.0241344-0j -3.64364e-05-0j -0.0387533-0j -0.0391549-0j 5.85069e-05-0j 0.0172425-0j 5.91132e-05-0j -2.60314e-05-0j 0.0142243-0j -2.14748e-05-0j 0.00454474-0j -6.86131e-06-0j 0.0239707-0j 0.00280627-0j -2.44606e-06-0j 0.0265307-0j 0.00310597-0j 0.0209744-0j -2.70729e-06-0j -0.0689806-0j 0.0211917-0j 0.00245549-0j -0.048123-0j -0.00807561-0j 0.00248093-0j -2.1403e-06-0j 0.00865149-0j 7.03904e-06-0j -0.0280717-0j -2.16248e-06-0j 0.0151401-0j -0.00563379-0j 0.00101284-0j 4.91065e-06-0j 0.00883173-0j -0.00328638-0j 0.00177246-0j -8.8283e-07-0j 2.86454e-06-0j 0.00230397-0j 0.00103394-0j -1.54495e-06-0j 0.000269728-0j -9.01222e-07-0j -2.35106e-07-0j 
0.00431103-0j -8.97958e-05-0j -0.00606199-0j -0.025329-0j -0.000511988-0j 0.0532575-0j -0.0242501-0j 0.0312569-0j 0.000338682-0j -0.0046588-0j 6.62856e-06-0j -9.11803e-05-0j -0.000303485-0j -0.000304678-0j 0.00417463-0j -1.39374e-05-0j 0.00419105-0j 0.000191718-0j 0.000426747-0j -0.00587019-0j -0.000281934-0j 0.00387819-0j 0.000251647-0j -0.00209753-0j -0.000531797-0j 4.82563e-06-0j -4.02226e-05-0j -0.000213923-0j -1.01978e-05-0j 0.000146794-0j -0.000214764-0j 0.00178309-0j -4.32413e-06-0j -0.00122356-0j 0.0017901-0j 0.000452076-0j -0.000446365-0j -0.000310215-0j -0.000291916-0j 0.000453853-0j 0.000451569-0j 3.60425e-05-0j 0.00372054-0j 9.13802e-06-0j 0.000263988-0j 0.00243318-0j -0.00376392-0j 0.000943286-0j 0.000616895-0j -0.000118422-0j -0.0022004-0j -0.000954283-0j 0.000987075-0j -0.000557877-0j 0.000250258-0j 
-0.000807437-0j 0.00050806-0j 0.000296368-0j -0.00487573-0j 0.0111867-0j -0.00348339-0j -0.00497731-0j -0.00205304-0j 3.22555e-05-0j 0.0206965-0j 3.64364e-05-0j 0.0233792-0j -5.85069e-05-0j -5.91132e-05-0j -0.0375406-0j 2.60314e-05-0j -0.0379296-0j 0.0167029-0j 2.14748e-05-0j 0.0137792-0j 6.86131e-06-0j 0.00440252-0j -0.00345987-0j -0.000403766-0j 0.00480979-0j -0.00382938-0j -0.000446887-0j -0.00302739-0j 0.00532347-0j 0.0099565-0j -0.00305876-0j -0.000353295-0j 0.00694596-0j 0.00116192-0j -0.000356957-0j 0.00420857-0j -0.00124873-0j -0.0138412-0j 0.00405181-0j 0.00425218-0j -0.00218529-0j 0.000810591-0j -0.000145727-0j -0.00965602-0j -0.00127475-0j 0.000472845-0j -0.000255022-0j 0.00173595-0j -0.00563268-0j -0.00033255-0j -0.000148763-0j 0.00303791-0j -3.88085e-05-0j 0.00177211-0j 0.000462299-0j 
-0.00251477-0j 0.00606199-0j -0.00697802-0j 0.0147753-0j -0.0335796-0j 0.010556-0j 0.0135423-0j 0.0074485-0j -0.000197565-0j 0.00271763-0j 0.000434746-0j -0.00598022-0j -0.00018222-0j -0.000165301-0j 0.00250656-0j 0.000310598-0j 0.00227383-0j -0.00427248-0j -0.000505627-0j 0.00695524-0j 0.000535249-0j -0.00736271-0j -0.000146794-0j 0.00122356-0j 0.000310215-0j 0.000316498-0j -0.00263807-0j -0.000128445-0j -0.000668843-0j -8.56299e-05-0j -0.000116519-0j 0.00107061-0j 0.000291916-0j 0.000713743-0j 0.000971208-0j 0.000271438-0j -5.29808e-05-0j 0.000180959-0j -0.000336028-0j 0.000246235-0j -8.32451e-05-0j -0.00243318-0j 0.000441606-0j -0.000616895-0j -6.47516e-05-0j 0.00280086-0j 0.000693865-0j 0.000111962-0j 0.000710115-0j 0.000615869-0j 0.000539718-0j 0.000175919-0j -0.0051334-0j 0.000136837-0j -0.00130149-0j 
0.00351994-0j -7.3318e-05-0j -0.00494959-0j 0.000438613-0j 8.86589e-06-0j -0.000922239-0j 0.000419931-0j -0.000541264-0j -0.026438-0j 3.99141e-05-0j -0.000517434-0j 7.81184e-07-0j 0.0236904-0j 0.0237835-0j -3.5766e-05-0j 0.00108797-0j -3.59066e-05-0j -1.64254e-06-0j -0.0333124-0j 5.02926e-05-0j 0.0220081-0j -3.32263e-05-0j -0.0296622-0j -0.00347258-0j 3.02684e-06-0j -0.000568809-0j -6.65909e-05-0j 0.0252156-0j 5.80434e-08-0j -0.017303-0j 0.0253147-0j 0.00295201-0j 0.000509695-0j -0.00202567-0j 0.00296362-0j -2.57309e-06-0j 0.0526141-0j 1.76566e-06-0j 0.0344088-0j -2.58321e-06-0j -0.0532275-0j 5.96704e-05-0j 0.00615957-0j -5.20112e-08-0j -0.0311169-0j 0.00402826-0j -0.00623138-0j -5.36893e-06-0j -3.5112e-06-0j 0.0139587-0j -0.00364288-0j 5.43153e-06-0j 0.00163416-0j 3.17529e-06-0j -1.4244e-06-0j 
-0.000699261-0j 0.000439993-0j 0.000256663-0j -0.0020891-0j 0.00479317-0j -0.00149253-0j -0.00213262-0j -0.000879663-0j -0.00536921-0j -0.000384252-0j -0.00606517-0j -0.000434058-0j 0.00973899-0j 0.00983992-0j 0.000696978-0j -0.00433316-0j 0.000704201-0j -0.000310106-0j -0.00357468-0j -0.000255825-0j -0.00114213-0j -8.17372e-05-0j 2.07555e-05-0j 0.0332526-0j -4.38619e-05-0j 2.29721e-05-0j 0.0368039-0j 1.81611e-05-0j -4.85462e-05-0j -5.97282e-05-0j 1.83493e-05-0j 0.029096-0j -4.16682e-05-0j -0.0956912-0j 0.0293976-0j -3.83791e-05-0j 7.49106e-06-0j 0.000126221-0j -2.43065e-05-0j -3.87768e-05-0j 1.31094e-05-0j -0.0667571-0j 0.0120015-0j 8.80559e-05-0j 7.64712e-06-0j -0.0389417-0j 0.0210026-0j -1.58306e-05-0j 5.1366e-05-0j 1.99494e-06-0j 0.0122515-0j -2.77035e-05-0j 0.00319611-0j -1.61604e-05-0j -4.21583e-06-0j 
