-0.0108038-0j -0.0115063-0j -0.0086297-0j -0.00871913-0j 0.03716-0j -0.00932114-0j -0.00704612-0j -0.00543733-0j -0.00488169-0j 0.0405533-0j -0.00503399-0j -0.00779863-0j -0.00719291-0j -0.00296693-0j 0.0314124-0j -0.00435956-0j 0.031738-0j -0.0276827-0j -0.00440474-0j -0.00557161-0j -0.00459634-0j 0.0354841-0j -0.00146855-0j -0.0996812-0j -0.00254308-0j 0.0206991-0j -0.0197775-0j -0.00445039-0j -0.0282594-0j -0.00259606-0j 0.0146365-0j -0.0116564-0j -0.000677246-0j -0.000574543-0j 0.0147881-0j -0.00129803-0j 0.00668199-0j -0.00107082-0j 0.00147324-0j -0.000483848-0j -0.000130654-0j -1.96786e-05-0j 
0.0163737-0j -0.016834-0j 0.0130787-0j -0.0132063-0j 0.011416-0j -0.0136371-0j -0.0316935-0j 0.00739872-0j 0.00739843-0j -0.0120268-0j 0.00762924-0j 0.0338628-0j -0.0108946-0j 0.0212522-0j 0.00965031-0j -0.0458258-0j -0.00974446-0j -0.0184879-0j 0.0462729-0j -0.00815142-0j 0.00625436-0j 0.0312327-0j 0.0233388-0j -0.00405047-0j -0.0114388-0j -0.0169451-0j 0.00445039-0j 0.0200059-0j -0.0063552-0j -0.0551905-0j -0.0043407-0j 0.0123971-0j -0.055373-0j 0.000870745-0j 0.00407901-0j -0.00196604-0j 0.0215261-0j 0.00767034-0j 0.0125821-0j 0.0133293-0j 0.00779246-0j 0.00203562-0j 
0.0189067-0j 0.000348873-0j -0.0146721-0j -0.0147297-0j -0.0259239-0j -0.000274574-0j 0.0123307-0j -0.0185361-0j 0.00854297-0j -0.000490169-0j -0.0259269-0j 0.000236456-0j 0.0118055-0j -0.0152165-0j 0.0212904-0j -0.00741205-0j 0.0213741-0j -0.0354841-0j -0.00744119-0j -0.000497179-0j 0.015223-0j 0.000416688-0j -0.0100572-0j -0.000663135-0j -0.0218719-0j 0.02813-0j 0.0746099-0j 0.0221269-0j -0.0339727-0j 0.0129354-0j 0.000869449-0j 0.0437887-0j -0.0058027-0j -0.00890593-0j -0.059147-0j 0.0151002-0j -0.0177231-0j 0.0269906-0j 0.00604202-0j 0.0122009-0j 0.00152416-0j -0.000303971-0j 
0.00668454-0j 0.00711914-0j -0.0262408-0j 0.00539469-0j 0.00466057-0j -0.0283433-0j 0.00435956-0j 0.00336418-0j 0.00302039-0j 0.00508616-0j 0.0389093-0j 0.00482515-0j -0.0218719-0j 0.00183569-0j -0.0193621-0j -0.0132564-0j 0.00398055-0j 0.00254308-0j 0.0027253-0j 0.0430647-0j -0.0139763-0j -0.0218719-0j 0.000908621-0j 0.00171296-0j 0.0113945-0j 0.00259606-0j 0.0226971-0j 0.0343984-0j -0.0127586-0j -0.00789397-0j 0.0132936-0j 0.00107082-0j 0.000419025-0j -0.0907008-0j 0.0231699-0j -0.0535244-0j -0.00411867-0j 0.00479793-0j 0.000184772-0j 0.00373981-0j -0.000397286-0j 1.21755e-05-0j 
-0.0110289-0j 0.0228814-0j -0.00880948-0j -0.00799153-0j 0.0151223-0j 0.0185361-0j -0.00719291-0j -0.0213371-0j -0.0049834-0j -0.0321486-0j -0.00513887-0j 0.0155084-0j -0.00659267-0j -0.00362609-0j 0.0127833-0j -0.00445039-0j 0.0115964-0j 0.0206991-0j -0.00403717-0j 0.0110797-0j -0.0180369-0j -0.02813-0j 0.0190936-0j -0.0434929-0j -0.00259606-0j 0.0323808-0j 0.0147881-0j -0.00407901-0j 0.0189718-0j -0.00317283-0j -0.0116031-0j 0.0104348-0j 0.0301776-0j -0.000586512-0j 0.023134-0j -0.00118971-0j -0.034633-0j -0.00130872-0j -0.0582973-0j 0.0215599-0j 0.0238998-0j 0.00905945-0j 
-0.0116979-0j 0.0120268-0j 0.0274996-0j 0.00943503-0j -0.008156-0j -0.0286737-0j -0.00762924-0j -0.0052859-0j -0.00528569-0j 0.00859235-0j -0.00483876-0j 0.00815142-0j -0.0229074-0j -0.0151833-0j 0.020291-0j 0.0138923-0j 0.00696178-0j -0.00445039-0j 0.0047664-0j 0.00516995-0j 0.0131506-0j -0.0221269-0j -0.016674-0j 0.0028938-0j -0.0343984-0j -0.00407901-0j -0.00282261-0j 0.00427522-0j -0.0133626-0j 0.0390998-0j 0.0387409-0j -0.00885695-0j -0.0133293-0j -0.0367179-0j -0.00258707-0j 0.0447663-0j 0.0452613-0j -0.068458-0j -0.00898912-0j -0.00845399-0j 0.0163846-0j -0.00145431-0j 
0.0068238-0j -0.0212987-0j -0.00529542-0j 0.0260286-0j 0.00475767-0j 0.0167627-0j 0.00445039-0j 0.0041116-0j 0.00308332-0j -0.0152165-0j -0.00935751-0j -0.0144357-0j -0.0208612-0j -0.0260716-0j -0.00390731-0j -0.00267515-0j 0.0192056-0j 0.00259606-0j 0.0131492-0j 0.0303528-0j -0.00337671-0j 0.0129354-0j -0.0172698-0j -0.00512474-0j -0.00789397-0j 0.00317283-0j -0.00545855-0j -0.0390998-0j -0.012169-0j 0.0221632-0j 0.0269906-0j -0.0152084-0j 0.0134502-0j -0.00321432-0j -0.00667127-0j -0.0266832-0j 0.015475-0j 0.0462451-0j 0.0382937-0j -0.0282807-0j -0.0469194-0j 0.0304507-0j 
-0.00178016-0j 0.00928238-0j -0.00142192-0j -0.0261146-0j -0.00124115-0j 0.00751959-0j -0.00116099-0j 0.0391065-0j -0.00080436-0j 0.00663165-0j -0.000829454-0j 0.00629134-0j -0.0215435-0j -0.0153716-0j -0.00104919-0j -0.000718328-0j -0.0192691-0j -0.000677246-0j -0.0131926-0j 0.00449475-0j 0.0330579-0j 0.0058027-0j -0.0341717-0j 0.00223346-0j -0.000419025-0j 0.0301776-0j -0.000483848-0j -0.0133293-0j -0.012567-0j -0.0134502-0j 0.00239349-0j -0.00896679-0j 0.0169671-0j -9.46677e-05-0j 0.0215599-0j -0.00388772-0j -0.0315176-0j -0.00554792-0j 0.0484533-0j 0.0121219-0j 0.0195134-0j -0.0906717-0j 
0.0120867-0j 0.0128726-0j 0.00965442-0j 0.00975447-0j -0.0506434-0j -0.062668-0j 0.0078828-0j -0.0365563-0j 0.00546136-0j 0.0091966-0j 0.00563174-0j 0.00872466-0j 0.00804702-0j 0.00331923-0j 0.00712365-0j 0.00487723-0j 0.00719748-0j 0.0045983-0j 0.00492778-0j 0.0062332-0j 0.00514213-0j 0.00804702-0j 0.00164293-0j 0.0030973-0j 0.00284505-0j 0.0046941-0j 0.00328518-0j 0.00497884-0j 0.0046941-0j 0.00290432-0j 0.00331923-0j 0.00193622-0j 0.000757664-0j 0.000642766-0j 0.00335362-0j 0.00145216-0j 0.00151533-0j 0.00119797-0j 0.000334099-0j 0.000541302-0j 0.000146168-0j 2.20153e-05-0j 
-0.00174457-0j -0.00185799-0j -0.0013935-0j -0.00140794-0j 0.00730974-0j 0.00904534-0j -0.00113778-0j 0.00527645-0j -0.00078828-0j -0.00132741-0j -0.000812872-0j -0.0012593-0j -0.00116149-0j -0.000479089-0j -0.00102821-0j -0.000703968-0j -0.00103887-0j -0.000663707-0j -0.000711263-0j -0.000899685-0j -0.000742202-0j -0.00116149-0j -0.000237137-0j -0.000447057-0j -0.000410648-0j -0.000677535-0j -0.000474175-0j -0.000718634-0j -0.000677535-0j -0.000419203-0j -0.000479089-0j -0.000279469-0j -0.000109359-0j -9.27752e-05-0j -0.000484054-0j -0.000209602-0j -0.000218719-0j -0.000172912-0j -4.8223e-05-0j -7.81302e-05-0j -2.10976e-05-0j -3.17763e-06-0j 
