-0.412196-0j -0.00790435-0j -0.360672-0j -0.240448-0j 0.351782-0j -0.00729043-0j -0.148769-0j 0.478156-0j 0.251325-0j 0.445081-0j 0.193975-0j -0.0549092-0j -0.00103822-0j -0.0464165-0j 0.0452724-0j -0.0423722-0j -0.000908445-0j -0.00060563-0j 0.059582-0j -0.0302722-0j 0.0417561-0j -0.000374715-0j 0.0522888-0j 0.0425674-0j 0.0386391-0j 0.0127975-0j -0.0362051-0j -0.00522576-0j -0.000677545-0j -9.77952e-05-0j -0.0298677-0j 0.0291315-0j -0.00431103-0j 0.00420478-0j -0.0267145-0j -0.0182902-0j -0.00385591-0j -0.00263996-0j -0.000572749-0j 0.0375648-0j -8.26692e-05-0j -0.000522846-0j 0.00542201-0j -0.0184797-0j -7.54663e-05-0j -0.0174228-0j 0.0254901-0j -0.00266732-0j 0.0169934-0j -0.00251477-0j 0.00367918-0j 0.0319198-0j -0.000373539-0j 0.00245279-0j 0.00460723-0j -0.00538991-0j -5.39157e-05-0j 0.0346472-0j 0.0105141-0j -0.000777967-0j 0.0222383-0j 0.00500089-0j 0.00151758-0j 0.0228046-0j 0.00320983-0j 0.00329156-0j 0.0140554-0j 0.00376105-0j 0.00202873-0j 0.000542861-0j 
-0.0198494-0j -0.000380635-0j -0.0173682-0j 0.0571206-0j 0.0169401-0j 0.000690419-0j -0.00716401-0j -0.0452823-0j 0.0121026-0j 0.0214329-0j 0.00934089-0j -0.00264416-0j -4.99958e-05-0j -0.00223519-0j 0.0021801-0j 0.00401274-0j -4.37463e-05-0j 0.000143873-0j 0.00286918-0j 0.00286684-0j -0.00395439-0j -1.80444e-05-0j -0.00495186-0j 0.00204984-0j 0.00186067-0j 0.000616267-0j -0.00174346-0j -0.000251647-0j -3.26272e-05-0j -4.70934e-06-0j -0.00143828-0j 0.00140283-0j -0.000207598-0j 0.000202481-0j 0.00252992-0j -0.000880765-0j 0.000365162-0j -0.000127127-0j -2.75808e-05-0j 0.00180894-0j -3.98095e-06-0j 4.95146e-05-0j 0.000261097-0j -0.000889892-0j 7.14681e-06-0j 0.00413895-0j 0.00122748-0j -0.000128445-0j -0.00403694-0j 0.000597406-0j 0.000177171-0j 0.0015371-0j 3.53749e-05-0j -0.000582682-0j 0.000221861-0j -0.000259552-0j 5.10593e-06-0j -0.00328116-0j 0.000506309-0j -3.74631e-05-0j -0.00210601-0j -0.000473594-0j 7.30794e-05-0j 0.00109816-0j -0.000303977-0j 0.000158505-0j 0.00067684-0j 0.000181114-0j 9.76935e-05-0j 2.61415e-05-0j 
0.000250636-0j 0.000277403-0j -0.000650883-0j 0.000146204-0j -0.000657628-0j 0.000255857-0j 9.04593e-05-0j 0.00014925-0j 0.000158304-0j 9.23439e-05-0j 2.40902e-05-0j -0.00478955-0j -0.00522692-0j -0.00404875-0j -0.00409071-0j 0.0109694-0j 0.0135739-0j -0.00304904-0j 0.00791813-0j -0.00264054-0j -0.00377299-0j -0.00188649-0j -0.00155628-0j -0.00190604-0j -0.000861242-0j -0.000189886-0j 2.20145e-05-0j 0.0432881-0j 2.37784e-05-0j 0.0467565-0j 1.81611e-05-0j 1.83493e-05-0j 0.0357109-0j 0.036081-0j 1.62438e-05-0j -7.71358e-05-0j 0.0319408-0j -0.151675-0j 2.01006e-05-0j 1.17254e-05-0j 0.0395247-0j -5.44591e-05-0j 0.0230561-0j -3.33493e-05-0j -0.107085-0j 1.0594e-05-0j -4.76517e-05-0j -0.0655761-0j 1.07037e-05-0j 0.0208314-0j -0.0936997-0j -1.96553e-05-0j 1.31094e-05-0j 0.0210472-0j -0.0386491-0j 3.27734e-06-0j 0.0257775-0j 1.08147e-05-0j 6.6226e-06-0j 0.00644437-0j 3.45534e-06-0j 0.0212653-0j 0.0130223-0j 4.73142e-06-0j 0.00679438-0j 0.00930359-0j 1.74557e-06-0j 3.33301e-07-0j 0.00343239-0j 0.000655384-0j 
-0.0121552-0j -0.0134533-0j 0.0313018-0j -0.00709053-0j -0.010746-0j 0.0365188-0j -0.0548049-0j -0.00723825-0j -0.00681555-0j 0.0131803-0j -0.00116831-0j -0.00161921-0j -0.00176707-0j 0.00402837-0j -0.00138295-0j -0.00124951-0j 0.00455053-0j -0.00103079-0j -0.000901943-0j -0.000792488-0j 0.003754-0j -0.00796731-0j -0.000526134-0j -0.000572048-0j 0.000856907-0j -6.41951e-05-0j -0.00106765-0j -0.000154102-0j -0.00115319-0j -0.000166449-0j 0.00259215-0j -0.000889892-0j 0.000374144-0j -0.000128445-0j -0.00078778-0j -0.000539356-0j -0.000113706-0j -7.78494e-05-0j 0.00286898-0j -0.00056865-0j 0.000414102-0j -0.000889892-0j -8.20775e-05-0j -0.000483775-0j -0.000128445-0j 0.00151209-0j 0.00229163-0j -6.9827e-05-0j -0.000519104-0j 0.000218251-0j 0.000330769-0j -0.000321179-0j -0.000564405-0j -7.49262e-05-0j -4.63582e-05-0j -0.00506566-0j -8.14648e-05-0j 0.00154359-0j -0.00401231-0j -0.000731165-0j -0.000167575-0j 0.000222798-0j -0.000579127-0j -0.000203704-0j -2.41874e-05-0j -2.94022e-05-0j 0.000249147-0j -1.61642e-05-0j 3.59613e-05-0j -2.3331e-06-0j 
0.0173682-0j -0.0185569-0j -0.0147645-0j 0.0101314-0j -0.0153454-0j 0.0166284-0j -0.0308072-0j 0.00928598-0j 0.0322657-0j -0.0293837-0j 0.0303446-0j 0.00231364-0j -0.00243742-0j -0.00190011-0j -0.00197487-0j 0.00178538-0j 0.00207203-0j -0.00142183-0j 0.00115711-0j -0.003754-0j 0.00176963-0j 0.00432343-0j 0.00355319-0j -0.00243296-0j -0.00423841-0j 0.00254997-0j 0.00152553-0j 0.000220191-0j -0.00159066-0j -0.000229592-0j -0.00122267-0j -0.00127078-0j -0.000176477-0j -0.000183421-0j 0.00112563-0j 0.000770669-0j 0.000162471-0j 0.000111237-0j 0.00130636-0j 0.000729523-0j 0.000188556-0j -0.00122748-0j 0.000105298-0j -0.00229163-0j -0.000177171-0j -0.000713225-0j 0.00108028-0j -0.000330769-0j -0.000741286-0j -0.000102945-0j 0.000155924-0j 0.00216905-0j 0.00258093-0j -0.000106995-0j 0.000313075-0j -0.00156389-0j 0.000372525-0j -0.000653707-0j 0.00225407-0j -0.000225729-0j 0.00251085-0j -9.43545e-05-0j 0.000325347-0j -0.0045607-0j 0.00036241-0j -0.00065828-0j -0.00213618-0j 0.000908931-0j -0.00030833-0j 0.000131193-0j 
0.0035089-0j 6.72874e-05-0j 0.00307029-0j -0.0100976-0j -0.00299461-0j -0.00012205-0j 0.00126643-0j 0.00800486-0j -0.00213946-0j -0.00378885-0j -0.00165125-0j -0.0220396-0j -0.000416725-0j -0.0186308-0j 0.0181716-0j 0.033447-0j -0.000364634-0j 0.00119921-0j 0.0239152-0j 0.0238957-0j -0.0329606-0j -0.000150404-0j -0.0412747-0j 0.0170858-0j 0.0155091-0j 0.00513671-0j -0.0294658-0j -0.00423955-0j -0.000551425-0j -7.93391e-05-0j -0.0243081-0j 0.0237089-0j -0.00349745-0j 0.00341124-0j 0.0427575-0j -0.0148856-0j 0.00615195-0j -0.00214174-0j -0.000466136-0j 0.0305724-0j -6.70677e-05-0j 0.000836834-0j 0.00439876-0j -0.0150398-0j 0.000120404-0j 0.0699514-0j 0.0207453-0j -0.00216393-0j -0.0682273-0j 0.0100646-0j 0.00298484-0j 0.0259782-0j 0.000597863-0j -0.00981655-0j 0.00373774-0j -0.00438662-0j 8.60206e-05-0j -0.055454-0j 0.008557-0j -0.000631148-0j -0.0355932-0j -0.00797873-0j 0.00123118-0j 0.0185597-0j -0.00512116-0j 0.00267037-0j 0.0114391-0j 0.00306096-0j 0.00164586-0j 0.000440411-0j 
0.00214876-0j 0.00237824-0j -0.00553344-0j 0.00125344-0j 0.00189964-0j -0.00645567-0j 0.00968823-0j 0.00127955-0j 0.00120483-0j -0.00232998-0j 0.00020653-0j -0.0134965-0j -0.0147289-0j 0.0335773-0j -0.0115272-0j -0.0104149-0j 0.0379296-0j -0.00859186-0j -0.00751788-0j -0.00660555-0j 0.0312903-0j -0.0664091-0j -0.00438543-0j -0.00476814-0j 0.0071425-0j -0.000535079-0j -0.0180441-0j -0.00259618-0j -0.0194898-0j -0.0028042-0j 0.0438092-0j -0.0150398-0j 0.00630328-0j -0.00216393-0j -0.0133141-0j -0.00911552-0j -0.00191563-0j -0.00131154-0j 0.048488-0j -0.00961061-0j 0.00697645-0j -0.0150398-0j -0.00138278-0j -0.00817617-0j -0.00216393-0j 0.0255554-0j 0.0387303-0j -0.00117639-0j -0.00877324-0j 0.00367691-0j 0.00557252-0j -0.00542817-0j -0.00953886-0j -0.0012623-0j -0.000781005-0j -0.0856134-0j -0.00137245-0j 0.0260878-0j -0.0678111-0j -0.0123181-0j -0.00283214-0j 0.00375352-0j -0.00975667-0j -0.00344276-0j -0.000407489-0j -0.000495344-0j 0.00421078-0j -0.000273188-0j 0.000605847-0j -3.93062e-05-0j 
-0.00716401-0j 0.0232378-0j -0.00626851-0j -0.00417901-0j -0.0299344-0j 0.0214329-0j -0.00258563-0j -0.00510746-0j -0.0213862-0j 0.0367227-0j -0.0216514-0j -0.000954328-0j 0.00305225-0j -0.000806723-0j -0.0038524-0j -0.000736434-0j 0.00267071-0j 0.00178048-0j -0.00063643-0j -0.000526134-0j -0.00355319-0j 0.00110161-0j 0.00431423-0j -0.000454687-0j 0.00319505-0j -0.00768124-0j -0.000629249-0j -9.08242e-05-0j 0.0019919-0j 0.000287505-0j -0.000519104-0j -0.00247891-0j -7.49262e-05-0j -0.0003578-0j -0.000464301-0j -0.000317885-0j -6.7016e-05-0j -4.58827e-05-0j 0.00168381-0j -0.000401251-0j 0.000243037-0j 0.0015371-0j -5.79156e-05-0j -0.000321179-0j 0.000221861-0j -0.000302811-0j -0.00216905-0j -4.63582e-05-0j -0.00144603-0j -4.37069e-05-0j -0.000313075-0j 0.00263363-0j 0.00109816-0j -0.000208717-0j 0.000380132-0j -9.36772e-05-0j 0.000158505-0j -0.000370086-0j -0.000894687-0j -1.35211e-05-0j 0.00183888-0j -5.34173e-05-0j -0.000129137-0j 0.00188156-0j 0.000265419-0j 0.000271579-0j -0.00156886-0j -0.00557538-0j -0.000226446-0j -0.000804737-0j 
-0.000292409-0j -5.60728e-06-0j -0.000255857-0j 0.000841465-0j 0.000249551-0j 1.01708e-05-0j -0.000105536-0j -0.000667072-0j 0.000178288-0j 0.000315737-0j 0.000137604-0j 0.00558781-0j 0.000105654-0j 0.00472355-0j -0.00460712-0j -0.00847997-0j 9.24475e-05-0j -0.000304042-0j -0.00606333-0j -0.00605838-0j 0.00835667-0j 3.81326e-05-0j 0.0104646-0j -0.00433185-0j -0.00393209-0j -0.00130233-0j -2.56836e-05-0j -0.0505028-0j -4.80645e-07-0j -0.000945113-0j -2.11879e-05-0j 2.06657e-05-0j -0.0416627-0j 0.0406358-0j 3.72692e-05-0j -1.29749e-05-0j 0.073284-0j -0.0255131-0j -4.06304e-07-0j 2.66481e-05-0j -0.000798932-0j 7.29419e-07-0j 0.0523994-0j -1.31094e-05-0j 0.00143429-0j 6.09725e-05-0j 1.80825e-05-0j -0.0257775-0j -5.94697e-05-0j 0.119893-0j 0.0355563-0j 2.26436e-05-0j 5.21122e-07-0j -0.116938-0j 0.0445252-0j -3.82356e-06-0j 0.0010247-0j -4.8336e-05-0j 7.45864e-06-0j -0.00751843-0j -3.10245e-05-0j -0.0950451-0j 0.0146662-0j 1.61774e-05-0j -0.0610049-0j 0.0318103-0j 9.9708e-06-0j 2.66806e-06-0j 0.019606-0j 0.00524632-0j 
-0.00307029-0j 0.00328044-0j 0.00261003-0j -0.001791-0j 0.00271271-0j -0.00293951-0j 0.00544599-0j -0.00164155-0j -0.00570383-0j 0.00519434-0j -0.00536422-0j 0.0192847-0j -0.0203164-0j -0.0158378-0j -0.016461-0j 0.0148815-0j 0.0172708-0j -0.0118512-0j 0.00964472-0j -0.0312903-0j 0.0147502-0j 0.0360367-0j 0.0296165-0j -0.0202793-0j -0.035328-0j 0.0212546-0j 0.0257826-0j 0.0037096-0j -0.0268834-0j -0.00386799-0j -0.0206641-0j -0.0214771-0j -0.00297315-0j -0.00309012-0j 0.0190241-0j 0.0130249-0j 0.00273718-0j 0.00187402-0j 0.0220784-0j 0.0123295-0j 0.00317664-0j -0.0207453-0j 0.00177397-0j -0.0387303-0j -0.00298484-0j -0.012054-0j 0.0182575-0j -0.00557252-0j -0.0125283-0j -0.00173434-0j 0.00262688-0j 0.0366585-0j 0.0436196-0j -0.00180257-0j 0.00527443-0j -0.026431-0j 0.006276-0j -0.0110481-0j 0.0380954-0j -0.00380289-0j 0.0424353-0j -0.00158961-0j 0.00548117-0j -0.0770792-0j 0.00610559-0j -0.0110902-0j -0.036103-0j 0.0153616-0j -0.0051945-0j 0.00221023-0j 
-0.000179063-0j -0.000198186-0j 0.00046112-0j -0.000104453-0j -0.000158304-0j 0.000537973-0j -0.000807352-0j -0.000106629-0j -0.000100402-0j 0.000194165-0j -1.72108e-05-0j 0.00342182-0j 0.00373429-0j -0.00851302-0j 0.00292254-0j 0.00264054-0j -0.00961648-0j 0.00217834-0j 0.00190604-0j 0.00167474-0j -0.00793319-0j 0.016837-0j 0.00111186-0j 0.00120889-0j -0.00181087-0j 0.000135661-0j -1.57279e-05-0j -0.0309265-0j -1.69881e-05-0j -0.0334045-0j 3.81859e-05-0j -1.31094e-05-0j 0.0750867-0j -0.0257775-0j -1.16051e-05-0j -7.94547e-06-0j -0.0228196-0j -0.0156235-0j 4.22641e-05-0j -8.377e-06-0j 0.0831057-0j -1.31094e-05-0j -0.0164721-0j -7.12669e-06-0j -0.0257775-0j 2.22751e-05-0j 3.3759e-05-0j -0.0140135-0j -7.64712e-06-0j 0.0438006-0j 0.0663817-0j -4.73142e-06-0j -8.31447e-06-0j -0.0150369-0j -0.00930359-0j -7.46242e-05-0j -0.0163491-0j 2.27392e-05-0j -5.91069e-05-0j -0.146737-0j -2.46861e-06-0j 0.0447131-0j -0.116225-0j -3.00085e-06-0j -0.00485414-0j -0.0059007-0j 3.67029e-06-0j -2.38122e-07-0j 0.00721704-0j -0.000468229-0j 
0.00126643-0j -0.0041079-0j 0.00110813-0j 0.000738751-0j 0.00529171-0j -0.00378885-0j 0.000457079-0j 0.00090288-0j 0.00378058-0j -0.00649171-0j 0.00382747-0j -0.00795452-0j 0.0254411-0j -0.0067242-0j -0.0321105-0j -0.00613832-0j 0.022261-0j 0.0148406-0j -0.00530477-0j -0.00438543-0j -0.0296165-0j 0.00918217-0j 0.03596-0j -0.00378991-0j 0.0266314-0j -0.0640247-0j -0.0106348-0j -0.00153013-0j 0.0336645-0j 0.00484366-0j -0.00877324-0j -0.0418955-0j -0.0012623-0j -0.00602792-0j -0.00784703-0j -0.00537249-0j -0.00112903-0j -0.000772995-0j 0.0284577-0j -0.00678144-0j 0.00409449-0j 0.0259782-0j -0.000975714-0j -0.00542817-0j 0.00373774-0j -0.00511773-0j -0.0366585-0j -0.000781005-0j -0.024439-0j -0.000736339-0j -0.00527443-0j 0.0445103-0j 0.0185597-0j -0.00351629-0j 0.00640415-0j -0.00158322-0j 0.00267037-0j -0.00625473-0j -0.0151209-0j -0.000227793-0j 0.0310784-0j -0.000899932-0j -0.00217559-0j 0.0317997-0j 0.00447156-0j 0.00457534-0j -0.0265149-0j -0.0942281-0j -0.00381497-0j -0.0135575-0j 
0.000255857-0j -0.00027337-0j -0.000217502-0j 0.00014925-0j -0.00022606-0j 0.000244959-0j -0.000453833-0j 0.000136795-0j 0.000475319-0j -0.000432862-0j 0.000447019-0j -0.00488933-0j 0.00515092-0j 0.00401544-0j 0.00417343-0j -0.00377299-0j -0.00437875-0j 0.0030047-0j -0.00244527-0j 0.00793319-0j -0.0037397-0j -0.00913655-0j -0.00750882-0j 0.0051415-0j 0.00895688-0j -0.00538877-0j 2.24732e-05-0j 0.04419-0j -2.34327e-05-0j -0.0460767-0j -1.80116e-05-0j -1.87203e-05-0j -0.0354171-0j -0.0368105-0j 1.65822e-05-0j 1.1353e-05-0j 0.0326062-0j 0.022324-0j 1.92445e-05-0j 1.07469e-05-0j 0.0378412-0j -1.80825e-05-0j 0.0211321-0j -3.3759e-05-0j -0.0355563-0j -1.05068e-05-0j 1.5914e-05-0j -0.0663817-0j -1.09202e-05-0j -0.02066-0j 0.0312923-0j 3.19531e-05-0j 3.80207e-05-0j -0.0214728-0j 0.0628307-0j -2.30383e-05-0j 0.0747617-0j -9.63001e-06-0j 3.32055e-05-0j -0.0453013-0j 3.69883e-05-0j -0.0189359-0j 0.0652935-0j -6.71854e-05-0j 0.0727317-0j -0.13211-0j -3.14688e-05-0j 1.33898e-05-0j -0.0618786-0j 0.026329-0j 
-0.000105536-0j 0.000342325-0j -9.23439e-05-0j -6.15626e-05-0j -0.000440976-0j 0.000315737-0j -3.80899e-05-0j -7.524e-05-0j -0.000315048-0j 0.000540976-0j -0.000318956-0j 0.00201675-0j -0.0064502-0j 0.00170482-0j 0.00814113-0j 0.00155628-0j -0.00564392-0j -0.00376262-0j 0.00134494-0j 0.00111186-0j 0.00750882-0j -0.002328-0j -0.00911711-0j 0.000960874-0j -0.00675198-0j 0.0162325-0j -9.26971e-06-0j -0.0182274-0j 2.93434e-05-0j 0.0576992-0j -7.64712e-06-0j -3.65178e-05-0j -0.0150369-0j -0.0718066-0j -6.83979e-06-0j -4.68289e-06-0j -0.0134494-0j -0.00920816-0j 2.48049e-05-0j -5.91098e-06-0j 0.0487749-0j 2.26436e-05-0j -0.011623-0j -4.73142e-06-0j 0.0445252-0j -4.46082e-06-0j -3.19531e-05-0j -0.00930359-0j -2.13021e-05-0j -0.00877151-0j -0.0628307-0j 3.8797e-05-0j 1.61774e-05-0j -0.0418872-0j 0.0762883-0j -1.38e-06-0j 0.0318103-0j -5.45188e-06-0j -1.318e-05-0j -0.00271355-0j 2.70892e-05-0j -0.0107203-0j -0.0259164-0j 2.77179e-05-0j 0.0532667-0j 0.054503-0j -2.31115e-05-0j -8.21331e-05-0j -0.0454452-0j -0.161502-0j 
0.0131374-0j -0.0578057-0j 0.0114953-0j 0.00766351-0j 0.0116144-0j 0.0134111-0j 0.00474155-0j 0.00782316-0j 0.00829772-0j 0.00484034-0j 0.00126272-0j 0.00175006-0j 0.00190987-0j -0.00588127-0j -0.00594222-0j 0.00135048-0j 0.00167113-0j 0.00111409-0j 0.000974828-0j 0.00096483-0j 0.00137862-0j 0.000689308-0j 0.00056865-0j 0.000696451-0j 0.00031469-0j 6.93826e-05-0j 0.00115392-0j 0.000166555-0j 0.00124638-0j 0.000179899-0j 0.000951938-0j 0.000961803-0j 0.0001374-0j 0.000138824-0j -0.0033849-0j 0.000582941-0j -0.000488568-0j 8.41403e-05-0j -0.0041886-0j -0.00244335-0j -0.000604573-0j 0.000961803-0j -0.000352667-0j 0.000588982-0j 0.000138824-0j 0.000555297-0j 0.000841578-0j 8.50122e-05-0j 0.000561052-0j 8.01503e-05-0j 0.000121471-0j 0.000347133-0j 0.000687145-0j 8.09809e-05-0j 5.01044e-05-0j 0.000171786-0j 9.91809e-05-0j 0.000566866-0j 0.000347133-0j 2.47952e-05-0j 0.000181116-0j 8.18201e-05-0j 5.01044e-05-0j 0.000248004-0j 2.61419e-05-0j 3.57963e-05-0j 9.14967e-05-0j 1.74704e-05-0j 1.32064e-05-0j 2.52164e-06-0j 
-0.00218957-0j 0.00963429-0j -0.00191588-0j -0.00127725-0j -0.00193573-0j -0.00223519-0j -0.000790259-0j -0.00130386-0j -0.00138295-0j -0.000806723-0j -0.000210453-0j 0.0137528-0j 0.0150087-0j -0.046218-0j -0.0466969-0j 0.0106128-0j 0.0131326-0j 0.00875508-0j 0.00766069-0j 0.00758212-0j 0.0108339-0j 0.00541693-0j 0.00446874-0j 0.00547306-0j 0.00247299-0j 0.000545244-0j -0.000192321-0j 0.0026455-0j -0.00020773-0j 0.00285746-0j -0.000158656-0j -0.000160301-0j 0.00218242-0j 0.00220504-0j 0.00056415-0j -9.71568e-05-0j -0.00776026-0j 0.00133646-0j 0.0006981-0j 0.000407225-0j -0.00960284-0j -0.000160301-0j -0.00560165-0j -9.81636e-05-0j 0.00220504-0j -9.25496e-05-0j -0.000140263-0j 0.00135031-0j -9.35087e-05-0j 0.00127308-0j 0.00192941-0j -5.78555e-05-0j -0.000114524-0j 0.00128627-0j 0.000795841-0j -2.86311e-05-0j 0.00157536-0j -9.44777e-05-0j -5.78555e-05-0j 0.000393839-0j -3.01861e-05-0j 0.0012996-0j 0.000795841-0j -4.1334e-05-0j 0.00041523-0j 0.000568577-0j -1.52494e-05-0j -2.91174e-06-0j 0.000209766-0j 4.00529e-05-0j 
-0.0148403-0j -0.000284581-0j 0.0385392-0j -0.00865685-0j -0.0375893-0j -0.000262478-0j -0.00535615-0j 0.0172151-0j 0.00904847-0j 0.0160243-0j 0.00698369-0j -0.0019769-0j -3.73792e-05-0j -0.00167113-0j 0.00162994-0j 0.00452765-0j 9.70711e-05-0j -2.18045e-05-0j -0.00636658-0j -0.00108989-0j 0.00150335-0j -1.34909e-05-0j 0.00188256-0j 0.00153256-0j 0.00139113-0j 0.00046075-0j -0.0013035-0j -0.000188143-0j -2.43937e-05-0j -3.52092e-06-0j -0.00107533-0j 0.00104882-0j -0.00015521-0j 0.000151385-0j -0.000961803-0j 0.00456726-0j -0.000138824-0j 0.000659227-0j -2.06207e-05-0j 0.00135245-0j -2.97634e-06-0j 5.58682e-05-0j 0.000195209-0j 0.00197463-0j 8.06389e-06-0j -0.000627275-0j -0.00272372-0j 0.000285014-0j 0.000611814-0j -9.05394e-05-0j -0.000393135-0j -0.00341076-0j -1.34486e-05-0j 8.83078e-05-0j -0.000492301-0j -0.000194053-0j -1.94113e-06-0j 0.0012474-0j 0.000378541-0j -2.80092e-05-0j 0.000800647-0j 0.000180047-0j 5.46376e-05-0j 0.000821035-0j 0.000115564-0j 0.000118506-0j 0.000506038-0j 0.000135409-0j 7.30403e-05-0j 1.95446e-05-0j 
-0.00134083-0j 0.00589977-0j -0.00117323-0j -0.000782153-0j -0.00118539-0j -0.00136877-0j -0.000483933-0j -0.000798448-0j -0.000846882-0j -0.000494015-0j -0.000128876-0j -0.000178615-0j -0.000194925-0j 0.000600254-0j 0.000606475-0j -0.000137833-0j -0.000170559-0j -0.000113706-0j -9.9493e-05-0j -9.84725e-05-0j -0.000140704-0j -7.03522e-05-0j -5.80376e-05-0j -7.10812e-05-0j -3.21179e-05-0j -7.08133e-06-0j 0.0226369-0j -1.69989e-05-0j 0.0244507-0j -1.83609e-05-0j 0.0186745-0j 0.018868-0j -1.40234e-05-0j -1.41687e-05-0j -0.0664029-0j 0.0114358-0j 4.98643e-05-0j -8.58753e-06-0j -0.0821693-0j -0.0479321-0j 6.17039e-05-0j 0.018868-0j 3.5994e-05-0j 0.0115543-0j -1.41687e-05-0j 0.0108935-0j 0.0165095-0j -8.67652e-06-0j 0.0110064-0j -8.1803e-06-0j -1.23976e-05-0j 0.00680984-0j 0.01348-0j -8.26508e-06-0j -5.11375e-06-0j 0.00337-0j -1.01226e-05-0j 0.0111204-0j 0.00680984-0j -2.53065e-06-0j 0.00355303-0j -8.35073e-06-0j -5.11375e-06-0j 0.00486518-0j -2.6681e-06-0j -3.65344e-06-0j 0.00179492-0j 0.000342724-0j -1.34787e-06-0j -2.57364e-07-0j 
0.000273697-0j -0.00120429-0j 0.000239485-0j 0.000159656-0j 0.000241966-0j 0.000279399-0j 9.87824e-05-0j 0.000162983-0j 0.000172869-0j 0.00010084-0j 2.63067e-05-0j -0.00347467-0j -0.00379196-0j 0.011677-0j 0.011798-0j -0.00268132-0j -0.00331797-0j -0.00221198-0j -0.00193548-0j -0.00191563-0j -0.00273718-0j -0.00136859-0j -0.00112903-0j -0.00138278-0j -0.000624804-0j -0.000137756-0j -0.00229835-0j 0.0154252-0j -0.00248251-0j 0.0166611-0j -0.00189604-0j -0.00191569-0j 0.0127251-0j 0.012857-0j 0.00674195-0j -0.00116109-0j -0.0452479-0j 0.00779251-0j 0.00834274-0j 0.0048666-0j -0.0559915-0j -0.00191569-0j -0.0326617-0j -0.00117312-0j 0.012857-0j -0.00110603-0j -0.00167623-0j 0.00787326-0j -0.00111749-0j 0.00742298-0j 0.0112499-0j -0.00069141-0j -0.00136864-0j 0.00749991-0j 0.00464033-0j -0.000342159-0j 0.00918547-0j -0.00112907-0j -0.00069141-0j 0.00229637-0j -0.000360743-0j 0.00757763-0j 0.00464033-0j -0.000493967-0j 0.00242109-0j 0.00331521-0j -0.000182241-0j -3.47971e-05-0j 0.00122309-0j 0.000233537-0j 
-0.0121171-0j -0.0134111-0j 0.0103006-0j 0.0348693-0j -0.0107123-0j -0.0236334-0j 0.0214929-0j 0.0141901-0j 0.022524-0j 0.0043373-0j -0.00116465-0j -0.00161413-0j -0.00176153-0j 0.00132563-0j -0.00137862-0j 0.00244958-0j 0.00149746-0j 0.00506916-0j -0.000899114-0j -0.00515056-0j -0.00242943-0j 0.00312455-0j 0.00103145-0j 0.0018905-0j 0.000281986-0j -6.39937e-05-0j -0.0010643-0j -0.000153618-0j -0.00114957-0j -0.000165927-0j 0.000853008-0j -0.000887101-0j 0.000123121-0j -0.000128042-0j 0.00154439-0j -0.000537664-0j 0.000222914-0j -7.76052e-05-0j 0.000944106-0j -0.000566866-0j 0.00013627-0j 0.00174458-0j -8.18201e-05-0j 0.00159878-0j 0.000251808-0j -0.0024547-0j 0.000754116-0j 0.000230764-0j 0.00255281-0j -0.000354306-0j 0.000108847-0j -0.000320172-0j -0.00366819-0j 0.000368467-0j -4.62128e-05-0j 0.00109107-0j -0.000529458-0j -0.000998945-0j 0.00157351-0j 0.000157482-0j 0.00032852-0j -0.000144185-0j 0.000227117-0j 0.000673202-0j 4.74177e-05-0j 9.71683e-05-0j 8.19878e-05-0j -1.61135e-05-0j 1.18339e-05-0j -2.32579e-06-0j 
-1.61277e-05-0j 7.09632e-05-0j -1.41118e-05-0j -9.40784e-06-0j -1.4258e-05-0j -1.64637e-05-0j -5.82081e-06-0j -9.60384e-06-0j -1.01864e-05-0j -5.94207e-06-0j -1.55014e-06-0j 0.000411642-0j 0.000449232-0j -0.00138337-0j -0.00139771-0j 0.000317655-0j 0.000393078-0j 0.000262052-0j 0.000229295-0j 0.000226944-0j 0.000324273-0j 0.000162136-0j 0.000133756-0j 0.000163817-0j 7.40202e-05-0j 1.63199e-05-0j -1.41657e-06-0j -0.00561012-0j -1.53008e-06-0j -0.00605962-0j -1.16861e-06-0j -1.18073e-06-0j -0.00462811-0j -0.00467608-0j 4.15536e-06-0j -7.15627e-07-0j 0.0164566-0j -0.00283413-0j 5.14199e-06-0j 2.9995e-06-0j 0.0203641-0j -1.18073e-06-0j 0.011879-0j -7.23043e-07-0j -0.00467608-0j -6.81692e-07-0j -1.03313e-06-0j -0.0028635-0j -6.88756e-07-0j -0.00269973-0j -0.00409157-0j -4.26146e-07-0j -8.43551e-07-0j -0.00272771-0j -0.00168768-0j -2.10888e-07-0j -0.00334075-0j -6.95894e-07-0j -4.26146e-07-0j -0.000835187-0j -2.22341e-07-0j -0.00275598-0j -0.00168768-0j -3.04454e-07-0j -0.000880548-0j -0.00120574-0j -1.12323e-07-0j -2.1447e-08-0j -0.000444837-0j -8.49374e-05-0j 
