-0.179135-0.123916j -0.112142+0.153333j -0.0854059-0.196954j -0.261067+0.251294j 0.406151+0.17813j -0.117913+0.488597j 0.421431+0.0231469j -0.00800062-0.188191j 0.0695855+0.146013j 0.114959+0.0476486j -0.0558547-0.121884j 0.00457873+0.0141554j -0.0206275-0.0717907j 0.0530574-0.0124065j 0.0397541-0.0309801j -0.0716796+0.118789j 0.0258806+0.0647342j -0.00210826+0.000566503j -0.0605674+0.00202116j -0.0763457+0.0164424j -0.00381956-0.0317047j 0.0457161+0.06267j 0.0029037+0.00757843j 0.0237679-0.0463205j 0.00274962-0.0459874j -0.013676+0.0087725j 0.0228789-0.038022j -0.00106509+0.00927071j 0.0114512-0.0152648j 0.0301686+0.0353669j 0.0223946+0.0466643j -0.0146001+0.0718328j 0.0547561-0.0167411j 0.00324393+0.0265288j 0.0179418+0.0242593j -0.0723008+0.0262663j 
-0.0160858-0.0309631j -0.0276563+0.0027886j -0.00967805-0.00268801j -0.0155546-0.0395235j 0.00550446-0.00109981j -0.021266-0.00284645j -0.0275875-0.0212787j -0.0762058+0.0861921j 0.0145388-0.0300982j 0.0271779-0.0765433j -0.00896177-0.0368641j 0.0322034+0.0608199j 0.0251559+0.00638006j 0.0238082-0.00451676j -0.0468248-0.0179603j -0.0285017+0.00990503j -0.0387298+0.0368013j 0.0287736-0.109541j 0.0184098-0.035029j -0.0650623+0.0779324j 0.0250762+0.0465792j -0.0691128+0.0609676j 0.0203859-0.0581925j -0.0986087+0.0840611j -0.0028068+0.0201367j 0.0445372-0.0703587j -0.043192-0.00394948j -0.0207598+0.00588118j 0.00841284-0.0107225j -0.0510117-0.0439504j -0.0191541+0.00843318j 0.0136418-0.0897403j -0.0359347+0.0443313j -0.0032102-0.0933984j -0.0521153+0.0730493j 0.0340108-0.00609785j 
-0.0218244+0.0183884j 0.00801082+0.0238608j -0.0534482-0.0074237j 0.0191011+0.0441346j -0.00165784+0.02331j -0.089575-0.054299j -0.0134675+0.016582j -0.042579-0.0183256j 0.0328467+0.024162j -0.00511247+0.0291597j -0.0602037+0.0310176j 0.0209945-0.0116137j -0.0247164+0.03365j -0.0185169-0.0412652j -0.0695103-0.0820747j -0.0062044+0.0327807j 0.0184837+0.009635j 0.0484644+0.0108948j -0.0195748-0.0110682j -0.000418958-0.00338435j -0.0198526-0.00404948j 0.00908498+0.00505588j -0.00957623-0.00597696j 0.00700431+0.0332927j 0.0097068+0.0120416j -0.0341382+0.0149622j -0.0559794+0.0803723j -0.031987+0.00211055j -0.0291619-0.039492j 0.0148191-0.0327884j 0.153014+0.0579022j -0.0185205-0.0253218j -0.0555589+0.0627227j 0.0346625+0.0399598j -0.0886509+0.0151711j -0.0276098+0.0747407j 
-0.0305588-0.030073j -0.0131661+0.0220838j 0.00214541-0.0136476j -0.0107108+0.0222012j -0.0468867+0.00690942j 0.0162466+0.0373913j -0.0088011+0.00961241j -0.0386869-0.00912018j 0.00189341-0.0262915j -0.00940567+0.0288088j -0.0266189-0.0216596j 0.0200905+0.0451527j 0.0446587-0.00632756j -0.00274171-0.0140026j 0.0271541+0.0430578j 0.000553109-0.0151575j -0.0448251-0.0156422j -0.0187978+0.0131276j -0.0474532+0.00840845j -0.0013727+0.000263766j -0.0170618-0.000804075j -0.000843138-0.0139042j -0.0122872+0.0269797j 0.000372164-0.0192659j 0.0129405+0.0045608j -0.0575679+0.00332397j -0.0088688-0.0869537j 0.00615492+0.0158478j -0.0168276+0.0259889j -0.0491402+0.00983959j -0.0239389-0.0487503j 0.00890363+0.020565j -0.046888-0.0218628j -0.0263243+0.00281831j -0.00391423-0.0156598j 0.000423754-0.0250219j 
-0.013251+0.00962637j 0.0143068+0.0277408j -0.000138496-0.0279819j 0.0114457+0.00492457j -0.00306114-0.0107699j -0.022114+0.000794292j 0.0169321+0.00928054j -0.00700842-0.00107581j 0.000516918+0.0462397j -0.00666965-0.00489151j -0.00380139+0.0323529j -0.0315971-0.0124808j -0.015991-0.0133449j 0.00279124-0.0182915j -0.0114349-0.0333229j -0.00591612-0.00747775j 0.0100245+0.00717799j 0.0012983-0.00218729j -0.000981111-0.00271935j -0.01693+0.00537159j -0.0373549+0.0172675j -0.0209592-0.00429488j -0.0144901-0.0137525j 0.0067238-0.00128133j 0.00879777+0.00177418j -0.00206784+0.0273737j -0.0360732+0.000344554j -0.0217626-0.0139682j -0.0457446+0.000316321j -0.0214706-0.0205189j 0.0229055+0.0296413j 0.00870996-0.019282j 0.00642174+0.0404261j -0.00111797-0.00742786j -0.023121+0.00154249j 0.00499087+0.0194309j 
-0.00145495+0.0076402j 0.0215602-0.019877j -0.0142755-0.00624454j 0.000562669-0.0124698j -0.00640925+0.022812j 0.00126855+0.00984596j -0.00264847-0.0204679j -0.0306158+0.0219551j 0.0211354-0.011791j -0.00656681-0.0159755j 0.0161524-0.0313372j 0.00618461+0.0148882j 0.0650574+0.036679j 0.00480568-0.00552562j 0.0108644-0.000775843j -0.00759371+0.0361265j -0.0172429+0.0253638j 0.00417141-0.0298599j 0.0204967+0.0251855j -0.0417083+0.0521867j 0.0250361-0.0297457j -0.0292652+0.00959952j 0.0416332-0.0292306j 0.0368139-0.0246055j -0.0199382+0.0656929j 0.0283444+0.00209549j 0.00785315+0.0191136j 0.0027662-0.00434499j -0.00961758-0.0378283j -4.2478e-05+0.0334043j -0.00397527+0.0317275j -0.0137734-0.0419727j 0.0324102+0.00676844j -0.00630298-0.0160723j 0.0104338+0.0151033j 0.0277364-0.00273793j 
-0.00629699-0.00762597j 0.00278463+0.0038152j -0.0160939-0.00966229j 0.0075677+0.00648936j -0.0181357-0.00690884j -0.0201274-0.0334018j 0.0332568+0.00618283j 0.00303662-0.0148098j 0.0130016-0.0395702j 0.0299032+0.00385124j -0.0010874-0.0492522j 0.0566962-0.0159443j 0.00752552+0.0711283j -0.0130971+0.0479186j -0.0213396-0.0392379j 0.0144059+0.0294598j -0.00175573+0.0317396j 0.00819197+0.0161549j 0.0177317-0.0125619j 0.0172453-0.0186879j -0.0355192-0.00603308j 0.0257204-0.0438808j -0.00598865-0.00394639j 0.0293579-0.00667065j 0.012376+0.00703446j -0.00898262+0.00583626j -0.0117592+0.0154507j -0.0129286-0.0103728j -0.0029636+0.000513158j 0.023142-0.0208543j 0.0039866-0.0057641j 0.00720271+0.0113353j 0.00485336+0.0295339j 0.0254901+0.00115372j -0.0199357+0.00503076j 0.00702083+0.0274602j 
-0.0197362+0.00877312j -0.00340702+0.0140034j 0.00706848+0.00716888j -0.021874-0.0202973j 0.0276923-0.00514917j -0.0201886+0.00688011j -0.0111242-0.0125543j -0.00151951+0.00971712j 0.016632-0.013549j -0.0289004+0.0319637j -0.0287228-0.00913078j 0.0271298+0.00504159j 0.012452-0.0019985j -0.00983189-0.00563303j -0.0253078+0.016399j 0.0111512+0.00267325j 0.0114978-0.0162423j 0.0158995-0.00225412j -0.0263199-0.0115679j 0.0159408-0.00592032j 0.0422129+0.00418632j 0.0361457-0.0202189j 0.0230833-0.000460679j -0.0279659+0.000122774j 0.00648096-0.0173235j -0.0128607-0.0667459j 0.0121835+0.0401915j 0.021461+0.026964j 0.0774495+0.00148948j 0.0560077-0.0253477j -0.0111233-0.0563568j 0.00121103+0.011909j -0.0106486-0.0314076j 0.0128078-0.010876j 0.011606+0.0142998j -0.00529585-0.00928401j 
-0.0147921-0.00822186j -0.0128557+0.00126668j -0.00698016+0.0168865j 0.0214716-0.0140179j -0.01202+0.035991j 0.00150751-0.00350101j -0.00654079-0.0263821j -0.0162977+0.003877j 0.00647276+0.0277087j -0.0321727+0.00619334j 0.0274249+0.015113j -0.0245536-0.00273176j 0.0122499-0.0079813j -0.00484472-0.0341602j -0.00601119-0.00639744j -0.0025443+0.0107979j 0.00405162-0.00284027j 0.00695111-0.00826914j 0.0165298+0.0139669j -0.0186208+0.0225232j 0.0201107-0.0250749j 0.00608127-0.00530372j 0.0349438-0.0231102j 0.0355113-0.0313258j 0.00754111+0.0700657j -0.00829991-0.0260343j -0.00210904+0.0140091j 0.0235628+0.00915938j 0.000333013-0.0166901j 0.0370842+0.00947975j -0.00335687-0.0153508j -0.00464765-0.00621113j 0.0197275+0.00354904j 0.0100266-0.0108734j 0.000338808+0.00788349j 0.00336228+0.00732968j 
0.0121517+0.0137655j -0.00985212-0.0104202j -0.0105324+0.0019467j -0.015308+0.0222515j 0.00836919-0.00159889j -0.00953285-0.0440789j 0.0330938-0.00186855j -0.0330324-0.00216739j 0.00869814+0.0377226j -0.0284504+0.0223262j -0.0666669+0.0142418j -0.0102203+0.040026j 0.048269+0.00221831j -0.015432+0.0100175j 0.0283704-0.0105868j -0.0177599+0.000867605j -0.0480816-0.0111931j 0.00588523+0.000834463j -0.00599823+0.0276505j 0.0164257-0.0141621j -0.0114611-0.00295206j 0.0353599-0.00567369j -0.0218728+0.0143839j 0.00203321+0.0364097j -0.0157152-0.0411777j 0.0305958+0.0320018j 0.0265496-0.00457784j -0.00541127-0.0242498j -0.0196189-0.0120283j -0.0274205+0.00332862j -0.00771028+0.0198723j -0.00200047-0.0189977j 0.02653+0.0301609j 0.0142109+0.0163919j -0.00565254-0.00655835j 0.00315217+0.0169305j 
0.0112457-0.0365416j -0.00151753-0.00990915j -0.00388635-0.0412466j 0.0553024+0.0017673j 0.00724357+0.00188446j -0.0318323-0.0338098j 0.0326272-0.0190406j -0.0203746-0.0210886j -0.0236582+0.0111295j -0.0255898+0.0291544j 0.012291+0.0172394j 0.0196192-0.0283407j -0.0132849-0.00532025j 0.00929374-0.00984937j -0.02636-0.0384882j 0.0163034-0.033864j -0.0382368-0.0192874j -0.00853637+0.0185992j -0.0200225+0.0268976j 0.0240778-0.0369048j -0.00306525+0.0208645j 0.0624971-0.0951252j -0.0112895+0.0337445j 0.0412348-0.0651213j 0.00650844+0.0168501j 0.0132061+0.0223521j -0.0102563+0.0330434j 0.0221909+0.0451342j 0.0284193-0.0207828j -0.0083376+0.0113506j -0.0424297-0.033284j 0.0477044+0.00155925j 0.0558212+0.0383806j 0.0169969-0.0120596j 0.010574+0.0134957j 0.0625847+0.00802007j 
-0.026036-0.00509564j 0.00941101+0.0275551j 0.00972745-0.0344087j 0.00583865+0.0325375j 0.022214+0.0387768j 0.0133914-0.0187262j 0.0279391-0.0185346j -0.0320954-0.030992j -0.0526637-0.0314386j 0.040275-0.0431393j 0.0262257+0.000826375j -0.00886461+0.0214679j -0.00656831-0.00835516j 0.0265594-0.00124553j 0.0406755+0.0158401j -0.0263397+0.00791165j -0.0672009-0.00731853j 0.00838704-0.000100042j 0.0122206+0.0303201j 0.0461283-0.0375248j -0.014+0.0129836j 0.00439088+0.0262283j -0.00244121+0.0288232j 0.0053741+0.0883269j -0.000196356+0.046391j 0.0497145-0.0188136j 0.0226598-0.0347695j 0.0445109+0.0268382j -0.0543857-0.00746008j -0.0186423+0.0369007j 0.00134966+0.0325398j 0.013751+0.0184615j 0.0124608+0.0189423j -0.00555953+0.00142634j -0.0166742+0.00299705j 0.00393248+0.00799594j 
-0.00298747+0.014171j -0.0263191-0.000108669j 0.0476683+0.0460268j -0.0610342+0.00249084j -0.0234564+0.00228908j 0.090521-0.0181797j 0.0285013+0.020774j -0.0397138+0.0316843j -0.0299579-0.0109406j -0.0345475-0.0150568j 0.0417582+0.00604778j 0.0386021-0.00159323j 0.0104775-0.00737871j 0.0362254-0.0274054j 0.082469-0.0216285j -0.0213386+0.00548847j -0.0397059-0.00899334j 0.0392969-0.0287453j 0.0779278-0.0524593j -0.0264544+0.0572079j 0.00408883-0.0311258j 0.0551234+0.0484935j -0.027645-0.0375609j 0.0110946+0.0231088j 0.0467798+0.0334822j 0.0842942-0.0442414j 0.0513483-0.0246055j -0.0300852+0.0108456j 0.0039152+0.0257798j -0.0500234+0.00844651j -0.0629111-0.0198859j 0.0431658+0.0397513j 0.00308766+0.00843654j -0.0222319-0.0125559j -0.016463-0.0110578j 0.050581+0.00400535j 
0.0853612-0.0133897j 0.0124235-0.00461547j 0.12471-0.0221628j 0.0390702+0.0132639j 0.0120315-0.0109684j 0.107712-0.00886713j 0.0552693+0.0224041j 0.111388+0.0129158j -0.00362197-0.00197733j -0.0618676-0.0052819j 0.0145992-0.030951j -0.0153605+0.0065396j -0.00327146-0.0101978j -0.0198057+0.0129188j 0.0905861-0.0427406j 0.0174066-0.0125983j 0.0401952-0.0193393j 0.0941901-0.0332513j -0.0707856-0.0319779j 0.0572598+0.0532073j -0.0187091-0.0169733j -0.0619329+0.0132667j 0.0891103-0.0169316j 0.065463-0.0164855j -0.0211037-0.0559952j 0.0629755-0.0208356j 0.0177432-0.0257122j 0.0493583+0.00953304j -0.0230686+0.00355975j 0.0137829+0.0117486j -0.0448589-0.0434691j 0.0036951+0.012026j 0.0543473+0.0107323j -0.00517866-0.0119616j 0.0274595-0.00403446j 0.0278629+0.00337379j 
