-0.00841217-0j -0.00599109-0j -0.000864739-0j -0.00344811-0j -0.00348384-0j -0.000609545-0j -0.000615862-0j -5.07954e-05-0j -5.13218e-05-0j -0.00243053-0j -0.00300763-0j -0.000405089-0j -0.00175445-0j -0.000248065-0j -0.000501272-0j -5.06361e-05-0j -0.000306965-0j -0.000292409-0j -2.98376e-06-0j -0.000179063-0j -6.2659e-05-0j -3.69222e-06-0j -3.65511e-05-0j -2.15379e-06-0j -0.00187678-0j -0.00218957-0j -0.000302864-0j -0.00134083-0j -0.00191588-0j -0.000247287-0j -0.000790259-0j -0.000353341-0j -3.56928e-05-0j -0.000216376-0j -3.09109e-05-0j -0.000288502-0j -0.000309173-0j -3.64288e-06-0j -0.00017667-0j -4.16416e-05-0j -0.000127527-0j -1.66274e-07-0j -0.000252439-0j -3.60627e-05-0j -2.55002e-05-0j -2.20838e-05-0j -3.64364e-05-0j -4.25003e-06-0j -0.000104126-0j -3.15549e-05-0j -2.6026e-06-0j -1.93986e-07-0j -1.50293e-05-0j -1.18792e-07-0j -1.30157e-05-0j -3.71878e-06-0j -1.69738e-07-0j -1.53392e-06-0j -7.00134e-08-0j 
0.00784418-0j 9.67921e-05-0j 1.39707e-05-0j 0.00321529-0j -0.00313604-0j 0.000568389-0j -0.000554379-0j 4.73657e-05-0j -4.61983e-05-0j 0.00226642-0j 4.85913e-05-0j 0.000377737-0j -0.00318695-0j 0.000231316-0j 8.09855e-06-0j 4.72172e-05-0j 4.95933e-06-0j -0.000531158-0j 2.7823e-06-0j -0.000325266-0j 1.01232e-06-0j 5.96515e-08-0j -6.63947e-05-0j -3.91235e-06-0j 0.00175006-0j 3.53748e-05-0j 0.000282414-0j 0.0012503-0j -0.00172461-0j 0.00023059-0j -0.00215963-0j 5.70858e-06-0j 3.32829e-05-0j 0.000201767-0j 2.88238e-05-0j 4.66104e-06-0j -0.000278308-0j 3.39692e-06-0j 0.000164742-0j 6.72762e-07-0j -0.000348509-0j 1.55047e-07-0j -0.000227238-0j 5.82629e-07-0j 2.37784e-05-0j 2.05927e-05-0j -3.27989e-05-0j 6.86635e-08-0j -0.000284557-0j -2.84047e-05-0j 2.42687e-06-0j 3.13405e-09-0j -4.10722e-05-0j 1.10771e-07-0j -3.55696e-05-0j -3.34752e-06-0j -1.52793e-07-0j -4.19191e-06-0j -1.91334e-07-0j 
0.0576622-0j -1.50901e-05-0j 0.000207575-0j -0.000501272-0j 0.000488917-0j 0.0041782-0j -0.00407522-0j 0.00105932-0j -0.00103321-0j -0.000353341-0j -7.5755e-06-0j 0.00277673-0j 0.000496853-0j -3.60627e-05-0j 5.95321e-05-0j 0.000701544-0j -7.73171e-07-0j -0.00390452-0j 8.31115e-05-0j 5.07098e-05-0j 1.50409e-05-0j 1.78188e-06-0j -0.000986481-0j -0.000116868-0j -0.000272838-0j -5.51501e-06-0j 0.00207602-0j -0.000194925-0j 0.000268871-0j -3.59496e-05-0j 0.000336692-0j 4.19635e-05-0j 0.000494511-0j 0.00148318-0j 0.000211883-0j -7.26667e-07-0j -0.00204583-0j 7.5971e-05-0j -2.56836e-05-0j 9.99578e-06-0j -0.00256188-0j 5.79542e-06-0j 3.54269e-05-0j 4.28288e-06-0j 0.000353295-0j 0.000151376-0j -0.00048732-0j 1.53564e-06-0j 4.43631e-05-0j -0.000208802-0j 5.42763e-05-0j 1.17146e-07-0j -0.000610243-0j 4.14045e-06-0j -0.00026147-0j -7.48663e-05-0j -5.71115e-06-0j -9.37508e-05-0j -7.15175e-06-0j 
-0.000947275-0j 0.0011175-0j -1.68713e-06-0j -0.000388283-0j 0.000378713-0j 0.00656228-0j -0.00640054-0j -5.71996e-06-0j 5.57897e-06-0j -0.000273697-0j -5.86796e-06-0j -4.56161e-05-0j 0.000384861-0j 0.00536921-0j -9.77993e-07-0j 0.000545142-0j 0.000115114-0j 6.41434e-05-0j -3.35994e-07-0j -0.00754995-0j 1.16876e-05-0j -7.2036e-09-0j -0.000766555-0j 4.72461e-07-0j 0.0513132-0j 0.00103722-0j -3.41048e-05-0j 0.0366599-0j -0.0505671-0j 0.00266226-0j -0.0633223-0j -6.89376e-07-0j -4.01929e-06-0j -2.43656e-05-0j 0.000669046-0j 5.38136e-05-0j 3.36089e-05-0j 3.92188e-05-0j 0.00190201-0j -8.12438e-08-0j 4.20865e-05-0j -1.87237e-08-0j -0.00262355-0j 1.35238e-05-0j -2.87152e-06-0j 0.000477989-0j 3.96084e-06-0j 7.92749e-07-0j -0.00328532-0j -0.000659318-0j 2.80193e-05-0j -3.78472e-10-0j 4.95994e-06-0j -1.33769e-08-0j -0.000825626-0j -3.86485e-05-0j 1.84515e-08-0j -4.83974e-05-0j 2.31058e-08-0j 
-0.0130304-0j 1.68713e-06-0j 0.00108253-0j 5.60439e-05-0j -5.46625e-05-0j -0.000944182-0j 0.00092091-0j 0.0112474-0j -0.0109702-0j 3.95047e-05-0j 8.46967e-07-0j -0.00062748-0j -5.55498e-05-0j 4.03193e-06-0j -1.34529e-05-0j 0.00365866-0j 8.64432e-08-0j 0.000882336-0j 0.00133065-0j -5.66953e-06-0j 7.84404e-05-0j 2.85287e-05-0j -0.00514465-0j -0.00187111-0j -0.00740642-0j -0.00014971-0j -0.000469134-0j -0.0052914-0j 0.00729873-0j 4.01929e-06-0j 0.00913978-0j -9.48283e-06-0j 0.00257895-0j -0.000335165-0j -4.78808e-05-0j 8.12438e-08-0j 0.000462313-0j 0.000806627-0j 2.87152e-06-0j 5.21296e-05-0j 0.000578928-0j 0.000124019-0j -3.96084e-06-0j -9.67838e-07-0j 0.00184249-0j -3.42077e-05-0j -0.00254145-0j 1.63047e-05-0j -4.95994e-06-0j 4.71846e-05-0j 0.000576282-0j 2.50686e-06-0j -0.00318252-0j 8.86037e-05-0j 5.90866e-05-0j -0.000794898-0j -0.000122216-0j -0.000995406-0j -0.000153044-0j 
-0.000864739-0j -1.06703e-05-0j -1.54013e-06-0j 0.0511701-0j -0.0499088-0j -6.2659e-05-0j 6.11146e-05-0j -5.22158e-06-0j 5.09288e-06-0j 0.0483279-0j 0.00103613-0j 0.00601153-0j -0.0679567-0j -2.55002e-05-0j 0.000128885-0j -5.2052e-06-0j -5.46715e-07-0j -0.00845316-0j -3.0672e-07-0j 3.58573e-05-0j -1.11598e-07-0j -6.57596e-09-0j 7.31933e-06-0j 4.31296e-07-0j -0.000192926-0j -3.8997e-06-0j 0.00602204-0j -0.000137833-0j 0.000190121-0j 0.00366975-0j 0.000238077-0j 0.000121726-0j 0.000529683-0j 0.00430236-0j -3.17752e-06-0j 7.41785e-05-0j -0.00593448-0j -3.74475e-07-0j 0.0026218-0j 1.07067e-05-0j -0.00743141-0j -1.70924e-08-0j -0.00361639-0j -6.42289e-08-0j 0.000378424-0j -2.27013e-06-0j -0.000521981-0j -7.56944e-09-0j -0.0045286-0j 3.13132e-06-0j -2.67538e-07-0j -3.45496e-10-0j -0.000653647-0j -1.22114e-08-0j 3.92118e-06-0j 3.6903e-07-0j 1.68438e-08-0j 4.62115e-07-0j 2.10926e-08-0j 
-0.00720778-0j -0.000180337-0j -2.59468e-05-0j 6.2659e-05-0j -6.11146e-05-0j 0.0499322-0j -0.0487015-0j -0.000132415-0j 0.000129151-0j -0.00854325-0j -0.000183164-0j -0.000347091-0j 0.0120132-0j -0.000866452-0j -7.44152e-06-0j 0.0083839-0j -1.85764e-05-0j 0.000488065-0j -1.03889e-05-0j 0.00121837-0j 0.000179748-0j -2.22735e-07-0j -0.0117891-0j 1.46085e-05-0j 3.41048e-05-0j 6.89376e-07-0j 0.050195-0j 2.43656e-05-0j -3.36089e-05-0j -0.00042962-0j -4.20865e-05-0j 0.00101461-0j -6.18138e-05-0j 0.035861-0j 0.00509075-0j -8.68413e-06-0j -0.0494651-0j 0.000907901-0j -0.000306936-0j -1.24947e-06-0j -0.0619423-0j -7.24428e-07-0j 0.000423374-0j 0.000102902-0j -4.41619e-05-0j 0.00363701-0j 6.0915e-05-0j 1.83519e-05-0j 0.000530167-0j -0.00501673-0j 0.000648636-0j -1.46432e-08-0j 7.62804e-05-0j -5.17556e-07-0j -0.00628216-0j -0.0008947-0j 7.13894e-07-0j -0.00112038-0j 8.93969e-07-0j 
-0.00480519-0j 1.25751e-06-0j -1.72979e-05-0j -0.0121027-0j 0.0118044-0j -0.000348184-0j 0.000339602-0j -8.82766e-05-0j 8.61008e-05-0j 2.94451e-05-0j 6.31292e-07-0j 0.0670412-0j -4.14044e-05-0j 3.00523e-06-0j 0.00143734-0j -5.8462e-05-0j 6.4431e-08-0j -0.0942705-0j -6.92596e-06-0j -4.22582e-06-0j -1.2534e-06-0j -1.4849e-07-0j 8.22068e-05-0j 9.73899e-06-0j 2.27365e-05-0j 4.59584e-07-0j -0.000173001-0j 1.62438e-05-0j -2.24059e-05-0j -0.000867964-0j -2.80577e-05-0j -3.49696e-06-0j 0.0119394-0j -0.000123598-0j -1.76569e-05-0j -1.75446e-05-0j 0.000170486-0j -6.33091e-06-0j -0.000620104-0j 0.000241338-0j 0.00021349-0j -4.82952e-07-0j 0.000855344-0j -3.56907e-07-0j 0.00852994-0j -1.26147e-05-0j -0.0117658-0j -1.2797e-07-0j 0.0010711-0j 1.74001e-05-0j -4.52302e-06-0j -9.76214e-09-0j -0.0147337-0j -3.45037e-07-0j 2.17892e-05-0j 6.23886e-06-0j 4.7593e-07-0j 7.81257e-06-0j 5.95979e-07-0j 
0.00182742-0j -1.57189e-07-0j -0.000309087-0j -5.22158e-06-0j 5.09288e-06-0j 0.000132415-0j -0.000129151-0j 0.0483476-0j -0.0471559-0j 0.000711938-0j 1.52637e-05-0j 8.79997e-05-0j -0.0010011-0j -3.75653e-07-0j 1.88668e-06-0j -0.00104463-0j -8.05387e-09-0j -0.000123741-0j 0.0117318-0j 5.28227e-07-0j -2.23964e-05-0j 0.000251526-0j 0.00146891-0j -0.0164968-0j -2.84206e-06-0j -5.7448e-08-0j -0.0127262-0j -2.03047e-06-0j 2.80074e-06-0j -3.74475e-07-0j 3.50721e-06-0j -0.00025724-0j -0.000736346-0j -0.00909201-0j 6.71495e-06-0j -7.56944e-09-0j 0.0125411-0j 0.00346733-0j -2.67538e-07-0j -1.48841e-05-0j 0.0157045-0j 0.00165176-0j 3.6903e-07-0j 1.35733e-07-0j -0.000526071-0j 4.79739e-06-0j 0.000725639-0j 7.00869e-05-0j 4.62115e-07-0j -6.61731e-06-0j 0.00247718-0j 3.33879e-05-0j 0.000908677-0j 0.00118008-0j -8.28648e-06-0j -0.00341692-0j -0.00162774-0j -0.00427881-0j -0.00203833-0j 
8.82571e-05-0j -0.000209324-0j 1.57189e-07-0j -0.00522252-0j 0.0050938-0j -0.0012292-0j 0.00119891-0j 5.32925e-07-0j -5.1979e-07-0j 2.55002e-05-0j 5.46715e-07-0j -0.00061355-0j -3.58573e-05-0j 0.0475747-0j -1.31543e-05-0j -0.000102112-0j 0.00101998-0j 0.000862747-0j 3.13044e-08-0j -0.0668975-0j -2.18925e-06-0j 6.71156e-10-0j 0.000143586-0j -4.40189e-08-0j 1.96904e-05-0j 3.98012e-07-0j 3.17752e-06-0j 1.40675e-05-0j -1.94041e-05-0j 0.0719909-0j -2.42986e-05-0j 6.42289e-08-0j -5.40605e-05-0j 2.27013e-06-0j 0.00592818-0j 0.00145519-0j -3.13132e-06-0j -7.34621e-06-0j 0.0514328-0j -1.09275e-06-0j -3.92118e-06-0j 1.74448e-09-0j -0.0709441-0j 0.000119829-0j -3.86227e-05-0j 0.0042353-0j 5.32745e-05-0j -1.48493e-07-0j -0.0888392-0j -0.00584198-0j -5.24839e-06-0j 3.52621e-11-0j 6.67126e-05-0j 1.24632e-09-0j -0.00731558-0j 7.2394e-06-0j -1.71912e-09-0j 9.06548e-06-0j -2.15275e-09-0j 
0.00171691-0j 2.12529e-05-0j -0.000142636-0j 0.00106604-0j -0.00103977-0j -0.0118939-0j 0.0116008-0j -0.00148197-0j 0.00144545-0j -5.2052e-06-0j -1.11598e-07-0j -0.0119357-0j 7.31933e-06-0j 0.000102112-0j -0.000255896-0j 0.0460885-0j 2.18925e-06-0j 0.0167834-0j -0.000175329-0j -0.000143586-0j 0.00098812-0j -3.75899e-06-0j -0.0648076-0j 0.00024654-0j -4.01929e-06-0j -8.12438e-08-0j 6.18138e-05-0j -2.87152e-06-0j 3.96084e-06-0j -0.00730931-0j 4.95994e-06-0j 1.24947e-06-0j 0.0490557-0j 4.41619e-05-0j -0.00121262-0j -0.000147747-0j -6.0915e-05-0j 0.0101611-0j -0.00522202-0j 0.000991587-0j -7.62804e-05-0j -1.6341e-05-0j 0.00720303-0j -2.45114e-05-0j 0.0350471-0j -0.000866341-0j -0.0483424-0j 0.000205392-0j 0.00901994-0j 0.00119499-0j 0.00725947-0j -3.30308e-07-0j -0.0605365-0j -1.16746e-05-0j 0.00149642-0j -0.0100134-0j 1.61034e-05-0j -0.0125392-0j 2.01653e-05-0j 
0.000424722-0j 3.21016e-05-0j 1.52893e-06-0j -3.69222e-06-0j 3.60121e-06-0j -0.0088884-0j 0.00866932-0j 7.80263e-06-0j -7.61031e-06-0j -2.6026e-06-0j -5.57988e-08-0j 2.04526e-05-0j 3.65967e-06-0j -0.0147201-0j 4.38496e-07-0j -0.00149241-0j -0.000315595-0j -2.87595e-05-0j 6.12174e-07-0j 0.0206988-0j -3.19968e-05-0j 1.31248e-08-0j 0.00209857-0j -8.60813e-07-0j -2.00964e-06-0j -4.06219e-08-0j 1.52913e-05-0j -1.43576e-06-0j 1.98042e-06-0j 7.64765e-05-0j 2.47997e-06-0j 3.09091e-07-0j 3.64241e-06-0j 1.09246e-05-0j 0.0864866-0j 1.54586e-06-0j -1.5069e-05-0j -0.000161615-0j 5.46374e-05-0j 7.36259e-08-0j -1.887e-05-0j 4.26873e-08-0j -7.53645e-05-0j 0.0017482-0j 2.60227e-06-0j 0.061789-0j -3.58945e-06-0j -3.2668e-06-0j -9.43746e-05-0j -0.0852291-0j -0.000115463-0j 8.62859e-10-0j -4.49487e-06-0j 3.04973e-08-0j -0.106728-0j 0.000159265-0j -4.20666e-08-0j 0.000199439-0j -5.26776e-08-0j 
